1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 112273.336),(2 400510.1),(3 830002.2),(4 1374749.1),(5 2031796),(6 2776146),(7 3599654),(8 4501152),(9 5458514.5),(10 6488553.5),(11 7593072),(12 8785651),(13 9985285),(14 11244196),(15 12631297),(16 14054553),(17 15449356),(18 17087206),(19 18567516),(20 20079584),(21 21509238),(22 22954838),(23 24435224),(24 26002310),(25 27499032),(26 29083216),(27 30727008),(28 32307326),(29 33814556),(30 35283076),(31 36713676),(32 38186150),(33 39634612),(34 41020236),(35 42428100),(36 43745036),(37 44892988),(38 46039996),(39 47093470),(40 48187090),(41 49224132),(42 50255964),(43 51322676),(44 52440044),(45 53488640),(46 54504972),(47 55480944),(48 56514372),(49 57348612),(50 58242868),(51 59222868),(52 60218644),(53 61124130),(54 62025364),(55 62842172),(56 63472660),(57 63941980),(58 64435520),(59 64983460),(60 65515824),(61 65995652),(62 66649636),(63 67323960),(64 68090280),(65 68761310),(66 69502090),(67 70350020),(68 71225270),(69 71975030),(70 72675256),(71 73490856),(72 74367120),(73 75151670),(74 75898290),(75 76632340),(76 77345760),(77 77991270),(78 78880264),(79 79687120),
(1 47867.27),(2 159381.8),(3 312021.94),(4 500156.9),(5 719396.1),(6 960936.8),(7 1219535.4),(8 1482355),(9 1736408),(10 1989390.8),(11 2241655.5),(12 2509636),(13 2813321.5),(14 3137386),(15 3491982),(16 3876421.5),(17 4241216),(18 4620190),(19 4947361.5),(20 5256786.5),(21 5549900),(22 5863317.5),(23 6162565),(24 6472957),(25 6750438.5),(26 7010315),(27 7273945),(28 7527806.5),(29 7780488),(30 8015386.5),(31 8225062.5),(32 8449586),(33 8686791),(34 8884429),(35 9076350),(36 9231677),(37 9343019),(38 9438093),(39 9537963),(40 9703835),(41 9886802),(42 10063630),(43 10203801),(44 10361929),(45 10531338),(46 10679128),(47 10850915),(48 11044034),(49 11206224),(50 11362602),(51 11523003),(52 11693995),(53 11845872),(54 12006235),(55 12152722),(56 12248758),(57 12326604),(58 12420037),(59 12516458),(60 12633837),(61 12727408),(62 12842555),(63 13015214),(64 13187047),(65 13326179),(66 13421091),(67 13514893),(68 13585037),(69 13646202),(70 13702336),(71 13761403),(72 13865080),(73 13964720),(74 14060538),(75 14178160),(76 14275634),(77 14374067),(78 14532637),(79 14669066),
(1 39085.09),(2 134025.42),(3 268075.84),(4 429153.5),(5 620333.6),(6 833480.06),(7 1072742.6),(8 1326172.6),(9 1565946),(10 1812540),(11 2066246.4),(12 2326848.3),(13 2592486.3),(14 2857216.3),(15 3121164),(16 3403411.3),(17 3678862.8),(18 3977786.8),(19 4283784),(20 4591648),(21 4910741.5),(22 5232974.5),(23 5526821.5),(24 5817795.5),(25 6059279.5),(26 6274530.5),(27 6451132),(28 6612276),(29 6751886.5),(30 6881972),(31 6997322),(32 7101852),(33 7175610),(34 7238460),(35 7308524),(36 7384130),(37 7463988.5),(38 7550441.5),(39 7640062.5),(40 7783929.5),(41 7946886.5),(42 8061403.5),(43 8147166),(44 8260778.5),(45 8413419),(46 8605343),(47 8863392),(48 9181551),(49 9489318),(50 9750151),(51 9969241),(52 10197588),(53 10437620),(54 10722925),(55 11062377),(56 11387276),(57 11663872),(58 11916267),(59 12112031),(60 12268824),(61 12351480),(62 12420301),(63 12550689),(64 12687127),(65 12763773),(66 12812440),(67 12854872),(68 12872025),(69 12841327),(70 12785839),(71 12740547),(72 12729544),(73 12711976),(74 12677848),(75 12675763),(76 12632972),(77 12585715),(78 12577296),(79 12544872),
(1 50701.08),(2 174467.66),(3 349233.16),(4 553484.1),(5 785392.2),(6 1042863.25),(7 1316735.5),(8 1594705.1),(9 1851578.1),(10 2115055),(11 2390738.3),(12 2668072.5),(13 2965964),(14 3273981),(15 3581461.3),(16 3915316),(17 4254248),(18 4578797.5),(19 4885981),(20 5174468.5),(21 5480666.5),(22 5765588.5),(23 6031950),(24 6277837.5),(25 6507415.5),(26 6709790),(27 6896181.5),(28 7094664),(29 7261681),(30 7377316.5),(31 7462658),(32 7499095),(33 7486274.5),(34 7427627),(35 7375560),(36 7333227),(37 7300120),(38 7283532),(39 7280650),(40 7298188.5),(41 7363870),(42 7459478),(43 7583568),(44 7746812.5),(45 7961146),(46 8217742),(47 8478547),(48 8757447),(49 9037540),(50 9284732),(51 9513184),(52 9748064),(53 9966693),(54 10177596),(55 10382581),(56 10518352),(57 10612701),(58 10682950),(59 10719314),(60 10691436),(61 10620173),(62 10542670),(63 10453184),(64 10334494),(65 10191785),(66 10046837),(67 9880734),(68 9724603),(69 9546364),(70 9355106),(71 9205823),(72 9060365),(73 8880532),(74 8692160),(75 8540300),(76 8422408),(77 8345342),(78 8305535),(79 8312591),
(1 56623.313),(2 197128.81),(3 394862.38),(4 628595.94),(5 889872.8),(6 1182528),(7 1506351.5),(8 1845081.9),(9 2178644.3),(10 2534868.8),(11 2908154),(12 3274489.5),(13 3659624.8),(14 4053381),(15 4431280),(16 4825243.5),(17 5205054),(18 5582619.5),(19 5931969.5),(20 6244733),(21 6554382),(22 6846398.5),(23 7108308.5),(24 7315262),(25 7497809.5),(26 7643521.5),(27 7731620.5),(28 7799753.5),(29 7848050),(30 7840483),(31 7816650),(32 7772272),(33 7710093),(34 7621486.5),(35 7520771),(36 7435057.5),(37 7373755.5),(38 7334350.5),(39 7301941),(40 7298784.5),(41 7327677),(42 7382900.5),(43 7463225.5),(44 7535031.5),(45 7619303.5),(46 7729963.5),(47 7836424.5),(48 7950913.5),(49 8075155),(50 8203319.5),(51 8323118.5),(52 8435839),(53 8512257),(54 8594953),(55 8660449),(56 8700424),(57 8718440),(58 8725142),(59 8688214),(60 8620704),(61 8527604),(62 8417526),(63 8304984.5),(64 8182038),(65 8066942.5),(66 7938721.5),(67 7779011),(68 7612648.5),(69 7462419),(70 7340721.5),(71 7255553.5),(72 7172618),(73 7085094),(74 6994944),(75 6921227.5),(76 6861000.5),(77 6817475),(78 6806878),(79 6808067),
(1 58886.023),(2 205952.38),(3 415489.5),(4 669524.4),(5 962008.1),(6 1287058.4),(7 1653587),(8 2042276),(9 2432294.3),(10 2840098.3),(11 3234492.8),(12 3594940.5),(13 3958413.3),(14 4335997),(15 4695714.5),(16 5051302.5),(17 5366407),(18 5674036),(19 5933526),(20 6135299),(21 6293289),(22 6405356.5),(23 6448852),(24 6438538.5),(25 6375595),(26 6286713),(27 6159455),(28 6015029),(29 5859764.5),(30 5677429.5),(31 5495777.5),(32 5331591),(33 5187097),(34 5052859),(35 4923069.5),(36 4815766.5),(37 4736447),(38 4699962.5),(39 4671247.5),(40 4667035.5),(41 4700461.5),(42 4780052.5),(43 4898814.5),(44 5039473.5),(45 5225103),(46 5431285),(47 5670294),(48 5965629.5),(49 6265589),(50 6568657.5),(51 6839622.5),(52 7076851),(53 7274457.5),(54 7460114.5),(55 7593221.5),(56 7692325.5),(57 7748912),(58 7773933),(59 7755855),(60 7720757.5),(61 7678534.5),(62 7619417.5),(63 7515611),(64 7380917),(65 7251602.5),(66 7120673),(67 6974526.5),(68 6807953.5),(69 6611577),(70 6419224),(71 6247692),(72 6086183.5),(73 5965362.5),(74 5876377),(75 5807699.5),(76 5754512),(77 5744002.5),(78 5801331),(79 5873999),
(1 69824.07),(2 244812.98),(3 488336.3),(4 780830.3),(5 1111225),(6 1493932.1),(7 1919339.8),(8 2371696.8),(9 2851029.8),(10 3384774.5),(11 3907121.8),(12 4386652.5),(13 4829569),(14 5279034.5),(15 5718499),(16 6145312.5),(17 6511419.5),(18 6798874.5),(19 6994231),(20 7103379),(21 7131126),(22 7109690),(23 7042727),(24 6952195.5),(25 6810392),(26 6631799.5),(27 6437757),(28 6238536),(29 6050019.5),(30 5841997),(31 5624189.5),(32 5410224.5),(33 5170625),(34 4911628.5),(35 4690610),(36 4520546),(37 4412095.5),(38 4369099.5),(39 4366502.5),(40 4404371),(41 4490704.5),(42 4639259),(43 4823254.5),(44 5042700.5),(45 5293250.5),(46 5556090),(47 5849357.5),(48 6182112.5),(49 6513386),(50 6814604.5),(51 7074753),(52 7285845),(53 7427154),(54 7524130),(55 7546589.5),(56 7541669),(57 7517794.5),(58 7472165),(59 7413053),(60 7321643.5),(61 7218708.5),(62 7071087.5),(63 6893496),(64 6706660.5),(65 6524321),(66 6351513),(67 6180387.5),(68 5990395.5),(69 5779911.5),(70 5577722),(71 5433881),(72 5336128.5),(73 5290362),(74 5278136.5),(75 5309454),(76 5396101.5),(77 5537860.5),(78 5731192.5),(79 5919761),
(1 82186.664),(2 292143.2),(3 589335.3),(4 949444.6),(5 1355276.4),(6 1830187.9),(7 2366190.3),(8 2911049),(9 3457428.3),(10 4038688.3),(11 4609245.5),(12 5158838),(13 5654583.5),(14 6107826.5),(15 6542085.5),(16 6939294.5),(17 7219545.5),(18 7359702.5),(19 7402415),(20 7374736),(21 7280923.5),(22 7154333),(23 7003141),(24 6826083),(25 6613870.5),(26 6396792.5),(27 6174361),(28 5948226),(29 5704735.5),(30 5426665),(31 5129402.5),(32 4823756.5),(33 4535108.5),(34 4293274),(35 4111040),(36 3993020.3),(37 3943613.3),(38 3938095.5),(39 3986124),(40 4055857.5),(41 4167582.5),(42 4340423.5),(43 4532444.5),(44 4735855),(45 4947569),(46 5167442),(47 5382769),(48 5588862.5),(49 5785132.5),(50 5977577),(51 6162309),(52 6307217),(53 6393121.5),(54 6450672.5),(55 6466938),(56 6455979),(57 6420426.5),(58 6353702.5),(59 6263287),(60 6151236.5),(61 6005108.5),(62 5819507.5),(63 5631803),(64 5448669),(65 5279981.5),(66 5106678),(67 4943284.5),(68 4795798.5),(69 4666400),(70 4557470),(71 4493823),(72 4450191.5),(73 4419232),(74 4407969.5),(75 4458763),(76 4551272.5),(77 4672157),(78 4839070),(79 4997696.5),
(1 92553.69),(2 325710),(3 647222.6),(4 1028072),(5 1441117.3),(6 1887234.4),(7 2343062),(8 2781186.3),(9 3204787.8),(10 3632883.3),(11 4037526),(12 4387722),(13 4680712.5),(14 4912554),(15 5093060),(16 5248406.5),(17 5337899.5),(18 5377585.5),(19 5373101),(20 5335926.5),(21 5275296.5),(22 5217349),(23 5145132),(24 5064234.5),(25 4973901),(26 4892237),(27 4802158),(28 4715177),(29 4626383),(30 4529945),(31 4428092),(32 4322162),(33 4244430.5),(34 4198193),(35 4188765.3),(36 4207764.5),(37 4268194),(38 4330962),(39 4418843.5),(40 4517908.5),(41 4613674.5),(42 4703844.5),(43 4798362.5),(44 4874019),(45 4946328.5),(46 5018636.5),(47 5093408),(48 5173879.5),(49 5268548),(50 5363510),(51 5434567),(52 5484322),(53 5524261.5),(54 5580820),(55 5641574),(56 5698153),(57 5751558.5),(58 5808121.5),(59 5863409),(60 5895172),(61 5898875),(62 5891812),(63 5867603),(64 5841453),(65 5801044),(66 5743068),(67 5655844),(68 5562797),(69 5456043.5),(70 5350978.5),(71 5264572),(72 5158385),(73 5061642.5),(74 4985843),(75 4946952),(76 4943679),(77 5004601),(78 5137072),(79 5298253),
(1 111379.414),(2 402090.47),(3 802610.9),(4 1265656.3),(5 1754123.9),(6 2274001.3),(7 2793525),(8 3282724),(9 3751777.8),(10 4199563),(11 4593017.5),(12 4914477.5),(13 5179119),(14 5367381.5),(15 5478380.5),(16 5553799),(17 5565078),(18 5513329),(19 5405280.5),(20 5271650),(21 5153727),(22 5058097.5),(23 4991170.5),(24 4967430.5),(25 4941431),(26 4897181),(27 4834376),(28 4761446.5),(29 4703408),(30 4639924),(31 4595490),(32 4553249.5),(33 4518505),(34 4478835),(35 4477262),(36 4499587),(37 4528481.5),(38 4552673),(39 4597597.5),(40 4650310.5),(41 4684238),(42 4701623.5),(43 4697607),(44 4673467.5),(45 4641130.5),(46 4609267.5),(47 4589454),(48 4586737),(49 4590485.5),(50 4591044.5),(51 4578139.5),(52 4589762.5),(53 4617786),(54 4672994.5),(55 4749815),(56 4850248),(57 4965744.5),(58 5103222.5),(59 5256844.5),(60 5388274.5),(61 5466268),(62 5506242.5),(63 5522721),(64 5527707.5),(65 5522753),(66 5515874.5),(67 5485791),(68 5436632.5),(69 5364367),(70 5297377),(71 5243874),(72 5195737.5),(73 5147668.5),(74 5114232.5),(75 5102345.5),(76 5117473),(77 5179423.5),(78 5313866),(79 5471498),
(1 123135.53),(2 434066.4),(3 851472.56),(4 1324475.5),(5 1828925.1),(6 2342200.5),(7 2814302.8),(8 3238977),(9 3622199.5),(10 3950445.3),(11 4187942.5),(12 4355455),(13 4467352.5),(14 4539549),(15 4573276),(16 4572836),(17 4521983),(18 4446492),(19 4354782),(20 4278731.5),(21 4241208.5),(22 4222800.5),(23 4217031.5),(24 4241057),(25 4293168),(26 4310397),(27 4313380.5),(28 4313729),(29 4303484.5),(30 4290559),(31 4296850),(32 4310428),(33 4322550.5),(34 4318241),(35 4329900.5),(36 4353468),(37 4363946.5),(38 4373182.5),(39 4381260.5),(40 4399254.5),(41 4412859),(42 4411684),(43 4390495),(44 4355356.5),(45 4302586.5),(46 4233347),(47 4164648.5),(48 4112546),(49 4061467.8),(50 4010316.3),(51 3976564.8),(52 3980659.8),(53 4000740.3),(54 4037015.5),(55 4092732.3),(56 4174188.8),(57 4274475.5),(58 4409186),(59 4564779.5),(60 4713046.5),(61 4813009),(62 4860820),(63 4890600.5),(64 4913500.5),(65 4935843),(66 4951847),(67 4952507.5),(68 4944723),(69 4920292.5),(70 4902844),(71 4887431.5),(72 4864605),(73 4839308.5),(74 4838509),(75 4870676),(76 4918902.5),(77 4998013),(78 5126149),(79 5240845.5),
