1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 104665.13),(2 198564.44),(3 415375.28),(4 686339.8),(5 1038413.8),(6 1421393),(7 1902885.6),(8 2344322),(9 2917410.3),(10 3422734),(11 3952462.8),(12 4520122.5),(13 5126518.5),(14 5784269.5),(15 6370373.5),(16 7111396.5),(17 7838108.5),(18 8573781),(19 9324634),(20 10144405),(21 10928323),(22 11669279),(23 12518960),(24 13307323),(25 14238347),(26 15029888),(27 16267131),(28 17368346),(29 18681118),(30 19738608),(31 20946254),(32 22093214),(33 23014266),(34 24347270),(35 25788122),(36 27088336),(37 28472566),(38 30125480),(39 32011824),(40 33268368),(41 35183308),(42 36617036),(43 38494204),(44 40203292),(45 42075628),(46 43953600),(47 45815230),(48 48214828),(49 50145284),(50 51794960),(51 53949344),(52 56371660),(53 58241876),(54 60558720),(55 63250164),(56 65036740),(57 67187970),(58 69410504),(59 71425256),(60 72476150),(61 74281960),(62 76052900),(63 78196350),(64 79608856),(65 81736616),(66 84192216),(67 85668420),(68 87963450),(69 89256200),(70 89261760),(71 89248060),(72 88134710),(73 88612424),(74 88944710),(75 88762440),(76 88877224),(77 89613144),(78 89750850),(79 89425100),
(1 80144.6),(2 187378.95),(3 395068.6),(4 654208.6),(5 981874),(6 1336341.1),(7 1765326),(8 2172485.8),(9 2674046.5),(10 3193585.5),(11 3760178),(12 4322125),(13 4926607),(14 5604042.5),(15 6188533.5),(16 6907399),(17 7597205),(18 8278480),(19 8901034),(20 9577095),(21 10172422),(22 10711902),(23 11302192),(24 11820518),(25 12398566),(26 12796194),(27 13225339),(28 13594394),(29 13928157),(30 14132678),(31 14293293),(32 14415920),(33 14405706),(34 14399208),(35 14366248),(36 14253648),(37 14162304),(38 14079226),(39 13998010),(40 13838989),(41 13837315),(42 13780792),(43 13932749),(44 14096877),(45 14397571),(46 14719149),(47 15118051),(48 15769158),(49 16406622),(50 17097220),(51 17944344),(52 18973336),(53 19758188),(54 20731114),(55 22174774),(56 23362858),(57 24876574),(58 26476916),(59 28203882),(60 29628006),(61 31236960),(62 32732128),(63 34465516),(64 36050744),(65 37714356),(66 39257996),(67 40532250),(68 41773980),(69 42814044),(70 44026176),(71 45131464),(72 46208680),(73 47204880),(74 48109590),(75 49008404),(76 49712156),(77 50491156),(78 51150668),(79 51590804),
(1 63390.168),(2 167020.86),(3 344288.03),(4 562184.94),(5 811117.3),(6 1090269.8),(7 1416457.4),(8 1778892.1),(9 2186872.3),(10 2618653),(11 3088511.3),(12 3599263),(13 4145742.8),(14 4735166.5),(15 5300454),(16 5886732),(17 6492636.5),(18 7117222.5),(19 7797864),(20 8541915),(21 9344440),(22 10130787),(23 10988213),(24 11807393),(25 12713977),(26 13586828),(27 14492727),(28 15383925),(29 16303163),(30 17080934),(31 17871346),(32 18625306),(33 19270962),(34 19931456),(35 20611644),(36 21139286),(37 21768610),(38 22455382),(39 22993242),(40 23468490),(41 23948186),(42 24372448),(43 24836970),(44 25187562),(45 25614754),(46 25925946),(47 26256706),(48 26664582),(49 26957214),(50 27158264),(51 27418040),(52 27732518),(53 27857690),(54 28157558),(55 28490624),(56 28778698),(57 29358144),(58 29930336),(59 30439664),(60 30873382),(61 31389712),(62 31819562),(63 32311862),(64 32702022),(65 33168934),(66 33434950),(67 33623836),(68 33596356),(69 33513208),(70 33396040),(71 33194544),(72 32996198),(73 32782464),(74 32634160),(75 32506154),(76 32256752),(77 31940592),(78 31528266),(79 30996040),
(1 68285.72),(2 218816.33),(3 473030.34),(4 804905.8),(5 1212846.5),(6 1664607.6),(7 2183620),(8 2740526.3),(9 3385829.3),(10 4048907.5),(11 4766680),(12 5509470),(13 6288612.5),(14 7065093),(15 7819074),(16 8615674),(17 9406005),(18 10213806),(19 11040450),(20 11877464),(21 12662686),(22 13456102),(23 14224110),(24 14922087),(25 15559822),(26 16137390),(27 16702784),(28 17180842),(29 17636494),(30 17975416),(31 18256590),(32 18448190),(33 18533120),(34 18544330),(35 18571286),(36 18549184),(37 18519694),(38 18560754),(39 18609778),(40 18625112),(41 18673284),(42 18679502),(43 18652526),(44 18592856),(45 18588936),(46 18558920),(47 18623150),(48 18652920),(49 18655680),(50 18636886),(51 18639678),(52 18588388),(53 18572576),(54 18655676),(55 18540736),(56 18471656),(57 18495066),(58 18468496),(59 18389292),(60 18324310),(61 18327002),(62 18295574),(63 18250414),(64 18189706),(65 18145176),(66 17959316),(67 17859690),(68 17634780),(69 17431934),(70 17173710),(71 16993494),(72 16896292),(73 16817746),(74 16782194),(75 16841164),(76 16942142),(77 17193690),(78 17347934),(79 17701324),
(1 87300.055),(2 303999.75),(3 646057.25),(4 1112509.1),(5 1671668.8),(6 2339301.3),(7 3085737),(8 3887354.3),(9 4787177.5),(10 5733345.5),(11 6723924.5),(12 7691040),(13 8717993),(14 9706467),(15 10655700),(16 11623545),(17 12561050),(18 13508192),(19 14421319),(20 15369837),(21 16231028),(22 17076780),(23 17827398),(24 18525576),(25 19233738),(26 19788702),(27 20298686),(28 20699072),(29 21016364),(30 21164198),(31 21256942),(32 21219720),(33 21074270),(34 20858072),(35 20569886),(36 20223052),(37 19823916),(38 19418988),(39 18933598),(40 18476840),(41 18008070),(42 17573304),(43 17121250),(44 16672934),(45 16317014),(46 16000188),(47 15776138),(48 15610138),(49 15490330),(50 15403180),(51 15372582),(52 15358177),(53 15329753),(54 15401300),(55 15537036),(56 15667584),(57 15844521),(58 16040006),(59 16273169),(60 16488710),(61 16718844),(62 16920400),(63 17150144),(64 17300066),(65 17404640),(66 17434858),(67 17480430),(68 17418050),(69 17240498),(70 17068456),(71 16935212),(72 16760346),(73 16602336),(74 16446915),(75 16264454),(76 16134063),(77 16097981),(78 16055462),(79 16105697),
(1 115720.67),(2 397372.25),(3 877347.9),(4 1522431.8),(5 2333734.8),(6 3299225.5),(7 4415452.5),(8 5565395),(9 6884228),(10 8199832),(11 9492947),(12 10696628),(13 11883662),(14 12999875),(15 13951370),(16 14847822),(17 15650570),(18 16343424),(19 16905750),(20 17431382),(21 17850320),(22 18229078),(23 18557262),(24 18823654),(25 19170022),(26 19357732),(27 19581892),(28 19740532),(29 19870592),(30 19871728),(31 19809748),(32 19703946),(33 19559296),(34 19426102),(35 19194804),(36 18871806),(37 18480570),(38 18079642),(39 17527716),(40 16991958),(41 16350430),(42 15716624),(43 15055850),(44 14428342),(45 13803405),(46 13308214),(47 12900167),(48 12491723),(49 12212470),(50 12037078),(51 11900236),(52 11804253),(53 11869467),(54 12005944),(55 12207857),(56 12531318),(57 12886339),(58 13279334),(59 13709837),(60 14189816),(61 14582339),(62 14980658),(63 15430624),(64 15854122),(65 16230754),(66 16602099),(67 16918284),(68 17129290),(69 17161632),(70 17202368),(71 17240510),(72 17209220),(73 17138170),(74 17046430),(75 16924996),(76 16768376),(77 16634813),(78 16512952),(79 16510686),
(1 157786.52),(2 565642.8),(3 1257135.9),(4 2170989.5),(5 3316152),(6 4644475.5),(7 6171406),(8 7725199),(9 9448259),(10 11164286),(11 12904385),(12 14526143),(13 16157522),(14 17675270),(15 18986442),(16 20200338),(17 21231798),(18 22032170),(19 22647282),(20 23076824),(21 23300864),(22 23412928),(23 23298430),(24 23072316),(25 22652384),(26 22217970),(27 21647900),(28 21019978),(29 20367924),(30 19687228),(31 18942420),(32 18165564),(33 17534838),(34 16893496),(35 16270231),(36 15745554),(37 15315780),(38 15016096),(39 14744422),(40 14555282),(41 14370996),(42 14203036),(43 14022565),(44 13842391),(45 13643446),(46 13421631),(47 13229056),(48 12932596),(49 12642489),(50 12359406),(51 12046149),(52 11685882),(53 11367490),(54 11109770),(55 10827862),(56 10644449),(57 10574270),(58 10562768),(59 10652434),(60 10865876),(61 11215274),(62 11734260),(63 12438652),(64 13136495),(65 14046940),(66 15033263),(67 15984704),(68 16955830),(69 17923592),(70 18892268),(71 19741736),(72 20485042),(73 21282026),(74 21924512),(75 22508736),(76 22973834),(77 23336736),(78 23480220),(79 23608808),
(1 119785.52),(2 414202.06),(3 911506.1),(4 1555552),(5 2368163.5),(6 3300345.5),(7 4349095),(8 5400339),(9 6488234.5),(10 7555583),(11 8592109),(12 9528237),(13 10409242),(14 11194368),(15 11842943),(16 12388860),(17 12874342),(18 13280409),(19 13585973),(20 13845300),(21 14029439),(22 14118515),(23 14113956),(24 14046822),(25 13831685),(26 13592097),(27 13247311),(28 12821490),(29 12371654),(30 11876301),(31 11280745),(32 10583058),(33 9924196),(34 9229139),(35 8548602),(36 7973865.5),(37 7471625.5),(38 7097341),(39 6842006.5),(40 6727791),(41 6758181.5),(42 6938197.5),(43 7266065),(44 7697775.5),(45 8269843),(46 8920542),(47 9681787),(48 10511058),(49 11343718),(50 12135933),(51 12934844),(52 13664081),(53 14224691),(54 14769762),(55 15223650),(56 15501141),(57 15754949),(58 15925231),(59 16012032),(60 16054284),(61 16129994),(62 16184391),(63 16224399),(64 16222093),(65 16247567),(66 16164192),(67 16037009),(68 15842638),(69 15625888),(70 15347354),(71 15025598),(72 14749116),(73 14387294),(74 13996629),(75 13637487),(76 13271580),(77 12864439),(78 12518967),(79 12232303),
(1 102712.22),(2 359844.53),(3 792764),(4 1361046.3),(5 2057259.8),(6 2859636.8),(7 3755853.3),(8 4643517.5),(9 5582828.5),(10 6443849.5),(11 7257558.5),(12 7971008),(13 8630452),(14 9168403),(15 9592832),(16 9974761),(17 10288281),(18 10522765),(19 10717675),(20 10880451),(21 11027773),(22 11183321),(23 11269703),(24 11354070),(25 11336198),(26 11346001),(27 11280882),(28 11205183),(29 11128206),(30 11034283),(31 10893009),(32 10709820),(33 10527061),(34 10250385),(35 9932744),(36 9624736),(37 9293253),(38 9010551),(39 8749522),(40 8525598),(41 8384785),(42 8330725.5),(43 8370208),(44 8506480),(45 8798805),(46 9183561),(47 9696532),(48 10313848),(49 10985775),(50 11677734),(51 12403868),(52 13146695),(53 13786072),(54 14405313),(55 14904998),(56 15247653),(57 15521920),(58 15740056),(59 15905378),(60 15980435),(61 16080689),(62 16138835),(63 16189109),(64 16150238),(65 16214920),(66 16164672),(67 16078072),(68 15912196),(69 15713841),(70 15440884),(71 15083269),(72 14761944),(73 14350874),(74 13857419),(75 13384734),(76 12905434),(77 12416555),(78 11938996),(79 11585992),
(1 173322.03),(2 616536.8),(3 1324632.8),(4 2241212.3),(5 3304782.8),(6 4478873),(7 5712062),(8 6885165),(9 8026996.5),(10 8977186),(11 9770350),(12 10353189),(13 10809193),(14 11068949),(15 11201643),(16 11258436),(17 11228320),(18 11160998),(19 11093598),(20 11059349),(21 11089300),(22 11196334),(23 11313926),(24 11500034),(25 11649673),(26 11874016),(27 12054626),(28 12174300),(29 12232972),(30 12214531),(31 12088687),(32 11892385),(33 11650421),(34 11287616),(35 10866354),(36 10391513),(37 9858789),(38 9303578),(39 8742054),(40 8279483.5),(41 7886770),(42 7629469.5),(43 7487503),(44 7506819.5),(45 7725228.5),(46 8111690),(47 8662257),(48 9332290),(49 10109577),(50 10947507),(51 11859153),(52 12843599),(53 13771108),(54 14674481),(55 15548491),(56 16256764),(57 16870884),(58 17384142),(59 17788088),(60 18059080),(61 18309416),(62 18465124),(63 18566806),(64 18496048),(65 18399784),(66 18110456),(67 17719222),(68 17176674),(69 16563353),(70 15887140),(71 15196720),(72 14551886),(73 13904197),(74 13280946),(75 12728224),(76 12231732),(77 11822059),(78 11505331),(79 11358859),
(1 299086.2),(2 1114660.5),(3 2472610.3),(4 4210874),(5 6302288.5),(6 8630078),(7 11162381),(8 13538495),(9 15910244),(10 17922548),(11 19608788),(12 20832430),(13 21669852),(14 22000718),(15 21907552),(16 21492446),(17 20762006),(18 19813214),(19 18708936),(20 17488072),(21 16291080),(22 15109456),(23 14040429),(24 13103705),(25 12241752),(26 11602930),(27 11092567),(28 10720789),(29 10493929),(30 10372836),(31 10289165),(32 10288661),(33 10327235),(34 10404200),(35 10548698),(36 10708946),(37 10859965),(38 10995736),(39 11126765),(40 11245811),(41 11322756),(42 11395378),(43 11496427),(44 11623305),(45 11748423),(46 11902575),(47 12044487),(48 12182088),(49 12281990),(50 12358889),(51 12455416),(52 12585348),(53 12675906),(54 12714625),(55 12813020),(56 12831656),(57 12789087),(58 12736728),(59 12706994),(60 12625034),(61 12576308),(62 12566678),(63 12593749),(64 12582783),(65 12624284),(66 12644286),(67 12635865),(68 12623673),(69 12619388),(70 12656481),(71 12702176),(72 12738539),(73 12868506),(74 12920100),(75 12958664),(76 12968115),(77 13031478),(78 13042537),(79 13162169),
