1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1973.4742),(2 5006.8784),(3 7681.781),(4 9396.2705),(5 10494.36),(6 11508.843),(7 12377.63),(8 13389.73),(9 13968.827),(10 14534.417),(11 15103.431),(12 15729.159),(13 16401.625),(14 17048.018),(15 17768.379),(16 18325.996),(17 18972.523),(18 19410.283),(19 19822.441),(20 20186.492),(21 20664.957),(22 21161.555),(23 21870.596),(24 22139.506),(25 22486.777),(26 22816.06),(27 23288.756),(28 23658.357),(29 23953.62),(30 24209.28),(31 24479.021),(32 24723.129),(33 25177.732),(34 25601.771),(35 25922.379),(36 26048.396),(37 26083.451),(38 26156.002),(39 26289.854),(40 26529.766),(41 26760.414),(42 26901.643),(43 27005.283),(44 27198.025),(45 27405.314),(46 27525.576),(47 27819.896),(48 28116.62),(49 28504.424),(50 28830.205),(51 29073.86),(52 29215.914),(53 29240.236),(54 29407.672),(55 29671.078),(56 29898.094),(57 30159.574),(58 30297.74),(59 30415.78),(60 30628.184),(61 30973.514),(62 31265.791),(63 31562.121),(64 31938.912),(65 32136.445),(66 32167.607),(67 32085.96),(68 32280.662),(69 32282.457),(70 32337.393),(71 32286.072),(72 32349.967),(73 32354.592),(74 32453.76),(75 32630.215),(76 32743.568),(77 32962.516),(78 33236.582),(79 33484.883),
(1 1960.8209),(2 4967.8213),(3 7593.391),(4 9301.378),(5 10438.31),(6 11447.181),(7 12426.289),(8 13626.179),(9 14309.531),(10 14926.659),(11 15418.24),(12 15921.56),(13 16523.379),(14 17196.354),(15 18049.186),(16 18714.752),(17 19209.443),(18 19494.535),(19 19861.773),(20 20108.404),(21 20451.63),(22 20755.488),(23 21006.6),(24 21175.7),(25 21393.785),(26 21676.988),(27 22094.563),(28 22442.188),(29 22700.918),(30 22824.12),(31 22962.357),(32 23137.697),(33 23418.945),(34 23797.11),(35 24057.393),(36 24170.799),(37 24340.605),(38 24653.537),(39 25038.467),(40 25478.705),(41 25837.229),(42 26108.824),(43 26193.707),(44 26298.148),(45 26531.098),(46 26839.805),(47 27098.365),(48 27218.088),(49 27335.807),(50 27429.906),(51 27708.926),(52 27888.43),(53 28154.357),(54 28350.836),(55 28523.84),(56 28711.354),(57 28876.107),(58 29063.992),(59 29094.352),(60 29052.148),(61 28916.66),(62 29009.557),(63 29162.664),(64 29436.572),(65 29587.791),(66 29705.53),(67 29833.672),(68 30092.105),(69 30253.785),(70 30351.402),(71 30382.176),(72 30432.465),(73 30386.623),(74 30308.324),(75 30312.719),(76 30404.17),(77 30493.67),(78 30503.973),(79 30511.432),
(1 1878.7593),(2 4626.437),(3 7082.062),(4 8763.469),(5 9967.336),(6 11024.96),(7 12003.747),(8 13075.439),(9 13835.077),(10 14599.968),(11 15278.619),(12 15797.964),(13 16367.141),(14 16974.645),(15 17693.344),(16 18233.498),(17 18574.24),(18 18840.066),(19 19319.475),(20 19628.896),(21 20085.678),(22 20491.951),(23 20896.22),(24 21156.238),(25 21257.313),(26 21357.5),(27 21677.516),(28 22051.158),(29 22091.105),(30 22198.64),(31 22368.766),(32 22659.377),(33 23186.17),(34 23654.053),(35 24003.215),(36 24093.645),(37 24152.572),(38 24583.082),(39 25010.541),(40 25523.68),(41 26007.574),(42 26310.266),(43 26616.322),(44 26631.322),(45 26765.33),(46 27142.373),(47 27508.602),(48 27831.035),(49 28197.107),(50 28482.475),(51 28695.23),(52 28697.912),(53 28760.754),(54 28955.984),(55 29127.236),(56 29323.408),(57 29527.521),(58 29773.465),(59 29946.32),(60 29797.086),(61 29612.994),(62 29598.361),(63 29653.572),(64 29799.447),(65 29827.365),(66 29856.904),(67 29907.674),(68 30113.195),(69 30103.39),(70 30062.5),(71 30019.926),(72 29959.07),(73 29938.838),(74 29949.447),(75 29994.188),(76 29935.746),(77 30052.336),(78 29984.598),(79 30028.678),
(1 1856.309),(2 4534.179),(3 6865.6616),(4 8430.401),(5 9424.643),(6 10367.166),(7 11310.532),(8 12372.581),(9 13076.825),(10 13690.595),(11 14234.989),(12 14708.476),(13 15235.244),(14 15773.498),(15 16346.316),(16 16894.445),(17 17305.504),(18 17646.332),(19 17980.307),(20 18299.174),(21 18565.021),(22 18802.139),(23 19247.85),(24 19516.693),(25 19774.092),(26 20102.45),(27 20503.521),(28 20826.834),(29 21052.934),(30 21319.096),(31 21522.043),(32 21813.617),(33 22150.295),(34 22427.227),(35 22600.873),(36 22802.234),(37 22996.49),(38 23256.97),(39 23444.87),(40 23626.133),(41 23773.695),(42 23828.205),(43 23909.693),(44 24129.91),(45 24368.89),(46 24610.172),(47 24887.332),(48 25186.305),(49 25505.635),(50 25781.955),(51 26016.242),(52 26108.191),(53 26276.137),(54 26431.96),(55 26539.701),(56 26801.898),(57 27214.258),(58 27503.842),(59 27712.002),(60 27678.682),(61 27536.154),(62 27497.822),(63 27697.572),(64 28066.963),(65 28214.063),(66 28318.64),(67 28333.154),(68 28147.525),(69 28003.389),(70 27930.193),(71 28049.121),(72 28138.846),(73 28180.795),(74 28096.54),(75 28112.303),(76 28223.201),(77 28430.695),(78 28457.77),(79 28586.377),
(1 1867.8354),(2 4541.8467),(3 6888.647),(4 8480.976),(5 9474.979),(6 10391.668),(7 11348.4375),(8 12510.909),(9 13296.091),(10 13899.574),(11 14379.639),(12 14912.859),(13 15581.974),(14 16199.05),(15 16800.191),(16 17327.156),(17 17774.02),(18 18066.662),(19 18247.76),(20 18367.025),(21 18526.504),(22 18732.238),(23 19194.549),(24 19455.701),(25 19780.256),(26 20120.752),(27 20547.205),(28 20905.883),(29 21162.875),(30 21356.338),(31 21537.434),(32 22083.768),(33 22669.979),(34 22959.777),(35 23153.688),(36 23458.707),(37 23685.846),(38 23868.895),(39 24034.215),(40 24251.947),(41 24527.98),(42 24922.207),(43 25196.615),(44 25501.658),(45 25908.277),(46 26146.023),(47 26338.111),(48 26586.805),(49 26805.932),(50 27099.027),(51 27466.893),(52 27678.486),(53 27722.604),(54 27781.152),(55 27911.768),(56 28036.623),(57 28227.506),(58 28458.645),(59 28553.584),(60 28488.441),(61 28378.643),(62 28516.805),(63 28860.033),(64 29191.527),(65 29354.918),(66 29334.563),(67 29518.969),(68 29507.803),(69 29559.268),(70 29701.084),(71 29886.727),(72 30060.164),(73 30218.113),(74 30365.6),(75 30470.146),(76 30696.38),(77 30927.133),(78 31073.883),(79 31145.998),
(1 1866.0695),(2 4562.5205),(3 6896.3926),(4 8502.677),(5 9673.507),(6 10708.279),(7 11733.187),(8 12976.733),(9 13735.415),(10 14398.754),(11 15071.024),(12 15806.049),(13 16627.152),(14 17232.09),(15 17815.31),(16 18197.082),(17 18488.86),(18 18731.924),(19 18991.094),(20 19202.518),(21 19343.594),(22 19517.773),(23 19819.967),(24 19835.76),(25 20016.145),(26 20316.322),(27 20686.654),(28 20905.803),(29 20976.236),(30 21090.926),(31 21329.182),(32 21728.498),(33 22225.934),(34 22672.834),(35 22925.568),(36 23005.121),(37 23051.86),(38 23086.092),(39 23171.791),(40 23434.258),(41 23726.053),(42 24141.934),(43 24431.06),(44 24679.752),(45 25087.275),(46 25334.826),(47 25513.264),(48 25624.975),(49 25773.654),(50 25974.299),(51 26217.07),(52 26504.875),(53 26614.125),(54 26743.488),(55 26946.016),(56 27113.379),(57 27265.313),(58 27313.932),(59 27436.482),(60 27391.803),(61 27492.684),(62 27618.615),(63 28008.367),(64 28385.885),(65 28631.566),(66 28740.414),(67 28922.635),(68 29172.748),(69 29297.742),(70 29513.955),(71 29831.87),(72 30193.238),(73 30365.393),(74 30575.78),(75 30800.664),(76 31055.713),(77 31209.469),(78 31181.932),(79 31054.068),
(1 1829.8732),(2 4489.463),(3 6741.698),(4 8286.165),(5 9375.966),(6 10310.006),(7 11127.329),(8 12147.685),(9 12857.357),(10 13520.442),(11 14157.399),(12 14681.821),(13 15304.686),(14 15847.372),(15 16526.248),(16 17042.928),(17 17535.955),(18 17927.865),(19 18218.2),(20 18411.611),(21 18797.074),(22 19105.89),(23 19377.305),(24 19459.47),(25 19550.127),(26 19757.436),(27 20209.441),(28 20537.953),(29 20761.588),(30 20789.064),(31 20729.063),(32 20854.39),(33 21261.734),(34 21757.9),(35 22046.158),(36 22327.334),(37 22537.947),(38 22759.793),(39 22904.555),(40 22960.734),(41 23085.479),(42 23291.416),(43 23566.73),(44 23674.275),(45 23844.27),(46 24008.336),(47 24361.09),(48 24680.7),(49 24888.46),(50 25130.238),(51 25391.432),(52 25672.256),(53 25803.008),(54 26015.607),(55 26262.23),(56 26581.818),(57 26823.35),(58 26960.139),(59 26961.5),(60 26811.16),(61 26701.838),(62 26735.867),(63 26939.65),(64 27310.504),(65 27637.91),(66 27788.686),(67 27932.352),(68 28083.252),(69 28151.344),(70 28264.734),(71 28484.066),(72 28769.678),(73 29000.08),(74 29119.723),(75 29074.195),(76 29133.475),(77 29268.354),(78 29332.248),(79 29374.664),
(1 1885.3937),(2 4590.3506),(3 6880.7285),(4 8450.098),(5 9530.212),(6 10522.226),(7 11346.538),(8 12502.662),(9 13301.131),(10 14021.144),(11 14562.223),(12 15161.647),(13 15814.015),(14 16398.77),(15 17080.824),(16 17485.797),(17 17890.293),(18 18182.135),(19 18391.664),(20 18594.023),(21 18982.078),(22 19291.186),(23 19683.566),(24 19916.121),(25 20138.213),(26 20433.117),(27 20661.463),(28 20959.467),(29 21174.406),(30 21232.76),(31 21195.564),(32 21312.484),(33 21618.389),(34 21963.7),(35 22360.434),(36 22772.535),(37 23169.037),(38 23263.803),(39 23352.672),(40 23326.082),(41 23383.336),(42 23595.611),(43 23719.127),(44 23861.104),(45 24030.906),(46 24257.26),(47 24443.5),(48 24555.484),(49 24570.021),(50 24659.088),(51 24733.842),(52 24833.8),(53 24963.096),(54 25121.326),(55 25412.027),(56 25776.195),(57 26168.457),(58 26446.406),(59 26549.656),(60 26516.762),(61 26629.934),(62 26821.563),(63 27091.35),(64 27294.611),(65 27407.498),(66 27389.328),(67 27457.98),(68 27601.254),(69 27758.467),(70 27923.732),(71 28037.396),(72 28116.021),(73 28236.383),(74 28263.133),(75 28260.643),(76 28351.71),(77 28336.088),(78 28471.303),(79 28551.633),
(1 1823.1824),(2 4399.9546),(3 6614.5566),(4 8073.3843),(5 9143.119),(6 10134.635),(7 11062.339),(8 12177.555),(9 13021.866),(10 13796.442),(11 14416.068),(12 15041.4375),(13 15718.414),(14 16293.962),(15 16920.813),(16 17406.895),(17 17850.947),(18 18268.14),(19 18628.514),(20 18955.1),(21 19215.506),(22 19371.383),(23 19632.78),(24 19915.807),(25 20275.969),(26 20714.53),(27 21075.686),(28 21348.799),(29 21514.35),(30 21482.223),(31 21443.443),(32 21529.234),(33 21874.4),(34 22139.525),(35 22416.139),(36 22739.887),(37 22984.764),(38 22959.127),(39 23017.998),(40 23181.418),(41 23370.316),(42 23522.627),(43 23622.645),(44 23637.459),(45 23870.998),(46 24111.105),(47 24258.498),(48 24451.99),(49 24591.295),(50 24655.951),(51 24765.023),(52 24755.654),(53 24759.883),(54 24747.803),(55 24981.55),(56 25104.512),(57 25207.715),(58 25220.916),(59 25191.184),(60 25030.063),(61 25037.021),(62 25111.074),(63 25407.229),(64 25615.936),(65 25725.803),(66 25727.586),(67 25944.465),(68 26168.727),(69 26214.863),(70 26194.268),(71 26293.334),(72 26364.346),(73 26522.813),(74 26697.783),(75 26900.63),(76 27118.479),(77 27090.04),(78 27188.375),(79 27239.889),
(1 1774.5349),(2 4246.395),(3 6302.605),(4 7750.2373),(5 8819.025),(6 9894.779),(7 10811.967),(8 11909.242),(9 12709.86),(10 13474.323),(11 14064.142),(12 14615.3955),(13 15332.183),(14 15892.956),(15 16450.826),(16 16841.988),(17 17125.512),(18 17407.354),(19 17699.135),(20 17927.58),(21 18033.338),(22 18158.832),(23 18393.033),(24 18728.758),(25 19130.535),(26 19608.479),(27 19965.963),(28 20214.04),(29 20383.164),(30 20350.914),(31 20485.652),(32 20846.977),(33 21338.086),(34 21810.424),(35 22252.828),(36 22611.078),(37 22957.152),(38 23182.607),(39 23298.965),(40 23430.758),(41 23720.559),(42 23879.846),(43 24014.258),(44 24152.246),(45 24413.855),(46 24500.02),(47 24664.863),(48 24908.47),(49 25028.777),(50 25179.959),(51 25507.512),(52 25753.021),(53 25822.607),(54 25792.049),(55 25834.896),(56 26001.65),(57 26147.354),(58 26286.293),(59 26296.697),(60 26222.832),(61 26249.3),(62 26379.5),(63 26610.898),(64 26726.396),(65 26843.092),(66 26782.32),(67 26786.92),(68 26900.604),(69 26762.068),(70 26732.113),(71 26777.602),(72 26896.281),(73 26978.834),(74 27112.84),(75 27221.42),(76 27342.012),(77 27400.871),(78 27347.572),(79 27259.61),
(1 1747.749),(2 4169.325),(3 6202.4336),(4 7544.607),(5 8559.631),(6 9524.455),(7 10386.73),(8 11439.096),(9 12146.774),(10 12800.281),(11 13387.094),(12 13924.481),(13 14580.951),(14 15075.754),(15 15574.732),(16 16026.149),(17 16320.48),(18 16598.963),(19 16934.875),(20 17241.705),(21 17465.824),(22 17535.621),(23 17698.803),(24 17864.885),(25 18157.098),(26 18555.684),(27 18825.191),(28 19082.545),(29 19265.213),(30 19312.914),(31 19420.652),(32 19600.031),(33 19855.13),(34 20094.229),(35 20370.73),(36 20673.71),(37 20993.1),(38 21260.572),(39 21484.955),(40 21642.66),(41 21910.064),(42 22275.178),(43 22596.635),(44 22740.074),(45 22876.62),(46 23027.23),(47 23190.91),(48 23473.273),(49 23732.588),(50 23895.236),(51 23993.754),(52 24086.395),(53 24294.998),(54 24416.81),(55 24617.602),(56 24768.39),(57 24868.6),(58 25016.354),(59 25130.668),(60 25011.049),(61 24975.953),(62 25082.252),(63 25257.838),(64 25418.225),(65 25676.773),(66 25719.844),(67 25758.594),(68 25809.346),(69 25813.715),(70 25997.535),(71 26322.488),(72 26580.496),(73 26753.75),(74 26909.586),(75 27025.77),(76 27172.006),(77 27376.04),(78 27574.121),(79 27628.17),
(1 1799.4324),(2 4267.412),(3 6275.6055),(4 7574.539),(5 8548.002),(6 9484.353),(7 10356.643),(8 11389.176),(9 12105.409),(10 12853.706),(11 13571.553),(12 14165.58),(13 14757.791),(14 15387.364),(15 15980.806),(16 16391.898),(17 16786.574),(18 17082.043),(19 17446.543),(20 17709.842),(21 17991.19),(22 18097.83),(23 18376.566),(24 18628.926),(25 18987.816),(26 19303.068),(27 19468.982),(28 19654.805),(29 19781.113),(30 19918.82),(31 20070.06),(32 20268.09),(33 20576.14),(34 20889.193),(35 21338.586),(36 21776.85),(37 21964.889),(38 22045.316),(39 22229.305),(40 22504.871),(41 22855.254),(42 23203.203),(43 23469.186),(44 23466.637),(45 23347.436),(46 23361.469),(47 23426.922),(48 23606.188),(49 23802.662),(50 23821.373),(51 23787.926),(52 23815.418),(53 24055.639),(54 24214.639),(55 24423.717),(56 24694.021),(57 24810.688),(58 24963.656),(59 25131.518),(60 25197.01),(61 25321.678),(62 25390.588),(63 25696.516),(64 25824.676),(65 26000.877),(66 26045.41),(67 26121.424),(68 26133.09),(69 26187.605),(70 26315.148),(71 26693.16),(72 26952.145),(73 27062.332),(74 27236.422),(75 27432.318),(76 27604.06),(77 27842.3),(78 27967.182),(79 27920.049),
(1 1673.1711),(2 3989.79),(3 5924.709),(4 7205.27),(5 8124.3657),(6 9003.02),(7 9824.976),(8 10730.371),(9 11305.387),(10 11924.979),(11 12554.752),(12 13134.133),(13 13766.766),(14 14418.5),(15 14983.574),(16 15383.185),(17 15784.17),(18 16132.974),(19 16530.648),(20 16856.62),(21 17185.383),(22 17511.32),(23 17724.664),(24 18058.834),(25 18521.723),(26 18911.473),(27 19120.305),(28 19263.008),(29 19317.553),(30 19294.549),(31 19411.36),(32 19675.2),(33 20052.752),(34 20405.049),(35 20773.072),(36 21075.756),(37 21265.975),(38 21477.986),(39 21668.184),(40 21756.309),(41 21990.06),(42 22294.625),(43 22496.336),(44 22534.453),(45 22564.426),(46 22652.133),(47 22660.246),(48 22758.213),(49 22745.855),(50 22641.383),(51 22606.695),(52 22695.479),(53 22797.545),(54 22870.66),(55 22912.672),(56 23001.97),(57 23037.096),(58 23075.516),(59 22995.727),(60 22989.162),(61 23108.135),(62 23120.516),(63 23180.723),(64 23262.783),(65 23359.531),(66 23426.732),(67 23467.414),(68 23488.027),(69 23577.66),(70 23771.783),(71 24039.44),(72 24233.748),(73 24507.877),(74 24847.826),(75 25095.023),(76 25310.414),(77 25420.316),(78 25594.943),(79 25715.727),
(1 1708.3367),(2 4093.1714),(3 6033.933),(4 7356.2397),(5 8357.509),(6 9231.779),(7 9927.804),(8 10620.057),(9 11167.625),(10 11764.024),(11 12318.079),(12 12906.51),(13 13555.85),(14 13955.304),(15 14430.276),(16 14703.584),(17 15040.3),(18 15496.787),(19 15995.321),(20 16425.137),(21 16797.102),(22 17118.78),(23 17414.81),(24 17678.846),(25 17996.082),(26 18287.29),(27 18555.744),(28 18821.703),(29 18992.088),(30 19189.02),(31 19374.133),(32 19588.914),(33 19893.082),(34 20194.156),(35 20520.344),(36 20750.12),(37 20855.535),(38 20995.912),(39 21068.227),(40 21191.1),(41 21396.576),(42 21511.314),(43 21661.568),(44 21751.21),(45 21803.547),(46 22004.523),(47 22190.83),(48 22345.057),(49 22402.87),(50 22477.088),(51 22473.6),(52 22644.113),(53 22728.799),(54 22846.91),(55 22855.23),(56 22904.838),(57 22946.465),(58 23007.383),(59 23046.855),(60 23019.678),(61 23040.396),(62 22952.87),(63 23141.527),(64 23195.775),(65 23296.545),(66 23276.625),(67 23215.25),(68 23373.986),(69 23405.535),(70 23366.396),(71 23425.514),(72 23418.361),(73 23417.354),(74 23507.254),(75 23637.887),(76 23745.607),(77 23695.611),(78 23739.38),(79 23856.371),
(1 1754.3092),(2 4241.084),(3 6362.8706),(4 7811.785),(5 8836.005),(6 9735.2295),(7 10443.176),(8 11246.826),(9 11906.141),(10 12578.364),(11 13177.086),(12 13776.824),(13 14349.211),(14 14845.589),(15 15238.776),(16 15421.825),(17 15768.597),(18 16147.34),(19 16601.822),(20 16990.445),(21 17370.953),(22 17563.475),(23 17688.305),(24 17795.428),(25 17950.234),(26 18206.096),(27 18609.434),(28 18875.008),(29 18972.332),(30 18959.223),(31 19068.863),(32 19136.396),(33 19376.857),(34 19779.818),(35 20197.371),(36 20417.336),(37 20425.469),(38 20508.8),(39 20662.912),(40 20872.01),(41 21212.191),(42 21472.09),(43 21641.895),(44 21797.938),(45 21921.64),(46 22104.734),(47 22330.383),(48 22377.922),(49 22407.428),(50 22450.127),(51 22568.861),(52 22598.186),(53 22696.816),(54 22808.688),(55 22906.896),(56 23166.123),(57 23360.86),(58 23560.242),(59 23628.611),(60 23595.79),(61 23615.04),(62 23708.805),(63 23864.332),(64 23870.477),(65 23940.943),(66 23987.156),(67 23969.754),(68 24101.426),(69 24236.113),(70 24338.033),(71 24585.217),(72 24714.379),(73 24724.125),(74 24735.088),(75 24800.396),(76 24928.75),(77 25050.465),(78 25261.926),(79 25453.951),
(1 1691.7086),(2 4032.031),(3 6043.295),(4 7302.656),(5 8137.201),(6 8902.37),(7 9559.699),(8 10296.473),(9 10914.243),(10 11635.782),(11 12339.523),(12 12992.695),(13 13540.117),(14 14000.845),(15 14366.861),(16 14609.918),(17 14985.886),(18 15412.334),(19 15869.69),(20 16304.214),(21 16678.217),(22 17006.53),(23 17240.766),(24 17354.523),(25 17675.844),(26 18020.02),(27 18314.541),(28 18543.873),(29 18677.447),(30 18726.477),(31 18901.7),(32 19123.19),(33 19469.441),(34 19803.936),(35 20042.18),(36 20249.236),(37 20370.533),(38 20565.027),(39 20699.783),(40 20776.096),(41 20962.662),(42 21265.975),(43 21384.996),(44 21471.705),(45 21671.518),(46 21786.754),(47 21880.137),(48 21948.531),(49 22028.342),(50 22052.863),(51 22242.21),(52 22356.229),(53 22452.943),(54 22629.654),(55 22769.719),(56 22946.625),(57 23128.396),(58 23251.488),(59 23284.682),(60 23257.023),(61 23358.914),(62 23513.416),(63 23619.973),(64 23609.043),(65 23599.69),(66 23553.084),(67 23561.033),(68 23526.445),(69 23608.29),(70 23623.154),(71 23748.018),(72 23868.38),(73 23947.6),(74 23953.918),(75 23766.346),(76 23753.816),(77 23678.95),(78 23818.154),(79 23850.744),
(1 1722.3325),(2 4090.2832),(3 6078.2495),(4 7351.721),(5 8147.3115),(6 8865.934),(7 9538.753),(8 10388.982),(9 11038.443),(10 11708.578),(11 12359.07),(12 12960.674),(13 13497.968),(14 13966.269),(15 14288.811),(16 14466.835),(17 14797.449),(18 15195.095),(19 15599.88),(20 15911.475),(21 16104.012),(22 16225.212),(23 16301.385),(24 16354.971),(25 16609.02),(26 16927.48),(27 17315.332),(28 17624.914),(29 17815.625),(30 17986.412),(31 18118.287),(32 18317.17),(33 18588.623),(34 18976.482),(35 19354.287),(36 19615.055),(37 19834.523),(38 19973.305),(39 20111.61),(40 20203.729),(41 20380.271),(42 20621.012),(43 20909.875),(44 21143.748),(45 21153.93),(46 21234.658),(47 21355.064),(48 21547.658),(49 21755.553),(50 21917.375),(51 22074.121),(52 22189.686),(53 22276.941),(54 22400.299),(55 22487.348),(56 22535.176),(57 22635.254),(58 22688.979),(59 22699.58),(60 22742.736),(61 22831.953),(62 22924.176),(63 23172.549),(64 23365.293),(65 23381.129),(66 23490.316),(67 23738.684),(68 23935.863),(69 24037.164),(70 24027.21),(71 24168.725),(72 24298.152),(73 24417.445),(74 24498.434),(75 24466.713),(76 24506.857),(77 24384.19),(78 24392.03),(79 24346.11),
(1 1676.9725),(2 3984.8542),(3 5881.7583),(4 7068.3354),(5 7831.537),(6 8578.711),(7 9352.411),(8 10441.08),(9 11144.457),(10 11793.394),(11 12465.069),(12 13074.138),(13 13646.745),(14 14032.413),(15 14437.844),(16 14769.192),(17 15144.619),(18 15562.024),(19 15965.11),(20 16218.095),(21 16383.346),(22 16505.283),(23 16637.209),(24 16786.988),(25 16967.482),(26 17195.873),(27 17457.436),(28 17562.799),(29 17585.795),(30 17581.957),(31 17622.584),(32 17744.148),(33 17984.049),(34 18264.533),(35 18518.535),(36 18723.904),(37 18909.566),(38 19193.754),(39 19375.53),(40 19553.607),(41 19855.887),(42 20093.69),(43 20397.236),(44 20699.756),(45 20865.703),(46 21028.852),(47 21191.637),(48 21321.168),(49 21493.396),(50 21604.39),(51 21786.553),(52 22035.896),(53 22281.693),(54 22415.125),(55 22616.568),(56 22658.266),(57 22704.326),(58 22755.666),(59 22834.465),(60 22837.395),(61 22929.986),(62 22986.473),(63 23186.148),(64 23245.943),(65 23162.643),(66 23181.633),(67 23310.238),(68 23383.166),(69 23362.16),(70 23233.107),(71 23226.734),(72 23228.832),(73 23255.152),(74 23235.695),(75 23276.072),(76 23271.547),(77 23341.314),(78 23503.893),(79 23518.844),
