1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 350291.66),(2 1232655.5),(3 2392551.8),(4 3692796),(5 5174866.5),(6 6809202),(7 8731382),(8 10878569),(9 13166995),(10 15464513),(11 17768814),(12 20004790),(13 22091576),(14 24116138),(15 25929312),(16 27899114),(17 30239480),(18 32910464),(19 35475300),(20 37669372),(21 39525852),(22 41256156),(23 42919660),(24 44781250),(25 46540428),(26 48370340),(27 49794732),(28 50815228),(29 51543040),(30 52289388),(31 53047184),(32 53636860),(33 53986524),(34 54363252),(35 54687044),(36 55389310),(37 55885024),(38 55927316),(39 55904044),(40 56297324),(41 57050348),(42 57945936),(43 59009584),(44 60046236),(45 60797204),(46 61543620),(47 62215508),(48 62448930),(49 62544396),(50 62572292),(51 62644092),(52 62694176),(53 63230332),(54 63607572),(55 63676304),(56 63765780),(57 63903156),(58 63918370),(59 63775180),(60 63384108),(61 62818080),(62 62680910),(63 62449332),(64 62608052),(65 62849284),(66 63067970),(67 62926028),(68 62724384),(69 62700812),(70 62923980),(71 63577024),(72 64788564),(73 65894548),(74 66720560),(75 67623640),(76 67816610),(77 67636020),(78 67828040),(79 67874080),
(1 334197.1),(2 1169096.4),(3 2332643.8),(4 3744084.8),(5 5350303),(6 7030231),(7 8852855),(8 10919155),(9 12978977),(10 15039869),(11 17182534),(12 19546804),(13 21697306),(14 23824486),(15 25993138),(16 28412170),(17 31172528),(18 34036536),(19 36660980),(20 39055964),(21 41176120),(22 43171212),(23 45336160),(24 47735276),(25 50113110),(26 52510216),(27 54688130),(28 56739316),(29 58790580),(30 60979050),(31 63130540),(32 64903030),(33 66488064),(34 67919930),(35 69081320),(36 70027096),(37 70609240),(38 70776260),(39 70624360),(40 70521750),(41 70422720),(42 70382680),(43 70219030),(44 69964100),(45 69596760),(46 69179224),(47 68568940),(48 67632870),(49 66760640),(50 65793684),(51 64870388),(52 64141256),(53 63949132),(54 63869950),(55 63623308),(56 63451930),(57 63478572),(58 63662188),(59 63946840),(60 64336588),(61 65064588),(62 65885464),(63 66534732),(64 67415040),(65 68360820),(66 69257000),(67 69938080),(68 70503540),(69 70932630),(70 71487304),(71 72296160),(72 72901290),(73 73397970),(74 73612616),(75 73509330),(76 73227790),(77 72885250),(78 72496920),(79 71953260),
(1 324540.47),(2 1068055.6),(3 2010826),(4 3081463.3),(5 4229510.5),(6 5451317.5),(7 6808250.5),(8 8253562),(9 9708059),(10 11194512),(11 12690611),(12 14256644),(13 15668227),(14 17000526),(15 18349872),(16 19898930),(17 21481390),(18 23036374),(19 24453182),(20 25847990),(21 27449142),(22 28927686),(23 30380128),(24 31745680),(25 32988294),(26 34059588),(27 34988772),(28 35947440),(29 36781572),(30 37690388),(31 38587500),(32 39617980),(33 40776456),(34 42285052),(35 43633980),(36 44642920),(37 45393230),(38 45994044),(39 46497740),(40 46901564),(41 47122816),(42 47294860),(43 47558050),(44 48001092),(45 48564864),(46 48937396),(47 48964372),(48 48894610),(49 48741564),(50 48451444),(51 48152850),(52 47871520),(53 47777492),(54 47647948),(55 47373844),(56 47002140),(57 46582784),(58 46125396),(59 45722770),(60 45445856),(61 45331988),(62 45034740),(63 44737308),(64 44290404),(65 43691332),(66 42956524),(67 42206308),(68 41496588),(69 41048996),(70 40769460),(71 40436330),(72 39638260),(73 38436756),(74 36982836),(75 35492530),(76 33748772),(77 31999918),(78 30204230),(79 28433282),
(1 401970.56),(2 1412443.1),(3 2845559),(4 4601981.5),(5 6495290.5),(6 8459248),(7 10624878),(8 12886244),(9 15202231),(10 17616832),(11 20171386),(12 22774616),(13 25198172),(14 27413290),(15 29555512),(16 31679268),(17 33925110),(18 36141228),(19 38371620),(20 40490036),(21 42241252),(22 43487196),(23 44347630),(24 44958036),(25 45253820),(26 44997056),(27 44308090),(28 43255544),(29 41851704),(30 40265772),(31 38561636),(32 36902680),(33 35348932),(34 34043664),(35 32703886),(36 31468744),(37 30409514),(38 29517416),(39 28906314),(40 28498688),(41 28549134),(42 28990392),(43 29732862),(44 30815736),(45 32125312),(46 33415868),(47 34635676),(48 35773904),(49 36782070),(50 37756544),(51 38723216),(52 39700516),(53 40699796),(54 41524496),(55 42244884),(56 42792896),(57 43130780),(58 43215012),(59 43087800),(60 42587650),(61 41831516),(62 40811628),(63 39691424),(64 38357424),(65 36781536),(66 35185010),(67 33591430),(68 32072886),(69 30796604),(70 29624970),(71 28530116),(72 27498500),(73 26575974),(74 25831904),(75 25196278),(76 24686710),(77 24273752),(78 24083532),(79 24120892),
(1 436458.2),(2 1564999.6),(3 3208511.8),(4 5289032),(5 7641096.5),(6 10072925),(7 12501951),(8 14795846),(9 17050924),(10 19190676),(11 21282862),(12 23318164),(13 25282302),(14 26654470),(15 28077010),(16 29190270),(17 30198718),(18 31160734),(19 32138872),(20 32987970),(21 33526586),(22 33797200),(23 33886900),(24 33941744),(25 33857200),(26 33533144),(27 32937880),(28 32237394),(29 31297612),(30 30162840),(31 28772242),(32 27431714),(33 26141620),(34 25013902),(35 24047788),(36 23146590),(37 22381626),(38 21854322),(39 21498222),(40 21397822),(41 21651014),(42 22170654),(43 22817230),(44 23601128),(45 24362378),(46 25036550),(47 25715362),(48 26321806),(49 26779212),(50 27305670),(51 27857728),(52 28425914),(53 28846470),(54 29055976),(55 29239398),(56 29275852),(57 29096480),(58 28703848),(59 28086622),(60 27125266),(61 26045804),(62 24953762),(63 23954578),(64 22897340),(65 21841518),(66 20874470),(67 20091496),(68 19488260),(69 19124048),(70 18979816),(71 19094116),(72 19412134),(73 20024544),(74 20641480),(75 21290232),(76 21921864),(77 22584098),(78 23354620),(79 24194932),
(1 532408.8),(2 1892059.6),(3 3768540),(4 5951427.5),(5 8233331),(6 10406251),(7 12335398),(8 13937403),(9 15241962),(10 16311709),(11 17190794),(12 17881662),(13 18109680),(14 18295412),(15 18061214),(16 17903844),(17 18117498),(18 18617584),(19 19117740),(20 19542126),(21 19891816),(22 20364396),(23 21130944),(24 21804842),(25 22186928),(26 22183932),(27 21874304),(28 21354780),(29 20672568),(30 19967828),(31 19306746),(32 18737372),(33 18298356),(34 18074948),(35 18033418),(36 18176122),(37 18312554),(38 18295434),(39 18132808),(40 18042140),(41 18073168),(42 18433542),(43 18922090),(44 19348166),(45 19621260),(46 19741124),(47 19824876),(48 19864326),(49 19915548),(50 19989400),(51 19909864),(52 19745696),(53 19507476),(54 19188946),(55 18903104),(56 18531322),(57 18105980),(58 17687132),(59 17392840),(60 17283250),(61 17476710),(62 17755724),(63 18017072),(64 18358224),(65 18554016),(66 18607228),(67 18541030),(68 18423828),(69 18407908),(70 18525334),(71 18818574),(72 19231590),(73 19941258),(74 20812694),(75 21679790),(76 22507878),(77 23175368),(78 23825812),(79 24357288),
(1 538052.44),(2 1842553.4),(3 3483344.5),(4 5249816.5),(5 6910497),(6 8370941.5),(7 9586906),(8 10517402),(9 11209335),(10 11804321),(11 12237263),(12 12444153),(13 12424914),(14 12203215),(15 11844814),(16 11469324),(17 11193508),(18 11081804),(19 11208924),(20 11437653),(21 11725521),(22 12180016),(23 12772676),(24 13354450),(25 13754844),(26 14029884),(27 14463746),(28 15089486),(29 15842470),(30 16530709),(31 17211518),(32 17761806),(33 18208990),(34 18673352),(35 19160546),(36 19634692),(37 20047490),(38 20024336),(39 19946704),(40 19886956),(41 19774730),(42 19788390),(43 19691302),(44 19485346),(45 19199788),(46 18816190),(47 18376584),(48 17823630),(49 17322600),(50 16998140),(51 16814176),(52 16989124),(53 17381136),(54 17869394),(55 18319998),(56 18587964),(57 18641122),(58 18540620),(59 18300130),(60 17971786),(61 17588592),(62 17177630),(63 16734841),(64 16466639),(65 16298020),(66 16210048),(67 16144290),(68 15965562),(69 15829136),(70 15666708),(71 15417397),(72 15318714),(73 15462166),(74 15910119),(75 16574026),(76 17223770),(77 17914190),(78 18719356),(79 19408494),
(1 520049.13),(2 1785639.1),(3 3444879.5),(4 5312732.5),(5 7189239.5),(6 8961389),(7 10609039),(8 12174080),(9 13701807),(10 15152242),(11 16332966),(12 17249116),(13 17958476),(14 18216780),(15 18409046),(16 18267638),(17 17841882),(18 17454542),(19 17165192),(20 16849420),(21 16551041),(22 16381841),(23 16386654),(24 16630474),(25 16960582),(26 17206024),(27 17482464),(28 17923060),(29 18396924),(30 18729286),(31 18838782),(32 18774998),(33 18566198),(34 18248902),(35 17945002),(36 17810648),(37 17886494),(38 17923488),(39 18150618),(40 18330078),(41 18473504),(42 18507572),(43 18472622),(44 18198850),(45 17781782),(46 17209144),(47 16558768),(48 16006348),(49 15611327),(50 15486476),(51 15554519),(52 15772284),(53 16150706),(54 16536011),(55 16942932),(56 17248298),(57 17414618),(58 17527212),(59 17578936),(60 17752094),(61 17827282),(62 17949044),(63 18206310),(64 18326190),(65 18469454),(66 18649762),(67 18728140),(68 18648200),(69 18462646),(70 18101358),(71 17645410),(72 17152482),(73 16679595),(74 16192022),(75 15785548),(76 15598957),(77 15630045),(78 15829697),(79 16199351),
(1 546897.44),(2 1892554.6),(3 3578786),(4 5335283.5),(5 7041986),(6 8665449),(7 10024740),(8 11235970),(9 12221711),(10 13142029),(11 13971424),(12 14668094),(13 15102106),(14 15181114),(15 15205307),(16 15220213),(17 15266863),(18 15190711),(19 15091758),(20 15012110),(21 15035191),(22 15155096),(23 15330246),(24 15314713),(25 15204667),(26 15088702),(27 15227772),(28 15574773),(29 15829739),(30 15711783),(31 15090640),(32 14300971),(33 13467955),(34 12809242),(35 12419825),(36 12239031),(37 12335938),(38 12495746),(39 12835876),(40 13194150),(41 13408957),(42 13549832),(43 13800040),(44 14025464),(45 14127776),(46 14068015),(47 13844031),(48 13678338),(49 13745591),(50 13938824),(51 14220065),(52 14563663),(53 14881773),(54 15123670),(55 15308930),(56 15524664),(57 15863889),(58 16180909),(59 16391273),(60 16656290),(61 16745638),(62 16883456),(63 17126932),(64 17436856),(65 17701384),(66 17816880),(67 17642910),(68 17230322),(69 16667300),(70 15932143),(71 15279040),(72 14705022),(73 14185877),(74 13530125),(75 12825651),(76 12290473),(77 11873576),(78 11603914),(79 11474273),
(1 675717.06),(2 2346645),(3 4443922.5),(4 6533840),(5 8357495),(6 9860973),(7 11121830),(8 12158222),(9 12948011),(10 13612366),(11 14235565),(12 14736934),(13 14991534),(14 14995833),(15 14849420),(16 14749947),(17 14572678),(18 14134521),(19 13529330),(20 12898620),(21 12394942),(22 12000940),(23 11649917),(24 11349851),(25 11248432),(26 11467403),(27 12050038),(28 12932058),(29 13952263),(30 14832603),(31 15513428),(32 15967474),(33 16277732),(34 16574542),(35 16866660),(36 16943876),(37 16939192),(38 17073074),(39 16951716),(40 16786734),(41 16593198),(42 16377207),(43 15990450),(44 15521163),(45 15017575),(46 14522064),(47 13988175),(48 13486026),(49 13100957),(50 12846630),(51 12820553),(52 13129204),(53 13625101),(54 14188862),(55 14663259),(56 15063906),(57 15428930),(58 15698315),(59 15761996),(60 15577980),(61 15244885),(62 15001753),(63 14847140),(64 14902313),(65 15063733),(66 15159835),(67 15144839),(68 15080471),(69 14950617),(70 14717462),(71 14393193),(72 14011783),(73 13655020),(74 13111378),(75 12534772),(76 12008885),(77 11604308),(78 11363211),(79 11218566),
(1 714961.75),(2 2421357.3),(3 4525066.5),(4 6623840),(5 8476467),(6 10144229),(7 11779925),(8 13183112),(9 14195047),(10 14845414),(11 15229135),(12 15535437),(13 15758142),(14 15709997),(15 15803541),(16 15636633),(17 15420219),(18 15089759),(19 14675353),(20 14388692),(21 14215096),(22 13869305),(23 13401018),(24 13030356),(25 12690986),(26 12586742),(27 12614711),(28 12726637),(29 12931872),(30 13174456),(31 13405272),(32 13439978),(33 13385451),(34 13334862),(35 13354334),(36 13387706),(37 13454576),(38 13635720),(39 13767051),(40 13784340),(41 13862728),(42 14006755),(43 14217632),(44 14529256),(45 14812508),(46 15139174),(47 15363923),(48 15379791),(49 15188663),(50 14787771),(51 14416981),(52 14147523),(53 14082954),(54 14090951),(55 14071106),(56 14067012),(57 14054488),(58 13972559),(59 13788145),(60 13562457),(61 13419709),(62 13338042),(63 13331038),(64 13387301),(65 13611276),(66 14002738),(67 14511508),(68 15003360),(69 15392574),(70 15606965),(71 15580663),(72 15518857),(73 15508024),(74 15407396),(75 15134133),(76 14706105),(77 14251541),(78 13860640),(79 13623974),
