1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 34119.69),(2 74369.086),(3 78500.57),(4 73786.18),(5 78990.51),(6 85111.08),(7 87059.77),(8 87711.4),(9 87063.75),(10 86885.766),(11 88093.73),(12 89835.625),(13 90398.03),(14 89930.69),(15 92038.734),(16 94676.734),(17 93753),(18 94278.914),(19 95920.05),(20 96190.07),(21 94828.78),(22 94413.28),(23 94865.92),(24 92855.09),(25 91844.484),(26 94166.47),(27 94819.38),(28 94564.02),(29 94552.21),(30 97803.84),(31 99150.125),(32 97345.35),(33 93681.63),(34 93713.38),(35 96717.48),(36 97080.234),(37 96587.016),(38 95813.64),(39 95910.6),(40 96288.88),(41 95949.14),(42 95933.07),(43 94463.54),(44 93651.46),(45 93965.87),(46 95428.65),(47 96577.82),(48 96877.305),(49 97670.55),(50 97009.055),(51 97596.91),(52 98374.52),(53 98562.92),(54 98809.48),(55 98415.08),(56 98116.48),(57 99933.58),(58 100813.95),(59 100865.05),(60 99784.2),(61 97861.836),(62 98593.79),(63 99907.86),(64 98665.01),(65 96559.26),(66 97122.2),(67 97139.484),(68 96866.03),(69 99562.57),(70 100206.88),(71 99170.984),(72 99772.56),(73 101716.96),(74 102854.55),(75 103837.02),(76 102841.42),(77 101904.98),(78 100819.375),(79 102372.195),
(1 33165.203),(2 69584.91),(3 71272.63),(4 69386.8),(5 77402.09),(6 82172.05),(7 80518.1),(8 78133.586),(9 77258.19),(10 78836.93),(11 80443.32),(12 81766.414),(13 82524.516),(14 82495.234),(15 83320.67),(16 83383.59),(17 84590.81),(18 86237.57),(19 88003.734),(20 88431.35),(21 87277.73),(22 88537.3),(23 89123.414),(24 87855.21),(25 88343.734),(26 91636.555),(27 92173.805),(28 91300.195),(29 89990.04),(30 91361.46),(31 92729),(32 90108.41),(33 86404.375),(34 90531.19),(35 95908.44),(36 96451.89),(37 95542.19),(38 94933.46),(39 94844.88),(40 93810.3),(41 91827.305),(42 89818.73),(43 87397.36),(44 87053.74),(45 90557.93),(46 93015.9),(47 93134.6),(48 93980.086),(49 94831.38),(50 93083.6),(51 91377.58),(52 91654.49),(53 91726.48),(54 91649.78),(55 94398.46),(56 96872.805),(57 95023.234),(58 91814.266),(59 91325.95),(60 92003.79),(61 91770.555),(62 94333.46),(63 94308.24),(64 92380.37),(65 91430.59),(66 92521.74),(67 93127.47),(68 92972.086),(69 93303.29),(70 94848.484),(71 95745.81),(72 96060.62),(73 96138.89),(74 97533.875),(75 98870.84),(76 97610.81),(77 96332.83),(78 98037.42),(79 100086.47),
(1 32314.629),(2 68666.24),(3 70899.63),(4 67711.375),(5 73554.44),(6 76923.98),(7 76359.42),(8 77004.65),(9 77869.875),(10 78926.98),(11 79993.8),(12 81202.945),(13 81183.24),(14 79596.61),(15 80532.01),(16 83353.94),(17 83665.13),(18 80899.4),(19 80905.49),(20 83534.96),(21 83574.03),(22 83669.336),(23 83544.1),(24 84163.91),(25 85318.59),(26 89033.84),(27 91886.195),(28 92215.125),(29 90533.62),(30 91878.85),(31 92890.41),(32 90449.15),(33 88877.26),(34 91241.414),(35 92576.84),(36 92535.664),(37 91139.47),(38 90154.31),(39 90442.766),(40 90622.65),(41 89974.48),(42 88830.39),(43 86610.99),(44 86437.17),(45 89344.445),(46 93776.23),(47 91871.67),(48 89137.41),(49 89385.26),(50 90008.76),(51 88373.86),(52 87339.51),(53 89124.89),(54 89119.06),(55 90297.15),(56 92064.86),(57 89298.234),(58 88247.69),(59 90073.26),(60 90758.266),(61 89189.016),(62 90144.77),(63 90120.9),(64 88795.414),(65 86892.83),(66 87920),(67 90750.76),(68 89343.17),(69 88241.45),(70 90506.94),(71 91451.555),(72 91266.55),(73 91625.9),(74 92301.055),(75 93137.164),(76 92652.34),(77 92722.13),(78 96028.516),(79 97438.836),
(1 30346.998),(2 64543.582),(3 67274.445),(4 66196.46),(5 71326.13),(6 73363.1),(7 72268.74),(8 72111.43),(9 72353.586),(10 73081.32),(11 73989.65),(12 75181.57),(13 75748.266),(14 76180.41),(15 76687.1),(16 77650.9),(17 79444),(18 78208.766),(19 78346.305),(20 82188.2),(21 82335.53),(22 78734.305),(23 77409.24),(24 80245.52),(25 82095.78),(26 83215.64),(27 83975.17),(28 85284.484),(29 87015.734),(30 86024.52),(31 84064.086),(32 83972.11),(33 84488.97),(34 84596.24),(35 85231.2),(36 87180.945),(37 86371.086),(38 85594.266),(39 88512.25),(40 88066.88),(41 84816.9),(42 81403.164),(43 81861.86),(44 86793.21),(45 89381.016),(46 89473.1),(47 87355.016),(48 85775.1),(49 85867.164),(50 85438.38),(51 84250.83),(52 84731.92),(53 86794.26),(54 87967.8),(55 87000.98),(56 87097.53),(57 88327.305),(58 89562.016),(59 88090.93),(60 87110.96),(61 88301.78),(62 90628.695),(63 91212.87),(64 89615.6),(65 88127.37),(66 90085.21),(67 91566.945),(68 91515.664),(69 90633.43),(70 91522.4),(71 91621.375),(72 91871.23),(73 91784.266),(74 91840.11),(75 92647.16),(76 92289.57),(77 91418.305),(78 93082.21),(79 94315.42),
(1 29595.1),(2 62626.434),(3 65322.324),(4 64414.316),(5 69626.22),(6 71115.82),(7 68378.98),(8 66760),(9 67447.81),(10 68203.04),(11 69730.59),(12 73045.38),(13 73119.76),(14 72124.61),(15 73005.68),(16 75289.51),(17 75990.66),(18 72576.96),(19 73256.76),(20 79739.72),(21 81164.67),(22 76795.31),(23 75542.055),(24 78833.57),(25 79592.61),(26 78298.24),(27 78097.85),(28 79181.39),(29 80583.305),(30 79725.84),(31 78758.234),(32 79716.9),(33 79744.44),(34 79261.12),(35 80427.71),(36 81424.9),(37 79775.68),(38 77944.03),(39 79423.734),(40 80074.05),(41 78085.695),(42 77305.67),(43 77338.56),(44 78328.76),(45 78864.94),(46 79334.586),(47 79040.9),(48 78934.25),(49 79575.766),(50 78229.164),(51 76202.4),(52 75709.51),(53 78705.98),(54 81469.17),(55 79929.85),(56 79257.67),(57 80300.48),(58 80902.81),(59 79842.53),(60 78578.33),(61 80570.766),(62 81454.664),(63 80083.9),(64 79936.13),(65 82144.91),(66 83075.62),(67 81609.85),(68 81737.3),(69 83168.78),(70 82866.01),(71 83714.1),(72 85983.125),(73 87250.72),(74 87088.87),(75 86994.984),(76 86950.16),(77 85593.625),(78 85821.09),(79 87254.38),
(1 29927.227),(2 61617.57),(3 62701.098),(4 61886.805),(5 67692.93),(6 69143.29),(7 67381.78),(8 65980.625),(9 66566.555),(10 67088.305),(11 68111.55),(12 71283.68),(13 71655.875),(14 69760.45),(15 69329.766),(16 71533.26),(17 73540.63),(18 71293),(19 71557.74),(20 75387.805),(21 74811.05),(22 70928.62),(23 72552.766),(24 78060.7),(25 78896.89),(26 76741.49),(27 76586.74),(28 78801.61),(29 81507.516),(30 78980.086),(31 76818.04),(32 77163.06),(33 77157.36),(34 77120.16),(35 78717.555),(36 80535.76),(37 79562.39),(38 79970.1),(39 80763.836),(40 79052.016),(41 76810.64),(42 77732.67),(43 78961.086),(44 78055.875),(45 76835.664),(46 77451.43),(47 79013.6),(48 80072.016),(49 78291.81),(50 76227.625),(51 74806.65),(52 74950.36),(53 77541.555),(54 77688.71),(55 75325.7),(56 75810.164),(57 77724.41),(58 77625.305),(59 75747.734),(60 74419.055),(61 74850.664),(62 75511.47),(63 73699.54),(64 72675.61),(65 75340.18),(66 77978.92),(67 77587.164),(68 74798.516),(69 74436.63),(70 76915.4),(71 80001.83),(72 81094.2),(73 80994.96),(74 79498.664),(75 80466.14),(76 82455.984),(77 81726.91),(78 81728.16),(79 83008.41),
(1 28551.8),(2 58566.043),(3 59557.453),(4 60345.805),(5 64998.29),(6 64831.35),(7 62558.8),(8 63175.23),(9 65092.62),(10 65105.19),(11 64358.918),(12 64994.766),(13 66264.664),(14 67525.43),(15 67445.96),(16 69169.6),(17 71048.29),(18 69075.32),(19 69956.766),(20 74464.47),(21 73925.7),(22 69026.52),(23 70905.945),(24 76338.26),(25 74014.98),(26 71209.75),(27 73812.84),(28 76812.836),(29 76684.625),(30 74241.85),(31 73835.74),(32 74296.484),(33 74966.945),(34 75569.68),(35 75736.24),(36 75522.73),(37 75911.41),(38 77400.5),(39 76951.64),(40 73761.805),(41 72984.97),(42 75323.62),(43 75799.484),(44 75672.14),(45 75824.74),(46 75630.984),(47 75948.27),(48 75869.15),(49 74848.18),(50 75333.25),(51 76910.85),(52 77796.33),(53 78309.18),(54 78431.79),(55 78149.34),(56 78579.9),(57 78621.22),(58 76135.05),(59 75672.414),(60 77044.84),(61 76939.3),(62 75542.7),(63 76078.484),(64 76675.97),(65 76967.73),(66 78247.375),(67 77839.305),(68 77748.93),(69 79135.42),(70 80168.52),(71 79656.38),(72 79859.21),(73 80321.43),(74 80013.28),(75 79655.55),(76 79178.79),(77 79223.016),(78 80397.3),(79 81344.305),
(1 28333.162),(2 57552.402),(3 59108.496),(4 60307.992),(5 65445.633),(6 65087.207),(7 64324.316),(8 64147.316),(9 63878.883),(10 65148.016),(11 66929.91),(12 67432.445),(13 68172.79),(14 69286.83),(15 69889.03),(16 70418.89),(17 70342.234),(18 69251.516),(19 71517.64),(20 75138.16),(21 74684.08),(22 71131.04),(23 71783.02),(24 74631.375),(25 74662.84),(26 72687.67),(27 73219.586),(28 74324.77),(29 75429.55),(30 75338.16),(31 74040.664),(32 74734.95),(33 75417.01),(34 73926.99),(35 74315.33),(36 74534.57),(37 73860.82),(38 74653.21),(39 74977.72),(40 72941.29),(41 71970.71),(42 74083.91),(43 75878.07),(44 74574.62),(45 73740.414),(46 74430.05),(47 75843.77),(48 75674.3),(49 74704.31),(50 72922.35),(51 73465.734),(52 74410.805),(53 74117.32),(54 74771.39),(55 76023.85),(56 75390.31),(57 74153.1),(58 74008.19),(59 74167.53),(60 74800.59),(61 72386.555),(62 71949.88),(63 75316.07),(64 75421.25),(65 72924.79),(66 75327.836),(67 77520.67),(68 75034.055),(69 74030.9),(70 74612.95),(71 76468.305),(72 77707.7),(73 77241.53),(74 76512.79),(75 77082.6),(76 77703.84),(77 78449.32),(78 77776.78),(79 77752.34),
(1 28003.682),(2 55162.39),(3 54016.59),(4 53974.92),(5 58536.074),(6 59730.617),(7 59367.56),(8 58536.438),(9 58571.082),(10 61935.414),(11 63508.16),(12 63109.703),(13 64476.152),(14 66552.984),(15 65464.383),(16 66241.84),(17 65991.086),(18 65133.45),(19 68814.875),(20 72064.19),(21 68689.45),(22 65469.113),(23 69670.164),(24 74014.625),(25 72603.01),(26 73052.76),(27 74032.87),(28 73149.65),(29 74003.18),(30 73465.46),(31 73082.445),(32 73519.32),(33 74661.73),(34 75405.695),(35 75159.35),(36 73817.945),(37 72204.4),(38 72838.93),(39 72242.11),(40 71121.945),(41 72007.7),(42 73456.805),(43 73995.31),(44 75079.1),(45 74732.38),(46 74725.18),(47 75042.95),(48 76124.41),(49 76483.164),(50 75874.32),(51 74823.07),(52 75178.37),(53 75931.836),(54 76380.83),(55 76417.81),(56 74579.28),(57 73954.72),(58 77378.45),(59 76843.516),(60 74044.81),(61 75106.38),(62 75698.48),(63 75273.83),(64 76143.15),(65 75079.33),(66 75441.625),(67 77515.52),(68 76779.74),(69 74370.67),(70 74222.82),(71 76996.836),(72 78502.98),(73 75900.32),(74 74490.914),(75 75512.53),(76 77405),(77 78500.22),(78 78940.35),(79 80704.81),
(1 28728.969),(2 56701.598),(3 56960.92),(4 57563.29),(5 60401.03),(6 60056.684),(7 60483.414),(8 59716.875),(9 58823.47),(10 61683.008),(11 63472.59),(12 62775.555),(13 62387.38),(14 64586.742),(15 65453.203),(16 65723.46),(17 65944.76),(18 66392.1),(19 67882.68),(20 68413.19),(21 67543.17),(22 66933.875),(23 69046.41),(24 70977.65),(25 69384.9),(26 67607.14),(27 70060.13),(28 72357.875),(29 71695.805),(30 68550.05),(31 70307.44),(32 73081.836),(33 71425.34),(34 70159.734),(35 70946.65),(36 72030.195),(37 70447.25),(38 69409.71),(39 69076.69),(40 69712.586),(41 71157.28),(42 73006.88),(43 70361.336),(44 71583.28),(45 73477.37),(46 72438.484),(47 70620.484),(48 72070.42),(49 73862.016),(50 73308.65),(51 72766.94),(52 73459.25),(53 73134.99),(54 73024.93),(55 73643.71),(56 72035.99),(57 70981.06),(58 73233.336),(59 72454.43),(60 69663.64),(61 70853.055),(62 74748.86),(63 76315.2),(64 75553.375),(65 73963.77),(66 74315.12),(67 75090.33),(68 74304.02),(69 73021.805),(70 73387.03),(71 73810.72),(72 73453.766),(73 74135.53),(74 74184.46),(75 74791.26),(76 75488.445),(77 75961.586),(78 77870.06),(79 77505.36),
(1 27079.041),(2 54434.76),(3 54325.145),(4 52313.18),(5 54840.18),(6 56964.887),(7 57893.05),(8 57005.703),(9 56734.254),(10 58386.637),(11 58904.383),(12 57508.957),(13 56243.457),(14 59035.285),(15 60939.26),(16 59965.11),(17 58912.08),(18 60496.266),(19 62765.793),(20 62579.105),(21 61591.12),(22 62670.273),(23 65488.965),(24 66796.37),(25 64170.453),(26 63620.414),(27 66326.336),(28 67601.39),(29 65873.65),(30 64237.117),(31 66024.14),(32 69029.61),(33 68914.07),(34 67042.89),(35 66748.914),(36 69592.15),(37 67711.625),(38 65907.44),(39 67141.2),(40 68388.76),(41 69072.31),(42 67876.79),(43 66988.516),(44 68827.19),(45 70888.94),(46 71756.06),(47 69424.04),(48 67698.87),(49 70648.38),(50 71264.45),(51 68778.62),(52 69006.26),(53 70776.49),(54 71309.336),(55 70660.03),(56 68992.41),(57 68622.81),(58 70554.55),(59 70285.98),(60 68811.78),(61 70677.77),(62 72561.55),(63 71809.21),(64 72737.805),(65 73568.9),(66 71324.7),(67 70479.5),(68 71393.8),(69 71486.65),(70 71623.74),(71 71261.13),(72 71822.61),(73 73427.734),(74 71817.66),(75 70848.41),(76 71908.98),(77 72952.19),(78 73494.16),(79 72756.48),
(1 25797.275),(2 49811.805),(3 48609.695),(4 48702.535),(5 52104.426),(6 52559.496),(7 51663.48),(8 52139.41),(9 53984.883),(10 54612.047),(11 55889.863),(12 56675.992),(13 55571.863),(14 56553.74),(15 57909.34),(16 57487.38),(17 57887.863),(18 60853.043),(19 61864.645),(20 61368.914),(21 60238.848),(22 61091.434),(23 64202.62),(24 65459.383),(25 62089.918),(26 62302.27),(27 65352.76),(28 65671.89),(29 64553.17),(30 64411.754),(31 65504.207),(32 66102.3),(33 65926.25),(34 64185.566),(35 64985.707),(36 66751.1),(37 64087.133),(38 62414.07),(39 63410.105),(40 64400.234),(41 64834.56),(42 64319.563),(43 64527.52),(44 65454.004),(45 66240.164),(46 67237.05),(47 65928.19),(48 64616.055),(49 66105.586),(50 66377.13),(51 64935.84),(52 66315.43),(53 67066),(54 65542.164),(55 65317.79),(56 66431.484),(57 67388.89),(58 67189.75),(59 66540.26),(60 66708.516),(61 68402.625),(62 69730.54),(63 67595.81),(64 66931.97),(65 67584.47),(66 66904.086),(67 66728.03),(68 66751.04),(69 66909.73),(70 67539.01),(71 67178.63),(72 66883.734),(73 68683.87),(74 68970.375),(75 67943.72),(76 69132.14),(77 70188.77),(78 70414.23),(79 70187.305),
(1 25421.742),(2 50290.117),(3 51222.457),(4 50920.26),(5 53007.535),(6 52373.03),(7 51913.19),(8 53612.28),(9 54986.848),(10 55315.047),(11 56081.68),(12 56104.54),(13 54709.03),(14 56999.42),(15 57450.86),(16 56506.316),(17 58003.27),(18 59783.113),(19 59828.223),(20 58630.785),(21 58697.63),(22 60602.85),(23 62543.133),(24 61772.742),(25 59677.293),(26 60540.727),(27 62350.848),(28 61837.336),(29 61151.168),(30 62243.273),(31 63955.14),(32 64452.08),(33 63418.426),(34 62213.05),(35 63548.805),(36 63895.91),(37 60919.53),(38 60186.266),(39 62143.824),(40 63474.742),(41 62217.21),(42 63276.184),(43 64207.383),(44 63544.406),(45 63490.414),(46 63426.453),(47 62497.23),(48 62826.938),(49 63329.54),(50 63268.715),(51 64286.32),(52 65380.945),(53 65178.434),(54 62935.586),(55 62896.965),(56 64804.785),(57 65017.55),(58 63486.246),(59 63609.734),(60 66281.71),(61 66630.47),(62 67574.87),(63 68781.98),(64 67405.9),(65 65169.035),(66 64333.098),(67 65134.082),(68 66732.79),(69 67876.89),(70 68079.9),(71 66740.875),(72 66685.97),(73 67195.88),(74 66392.64),(75 66316.77),(76 68629.83),(77 69661.13),(78 68290.73),(79 68187.766),
(1 25122.682),(2 48344.535),(3 47556.008),(4 47533.055),(5 50190.89),(6 49930.984),(7 48777.58),(8 50380.69),(9 53024.58),(10 51310.5),(11 49829.46),(12 51802.176),(13 53085.645),(14 53725.727),(15 54472.203),(16 53633.324),(17 53192.633),(18 55083.457),(19 55722.855),(20 53317.395),(21 54184.563),(22 58299.105),(23 58018.645),(24 56642.51),(25 57039.16),(26 59172.723),(27 60610.625),(28 59082.24),(29 58144.477),(30 59677.324),(31 59473.84),(32 60015.125),(33 59813.414),(34 58584.453),(35 60474.348),(36 61928.363),(37 58235.95),(38 57357.375),(39 61825.473),(40 63094.523),(41 59879.508),(42 59241.957),(43 61021.332),(44 61762.23),(45 61230.9),(46 60171.867),(47 60183.094),(48 60452.047),(49 60780.16),(50 59427.902),(51 59947.688),(52 61639.527),(53 60051.883),(54 58468.934),(55 60151.035),(56 62023.688),(57 60303.16),(58 59961.6),(59 62513.29),(60 63102.008),(61 62430.74),(62 62334.875),(63 62631.832),(64 63388.77),(65 62443.926),(66 60848.254),(67 61337.29),(68 62311.973),(69 63966.26),(70 63664.68),(71 63705.746),(72 64533.035),(73 63799.625),(74 62969.82),(75 64171.703),(76 64865.586),(77 64254.42),(78 62941.973),(79 64471.523),
(1 23241.36),(2 43283.984),(3 42532.625),(4 45131.227),(5 48880.22),(6 47579.387),(7 47700.152),(8 49276.45),(9 49331.164),(10 47954.367),(11 47932.297),(12 50213.887),(13 50828.547),(14 52068.957),(15 52533.887),(16 51493.426),(17 51617),(18 54181.08),(19 53934.12),(20 52569.65),(21 53930.38),(22 55058.367),(23 55537.426),(24 54788.887),(25 53645.313),(26 54763.68),(27 54571.426),(28 54464.848),(29 55706.047),(30 55179.742),(31 55718.855),(32 57567.387),(33 55155.555),(34 53630.066),(35 55796.848),(36 55184.074),(37 53839.043),(38 54823.527),(39 56711.797),(40 56823.977),(41 56375.887),(42 55905.27),(43 55635.227),(44 55887.57),(45 56273.684),(46 56506.984),(47 56834.246),(48 57172.64),(49 57885.684),(50 57390.887),(51 57429.938),(52 56549.785),(53 56114.047),(54 56143.895),(55 56671.01),(56 57372.3),(57 56185.824),(58 56984.582),(59 59025.164),(60 58950.62),(61 59426.883),(62 59755.35),(63 58211),(64 59828.39),(65 60730.973),(66 59429.855),(67 58982.137),(68 59866.652),(69 60562.973),(70 60149.56),(71 60729.223),(72 61284.258),(73 61473.402),(74 62640.34),(75 62682.06),(76 63348.332),(77 62842.496),(78 62670.008),(79 64639.137),
(1 24054.342),(2 44835.36),(3 42291.164),(4 44014.28),(5 48754.824),(6 48016.195),(7 46985.94),(8 47275.684),(9 46851.88),(10 45279.773),(11 44964.344),(12 46804.934),(13 48289.203),(14 49528.406),(15 50383.035),(16 49535.445),(17 49874.305),(18 51503.47),(19 51540.95),(20 49293.27),(21 50616.074),(22 52680.434),(23 52302.996),(24 50613.574),(25 50162.777),(26 52381.47),(27 52002.977),(28 50013.1),(29 52113.684),(30 54460.563),(31 54670.914),(32 55173.92),(33 54430.613),(34 53133.473),(35 53473.586),(36 53219.73),(37 52274.992),(38 53949.234),(39 54572.168),(40 53366.914),(41 53819.867),(42 55050.43),(43 55350.65),(44 55121.36),(45 55022.605),(46 55271.848),(47 55302.676),(48 55158.82),(49 55756.76),(50 57009.9),(51 56229.023),(52 55861.445),(53 57077.598),(54 57136.91),(55 56351.02),(56 55753.035),(57 57341.36),(58 57882.93),(59 57613.64),(60 59654.438),(61 59872.46),(62 58727.77),(63 58425.348),(64 57678.582),(65 57702.316),(66 58483.48),(67 58993.37),(68 58991.18),(69 59119.254),(70 60101.6),(71 58459.668),(72 57047.195),(73 58267.426),(74 58729.188),(75 58403.105),(76 59152.023),(77 60587.08),(78 60498.566),(79 60077.727),
(1 23897.758),(2 42219.14),(3 39393.637),(4 40977.61),(5 46214.41),(6 46823.484),(7 45619.914),(8 45627.6),(9 45739.39),(10 44680.703),(11 43954.805),(12 45813.703),(13 47730.387),(14 48469.88),(15 49305.246),(16 49098.484),(17 49205.66),(18 50891.066),(19 49848.934),(20 48310.43),(21 50493.293),(22 51846.96),(23 51085.508),(24 50416.418),(25 51462.105),(26 51437.977),(27 50132.68),(28 50387.36),(29 51346.68),(30 52450.36),(31 52771.434),(32 52689.637),(33 52964.94),(34 52051.406),(35 52169.56),(36 52191.63),(37 51899.582),(38 52451.44),(39 53086.633),(40 51766.59),(41 51093.434),(42 51068.457),(43 51874.15),(44 53175.273),(45 52284.805),(46 52717.402),(47 54186.27),(48 53109.74),(49 52921.344),(50 54138.363),(51 53835.19),(52 53247.574),(53 53846.44),(54 54521.785),(55 52768.723),(56 53021.37),(57 55501.457),(58 55629.633),(59 56713.633),(60 57563.277),(61 57155.39),(62 56480.31),(63 56063.67),(64 56043.273),(65 55480.965),(66 54696.363),(67 55670.46),(68 56259.785),(69 56105.113),(70 56418.477),(71 55423.723),(72 55836.918),(73 56611.227),(74 56803.203),(75 57166.375),(76 58286.453),(77 58526.68),(78 57822.008),(79 56497.793),
(1 23563.445),(2 41955.73),(3 39296.36),(4 41666.19),(5 46117.273),(6 45677.81),(7 44117.35),(8 44641.05),(9 44613.426),(10 43656.64),(11 42593.617),(12 44164.74),(13 45701.98),(14 46651.5),(15 48392.16),(16 49125.62),(17 48591.34),(18 49844.75),(19 50946.727),(20 50382.43),(21 50174.56),(22 50994.38),(23 49720.07),(24 50310.39),(25 51533.195),(26 51189.695),(27 50066.57),(28 50801.543),(29 51682.766),(30 51053.355),(31 50554.965),(32 51894.254),(33 53149.316),(34 52541.35),(35 51350.13),(36 50937.02),(37 51403.637),(38 51970.445),(39 51345.69),(40 51554.95),(41 51379.434),(42 50324.543),(43 50169.223),(44 50947.215),(45 51452.242),(46 51992.453),(47 52092.97),(48 52263.113),(49 51782.32),(50 51861.938),(51 51619.25),(52 50889.07),(53 52460.21),(54 52052.68),(55 51528.74),(56 52529.96),(57 52679.184),(58 53075.375),(59 53583.86),(60 53909.31),(61 55079.973),(62 54107.926),(63 52707.664),(64 54431.207),(65 53318.84),(66 52903.973),(67 55342.445),(68 54699.793),(69 54110.363),(70 53639.21),(71 53836.37),(72 55341.688),(73 55862.51),(74 55511.41),(75 57512.74),(76 56245.555),(77 55204.38),(78 56089.418),(79 57663.53),
