1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 165184.77),(2 626806.06),(3 1375966.1),(4 2386077.5),(5 3673331.8),(6 5215374),(7 6977710.5),(8 8966595),(9 11242665),(10 13704277),(11 16370256),(12 19275502),(13 22378576),(14 25622490),(15 29042192),(16 32590890),(17 36319748),(18 40047410),(19 43903484),(20 47804052),(21 51917696),(22 56181548),(23 60651308),(24 65290668),(25 69885610),(26 74687790),(27 79524744),(28 84302696),(29 89078010),(30 93924824),(31 98738240),(32 103616584),(33 108654080),(34 113572380),(35 118440580),(36 123223200),(37 127943420),(38 132534424),(39 136718610),(40 140959500),(41 145071630),(42 148958420),(43 152610510),(44 156212750),(45 159647090),(46 162990220),(47 166106380),(48 169057650),(49 171816820),(50 174333040),(51 176660180),(52 178779630),(53 180696400),(54 182322560),(55 183700690),(56 184957140),(57 185780850),(58 186238340),(59 186174340),(60 185724590),(61 185238830),(62 184092340),(63 182373680),(64 180393400),(65 177850000),(66 175001620),(67 171772560),(68 167919340),(69 163722190),(70 159059360),(71 154075150),(72 148804910),(73 143205060),(74 137295660),(75 131169400),(76 124820120),(77 118363240),(78 111872856),(79 105291976),
(1 405513.34),(2 1576136),(3 3460554.8),(4 6005859),(5 9194230),(6 12947970),(7 17174640),(8 21743338),(9 26796906),(10 31998388),(11 37436696),(12 43060748),(13 48729164),(14 54354230),(15 59856536),(16 65253290),(17 70438740),(18 75332480),(19 80004990),(20 84412440),(21 88456230),(22 92141620),(23 95695220),(24 98851896),(25 101684990),(26 104251380),(27 106511150),(28 108424150),(29 110076376),(30 111595096),(31 112985100),(32 114287640),(33 115440380),(34 116644610),(35 117748100),(36 118735620),(37 119901010),(38 121431400),(39 122731470),(40 124264320),(41 125846740),(42 127617230),(43 129666610),(44 131769340),(45 133934696),(46 136292140),(47 138737580),(48 141250500),(49 143814370),(50 146247840),(51 148672720),(52 151033890),(53 153228620),(54 155302910),(55 157146770),(56 158834980),(57 160176460),(58 161293090),(59 161990180),(60 162307890),(61 162562690),(62 162296290),(63 161675200),(64 160780590),(65 159507040),(66 158007250),(67 156139420),(68 153952800),(69 151410050),(70 148741550),(71 145843120),(72 142645150),(73 139191900),(74 135486900),(75 131537370),(76 127430250),(77 123135230),(78 118606080),(79 113984180),
(1 348191.9),(2 1370955.8),(3 3042697.3),(4 5316787.5),(5 8172026.5),(6 11573781),(7 15421555),(8 19575752),(9 24127750),(10 28859256),(11 33727150),(12 38687084),(13 43679090),(14 48604480),(15 53453584),(16 58141268),(17 62593612),(18 66751344),(19 70569976),(20 74088490),(21 77263750),(22 80030136),(23 82522570),(24 84847370),(25 86574490),(26 87989784),(27 89145610),(28 89954560),(29 90461250),(30 90768936),(31 90898390),(32 90951740),(33 90831770),(34 90724220),(35 90599496),(36 90327976),(37 90239544),(38 90327320),(39 90306400),(40 90422024),(41 90651420),(42 90949560),(43 91371416),(44 91873224),(45 92429450),(46 93007450),(47 93681790),(48 94387720),(49 95050856),(50 95709350),(51 96427930),(52 97129450),(53 97808056),(54 98450600),(55 99005910),(56 99534744),(57 99841770),(58 99963416),(59 99920130),(60 99779240),(61 99610776),(62 99425570),(63 99013930),(64 98597030),(65 98007620),(66 97418560),(67 96706504),(68 95947544),(69 95131900),(70 94159656),(71 93171160),(72 92140630),(73 91032520),(74 89985660),(75 88879160),(76 87642810),(77 86310340),(78 84791304),(79 83108560),
(1 298209.84),(2 1163193.5),(3 2559915),(4 4421007),(5 6681857),(6 9289695),(7 12140280),(8 15131396),(9 18275498),(10 21414390),(11 24523588),(12 27577474),(13 30484232),(14 33231552),(15 35797820),(16 38167868),(17 40284376),(18 42171556),(19 43884116),(20 45412204),(21 46732290),(22 47869308),(23 48933376),(24 49775332),(25 50503556),(26 51121984),(27 51668980),(28 52135616),(29 52587544),(30 52999496),(31 53343430),(32 53752420),(33 54134850),(34 54549244),(35 54841010),(36 55222000),(37 55576890),(38 55940436),(39 56285212),(40 56713940),(41 57038810),(42 57424080),(43 57783084),(44 58138348),(45 58452556),(46 58760190),(47 59062930),(48 59367816),(49 59677268),(50 59979650),(51 60346750),(52 60740536),(53 61167132),(54 61670840),(55 62159280),(56 62620204),(57 63166164),(58 63743936),(59 64283356),(60 64863844),(61 65424880),(62 65898224),(63 66327124),(64 66714000),(65 66978772),(66 67071040),(67 66977224),(68 66717550),(69 66364444),(70 65901184),(71 65200348),(72 64334464),(73 63278136),(74 62049836),(75 60647624),(76 59101840),(77 57426756),(78 55650576),(79 53733416),
(1 226770.39),(2 881016.4),(3 1930334.4),(4 3332115),(5 5027531.5),(6 6980291),(7 9141888),(8 11401665),(9 13805094),(10 16224441),(11 18606904),(12 20987182),(13 23268332),(14 25422112),(15 27439238),(16 29293656),(17 30995290),(18 32475930),(19 33801268),(20 34938364),(21 35813340),(22 36511220),(23 37047732),(24 37393056),(25 37608176),(26 37683220),(27 37632036),(28 37475556),(29 37247428),(30 36929132),(31 36549956),(32 36161252),(33 35716850),(34 35249464),(35 34700644),(36 34130852),(37 33609476),(38 33063192),(39 32558720),(40 32099070),(41 31663224),(42 31306412),(43 31001140),(44 30757278),(45 30567064),(46 30433792),(47 30340160),(48 30303796),(49 30298206),(50 30326744),(51 30407406),(52 30536920),(53 30684504),(54 30875340),(55 31116690),(56 31431360),(57 31803586),(58 32187168),(59 32619596),(60 33122440),(61 33669252),(62 34236092),(63 34877620),(64 35517172),(65 36160350),(66 36767976),(67 37315910),(68 37826896),(69 38242050),(70 38570164),(71 38776524),(72 38831100),(73 38734708),(74 38496030),(75 38082576),(76 37493480),(77 36769428),(78 35857790),(79 34789868),
(1 126103.42),(2 490016.2),(3 1080788.5),(4 1884508.8),(5 2883774.5),(6 4051424.8),(7 5373796),(8 6780945.5),(9 8287005),(10 9821942),(11 11290899),(12 12749397),(13 14136434),(14 15407965),(15 16568128),(16 17570572),(17 18469996),(18 19203488),(19 19764566),(20 20195820),(21 20482740),(22 20649562),(23 20717166),(24 20772158),(25 20710272),(26 20577226),(27 20351978),(28 20085692),(29 19762156),(30 19365788),(31 18965078),(32 18519156),(33 18056906),(34 17600058),(35 17117078),(36 16638390),(37 16169213),(38 15756918),(39 15324333),(40 14935650),(41 14580070),(42 14277050),(43 14028288),(44 13834061),(45 13693818),(46 13591733),(47 13515392),(48 13463086),(49 13422208),(50 13369428),(51 13339518),(52 13313602),(53 13266931),(54 13207319),(55 13148756),(56 13105463),(57 13077450),(58 13068298),(59 13055034),(60 13096742),(61 13211614),(62 13396106),(63 13644482),(64 13958963),(65 14316117),(66 14711728),(67 15138218),(68 15543083),(69 15933469),(70 16291891),(71 16641088),(72 16975686),(73 17253796),(74 17497644),(75 17654144),(76 17722172),(77 17718724),(78 17620764),(79 17429226),
(1 145000.56),(2 557526.8),(3 1209518.9),(4 2057287.9),(5 3042324.3),(6 4133840.5),(7 5279442.5),(8 6388510),(9 7452533),(10 8402631),(11 9208557),(12 9893423),(13 10418718),(14 10810383),(15 11075970),(16 11227218),(17 11292582),(18 11307147),(19 11282396),(20 11206928),(21 11107335),(22 11028917),(23 10953712),(24 10903146),(25 10886326),(26 10863186),(27 10819342),(28 10770662),(29 10671479),(30 10509742),(31 10303660),(32 10052216),(33 9734772),(34 9396777),(35 9019364),(36 8647989),(37 8261552),(38 7882814),(39 7579708.5),(40 7284823),(41 7055292.5),(42 6916601),(43 6827974),(44 6816937),(45 6867431),(46 6970275.5),(47 7109837.5),(48 7273536),(49 7440710),(50 7602685),(51 7747131),(52 7864087),(53 7935069),(54 7949119.5),(55 7915035.5),(56 7845993),(57 7717656),(58 7538732.5),(59 7332805.5),(60 7120479),(61 6915781.5),(62 6755867),(63 6675746.5),(64 6692746.5),(65 6801730.5),(66 7020088),(67 7337264.5),(68 7732111),(69 8188005.5),(70 8715139),(71 9260481),(72 9778600),(73 10244734),(74 10635641),(75 10917609),(76 11085109),(77 11143189),(78 11089861),(79 10986592),
(1 122500.79),(2 460632.66),(3 967319.6),(4 1583736.8),(5 2248392.8),(6 2911565),(7 3535992),(8 4081845.5),(9 4549574.5),(10 4963087.5),(11 5303535.5),(12 5611752.5),(13 5890191),(14 6124485),(15 6324951),(16 6490549),(17 6618023.5),(18 6708858.5),(19 6770820.5),(20 6805147.5),(21 6841609.5),(22 6938030),(23 7081964.5),(24 7288307),(25 7537633),(26 7808104),(27 8059843),(28 8260374),(29 8378839),(30 8399159),(31 8282338),(32 8051856),(33 7711472.5),(34 7284311),(35 6820130),(36 6342909.5),(37 5906226),(38 5542623),(39 5234415),(40 5008762),(41 4863853.5),(42 4788119),(43 4773300.5),(44 4798752.5),(45 4838408.5),(46 4885943.5),(47 4935638.5),(48 4993012.5),(49 5062406),(50 5161389.5),(51 5287353),(52 5417735),(53 5538129.5),(54 5614108.5),(55 5654203.5),(56 5634379.5),(57 5558840.5),(58 5434499.5),(59 5280677.5),(60 5132005),(61 5025600),(62 4974366.5),(63 4978712.5),(64 5047934.5),(65 5164783),(66 5322928.5),(67 5516817),(68 5735574.5),(69 5969554),(70 6207237.5),(71 6481707.5),(72 6759914.5),(73 7025769.5),(74 7260038),(75 7428326.5),(76 7508600),(77 7481335.5),(78 7362188.5),(79 7207273.5),
(1 97251),(2 357758.84),(3 740551.44),(4 1197545.4),(5 1664908.5),(6 2104489.5),(7 2488849.8),(8 2794007.5),(9 3009054),(10 3143392.8),(11 3225125.8),(12 3276462.3),(13 3317201.8),(14 3380224.5),(15 3476149),(16 3588195),(17 3723261.5),(18 3860558.5),(19 3992048.5),(20 4120542),(21 4266837),(22 4423699.5),(23 4593464),(24 4777204.5),(25 4952597),(26 5113350),(27 5252395.5),(28 5362989.5),(29 5434025),(30 5471428),(31 5489852.5),(32 5463868),(33 5411690.5),(34 5318495.5),(35 5200262.5),(36 5064158.5),(37 4919335),(38 4780533),(39 4672853),(40 4600619.5),(41 4569512.5),(42 4571530.5),(43 4579802),(44 4596761.5),(45 4613389.5),(46 4630137),(47 4647003.5),(48 4669043),(49 4694110.5),(50 4705643.5),(51 4697384.5),(52 4675586.5),(53 4633263.5),(54 4571786),(55 4509382.5),(56 4463571.5),(57 4443050.5),(58 4450963.5),(59 4501997),(60 4586409.5),(61 4671746),(62 4761931),(63 4846914),(64 4911842.5),(65 4950978),(66 4987976.5),(67 5028167.5),(68 5062687.5),(69 5107230),(70 5174352.5),(71 5235513),(72 5304855),(73 5362228),(74 5401610.5),(75 5436970),(76 5466994.5),(77 5515352.5),(78 5587156),(79 5681129.5),
(1 101286.37),(2 374231.6),(3 773259.9),(4 1244402.9),(5 1725733.8),(6 2169297.8),(7 2534076),(8 2821121),(9 3034460.5),(10 3171824.5),(11 3295734.3),(12 3412841.3),(13 3532253.5),(14 3658913.8),(15 3787932.5),(16 3914457),(17 4029185.3),(18 4146481),(19 4261709.5),(20 4353438.5),(21 4436346),(22 4514727),(23 4575887),(24 4607065),(25 4624058),(26 4601856),(27 4545278),(28 4467635),(29 4376287),(30 4300294),(31 4249986),(32 4215972.5),(33 4208570.5),(34 4208136.5),(35 4207593),(36 4213760),(37 4226318.5),(38 4221821.5),(39 4213437),(40 4197329),(41 4168677.3),(42 4137230.8),(43 4089016.5),(44 4033679.5),(45 3983944),(46 3934694.8),(47 3898659),(48 3882830.8),(49 3884545.8),(50 3917050.8),(51 3946735.5),(52 3966185.8),(53 3987651.5),(54 3994191),(55 3974099),(56 3947436),(57 3915140.5),(58 3880669.3),(59 3861034.3),(60 3844305),(61 3829589),(62 3821591.5),(63 3809338.3),(64 3800895.5),(65 3785804.5),(66 3789386.3),(67 3808840.5),(68 3858531.5),(69 3933061.3),(70 4051311.5),(71 4186639),(72 4326758),(73 4445273.5),(74 4537043),(75 4614096.5),(76 4660948.5),(77 4707458.5),(78 4792082),(79 4848343.5),
(1 125090.3),(2 465556.28),(3 955106.75),(4 1520371.5),(5 2060556.5),(6 2500219.3),(7 2802673.8),(8 2945619.3),(9 2972854.8),(10 2915751.5),(11 2826051.3),(12 2776242.8),(13 2803354.5),(14 2934331.8),(15 3163971.3),(16 3483728.5),(17 3851314),(18 4219852),(19 4545501.5),(20 4767104),(21 4867685),(22 4884795.5),(23 4785524),(24 4612006),(25 4425519),(26 4213984.5),(27 4021845.8),(28 3892665.8),(29 3841516.8),(30 3862627.3),(31 3944084.3),(32 4053910.5),(33 4155692.3),(34 4214028),(35 4216021),(36 4163247),(37 4035124.8),(38 3867780.8),(39 3696806.8),(40 3544445),(41 3425890.3),(42 3350565.3),(43 3312400),(44 3330591),(45 3396409.3),(46 3507414.8),(47 3662612.3),(48 3839070),(49 4009081.5),(50 4153686),(51 4236127.5),(52 4234786.5),(53 4172228.8),(54 4076933.8),(55 3958905.5),(56 3839447.3),(57 3741950.5),(58 3671091.3),(59 3643000.5),(60 3657215.8),(61 3696654.5),(62 3749603),(63 3792911),(64 3826539.3),(65 3820749),(66 3779308.3),(67 3700740),(68 3591065),(69 3484994),(70 3398779),(71 3332014.3),(72 3293024.3),(73 3276298.8),(74 3285668.8),(75 3328928.5),(76 3399890.8),(77 3506668.8),(78 3667188.3),(79 3804024.8),
