1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 130197.54),(2 431060.28),(3 892246.7),(4 1449971.5),(5 2077746.1),(6 2745613),(7 3403841),(8 4064296.3),(9 4710793.5),(10 5407218),(11 6240038.5),(12 7292872),(13 8550576),(14 9837445),(15 11175964),(16 12626247),(17 14108008),(18 15627792),(19 17037046),(20 18373600),(21 19517446),(22 20506654),(23 21437910),(24 22229650),(25 22984384),(26 23591350),(27 24162650),(28 24642914),(29 25207658),(30 25848950),(31 26584374),(32 27323494),(33 27918542),(34 28570960),(35 29157680),(36 29691360),(37 30179850),(38 30465954),(39 30489154),(40 30404482),(41 30230454),(42 30144362),(43 30230730),(44 30457750),(45 30821712),(46 31206106),(47 31617750),(48 32087824),(49 32726942),(50 33394438),(51 34077220),(52 34605420),(53 35059420),(54 35351932),(55 35622900),(56 35786030),(57 35754356),(58 35758428),(59 35825556),(60 36034076),(61 36461950),(62 36873710),(63 37188964),(64 37655724),(65 38332268),(66 39358132),(67 40569610),(68 42201184),(69 43848548),(70 45660260),(71 47650668),(72 49795376),(73 51664884),(74 53568404),(75 55470176),(76 57299620),(77 58866660),(78 60471616),(79 62076460),
(1 134954.58),(2 471860.8),(3 960605.2),(4 1557854.5),(5 2215427),(6 2889477.5),(7 3596984.8),(8 4393500),(9 5227601),(10 6143422),(11 7145903),(12 8234798.5),(13 9331630),(14 10564707),(15 11888602),(16 13369750),(17 14876899),(18 16349869),(19 17773366),(20 19207264),(21 20586828),(22 21890566),(23 23110576),(24 24252824),(25 25315908),(26 26322266),(27 27431248),(28 28622086),(29 29993300),(30 31417440),(31 32775920),(32 34169200),(33 35597024),(34 37138656),(35 38685816),(36 40136988),(37 41421076),(38 42663560),(39 44009824),(40 45679572),(41 47442316),(42 49479060),(43 51794264),(44 54332864),(45 57147508),(46 60247276),(47 63452172),(48 66875404),(49 70227910),(50 73427800),(51 76697870),(52 79789070),(53 82900010),(54 86032744),(55 89160700),(56 92300070),(57 95504744),(58 98820456),(59 102284590),(60 105919460),(61 109461950),(62 113116520),(63 116621016),(64 119872640),(65 123214184),(66 126746220),(67 130225330),(68 133503590),(69 136773630),(70 140028130),(71 143411100),(72 146656590),(73 149394610),(74 152132100),(75 154687100),(76 156611230),(77 158261890),(78 159647330),(79 160469620),
(1 266299.1),(2 1007256.2),(3 2206194.3),(4 3809490),(5 5787400),(6 8108390.5),(7 10721776),(8 13731975),(9 17098038),(10 20862606),(11 24870058),(12 29151744),(13 33618690),(14 38520972),(15 43633100),(16 49080976),(17 54609180),(18 60017630),(19 65427170),(20 70613270),(21 75367450),(22 79535096),(23 83049240),(24 86090520),(25 88601860),(26 90725560),(27 92747900),(28 94681190),(29 96509336),(30 98111330),(31 99625340),(32 101241240),(33 102792680),(34 104416800),(35 105867624),(36 106993950),(37 107777510),(38 108242264),(39 108905544),(40 109858584),(41 110876584),(42 112057790),(43 113602344),(44 115552696),(45 117987170),(46 121006020),(47 124309880),(48 127744490),(49 130808030),(50 133351496),(51 135888720),(52 138116180),(53 140088880),(54 142124560),(55 143824050),(56 145433730),(57 147095630),(58 148736960),(59 150270000),(60 151608720),(61 152594320),(62 153294220),(63 154122240),(64 154912130),(65 155447470),(66 155670800),(67 155484780),(68 155014700),(69 154922380),(70 155083780),(71 155780850),(72 156665490),(73 157348270),(74 158089330),(75 158825040),(76 159495600),(77 159932560),(78 160198610),(79 160017170),
(1 197260.47),(2 724717.25),(3 1528846.9),(4 2572435.5),(5 3763642.3),(6 5088230),(7 6552760.5),(8 8147547.5),(9 9882686),(10 11711903),(11 13591509),(12 15575570),(13 17584046),(14 19716748),(15 21879420),(16 24008020),(17 26109970),(18 28171410),(19 30195150),(20 32159004),(21 34002140),(22 35719844),(23 37359490),(24 38939536),(25 40498136),(26 42114244),(27 43881470),(28 45865770),(29 47934096),(30 50125564),(31 52597396),(32 55230764),(33 58011730),(34 60822160),(35 63658576),(36 66380040),(37 68965600),(38 71247630),(39 73320540),(40 75245600),(41 77005340),(42 78783200),(43 80729060),(44 82715030),(45 84602900),(46 86619120),(47 88469976),(48 90000570),(49 91148830),(50 91954520),(51 92728560),(52 93216456),(53 93366240),(54 93435096),(55 93155576),(56 92787420),(57 92347144),(58 91756250),(59 91151970),(60 90747360),(61 90402616),(62 90263330),(63 90256680),(64 90440220),(65 90637900),(66 90850140),(67 91024270),(68 91233630),(69 91546530),(70 92258080),(71 93339464),(72 94638760),(73 95984860),(74 97395490),(75 99051520),(76 100828300),(77 102722430),(78 104316830),(79 105662100),
(1 265428.34),(2 996866.8),(3 2146308),(4 3647014.5),(5 5367118),(6 7201526),(7 9147313),(8 11259130),(9 13425946),(10 15591857),(11 17786420),(12 20056248),(13 22276322),(14 24478842),(15 26556812),(16 28591128),(17 30603974),(18 32513230),(19 34245580),(20 35878570),(21 37385304),(22 38816396),(23 40281212),(24 41707090),(25 43125660),(26 44528420),(27 45854332),(28 47251530),(29 48728956),(30 50219800),(31 51800324),(32 53495524),(33 55187184),(34 56923356),(35 58721756),(36 60427480),(37 62125404),(38 63717776),(39 65083676),(40 66278120),(41 67318760),(42 68290140),(43 69274620),(44 70197980),(45 71016680),(46 71921230),(47 72874500),(48 73789310),(49 74808440),(50 75803870),(51 76877896),(52 77916450),(53 78837790),(54 79725640),(55 80725600),(56 81756370),(57 82784070),(58 83600850),(59 84547810),(60 85746664),(61 87016170),(62 88299590),(63 89426500),(64 90522090),(65 91730296),(66 92862740),(67 93662664),(68 94190030),(69 94637750),(70 95151660),(71 95595144),(72 95778664),(73 95882460),(74 96071070),(75 96127430),(76 96134740),(77 96154200),(78 96140150),(79 96055224),
(1 228284.84),(2 828310.7),(3 1719421.6),(4 2852125.5),(5 4140188.8),(6 5555923),(7 7012109.5),(8 8590680),(9 10242044),(10 11930397),(11 13732074),(12 15627173),(13 17557492),(14 19517540),(15 21460916),(16 23315126),(17 25145808),(18 26855500),(19 28531332),(20 30183492),(21 31683340),(22 33043690),(23 34382070),(24 35743290),(25 37126456),(26 38440684),(27 39639388),(28 40722690),(29 41671996),(30 42516516),(31 43319930),(32 43928660),(33 44343612),(34 44600948),(35 44650600),(36 44602156),(37 44566490),(38 44615400),(39 44652236),(40 44881240),(41 45181480),(42 45477530),(43 45787508),(44 46096556),(45 46384010),(46 46521108),(47 46689108),(48 47013620),(49 47610252),(50 48420200),(51 49181144),(52 49852100),(53 50535588),(54 51230304),(55 51917680),(56 52555584),(57 53034690),(58 53330828),(59 53519464),(60 53479040),(61 53218508),(62 52818252),(63 52473936),(64 52156290),(65 51732890),(66 51438090),(67 51181612),(68 50836536),(69 50500176),(70 50102144),(71 49644416),(72 49119304),(73 48547690),(74 48090976),(75 47798532),(76 47740576),(77 47845784),(78 48105560),(79 48479064),
(1 212628.97),(2 785529.06),(3 1657164.8),(4 2752788),(5 3981069),(6 5287214),(7 6600595),(8 7952985),(9 9322751),(10 10667514),(11 11977084),(12 13276351),(13 14553540),(14 15854215),(15 17241192),(16 18606702),(17 19928926),(18 21071808),(19 22113118),(20 23088188),(21 24092458),(22 25123844),(23 26252808),(24 27350872),(25 28467958),(26 29535406),(27 30477140),(28 31326550),(29 32073432),(30 32695652),(31 33226568),(32 33666010),(33 34046024),(34 34353800),(35 34633770),(36 34795956),(37 34935600),(38 35038020),(39 35228548),(40 35496180),(41 35760260),(42 35965736),(43 36158212),(44 36325236),(45 36417610),(46 36329788),(47 36111760),(48 35785264),(49 35435644),(50 35167416),(51 34955290),(52 34829732),(53 34778884),(54 34789416),(55 34911340),(56 35158670),(57 35506290),(58 35885732),(59 36289200),(60 36712228),(61 37188692),(62 37632424),(63 38114760),(64 38678308),(65 39306650),(66 39980996),(67 40668796),(68 41341400),(69 41971308),(70 42624630),(71 43298876),(72 43884060),(73 44355050),(74 44708376),(75 45076956),(76 45426812),(77 45732260),(78 45970532),(79 46177344),
(1 228776.86),(2 869099.44),(3 1866054.1),(4 3161450.8),(5 4653981),(6 6289926.5),(7 8062211),(8 9842690),(9 11604324),(10 13369233),(11 15150604),(12 17012950),(13 18891932),(14 20744756),(15 22658250),(16 24542110),(17 26378700),(18 28060672),(19 29607322),(20 31051810),(21 32446072),(22 33825028),(23 35246420),(24 36613760),(25 37902492),(26 39086616),(27 40079960),(28 40963890),(29 41732588),(30 42318772),(31 42736584),(32 42979064),(33 43143460),(34 43108170),(35 43028264),(36 42895770),(37 42614550),(38 42185864),(39 41806590),(40 41435150),(41 40920756),(42 40285516),(43 39628656),(44 38926356),(45 38159784),(46 37524180),(47 36779108),(48 36084800),(49 35435276),(50 34740524),(51 34129324),(52 33591650),(53 33140422),(54 32723392),(55 32461632),(56 32389802),(57 32436050),(58 32481758),(59 32542102),(60 32653266),(61 32806970),(62 33064692),(63 33329938),(64 33634960),(65 33984316),(66 34320400),(67 34688428),(68 35081344),(69 35507132),(70 36030490),(71 36599920),(72 37007310),(73 37266692),(74 37410420),(75 37528010),(76 37605890),(77 37651056),(78 37599556),(79 37536924),
(1 311355.47),(2 1170979.3),(3 2499123.8),(4 4185705.5),(5 6157309),(6 8348386),(7 10615853),(8 12903942),(9 15135123),(10 17208704),(11 19207586),(12 21073902),(13 22738340),(14 24227758),(15 25713854),(16 27072358),(17 28316538),(18 29471548),(19 30548492),(20 31498904),(21 32342600),(22 33120222),(23 33841588),(24 34513296),(25 35096668),(26 35648504),(27 36057616),(28 36342604),(29 36502504),(30 36538660),(31 36497990),(32 36362416),(33 36160020),(34 35770332),(35 35293550),(36 34792852),(37 34277720),(38 33776684),(39 33271748),(40 32799766),(41 32319138),(42 31777322),(43 31266886),(44 30726158),(45 30217468),(46 29750660),(47 29294348),(48 28867618),(49 28533116),(50 28262958),(51 28123220),(52 28067784),(53 28098040),(54 28166658),(55 28371978),(56 28643504),(57 28890160),(58 29117706),(59 29323888),(60 29546478),(61 29737532),(62 29864368),(63 29936234),(64 30006192),(65 30025562),(66 29992786),(67 30029910),(68 30166372),(69 30425666),(70 30820652),(71 31257568),(72 31629034),(73 31877806),(74 31994990),(75 32095344),(76 32124668),(77 32077952),(78 31891776),(79 31651764),
(1 310186.88),(2 1162707),(3 2464550.5),(4 4098919),(5 5952111),(6 7923100.5),(7 9965645),(8 12031717),(9 14018372),(10 15899316),(11 17651122),(12 19298302),(13 20760444),(14 22053666),(15 23239286),(16 24319100),(17 25305400),(18 26302614),(19 27326284),(20 28329728),(21 29264476),(22 30128942),(23 31012238),(24 31842670),(25 32654506),(26 33349686),(27 33847316),(28 34169564),(29 34410080),(30 34605772),(31 34744196),(32 34821268),(33 34938064),(34 35061376),(35 35201124),(36 35442492),(37 35750544),(38 36157524),(39 36472196),(40 36757990),(41 36861776),(42 36840020),(43 36706300),(44 36536890),(45 36285264),(46 35865244),(47 35303944),(48 34761180),(49 34230972),(50 33597710),(51 32942876),(52 32304064),(53 31716494),(54 31130574),(55 30527896),(56 29902642),(57 29242884),(58 28604366),(59 27936484),(60 27312402),(61 26721130),(62 26107940),(63 25509210),(64 25018478),(65 24658844),(66 24394378),(67 24255300),(68 24272088),(69 24415368),(70 24659030),(71 24975974),(72 25451780),(73 26004530),(74 26493256),(75 27007676),(76 27519710),(77 28069842),(78 28599502),(79 29185376),
(1 324842.28),(2 1216665.8),(3 2592663),(4 4347521),(5 6332328.5),(6 8450809),(7 10602417),(8 12756821),(9 14921343),(10 17075224),(11 19155708),(12 21063974),(13 22885044),(14 24513758),(15 26002572),(16 27289028),(17 28412668),(18 29453240),(19 30386288),(20 31054348),(21 31529810),(22 31823872),(23 31912746),(24 31799536),(25 31516918),(26 31074736),(27 30479212),(28 29817830),(29 29061392),(30 28250470),(31 27354082),(32 26460030),(33 25591700),(34 24775914),(35 23990866),(36 23277470),(37 22680792),(38 22145352),(39 21661858),(40 21271844),(41 20941992),(42 20784862),(43 20767990),(44 20884420),(45 21223786),(46 21707682),(47 22268750),(48 22871086),(49 23493394),(50 24054566),(51 24511882),(52 24977012),(53 25368234),(54 25666256),(55 25870672),(56 25995012),(57 26018064),(58 25909932),(59 25680116),(60 25362272),(61 24966110),(62 24534672),(63 24067332),(64 23517978),(65 22897558),(66 22218722),(67 21539118),(68 20891280),(69 20273370),(70 19744270),(71 19337636),(72 19094130),(73 18997312),(74 19022942),(75 19146922),(76 19280072),(77 19565674),(78 19939168),(79 20376908),
