1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23004.93),(2 36829.766),(3 93355.06),(4 133230.44),(5 171961.05),(6 218972.81),(7 266434.1),(8 315941.72),(9 366775.5),(10 424179.66),(11 469293.47),(12 520816.16),(13 576188.3),(14 622207.25),(15 673773.75),(16 741148.56),(17 808985.8),(18 881302.2),(19 949289.06),(20 1032034.25),(21 1103218.1),(22 1172733.1),(23 1253829.6),(24 1312424),(25 1363209.1),(26 1434173.1),(27 1481862.9),(28 1588777.1),(29 1663407.4),(30 1728451.9),(31 1785308.1),(32 1866834.1),(33 1944092.6),(34 2023204),(35 2122877.3),(36 2218656.8),(37 2318731),(38 2458906.3),(39 2584143.3),(40 2680403.8),(41 2848640.3),(42 2972335.3),(43 3159685.8),(44 3283017.8),(45 3460215),(46 3627309),(47 3769115),(48 3966738),(49 4126285.3),(50 4282641.5),(51 4461213.5),(52 4658921),(53 4840671.5),(54 5035169),(55 5230379.5),(56 5380075.5),(57 5570522.5),(58 5757282),(59 5907333.5),(60 6043743.5),(61 6176097.5),(62 6252646.5),(63 6368054.5),(64 6448493.5),(65 6513448),(66 6616039.5),(67 6709866.5),(68 6784739.5),(69 6907744),(70 6998410),(71 7081468.5),(72 7185570),(73 7285398),(74 7360461.5),(75 7463508),(76 7554603.5),(77 7637376),(78 7694682.5),(79 7791740),
(1 10175.465),(2 23450.902),(3 55752.9),(4 81039.9),(5 105917.81),(6 135324.77),(7 162802.17),(8 195742.9),(9 229674.38),(10 269118.75),(11 307069.13),(12 351792.44),(13 400548.16),(14 455494.9),(15 498921.6),(16 556544.9),(17 612406.7),(18 686358.9),(19 746887.44),(20 809444.6),(21 867596),(22 932492.8),(23 1010295.5),(24 1074634.3),(25 1157515.8),(26 1271144.8),(27 1389528.8),(28 1590021.4),(29 1747538),(30 1898243.6),(31 2034937.6),(32 2186669.8),(33 2325510.8),(34 2473724.3),(35 2631915.5),(36 2787957.8),(37 2957720.3),(38 3156708.8),(39 3351634.5),(40 3553297.3),(41 3779412.5),(42 4002900),(43 4225052),(44 4445025),(45 4723001),(46 5008947.5),(47 5277664.5),(48 5541354.5),(49 5743977.5),(50 5955939),(51 6196533),(52 6432834),(53 6748240),(54 7012505.5),(55 7276469.5),(56 7544183),(57 7815282.5),(58 8084112),(59 8370531),(60 8676676),(61 8963114),(62 9225218),(63 9443352),(64 9653566),(65 9835946),(66 10042448),(67 10192737),(68 10357642),(69 10488603),(70 10616361),(71 10728712),(72 10860930),(73 10936190),(74 11010926),(75 11069562),(76 11132016),(77 11191830),(78 11388077),(79 11508608),
(1 10968.089),(2 30381.188),(3 64589.938),(4 101007.94),(5 141087.48),(6 187829.17),(7 237084.55),(8 295286.75),(9 356557.9),(10 430573.4),(11 510092.03),(12 591012.3),(13 679016.4),(14 774696.3),(15 865066.56),(16 975751.2),(17 1076697.1),(18 1201060),(19 1322065.4),(20 1436383.4),(21 1547154.4),(22 1661092.6),(23 1783091.5),(24 1903734.4),(25 2031920.6),(26 2183581.8),(27 2337918.8),(28 2553369.3),(29 2723624.8),(30 2892752.8),(31 3052454),(32 3199465.3),(33 3345636.8),(34 3496115.3),(35 3635862.3),(36 3779212),(37 3922644),(38 4074312),(39 4214380),(40 4345856.5),(41 4483842),(42 4615198),(43 4764107.5),(44 4910097),(45 5094028.5),(46 5264601.5),(47 5428640.5),(48 5593298.5),(49 5709282.5),(50 5843858),(51 6002532.5),(52 6157884),(53 6323228.5),(54 6483528),(55 6611714),(56 6755937.5),(57 6891042.5),(58 7006893.5),(59 7094642),(60 7191669.5),(61 7281749.5),(62 7353749.5),(63 7434424.5),(64 7489749.5),(65 7545050.5),(66 7602073.5),(67 7633458.5),(68 7670056.5),(69 7674602),(70 7693469.5),(71 7701830.5),(72 7719513.5),(73 7711928),(74 7719813.5),(75 7725518),(76 7738549.5),(77 7777188),(78 7951762.5),(79 8035713.5),
(1 11463.154),(2 32791.668),(3 69520.586),(4 108466.945),(5 155338.3),(6 208071.66),(7 263388.4),(8 325539.34),(9 395856.66),(10 469920.28),(11 548013.9),(12 623762.9),(13 698026.3),(14 774206.5),(15 855399.56),(16 939232.44),(17 1025429.9),(18 1121200.1),(19 1224517.8),(20 1318042.3),(21 1420053.8),(22 1522034),(23 1627297.5),(24 1732436.3),(25 1840642.6),(26 1962699.4),(27 2079143.8),(28 2236993),(29 2359917),(30 2482459.8),(31 2604051.3),(32 2710540.8),(33 2815950.5),(34 2918109),(35 3007450.8),(36 3090133),(37 3178146),(38 3271704),(39 3370504),(40 3462783),(41 3556642.3),(42 3653718.8),(43 3755499),(44 3860496),(45 3962236.5),(46 4059323.5),(47 4153222.3),(48 4254929.5),(49 4341350.5),(50 4448058),(51 4573117),(52 4704106.5),(53 4847690.5),(54 4980145),(55 5107648),(56 5243732.5),(57 5374602),(58 5501807),(59 5605948.5),(60 5700010),(61 5783054),(62 5871190),(63 5946823.5),(64 6028365),(65 6088862),(66 6153953.5),(67 6216301.5),(68 6281420),(69 6324132.5),(70 6382058.5),(71 6429697),(72 6471203.5),(73 6502261),(74 6533952),(75 6567960),(76 6620010),(77 6671626),(78 6742851.5),(79 6790158.5),
(1 12122.429),(2 36271.598),(3 77423.2),(4 121800.3),(5 172409.81),(6 231235.36),(7 289463.63),(8 351734.94),(9 413976.63),(10 477629.47),(11 540688.6),(12 605094.2),(13 667517.75),(14 725429.56),(15 786812.8),(16 855720),(17 920722.4),(18 1000013.44),(19 1074676.5),(20 1149608.4),(21 1228806.4),(22 1310209.8),(23 1395008.8),(24 1491167.8),(25 1587294.4),(26 1700509.3),(27 1808444.5),(28 1949231.5),(29 2061466.5),(30 2177748),(31 2296047),(32 2407222.3),(33 2520729),(34 2624675.3),(35 2714473.3),(36 2792113.5),(37 2889292.3),(38 2988823.8),(39 3089156.3),(40 3206997),(41 3327185.5),(42 3451822.3),(43 3573738.3),(44 3698575.3),(45 3819603),(46 3952305.8),(47 4070772.3),(48 4217285.5),(49 4349451),(50 4494036.5),(51 4628916.5),(52 4773119),(53 4913929.5),(54 5049294),(55 5181252.5),(56 5323520),(57 5469348.5),(58 5610297),(59 5742185),(60 5845095.5),(61 5933194),(62 6019731.5),(63 6079658),(64 6137518.5),(65 6160649.5),(66 6183483.5),(67 6195483.5),(68 6205734),(69 6179718.5),(70 6164859.5),(71 6135053),(72 6107136),(73 6061399),(74 6027303.5),(75 5981856),(76 5939046),(77 5891162),(78 5871506),(79 5833148),
(1 12384.56),(2 38719.156),(3 80124.27),(4 125839.81),(5 177201.47),(6 233518.97),(7 293129.66),(8 359205.88),(9 425546.06),(10 495834.9),(11 569302.4),(12 642931.5),(13 726094.7),(14 806749.6),(15 890277.8),(16 983642.2),(17 1080087.4),(18 1179377.3),(19 1288528.4),(20 1405176.9),(21 1515220),(22 1634595.6),(23 1746936.8),(24 1866802.3),(25 1987324),(26 2114844.3),(27 2245499.3),(28 2400851.3),(29 2536530.8),(30 2664893.5),(31 2786544.3),(32 2915900),(33 3051916.8),(34 3185432),(35 3314664.5),(36 3431010.5),(37 3557961.5),(38 3678390),(39 3796808.8),(40 3917552.5),(41 4041816.8),(42 4158832.8),(43 4264149.5),(44 4374844.5),(45 4487237.5),(46 4594441.5),(47 4680231),(48 4783305),(49 4873887),(50 4970516.5),(51 5036204),(52 5110277.5),(53 5174606),(54 5229240.5),(55 5278954.5),(56 5332296),(57 5373936),(58 5413025.5),(59 5463352.5),(60 5502203),(61 5541723),(62 5573401),(63 5591888),(64 5596687),(65 5595665.5),(66 5595461),(67 5595494.5),(68 5603396),(69 5598936),(70 5585584),(71 5564499.5),(72 5550141),(73 5534798.5),(74 5525381.5),(75 5507057),(76 5495044.5),(77 5479663),(78 5501877),(79 5495955),
(1 15161.328),(2 48869.195),(3 99442.266),(4 157363.97),(5 227508.89),(6 305460.1),(7 388669.63),(8 481772.22),(9 580667.1),(10 686678.25),(11 799433.3),(12 913124.1),(13 1025614.44),(14 1147134.9),(15 1268187.6),(16 1401482.9),(17 1533723.1),(18 1675428.3),(19 1811691.9),(20 1955442),(21 2092701.8),(22 2227310.3),(23 2354503.3),(24 2484492.5),(25 2622357.8),(26 2754188.3),(27 2892676.5),(28 3054388.3),(29 3184021.3),(30 3300659),(31 3409548.5),(32 3517767.8),(33 3631187.8),(34 3746165.3),(35 3840222.8),(36 3925141),(37 4020502.5),(38 4104627.5),(39 4175030.8),(40 4252063.5),(41 4331435.5),(42 4404772),(43 4481230),(44 4552248.5),(45 4627264.5),(46 4694703),(47 4754798),(48 4809711),(49 4861115),(50 4917640),(51 4964861),(52 5009211),(53 5067481),(54 5101569),(55 5123807.5),(56 5147339.5),(57 5163338.5),(58 5171789),(59 5177656),(60 5189722),(61 5212952),(62 5226602.5),(63 5237770.5),(64 5250427.5),(65 5246888),(66 5248661.5),(67 5243479),(68 5225567.5),(69 5217741),(70 5202381),(71 5182543.5),(72 5160997),(73 5134930.5),(74 5108373.5),(75 5092461.5),(76 5078495.5),(77 5063542.5),(78 5031509),(79 5016996),
(1 15448.969),(2 48559.727),(3 101809.67),(4 163045.44),(5 236119.86),(6 313508.34),(7 398826.16),(8 484333.2),(9 575263.9),(10 667954.8),(11 762944.8),(12 852590.25),(13 941850.25),(14 1026440.1),(15 1109461),(16 1199145.9),(17 1291843.8),(18 1388027.3),(19 1484785.6),(20 1586837.4),(21 1684585.4),(22 1783975.8),(23 1888697.3),(24 1983208.8),(25 2078520.5),(26 2181090.8),(27 2275281),(28 2373215.5),(29 2463828.5),(30 2548797.8),(31 2630506.8),(32 2708093.3),(33 2799482.5),(34 2886825),(35 2976243.5),(36 3073467),(37 3159773.3),(38 3253435.8),(39 3330712),(40 3409140.8),(41 3486220.3),(42 3559177.8),(43 3641107.8),(44 3721069.3),(45 3801001),(46 3872953.8),(47 3926676.8),(48 3981077.5),(49 4025214.8),(50 4061525.3),(51 4093698.3),(52 4133639.5),(53 4197558.5),(54 4236776.5),(55 4285825),(56 4332308.5),(57 4385337.5),(58 4441038.5),(59 4488359),(60 4528823),(61 4577456),(62 4630202),(63 4690471.5),(64 4741139),(65 4788073.5),(66 4847598.5),(67 4903170),(68 4968282.5),(69 5025395.5),(70 5078609.5),(71 5128048.5),(72 5179839),(73 5215171.5),(74 5237799),(75 5258391.5),(76 5280573),(77 5299877),(78 5302893),(79 5318821),
(1 14730.419),(2 48382.81),(3 104821.07),(4 169230.4),(5 245411.63),(6 330435.2),(7 423799.84),(8 523880.88),(9 637981.44),(10 761182.94),(11 894206.7),(12 1028780.94),(13 1165868),(14 1298509.9),(15 1436375),(16 1585176.8),(17 1733645.3),(18 1879192.1),(19 2027999.8),(20 2171752.5),(21 2308853.3),(22 2450661.5),(23 2593218.3),(24 2721445),(25 2850758.5),(26 2967445.8),(27 3075507.8),(28 3183996.8),(29 3260361),(30 3317573.3),(31 3364712),(32 3396434.3),(33 3420356.8),(34 3450489.3),(35 3476104.8),(36 3502023.8),(37 3523614),(38 3532275.3),(39 3537806.5),(40 3543370.5),(41 3539078),(42 3535924.8),(43 3539503.5),(44 3539858.3),(45 3540881),(46 3529721.5),(47 3519364.3),(48 3507945.3),(49 3489757),(50 3475110.5),(51 3471006),(52 3465647.5),(53 3489791),(54 3522331.3),(55 3552469.8),(56 3601025),(57 3666188.3),(58 3725511.8),(59 3795426.3),(60 3865833),(61 3936647.5),(62 4009138),(63 4089250),(64 4165740.3),(65 4235207.5),(66 4295658.5),(67 4355050.5),(68 4433362),(69 4496347.5),(70 4564807),(71 4627474),(72 4685441.5),(73 4729362),(74 4776041.5),(75 4815191.5),(76 4854843),(77 4881174.5),(78 4902327.5),(79 4923413.5),
(1 13760.801),(2 45098.73),(3 93947.516),(4 148219.47),(5 212853.56),(6 284089.06),(7 359268.2),(8 437584.9),(9 516409.06),(10 598312.9),(11 683500.7),(12 761562.94),(13 844807.9),(14 923796.75),(15 1009508.56),(16 1087289.1),(17 1162697.4),(18 1235335),(19 1300431.6),(20 1368298.3),(21 1436078.5),(22 1501498.8),(23 1559626.3),(24 1611455.5),(25 1666241.8),(26 1720898.9),(27 1769726.6),(28 1820474.9),(29 1861310.3),(30 1897062),(31 1927212.6),(32 1963842),(33 2005862.6),(34 2049624.9),(35 2096430.6),(36 2146136.8),(37 2192508),(38 2239074),(39 2288612),(40 2337469.8),(41 2390377.3),(42 2440087),(43 2489719.5),(44 2540003.5),(45 2583334.3),(46 2626497.8),(47 2670504),(48 2713271),(49 2749205.8),(50 2789952.5),(51 2834689.3),(52 2866256),(53 2908662.8),(54 2962818.3),(55 3007440),(56 3050886.3),(57 3104416.3),(58 3151741.5),(59 3198231.5),(60 3249286.3),(61 3291611.5),(62 3328926.8),(63 3363536.5),(64 3391613.5),(65 3411251),(66 3443947.3),(67 3464216.3),(68 3490211),(69 3510755.5),(70 3534972),(71 3556474.8),(72 3570795.5),(73 3584553.3),(74 3588987.5),(75 3606484),(76 3617254.8),(77 3622175),(78 3612791.5),(79 3613823.5),
(1 15123.789),(2 49420.734),(3 103731.38),(4 166390.67),(5 241704.89),(6 325859.2),(7 418991.6),(8 516870),(9 614410.1),(10 716585.75),(11 823600.6),(12 925147.6),(13 1026859.06),(14 1120871),(15 1212085),(16 1295324.3),(17 1378891.8),(18 1459010.4),(19 1533062.9),(20 1605748.5),(21 1672800.8),(22 1735766.4),(23 1793426.4),(24 1842143.4),(25 1894248.1),(26 1940524.1),(27 1973863.5),(28 1995058.9),(29 2018212.8),(30 2043446.6),(31 2069407.5),(32 2097983),(33 2128874),(34 2146559.5),(35 2163742.8),(36 2180202),(37 2194963.3),(38 2217112.5),(39 2239962),(40 2257906.3),(41 2267736),(42 2284991.3),(43 2303668.5),(44 2330288.5),(45 2365168),(46 2403510.3),(47 2448834),(48 2499146.8),(49 2553085.8),(50 2608856.3),(51 2668091.5),(52 2727306),(53 2792872.8),(54 2850712.8),(55 2916190.8),(56 2986016.5),(57 3038973.8),(58 3093257.8),(59 3138347.8),(60 3185446.8),(61 3230771.5),(62 3285782),(63 3332997.3),(64 3370380.8),(65 3406552.5),(66 3444822.5),(67 3465731.3),(68 3487365.5),(69 3502359.8),(70 3507404.5),(71 3506550),(72 3498178),(73 3485525.5),(74 3463557.3),(75 3454321.8),(76 3435824.5),(77 3414641.5),(78 3374742),(79 3344781.8),
