1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 84750),(2 298334.97),(3 656842.56),(4 1165454.4),(5 1886142),(6 2795828.5),(7 3943780.3),(8 5354340.5),(9 7021919.5),(10 8973078),(11 11134971),(12 13627747),(13 16371187),(14 19418510),(15 22699634),(16 26435094),(17 30765168),(18 35510144),(19 40953516),(20 46782844),(21 53263410),(22 60378764),(23 68451530),(24 76667390),(25 84962770),(26 92734424),(27 100453960),(28 108205530),(29 115904380),(30 123558910),(31 130069000),(32 135243150),(33 139431120),(34 142675950),(35 145186060),(36 147294340),(37 148391630),(38 149115440),(39 148850220),(40 147681630),(41 145783730),(42 142966640),(43 139213040),(44 134415800),(45 129206360),(46 122998470),(47 116361150),(48 109244250),(49 101732410),(50 93698390),(51 85898376),(52 77647530),(53 70443720),(54 63537036),(55 57496132),(56 52127108),(57 47488068),(58 43833788),(59 41023650),(60 39271820),(61 37834636),(62 36870604),(63 36587644),(64 36726880),(65 37510956),(66 38527084),(67 39289330),(68 40433324),(69 41728660),(70 43443970),(71 45182964),(72 46685764),(73 48339696),(74 49752096),(75 51164064),(76 52638524),(77 54143300),(78 55612944),(79 56985692),
(1 127789.19),(2 474121.5),(3 1009672.3),(4 1695372.4),(5 2549529.5),(6 3546779.3),(7 4699746),(8 5966005),(9 7396153.5),(10 9016150),(11 10833039),(12 12814000),(13 15014202),(14 17365660),(15 19948970),(16 22611974),(17 25474242),(18 28631876),(19 31968996),(20 35519200),(21 39367852),(22 43506736),(23 48343620),(24 53268372),(25 58423650),(26 63550720),(27 68791180),(28 74092250),(29 79528290),(30 84929900),(31 90108584),(32 95018400),(33 99708390),(34 103953260),(35 108038780),(36 112228020),(37 116083370),(38 119694860),(39 122723840),(40 125351760),(41 127499880),(42 129039760),(43 129854960),(44 129830550),(45 129225520),(46 127855570),(47 125966360),(48 123477250),(49 120389040),(50 116663320),(51 112364350),(52 107297736),(53 102049930),(54 96691370),(55 91461510),(56 86013490),(57 80531060),(58 75125336),(59 69928984),(60 65305544),(61 61146296),(62 57352588),(63 54015916),(64 51258024),(65 49212390),(66 47806868),(67 46737104),(68 46158504),(69 45840652),(70 46041224),(71 46580490),(72 47601696),(73 49117284),(74 51113228),(75 53311000),(76 55464480),(77 57534388),(78 59548204),(79 61299350),
(1 217605.13),(2 822184),(3 1776030.9),(4 3029617),(5 4544606.5),(6 6284032.5),(7 8200313.5),(8 10257287),(9 12392809),(10 14621372),(11 16960914),(12 19354700),(13 21839318),(14 24287688),(15 26843278),(16 29333058),(17 31693482),(18 34089548),(19 36375692),(20 38622340),(21 40851236),(22 43070484),(23 45535010),(24 47973520),(25 50625376),(26 53482336),(27 56630164),(28 59934080),(29 63516780),(30 67213544),(31 71114456),(32 75263510),(33 79678010),(34 84141864),(35 88866630),(36 94044584),(37 99412630),(38 104651840),(39 109860344),(40 114993304),(41 119894440),(42 124419620),(43 128441130),(44 131761064),(45 134520590),(46 136637890),(47 138130690),(48 139031570),(49 139310580),(50 138955600),(51 137778820),(52 135751790),(53 132680220),(54 129100700),(55 125132740),(56 120455970),(57 115259624),(58 109548170),(59 103683200),(60 97671720),(61 91768900),(62 85980950),(63 80589590),(64 75616790),(65 71170744),(66 67188530),(67 63621588),(68 60678336),(69 58185836),(70 56295748),(71 55103744),(72 54598012),(73 54735260),(74 55742996),(75 57432656),(76 59466308),(77 61847744),(78 64572636),(79 67418250),
(1 261568.67),(2 1008718.9),(3 2216206.8),(4 3880865.3),(5 6031760),(6 8576295),(7 11528338),(8 14833088),(9 18396580),(10 22229184),(11 26269152),(12 30568526),(13 34927624),(14 39357732),(15 43852710),(16 48340396),(17 52785270),(18 57114864),(19 61313580),(20 65321470),(21 69209620),(22 72918440),(23 76488000),(24 79748000),(25 82708530),(26 85361650),(27 87848620),(28 90177940),(29 92379740),(30 94542120),(31 96525700),(32 98300050),(33 99913790),(34 101473010),(35 103091420),(36 104794440),(37 106645970),(38 108695736),(39 110943620),(40 113385820),(41 115886370),(42 118403260),(43 120915840),(44 123167900),(45 125118296),(46 126839300),(47 128145410),(48 129150620),(49 129767880),(50 130108360),(51 129991610),(52 129603144),(53 128839256),(54 127584160),(55 125821580),(56 123808824),(57 121550280),(58 119029730),(59 116112220),(60 112610530),(61 108760330),(62 104799200),(63 100713820),(64 96550280),(65 92547160),(66 88595940),(67 84131810),(68 79808570),(69 75840490),(70 72223730),(71 68771220),(72 65615870),(73 62795730),(74 60259144),(75 58084590),(76 56301220),(77 54997870),(78 54121196),(79 53625308),
(1 249674.98),(2 962078.06),(3 2095721.1),(4 3633136.3),(5 5579065.5),(6 7869463.5),(7 10521900),(8 13509590),(9 16786194),(10 20374598),(11 24184994),(12 28268794),(13 32473646),(14 36761970),(15 41070050),(16 45481060),(17 49920170),(18 54219070),(19 58544908),(20 62732868),(21 66813644),(22 70789220),(23 74705360),(24 78155320),(25 81260024),(26 83814424),(27 85925000),(28 87674230),(29 89017740),(30 90003220),(31 90559950),(32 90687650),(33 90463160),(34 89930770),(35 89244480),(36 88496130),(37 87729990),(38 87014136),(39 86477370),(40 86089200),(41 85790610),(42 85614260),(43 85584856),(44 85603310),(45 85698860),(46 85727224),(47 85677210),(48 85572250),(49 85349976),(50 85061280),(51 84714936),(52 84522360),(53 84345224),(54 83961300),(55 83206100),(56 82414560),(57 81519660),(58 80589560),(59 79365320),(60 77775260),(61 75975050),(62 74124530),(63 72138250),(64 70034390),(65 67931400),(66 65832080),(67 63528816),(68 61210136),(69 58955852),(70 56763388),(71 54644656),(72 52690236),(73 50820516),(74 49147416),(75 47647950),(76 46321464),(77 45115212),(78 44068428),(79 43177084),
(1 237592.1),(2 909908.8),(3 1962333.3),(4 3330132.5),(5 4926993.5),(6 6702047),(7 8595120),(8 10585181),(9 12624106),(10 14726613),(11 16899996),(12 19114076),(13 21338920),(14 23596658),(15 25837442),(16 28108436),(17 30423604),(18 32711252),(19 35029576),(20 37363016),(21 39709076),(22 42028204),(23 44407716),(24 46569760),(25 48556870),(26 50309820),(27 51862380),(28 53256450),(29 54441164),(30 55442630),(31 56226870),(32 56940404),(33 57592136),(34 58095380),(35 58634536),(36 59216570),(37 59858996),(38 60531610),(39 61291692),(40 62223732),(41 63232896),(42 64365492),(43 65655490),(44 66998036),(45 68449880),(46 69860540),(47 71260190),(48 72567190),(49 73669940),(50 74648220),(51 75365040),(52 76056024),(53 76491440),(54 76545130),(55 76194180),(56 75549496),(57 74498584),(58 73036000),(59 71256250),(60 69198720),(61 66762240),(62 64085000),(63 61210664),(64 58119276),(65 54889690),(66 51716300),(67 48650156),(68 45599144),(69 42554616),(70 39654090),(71 37141430),(72 35158700),(73 33617730),(74 32664316),(75 32300310),(76 32547354),(77 33347114),(78 34572730),(79 36208944),
(1 264190.97),(2 1008299.9),(3 2154737.5),(4 3614742.8),(5 5300306.5),(6 7108653.5),(7 8965311),(8 10800612),(9 12578432),(10 14300272),(11 15977674),(12 17620318),(13 19170442),(14 20633204),(15 22015806),(16 23362930),(17 24608940),(18 25815236),(19 27029676),(20 28206818),(21 29383872),(22 30562400),(23 31775222),(24 32977564),(25 34302816),(26 35644720),(27 36956950),(28 38199560),(29 39297030),(30 40252016),(31 41114824),(32 41863290),(33 42534464),(34 43093576),(35 43586116),(36 43983196),(37 44308956),(38 44603990),(39 44894656),(40 45255440),(41 45670090),(42 46160004),(43 46723064),(44 47394650),(45 48154332),(46 48903900),(47 49639890),(48 50354604),(49 50937892),(50 51451280),(51 51916708),(52 52238200),(53 52426790),(54 52563090),(55 52496344),(56 52188904),(57 51759576),(58 51138604),(59 50325972),(60 49354132),(61 48159972),(62 46749360),(63 45151216),(64 43570370),(65 41976636),(66 40530164),(67 39470276),(68 38505564),(69 37506520),(70 36297400),(71 35014876),(72 33709944),(73 32318012),(74 30936792),(75 29675872),(76 28607438),(77 27900170),(78 27579836),(79 27746550),
(1 362873.03),(2 1380299.9),(3 2933527.5),(4 4906286.5),(5 7176293.5),(6 9590113),(7 12071790),(8 14523424),(9 16891722),(10 19164674),(11 21299662),(12 23296668),(13 25090880),(14 26673402),(15 28020840),(16 29079548),(17 29889992),(18 30492918),(19 30905220),(20 31156292),(21 31320750),(22 31403564),(23 31444374),(24 31465662),(25 31549098),(26 31662082),(27 31835156),(28 32041568),(29 32247682),(30 32403544),(31 32529558),(32 32656798),(33 32748648),(34 32821788),(35 32878916),(36 32894624),(37 32893278),(38 32840220),(39 32767788),(40 32682464),(41 32592766),(42 32521366),(43 32520776),(44 32615512),(45 32801342),(46 33087282),(47 33471070),(48 33906504),(49 34263890),(50 34562260),(51 34788290),(52 34869404),(53 34796476),(54 34604760),(55 34271600),(56 33651120),(57 32901262),(58 32067680),(59 31189304),(60 30296314),(61 29428150),(62 28695592),(63 28120578),(64 27608872),(65 27118754),(66 26648616),(67 26126780),(68 25558010),(69 24886202),(70 24162058),(71 23422310),(72 22586734),(73 21649274),(74 20652862),(75 19668762),(76 18776756),(77 18046356),(78 17556694),(79 17383166),
(1 461581.78),(2 1763716.3),(3 3760318.8),(4 6287390),(5 9161564),(6 12199622),(7 15282414),(8 18267366),(9 21030544),(10 23574632),(11 25846134),(12 27854860),(13 29543240),(14 30938492),(15 32062668),(16 32904076),(17 33482394),(18 33885668),(19 34054790),(20 34017916),(21 33846136),(22 33557816),(23 33256048),(24 32888644),(25 32538692),(26 32206494),(27 31942012),(28 31722576),(29 31593118),(30 31494316),(31 31449826),(32 31458798),(33 31543410),(34 31709670),(35 31985280),(36 32385042),(37 32863860),(38 33395734),(39 33875324),(40 34254224),(41 34511990),(42 34584228),(43 34525984),(44 34308588),(45 33952800),(46 33565970),(47 33176560),(48 32796434),(49 32433006),(50 32050198),(51 31659110),(52 31208708),(53 30703310),(54 30203454),(55 29706650),(56 29181266),(57 28590486),(58 27949974),(59 27188556),(60 26286962),(61 25292138),(62 24339346),(63 23470980),(64 22786964),(65 22227050),(66 21801598),(67 21455090),(68 21124050),(69 20716820),(70 20258458),(71 19871832),(72 19483826),(73 19120152),(74 18739124),(75 18378026),(76 18067806),(77 17855944),(78 17800514),(79 17887352),
(1 465846.47),(2 1789910.5),(3 3850817.3),(4 6481983.5),(5 9520529),(6 12783755),(7 16139863),(8 19411242),(9 22467934),(10 25222288),(11 27564468),(12 29499468),(13 30975008),(14 32041320),(15 32697276),(16 33061098),(17 33167960),(18 33053192),(19 32770600),(20 32326838),(21 31776536),(22 31109806),(23 30441180),(24 29758152),(25 29094824),(26 28509008),(27 28030264),(28 27680880),(29 27487402),(30 27413390),(31 27452176),(32 27644814),(33 28001092),(34 28486472),(35 29091878),(36 29840584),(37 30663150),(38 31614080),(39 32624438),(40 33648828),(41 34682516),(42 35638564),(43 36504124),(44 37208790),(45 37746664),(46 38036110),(47 38133464),(48 38042308),(49 37806604),(50 37431104),(51 36940316),(52 36384940),(53 35748252),(54 35005452),(55 34179548),(56 33382634),(57 32626276),(58 31948462),(59 31296712),(60 30637184),(61 29909650),(62 29203442),(63 28513806),(64 27930056),(65 27471356),(66 27145476),(67 26797604),(68 26429452),(69 25981660),(70 25479336),(71 24891080),(72 24249376),(73 23619442),(74 22999376),(75 22436714),(76 21982008),(77 21706862),(78 21590830),(79 21654564),
(1 407393.94),(2 1572176),(3 3392473.3),(4 5724104),(5 8420259),(6 11318002),(7 14278811),(8 17145426),(9 19843282),(10 22289900),(11 24395730),(12 26117566),(13 27378842),(14 28213372),(15 28630182),(16 28700784),(17 28536688),(18 28179036),(19 27725236),(20 27192074),(21 26552532),(22 25877290),(23 25147280),(24 24426072),(25 23685422),(26 22918236),(27 22187472),(28 21517088),(29 20980088),(30 20594226),(31 20371452),(32 20323902),(33 20484036),(34 20887344),(35 21498524),(36 22298130),(37 23205048),(38 24170928),(39 25159580),(40 26128724),(41 27089804),(42 28053952),(43 29104734),(44 30175864),(45 31324836),(46 32440422),(47 33500748),(48 34420748),(49 35161810),(50 35667796),(51 35858100),(52 35726948),(53 35279964),(54 34654116),(55 33769428),(56 32627080),(57 31450618),(58 30371400),(59 29414118),(60 28550690),(61 27831394),(62 27257078),(63 26749180),(64 26332288),(65 25981508),(66 25752366),(67 25556140),(68 25281848),(69 24914358),(70 24394064),(71 23786832),(72 23008674),(73 22155532),(74 21282142),(75 20415316),(76 19656318),(77 19058864),(78 18633344),(79 18410838),
