1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11115.032),(2 22199.041),(3 31043.13),(4 36946.992),(5 41401.95),(6 43997.914),(7 45903.504),(8 46922.934),(9 47519.277),(10 48272.7),(11 49498.973),(12 51138.492),(13 53234.65),(14 54963.016),(15 56372.066),(16 57461.875),(17 58562.133),(18 58875.152),(19 59404.473),(20 58618.266),(21 58604.293),(22 59393.633),(23 60933.094),(24 61721.855),(25 62100.56),(26 62475.383),(27 61977.06),(28 62198.9),(29 62256.68),(30 61640.348),(31 61441.434),(32 61599.348),(33 61865.23),(34 62481.023),(35 62725.5),(36 62710.6),(37 62530.254),(38 62932.914),(39 62584.332),(40 62361.313),(41 62848.906),(42 63130.44),(43 63301.457),(44 63788.348),(45 64289.28),(46 64978.45),(47 65256.688),(48 65920.05),(49 66872.836),(50 67183.33),(51 67744.336),(52 68446.06),(53 68583.016),(54 68074.97),(55 68110.16),(56 68691.234),(57 68969.59),(58 69438.914),(59 69439.484),(60 69386.13),(61 69343.49),(62 69051.39),(63 68688.94),(64 68654.8),(65 68997.4),(66 68880.66),(67 68985.2),(68 68809.25),(69 68172.125),(70 67592.65),(71 66761.195),(72 66335.01),(73 66468.85),(74 66827.32),(75 66135.11),(76 65676.266),(77 65690.96),(78 65545.39),(79 65327.87),
(1 10624.164),(2 21245.496),(3 29399.42),(4 35150.188),(5 38936.93),(6 41477.887),(7 43158.95),(8 44610.81),(9 45816.195),(10 47098.41),(11 48745.95),(12 50661.605),(13 53018.668),(14 54617.57),(15 55469.793),(16 56061.14),(17 56078.676),(18 55900.6),(19 55982.063),(20 56280.52),(21 56867.273),(22 57845.42),(23 58664.273),(24 59498.832),(25 60762.06),(26 62373.043),(27 63092.914),(28 63089.152),(29 62991.36),(30 63113.34),(31 63173.793),(32 62884.75),(33 63148.76),(34 63713.934),(35 63647.957),(36 64143.574),(37 63884.65),(38 64141.215),(39 63012.11),(40 62965),(41 62941.08),(42 62592.684),(43 63176.24),(44 63815.992),(45 64501.836),(46 65287.207),(47 65694.58),(48 65397.83),(49 65376.7),(50 65096.41),(51 65021.793),(52 65228.402),(53 64079.316),(54 64023.453),(55 63563.188),(56 64024.742),(57 64670.434),(58 64774.934),(59 64957.504),(60 64719.426),(61 64264.582),(62 63702.703),(63 63812.13),(64 64323.215),(65 65442.453),(66 66283.64),(67 66874.375),(68 67279.36),(69 67398.92),(70 67445.305),(71 66849.195),(72 66360.96),(73 66082.89),(74 66385.28),(75 66099.13),(76 66280.5),(77 66128.84),(78 65650.03),(79 65066.523),
(1 10058.02),(2 19863.678),(3 27427.512),(4 33234.58),(5 37000.094),(6 39217.313),(7 40305.445),(8 41135.96),(9 42216.895),(10 42764.906),(11 44167.53),(12 46071.598),(13 48040.617),(14 49752.484),(15 51104.78),(16 51809.695),(17 52168.43),(18 52834.914),(19 53003.887),(20 52860.35),(21 52820.445),(22 53759.258),(23 54419.375),(24 55478.75),(25 56083.87),(26 56869.76),(27 57362.75),(28 57988.754),(29 57866.645),(30 58312.668),(31 58664.51),(32 58513.785),(33 57793.11),(34 57960.383),(35 58105.87),(36 58263.934),(37 58016.156),(38 58249.17),(39 57547.008),(40 57391.52),(41 57483.934),(42 57032),(43 56861.957),(44 57359.48),(45 57522.332),(46 57908.727),(47 58221.63),(48 58424.188),(49 58531.977),(50 59134.813),(51 59538.156),(52 59544.78),(53 60127.64),(54 61115.188),(55 61415.83),(56 62410.008),(57 63081.438),(58 63287.29),(59 62989.984),(60 62759.555),(61 62954.1),(62 62599.367),(63 62135.23),(64 62194.49),(65 62071.83),(66 62007.76),(67 61898.332),(68 62066.64),(69 62624.46),(70 62616.547),(71 62106.523),(72 61933.9),(73 61667.29),(74 62160.69),(75 62626.54),(76 62780.266),(77 62970.727),(78 62494.965),(79 62215.793),
(1 9721.927),(2 18959.154),(3 25824.852),(4 31141.205),(5 34996.785),(6 37351.586),(7 38907.52),(8 40266.86),(9 41310.68),(10 41970.074),(11 43141.613),(12 44200.906),(13 45947.066),(14 47740.336),(15 49042.08),(16 50300.375),(17 50906.46),(18 51354.62),(19 51719.145),(20 51640.902),(21 51708.367),(22 52379.223),(23 53110.195),(24 53708.227),(25 53903.715),(26 54171.77),(27 54304.785),(28 54415.09),(29 54452.03),(30 54474.633),(31 54251.55),(32 54219.867),(33 54274.117),(34 54703.445),(35 54965.824),(36 55251.32),(37 55235.043),(38 55697.043),(39 55295.63),(40 55326.445),(41 55108.223),(42 54525.676),(43 54681.96),(44 55108.066),(45 55359.73),(46 55899.254),(47 56250.613),(48 56500.523),(49 56978.668),(50 57661.375),(51 57878.043),(52 57851.973),(53 57790.777),(54 57932.457),(55 57856.555),(56 57506.836),(57 57461.723),(58 57027.88),(59 56560.93),(60 56887.758),(61 57216.734),(62 57154.59),(63 57610.37),(64 57574.508),(65 57773.277),(66 57164.156),(67 56355.38),(68 55845.008),(69 56205.15),(70 55996.016),(71 55661.38),(72 55505.59),(73 55054.652),(74 55191.05),(75 55285.813),(76 54904.1),(77 54750.086),(78 54658.35),(79 54681.184),
(1 9339.243),(2 18252.037),(3 24970.264),(4 29650.664),(5 32888.91),(6 35079.355),(7 36956.79),(8 38067.96),(9 39242.26),(10 40035.723),(11 41108.945),(12 42810.824),(13 44541.316),(14 45107.484),(15 45982.11),(16 47159.74),(17 47821.516),(18 48574.66),(19 49632.535),(20 50143.504),(21 50978.92),(22 51952.31),(23 52497.49),(24 53160.19),(25 53323.39),(26 53750.03),(27 53785.6),(28 54081.063),(29 54132.434),(30 54706.87),(31 54710.61),(32 55073.6),(33 55335.105),(34 55264.87),(35 54337.957),(36 53746.58),(37 53099.76),(38 53198.14),(39 53241.902),(40 53547.12),(41 53331.97),(42 52803.926),(43 52210.07),(44 52043.074),(45 51605.824),(46 51642.137),(47 51722.34),(48 52372.418),(49 53233.1),(50 53450.19),(51 54059.25),(52 54650.445),(53 54277.586),(54 54548.742),(55 54550.414),(56 54473.582),(57 55444.92),(58 55376.33),(59 56108.125),(60 56638.94),(61 57375.855),(62 57768.06),(63 58015.855),(64 58156.836),(65 58781.06),(66 58992.668),(67 59368.047),(68 59736.223),(69 59521.91),(70 59278.74),(71 59067.83),(72 59334.07),(73 59333.844),(74 59392.89),(75 59287.73),(76 59201.7),(77 58636.61),(78 57944.348),(79 57145.797),
(1 9040.411),(2 17707.33),(3 24376.563),(4 29471.766),(5 32858.508),(6 34951.33),(7 36525.38),(8 37027.953),(9 37898.742),(10 38797.727),(11 40699.76),(12 42645.18),(13 44393.9),(14 46184.2),(15 47587.64),(16 48196.7),(17 48282.188),(18 48451.832),(19 48528.285),(20 49118.91),(21 49287.125),(22 49960.523),(23 50310.086),(24 50863.426),(25 51215.547),(26 51936.754),(27 51223.79),(28 50866.613),(29 50715.945),(30 50727.086),(31 50988.68),(32 51186.414),(33 51385.17),(34 51523.465),(35 51695.867),(36 51577.5),(37 51753.867),(38 51621.15),(39 51387.598),(40 51964.406),(41 51745.24),(42 51383.188),(43 50599.41),(44 50348.984),(45 49905.25),(46 49655.742),(47 49767.645),(48 50414.39),(49 51092.535),(50 51500.05),(51 51603.22),(52 51088.125),(53 50622.277),(54 50373.625),(55 50551.164),(56 50456.11),(57 50466.61),(58 50328.66),(59 50393.84),(60 50926.813),(61 51332.094),(62 51705.004),(63 52465.48),(64 52738.895),(65 53418.227),(66 54038.61),(67 54110.625),(68 54552.156),(69 54626.457),(70 54417.023),(71 53638.78),(72 52984.355),(73 52613.84),(74 53173.74),(75 53280.59),(76 53761.34),(77 54006.75),(78 54186.91),(79 54599.09),
(1 8910.657),(2 17325.104),(3 24002.076),(4 28352.125),(5 31447.229),(6 33441.742),(7 35104.207),(8 35731.75),(9 36138.117),(10 36892.71),(11 38515.938),(12 39653.63),(13 40989.59),(14 42314.477),(15 43710.31),(16 44467.473),(17 45390.242),(18 45822.84),(19 45944.75),(20 45796.805),(21 45826.227),(22 46412.848),(23 47239.05),(24 48588.742),(25 48952.848),(26 50119.406),(27 50706.953),(28 50442.832),(29 50390.11),(30 50098.23),(31 49862.867),(32 49663.4),(33 49574.965),(34 49438.953),(35 49841.836),(36 50445.746),(37 50852.31),(38 50596.195),(39 50709.242),(40 50999.508),(41 50601.613),(42 49949.13),(43 50193.06),(44 50494.652),(45 50669.766),(46 51619.934),(47 52495.69),(48 52730.504),(49 52766.09),(50 52952.29),(51 52991.723),(52 52654.215),(53 52070.04),(54 51649.95),(55 51525.805),(56 51838.72),(57 52192.652),(58 52008.125),(59 51669.227),(60 50955.484),(61 50591.477),(62 50235.867),(63 50513.19),(64 50607.81),(65 50748.008),(66 50552.816),(67 50546.586),(68 50651.387),(69 50337.574),(70 50112.76),(71 49948.73),(72 49439.926),(73 49224.6),(74 50023.18),(75 49946.816),(76 50353.22),(77 50308.9),(78 50328.82),(79 50392.766),
(1 8617.75),(2 16790.979),(3 22859.35),(4 27219.992),(5 30138.836),(6 31999.424),(7 33111.207),(8 34170.773),(9 35318.246),(10 36636.15),(11 38134.08),(12 39491.22),(13 40745.344),(14 42044.793),(15 43113.15),(16 43834.1),(17 44208.773),(18 44458.367),(19 44465.73),(20 44661.76),(21 44793.715),(22 45910.902),(23 46400.004),(24 46977.074),(25 46810.88),(26 47650.316),(27 47273.76),(28 47466.984),(29 47956.56),(30 48488.742),(31 48162.082),(32 48291.887),(33 48147.83),(34 47898.098),(35 47991.254),(36 48289.793),(37 48400.94),(38 48171.523),(39 47620.266),(40 48080.01),(41 48046.27),(42 48120.043),(43 47593.664),(44 47590.445),(45 47221.652),(46 47102.848),(47 47392.637),(48 47736.15),(49 47862.836),(50 47962.266),(51 48128.098),(52 48151.375),(53 47942.145),(54 47567.957),(55 47709.984),(56 47395.883),(57 47129.984),(58 46825.957),(59 46631.367),(60 46699.508),(61 46981.066),(62 46704.855),(63 46414.297),(64 46870.285),(65 47212.176),(66 47825.23),(67 48208.652),(68 48049.227),(69 47387.793),(70 47324.72),(71 47138.066),(72 47500.656),(73 47516.348),(74 47969.883),(75 47865.406),(76 47992.61),(77 48222.82),(78 48175.42),(79 48259.094),
(1 8476.73),(2 16738.574),(3 22487.713),(4 26573.254),(5 29646.643),(6 31799.84),(7 33148.39),(8 34215.223),(9 35064.023),(10 35834.094),(11 37352.44),(12 38658.137),(13 40088.727),(14 41694.49),(15 43040.547),(16 44055.754),(17 44561.98),(18 44456.2),(19 44388.42),(20 44512.84),(21 44579.33),(22 45462.758),(23 45351.42),(24 45087.223),(25 45433.598),(26 46204.707),(27 46383.45),(28 47026.496),(29 47123.17),(30 47616.8),(31 47668.934),(32 47487.277),(33 47374.234),(34 47418.477),(35 47095.617),(36 47365.617),(37 47538.145),(38 47452.867),(39 47313.91),(40 47093.46),(41 46915.906),(42 46013.81),(43 45733.594),(44 45793.04),(45 45544.62),(46 45685.094),(47 45638.02),(48 45672.707),(49 45363.305),(50 45231.387),(51 45552.543),(52 45549.863),(53 45440.316),(54 45451.313),(55 45663.12),(56 45601.094),(57 45725.9),(58 45595.492),(59 46119.35),(60 46142.125),(61 46059.97),(62 45275.83),(63 45217.965),(64 45439.81),(65 46079.83),(66 45941.98),(67 46050.746),(68 46268.56),(69 46382.625),(70 46537.223),(71 46578.566),(72 46792.523),(73 47089.258),(74 47298.324),(75 47508.51),(76 48269.355),(77 48643.45),(78 48803.2),(79 48562.953),
(1 8099.2026),(2 15952.859),(3 21877.65),(4 26146.219),(5 29192.984),(6 30889.936),(7 32172.867),(8 32784.824),(9 32935.918),(10 33842.53),(11 34843.246),(12 35694.453),(13 36226.258),(14 36915.203),(15 37474.08),(16 38368.742),(17 39155.805),(18 39718.18),(19 39937.203),(20 39957.453),(21 40369.676),(22 41189.824),(23 41720.15),(24 41829.44),(25 42430.707),(26 42992.71),(27 42472.234),(28 42492.367),(29 42240.316),(30 42271.23),(31 41933.965),(32 41583.277),(33 41325.023),(34 41714.953),(35 41641.586),(36 41730.285),(37 41677.9),(38 41832.29),(39 41364.805),(40 41206.297),(41 40768.047),(42 40736.926),(43 40727.754),(44 40816.316),(45 40743),(46 40697.547),(47 40365.414),(48 40831.438),(49 40972.367),(50 40932.22),(51 40895.36),(52 41307.484),(53 41381.88),(54 41999.684),(55 42439.137),(56 42135.25),(57 42507.438),(58 42537.137),(59 42187.938),(60 41963.453),(61 42702.453),(62 43228.242),(63 43670.266),(64 43508.758),(65 43459.566),(66 43193.246),(67 42996.563),(68 42980.367),(69 42925.68),(70 42865.867),(71 42467.434),(72 42384.156),(73 41999.555),(74 42843.383),(75 42720.332),(76 42729.473),(77 43030.695),(78 43202.355),(79 43130.258),
(1 7980.502),(2 15661.88),(3 20867.49),(4 24808.504),(5 27053.557),(6 28627.863),(7 29590.896),(8 30288.896),(9 30927.182),(10 31599.582),(11 32958.098),(12 34036.652),(13 35037.254),(14 35816.508),(15 36399.89),(16 36559.934),(17 36820.69),(18 37020.2),(19 37499.023),(20 37495.098),(21 37789.508),(22 38479.19),(23 39569.6),(24 40304.273),(25 41090.01),(26 41888.918),(27 41859.95),(28 41674.465),(29 42006.715),(30 41618.313),(31 41093.547),(32 40568.57),(33 40745.793),(34 41158.72),(35 41449.266),(36 41838.51),(37 41818.1),(38 41768.063),(39 41209.42),(40 41473.277),(41 41447.824),(42 40775.83),(43 40485.125),(44 40621.543),(45 40540.48),(46 40292.96),(47 40081.934),(48 40539.91),(49 40804.21),(50 40960.617),(51 41469.8),(52 41932.43),(53 42165.598),(54 41765.887),(55 41791.07),(56 41407.418),(57 41642.086),(58 41375.047),(59 41304.785),(60 41680.805),(61 41880.008),(62 41990.918),(63 42242.008),(64 42429.023),(65 42843.57),(66 42805.07),(67 42558.164),(68 42201.004),(69 41396.3),(70 41042.07),(71 41066.086),(72 41275.31),(73 41240.742),(74 41600.68),(75 41743.254),(76 41839.74),(77 41943.953),(78 42082.43),(79 42422.117),
(1 7717.7207),(2 14619.497),(3 19780.592),(4 23564.102),(5 26085.955),(6 27881.336),(7 29221.156),(8 30095.117),(9 30697.516),(10 31676.436),(11 32775.387),(12 33776.39),(13 34585.508),(14 35518.88),(15 36249.98),(16 36607.89),(17 36886.254),(18 37231.77),(19 37301.93),(20 37003.254),(21 37094.098),(22 38104.242),(23 38526.277),(24 39328.71),(25 39758.457),(26 40300.57),(27 40227.688),(28 40166.05),(29 40130.55),(30 40314.066),(31 40284.598),(32 40378.676),(33 40359.355),(34 40359.016),(35 40596.13),(36 40992.61),(37 40840.27),(38 40716.11),(39 40082.883),(40 39656.867),(41 39097.953),(42 38500.035),(43 38123.1),(44 37859.953),(45 37711.16),(46 37809.453),(47 38003.97),(48 38142.066),(49 38188.09),(50 38417.164),(51 38586.875),(52 38932.79),(53 39176.7),(54 39315.543),(55 39800.434),(56 39219.92),(57 39369.496),(58 39575.93),(59 39773.633),(60 39839.617),(61 39994.61),(62 40205.07),(63 39828.49),(64 39436.297),(65 39555.016),(66 39554.297),(67 39641.77),(68 39670.84),(69 39796.914),(70 39961.52),(71 39883.934),(72 40311.55),(73 40888.566),(74 41226.516),(75 41235.887),(76 41501.26),(77 41576.527),(78 41448.273),(79 41161.05),
(1 7363.6704),(2 13883.829),(3 18563.803),(4 21896.275),(5 24253.152),(6 25732.32),(7 26876),(8 27602.916),(9 28272.041),(10 28874.242),(11 29759.836),(12 31053.365),(13 32147.732),(14 33049.1),(15 33842.855),(16 34189.24),(17 34417.098),(18 34297.81),(19 34602.074),(20 34439.36),(21 34757.348),(22 35306.504),(23 35652.125),(24 36232.04),(25 36440.805),(26 36582.47),(27 36757.75),(28 37073.094),(29 37351.746),(30 37622.438),(31 37397.27),(32 37383.48),(33 37690.207),(34 38110.668),(35 38448.035),(36 38596.688),(37 38685.65),(38 38443.305),(39 38405.992),(40 38219.3),(41 38295.676),(42 37940.727),(43 37862.695),(44 37999.246),(45 38201.332),(46 38557.563),(47 38880.684),(48 39337.426),(49 39386.48),(50 39003.14),(51 39154.34),(52 39215.418),(53 38766.418),(54 39009.816),(55 38739.074),(56 39059.08),(57 39954.06),(58 40019.652),(59 40405.535),(60 40022.12),(61 40038.266),(62 39461.402),(63 39048.29),(64 38405.81),(65 38149.816),(66 38269.01),(67 38715.723),(68 39143.832),(69 38765.902),(70 38674.56),(71 38611.37),(72 38884.04),(73 38777.555),(74 39446.914),(75 39559.43),(76 40015.105),(77 40267.94),(78 40537.027),(79 40349.305),
(1 7295.6724),(2 13787.258),(3 18603.393),(4 21342.133),(5 23635.932),(6 25113.813),(7 26237.184),(8 26875.191),(9 27523.016),(10 28524.082),(11 30007.045),(12 31215.914),(13 32404.432),(14 32932.902),(15 33425.457),(16 33477.145),(17 33852.62),(18 34117.004),(19 34138.773),(20 33874.383),(21 33722.06),(22 33729.848),(23 33807.035),(24 34419.082),(25 34738.52),(26 35259.9),(27 35361.66),(28 35427.57),(29 35426.535),(30 35819.633),(31 35744.605),(32 35383.85),(33 35294.31),(34 35589.51),(35 35821.6),(36 36031.504),(37 36073.883),(38 36331.89),(39 36026.773),(40 35734.254),(41 35442.223),(42 34791.504),(43 34776.57),(44 35044.508),(45 35283.605),(46 35394.3),(47 35547.91),(48 35587.74),(49 36186.418),(50 36640.863),(51 36967.93),(52 37437.523),(53 37312.715),(54 37256.95),(55 37059.11),(56 37202.72),(57 37436.883),(58 37318.73),(59 37397.617),(60 37505.83),(61 37394.242),(62 37194.965),(63 37658.652),(64 38067.883),(65 38648.555),(66 38887.67),(67 39184.246),(68 39362.61),(69 39572.586),(70 39725.434),(71 39543.227),(72 39627.566),(73 39682.13),(74 40009.902),(75 40276.645),(76 40243.32),(77 40322.92),(78 40310.535),(79 40342.805),
(1 6999.606),(2 13156.181),(3 17742.799),(4 20804.977),(5 22851.611),(6 24107.234),(7 24996.488),(8 25397.238),(9 25999.482),(10 26266.682),(11 27177.105),(12 28363.39),(13 29618.322),(14 30741.19),(15 31431.229),(16 31624.232),(17 31893.563),(18 31803.693),(19 32116.898),(20 32177.94),(21 32405.121),(22 32639.844),(23 32905.824),(24 33517.277),(25 34091.797),(26 34762.31),(27 34602.445),(28 34370.27),(29 34052.56),(30 33899.008),(31 33900.355),(32 33752.19),(33 33785.31),(34 34011.137),(35 33742.76),(36 33720.234),(37 33662.883),(38 33900.56),(39 33562.074),(40 33448.145),(41 33233.77),(42 32903.902),(43 33157.652),(44 33489.844),(45 33566.02),(46 33525.133),(47 33736.41),(48 34091.19),(49 34700.14),(50 35073.094),(51 35105.473),(52 35485.613),(53 35724.81),(54 35880.22),(55 35979.78),(56 35929.414),(57 35857.645),(58 35482.81),(59 35172.59),(60 34858.547),(61 34625.035),(62 34764.027),(63 35261.652),(64 35466.176),(65 35507.387),(66 35269.703),(67 35217.863),(68 35022.348),(69 35036.12),(70 35212.93),(71 35072.73),(72 34902.297),(73 34852.246),(74 35107.555),(75 35059.453),(76 35133.992),(77 35547.17),(78 35884.67),(79 35983.715),
(1 6983.3774),(2 13163.845),(3 17366.197),(4 20169.125),(5 22330.23),(6 23715.994),(7 24646.502),(8 25229.994),(9 25658.97),(10 25954.611),(11 26878.43),(12 27736.916),(13 28934.41),(14 29578.158),(15 30008.48),(16 29892.475),(17 30182.762),(18 30057.346),(19 30142.455),(20 30357.033),(21 30504.352),(22 31105.955),(23 31359.713),(24 32008.732),(25 32194.357),(26 32615.217),(27 32555.746),(28 32526.955),(29 32421.578),(30 32464.629),(31 32544.688),(32 32631.736),(33 33096.7),(34 33462.715),(35 33603.844),(36 34056.746),(37 34264.54),(38 34670.965),(39 34639.63),(40 34736.4),(41 34673.813),(42 34770.715),(43 35022.54),(44 35360.004),(45 35813.043),(46 35793.34),(47 36143.953),(48 36627.313),(49 36862.426),(50 36702.426),(51 36367.574),(52 36240.69),(53 36449.75),(54 36360.96),(55 36355.4),(56 35683.273),(57 35277.7),(58 35032.5),(59 34934.75),(60 34697.387),(61 34366.098),(62 33958.07),(63 33887.188),(64 33942.51),(65 33431.33),(66 33241.977),(67 33192.082),(68 33125.137),(69 33088.21),(70 33203.18),(71 33107.004),(72 33110.727),(73 33157.793),(74 33485.3),(75 33718.43),(76 33908.773),(77 34171.73),(78 34480.957),(79 34253.215),
(1 6533.3545),(2 12268.587),(3 16418.494),(4 19007.148),(5 21035.523),(6 22290.908),(7 23016.832),(8 23619.467),(9 24374.246),(10 24853.896),(11 25681.875),(12 26704.607),(13 27482.05),(14 27913.893),(15 28507.99),(16 28786.781),(17 29235.959),(18 29172.184),(19 29257.13),(20 29108.66),(21 29368.598),(22 29775.35),(23 30157.914),(24 30526.432),(25 30668.803),(26 31038.223),(27 30965.705),(28 31160.545),(29 31188.924),(30 31447.93),(31 31292.139),(32 31549.627),(33 31671.512),(34 31911.197),(35 31757.947),(36 32054.162),(37 31985.54),(38 32414.107),(39 32186.26),(40 32116.115),(41 31545.684),(42 31159.018),(43 31031.668),(44 31084.686),(45 31151.99),(46 31316.582),(47 31786.197),(48 31870.03),(49 32305.54),(50 32284.594),(51 32124.674),(52 32374.736),(53 32415.947),(54 32549.914),(55 32750.016),(56 32338.156),(57 32386.965),(58 32525.88),(59 32390.686),(60 32015.31),(61 31953.355),(62 32009.58),(63 32305.73),(64 32328.242),(65 32675.533),(66 32611.04),(67 32846.676),(68 32888.543),(69 32809.477),(70 33068.863),(71 32999.984),(72 33020.96),(73 32972),(74 32875.305),(75 33019.566),(76 32984.15),(77 32903.34),(78 32720.63),(79 32515.283),
(1 6341.2803),(2 11944.867),(3 15853.881),(4 18286.379),(5 20452.441),(6 21775.15),(7 22458.418),(8 23058.01),(9 23617.482),(10 23898.248),(11 24590.422),(12 25179.93),(13 26138.771),(14 26928.334),(15 27720.068),(16 28188.645),(17 28312.729),(18 28016.09),(19 28054.871),(20 28248.938),(21 28495.197),(22 29093.209),(23 29401.334),(24 29555.703),(25 29773.537),(26 30119.092),(27 30373.709),(28 30817.725),(29 30647),(30 30483.451),(31 30334.117),(32 30118.012),(33 29869.232),(34 29768.953),(35 29612.834),(36 29781.84),(37 29833.064),(38 30102.563),(39 29793.068),(40 29719.41),(41 29512.432),(42 29535.018),(43 29544.67),(44 29769.473),(45 29777.893),(46 29568.783),(47 29527.027),(48 29607.541),(49 29736.84),(50 29875.064),(51 30001.611),(52 29934.064),(53 29973.383),(54 29926.531),(55 29902.393),(56 29851.033),(57 29887.549),(58 29806.676),(59 29796.984),(60 29780.775),(61 29646.084),(62 29585.08),(63 29433.127),(64 29447.756),(65 29480.229),(66 29566.055),(67 29613.336),(68 29682.484),(69 30002.768),(70 30603.793),(71 30698.975),(72 30551.117),(73 30511.037),(74 30735.16),(75 30812.1),(76 30991.51),(77 30884.363),(78 31156.08),(79 31453.926),
