1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 20630.164),(2 50097.137),(3 88533.75),(4 138460.23),(5 191955.92),(6 243801.5),(7 298845.16),(8 362205.16),(9 412094.75),(10 454166.5),(11 496147.5),(12 519008.13),(13 553230.56),(14 589945.2),(15 622017.3),(16 658751.94),(17 697811.44),(18 731449.25),(19 774774.25),(20 824590.2),(21 864361.2),(22 914693.25),(23 963769.44),(24 1002850.25),(25 1040553.75),(26 1068329.4),(27 1078258.5),(28 1091191.6),(29 1104389.6),(30 1150156),(31 1180339.5),(32 1227554.9),(33 1298320.9),(34 1355190.1),(35 1429105.1),(36 1494866.4),(37 1543892.4),(38 1619346),(39 1672921.6),(40 1689497.6),(41 1733111.4),(42 1762733.4),(43 1769389),(44 1799398),(45 1830022),(46 1846007.1),(47 1865655.1),(48 1882064.9),(49 1929153.6),(50 1990481.9),(51 2068547),(52 2145370),(53 2242240),(54 2317773.8),(55 2452234.3),(56 2554841.3),(57 2663873.8),(58 2772184.5),(59 2883696),(60 3002650.8),(61 3137946),(62 3292604),(63 3430741.8),(64 3553940.8),(65 3681838.8),(66 3793642.8),(67 3920637.8),(68 4073888.3),(69 4223992),(70 4372622.5),(71 4512168),(72 4638768),(73 4783180.5),(74 4882308.5),(75 4995324.5),(76 5102508.5),(77 5222523.5),(78 5313596),(79 5414284),
(1 12798.87),(2 37354.16),(3 74056.375),(4 113916.35),(5 164015.67),(6 212385.66),(7 263121.4),(8 317914.66),(9 380536.38),(10 444300.6),(11 505319.25),(12 564631.25),(13 630546.7),(14 701742.75),(15 768576.56),(16 841522.8),(17 911817.4),(18 998420.4),(19 1091944.5),(20 1184314),(21 1286487.3),(22 1393132),(23 1502481.9),(24 1605681.4),(25 1695449),(26 1803214.3),(27 1898291.8),(28 2001837.4),(29 2112219.3),(30 2292279.5),(31 2453129.3),(32 2604450),(33 2775381.5),(34 2927174.8),(35 3089654),(36 3258215.5),(37 3414828),(38 3570475.3),(39 3736858),(40 3893897.5),(41 4055941.5),(42 4231033),(43 4380881),(44 4523830.5),(45 4668287),(46 4777769),(47 4920339),(48 5063937.5),(49 5179846.5),(50 5321243),(51 5474485.5),(52 5647875),(53 5824043),(54 5953919),(55 6143520),(56 6313109),(57 6499761),(58 6696172),(59 6865437),(60 7044527),(61 7225741),(62 7417835),(63 7606841.5),(64 7765754.5),(65 7957294.5),(66 8114057.5),(67 8288739),(68 8471090),(69 8683010),(70 8892221),(71 9110254),(72 9251203),(73 9473206),(74 9653978),(75 9864261),(76 10059934),(77 10280734),(78 10504346),(79 10745709),
(1 13613.9375),(2 41819.375),(3 83259.43),(4 127174.46),(5 188236.08),(6 244529.63),(7 302569.03),(8 364593.47),(9 433080),(10 500862.9),(11 564363.8),(12 639772.56),(13 712911.7),(14 788119.56),(15 875742.2),(16 963837.5),(17 1063445.9),(18 1175196),(19 1279206.4),(20 1397207.9),(21 1530940.9),(22 1675590),(23 1827995.6),(24 2002456.9),(25 2165574.3),(26 2379198.8),(27 2589465.3),(28 2799055.3),(29 3040929.3),(30 3315997.3),(31 3550795.8),(32 3790001.3),(33 4024579.3),(34 4229940),(35 4447420.5),(36 4670181.5),(37 4850468),(38 5032077.5),(39 5236774),(40 5418634),(41 5633700),(42 5840687.5),(43 6043678),(44 6213936),(45 6362611.5),(46 6499088),(47 6614187.5),(48 6695142.5),(49 6764238),(50 6825110),(51 6901091.5),(52 6961363.5),(53 7051354.5),(54 7099741.5),(55 7116800),(56 7152393.5),(57 7191139.5),(58 7228689.5),(59 7273302.5),(60 7317688),(61 7339307.5),(62 7347184.5),(63 7369838.5),(64 7396342),(65 7391617.5),(66 7385477.5),(67 7391132),(68 7392386.5),(69 7415901.5),(70 7467757.5),(71 7550293.5),(72 7599429.5),(73 7695714.5),(74 7752364),(75 7837862.5),(76 7913270.5),(77 8024566.5),(78 8137584.5),(79 8259598),
(1 14920.599),(2 43663.695),(3 88649.09),(4 135329.31),(5 208906.08),(6 269345.16),(7 337880.88),(8 415282.8),(9 505111.56),(10 600098.75),(11 700457.1),(12 816261.25),(13 927057.1),(14 1050776.6),(15 1185279.8),(16 1330251),(17 1479353.5),(18 1651382.8),(19 1830881),(20 2002425.8),(21 2200070.3),(22 2385286.3),(23 2578408),(24 2763163),(25 2939949.8),(26 3156461),(27 3382897.3),(28 3590979),(29 3824113.8),(30 4080248),(31 4308255),(32 4529396),(33 4744846),(34 4948321),(35 5140252.5),(36 5346870.5),(37 5535013),(38 5700946.5),(39 5904290.5),(40 6083477),(41 6295425),(42 6487933.5),(43 6688835.5),(44 6873630),(45 7027972.5),(46 7189238),(47 7321121),(48 7428779.5),(49 7541097),(50 7605074.5),(51 7697077.5),(52 7769793),(53 7825341.5),(54 7875461.5),(55 7919924.5),(56 7967081),(57 8023803.5),(58 8064543),(59 8103980.5),(60 8162559),(61 8200234.5),(62 8199466.5),(63 8190823),(64 8168117.5),(65 8114986.5),(66 8059426),(67 8009418.5),(68 7953893.5),(69 7925087),(70 7889259.5),(71 7882519),(72 7859749.5),(73 7861406),(74 7819023),(75 7772311),(76 7699657),(77 7620896),(78 7555347.5),(79 7480343),
(1 16026.765),(2 48810.94),(3 100728.805),(4 158200.5),(5 236897.55),(6 315087.5),(7 402731.28),(8 503812.9),(9 618301),(10 733032.2),(11 856451.8),(12 992692.2),(13 1118698),(14 1257568.1),(15 1405752.8),(16 1560910.9),(17 1714193.3),(18 1867058),(19 2031081.5),(20 2186197.8),(21 2340877),(22 2490218.5),(23 2634578),(24 2764423.3),(25 2889423.3),(26 3015441.8),(27 3137560.8),(28 3235479.3),(29 3346077),(30 3483908.3),(31 3591363),(32 3706654.5),(33 3816051.8),(34 3921828.3),(35 4027710.5),(36 4154327),(37 4276086.5),(38 4396599.5),(39 4512007.5),(40 4637183.5),(41 4762999.5),(42 4889895),(43 5026211.5),(44 5172950.5),(45 5323176.5),(46 5481326.5),(47 5634996.5),(48 5776582.5),(49 5914014.5),(50 6023291),(51 6132429),(52 6241293),(53 6330838),(54 6408678),(55 6485166.5),(56 6567459),(57 6664475.5),(58 6744520.5),(59 6819713.5),(60 6909671.5),(61 6995451.5),(62 7049000.5),(63 7090675),(64 7111031.5),(65 7128396.5),(66 7146052.5),(67 7156311.5),(68 7157179.5),(69 7171895.5),(70 7185032),(71 7197705.5),(72 7208205),(73 7228603.5),(74 7214697.5),(75 7176674),(76 7122817.5),(77 7062334.5),(78 7001408),(79 6937451.5),
(1 16490.893),(2 54236.26),(3 112137.69),(4 181882.34),(5 277606.16),(6 378713.63),(7 489130.1),(8 620231.6),(9 774231.3),(10 940450.4),(11 1116743.5),(12 1316098.8),(13 1515639.8),(14 1723569.3),(15 1934725.3),(16 2151805.3),(17 2373539.5),(18 2585970.5),(19 2815127.3),(20 3032984.8),(21 3236943),(22 3438127.5),(23 3624064.8),(24 3804484.8),(25 3976189.5),(26 4147608),(27 4302966.5),(28 4430506.5),(29 4559139),(30 4671847),(31 4751860.5),(32 4820225.5),(33 4891125),(34 4952530.5),(35 5017096),(36 5084390.5),(37 5156147),(38 5229224),(39 5292015.5),(40 5355735),(41 5415248.5),(42 5489468.5),(43 5570119),(44 5670705),(45 5769643),(46 5875998.5),(47 6026909.5),(48 6181680.5),(49 6327076),(50 6495100),(51 6644229),(52 6816685),(53 7001579),(54 7164445),(55 7360899),(56 7546352),(57 7726105.5),(58 7882633.5),(59 8043752),(60 8191497),(61 8332624),(62 8436433),(63 8546827),(64 8654226),(65 8754112),(66 8826243),(67 8888552),(68 8931492),(69 8964605),(70 8982788),(71 8989608),(72 8982316),(73 8976838),(74 8937614),(75 8868254),(76 8780692),(77 8680214),(78 8562975),(79 8462875),
(1 13792.139),(2 43536.777),(3 89027.63),(4 142400.1),(5 209583.94),(6 276212.1),(7 345410.78),(8 417264.3),(9 496031.84),(10 575530.9),(11 656051.06),(12 751503.6),(13 841721.94),(14 936610),(15 1031549.44),(16 1125868.6),(17 1222358.9),(18 1324942.5),(19 1429647.8),(20 1534981.3),(21 1634440.6),(22 1735909.4),(23 1831537.9),(24 1932696),(25 2012024.9),(26 2100837.5),(27 2181046),(28 2248338),(29 2318259.8),(30 2378038),(31 2422886.5),(32 2457860.5),(33 2496029),(34 2516002.5),(35 2540883.3),(36 2564857),(37 2579879.3),(38 2598158.3),(39 2611569.8),(40 2624013.8),(41 2633042.5),(42 2635549),(43 2639098.5),(44 2653192.3),(45 2660292),(46 2666606.8),(47 2689253.8),(48 2710327),(49 2738324),(50 2773105.3),(51 2814085.8),(52 2860764.3),(53 2917668.5),(54 2960999.8),(55 3024089.8),(56 3077006.5),(57 3123605.5),(58 3165933.3),(59 3238251),(60 3300815.8),(61 3374274.8),(62 3436523.8),(63 3503492),(64 3582956.5),(65 3665050.8),(66 3751001.8),(67 3829169.8),(68 3914211.8),(69 3997410.3),(70 4090189.3),(71 4193306.3),(72 4279748),(73 4373106.5),(74 4455246),(75 4548708.5),(76 4619619),(77 4704230.5),(78 4785141),(79 4848157),
(1 18677.371),(2 61520.17),(3 126944.586),(4 205433.03),(5 304549.6),(6 400362),(7 502092.47),(8 606935.3),(9 715746.8),(10 831000.7),(11 951660.4),(12 1080040.4),(13 1205856),(14 1336132.1),(15 1469795.4),(16 1592073.6),(17 1703254.6),(18 1816410.4),(19 1921933.3),(20 2016614.9),(21 2104487.8),(22 2178060.5),(23 2240202.3),(24 2296907.5),(25 2327627.3),(26 2353144.3),(27 2370891.3),(28 2391099),(29 2408777.5),(30 2430724.8),(31 2433623.3),(32 2439506.5),(33 2450984.5),(34 2453386.3),(35 2460754.3),(36 2464035),(37 2471091.3),(38 2483991.8),(39 2499272),(40 2520628.8),(41 2548554.8),(42 2577813.8),(43 2614839),(44 2668259.3),(45 2730399.8),(46 2786477),(47 2848888),(48 2911417.5),(49 2966087),(50 3017412.3),(51 3051596.3),(52 3078721),(53 3102005.8),(54 3122253.5),(55 3162443.5),(56 3196780.8),(57 3234546.8),(58 3254378.5),(59 3306006.3),(60 3351755.8),(61 3388173.5),(62 3434514.5),(63 3463601),(64 3507590.5),(65 3544431.8),(66 3574063),(67 3612118.3),(68 3637692.3),(69 3668005),(70 3704493.8),(71 3744061.5),(72 3774906.3),(73 3815731),(74 3840191.8),(75 3881941.3),(76 3902030.3),(77 3925232.8),(78 3940370.8),(79 3955266.5),
(1 19703.271),(2 65333.28),(3 135129),(4 222844.83),(5 334431.1),(6 449227.28),(7 569911.2),(8 694435.1),(9 819545.56),(10 945288.3),(11 1074705),(12 1201021.8),(13 1321074.8),(14 1436878.4),(15 1552941),(16 1659091.4),(17 1749682.1),(18 1836137),(19 1918245),(20 1988464.5),(21 2035187.5),(22 2062560.5),(23 2074475.8),(24 2061192.8),(25 2046886.6),(26 2023528.5),(27 1994062.9),(28 1971317),(29 1940902.1),(30 1909913),(31 1880433.9),(32 1851096.4),(33 1832825),(34 1821025.6),(35 1816251.9),(36 1813260.1),(37 1816732.5),(38 1821492),(39 1831951),(40 1835505.6),(41 1843873.4),(42 1856085.8),(43 1883997.3),(44 1917027.8),(45 1959365.6),(46 2007602.9),(47 2051447.3),(48 2105571.3),(49 2151331.3),(50 2198852.3),(51 2231920),(52 2258002.8),(53 2282978),(54 2310899),(55 2337522.8),(56 2372312.5),(57 2406803),(58 2450871),(59 2511521.5),(60 2569393.3),(61 2630278.8),(62 2699039),(63 2783514.3),(64 2861185.3),(65 2938018),(66 3021016.8),(67 3093118),(68 3172915.3),(69 3244629.5),(70 3311865.5),(71 3374888.3),(72 3431569.5),(73 3478590.5),(74 3522218.5),(75 3561045.3),(76 3585237.5),(77 3599338.8),(78 3596390.3),(79 3594174.3),
(1 16573.178),(2 53277.25),(3 108486.82),(4 174130),(5 261599.56),(6 353634.38),(7 450758),(8 550922.9),(9 649463.25),(10 751778.2),(11 853647.6),(12 955527.3),(13 1054493.8),(14 1142829.9),(15 1227755.1),(16 1304841.3),(17 1373550.6),(18 1434608.3),(19 1495840.3),(20 1547773),(21 1593711.3),(22 1629715.5),(23 1666499.8),(24 1696927.9),(25 1735039),(26 1775984.1),(27 1814023.5),(28 1863245.5),(29 1907415.5),(30 1946601.8),(31 1994980.5),(32 2039794.6),(33 2074494.3),(34 2117944.8),(35 2163400.5),(36 2211849.8),(37 2258829.5),(38 2302030.5),(39 2333585),(40 2343703.3),(41 2337254.8),(42 2320168.5),(43 2299344),(44 2263663.5),(45 2224334),(46 2186081),(47 2142796.5),(48 2104573),(49 2070801.8),(50 2035256.5),(51 2003059.1),(52 1981873.1),(53 1974438.6),(54 1961697.4),(55 1959423.5),(56 1963367.4),(57 1970940.9),(58 1970733.8),(59 1987924.9),(60 2003575.8),(61 2016565.4),(62 2030214.6),(63 2046074.5),(64 2068672.5),(65 2094857.4),(66 2126274.3),(67 2159008.8),(68 2186844),(69 2221554.5),(70 2251508),(71 2276505.3),(72 2305782),(73 2329715.5),(74 2334991.5),(75 2334120),(76 2321342.3),(77 2311040.5),(78 2290503.8),(79 2263122.5),
(1 19312.379),(2 64169.41),(3 134143.44),(4 222496.08),(5 330625.66),(6 450189.03),(7 583282.5),(8 718936),(9 863209.2),(10 1003268.7),(11 1142012.8),(12 1283426.5),(13 1410799.9),(14 1522598.6),(15 1630769),(16 1719079.4),(17 1789823.9),(18 1845414.4),(19 1887308.3),(20 1909373.9),(21 1915208.1),(22 1913546.1),(23 1907011.8),(24 1890371.4),(25 1866441.4),(26 1836617.3),(27 1804868.3),(28 1775217.9),(29 1756654.8),(30 1755458.6),(31 1747775),(32 1738172),(33 1726575.5),(34 1719022),(35 1712696),(36 1711485.1),(37 1711263.8),(38 1714803.5),(39 1717661),(40 1715793.6),(41 1711393.9),(42 1705200.3),(43 1690998.1),(44 1673315.8),(45 1658452.9),(46 1644312),(47 1635133.8),(48 1635400),(49 1639658.4),(50 1651646.3),(51 1663909),(52 1677574.6),(53 1710773.4),(54 1750822.1),(55 1802228.8),(56 1850170.4),(57 1902452.6),(58 1950423.1),(59 2004997),(60 2056296),(61 2100454.5),(62 2136182.5),(63 2175409.5),(64 2219695),(65 2271913.8),(66 2329427),(67 2383200),(68 2442314.5),(69 2499553.3),(70 2566088.8),(71 2623777.5),(72 2681638),(73 2719550.5),(74 2748489.3),(75 2763583.5),(76 2763243.3),(77 2751603),(78 2741914),(79 2716636),
