1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 2.5670354),(2 2.5648623),(3 5.9123063),(4 13.241539),(5 15.589116),(6 15.598066),(7 17.085417),(8 21.045822),(9 22.291143),(10 22.296434),(11 23.259344),(12 25.744127),(13 25.946577),(14 25.954159),(15 26.970915),(16 29.31645),(17 30.984632),(18 30.989801),(19 32.531013),(20 34.56141),(21 34.541695),(22 34.544376),(23 34.99005),(24 34.63684),(25 34.275646),(26 34.26121),(27 34.858425),(28 35.67807),(29 35.783737),(30 35.829563),(31 37.310112),(32 39.896873),(33 41.775894),(34 41.76906),(35 42.20935),(36 43.02471),(37 43.57495),(38 43.592438),(39 43.51925),(40 42.70436),(41 43.389004),(42 43.397488),(43 43.089504),(44 43.835194),(45 44.985416),(46 44.974655),
(1 2.3790708),(2 2.379544),(3 5.100319),(4 10.03885),(5 11.438495),(6 11.447863),(7 12.787231),(8 15.382193),(9 16.208479),(10 16.214806),(11 17.25539),(12 18.537815),(13 18.696983),(14 18.702274),(15 19.814438),(16 20.600441),(17 21.323757),(18 21.34046),(19 22.49311),(20 23.168364),(21 22.849459),(22 22.852879),(23 23.366093),(24 24.091703),(25 23.541206),(26 23.53901),(27 24.332071),(28 24.212463),(29 24.188196),(30 24.210611),(31 24.799839),(32 25.056787),(33 26.510763),(34 26.51822),(35 26.184776),(36 26.461447),(37 26.73178),(38 26.731579),(39 25.885435),(40 25.533493),(41 25.599474),(42 25.605566),(43 25.493496),(44 26.32389),(45 27.210749),(46 27.216673),
(1 1.6187687),(2 1.6197124),(3 3.4039307),(4 6.6132464),(5 7.4799085),(6 7.486062),(7 8.211509),(8 9.786886),(9 10.038015),(10 10.04337),(11 10.704426),(12 11.202137),(13 11.130856),(14 11.130812),(15 11.76105),(16 12.335006),(17 12.52961),(18 12.531704),(19 13.0546875),(20 14.00702),(21 13.783851),(22 13.784534),(23 14.142643),(24 13.945194),(25 13.640105),(26 13.637599),(27 14.118347),(28 14.135355),(29 14.2508745),(30 14.249426),(31 14.628225),(32 15.119638),(33 15.820789),(34 15.827891),(35 15.390067),(36 15.316866),(37 15.868546),(38 15.874909),(39 15.547476),(40 15.537184),(41 15.708091),(42 15.705081),(43 15.349243),(44 15.357347),(45 15.968381),(46 15.969179),
(1 1.3848348),(2 1.3851292),(3 2.8852062),(4 5.4373503),(5 5.8487935),(6 5.847566),(7 6.5240273),(8 7.5015593),(9 7.7411485),(10 7.7438817),(11 8.3466),(12 8.727973),(13 8.814413),(14 8.816601),(15 9.279044),(16 9.847008),(17 9.910369),(18 9.9121475),(19 10.059577),(20 10.525492),(21 10.371801),(22 10.371177),(23 10.7251425),(24 10.532676),(25 10.105089),(26 10.100935),(27 10.438471),(28 10.458439),(29 10.214761),(30 10.216579),(31 10.433148),(32 10.782761),(33 11.442645),(34 11.43808),(35 11.329185),(36 11.048799),(37 11.579527),(38 11.575405),(39 11.307529),(40 11.106787),(41 11.374549),(42 11.371876),(43 11.122938),(44 11.138666),(45 11.492963),(46 11.4981),
(1 1.056893),(2 1.0576674),(3 2.2224283),(4 4.068482),(5 4.3564134),(6 4.359917),(7 4.911277),(8 5.676781),(9 5.679013),(10 5.679781),(11 6.0270333),(12 6.519356),(13 6.404284),(14 6.4044776),(15 6.633703),(16 7.0079393),(17 7.0514326),(18 7.052487),(19 7.294113),(20 7.623339),(21 7.4919147),(22 7.4951053),(23 7.6781282),(24 7.6130643),(25 7.414714),(26 7.41166),(27 7.770254),(28 7.8067174),(29 7.6835394),(30 7.6750026),(31 7.8365817),(32 7.855341),(33 8.425045),(34 8.429524),(35 8.234531),(36 7.9262037),(37 8.236537),(38 8.233767),(39 8.090527),(40 7.912904),(41 8.17503),(42 8.169305),(43 7.9818487),(44 7.901621),(45 8.2356415),(46 8.241511),
(1 0.64082277),(2 0.64117867),(3 1.335875),(4 2.3374646),(5 2.5002105),(6 2.5030491),(7 2.796424),(8 3.1349208),(9 3.1460025),(10 3.1481538),(11 3.3946362),(12 3.6576214),(13 3.5771797),(14 3.5769491),(15 3.748011),(16 3.9508257),(17 3.8873825),(18 3.8884268),(19 4.1008034),(20 4.25481),(21 4.128876),(22 4.1300955),(23 4.275436),(24 4.227268),(25 4.0588007),(26 4.0589237),(27 4.2492404),(28 4.258402),(29 4.22582),(30 4.222034),(31 4.3565135),(32 4.3868337),(33 4.724596),(34 4.728204),(35 4.550202),(36 4.458225),(37 4.597788),(38 4.5985136),(39 4.4329166),(40 4.3973317),(41 4.5334787),(42 4.5302114),(43 4.422938),(44 4.3821115),(45 4.6021876),(46 4.6038723),
(1 0.5378199),(2 0.5379207),(3 1.1279492),(4 1.9170997),(5 2.0332265),(6 2.0348532),(7 2.2624648),(8 2.5948315),(9 2.5668006),(10 2.568352),(11 2.8029015),(12 2.9700644),(13 2.8924417),(14 2.8942008),(15 2.976066),(16 3.1852224),(17 3.1573977),(18 3.1576543),(19 3.2897286),(20 3.420923),(21 3.2954273),(22 3.2967763),(23 3.4027755),(24 3.434909),(25 3.3380113),(26 3.337177),(27 3.4574032),(28 3.4435804),(29 3.3687506),(30 3.3533144),(31 3.426623),(32 3.395444),(33 3.804705),(34 3.803292),(35 3.6659508),(36 3.5377657),(37 3.73589),(38 3.7319167),(39 3.5776362),(40 3.5378075),(41 3.7255654),(42 3.722256),(43 3.5995903),(44 3.5065875),(45 3.6400104),(46 3.6418567),
(1 0.42640427),(2 0.42685482),(3 0.8933762),(4 1.5076712),(5 1.5778854),(6 1.5788261),(7 1.7468688),(8 1.9916589),(9 1.9792285),(10 1.9806716),(11 2.114433),(12 2.2550085),(13 2.2019522),(14 2.2028441),(15 2.323663),(16 2.4304612),(17 2.3544598),(18 2.3526917),(19 2.4484632),(20 2.5414677),(21 2.4290192),(22 2.428959),(23 2.5256042),(24 2.5384219),(25 2.4145126),(26 2.415171),(27 2.512515),(28 2.530768),(29 2.4489872),(30 2.4405193),(31 2.4857945),(32 2.4530802),(33 2.7575517),(34 2.7561173),(35 2.6794782),(36 2.5925105),(37 2.7618475),(38 2.7590454),(39 2.6209855),(40 2.6059144),(41 2.7371826),(42 2.7306497),(43 2.643871),(44 2.639717),(45 2.7454467),(46 2.7449467),
(1 0.31314537),(2 0.31346437),(3 0.66442055),(4 1.1110934),(5 1.1441779),(6 1.1448777),(7 1.2549462),(8 1.4358759),(9 1.4113619),(10 1.4129),(11 1.5078723),(12 1.6332566),(13 1.5593663),(14 1.5604757),(15 1.6446574),(16 1.7108395),(17 1.6671972),(18 1.6672773),(19 1.742476),(20 1.8334811),(21 1.7703334),(22 1.7701293),(23 1.8223548),(24 1.8265556),(25 1.7343285),(26 1.7334356),(27 1.8072844),(28 1.862512),(29 1.7648919),(30 1.7615575),(31 1.8045806),(32 1.7943122),(33 2.021462),(34 2.0227656),(35 1.9407111),(36 1.8533741),(37 1.9570009),(38 1.9552777),(39 1.8490534),(40 1.8310974),(41 1.9361445),(42 1.933781),(43 1.8538706),(44 1.8264998),(45 1.9354995),(46 1.933532),
(1 0.24484609),(2 0.24486084),(3 0.503643),(4 0.8455846),(5 0.86268216),(6 0.8643228),(7 0.95116353),(8 1.0808144),(9 1.0643616),(10 1.0661031),(11 1.1549217),(12 1.2422935),(13 1.1825864),(14 1.1818441),(15 1.2296479),(16 1.2709602),(17 1.245136),(18 1.2440306),(19 1.3098667),(20 1.4084878),(21 1.3521234),(22 1.3521296),(23 1.3981756),(24 1.4132345),(25 1.3412704),(26 1.3407197),(27 1.3916318),(28 1.4055394),(29 1.3579127),(30 1.3491498),(31 1.3870437),(32 1.3906403),(33 1.565362),(34 1.5646524),(35 1.4923909),(36 1.4224268),(37 1.530117),(38 1.5288472),(39 1.4457707),(40 1.4310466),(41 1.5181105),(42 1.5150769),(43 1.444868),(44 1.4231976),(45 1.5048535),(46 1.5046109),
