1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 58182.285),(2 171378.61),(3 350578.9),(4 560426.3),(5 804926.2),(6 1124304),(7 1494385.1),(8 1945382.5),(9 2449869.3),(10 3003528.8),(11 3653623.3),(12 4355476),(13 5074533),(14 5713577.5),(15 6347529.5),(16 6968638),(17 7636390.5),(18 8303604),(19 8890355),(20 9475255),(21 10162501),(22 10773461),(23 11394337),(24 12101005),(25 12888469),(26 13821485),(27 15180680),(28 16228136),(29 17510082),(30 18988170),(31 20677318),(32 22314720),(33 24175590),(34 26366502),(35 28621570),(36 31317352),(37 33387840),(38 36218704),(39 38546090),(40 41333080),(41 44370916),(42 47526624),(43 50658656),(44 53342612),(45 56272190),(46 58798476),(47 61720428),(48 63800800),(49 66125730),(50 68486350),(51 70628330),(52 73071810),(53 75132616),(54 77252696),(55 78684104),(56 79954020),(57 80703040),(58 81658070),(59 82156710),(60 83010760),(61 83704540),(62 84121730),(63 84469850),(64 84843140),(65 85890230),(66 86578790),(67 87662180),(68 89012580),(69 90792100),(70 92484360),(71 94224170),(72 95831870),(73 97333090),(74 98674590),(75 99956856),(76 101244710),(77 102681320),(78 104132570),(79 105434440),
(1 77959.22),(2 238802.4),(3 491681.4),(4 788218.5),(5 1145755.3),(6 1526939.3),(7 1998761.3),(8 2515573.3),(9 3064042.3),(10 3677788.5),(11 4343115),(12 5053305),(13 5777316),(14 6425764.5),(15 7045652),(16 7612555),(17 8185709.5),(18 8703377),(19 9205270),(20 9648548),(21 10175942),(22 10613718),(23 11120003),(24 11525368),(25 12059792),(26 12592934),(27 13288257),(28 14047678),(29 14651046),(30 15642810),(31 16516166),(32 17674512),(33 18718796),(34 20196858),(35 21504092),(36 23155756),(37 24792348),(38 26673224),(39 28957824),(40 31216224),(41 34004604),(42 36474356),(43 39502776),(44 41901376),(45 44665924),(46 47332696),(47 50287610),(48 53318016),(49 56165310),(50 59547544),(51 62526292),(52 65885664),(53 68852070),(54 71738100),(55 74370350),(56 76711660),(57 79112500),(58 81551400),(59 83766290),(60 85766510),(61 87834710),(62 89648360),(63 91739580),(64 93628400),(65 95909144),(66 97947380),(67 100241730),(68 102503090),(69 104818480),(70 107111020),(71 109339260),(72 111451920),(73 113475930),(74 115212540),(75 116782824),(76 118622310),(77 120481740),(78 122408296),(79 124277900),
(1 66863.87),(2 208266.11),(3 418243.25),(4 653112.2),(5 919648.7),(6 1175779.5),(7 1475450.4),(8 1780182),(9 2094365.4),(10 2446372),(11 2830652),(12 3275051.3),(13 3755172.8),(14 4219082),(15 4701448.5),(16 5159603.5),(17 5639906.5),(18 6129426.5),(19 6600468),(20 7039831.5),(21 7502874),(22 7895688),(23 8310153.5),(24 8686263),(25 9109803),(26 9482682),(27 9831339),(28 10221989),(29 10493687),(30 10946029),(31 11265567),(32 11737424),(33 12092491),(34 12682568),(35 13148815),(36 13740903),(37 14347488),(38 14917428),(39 15791893),(40 16564229),(41 17690744),(42 18692978),(43 20002016),(44 21179226),(45 22503546),(46 23752240),(47 25064810),(48 26358846),(49 27642246),(50 29092458),(51 30308966),(52 31636222),(53 32873114),(54 34152244),(55 35387184),(56 36459036),(57 37546364),(58 38441396),(59 39394124),(60 40000856),(61 40673244),(62 41125468),(63 41739692),(64 42258650),(65 42822348),(66 43338948),(67 43977710),(68 44550760),(69 45130880),(70 45720256),(71 46290428),(72 46862172),(73 47272096),(74 47617804),(75 47785950),(76 48009492),(77 48216276),(78 48458850),(79 48754180),
(1 75541.14),(2 243226.17),(3 496843.06),(4 804435.75),(5 1163203.5),(6 1550453.4),(7 1952289.4),(8 2356366.3),(9 2762077.3),(10 3176461.5),(11 3601635.3),(12 4048536),(13 4475994),(14 4885934),(15 5326014),(16 5764390),(17 6206647.5),(18 6686229.5),(19 7179947),(20 7664886),(21 8152853.5),(22 8612007),(23 9058372),(24 9543586),(25 10003266),(26 10515092),(27 11000898),(28 11444969),(29 11906677),(30 12231248),(31 12580204),(32 12722372),(33 12901229),(34 12972188),(35 13097314),(36 13171596),(37 13217148),(38 13323691),(39 13407058),(40 13520335),(41 13620597),(42 13805278),(43 13983300),(44 14224004),(45 14397963),(46 14571273),(47 14687217),(48 14843662),(49 15030841),(50 15304384),(51 15637829),(52 16093644),(53 16641120),(54 17193882),(55 17904488),(56 18607228),(57 19374602),(58 20137054),(59 20943030),(60 21655788),(61 22432968),(62 23150584),(63 23828220),(64 24540540),(65 25416800),(66 26173960),(67 27063626),(68 28065684),(69 29089796),(70 30127260),(71 31008696),(72 31733070),(73 32231164),(74 32732914),(75 33200312),(76 33585572),(77 33981204),(78 34362172),(79 34663184),
(1 85639.195),(2 279199.38),(3 564416.2),(4 891145.6),(5 1251214.4),(6 1644151.3),(7 2042282.5),(8 2447521.8),(9 2842607.8),(10 3239729.5),(11 3640835.3),(12 4020103.3),(13 4372810.5),(14 4713354),(15 5038442),(16 5383915.5),(17 5732265),(18 6093579),(19 6447648),(20 6821148.5),(21 7212324.5),(22 7661507),(23 8084713.5),(24 8550783),(25 8958707),(26 9401997),(27 9824665),(28 10260343),(29 10754831),(30 11205961),(31 11689840),(32 12011965),(33 12392419),(34 12657549),(35 13023060),(36 13312890),(37 13615948),(38 13990691),(39 14225009),(40 14589754),(41 14764849),(42 15138227),(43 15395741),(44 15708393),(45 15915744),(46 16125072),(47 16373769),(48 16498807),(49 16837928),(50 17000120),(51 17296280),(52 17558396),(53 17923384),(54 18250282),(55 18622038),(56 18996882),(57 19294880),(58 19646682),(59 19855292),(60 20022296),(61 20089152),(62 20139102),(63 20149708),(64 20266836),(65 20374408),(66 20491874),(67 20730892),(68 21067762),(69 21447086),(70 21852144),(71 22298340),(72 22663238),(73 22977946),(74 23260564),(75 23553092),(76 23834772),(77 24139380),(78 24458062),(79 24797080),
(1 104205.33),(2 349132.88),(3 716217.25),(4 1144501.8),(5 1601635),(6 2099309.5),(7 2605060.5),(8 3113435.3),(9 3596794.5),(10 4075801.5),(11 4553677.5),(12 5018257),(13 5496828),(14 5959506.5),(15 6422852),(16 6880917),(17 7379893),(18 7870149.5),(19 8371398.5),(20 8921577),(21 9505842),(22 10129385),(23 10725525),(24 11337282),(25 11907490),(26 12480244),(27 13004074),(28 13483102),(29 13864062),(30 14276710),(31 14631154),(32 14926179),(33 15143174),(34 15346016),(35 15584179),(36 15742278),(37 15932891),(38 16026579),(39 16193718),(40 16257392),(41 16397474),(42 16513040),(43 16589075),(44 16687402),(45 16743645),(46 16843908),(47 16865330),(48 16991966),(49 17050260),(50 17187786),(51 17239302),(52 17292168),(53 17301972),(54 17276056),(55 17238208),(56 17125082),(57 17060470),(58 16919344),(59 16795288),(60 16579763),(61 16342371),(62 16052653),(63 15707862),(64 15327442),(65 14958323),(66 14573099),(67 14242851),(68 13999616),(69 13791080),(70 13608443),(71 13500739),(72 13477795),(73 13449014),(74 13472926),(75 13490811),(76 13543917),(77 13616861),(78 13716202),(79 13830102),
(1 146717.03),(2 497574.03),(3 1046325.44),(4 1712331.5),(5 2465841.8),(6 3273286.3),(7 4127224),(8 5029374),(9 5906685),(10 6833789),(11 7741007.5),(12 8717491),(13 9745195),(14 10769122),(15 11765290),(16 12656405),(17 13510402),(18 14243168),(19 14869465),(20 15410885),(21 15895803),(22 16303915),(23 16656634),(24 16956288),(25 17174596),(26 17312290),(27 17401944),(28 17380738),(29 17228934),(30 16969336),(31 16676969),(32 16259680),(33 15825918),(34 15414794),(35 15090059),(36 14738969),(37 14584203),(38 14366496),(39 14500817),(40 14554309),(41 15006428),(42 15385847),(43 16050980),(44 16785438),(45 17587666),(46 18538032),(47 19333602),(48 20390786),(49 21268540),(50 22332718),(51 23187424),(52 24052338),(53 24795864),(54 25416700),(55 25874850),(56 26162380),(57 26378564),(58 26369888),(59 26296654),(60 26014834),(61 25678098),(62 25219392),(63 24607896),(64 23909580),(65 23180340),(66 22400348),(67 21592034),(68 20819022),(69 20078940),(70 19339402),(71 18587636),(72 17845342),(73 17143952),(74 16509975),(75 15931158),(76 15417073),(77 14971009),(78 14616938),(79 14394596),
(1 172992.56),(2 600301.6),(3 1280968),(4 2122349.5),(5 3121329.3),(6 4162662.5),(7 5284502.5),(8 6418595.5),(9 7515922),(10 8657056),(11 9748491),(12 10876932),(13 11996279),(14 13069417),(15 14060167),(16 14895767),(17 15596399),(18 16155323),(19 16567042),(20 16850062),(21 16959372),(22 16929512),(23 16728203),(24 16472716),(25 16045138),(26 15612471),(27 15157370),(28 14591991),(29 14165502),(30 13593975),(31 13204348),(32 12616183),(33 12269421),(34 11809242),(35 11603652),(36 11428890),(37 11389044),(38 11464215),(39 11647762),(40 11939068),(41 12356927),(42 12963762),(43 13662765),(44 14459217),(45 15240460),(46 16073412),(47 16758705),(48 17531516),(49 18183588),(50 18758646),(51 19216366),(52 19565670),(53 19788892),(54 19899132),(55 19885876),(56 19811234),(57 19660212),(58 19450586),(59 19177086),(60 18751356),(61 18348438),(62 17913090),(63 17491088),(64 17085126),(65 16708913),(66 16313050),(67 15934022),(68 15537525),(69 15157619),(70 14720724),(71 14277203),(72 13795887),(73 13333702),(74 12899828),(75 12484975),(76 12155011),(77 11892161),(78 11685380),(79 11518751),
(1 139953.45),(2 486555.78),(3 1033722.94),(4 1717634.4),(5 2531430.5),(6 3376365.3),(7 4270626),(8 5183182),(9 6072867),(10 6963895.5),(11 7809992.5),(12 8616516),(13 9320368),(14 9961018),(15 10485609),(16 10924836),(17 11253032),(18 11462618),(19 11565871),(20 11609590),(21 11581993),(22 11514429),(23 11372152),(24 11204483),(25 10980550),(26 10711825),(27 10435142),(28 10137160),(29 9919518),(30 9718199),(31 9570376),(32 9478107),(33 9384834),(34 9400740),(35 9472060),(36 9648880),(37 9946987),(38 10241406),(39 10744184),(40 11138404),(41 11748397),(42 12232975),(43 12822113),(44 13252999),(45 13655176),(46 13947479),(47 14143851),(48 14271624),(49 14304797),(50 14393641),(51 14413148),(52 14464778),(53 14450135),(54 14440734),(55 14391670),(56 14336061),(57 14236203),(58 14060600),(59 13859823),(60 13506773),(61 13123430),(62 12649384),(63 12194981),(64 11716354),(65 11272324),(66 10848265),(67 10505533),(68 10205858),(69 9986978),(70 9796998),(71 9653080),(72 9557674),(73 9469559),(74 9429272),(75 9416196),(76 9429308),(77 9431032),(78 9434266),(79 9450317),
(1 166999.95),(2 585569.75),(3 1252483.3),(4 2081103.5),(5 3096425),(6 4157799),(7 5354253),(8 6550615.5),(9 7727396.5),(10 8958835),(11 10105148),(12 11205216),(13 12175135),(14 13062312),(15 13838805),(16 14487812),(17 15023125),(18 15376491),(19 15619371),(20 15752532),(21 15862203),(22 15871012),(23 15827351),(24 15657406),(25 15464000),(26 15173968),(27 14850796),(28 14466523),(29 14116922),(30 13726730),(31 13362881),(32 13005589),(33 12661758),(34 12320011),(35 12002493),(36 11736797),(37 11511900),(38 11306165),(39 11146754),(40 11035745),(41 10929708),(42 10846896),(43 10758950),(44 10612712),(45 10468818),(46 10354172),(47 10248161),(48 10262720),(49 10240425),(50 10463074),(51 10654571),(52 10923103),(53 11161054),(54 11395238),(55 11672674),(56 11837711),(57 12026191),(58 12018697),(59 12043588),(60 11915708),(61 11800292),(62 11603380),(63 11425969),(64 11130081),(65 10885432),(66 10661073),(67 10585674),(68 10551568),(69 10599653),(70 10617534),(71 10695429),(72 10817327),(73 10941855),(74 11110677),(75 11253236),(76 11331430),(77 11315278),(78 11213308),(79 11087036),
(1 155626.5),(2 526823.25),(3 1116597),(4 1852098.8),(5 2711415.5),(6 3627686.5),(7 4596154),(8 5551609),(9 6458363.5),(10 7351732),(11 8169018.5),(12 8896648),(13 9523916),(14 10060020),(15 10495715),(16 10837547),(17 11080437),(18 11249215),(19 11374802),(20 11474856),(21 11531153),(22 11552322),(23 11494936),(24 11442858),(25 11322502),(26 11252473),(27 11147315),(28 11104501),(29 11089357),(30 11027283),(31 11031994),(32 10980322),(33 10960412),(34 10852849),(35 10845373),(36 10799183),(37 10779380),(38 10760793),(39 10690511),(40 10659241),(41 10584280),(42 10503642),(43 10431509),(44 10305120),(45 10242888),(46 10193835),(47 10198724),(48 10272889),(49 10333779),(50 10516310),(51 10586007),(52 10696533),(53 10672358),(54 10704911),(55 10702638),(56 10679230),(57 10702119),(58 10630607),(59 10675872),(60 10642210),(61 10709299),(62 10743342),(63 10883575),(64 10935379),(65 11126507),(66 11262167),(67 11456239),(68 11611544),(69 11691420),(70 11683016),(71 11613417),(72 11488267),(73 11307023),(74 11092760),(75 10826481),(76 10465714),(77 10037062),(78 9551371),(79 9094667),
