(1 29982.377),(2 66615.97),(3 67465.586),(4 94270.63),(5 196618.8),(6 234511.3),(7 234870.56),(8 292569.5),(9 463636.47),(10 557289.1),(11 554684.8),(12 664128.06),(13 872627.8),(14 1016694.8),(15 1016820.44),(16 1139934.4),(17 1272731.3),(18 1321512.5),(19 1327564.6),(20 1402177.5),(21 1511786.1),(22 1692080.4),(23 1691940.5),(24 1758856),(25 1858404.9),(26 1919197.8),(27 1918045.3),(28 1978141.3),(29 2136015),(30 2264727),(31 2264922),(32 2314252.8),(33 2461046.5),(34 2477527),(35 2473222.5),(36 2467586.3),(37 2424198.3),(38 2409872.8),(39 2411736.3),(40 2408283.5),(41 2511291.3),(42 2592693.5),(43 2588891),(44 2695961.5),(45 2849297.5),(46 2911203.8),
(1 22190.709),(2 56955.926),(3 58533.203),(4 92439.13),(5 200565.17),(6 250352.02),(7 251385.2),(8 321394.22),(9 458188.6),(10 522425),(11 522222.9),(12 615961.8),(13 812736.44),(14 964957.5),(15 965066.2),(16 1067023),(17 1262274.3),(18 1363555.6),(19 1365891.6),(20 1460551.5),(21 1676133.9),(22 1894791),(23 1894554.4),(24 2038030.6),(25 2278617.3),(26 2342577.3),(27 2341881.8),(28 2431849),(29 2649321),(30 2749798.3),(31 2750785.3),(32 2775492.3),(33 2794049.3),(34 2794904.3),(35 2795055.3),(36 2766306.8),(37 2677165),(38 2676204.3),(39 2676596.3),(40 2723742.8),(41 2824320.3),(42 2888918.3),(43 2888509.3),(44 2918196),(45 3041684),(46 3056541),
(1 30740.176),(2 57238.51),(3 58606.7),(4 77568.42),(5 144180.56),(6 174953.56),(7 174554),(8 222523.64),(9 321085.6),(10 376556.38),(11 375227.16),(12 437023.6),(13 556892.4),(14 647352.75),(15 647174.6),(16 731265.5),(17 883402.2),(18 957247.44),(19 955920.8),(20 1008427.8),(21 1151195.9),(22 1285749.6),(23 1285580.8),(24 1394895),(25 1598582.1),(26 1694386.5),(27 1697362.9),(28 1783586.3),(29 1978686.1),(30 2052553.9),(31 2052549.5),(32 2103053.3),(33 2222759),(34 2249373.8),(35 2247139.8),(36 2274309.5),(37 2396985.5),(38 2438928.3),(39 2440458.8),(40 2544434.5),(41 2668401.8),(42 2679083),(43 2678787.5),(44 2643381.5),(45 2564689.3),(46 2515040.8),
(1 32211.186),(2 67252.88),(3 69242.55),(4 90860.58),(5 151499.34),(6 177803.98),(7 178721.02),(8 211666.56),(9 298179.25),(10 340346.88),(11 340104.25),(12 411695.88),(13 559439.75),(14 650101.06),(15 650083.4),(16 734914.06),(17 865208.5),(18 910100.3),(19 911422.75),(20 986265.4),(21 1123884.4),(22 1214544.8),(23 1214455.8),(24 1293100.1),(25 1408388.1),(26 1504181.3),(27 1506010.8),(28 1540825.6),(29 1626312.8),(30 1655063.9),(31 1655194.5),(32 1687725),(33 1827033.1),(34 1911141.5),(35 1910969.8),(36 1969454.8),(37 1997034.4),(38 2017754.8),(39 2017706.5),(40 2052898.8),(41 2115314.5),(42 2113774.5),(43 2115665.5),(44 2119944.3),(45 2148476.3),(46 2148235.3),
(1 34154.965),(2 68526.93),(3 70670.055),(4 87360.84),(5 162453.78),(6 186776.83),(7 186194.08),(8 232298.28),(9 297865.22),(10 325606.16),(11 323894.63),(12 367793.44),(13 476477.13),(14 541310.3),(15 541333.3),(16 607405.1),(17 711454.4),(18 750187.25),(19 751499.3),(20 818452.8),(21 934433.56),(22 1040355.94),(23 1040313.3),(24 1108028.5),(25 1223013.9),(26 1276275.9),(27 1280774.4),(28 1330361.5),(29 1412722.5),(30 1481759.8),(31 1481825.8),(32 1524238.6),(33 1596101.5),(34 1596522.3),(35 1596049.1),(36 1579610.9),(37 1551356.8),(38 1525975.8),(39 1526239.1),(40 1524342.6),(41 1496388.9),(42 1502056.8),(43 1501910.4),(44 1506830.4),(45 1570046.6),(46 1572666.6),
(1 27896.908),(2 53898.38),(3 54016.516),(4 76059.14),(5 171863.55),(6 214741.03),(7 214709.33),(8 268459.5),(9 366337.56),(10 400106.47),(11 398287.63),(12 463362.88),(13 627143.56),(14 728580.3),(15 728420.56),(16 812638.75),(17 923489.8),(18 964759.9),(19 962246),(20 1002981.6),(21 1090260),(22 1140045.3),(23 1139897.3),(24 1208423.3),(25 1330564.1),(26 1385753.6),(27 1385655.1),(28 1452999.3),(29 1540780.1),(30 1588080.6),(31 1588061.4),(32 1616272),(33 1691515.3),(34 1708324.1),(35 1706941.9),(36 1712869.9),(37 1736542.9),(38 1779914.9),(39 1780211.6),(40 1818567.5),(41 1898656.8),(42 1928140.3),(43 1926548.1),(44 1976432.8),(45 2063889.4),(46 2090977.5),
(1 37554.57),(2 71975.945),(3 74384.73),(4 111146.81),(5 226626.88),(6 270572.88),(7 270582.06),(8 317862.38),(9 427155.6),(10 510831.7),(11 511830.06),(12 602978.8),(13 761533.8),(14 848562.4),(15 848661.56),(16 919487.4),(17 1004877.75),(18 1048900.4),(19 1048334.56),(20 1080913.4),(21 1084213.5),(22 1080659.1),(23 1080629.5),(24 1101072.6),(25 1150714.4),(26 1224077.9),(27 1225227.6),(28 1294555.3),(29 1460905.4),(30 1540669.4),(31 1540862.9),(32 1596428.3),(33 1721828.3),(34 1768644),(35 1769895),(36 1803348.9),(37 1886752.8),(38 1945853.9),(39 1942807.9),(40 1990845.9),(41 2157168.3),(42 2236534),(43 2233538.3),(44 2345527.8),(45 2465657),(46 2579833),
(1 32360.537),(2 62540.688),(3 62901.098),(4 98697.59),(5 182049.03),(6 223755.03),(7 223495.13),(8 284991.9),(9 414986.2),(10 477956.63),(11 476876.56),(12 557971.1),(13 673916.25),(14 722332.8),(15 722325.2),(16 756849.3),(17 783271.6),(18 810106.8),(19 807661.7),(20 845526.94),(21 917317.44),(22 972267),(23 972078.56),(24 995247.1),(25 1081290.9),(26 1150023.8),(27 1151986.9),(28 1206138.6),(29 1377402),(30 1508819.1),(31 1508434),(32 1619984.1),(33 1820143.8),(34 1861278.4),(35 1862907.4),(36 1890056.8),(37 1899515.5),(38 1907598),(39 1907085.1),(40 1925367.6),(41 2024778),(42 2079035.6),(43 2085466.6),(44 2123536.5),(45 2252989),(46 2313957.5),
(1 35449.125),(2 77095.05),(3 78907.26),(4 126761.266),(5 232758.72),(6 270783.63),(7 270217.25),(8 322536.06),(9 447942.63),(10 519486.2),(11 519609.66),(12 596717.4),(13 735991.44),(14 797302),(15 797214.3),(16 837249.4),(17 883247.5),(18 952146.06),(19 952935),(20 1001884.1),(21 1082118.8),(22 1200270.3),(23 1200182),(24 1232424.8),(25 1383574.8),(26 1467134.9),(27 1468235.8),(28 1541880.1),(29 1716456.6),(30 1826576),(31 1826532.4),(32 1933157.8),(33 2089478.8),(34 2157520.8),(35 2157073.3),(36 2209839.3),(37 2258474),(38 2282524.8),(39 2287176.3),(40 2308011.8),(41 2423347.8),(42 2428943),(43 2425661),(44 2473159.8),(45 2523047.5),(46 2549651),
(1 37892.35),(2 76917.75),(3 78426.84),(4 110438.516),(5 201855.66),(6 236766.4),(7 236320.44),(8 273427.84),(9 388326.97),(10 456166.06),(11 456352.88),(12 536425.2),(13 707813.9),(14 806346.94),(15 806329.06),(16 882642.2),(17 971291.44),(18 1023017.3),(19 1027577.5),(20 1084471.8),(21 1161938.6),(22 1235142.6),(23 1235025.8),(24 1267169.4),(25 1369494),(26 1449824),(27 1446691.1),(28 1518511.1),(29 1661066.4),(30 1754762.4),(31 1754558.5),(32 1827489.1),(33 1928144.6),(34 2012067.3),(35 2012840.9),(36 2072432),(37 2198861.5),(38 2237114),(39 2243625),(40 2278621.5),(41 2318935.3),(42 2315397.5),(43 2319491.5),(44 2342608.5),(45 2296542.3),(46 2313098.5),
