1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8969.639),(2 26300.104),(3 47978.51),(4 66296.41),(5 82444.02),(6 96488.984),(7 106676.2),(8 114059.445),(9 120001.76),(10 125789.7),(11 132336.33),(12 138265.47),(13 141617.64),(14 144440.27),(15 146618.1),(16 148635.3),(17 150782.08),(18 151894.89),(19 152483.23),(20 154065.45),(21 156344.31),(22 160258.55),(23 163795.23),(24 166485.3),(25 168780.22),(26 170766.67),(27 172481.55),(28 174245.4),(29 175562.67),(30 177626.72),(31 179176.83),(32 178420.84),(33 176802.42),(34 175984.44),(35 174488.73),(36 173274.72),(37 172862.4),(38 171588.3),(39 171550.75),(40 172384.27),(41 172306.97),(42 172078.25),(43 172399.67),(44 172741.84),(45 173525.83),(46 175725.23),(47 177114.34),(48 178442.44),(49 178808.06),(50 179136.78),(51 179794.27),(52 180782.42),(53 181594.9),(54 183495.31),(55 185160.86),(56 186155.73),(57 187034.81),(58 188410.03),(59 189896.64),(60 191522.97),(61 193949.4),(62 196921.47),(63 200755.44),(64 202717.86),(65 202923.31),(66 203360.25),(67 203651.02),(68 203161.28),(69 201986.16),(70 201609.89),(71 199627.73),(72 196520.34),(73 193714.73),(74 190540.86),(75 187290.5),(76 185131.23),(77 183943.6),(78 183589.94),(79 183863),
(1 9154.826),(2 26605.11),(3 48283.574),(4 66043.43),(5 81114.6),(6 93707.23),(7 103395.13),(8 110263.78),(9 115383.555),(10 120747.66),(11 126361.76),(12 131633.84),(13 133859.7),(14 134349.92),(15 134233.02),(16 134450.69),(17 136778.98),(18 139585.95),(19 143065.3),(20 146398.14),(21 148720.06),(22 151031.38),(23 152759.44),(24 152566.8),(25 152730.42),(26 153919.6),(27 155286.17),(28 156625.94),(29 157159.45),(30 157814.38),(31 158082.3),(32 158610.84),(33 159376.61),(34 160877.14),(35 161579.45),(36 161865.8),(37 162519.4),(38 162414.02),(39 164233.94),(40 166347.66),(41 167216.63),(42 168492.3),(43 169353.95),(44 169087.89),(45 169823.36),(46 171851.06),(47 172991.89),(48 174400.28),(49 175218.73),(50 175276.5),(51 175105.72),(52 175178.63),(53 174677.88),(54 176040.64),(55 177215.78),(56 178874.13),(57 180416.75),(58 180598.17),(59 180226.2),(60 180187.47),(61 179829.4),(62 179242.11),(63 179187.05),(64 179346.45),(65 178717.33),(66 178585.55),(67 178811.72),(68 179178.83),(69 179994.52),(70 180385.97),(71 181247.06),(72 182667.06),(73 183705.08),(74 183131.92),(75 182815.5),(76 182557.56),(77 181677.11),(78 179020.44),(79 177063.52),
(1 8854.301),(2 25767.684),(3 46987.637),(4 64788.273),(5 81176.664),(6 94901.32),(7 105711.25),(8 113976.66),(9 120155.44),(10 126067.29),(11 131770.23),(12 135630.11),(13 137551.33),(14 137954.23),(15 138098.7),(16 137530.58),(17 138234.98),(18 139133.23),(19 140418.97),(20 142518.66),(21 144108.86),(22 146258.42),(23 147317.42),(24 147411.81),(25 147694.67),(26 147951.67),(27 148686.61),(28 150321.56),(29 151946.69),(30 154010.83),(31 155865.56),(32 155998.52),(33 156090.27),(34 156369.19),(35 156719.58),(36 157248.13),(37 157936.28),(38 157686.36),(39 158472.02),(40 159121.17),(41 159871),(42 159683.77),(43 159663.8),(44 158949.53),(45 159571.89),(46 161503.39),(47 162657.17),(48 164249),(49 165115.44),(50 166006.77),(51 166580.11),(52 167426.42),(53 168692.1),(54 169197.4),(55 170229.6),(56 170955.56),(57 172281.31),(58 173853.92),(59 174810.42),(60 176275.27),(61 178036.98),(62 179020.06),(63 180911.94),(64 182088.33),(65 182498.42),(66 182402.72),(67 182198.38),(68 182124.9),(69 183631.42),(70 184291.78),(71 183773.84),(72 182908.72),(73 182101.2),(74 181338.08),(75 180964.36),(76 180343.28),(77 179737.14),(78 178028.77),(79 176778.33),
(1 9035.311),(2 25669.686),(3 46446.82),(4 63748.645),(5 79093.93),(6 91862.914),(7 102491.22),(8 111780.445),(9 119336.555),(10 126911.766),(11 133598.11),(12 138307.17),(13 140817.1),(14 142788.33),(15 143804.42),(16 144184.23),(17 144675.69),(18 144988.19),(19 145387.88),(20 146705.58),(21 147837.06),(22 148761.39),(23 149970.47),(24 151051.31),(25 152057.03),(26 153212.25),(27 154384.33),(28 157353.13),(29 159809.69),(30 162717.47),(31 165154.03),(32 165976.39),(33 165762.47),(34 165883.19),(35 165826.19),(36 166778.44),(37 168161.28),(38 169145.95),(39 170663.92),(40 171771.69),(41 171273.42),(42 170564.16),(43 170669.48),(44 170636.69),(45 171064.92),(46 171694.89),(47 171776.61),(48 171926.7),(49 172357.47),(50 172151.06),(51 172244.4),(52 172321.28),(53 172587.48),(54 173930.1),(55 175316.58),(56 175975.48),(57 175058.77),(58 175307.77),(59 175068.5),(60 174996.14),(61 174255.36),(62 173307.44),(63 173405.06),(64 174059.8),(65 174428.3),(66 174239.6),(67 173528.8),(68 172091.94),(69 172395.67),(70 172593.53),(71 171962.98),(72 171149.83),(73 170451.14),(74 169691.27),(75 168975.47),(76 169441.33),(77 169796.42),(78 169518.98),(79 169553.05),
(1 8956.5625),(2 25218.975),(3 44755.027),(4 60306.414),(5 73748.55),(6 84481.27),(7 93049.125),(8 100103.53),(9 105581.65),(10 110921.34),(11 115384.76),(12 118938.914),(13 121091.7),(14 123431),(15 125345.39),(16 127836.3),(17 129882.98),(18 131131.22),(19 132853.98),(20 135265.66),(21 137435.25),(22 139523.36),(23 142011.3),(24 143753.27),(25 145468.02),(26 147374.45),(27 149104.39),(28 151478.89),(29 153675.95),(30 156105.9),(31 157576.42),(32 157554),(33 157606.61),(34 158999.33),(35 159142.53),(36 159332.95),(37 159827.94),(38 159368.58),(39 159522.38),(40 159360.97),(41 159009.25),(42 158946.88),(43 160236.92),(44 160265.27),(45 160220.23),(46 159284.81),(47 157993.52),(48 156793.19),(49 156822.42),(50 156071.95),(51 155189.86),(52 154761.25),(53 154182.39),(54 154261.45),(55 154422.67),(56 154910.19),(57 154466.98),(58 154470.23),(59 154117.66),(60 154817.5),(61 155763.97),(62 157018.14),(63 159084.97),(64 160861.33),(65 161656.63),(66 162823.94),(67 164239.53),(68 164561.7),(69 164595.4),(70 164921.64),(71 164374.95),(72 163229.08),(73 162811.56),(74 161283.34),(75 160173.23),(76 159158.55),(77 158473.05),(78 157115.64),(79 156479.77),
(1 8775.661),(2 24863.977),(3 44158.242),(4 60448.816),(5 74563.72),(6 86132.75),(7 94825.414),(8 101259.72),(9 106417.6),(10 111281.84),(11 115226.63),(12 118189.56),(13 120914.66),(14 124114.96),(15 125605),(16 126401.58),(17 128212.14),(18 129651.77),(19 131203.34),(20 132922),(21 133336.23),(22 133515.88),(23 134223.11),(24 134786.67),(25 135780.33),(26 137409.31),(27 138583.75),(28 139379.84),(29 139702.28),(30 139156.02),(31 138827.6),(32 138635.3),(33 139322.56),(34 141080.31),(35 141370.69),(36 142349.08),(37 143987.02),(38 144849.53),(39 145511.28),(40 146837.92),(41 147245.78),(42 147666.89),(43 148534.78),(44 148505.3),(45 148279.69),(46 148265.72),(47 147885.42),(48 148393.63),(49 149546.66),(50 150307.73),(51 151287.02),(52 152826.06),(53 154173.83),(54 155706.3),(55 156257.63),(56 156566.34),(57 155296.16),(58 154124.92),(59 152394.61),(60 152186.83),(61 151527.86),(62 150854.47),(63 151289.2),(64 152354.23),(65 153769.6),(66 155576.22),(67 157280.94),(68 157960.42),(69 158915.48),(70 159267.1),(71 159233.14),(72 159784.06),(73 159737.31),(74 158938.83),(75 158255.28),(76 157646.61),(77 157310.72),(78 156219.44),(79 155031.73),
(1 8377.279),(2 23995.574),(3 43472.05),(4 59810.867),(5 73903.62),(6 85210.43),(7 93781.26),(8 100194.05),(9 104646.766),(10 108629.81),(11 111643.195),(12 113085.516),(13 113653.22),(14 114716.13),(15 115295.12),(16 115986.016),(17 117390.3),(18 117233.66),(19 117888.11),(20 119092.69),(21 120503.5),(22 122119.1),(23 124181.695),(24 125890.3),(25 127512.28),(26 129337.15),(27 130374.8),(28 132157.14),(29 133580.7),(30 134728.6),(31 135902.64),(32 137325.8),(33 138503.9),(34 139888.72),(35 140072.11),(36 140950.89),(37 141146.2),(38 140352.69),(39 140082.98),(40 140150.39),(41 140277.52),(42 140884.89),(43 141751.19),(44 141696.89),(45 142126.95),(46 142944.7),(47 142918.16),(48 143406.06),(49 143884.92),(50 143202.33),(51 142744.3),(52 142841.72),(53 143346.56),(54 144500.36),(55 146292.6),(56 147395.75),(57 147744.42),(58 147934.23),(59 147798.48),(60 148355.55),(61 149511.14),(62 150638.33),(63 152076.9),(64 152948.72),(65 152977.94),(66 153578.03),(67 153727.83),(68 152928.4),(69 151984.69),(70 151569.5),(71 150468.2),(72 150637.28),(73 150509.16),(74 148782.6),(75 147525.94),(76 146840.88),(77 146436.44),(78 147018.9),(79 146799.42),
(1 8633.971),(2 24514.39),(3 44250.242),(4 60670.97),(5 74599.78),(6 85750.164),(7 94056.04),(8 100244.03),(9 105404.53),(10 109497.305),(11 112454.12),(12 113936.71),(13 113512.984),(14 113486.95),(15 113726.734),(16 114808.15),(17 116678.74),(18 117962.83),(19 119846.234),(20 121940.84),(21 124096.61),(22 126605.32),(23 128992.71),(24 130992.83),(25 132738.64),(26 134270.8),(27 134585.05),(28 135575.63),(29 136516.27),(30 137944.98),(31 139520.83),(32 141134.72),(33 142958.95),(34 144417.86),(35 144767.92),(36 144989.73),(37 145065.11),(38 145159.23),(39 145071.95),(40 145079.98),(41 144630.66),(42 144433.3),(43 144699.66),(44 144451.08),(45 144665.94),(46 145038.38),(47 144246.5),(48 143445.5),(49 142137.4),(50 141092.4),(51 140583.36),(52 140914.5),(53 142067.33),(54 142644.81),(55 143794.88),(56 144464.8),(57 144321.98),(58 144955.3),(59 144187.55),(60 144006.73),(61 143925.1),(62 144772.48),(63 146678.27),(64 148619.98),(65 150132.34),(66 151011.22),(67 151884.61),(68 151423.27),(69 151496.38),(70 152461.55),(71 152765.61),(72 152927.34),(73 152703.39),(74 150956.08),(75 149304.11),(76 149375.5),(77 149538.97),(78 150433.3),(79 151248.58),
(1 8101.964),(2 22902.977),(3 41584.98),(4 57376.082),(5 70917.62),(6 81635.97),(7 89913.13),(8 96122.87),(9 101159.7),(10 105577.47),(11 108279.875),(12 109878.95),(13 110422.88),(14 111196.375),(15 112142.81),(16 114087.72),(17 116023.516),(18 117405.21),(19 118351.32),(20 118949.305),(21 119038.734),(22 119971.95),(23 121595.54),(24 122639.71),(25 124236.77),(26 126788.29),(27 129034.49),(28 131953.16),(29 133954.06),(30 135623.55),(31 136891.02),(32 138601.72),(33 140191.48),(34 142523.69),(35 143921.52),(36 145592.81),(37 146378.84),(38 145613.9),(39 144698.13),(40 143942.67),(41 142469.48),(42 141540.66),(43 141016.1),(44 139746.31),(45 139402.06),(46 139545.36),(47 138783.3),(48 138692.23),(49 138486.05),(50 137873.89),(51 137864.92),(52 138360.45),(53 138959.4),(54 138934.11),(55 138954.61),(56 138573.39),(57 137474.6),(58 136784.14),(59 135560.08),(60 134911.86),(61 135133.23),(62 135997.34),(63 138453.14),(64 140680.92),(65 142949.3),(66 144787.17),(67 146636.38),(68 146464.36),(69 147162.7),(70 148475.31),(71 148554.42),(72 147765.84),(73 146601.39),(74 145076.86),(75 144062.31),(76 144461.06),(77 144414.97),(78 144850.56),(79 145382.8),
(1 7778.8975),(2 21743.146),(3 39757.848),(4 54594.81),(5 68663.08),(6 80727.87),(7 89632.76),(8 96285.09),(9 100929.516),(10 105128.89),(11 108898.77),(12 111947.32),(13 113428.74),(14 115071.3),(15 115580.22),(16 116155.38),(17 117147.41),(18 118600.03),(19 120203.05),(20 121159.25),(21 120827.914),(22 120862.12),(23 121275.78),(24 121891.32),(25 123316.12),(26 124708.055),(27 125196.766),(28 126077.125),(29 126679.15),(30 127498.32),(31 128687.59),(32 129877.336),(33 131379.94),(34 133303.1),(35 133799.33),(36 134535.61),(37 135200.42),(38 135287.86),(39 135809.3),(40 135898.61),(41 134411.73),(42 133437.84),(43 133211.92),(44 132140.38),(45 131951.06),(46 132310.92),(47 131002.13),(48 130208.414),(49 129806.2),(50 129288.27),(51 129882.43),(52 130897.02),(53 133028.44),(54 134794.3),(55 136149.98),(56 137272.34),(57 137633.03),(58 138159.4),(59 137657.25),(60 137647.56),(61 138088.1),(62 138290.89),(63 139608.33),(64 139991.19),(65 140200.92),(66 140517.4),(67 140624.2),(68 140318.47),(69 140553.25),(70 141099.53),(71 140877.89),(72 140324.3),(73 139872.58),(74 139282.17),(75 138828.52),(76 137952.4),(77 136650.27),(78 135383.45),(79 134281.48),
(1 7885.6147),(2 22247.582),(3 40093.8),(4 55152.543),(5 68187.11),(6 78841.195),(7 86440.25),(8 92232.66),(9 96686.266),(10 100621.18),(11 103833.875),(12 106044.07),(13 107663.53),(14 109799.516),(15 110959.875),(16 112292.414),(17 113158.05),(18 113730.36),(19 114391.05),(20 115432.59),(21 116023.36),(22 116718.7),(23 117737.16),(24 118787.38),(25 120339.56),(26 122207.49),(27 122932.57),(28 123822.79),(29 124326),(30 125137.75),(31 126450.164),(32 127277.88),(33 127835.69),(34 128438.85),(35 128835.67),(36 129728.43),(37 131326.86),(38 132755.38),(39 134905.22),(40 137972.34),(41 139228.06),(42 140395.08),(43 141141.63),(44 139435.9),(45 138355.89),(46 137449.25),(47 135699.95),(48 134595.38),(49 133739.98),(50 132910.88),(51 133210.77),(52 133629.55),(53 134541.27),(54 135265.17),(55 136141.05),(56 136161.6),(57 136079.95),(58 136772.13),(59 136564.5),(60 136770.86),(61 137566.88),(62 137834.33),(63 137846.95),(64 137610.48),(65 137101.56),(66 136992.17),(67 136671.7),(68 135477.44),(69 134684.27),(70 134358.78),(71 133714.25),(72 132926.95),(73 131915.2),(74 130699.24),(75 130358.25),(76 130226.66),(77 129999.086),(78 130144.67),(79 129511.76),
(1 7775.263),(2 22018.867),(3 39663.363),(4 54114.48),(5 66090.086),(6 75468.914),(7 82350.74),(8 88218.54),(9 92800.22),(10 96921.09),(11 100260.72),(12 101828.38),(13 102591.92),(14 102821.26),(15 102968.66),(16 103734.84),(17 105688.11),(18 106672.664),(19 107890.08),(20 109290.84),(21 110806.78),(22 112591.07),(23 114352.6),(24 115028.695),(25 116604.484),(26 118119.73),(27 118754.34),(28 119788.836),(29 119517.11),(30 119161.15),(31 119440.25),(32 119758.39),(33 119891.22),(34 120682.62),(35 121339.82),(36 122447.84),(37 124179.32),(38 125427.49),(39 127153.83),(40 129598.9),(41 130129.49),(42 130652.22),(43 131457.11),(44 130541.766),(45 129858.695),(46 129610.484),(47 129201.78),(48 129595.086),(49 130459.5),(50 131485.88),(51 133206.45),(52 134397.6),(53 134585.94),(54 134584.13),(55 134025.72),(56 133298.3),(57 132129.8),(58 131850.16),(59 132338.75),(60 133385.66),(61 133822.56),(62 133952.05),(63 134316.69),(64 135181.1),(65 135284.45),(66 135626.83),(67 136034.55),(68 134666.45),(69 133630.98),(70 132957.4),(71 132397.94),(72 131776.78),(73 131129.53),(74 129670.81),(75 128863.14),(76 128840.7),(77 129526.86),(78 129920.94),(79 129521.26),
(1 7938.087),(2 22269.49),(3 39687.27),(4 53680.164),(5 64697.773),(6 73257.25),(7 79458.28),(8 85133.66),(9 90144.87),(10 95119.27),(11 98605.5),(12 100758.86),(13 101779.016),(14 103354.38),(15 104886.27),(16 107005.13),(17 109175.13),(18 110322.305),(19 111554.62),(20 113265.32),(21 114216.06),(22 116250.87),(23 118505.914),(24 119875.81),(25 121103.96),(26 122292.125),(27 122818.23),(28 124116.04),(29 124441.42),(30 124736.4),(31 124326.87),(32 123808.03),(33 123670.64),(34 123724.75),(35 123608.695),(36 124227.234),(37 125119.27),(38 125524.78),(39 126446.625),(40 127856.66),(41 127955.05),(42 128307.266),(43 129121.7),(44 128696.21),(45 129052.17),(46 129127.41),(47 129034.94),(48 129806.16),(49 131196.16),(50 132000.75),(51 133263.73),(52 134641.6),(53 135083.42),(54 134585.03),(55 133512.67),(56 132862.5),(57 131420.89),(58 130620.47),(59 129332.016),(60 129248.3),(61 129844.82),(62 130126.1),(63 130342.266),(64 130632.34),(65 131307.86),(66 131993.05),(67 132379.53),(68 132311.67),(69 133458.44),(70 134037.45),(71 134276.28),(72 135322.78),(73 137044.38),(74 137135.92),(75 137594.86),(76 138167.25),(77 138157.97),(78 138490.92),(79 138889.77),
(1 7859.1553),(2 21850.898),(3 38580.965),(4 52380.64),(5 63620.58),(6 72927.85),(7 79915.54),(8 86002.15),(9 91002.086),(10 95091.02),(11 98328.734),(12 100062.84),(13 101174.2),(14 102782.64),(15 103757.39),(16 106015.09),(17 108314.79),(18 110235.695),(19 111922.3),(20 113679.984),(21 114148.48),(22 115070.67),(23 116454.51),(24 117164.47),(25 118414.65),(26 119859.56),(27 121033.6),(28 122985.66),(29 124042.84),(30 125431.41),(31 126162.086),(32 125493.93),(33 125741.66),(34 126004.63),(35 125636.72),(36 125306.61),(37 124335.62),(38 122952.07),(39 122248.95),(40 122217.23),(41 122244.83),(42 122937.516),(43 124119.85),(44 123727.984),(45 123645.93),(46 123447.66),(47 122556.72),(48 122552.81),(49 123152.74),(50 123188.61),(51 122931.5),(52 122617.266),(53 122636.22),(54 122735.66),(55 123028.555),(56 123725.89),(57 124165.336),(58 125038.88),(59 125011.39),(60 124570.234),(61 124105.02),(62 123120.43),(63 122514.125),(64 122512.9),(65 122150.4),(66 122969.86),(67 123561.57),(68 123529.01),(69 123897.5),(70 124370.03),(71 125341.85),(72 127005.086),(73 129568.34),(74 131397.78),(75 133147.47),(76 134680.25),(77 135667.83),(78 135699.83),(79 136070.06),
(1 7545.767),(2 20827.514),(3 36826.625),(4 49427.54),(5 60047.734),(6 68974.64),(7 75684),(8 80760.74),(9 85522.19),(10 89390.6),(11 93049.69),(12 94975.83),(13 95982.06),(14 97021.98),(15 97538.7),(16 98185.195),(17 98841.61),(18 99585.8),(19 100150),(20 101147.13),(21 101795.14),(22 102631.09),(23 103767.59),(24 104950.97),(25 106314.305),(26 108301.7),(27 109671.67),(28 111712.15),(29 112850.26),(30 113814.68),(31 114514.16),(32 113851.62),(33 113447.54),(34 112842.34),(35 111883.414),(36 111145.49),(37 111376.73),(38 111337.984),(39 112037.625),(40 112661.27),(41 112740.875),(42 113845.984),(43 115025.96),(44 114875.016),(45 115099.8),(46 115195.96),(47 114476.984),(48 114596.125),(49 114940.016),(50 115322.44),(51 115297.33),(52 115170.766),(53 114069.66),(54 113572.32),(55 114325.586),(56 116388.305),(57 118018.29),(58 119268.93),(59 119602.58),(60 120214.234),(61 120257.086),(62 119194.48),(63 118641.8),(64 118097.29),(65 117505.62),(66 117677.49),(67 118238.82),(68 118195.63),(69 118582.33),(70 118722.55),(71 118622.73),(72 118850.63),(73 119679.03),(74 119796.586),(75 120284.8),(76 120972.44),(77 120571.44),(78 119389.66),(79 118571.945),
(1 7839.334),(2 21624.88),(3 38094.25),(4 50947.414),(5 61854.13),(6 70403.44),(7 76597.555),(8 81285.78),(9 85634.086),(10 88933.73),(11 91995.12),(12 92983.34),(13 93695.47),(14 94573.68),(15 94745.71),(16 95325.305),(17 96540.336),(18 97033.1),(19 97673.4),(20 98527.85),(21 99216.04),(22 100234.99),(23 101436.85),(24 102537.03),(25 104221.16),(26 105933.95),(27 108143.34),(28 111222.4),(29 113022.234),(30 114227.96),(31 114711.555),(32 114542.79),(33 114539.36),(34 114368.164),(35 113326.984),(36 113382.6),(37 113419.32),(38 112553.67),(39 112484.99),(40 112967.66),(41 113418.58),(42 114521.69),(43 115795.02),(44 116075.52),(45 116824.164),(46 117951.266),(47 118284.4),(48 118904.97),(49 119106.66),(50 119163.03),(51 118964.055),(52 118887.1),(53 119308.98),(54 119725.67),(55 120408.6),(56 121471.13),(57 122342.92),(58 122845.12),(59 123358.83),(60 123965.03),(61 124559.03),(62 124749.4),(63 124719.81),(64 124385.836),(65 123815.17),(66 123705.984),(67 124651.59),(68 124777.25),(69 124493.266),(70 124516.516),(71 123890.75),(72 123967.375),(73 123981.51),(74 123411.05),(75 122540.09),(76 121889.93),(77 121199.14),(78 121207.21),(79 120950.11),
(1 7687.2476),(2 21184.916),(3 37145.215),(4 49840.47),(5 60438.066),(6 68467.86),(7 74139.445),(8 78331.26),(9 81412.39),(10 83930.57),(11 86505.56),(12 87760.25),(13 88747.33),(14 89978.016),(15 91074.81),(16 92388.63),(17 93581.484),(18 94325.266),(19 94761.08),(20 95340.02),(21 95415.984),(22 96100.35),(23 97686.62),(24 98487.46),(25 99550.18),(26 100690.79),(27 101231.8),(28 102714.99),(29 103447.22),(30 103988.55),(31 104288.99),(32 103899.016),(33 103946.5),(34 103721.83),(35 103122.91),(36 103416.5),(37 104130.414),(38 104177.61),(39 104597.83),(40 104877.08),(41 104627.625),(42 105395.46),(43 106526.59),(44 106880.02),(45 107838.67),(46 109015.805),(47 109540.57),(48 110757.15),(49 111915.664),(50 112772.81),(51 114104.16),(52 115542.63),(53 116999.01),(54 117254.06),(55 116930.195),(56 116849.21),(57 117161.09),(58 117163.51),(59 117547.73),(60 118767.56),(61 120029.52),(62 120975.15),(63 121593.945),(64 122028.57),(65 122038.35),(66 121739.664),(67 121956.35),(68 121452.22),(69 121429.17),(70 121254.87),(71 120407.96),(72 119575.2),(73 118078.79),(74 116381.945),(75 115107.13),(76 114808.95),(77 114826.375),(78 115489.57),(79 116099.55),
(1 7771.4956),(2 21272.768),(3 37037.402),(4 50023.035),(5 61060.945),(6 69526.81),(7 75434.86),(8 79453.2),(9 82131.62),(10 84330.57),(11 86262.586),(12 87024.69),(13 87639.375),(14 88479.53),(15 89525.984),(16 90619.82),(17 91626.53),(18 91810.03),(19 92690.57),(20 93788.39),(21 94619.86),(22 96256.08),(23 98027.78),(24 98204.1),(25 97983.53),(26 98058.67),(27 98192.805),(28 99163.05),(29 99596.234),(30 100377.73),(31 101377.47),(32 101765.375),(33 102713.14),(34 103511.46),(35 103894.055),(36 104386.625),(37 105192.836),(38 105405.88),(39 106286.23),(40 107571.6),(41 107632.086),(42 107719.016),(43 107989.75),(44 107998.984),(45 108287.39),(46 109419.56),(47 109486.6),(48 109728.93),(49 110076.15),(50 111135.73),(51 112808.695),(52 114406.53),(53 116117.45),(54 116845.086),(55 117751.984),(56 118098.38),(57 117984.89),(58 118838.69),(59 119272.22),(60 119935.234),(61 119938.69),(62 119261.91),(63 118573.63),(64 118396.914),(65 117128.414),(66 116687.49),(67 116658.73),(68 115683.66),(69 115596.25),(70 115665.195),(71 114980.73),(72 114865.195),(73 114824.41),(74 114367.69),(75 114286.164),(76 114895.25),(77 115120),(78 114632.13),(79 114445.836),
