1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42310),(2 145035.33),(3 293235.03),(4 474195.4),(5 685841.1),(6 920195.56),(7 1180534.6),(8 1454106.1),(9 1738944),(10 2021669),(11 2325876.8),(12 2626483.3),(13 2945060.8),(14 3318008.8),(15 3662193.3),(16 4003091.8),(17 4354598),(18 4766065.5),(19 5180551),(20 5612792),(21 6035608.5),(22 6465682),(23 6814402.5),(24 7170707.5),(25 7507366),(26 7934040),(27 8296270.5),(28 8631531),(29 8975224),(30 9343967),(31 9778355),(32 10238506),(33 10677817),(34 11117845),(35 11550829),(36 11959395),(37 12336165),(38 12737316),(39 13132739),(40 13501283),(41 13849568),(42 14177684),(43 14406405),(44 14583483),(45 14778797),(46 14959700),(47 15089005),(48 15235477),(49 15404003),(50 15631077),(51 15817987),(52 16077040),(53 16136013),(54 16251912),(55 16361203),(56 16545389),(57 16845690),(58 17281406),(59 17642258),(60 18139006),(61 18541510),(62 18909680),(63 19239282),(64 19624306),(65 20030190),(66 20528198),(67 21075858),(68 21648238),(69 22198484),(70 22744256),(71 23213330),(72 23643686),(73 24043386),(74 24490032),(75 24948898),(76 25417360),(77 25886016),(78 26326064),(79 26714914),
(1 39758.574),(2 127072.17),(3 259318.6),(4 423681.2),(5 603348.4),(6 808108.4),(7 1022673.5),(8 1247470),(9 1477196.3),(10 1715136.6),(11 1988038.6),(12 2255956.5),(13 2537149.3),(14 2867952.5),(15 3191319),(16 3534875.3),(17 3899832.8),(18 4257861.5),(19 4623324),(20 4998721),(21 5415640),(22 5813001.5),(23 6218767),(24 6625853),(25 7015985.5),(26 7430045),(27 7815180),(28 8197328),(29 8561580),(30 8954049),(31 9329995),(32 9730578),(33 10104343),(34 10460046),(35 10758338),(36 11022462),(37 11254566),(38 11494833),(39 11715178),(40 11917248),(41 12067995),(42 12224410),(43 12318201),(44 12396965),(45 12445454),(46 12470590),(47 12470986),(48 12533758),(49 12599925),(50 12694855),(51 12736931),(52 12771962),(53 12743883),(54 12757586),(55 12767912),(56 12841990),(57 12979658),(58 13169632),(59 13331875),(60 13499280),(61 13619549),(62 13799376),(63 13885462),(64 14004349),(65 14080016),(66 14162880),(67 14309187),(68 14470134),(69 14556992),(70 14644627),(71 14682214),(72 14743070),(73 14762246),(74 14852493),(75 14877090),(76 14921968),(77 14929978),(78 14932717),(79 14946979),
(1 44897.094),(2 146991.67),(3 285559.97),(4 459747.1),(5 649164.94),(6 863205.3),(7 1088126.3),(8 1337079.9),(9 1620315.6),(10 1913736),(11 2252262.8),(12 2600917.8),(13 3006455.3),(14 3443667.3),(15 3912488.8),(16 4406456.5),(17 4947959.5),(18 5503372.5),(19 6057098.5),(20 6619429.5),(21 7197250.5),(22 7776997.5),(23 8306488.5),(24 8825541),(25 9322877),(26 9753267),(27 10200140),(28 10603375),(29 10970563),(30 11314331),(31 11607060),(32 11864160),(33 12083965),(34 12267085),(35 12415115),(36 12520433),(37 12596211),(38 12686657),(39 12752968),(40 12780399),(41 12775403),(42 12853645),(43 12895856),(44 12962432),(45 13075528),(46 13207860),(47 13356640),(48 13551091),(49 13757123),(50 13986557),(51 14151561),(52 14314108),(53 14452092),(54 14598029),(55 14730907),(56 14911551),(57 15130177),(58 15364824),(59 15536047),(60 15681177),(61 15784248),(62 15911432),(63 15994748),(64 16115437),(65 16205787),(66 16294805),(67 16424461),(68 16592453),(69 16766427),(70 16928602),(71 17080828),(72 17258144),(73 17425542),(74 17596374),(75 17714586),(76 17840576),(77 17934088),(78 18004664),(79 18095338),
(1 57862.617),(2 205824.72),(3 417450.56),(4 688503.44),(5 1002072.1),(6 1354299.5),(7 1737417.3),(8 2152415.3),(9 2615919.8),(10 3103221.5),(11 3607842.8),(12 4134122.8),(13 4670973),(14 5209789.5),(15 5730961),(16 6239305.5),(17 6762822.5),(18 7325223),(19 7872823),(20 8407660),(21 8966495),(22 9495035),(23 9957604),(24 10439914),(25 10910892),(26 11346207),(27 11763808),(28 12165049),(29 12534186),(30 12893513),(31 13232871),(32 13528860),(33 13825092),(34 14083761),(35 14358786),(36 14641480),(37 14945500),(38 15195582),(39 15473474),(40 15761175),(41 16024859),(42 16322604),(43 16596427),(44 16852822),(45 17161128),(46 17471836),(47 17757244),(48 18107822),(49 18527528),(50 18968188),(51 19414674),(52 19803016),(53 20166568),(54 20575942),(55 20996392),(56 21492088),(57 22005734),(58 22549084),(59 23019624),(60 23459574),(61 23864596),(62 24275230),(63 24626894),(64 25051320),(65 25416336),(66 25782600),(67 26078688),(68 26401924),(69 26730368),(70 26978806),(71 27111108),(72 27163260),(73 27166056),(74 27152526),(75 27111360),(76 27039378),(77 26942288),(78 26826404),(79 26692438),
(1 53298.113),(2 182644.31),(3 369741.34),(4 605230.2),(5 872895.8),(6 1162737.9),(7 1475316.1),(8 1798273.3),(9 2138757.8),(10 2470166.3),(11 2806861.5),(12 3136663.3),(13 3454861),(14 3765859.3),(15 4039172.3),(16 4305625),(17 4574262),(18 4856384.5),(19 5129931),(20 5400254),(21 5701914),(22 5987103),(23 6250413),(24 6528432),(25 6821662.5),(26 7113512.5),(27 7399928),(28 7700928),(29 8023934),(30 8343115.5),(31 8661543),(32 8962610),(33 9274543),(34 9604416),(35 9929686),(36 10240957),(37 10525257),(38 10766699),(39 10984028),(40 11169856),(41 11323220),(42 11458376),(43 11567040),(44 11668851),(45 11758593),(46 11861305),(47 11955076),(48 12063014),(49 12212512),(50 12319203),(51 12446374),(52 12554311),(53 12655670),(54 12833988),(55 12990284),(56 13222928),(57 13551049),(58 13916692),(59 14276335),(60 14603846),(61 14973359),(62 15340663),(63 15683398),(64 16074589),(65 16424852),(66 16783340),(67 17098480),(68 17402370),(69 17739608),(70 17999288),(71 18179710),(72 18311176),(73 18396500),(74 18507032),(75 18588680),(76 18685304),(77 18730042),(78 18732244),(79 18702988),
(1 61798.55),(2 212804.5),(3 436318.2),(4 723738.6),(5 1060255.3),(6 1429439.3),(7 1820342.6),(8 2239569.5),(9 2685068.5),(10 3101176),(11 3519839.5),(12 3935306),(13 4337785.5),(14 4766379),(15 5145286.5),(16 5496048.5),(17 5862443),(18 6230078.5),(19 6615399),(20 6940651),(21 7295025),(22 7590187),(23 7844324),(24 8123537.5),(25 8397154),(26 8662728),(27 8934856),(28 9189554),(29 9450507),(30 9682789),(31 9913043),(32 10143635),(33 10391371),(34 10648333),(35 10869072),(36 11088478),(37 11323778),(38 11586475),(39 11824885),(40 12049620),(41 12267118),(42 12496998),(43 12692120),(44 12905098),(45 13076042),(46 13303232),(47 13471430),(48 13616608),(49 13786312),(50 13887123),(51 14007242),(52 14120587),(53 14190451),(54 14307115),(55 14374064),(56 14562218),(57 14859082),(58 15176176),(59 15416091),(60 15612765),(61 15800558),(62 15968195),(63 16117197),(64 16263622),(65 16385443),(66 16499144),(67 16600453),(68 16690525),(69 16796594),(70 16844836),(71 16831098),(72 16758645),(73 16705514),(74 16666499),(75 16599059),(76 16546040),(77 16490613),(78 16382285),(79 16243832),
(1 56616.277),(2 203016.08),(3 420769.8),(4 704303.7),(5 1049705.6),(6 1441249.1),(7 1863825.8),(8 2313962.5),(9 2790424),(10 3281230.8),(11 3772049),(12 4263346),(13 4728547.5),(14 5207711.5),(15 5645854),(16 6046637.5),(17 6458248),(18 6839627.5),(19 7234320.5),(20 7601175.5),(21 7966620.5),(22 8295563.5),(23 8549009),(24 8799456),(25 9030035),(26 9217522),(27 9370126),(28 9507266),(29 9644807),(30 9774213),(31 9896529),(32 10031767),(33 10167658),(34 10311599),(35 10441723),(36 10567170),(37 10730978),(38 10869527),(39 10988340),(40 11110857),(41 11221380),(42 11357344),(43 11458241),(44 11552996),(45 11652079),(46 11752551),(47 11854267),(48 11965444),(49 12140278),(50 12338304),(51 12552775),(52 12773606),(53 12981526),(54 13250384),(55 13526358),(56 13813333),(57 14208348),(58 14641642),(59 14989285),(60 15319257),(61 15650825),(62 15958428),(63 16257703),(64 16596789),(65 16948948),(66 17322774),(67 17708492),(68 18098904),(69 18522342),(70 18928432),(71 19254788),(72 19556802),(73 19814284),(74 20067920),(75 20234916),(76 20368572),(77 20461112),(78 20480574),(79 20386902),
(1 73556.85),(2 269424.06),(3 565848.8),(4 945650.25),(5 1396997.6),(6 1904542.8),(7 2462527),(8 3049981.3),(9 3687744.8),(10 4314691),(11 4939733),(12 5534601),(13 6103016),(14 6699198.5),(15 7232304.5),(16 7703286.5),(17 8178793.5),(18 8600921),(19 9029483),(20 9423744),(21 9783959),(22 10097689),(23 10324717),(24 10543472),(25 10719467),(26 10853306),(27 10969839),(28 11050070),(29 11088822),(30 11103972),(31 11091462),(32 11063921),(33 11024579),(34 10985852),(35 10884946),(36 10755840),(37 10600182),(38 10390827),(39 10195418),(40 9992035),(41 9806301),(42 9667558),(43 9558590),(44 9509966),(45 9522714),(46 9608597),(47 9745154),(48 9939248),(49 10211986),(50 10536674),(51 10874641),(52 11239055),(53 11576803),(54 11950530),(55 12323653),(56 12764484),(57 13209989),(58 13676358),(59 14069286),(60 14443632),(61 14802065),(62 15120224),(63 15452500),(64 15771904),(65 16092041),(66 16362144),(67 16615566),(68 16867880),(69 17065526),(70 17212940),(71 17339552),(72 17456974),(73 17571866),(74 17697578),(75 17809236),(76 17926086),(77 18039092),(78 18050122),(79 18047126),
(1 62523.594),(2 224587.4),(3 465705.6),(4 764462.9),(5 1118290.3),(6 1505888.5),(7 1918516),(8 2346901.5),(9 2795914.3),(10 3221439),(11 3636229),(12 4016528),(13 4379278.5),(14 4737249.5),(15 5059728.5),(16 5356233),(17 5681327),(18 5997438.5),(19 6326451.5),(20 6634545),(21 6942582),(22 7243036.5),(23 7493602),(24 7764011.5),(25 8024687),(26 8289475),(27 8554887),(28 8817672),(29 9061486),(30 9295703),(31 9504200),(32 9681326),(33 9850744),(34 9993008),(35 10075346),(36 10146674),(37 10214567),(38 10238142),(39 10256023),(40 10241334),(41 10229693),(42 10241033),(43 10219066),(44 10212965),(45 10244318),(46 10343182),(47 10441685),(48 10592978),(49 10794043),(50 10974491),(51 11198327),(52 11421448),(53 11631161),(54 11931615),(55 12241710),(56 12644113),(57 13102775),(58 13578694),(59 14011231),(60 14431247),(61 14873684),(62 15314513),(63 15741685),(64 16175144),(65 16602372),(66 17005016),(67 17380040),(68 17694122),(69 17993354),(70 18241516),(71 18416566),(72 18548992),(73 18629818),(74 18676820),(75 18672858),(76 18646936),(77 18574064),(78 18422466),(79 18216178),
(1 60083.793),(2 217374.56),(3 446597),(4 735698.44),(5 1077117.1),(6 1446514),(7 1844363.1),(8 2246099),(9 2682484.5),(10 3103624.5),(11 3512085),(12 3930792.5),(13 4347334.5),(14 4787727),(15 5211555.5),(16 5628997.5),(17 6047428.5),(18 6438006),(19 6810219.5),(20 7123839.5),(21 7428520),(22 7677684.5),(23 7874916.5),(24 8067562.5),(25 8228422),(26 8392252),(27 8541761),(28 8675512),(29 8800403),(30 8901228),(31 9010886),(32 9098828),(33 9198201),(34 9299180),(35 9396876),(36 9493093),(37 9591714),(38 9678165),(39 9747054),(40 9777040),(41 9794642),(42 9812588),(43 9819689),(44 9824062),(45 9864968),(46 9910153),(47 9969702),(48 10062014),(49 10181591),(50 10283277),(51 10418216),(52 10561412),(53 10720405),(54 10934172),(55 11133308),(56 11387138),(57 11683070),(58 11976076),(59 12236739),(60 12501131),(61 12789321),(62 13107645),(63 13409092),(64 13749668),(65 14090068),(66 14409664),(67 14708376),(68 15002535),(69 15294302),(70 15544677),(71 15754100),(72 15931029),(73 16069140),(74 16197223),(75 16277746),(76 16362528),(77 16434716),(78 16467659),(79 16481257),
(1 71028.11),(2 261745.56),(3 540309.75),(4 897963.3),(5 1311236),(6 1753206.6),(7 2218034.3),(8 2707486.5),(9 3231616.8),(10 3751668),(11 4264711),(12 4762530.5),(13 5254540),(14 5749302.5),(15 6198645.5),(16 6623436.5),(17 7045862.5),(18 7435744.5),(19 7814698.5),(20 8144148.5),(21 8429599),(22 8649314),(23 8784371),(24 8886837),(25 8957344),(26 9004085),(27 9013857),(28 8982136),(29 8925749),(30 8838697),(31 8746773),(32 8659182),(33 8584842),(34 8532838),(35 8473318),(36 8427357),(37 8390187),(38 8343388),(39 8299682),(40 8257146.5),(41 8213856),(42 8207632),(43 8163740),(44 8136858.5),(45 8117927.5),(46 8100126),(47 8089101),(48 8113583),(49 8178995),(50 8277756),(51 8395359),(52 8543987),(53 8714189),(54 8940815),(55 9156493),(56 9440326),(57 9797050),(58 10196123),(59 10563407),(60 10898261),(61 11249897),(62 11598550),(63 11907981),(64 12229657),(65 12547091),(66 12838025),(67 13107988),(68 13362243),(69 13638604),(70 13904174),(71 14143765),(72 14360154),(73 14570082),(74 14806152),(75 14971225),(76 15160883),(77 15353124),(78 15495157),(79 15591688),
