1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11932.726),(2 19757.84),(3 24848.639),(4 29094.068),(5 32310.14),(6 34943.54),(7 37719.19),(8 39418.4),(9 40763.9),(10 42242.82),(11 43749.38),(12 44042.18),(13 44202.434),(14 44060.145),(15 43893.8),(16 43408.387),(17 43151.75),(18 43228.484),(19 43163.207),(20 42846.96),(21 43132.1),(22 42738.418),(23 42695.8),(24 42362.996),(25 42167.71),(26 41558.46),(27 41224.855),(28 41625.223),(29 41863.5),(30 42150.54),(31 42292.73),(32 42640.918),(33 42081.355),(34 42561.4),(35 43149.324),(36 43131.32),(37 43303.598),(38 43488.3),(39 43737.46),(40 43860.555),(41 43580.293),(42 43605.605),(43 43517.414),(44 43528.793),(45 43530.38),(46 43366.785),(47 43669.59),(48 43965.25),(49 43827.348),(50 43921.383),(51 43794.21),(52 43382.508),(53 42725.188),(54 42630.727),(55 42285.742),(56 42816.94),(57 43211.55),(58 43303.727),(59 43062.97),(60 42753.11),(61 42202.1),(62 41450.07),(63 41607.254),(64 42385.285),(65 42849.56),(66 43643.41),(67 44225.234),(68 44842.766),(69 44634.59),(70 44528.695),(71 44113.14),(72 43523.766),(73 43411.723),(74 43150.51),(75 42589.637),(76 42499.18),(77 42225.883),(78 41839.67),(79 41737.42),
(1 11344.686),(2 19189.006),(3 24297.063),(4 28397.398),(5 31762.209),(6 34470.56),(7 36693.234),(8 38458.31),(9 40111.99),(10 41629.496),(11 43203.95),(12 43933.6),(13 44519.504),(14 44387.88),(15 44278.867),(16 43515.504),(17 42944.227),(18 42876.613),(19 42121.137),(20 41791.957),(21 41761.95),(22 41141.313),(23 40634.695),(24 40206.227),(25 39701.94),(26 39522.2),(27 40071.01),(28 40618.26),(29 40524.86),(30 40741.72),(31 41106.945),(32 41470.887),(33 42055.473),(34 42673.96),(35 43487.156),(36 43454.58),(37 44121.168),(38 44269.543),(39 44135.645),(40 43787.45),(41 43873.246),(42 44064.242),(43 44063.434),(44 44139.152),(45 44076.395),(46 44241.33),(47 44367.46),(48 44360.98),(49 44102.082),(50 44057.707),(51 43700.402),(52 43342.35),(53 42351.465),(54 42091.29),(55 41757.543),(56 42206.55),(57 42081.902),(58 41790.098),(59 41651.23),(60 41546.527),(61 40877.746),(62 40671.355),(63 40662.83),(64 40508.266),(65 40788.082),(66 41189.082),(67 41806.617),(68 41713.105),(69 41365.543),(70 41288.242),(71 40966.54),(72 40524.113),(73 40405.555),(74 40387.348),(75 40418.68),(76 40143.465),(77 40298.51),(78 40489.156),(79 40820.594),
(1 11013.508),(2 18376.055),(3 23151.021),(4 26953.479),(5 30234.51),(6 32774.652),(7 35232.465),(8 37076.676),(9 38601.93),(10 40059.434),(11 41427.074),(12 42156.914),(13 42582.566),(14 42979.55),(15 42832.64),(16 42404.75),(17 42039.754),(18 41477.113),(19 40617.387),(20 39726.02),(21 39538.152),(22 39302.83),(23 39093.527),(24 38751.203),(25 38486.363),(26 38579.16),(27 38926.26),(28 39821.953),(29 39508.37),(30 40045.16),(31 40551.773),(32 41098.082),(33 41108.87),(34 41207.496),(35 41541.08),(36 41599.88),(37 41715.824),(38 41912.62),(39 41533.59),(40 41560.34),(41 41797.88),(42 42022.633),(43 42351.33),(44 42255.063),(45 41684.37),(46 41759.37),(47 42299.793),(48 42426.52),(49 41666.36),(50 41452.12),(51 41371.957),(52 40763.113),(53 40179.91),(54 40359.55),(55 39899.93),(56 40031.09),(57 40022.863),(58 39361.496),(59 39210.54),(60 38591.645),(61 38099.31),(62 37860.363),(63 38077.19),(64 37950.477),(65 38061.973),(66 38245.977),(67 38563.035),(68 38809.832),(69 38714.88),(70 39168.887),(71 38889.11),(72 38277.62),(73 38341.34),(74 38302.82),(75 38599.023),(76 38411.09),(77 37998.785),(78 38049.57),(79 38850.5),
(1 10736.413),(2 18140.781),(3 22891.912),(4 26609.555),(5 30137.717),(6 32225.934),(7 34215.566),(8 35990.22),(9 37505.594),(10 38359.69),(11 38670.69),(12 39233.945),(13 39634.12),(14 39842.387),(15 40059.535),(16 39879.25),(17 39571.75),(18 39028.613),(19 38111.035),(20 37567.52),(21 37167.805),(22 36705.684),(23 36604.81),(24 36730.57),(25 37000.984),(26 37327.793),(27 37509.766),(28 38599.63),(29 38882.9),(30 39366.582),(31 39668.1),(32 40730.16),(33 40821.69),(34 41171.21),(35 41080.996),(36 41055.555),(37 40615),(38 40468.254),(39 40399.055),(40 40052.06),(41 40017.805),(42 39758.703),(43 39772.938),(44 39416.797),(45 39039.08),(46 38632.43),(47 39132.305),(48 39604.83),(49 39380.242),(50 39007.82),(51 39295.37),(52 39216.684),(53 38726.316),(54 39241.11),(55 38725.43),(56 38913.824),(57 39419.965),(58 39353.555),(59 39662.637),(60 39283.51),(61 39114.2),(62 39423.164),(63 39563.855),(64 39682.9),(65 40097),(66 40558.355),(67 41096.836),(68 41345.09),(69 41028.3),(70 40601.61),(71 40270.207),(72 39734.516),(73 39269.84),(74 39309.43),(75 39272.11),(76 39363.645),(77 39221.324),(78 39387.6),(79 39697.348),
(1 10330.609),(2 17350.879),(3 21898.19),(4 25825.273),(5 29193.875),(6 31328.832),(7 33431.418),(8 35128.65),(9 36344.69),(10 37048.91),(11 37413.137),(12 38112.84),(13 38513.152),(14 38452.723),(15 38680.35),(16 38323.938),(17 38445.457),(18 38199.37),(19 37666.664),(20 37418.758),(21 36881.992),(22 36343.406),(23 36252.613),(24 36762.227),(25 36831.65),(26 37634.668),(27 37703.977),(28 38020.01),(29 38139.31),(30 38216.813),(31 38275.7),(32 38528.97),(33 38460.72),(34 38555.18),(35 38648.125),(36 38521.51),(37 38579.41),(38 38435.414),(39 38416.785),(40 38149.344),(41 38246.465),(42 37792.492),(43 37637.293),(44 37640.74),(45 37571.18),(46 37484.434),(47 37786.383),(48 38484.293),(49 38996.863),(50 39558.914),(51 39811.56),(52 39547.836),(53 39462.973),(54 39680.234),(55 39377.91),(56 39510.51),(57 39509.6),(58 39247.48),(59 39530.836),(60 39303.914),(61 39282.01),(62 39440.965),(63 39779.367),(64 39703.688),(65 39978.117),(66 40346.37),(67 40732.563),(68 40973.004),(69 40609.83),(70 40347.555),(71 40013.04),(72 40124.023),(73 40078.242),(74 39781.51),(75 39617.492),(76 39688.164),(77 39495.855),(78 39824.12),(79 40233.93),
(1 10136.961),(2 16586.094),(3 21011.973),(4 24821.84),(5 28098.34),(6 30255.764),(7 32476.373),(8 33879.46),(9 34849.88),(10 35521.133),(11 36086.594),(12 36390.055),(13 36634.594),(14 36570.664),(15 37083.145),(16 36557.37),(17 36787.844),(18 36886.76),(19 36312.51),(20 35872.99),(21 35654.45),(22 35104.99),(23 34824.63),(24 35166.547),(25 35700.52),(26 35939.97),(27 35967.03),(28 36391.063),(29 36298.484),(30 36610.58),(31 36398.223),(32 37057.66),(33 37030.36),(34 37502.023),(35 37543.63),(36 37260.332),(37 37465.72),(38 37847.152),(39 38005.156),(40 38188.78),(41 38352.594),(42 38479.234),(43 38701.24),(44 38593.57),(45 39024.164),(46 38950.266),(47 38631.555),(48 39044.195),(49 39122.723),(50 39406.11),(51 39837.445),(52 39839.688),(53 39553.137),(54 39723.906),(55 38589.51),(56 38519.97),(57 38557.363),(58 38400.203),(59 38107.395),(60 37966.633),(61 37609.59),(62 37297.195),(63 37102.51),(64 36975.863),(65 37547.344),(66 38030.797),(67 38567.402),(68 39349.848),(69 39481.016),(70 39657.668),(71 40039.215),(72 39720.04),(73 39178.184),(74 38712.11),(75 38732.16),(76 39203.313),(77 39342.73),(78 39694.12),(79 39677.703),
(1 10000.909),(2 16499.197),(3 21109.38),(4 25079.947),(5 27938.469),(6 29933.318),(7 32036.758),(8 33595.38),(9 34594.18),(10 35157.305),(11 35487.27),(12 35898.473),(13 36387.29),(14 36292.332),(15 36778.92),(16 36739.64),(17 36688.227),(18 36229.508),(19 35467.945),(20 35083.875),(21 34848.34),(22 34728.754),(23 34123.54),(24 34086.098),(25 34372.37),(26 34713.28),(27 35018.81),(28 35182.16),(29 34832.465),(30 35033.27),(31 34948.34),(32 35210.69),(33 35262.086),(34 35388.88),(35 35825.234),(36 35480.113),(37 35402.117),(38 35641.29),(39 35855.793),(40 35957.87),(41 35615.965),(42 35505.316),(43 35681.746),(44 35410.914),(45 35567.68),(46 35545.848),(47 36088.832),(48 36354.89),(49 36115.082),(50 36520.39),(51 36779.87),(52 36830.11),(53 36453.27),(54 36862.64),(55 35640.92),(56 35286.55),(57 35537.793),(58 35378.01),(59 35201.027),(60 34941.09),(61 34661.676),(62 34000.58),(63 34117.97),(64 34258.156),(65 34742.555),(66 35383.184),(67 36389.445),(68 36928.883),(69 37246.44),(70 37448.484),(71 37797.29),(72 37713.082),(73 37054.42),(74 37454.69),(75 37905.547),(76 38263.375),(77 38592.25),(78 39324.598),(79 39338.152),
(1 9528.752),(2 15823.3),(3 20541.207),(4 24063.436),(5 27179.96),(6 29267.484),(7 31087.072),(8 32592.55),(9 33260.7),(10 34036.613),(11 34488.863),(12 35038.11),(13 35459),(14 35223.41),(15 35638.668),(16 35286.11),(17 34866.152),(18 34277.207),(19 33574.273),(20 32945.113),(21 32703.89),(22 32000.354),(23 31812.326),(24 31649.943),(25 31624.318),(26 31616.96),(27 32009.994),(28 31894.492),(29 31901.371),(30 32117.738),(31 32608.352),(32 33474.19),(33 33774.715),(34 34241.28),(35 35161.184),(36 35093.145),(37 35082.523),(38 34784.914),(39 34907.02),(40 34907.824),(41 34430.63),(42 34413.438),(43 34783.707),(44 34617.74),(45 34808.438),(46 34982.39),(47 35696.516),(48 36087.24),(49 36140.1),(50 36304.13),(51 36368.355),(52 36355.34),(53 36001.832),(54 36472.34),(55 35484.027),(56 35050.414),(57 34907.832),(58 34474.637),(59 34390.848),(60 34252.094),(61 34031.62),(62 34028.914),(63 34085.543),(64 33858.684),(65 34351.957),(66 34918.31),(67 35580.652),(68 35887.17),(69 36261.477),(70 36686.117),(71 36495.906),(72 36268.71),(73 36303.37),(74 36540.39),(75 36895.848),(76 37410.684),(77 37536.734),(78 38009.953),(79 38205.49),
(1 9396.101),(2 14964.9375),(3 19252.354),(4 22388.799),(5 25234.654),(6 27409.588),(7 29323.385),(8 30563.045),(9 31439.242),(10 31769.95),(11 32493.12),(12 32789.77),(13 33040.816),(14 32884.5),(15 33045.492),(16 32740.527),(17 32941.02),(18 32515.86),(19 32063.791),(20 31507.355),(21 31080.031),(22 30553.982),(23 30344.732),(24 30052.172),(25 29942.244),(26 29799.158),(27 29915.686),(28 30065.072),(29 30022.846),(30 30393.234),(31 31267.775),(32 31686.002),(33 32180.672),(34 32540.436),(35 32703.133),(36 33140.297),(37 32840.895),(38 32551.953),(39 33078.418),(40 33045.09),(41 33173.563),(42 33310.813),(43 33662.617),(44 33757.793),(45 33787.203),(46 34104.523),(47 34140.18),(48 34466.55),(49 34346.508),(50 34268.62),(51 34473.92),(52 34577.32),(53 33753.574),(54 33743.477),(55 33515.51),(56 33710.03),(57 33682.996),(58 33365.617),(59 33372.91),(60 33282.387),(61 32981.62),(62 32659.857),(63 32878.43),(64 32724.148),(65 33024.42),(66 33566.887),(67 33998),(68 34177.64),(69 34137.184),(70 33982.355),(71 33715.242),(72 33441.645),(73 33305.95),(74 33278.93),(75 33823.1),(76 33989.57),(77 33997.82),(78 34264.098),(79 34265.156),
(1 9501.603),(2 15382.632),(3 19144.81),(4 22274.441),(5 25246.555),(6 27226.404),(7 28870.764),(8 29806.24),(9 30795.797),(10 30954.154),(11 31532.889),(12 31857.629),(13 32261.486),(14 32050.174),(15 32131.623),(16 32137.092),(17 31950.986),(18 31320.863),(19 30928.828),(20 30859.889),(21 30640.268),(22 30690.563),(23 31172.793),(24 30608.174),(25 30150.416),(26 29865.203),(27 30132.25),(28 30166.105),(29 29925.035),(30 30389.818),(31 30718.51),(32 32016.354),(33 32286.13),(34 32328.785),(35 33113.453),(36 33253.43),(37 33078.535),(38 32872.4),(39 32971.508),(40 33389.14),(41 33200.844),(42 33356.51),(43 33581.652),(44 33538.867),(45 33704.98),(46 33920.156),(47 34070.066),(48 34122.246),(49 34156.99),(50 34415.254),(51 34141.027),(52 34087.02),(53 33253.617),(54 33179.938),(55 33272.965),(56 33613.746),(57 33633.51),(58 33566.184),(59 33940.08),(60 34066.19),(61 33747.008),(62 33254.883),(63 33473.363),(64 32918.74),(65 32786.68),(66 33140.316),(67 33793.375),(68 33960.883),(69 34190.094),(70 34153.246),(71 34406.91),(72 34467.633),(73 34604.273),(74 34796.816),(75 35208.457),(76 35399.773),(77 35523.535),(78 35611.64),(79 35794.71),
(1 9153.921),(2 14874.408),(3 18600.564),(4 21928.322),(5 24590.582),(6 26589.895),(7 28270.402),(8 29154.15),(9 30073.219),(10 30614),(11 30885.844),(12 31197.703),(13 31501.346),(14 31509.688),(15 31543.805),(16 30976.33),(17 30378.287),(18 30174.15),(19 29979.086),(20 29949.957),(21 29581.873),(22 29192.55),(23 29286.342),(24 29212.705),(25 29077.988),(26 28827.512),(27 29027.541),(28 29177.176),(29 29050.13),(30 29215.488),(31 29304.17),(32 30196.434),(33 30830.432),(34 31166.557),(35 31800.648),(36 32005.443),(37 31902.379),(38 31887.473),(39 32170.756),(40 32261.354),(41 31939.076),(42 32085.027),(43 32183.762),(44 31845.791),(45 31636.81),(46 32217.422),(47 32341.637),(48 32455.238),(49 32966.69),(50 33634.74),(51 33378.336),(52 33087.164),(53 32795.215),(54 32661.06),(55 32363.268),(56 32639.627),(57 32949.66),(58 33099.11),(59 32851.492),(60 32806.62),(61 32727.023),(62 32681.05),(63 32617.12),(64 32665.95),(65 32731.746),(66 33281.766),(67 33727.152),(68 33806.74),(69 33815.934),(70 33610.633),(71 33619.145),(72 33477.03),(73 33530.145),(74 33677.734),(75 34333.05),(76 34741.684),(77 34992.695),(78 35756.176),(79 35932.355),
(1 8538.623),(2 13654.198),(3 17392.941),(4 20247.17),(5 22821.857),(6 24759.846),(7 26699.94),(8 27807.545),(9 28976.625),(10 29778.084),(11 30550.404),(12 30473.09),(13 30891.307),(14 31248.834),(15 31404.22),(16 30966.828),(17 30823.992),(18 30826.836),(19 30370.998),(20 30120.777),(21 29834.318),(22 29428.904),(23 29234.959),(24 28898.266),(25 28073.912),(26 27776.89),(27 27965.398),(28 28216.182),(29 28206.865),(30 28632.38),(31 28915.084),(32 29188.479),(33 29764.396),(34 30197.834),(35 30840.656),(36 31362.816),(37 31580.074),(38 31687.377),(39 32068.01),(40 31977.326),(41 31756.01),(42 31839.574),(43 31663.32),(44 31233.807),(45 30900.197),(46 30914.518),(47 31143.768),(48 31731.979),(49 31840.742),(50 32150),(51 32244.729),(52 31651.12),(53 31573.645),(54 31434.031),(55 31310.79),(56 31626.469),(57 31854.977),(58 32011.951),(59 31921.695),(60 31964.059),(61 31920.723),(62 31708.184),(63 32209.48),(64 32522.492),(65 32688.959),(66 33124.78),(67 33440.66),(68 33626.375),(69 33490.996),(70 33484.125),(71 33103.04),(72 32817.37),(73 32551.014),(74 32652.97),(75 33159.273),(76 33490.945),(77 33826.473),(78 34182.89),(79 34127.594),
(1 8407.276),(2 13434.618),(3 16778.748),(4 19561.629),(5 21933.674),(6 23966.393),(7 25698.012),(8 26961.299),(9 27961.27),(10 28918.021),(11 29988.11),(12 30436.014),(13 30289.76),(14 30710.379),(15 30968.29),(16 30838.393),(17 30588.084),(18 30364.666),(19 29756.8),(20 29394.543),(21 29035.79),(22 28832.988),(23 28421.84),(24 28098.072),(25 27738.094),(26 27216.83),(27 27338.99),(28 27748.56),(29 27968.52),(30 28423.027),(31 28685.59),(32 28819.81),(33 29344.52),(34 29753.273),(35 30402.502),(36 30782.1),(37 31067.258),(38 31278.447),(39 31800.568),(40 32143.854),(41 31564.6),(42 31512.432),(43 31357.184),(44 31197.953),(45 30749.35),(46 30593.643),(47 30743.02),(48 30770.703),(49 30941.648),(50 30797.166),(51 30919.098),(52 30450.898),(53 30374.857),(54 30148.88),(55 30517.947),(56 30718.023),(57 30879.602),(58 30867.791),(59 31141.174),(60 31249.438),(61 31322.418),(62 31545.459),(63 31826.48),(64 31974.273),(65 32396.908),(66 32716.932),(67 33199.08),(68 33630.46),(69 33850.004),(70 33896.85),(71 33603.586),(72 33140.598),(73 32764.951),(74 32768.367),(75 32793.87),(76 32903.742),(77 32845.926),(78 33018.215),(79 32886.113),
(1 8153.787),(2 13233.905),(3 16526.742),(4 19275.24),(5 21709.355),(6 23825.244),(7 25592.004),(8 26811.676),(9 27534.477),(10 28543.91),(11 29563.674),(12 29895.18),(13 30096.992),(14 30265.365),(15 30029.969),(16 29664.469),(17 29397.074),(18 29116.31),(19 28661.957),(20 28120.621),(21 27892.475),(22 27547.889),(23 27291.066),(24 27224.674),(25 27011.455),(26 26470.97),(27 26490.742),(28 26920.188),(29 26781.73),(30 27164.168),(31 27653.451),(32 28315.436),(33 28897.266),(34 28882.63),(35 28916.303),(36 29041.174),(37 29215.213),(38 29173.39),(39 29556.22),(40 30065.053),(41 30033.277),(42 30393.08),(43 30304.81),(44 30299.719),(45 30157.697),(46 29676.676),(47 29512.838),(48 29495.145),(49 29273.389),(50 29138.533),(51 29213.145),(52 28795.486),(53 28496.154),(54 28028.244),(55 28312.012),(56 28844.43),(57 28677.168),(58 28705.838),(59 28946.61),(60 29281.912),(61 29630.436),(62 30016.121),(63 30090.508),(64 30254.83),(65 30556.967),(66 30778.287),(67 31017.953),(68 31313.625),(69 31288.465),(70 31453.336),(71 31327.666),(72 30921.33),(73 30648.887),(74 30592.813),(75 30668.727),(76 30495.588),(77 30909.047),(78 31135.277),(79 31214.748),
(1 8123.728),(2 13302.278),(3 16748.195),(4 19540.225),(5 22246.414),(6 24447.012),(7 26118.432),(8 26959.922),(9 27672.443),(10 28243.965),(11 29525.643),(12 29580.059),(13 29765.836),(14 29622.34),(15 29556.98),(16 29505.244),(17 29041.555),(18 28784.059),(19 28244.355),(20 27230.813),(21 27129.47),(22 26835.035),(23 26892.045),(24 26820.49),(25 27085.428),(26 26773.357),(27 26891.705),(28 27064.186),(29 27238.182),(30 27683.951),(31 28115.387),(32 28630.02),(33 28941.643),(34 28763.5),(35 28897.055),(36 28778.768),(37 28775.236),(38 28574.217),(39 28686.04),(40 28836.955),(41 28758.742),(42 29281.182),(43 29520.848),(44 29150.793),(45 29129.402),(46 28948.729),(47 29116.658),(48 29312.62),(49 29244.37),(50 29419.406),(51 29593.563),(52 29308.201),(53 29505.357),(54 29326.775),(55 29368.773),(56 29573.092),(57 29522.672),(58 29670.596),(59 29728.068),(60 29800.463),(61 30002.691),(62 30063.686),(63 29971.516),(64 29683.805),(65 29583.607),(66 29710.484),(67 30089.232),(68 30330.537),(69 30380.158),(70 30663.953),(71 30719.955),(72 30504.758),(73 30309.04),(74 30634.438),(75 30684.068),(76 30705.55),(77 31178.365),(78 31478.16),(79 31782.861),
(1 7939.764),(2 12982.204),(3 16307.102),(4 19186.96),(5 21396.105),(6 23127.94),(7 24805.281),(8 25738.938),(9 26377.193),(10 26963.875),(11 28161.348),(12 28628.604),(13 28526.625),(14 28462.523),(15 28717.467),(16 28522.924),(17 28361.227),(18 28126.822),(19 27501.508),(20 26895.223),(21 26853.383),(22 26311.754),(23 26048.705),(24 25942.148),(25 26233.656),(26 26220.344),(27 26394.99),(28 26303.4),(29 26540.758),(30 26638.523),(31 27105.137),(32 27232.104),(33 27485.576),(34 27216.73),(35 27155.078),(36 27486.088),(37 27862.69),(38 27774.385),(39 27930.342),(40 28027.746),(41 27872.004),(42 27978.44),(43 28241.375),(44 27909.014),(45 27750.234),(46 27656.813),(47 27795.342),(48 28207.197),(49 28489.402),(50 28499.424),(51 29002.959),(52 29208.303),(53 28825.025),(54 28670.67),(55 28614.5),(56 28673.223),(57 28897.63),(58 28620.14),(59 28687.668),(60 28549.697),(61 28253.338),(62 28109.63),(63 28213.371),(64 28274.004),(65 28257.262),(66 28177.818),(67 28668.863),(68 28975.486),(69 29214.992),(70 29440.209),(71 29390.74),(72 29133.65),(73 29030.883),(74 29413.756),(75 29118.021),(76 29372.979),(77 29379.818),(78 29442.285),(79 29569.219),
(1 7607.3916),(2 12200.233),(3 15498.032),(4 18416.084),(5 20717.348),(6 22185.723),(7 23809.432),(8 24867.014),(9 25619.168),(10 26162.623),(11 26893.957),(12 27253.992),(13 27369.48),(14 27391.18),(15 27636.941),(16 27122.184),(17 26664.322),(18 26126.174),(19 25746.752),(20 25734.582),(21 25765.652),(22 25580.787),(23 25563.373),(24 25675.014),(25 25866.576),(26 25765.992),(27 25914.623),(28 25950.264),(29 26044.297),(30 26235.94),(31 26414.871),(32 26341.537),(33 26337.963),(34 25991.084),(35 26021.514),(36 26603.84),(37 27116.191),(38 27203.271),(39 27543.27),(40 27509.723),(41 27302.254),(42 27411.02),(43 27568.117),(44 27410.625),(45 27330.74),(46 27072.43),(47 27275.26),(48 27737.326),(49 27672.338),(50 27384.328),(51 27676.184),(52 27471.988),(53 27019.365),(54 27142.047),(55 26953.258),(56 27001.682),(57 27282.281),(58 27233.84),(59 27400.387),(60 27505.398),(61 27231.656),(62 27573.65),(63 27721.602),(64 27532.344),(65 27641.57),(66 27658.627),(67 28033.207),(68 28390.564),(69 28372.854),(70 28190.463),(71 27990.217),(72 27676.697),(73 27717.64),(74 28084.61),(75 27771.045),(76 28068.854),(77 28082.684),(78 28193.375),(79 28017.275),
(1 7262.3545),(2 11718.219),(3 14871.096),(4 17731.637),(5 19783.572),(6 21443.758),(7 22872.48),(8 23867.635),(9 24499.879),(10 25098.896),(11 25789.162),(12 26128.092),(13 26301.545),(14 26608.37),(15 26755.803),(16 26213.746),(17 25978.758),(18 25713.154),(19 25260.744),(20 24893.096),(21 24699.86),(22 24502.443),(23 24541.182),(24 24658.893),(25 24609.963),(26 24521.37),(27 24551.342),(28 24568.426),(29 24422.154),(30 24700.219),(31 24864.516),(32 24735.22),(33 24856.855),(34 24857.521),(35 24938.924),(36 25425.418),(37 25835.143),(38 25971.162),(39 26548.389),(40 26909.604),(41 26776.928),(42 27144.963),(43 27025.541),(44 26945.248),(45 26855.525),(46 26538.969),(47 26783.557),(48 26886.564),(49 26615.102),(50 26734.623),(51 26911.887),(52 26950.47),(53 26714.645),(54 27108.805),(55 26988.992),(56 27152.229),(57 27521.945),(58 27585.281),(59 28058.602),(60 28225.672),(61 28305.594),(62 28443.857),(63 28504.469),(64 28146.932),(65 28090.852),(66 28134.559),(67 28409.682),(68 28778.69),(69 28564.55),(70 28299.658),(71 28039.102),(72 27768.34),(73 28022.705),(74 28315.764),(75 28069.654),(76 28130),(77 28182.527),(78 28170.129),(79 27843.266),
