1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 6967.228),(2 21284.514),(3 41102.426),(4 62297.996),(5 87935.87),(6 114725.98),(7 146909.3),(8 185690.83),(9 226868.56),(10 264261.6),(11 309582.9),(12 344216.5),(13 387104.9),(14 428389.6),(15 467112.84),(16 500926.16),(17 530822.94),(18 558611.44),(19 586856.7),(20 613279.06),(21 644316.2),(22 677955.25),(23 717637.06),(24 758156.25),(25 801213.7),(26 845846.8),(27 890859.2),(28 930265.5),(29 957707.5),(30 968688.06),(31 956655.5),(32 945010.7),(33 931677.25),(34 912336.2),(35 891344.06),(36 874056.5),(37 851808.2),(38 838397.56),(39 831717.3),(40 828576.3),(41 822635.5),(42 806594.44),(43 789813.8),(44 777670.8),(45 757982.94),(46 726951.8),(47 685575.8),(48 640506.94),(49 594135.5),(50 553156.44),(51 528198.1),(52 518221.84),(53 516259.22),(54 521007.63),(55 536281.25),(56 555392.2),(57 584535.9),(58 613458.7),(59 639591.7),(60 657969.56),(61 671063.9),(62 690126.25),(63 716814.5),(64 736666.3),(65 751467.2),(66 767178.5),(67 784997.06),(68 810844.44),(69 838007),(70 859333.2),(71 877100.2),(72 881766.3),(73 892458),(74 902456.3),(75 902128.2),(76 907858.06),(77 915013.56),(78 916135.8),(79 917635.5),
(1 6334.965),(2 18181.855),(3 35457.492),(4 55097.45),(5 78619.44),(6 104374.71),(7 133533.2),(8 167811.88),(9 202271.16),(10 234616.2),(11 268906.13),(12 301224.28),(13 339544.06),(14 375723.88),(15 411885.3),(16 445782.5),(17 476807.6),(18 510005.5),(19 547701.3),(20 581789.3),(21 614344.9),(22 649510.4),(23 686530.6),(24 728313),(25 775907),(26 821599.6),(27 870964.7),(28 912381.4),(29 950978),(30 976634.8),(31 980909),(32 990598.6),(33 992891.2),(34 986725.2),(35 978754.4),(36 968817.1),(37 955176.1),(38 946687.9),(39 941844.6),(40 937130),(41 931224.1),(42 912046.6),(43 890931.5),(44 877045.8),(45 865889.6),(46 853011.9),(47 831498.9),(48 812886.6),(49 791777.75),(50 777660.4),(51 778292.3),(52 789080.3),(53 800552.4),(54 814005.9),(55 844635.7),(56 877412.8),(57 917822),(58 962257.2),(59 1000139.3),(60 1032043.7),(61 1058751.6),(62 1095687.8),(63 1139264.1),(64 1181074.8),(65 1212694),(66 1237655.4),(67 1262573),(68 1289544.3),(69 1304848.9),(70 1319036),(71 1329058.1),(72 1330325.4),(73 1333754.8),(74 1332059.9),(75 1323282.6),(76 1312536.8),(77 1304570.3),(78 1293253),(79 1289764.4),
(1 6600.758),(2 20565.787),(3 38923.23),(4 60960.957),(5 84922.4),(6 110850.51),(7 140252.05),(8 171132.25),(9 201229.8),(10 228237.89),(11 253563.19),(12 275718.84),(13 296864.4),(14 320041.03),(15 341771.97),(16 367108.75),(17 391229.5),(18 416855.34),(19 444198.47),(20 469636),(21 498265.6),(22 534154.2),(23 569965.7),(24 607451.5),(25 647749.5),(26 693473.5),(27 742365.8),(28 782750.44),(29 818207.5),(30 845180.25),(31 865622.8),(32 889608.94),(33 910501.94),(34 928974),(35 948447.2),(36 967143.2),(37 984177.06),(38 1001274.5),(39 1020584.06),(40 1035828.56),(41 1056296.4),(42 1068687.9),(43 1077989.4),(44 1095713.4),(45 1112682.3),(46 1126318.4),(47 1131768.6),(48 1129917.9),(49 1128522.4),(50 1137956.6),(51 1152186),(52 1177062.4),(53 1205900.8),(54 1227005.1),(55 1265729.5),(56 1299128.9),(57 1333749.9),(58 1372358.4),(59 1403029.1),(60 1431972.5),(61 1460473.4),(62 1487351.6),(63 1511798),(64 1526406.6),(65 1532727.1),(66 1538271),(67 1540899.6),(68 1546394),(69 1535749.4),(70 1531722.6),(71 1525944.4),(72 1521445),(73 1515659.6),(74 1504008.4),(75 1499012.5),(76 1493297.1),(77 1492492.6),(78 1498776.4),(79 1508232.5),
(1 7084.89),(2 21903.242),(3 42114.074),(4 65608.164),(5 92008.41),(6 121870.305),(7 155609.72),(8 194228.05),(9 233971.25),(10 275183.97),(11 317604.66),(12 356193.22),(13 397897.72),(14 440743.63),(15 481458.22),(16 520438.78),(17 559574.9),(18 591087.6),(19 618692.3),(20 645491.56),(21 668708.44),(22 692926.7),(23 715026.25),(24 736024.1),(25 763225.1),(26 791360.2),(27 822663.3),(28 851233.25),(29 874312.94),(30 890906.6),(31 913175.6),(32 937814.44),(33 965343.3),(34 996600.25),(35 1026020.7),(36 1063082.5),(37 1096051.5),(38 1125958.3),(39 1158643.8),(40 1188531.5),(41 1223095.8),(42 1254217.5),(43 1284342.5),(44 1316397.5),(45 1345287.8),(46 1372958.6),(47 1397725.5),(48 1417357.1),(49 1435989.6),(50 1457658.1),(51 1485768.3),(52 1509174.3),(53 1534859.8),(54 1559546.5),(55 1584684.9),(56 1607651.8),(57 1627150.9),(58 1651841.9),(59 1673942.3),(60 1692665.5),(61 1708709.5),(62 1720348.5),(63 1731188.6),(64 1741392.5),(65 1745575.8),(66 1752843.4),(67 1748052.3),(68 1747350.5),(69 1749896),(70 1756599.6),(71 1759648.3),(72 1765791.4),(73 1780270.5),(74 1791930.4),(75 1804930.9),(76 1824232.5),(77 1845738.9),(78 1878100.5),(79 1897402.6),
(1 7333.5737),(2 23070.178),(3 44755.484),(4 70022.38),(5 100125.75),(6 133114.17),(7 170402.47),(8 211200.31),(9 253195.73),(10 291886.9),(11 332198.6),(12 368074.03),(13 404582.38),(14 439511.6),(15 472608.9),(16 505007.8),(17 537287.6),(18 564396.06),(19 589936.56),(20 617772.1),(21 643565.8),(22 669942.6),(23 700572.56),(24 732073.8),(25 765229.6),(26 799564.75),(27 834745.94),(28 873870.56),(29 907184.06),(30 937504.75),(31 970654.6),(32 1001186.4),(33 1036782.6),(34 1077338.8),(35 1116465),(36 1151264.9),(37 1184842.4),(38 1222388.6),(39 1261952.9),(40 1297405.1),(41 1337000.5),(42 1374445.3),(43 1413407.1),(44 1451630.3),(45 1484322.9),(46 1504197.5),(47 1517391.9),(48 1529649.1),(49 1542658.4),(50 1554238.9),(51 1564223.6),(52 1572709.5),(53 1578611.3),(54 1583456.1),(55 1580800),(56 1575016.8),(57 1570687.1),(58 1564080.8),(59 1556680),(60 1553364.9),(61 1555764),(62 1554707.3),(63 1552862.9),(64 1551646.1),(65 1553259.3),(66 1560476.8),(67 1568179.3),(68 1580897.9),(69 1599684),(70 1614139.1),(71 1624558.4),(72 1635762.9),(73 1645831.6),(74 1657566.9),(75 1666702.5),(76 1676978.5),(77 1688957.1),(78 1708612.4),(79 1727092.9),
(1 8095.073),(2 25538.129),(3 49922.176),(4 79181.664),(5 114142.9),(6 152853.28),(7 195464.81),(8 238784.97),(9 283635.34),(10 328653.56),(11 372946.4),(12 417775.56),(13 462147.4),(14 504662.1),(15 549538.3),(16 590172.7),(17 631718.1),(18 670709),(19 708152.8),(20 742710.9),(21 775681.4),(22 815858.1),(23 861995.6),(24 913104.2),(25 962039.2),(26 1003529.7),(27 1043034.7),(28 1091061.8),(29 1137581.3),(30 1184760.3),(31 1232026.3),(32 1274919.8),(33 1313962.6),(34 1362031.3),(35 1416569.8),(36 1464302.1),(37 1506764.6),(38 1557540.6),(39 1607229.3),(40 1653545.3),(41 1697832.6),(42 1739346),(43 1782007.6),(44 1819823.3),(45 1851260.8),(46 1870370.8),(47 1888505.8),(48 1907682.6),(49 1926999.3),(50 1946686),(51 1957102.6),(52 1971007.8),(53 1982798.4),(54 1989099.6),(55 1994849.3),(56 1996620.6),(57 2000015),(58 1997761.4),(59 1994412.8),(60 1987323.3),(61 1983196.8),(62 1976499.3),(63 1968754.3),(64 1960436.8),(65 1955522.4),(66 1943840.3),(67 1945107.4),(68 1947185.6),(69 1940094.4),(70 1929394),(71 1922578.4),(72 1916692.3),(73 1910526),(74 1906158),(75 1907179.3),(76 1904441.3),(77 1904084.4),(78 1912674.4),(79 1914924.4),
(1 7367.165),(2 23321.402),(3 44880.242),(4 70964.62),(5 100568.68),(6 133182.19),(7 168183.53),(8 205174.77),(9 245848.36),(10 288721.7),(11 331124),(12 374629.28),(13 418887.97),(14 461198.47),(15 505424.7),(16 551298.6),(17 599114.7),(18 648473.9),(19 698199.56),(20 751863.06),(21 805408.75),(22 861727.56),(23 917503.44),(24 975413),(25 1026263.6),(26 1072217.5),(27 1112550.8),(28 1153973.5),(29 1190541.4),(30 1225728.3),(31 1264665.8),(32 1297700.8),(33 1324121.8),(34 1357183.4),(35 1394795.8),(36 1432007.1),(37 1461046.6),(38 1494742),(39 1531573.3),(40 1561896.9),(41 1585149.4),(42 1611104.5),(43 1635620.5),(44 1655628.1),(45 1676537.8),(46 1697540.1),(47 1728280.9),(48 1761930.9),(49 1796134.6),(50 1840184.6),(51 1881588.3),(52 1916773.8),(53 1951137.3),(54 1980606.8),(55 2003691.9),(56 2027842.8),(57 2042281.8),(58 2056408.5),(59 2063217.8),(60 2068248.8),(61 2070189.9),(62 2072256.9),(63 2071997.1),(64 2068766.1),(65 2072426.9),(66 2072383.3),(67 2073822.1),(68 2075872.1),(69 2081758.9),(70 2086866.9),(71 2085689.8),(72 2084106.9),(73 2078417.3),(74 2077857.9),(75 2074317.9),(76 2077136.1),(77 2077108.3),(78 2076377.5),(79 2072282.5),
(1 9169.799),(2 30425.848),(3 61369.8),(4 99360.27),(5 143290.7),(6 189807.4),(7 240237.67),(8 294527.2),(9 349628.47),(10 404681.47),(11 461523.56),(12 515074.13),(13 573400),(14 625636.94),(15 672715.2),(16 719878.3),(17 762149.4),(18 808420.1),(19 854580.7),(20 896232.4),(21 937526.8),(22 975862.6),(23 1018357.2),(24 1063611.1),(25 1105803.6),(26 1141487.9),(27 1177437.6),(28 1208641.4),(29 1238896.4),(30 1271098.4),(31 1303470.9),(32 1340023.6),(33 1369942.1),(34 1396143.8),(35 1427354.8),(36 1463164.4),(37 1492664.5),(38 1521736.3),(39 1551735.4),(40 1574193.5),(41 1593735.8),(42 1616767.4),(43 1640540.5),(44 1653145.5),(45 1671313.8),(46 1694124.6),(47 1723136.9),(48 1746010.9),(49 1765047.3),(50 1792305.4),(51 1819037.4),(52 1843957.4),(53 1866197.5),(54 1886408.3),(55 1911872.6),(56 1930127.8),(57 1944382.9),(58 1963773.6),(59 1975790.8),(60 1987065.6),(61 1995915.4),(62 2011440.8),(63 2028229.5),(64 2039514.9),(65 2055816.3),(66 2067468.1),(67 2081114.4),(68 2099271.5),(69 2121844),(70 2145991.3),(71 2162409.3),(72 2180551.5),(73 2195119.5),(74 2212417.8),(75 2231157.3),(76 2253800.5),(77 2271269.3),(78 2288039.8),(79 2307578.8),
(1 8829.037),(2 29194.393),(3 57749.773),(4 92078.836),(5 132151.77),(6 174848.1),(7 221899.06),(8 272635.4),(9 324070.88),(10 377497.53),(11 432017.22),(12 486430.8),(13 542722.44),(14 598162.5),(15 654526.6),(16 708077.44),(17 760895.2),(18 807214.8),(19 853906.3),(20 904141.7),(21 953739.2),(22 1009093.9),(23 1064997.6),(24 1119969.1),(25 1170798.1),(26 1218908.8),(27 1264906.9),(28 1306213),(29 1346252.5),(30 1383186.9),(31 1423075.9),(32 1453397.4),(33 1484084.5),(34 1517526.9),(35 1550981.4),(36 1588807.4),(37 1624261),(38 1658367),(39 1692517.6),(40 1724969.9),(41 1746484.8),(42 1768152.4),(43 1778175.8),(44 1788067.8),(45 1800654.4),(46 1808240.4),(47 1814165),(48 1818767),(49 1825494.6),(50 1837561.5),(51 1850580.4),(52 1853311.9),(53 1859195),(54 1857204),(55 1854987.8),(56 1853508.3),(57 1850182.6),(58 1840558.1),(59 1831395.3),(60 1822550.4),(61 1817796.4),(62 1818411.9),(63 1820899.6),(64 1821748.8),(65 1824727.4),(66 1827488.8),(67 1828731.9),(68 1836952.5),(69 1843683.9),(70 1851786.6),(71 1864546.3),(72 1876871.8),(73 1897532.1),(74 1920212.5),(75 1942157.1),(76 1962955),(77 1984852),(78 2000931.5),(79 2025697.9),
(1 8496.776),(2 27407.848),(3 53596.285),(4 85083.95),(5 122504.84),(6 162541.58),(7 207888.36),(8 256234.25),(9 306643.6),(10 358041.25),(11 410042.63),(12 461127.5),(13 514042.66),(14 565219.06),(15 614083.25),(16 661471.75),(17 705717.3),(18 748443.44),(19 790552.9),(20 832012.1),(21 872753.56),(22 910658),(23 946892.44),(24 976410.7),(25 1005130),(26 1030788.25),(27 1055053),(28 1077080.5),(29 1093968.3),(30 1110053.1),(31 1128524.9),(32 1150612.6),(33 1172844),(34 1198151.6),(35 1226311),(36 1253622),(37 1278195.8),(38 1304263.4),(39 1327293.1),(40 1341104.5),(41 1352319.4),(42 1356468),(43 1356501.4),(44 1353586.6),(45 1350139.4),(46 1347431.3),(47 1342940.4),(48 1335169.6),(49 1328258),(50 1323941.4),(51 1324207.1),(52 1320840.9),(53 1316410),(54 1310690.3),(55 1308496.6),(56 1307773),(57 1306971.1),(58 1303825.5),(59 1298575.1),(60 1299066.9),(61 1305407.1),(62 1313245.5),(63 1322310.6),(64 1331549.5),(65 1344676.4),(66 1361107.1),(67 1376041.1),(68 1391722.3),(69 1406951.5),(70 1420030.3),(71 1439113.5),(72 1464528),(73 1504099.5),(74 1547030.9),(75 1596732.5),(76 1645533.5),(77 1697435.8),(78 1751477.3),(79 1804335.5),
(1 7869.6763),(2 25369.527),(3 49762.484),(4 79379.305),(5 114312.836),(6 153391.38),(7 198703.25),(8 248771.86),(9 302625.94),(10 361748.47),(11 421174.66),(12 484489.66),(13 552016.8),(14 619838.44),(15 689288.5),(16 758976.7),(17 829982.06),(18 897920.56),(19 962860.3),(20 1023506.8),(21 1082146),(22 1137292.5),(23 1185099),(24 1229466.9),(25 1266923.4),(26 1301325.9),(27 1334567.5),(28 1363005.1),(29 1388670.9),(30 1411559.3),(31 1437358.4),(32 1466724.8),(33 1493097.1),(34 1522376.8),(35 1553208.5),(36 1588238),(37 1624494.8),(38 1657920.6),(39 1693225.8),(40 1720743.3),(41 1743351.5),(42 1761608),(43 1773871.3),(44 1790396.9),(45 1801262),(46 1816608.5),(47 1831603),(48 1844959),(49 1854843.6),(50 1861335.9),(51 1872053.4),(52 1882438.9),(53 1893115.9),(54 1900113.4),(55 1907905.4),(56 1914086.8),(57 1917942.4),(58 1926335),(59 1934576.3),(60 1938965.6),(61 1942432),(62 1946981),(63 1952657.1),(64 1962559.6),(65 1970381.6),(66 1973696.5),(67 1971766.9),(68 1972209),(69 1973353.6),(70 1973572.6),(71 1974494.9),(72 1981394.4),(73 2000982.4),(74 2028920.3),(75 2063050.9),(76 2098114),(77 2138931.3),(78 2181643.8),(79 2221095.8),
