1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 1.5240732),(2 3.5214505),(3 6.2583385),(4 8.800873),(5 11.079274),(6 13.029312),(7 14.770087),(8 16.491283),(9 17.895966),(10 18.733963),(11 19.822285),(12 20.863659),(13 21.309477),(14 22.03543),(15 22.475615),(16 22.946062),(17 23.096292),(18 23.153038),(19 22.8366),(20 23.107813),(21 23.154737),(22 23.062407),(23 23.071962),(24 22.753399),(25 22.757156),(26 22.844225),(27 23.00747),(28 23.254906),(29 23.612272),(30 23.819105),(31 24.435448),(32 24.507772),(33 24.529491),(34 24.379564),(35 24.853792),(36 24.933737),(37 25.181755),(38 24.939913),(39 25.072763),(40 24.895174),(41 24.994843),(42 25.287958),(43 25.535559),(44 25.587494),(45 25.758),(46 25.695786),(47 25.587914),(48 25.349283),(49 25.24916),(50 25.336496),(51 25.536308),(52 25.844347),(53 26.077818),(54 26.151106),(55 26.14821),
(1 1.6986678),(2 3.0892642),(3 4.726836),(4 5.8090076),(5 6.9302435),(6 7.6038203),(7 8.171775),(8 8.460459),(9 8.849324),(10 8.922147),(11 9.042673),(12 9.190445),(13 9.234206),(14 9.428336),(15 9.589078),(16 9.634565),(17 9.678173),(18 9.562302),(19 9.403243),(20 9.340458),(21 9.318682),(22 9.304544),(23 9.535333),(24 9.392547),(25 9.368665),(26 9.303136),(27 9.539639),(28 9.45544),(29 9.442283),(30 9.261641),(31 9.502135),(32 9.674485),(33 9.710409),(34 9.460454),(35 9.656522),(36 9.600284),(37 9.556849),(38 9.493258),(39 9.509526),(40 9.370471),(41 9.394475),(42 9.4678335),(43 9.510602),(44 9.433906),(45 9.510458),(46 9.466607),(47 9.549249),(48 9.572905),(49 9.578933),(50 9.663743),(51 9.866739),(52 9.827058),(53 9.823039),(54 9.645422),(55 9.645537),
(1 1.377163),(2 2.3615575),(3 3.2901278),(4 3.8824425),(5 4.48345),(6 4.659374),(7 5.125477),(8 5.154849),(9 5.2801027),(10 5.3268576),(11 5.3496637),(12 5.362721),(13 5.375387),(14 5.21398),(15 5.0431156),(16 4.993717),(17 4.972546),(18 5.0242925),(19 5.0978622),(20 5.2554383),(21 5.2628794),(22 5.10667),(23 5.046174),(24 4.9192276),(25 4.8383965),(26 4.6986628),(27 4.9365697),(28 4.943028),(29 5.0484533),(30 4.979812),(31 5.1143475),(32 5.0370464),(33 5.033416),(34 4.8936577),(35 5.125115),(36 5.100349),(37 5.2215896),(38 5.3575044),(39 5.408883),(40 5.301451),(41 5.27925),(42 5.1779246),(43 5.101642),(44 5.041597),(45 5.1668415),(46 5.289491),(47 5.3789186),(48 5.4688263),(49 5.468852),(50 5.5595512),(51 5.6005635),(52 5.4414887),(53 5.372766),(54 5.3147984),(55 5.3149934),
(1 1.2884696),(2 2.11677),(3 2.7176068),(4 3.013806),(5 3.2778282),(6 3.368054),(7 3.5238295),(8 3.461488),(9 3.6034093),(10 3.6530294),(11 3.6312764),(12 3.6069255),(13 3.5627463),(14 3.4443474),(15 3.4112563),(16 3.3972042),(17 3.4351437),(18 3.3139267),(19 3.308291),(20 3.3764877),(21 3.4430976),(22 3.3991742),(23 3.4116237),(24 3.3369377),(25 3.3393762),(26 3.2463553),(27 3.3365028),(28 3.312209),(29 3.3919916),(30 3.3477118),(31 3.4453332),(32 3.3950775),(33 3.4400115),(34 3.2780397),(35 3.468025),(36 3.4799964),(37 3.510409),(38 3.4717398),(39 3.5587494),(40 3.5717275),(41 3.6008332),(42 3.5372324),(43 3.6230817),(44 3.606318),(45 3.6032012),(46 3.5855403),(47 3.6011574),(48 3.5601046),(49 3.566999),(50 3.6491702),(51 3.674612),(52 3.5592155),(53 3.561458),(54 3.5908515),(55 3.591951),
(1 1.1686049),(2 1.8936867),(3 2.4080288),(4 2.494959),(5 2.7356827),(6 2.721819),(7 2.8618438),(8 2.8193607),(9 2.8642237),(10 2.7790701),(11 2.6381252),(12 2.5827503),(13 2.5994565),(14 2.5605593),(15 2.5273845),(16 2.5461118),(17 2.5793114),(18 2.5421128),(19 2.5150778),(20 2.7190835),(21 2.7444558),(22 2.6776671),(23 2.681166),(24 2.615026),(25 2.6516218),(26 2.555143),(27 2.5943816),(28 2.532619),(29 2.5945425),(30 2.5684564),(31 2.6020384),(32 2.5596101),(33 2.590025),(34 2.4930677),(35 2.6951008),(36 2.6995327),(37 2.6910837),(38 2.6662781),(39 2.6868448),(40 2.6519568),(41 2.655291),(42 2.6080053),(43 2.689495),(44 2.6762295),(45 2.753779),(46 2.6406004),(47 2.6658113),(48 2.662196),(49 2.6955218),(50 2.7833438),(51 2.8219423),(52 2.72268),(53 2.740108),(54 2.722631),(55 2.723577),
(1 0.78226566),(2 1.2854245),(3 1.6074991),(4 1.5917065),(5 1.7842915),(6 1.783019),(7 1.8147744),(8 1.753324),(9 1.6980543),(10 1.6244097),(11 1.628774),(12 1.6266946),(13 1.6320591),(14 1.6249813),(15 1.6468282),(16 1.6724197),(17 1.6936983),(18 1.7073346),(19 1.6985557),(20 1.7670668),(21 1.7684256),(22 1.7253685),(23 1.7383202),(24 1.7136015),(25 1.7172978),(26 1.6540436),(27 1.6402886),(28 1.6236252),(29 1.6650183),(30 1.6120008),(31 1.6239358),(32 1.6059045),(33 1.6265045),(34 1.5598751),(35 1.6741832),(36 1.6590394),(37 1.674791),(38 1.658261),(39 1.7166388),(40 1.7206258),(41 1.7611123),(42 1.7052737),(43 1.7097197),(44 1.6455216),(45 1.6764084),(46 1.6873409),(47 1.7286036),(48 1.6856896),(49 1.6714921),(50 1.676574),(51 1.705229),(52 1.6921592),(53 1.7344091),(54 1.712114),(55 1.7123245),
(1 0.72232074),(2 1.1631353),(3 1.3698744),(4 1.3133701),(5 1.4930604),(6 1.4928776),(7 1.4707357),(8 1.250436),(9 1.2220459),(10 1.1926833),(11 1.2217108),(12 1.2149171),(13 1.2320443),(14 1.2758939),(15 1.3179857),(16 1.2851272),(17 1.301897),(18 1.2983437),(19 1.3057528),(20 1.3638828),(21 1.3682637),(22 1.3362203),(23 1.3616298),(24 1.3361003),(25 1.362567),(26 1.3170412),(27 1.3453873),(28 1.3001307),(29 1.3337619),(30 1.305881),(31 1.3191729),(32 1.3052489),(33 1.3084744),(34 1.2640415),(35 1.3533076),(36 1.3131555),(37 1.3077798),(38 1.3102638),(39 1.3509672),(40 1.3506835),(41 1.3741987),(42 1.3468542),(43 1.3593508),(44 1.3588337),(45 1.3839657),(46 1.3564218),(47 1.3520668),(48 1.3240905),(49 1.3280524),(50 1.3558695),(51 1.3603276),(52 1.3311996),(53 1.3426473),(54 1.3178372),(55 1.3173926),
(1 0.5770416),(2 0.8814822),(3 0.9522132),(4 0.9587023),(5 1.101209),(6 0.99217945),(7 0.94035226),(8 0.8677184),(9 0.92114294),(10 0.8814477),(11 0.8805508),(12 0.92864496),(13 0.9351315),(14 0.90610206),(15 0.93716055),(16 0.932413),(17 0.9364581),(18 0.9417498),(19 0.9334348),(20 0.9656029),(21 0.9775167),(22 0.9619215),(23 0.9739816),(24 0.95185584),(25 0.96617115),(26 0.96057516),(27 0.9762229),(28 0.96948254),(29 0.99030554),(30 0.9826996),(31 0.97323227),(32 0.9416783),(33 0.9379945),(34 0.91303945),(35 0.997332),(36 0.9967197),(37 1.0030426),(38 0.99504894),(39 1.0327083),(40 1.0183344),(41 1.0060408),(42 0.9877111),(43 1.046043),(44 1.0705756),(45 1.0731363),(46 1.0306894),(47 1.0325906),(48 1.0109015),(49 1.0273015),(50 1.0572222),(51 1.0540377),(52 1.0070775),(53 0.99342763),(54 0.99392176),(55 0.9940563),
(1 0.4267974),(2 0.63334423),(3 0.6477305),(4 0.6838097),(5 0.76157004),(6 0.6191027),(7 0.59985334),(8 0.6186411),(9 0.66810095),(10 0.66832346),(11 0.67800194),(12 0.68250525),(13 0.664996),(14 0.65807164),(15 0.66400075),(16 0.6811929),(17 0.68777233),(18 0.67442316),(19 0.6825284),(20 0.70654535),(21 0.72146875),(22 0.70608366),(23 0.73042375),(24 0.70384634),(25 0.7056965),(26 0.687549),(27 0.69115883),(28 0.6920712),(29 0.7087137),(30 0.6914121),(31 0.692583),(32 0.6691919),(33 0.67244357),(34 0.6637303),(35 0.720191),(36 0.7096086),(37 0.72741),(38 0.70988953),(39 0.7343963),(40 0.7338917),(41 0.73530924),(42 0.72332126),(43 0.7523963),(44 0.7543585),(45 0.7388411),(46 0.7066001),(47 0.7270403),(48 0.7352615),(49 0.73993546),(50 0.74160296),(51 0.71815),(52 0.6931032),(53 0.71305275),(54 0.7304162),(55 0.7306931),
(1 0.30625764),(2 0.43954238),(3 0.4455942),(4 0.4796545),(5 0.49956197),(6 0.42196134),(7 0.44179195),(8 0.45238113),(9 0.46726558),(10 0.48480392),(11 0.4736247),(12 0.4667297),(13 0.46519712),(14 0.4559825),(15 0.47241917),(16 0.48730278),(17 0.48814732),(18 0.49440318),(19 0.48828715),(20 0.5190861),(21 0.5187232),(22 0.49230358),(23 0.5009856),(24 0.4887593),(25 0.48017883),(26 0.47105384),(27 0.4860666),(28 0.4954818),(29 0.51052797),(30 0.48924854),(31 0.4837377),(32 0.47961435),(33 0.48673797),(34 0.4722351),(35 0.5256244),(36 0.51000726),(37 0.5110826),(38 0.50142884),(39 0.5204271),(40 0.51271266),(41 0.5385524),(42 0.53625935),(43 0.54394823),(44 0.5207197),(45 0.529085),(46 0.517719),(47 0.5269266),(48 0.52436393),(49 0.52849156),(50 0.52599525),(51 0.52372015),(52 0.5074576),(53 0.51567),(54 0.5236043),(55 0.52359843),
(1 0.19923495),(2 0.2820881),(3 0.28316078),(4 0.299581),(5 0.30225024),(6 0.29223058),(7 0.3053627),(8 0.3025468),(9 0.301634),(10 0.31867918),(11 0.31422925),(12 0.31658623),(13 0.3189093),(14 0.31729868),(15 0.31175536),(16 0.32666308),(17 0.32830334),(18 0.3243521),(19 0.32445237),(20 0.34259483),(21 0.33791143),(22 0.33991018),(23 0.3434477),(24 0.33740515),(25 0.33526054),(26 0.31756786),(27 0.32284164),(28 0.3288833),(29 0.33541128),(30 0.33455494),(31 0.3333395),(32 0.329721),(33 0.33675182),(34 0.32213503),(35 0.35443303),(36 0.3424961),(37 0.3455864),(38 0.3443468),(39 0.3696403),(40 0.34920555),(41 0.36974463),(42 0.3665775),(43 0.3620662),(44 0.36124814),(45 0.36823413),(46 0.3663591),(47 0.3736303),(48 0.37228072),(49 0.36761662),(50 0.3645561),(51 0.3719164),(52 0.35489666),(53 0.3557486),(54 0.35998374),(55 0.35995036),
