1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 2.4498944),(2 3.94333),(3 4.8585963),(4 5.2701135),(5 5.7741714),(6 5.5089707),(7 5.7689624),(8 5.6655283),(9 6.1018076),(10 5.901733),(11 5.7178245),(12 5.286765),(13 5.15153),(14 5.3240066),(15 5.5139303),(16 5.410081),(17 5.228207),(18 5.051717),(19 5.1961517),(20 5.541466),(21 5.7405963),(22 5.4114776),(23 5.6165214),(24 5.527469),(25 5.631758),(26 5.339165),(27 5.2929735),(28 5.0595374),(29 5.2490234),(30 5.2545567),(31 5.5250616),(32 5.335181),(33 5.4683256),(34 5.252897),(35 5.82504),(36 5.8609385),(37 5.905989),(38 5.9360676),(39 5.9825883),(40 6.017914),(41 5.837348),(42 5.6461535),(43 5.56351),(44 5.3629203),(45 5.5074964),(46 5.355406),(47 5.8547497),(48 5.9101577),(49 6.194671),(50 6.1985564),(51 6.1024094),(52 5.719389),(53 5.731676),(54 5.6502976),(55 5.650944),
(1 2.1346226),(2 3.603151),(3 4.7899303),(4 4.723492),(5 5.040484),(6 4.863276),(7 5.0828333),(8 4.9362545),(9 5.033983),(10 4.7877326),(11 4.567909),(12 4.3780475),(13 4.5202546),(14 4.4251866),(15 4.423965),(16 4.4395127),(17 4.4599495),(18 4.606454),(19 4.718831),(20 4.9476237),(21 5.0053396),(22 4.9026885),(23 4.94819),(24 4.7743583),(25 4.899538),(26 4.601757),(27 4.8128095),(28 4.7431674),(29 4.8161273),(30 4.749006),(31 4.8290443),(32 4.716723),(33 4.860274),(34 4.5429153),(35 4.9220595),(36 4.985485),(37 4.8239164),(38 4.748787),(39 4.7919936),(40 4.8019176),(41 4.7350874),(42 4.626447),(43 4.6420617),(44 4.6956487),(45 4.9426856),(46 4.8123007),(47 4.9266515),(48 4.981155),(49 5.09679),(50 5.162884),(51 5.0344553),(52 4.7854934),(53 4.8299856),(54 4.835982),(55 4.8390174),
(1 2.0416446),(2 3.4835882),(3 4.5149903),(4 4.6874332),(5 5.110585),(6 4.9218473),(7 4.9427953),(8 4.831193),(9 4.521458),(10 4.062893),(11 3.867047),(12 4.064224),(13 4.313394),(14 4.2162743),(15 4.173224),(16 4.0786495),(17 4.3802066),(18 4.3061404),(19 4.223345),(20 4.5318656),(21 4.5819464),(22 4.427014),(23 4.433184),(24 4.40658),(25 4.4985824),(26 4.472293),(27 4.5284653),(28 4.367544),(29 4.4473104),(30 4.427472),(31 4.393715),(32 4.1260467),(33 4.1516323),(34 4.0629487),(35 4.492111),(36 4.3332286),(37 4.2590275),(38 4.2080092),(39 4.42127),(40 4.457135),(41 4.466304),(42 4.4200816),(43 4.3934507),(44 4.293144),(45 4.4269714),(46 4.4120355),(47 4.5997443),(48 4.6556997),(49 4.685302),(50 4.592777),(51 4.5165296),(52 4.2305346),(53 4.2089143),(54 4.250215),(55 4.251922),
(1 1.8922827),(2 3.1609328),(3 3.996712),(4 3.9480963),(5 4.4272227),(6 4.2084193),(7 4.436261),(8 4.245283),(9 3.9048777),(10 3.4952345),(11 3.4318376),(12 3.6219373),(13 3.7218416),(14 3.5318973),(15 3.4496787),(16 3.4606354),(17 3.596001),(18 3.4566205),(19 3.4518185),(20 3.6444597),(21 3.8490617),(22 3.789615),(23 3.9123795),(24 3.8727546),(25 3.915338),(26 3.911333),(27 3.964076),(28 3.848462),(29 3.894163),(30 3.6173723),(31 3.5504048),(32 3.5213375),(33 3.5400972),(34 3.383467),(35 3.6211915),(36 3.5999405),(37 3.7335947),(38 3.7487552),(39 3.9004965),(40 4.0074644),(41 4.047801),(42 3.8437912),(43 3.8274052),(44 3.7520337),(45 3.7154202),(46 3.6695151),(47 3.880345),(48 3.8838463),(49 3.9830139),(50 4.080999),(51 4.0878987),(52 3.9746025),(53 3.9528527),(54 3.8534498),(55 3.855093),
(1 1.7146419),(2 2.7744136),(3 3.5575497),(4 3.2846181),(5 3.69127),(6 3.723192),(7 3.8251965),(8 3.5167692),(9 3.2766883),(10 2.9901617),(11 2.958459),(12 3.1002579),(13 2.9780264),(14 2.9433987),(15 3.17702),(16 3.2936313),(17 3.2733061),(18 3.2308772),(19 3.2977562),(20 3.466983),(21 3.4124155),(22 3.1845186),(23 3.252055),(24 3.2327263),(25 3.2296538),(26 3.0965986),(27 3.2397296),(28 3.2195888),(29 3.262966),(30 3.0712872),(31 3.0821702),(32 2.9757032),(33 3.0299394),(34 3.0275385),(35 3.3434231),(36 3.3167062),(37 3.385463),(38 3.2971187),(39 3.4532127),(40 3.4393213),(41 3.4275482),(42 3.3123434),(43 3.3695576),(44 3.2872424),(45 3.300871),(46 3.3135865),(47 3.3029773),(48 3.1787982),(49 3.1853416),(50 3.3365278),(51 3.4308457),(52 3.4344327),(53 3.4368274),(54 3.320715),(55 3.3214347),
(1 1.616423),(2 2.6099155),(3 3.1256967),(4 2.8479624),(5 3.236259),(6 3.2702508),(7 3.268603),(8 2.7487977),(9 2.4714305),(10 2.3864481),(11 2.54125),(12 2.4802232),(13 2.42768),(14 2.6078684),(15 2.7700315),(16 2.661998),(17 2.6864612),(18 2.742327),(19 2.695634),(20 2.7940598),(21 2.8888922),(22 2.7870853),(23 2.8372643),(24 2.9007108),(25 3.011022),(26 2.923469),(27 2.8245046),(28 2.720319),(29 2.7867439),(30 2.6335883),(31 2.7569509),(32 2.751317),(33 2.9340732),(34 2.8841822),(35 3.0558076),(36 2.9294782),(37 2.9313087),(38 2.8137445),(39 2.88801),(40 2.889009),(41 2.8666348),(42 2.8249557),(43 2.8831477),(44 2.964165),(45 3.0509412),(46 2.9077737),(47 2.817116),(48 2.6420484),(49 2.686419),(50 2.8652472),(51 2.910889),(52 2.935628),(53 2.974713),(54 2.8594291),(55 2.8590186),
(1 1.4559681),(2 2.4669094),(3 2.80157),(4 2.5889606),(5 2.9882946),(6 2.9614677),(7 2.9073033),(8 2.339033),(9 2.2202926),(10 2.2311459),(11 2.29313),(12 2.26348),(13 2.2967985),(14 2.4592657),(15 2.4548252),(16 2.31154),(17 2.4005954),(18 2.3127213),(19 2.3598695),(20 2.562095),(21 2.661621),(22 2.4522784),(23 2.5093777),(24 2.50828),(25 2.578021),(26 2.3999279),(27 2.4477072),(28 2.4018843),(29 2.4171937),(30 2.3038611),(31 2.381089),(32 2.4290018),(33 2.5318937),(34 2.4731257),(35 2.7068195),(36 2.5901444),(37 2.5032017),(38 2.4069686),(39 2.4824846),(40 2.4356093),(41 2.4145088),(42 2.4695024),(43 2.700743),(44 2.7756963),(45 2.7000496),(46 2.5434282),(47 2.5200222),(48 2.4319155),(49 2.4928114),(50 2.633844),(51 2.6934865),(52 2.6670578),(53 2.6349673),(54 2.6057088),(55 2.6062903),
(1 1.4066701),(2 2.1478543),(3 2.3910868),(4 2.1544945),(5 2.5154843),(6 2.4698794),(7 2.380067),(8 1.9422743),(9 1.9450073),(10 1.9728489),(11 1.9789883),(12 1.9240643),(13 2.0209558),(14 2.0742888),(15 2.0795918),(16 1.9868996),(17 2.003144),(18 2.0315373),(19 2.1271076),(20 2.225506),(21 2.2331052),(22 2.2769334),(23 2.3150065),(24 2.140903),(25 2.2342439),(26 2.1421354),(27 2.1742873),(28 2.187392),(29 2.291709),(30 2.2225094),(31 2.237744),(32 2.157886),(33 2.203692),(34 2.0804753),(35 2.2100754),(36 2.2166777),(37 2.2329316),(38 2.175169),(39 2.265872),(40 2.218472),(41 2.3492217),(42 2.323916),(43 2.420516),(44 2.2856097),(45 2.1645093),(46 2.1374688),(47 2.2382522),(48 2.2994857),(49 2.330382),(50 2.268399),(51 2.240386),(52 2.187631),(53 2.2730353),(54 2.3158119),(55 2.3153298),
(1 1.1921483),(2 1.9456165),(3 2.143869),(4 1.9235895),(5 2.2680914),(6 2.0903769),(7 1.9005352),(8 1.582814),(9 1.7400752),(10 1.7335305),(11 1.6888058),(12 1.8056325),(13 1.9543853),(14 1.8768117),(15 1.9064249),(16 1.8624163),(17 1.8159332),(18 1.8588473),(19 1.8607619),(20 1.9403551),(21 2.004267),(22 1.9124565),(23 1.9406768),(24 1.8671262),(25 1.792642),(26 1.7161447),(27 1.8565187),(28 1.9696183),(29 1.9826974),(30 1.9955846),(31 2.007058),(32 1.9307384),(33 1.8709235),(34 1.7829304),(35 1.9706024),(36 1.9824638),(37 1.9960066),(38 1.990968),(39 2.0277922),(40 1.9151344),(41 1.9344293),(42 1.9414437),(43 1.9831256),(44 1.9452494),(45 1.9049003),(46 1.9060553),(47 2.0110645),(48 2.0204396),(49 1.9730705),(50 1.879786),(51 1.9029051),(52 1.8492),(53 1.923743),(54 1.9781854),(55 1.9779924),
(1 1.1705506),(2 1.8064687),(3 1.8442223),(4 1.6976602),(5 2.0471213),(6 1.7401571),(7 1.6018215),(8 1.4669892),(9 1.6520909),(10 1.5592029),(11 1.4833252),(12 1.6547537),(13 1.6692872),(14 1.5637373),(15 1.6600592),(16 1.7413201),(17 1.7404964),(18 1.6581323),(19 1.5995218),(20 1.624005),(21 1.6481055),(22 1.6577113),(23 1.7312399),(24 1.6733421),(25 1.6513767),(26 1.6190721),(27 1.7524991),(28 1.7468277),(29 1.7680622),(30 1.7474644),(31 1.6865077),(32 1.614335),(33 1.6504978),(34 1.5828944),(35 1.7316643),(36 1.767807),(37 1.8017038),(38 1.7750751),(39 1.8482811),(40 1.7298511),(41 1.7022011),(42 1.6802899),(43 1.7644976),(44 1.8179651),(45 1.8326671),(46 1.7439466),(47 1.783447),(48 1.7647948),(49 1.8102963),(50 1.8034792),(51 1.8360509),(52 1.7516282),(53 1.745045),(54 1.7724155),(55 1.773033),
