1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 4.7931046),(2 7.794213),(3 11.235972),(4 13.393105),(5 15.900576),(6 16.75762),(7 17.797167),(8 16.91399),(9 16.516058),(10 16.197868),(11 15.927644),(12 16.07198),(13 16.49632),(14 16.584133),(15 16.257172),(16 15.074108),(17 14.812778),(18 14.484511),(19 14.796032),(20 15.613749),(21 15.85176),(22 15.471653),(23 15.441032),(24 15.57203),(25 15.659593),(26 15.156643),(27 15.965383),(28 16.052742),(29 16.49547),(30 15.655223),(31 15.690301),(32 14.870528),(33 14.93082),(34 14.828901),(35 15.769111),(36 15.646156),(37 15.6700735),(38 15.52918),(39 15.654554),(40 15.306868),(41 15.421488),(42 15.373242),(43 15.687593),(44 15.806581),(45 16.345245),(46 16.531721),(47 16.254196),(48 16.278234),(49 16.292063),(50 16.71614),(51 16.80809),(52 15.940121),(53 16.110415),(54 15.953494),(55 15.9537945),
(1 4.354749),(2 6.932682),(3 10.084747),(4 11.934833),(5 13.495689),(6 13.776812),(7 14.763477),(8 14.066423),(9 13.166412),(10 13.034645),(11 13.067753),(12 13.495008),(13 13.603972),(14 13.758286),(15 12.945983),(16 12.8385),(17 12.480788),(18 12.346541),(19 12.676943),(20 13.499502),(21 13.397029),(22 13.00227),(23 13.292665),(24 12.964183),(25 12.749697),(26 12.169873),(27 12.545383),(28 12.502686),(29 13.002569),(30 12.654979),(31 13.469802),(32 12.615712),(33 12.428932),(34 12.034912),(35 13.019937),(36 13.066186),(37 13.039392),(38 13.170647),(39 13.234015),(40 13.172725),(41 13.530133),(42 13.570491),(43 13.65188),(44 13.408798),(45 13.374482),(46 13.52489),(47 13.579885),(48 13.173607),(49 12.816656),(50 12.398991),(51 12.470946),(52 11.915024),(53 12.214685),(54 12.371344),(55 12.371832),
(1 4.3196406),(2 7.079112),(3 9.609483),(4 11.501248),(5 13.034849),(6 13.250345),(7 13.246263),(8 12.428604),(9 12.321459),(10 12.532333),(11 12.697172),(12 12.890277),(13 12.904518),(14 12.108496),(15 11.336271),(16 10.822396),(17 10.990833),(18 11.060356),(19 11.619329),(20 12.111225),(21 12.132629),(22 11.75301),(23 12.0375395),(24 11.692484),(25 11.760862),(26 10.992106),(27 11.325858),(28 10.946295),(29 10.939916),(30 10.614183),(31 11.114678),(32 10.813049),(33 10.969124),(34 10.9330635),(35 11.898854),(36 11.838078),(37 11.751742),(38 11.567648),(39 11.680842),(40 11.857303),(41 12.207422),(42 11.726993),(43 12.142164),(44 11.957097),(45 12.0748825),(46 11.841152),(47 11.531605),(48 11.176203),(49 10.670175),(50 10.665914),(51 10.992008),(52 10.577957),(53 10.994902),(54 11.379772),(55 11.382701),
(1 3.7525444),(2 6.0194807),(3 8.110796),(4 9.515175),(5 10.606224),(6 10.36669),(7 10.640596),(8 9.941155),(9 10.277516),(10 10.619351),(11 10.6866665),(12 10.403356),(13 10.153733),(14 9.342185),(15 9.163454),(16 9.039755),(17 9.582296),(18 9.547772),(19 9.526965),(20 10.102715),(21 9.953929),(22 9.694823),(23 10.124551),(24 10.071271),(25 10.077272),(26 9.48008),(27 9.672726),(28 9.517962),(29 9.721817),(30 9.4682865),(31 9.7464075),(32 9.527207),(33 9.4603195),(34 9.243047),(35 10.071384),(36 9.946925),(37 9.965337),(38 9.729604),(39 10.0272665),(40 10.102278),(41 10.113794),(42 9.814504),(43 10.080613),(44 9.803167),(45 10.048187),(46 9.861392),(47 9.560741),(48 9.1997595),(49 9.152637),(50 9.466807),(51 9.562885),(52 9.588662),(53 9.888872),(54 9.8365555),(55 9.835777),
(1 3.7338533),(2 6.0822754),(3 8.372106),(4 9.052473),(5 9.415735),(6 9.328986),(7 9.76673),(8 9.439144),(9 9.507909),(10 9.749344),(11 9.554638),(12 9.267861),(13 9.170492),(14 8.637564),(15 8.6397295),(16 8.757916),(17 8.759326),(18 8.42851),(19 8.446962),(20 8.650099),(21 8.78826),(22 8.752231),(23 9.009634),(24 8.759751),(25 8.770716),(26 8.203834),(27 8.439779),(28 8.296581),(29 8.304123),(30 8.126498),(31 8.640943),(32 8.557245),(33 8.765887),(34 8.553736),(35 9.394574),(36 9.263529),(37 9.0854435),(38 9.063608),(39 9.226929),(40 9.302485),(41 9.004816),(42 8.666868),(43 8.824362),(44 8.594848),(45 8.33209),(46 8.277082),(47 8.430218),(48 8.249849),(49 8.601851),(50 8.962205),(51 9.321327),(52 9.1174345),(53 9.053201),(54 8.755559),(55 8.754764),
(1 3.571404),(2 6.1046076),(3 7.699844),(4 8.624952),(5 9.224215),(6 9.049222),(7 9.4520035),(8 9.240533),(9 9.48193),(10 9.575656),(11 9.397764),(12 9.01716),(13 8.693399),(14 8.418003),(15 8.497449),(16 8.382931),(17 8.303796),(18 8.093952),(19 8.199761),(20 8.742742),(21 8.967018),(22 8.845059),(23 9.155097),(24 8.863166),(25 9.005837),(26 8.311428),(27 8.204729),(28 7.95064),(29 8.467271),(30 8.438779),(31 8.737268),(32 8.5279875),(33 8.590417),(34 8.31162),(35 9.038862),(36 8.993239),(37 9.141504),(38 8.849504),(39 8.992832),(40 8.785528),(41 8.641283),(42 8.43617),(43 8.5721655),(44 8.379028),(45 8.322656),(46 7.8938065),(47 8.345257),(48 8.396101),(49 8.919383),(50 9.156374),(51 9.330829),(52 8.773129),(53 8.624637),(54 8.292059),(55 8.292496),
(1 3.4743247),(2 5.727714),(3 7.536689),(4 7.763141),(5 8.374011),(6 7.945115),(7 8.379476),(8 8.259772),(9 8.745566),(10 8.599636),(11 8.131017),(12 7.510987),(13 7.365918),(14 7.3594723),(15 7.496565),(16 7.3771834),(17 7.214681),(18 7.1379333),(19 7.2908072),(20 7.6886716),(21 7.8592753),(22 7.683799),(23 8.114601),(24 8.010403),(25 8.13137),(26 7.7770286),(27 8.015789),(28 7.676248),(29 8.120759),(30 7.9980035),(31 8.291087),(32 8.122423),(33 8.252339),(34 7.7513614),(35 8.294666),(36 8.273455),(37 8.078874),(38 7.8795977),(39 7.8366046),(40 7.8454885),(41 7.7586308),(42 7.4145403),(43 7.637388),(44 7.4321065),(45 7.615763),(46 7.3832426),(47 7.7285056),(48 7.8870883),(49 8.208878),(50 8.492828),(51 8.477207),(52 7.9454684),(53 7.8450575),(54 7.860055),(55 7.8629723),
(1 3.2959943),(2 5.644486),(3 7.124705),(4 7.338128),(5 7.56525),(6 7.397554),(7 7.8212156),(8 7.7048945),(9 8.012212),(10 7.541395),(11 7.0875907),(12 6.554779),(13 6.527519),(14 6.7291436),(15 6.9449196),(16 6.8845406),(17 6.686655),(18 6.77261),(19 6.905946),(20 7.3944836),(21 7.402432),(22 7.1475267),(23 7.2385235),(24 7.029097),(25 7.161838),(26 6.794908),(27 6.8781347),(28 6.6215773),(29 6.801383),(30 6.9412937),(31 7.121975),(32 7.046364),(33 7.2466865),(34 6.8618717),(35 7.4935718),(36 7.2348967),(37 7.2288165),(38 7.2652884),(39 7.404013),(40 7.4326396),(41 7.3695645),(42 7.0722127),(43 7.0083547),(44 6.892209),(45 7.0820417),(46 6.9755015),(47 7.278121),(48 7.479505),(49 7.522664),(50 7.579195),(51 7.5092545),(52 7.038636),(53 7.131631),(54 6.981661),(55 6.985693),
(1 2.9793684),(2 4.962462),(3 6.6427593),(4 6.740554),(5 7.304452),(6 7.063425),(7 7.3102283),(8 7.2881794),(9 7.320989),(10 6.915484),(11 6.5407743),(12 6.427786),(13 6.577031),(14 6.564361),(15 6.4777303),(16 6.191714),(17 6.3917975),(18 6.3650355),(19 6.435728),(20 6.8102655),(21 6.84283),(22 6.6045017),(23 6.6569133),(24 6.5191455),(25 6.660565),(26 6.4372253),(27 6.5367794),(28 6.2747707),(29 6.4423914),(30 6.41511),(31 6.542237),(32 6.3276696),(33 6.499373),(34 6.1782284),(35 6.726181),(36 6.6379747),(37 6.5033464),(38 6.4264965),(39 6.752413),(40 6.6855335),(41 6.6541305),(42 6.5657897),(43 6.5061893),(44 6.288541),(45 6.2944),(46 6.2417135),(47 6.4648104),(48 6.4936748),(49 6.686291),(50 6.8223677),(51 6.770421),(52 6.4293995),(53 6.515829),(54 6.5699596),(55 6.572992),
(1 3.1818256),(2 5.217764),(3 6.7262235),(4 6.6395755),(5 7.218686),(6 6.9282203),(7 6.938674),(8 6.6355495),(9 6.5413637),(10 6.041882),(11 5.7766786),(12 5.914487),(13 6.0353613),(14 5.8850675),(15 5.779703),(16 5.8495297),(17 6.143628),(18 6.062178),(19 5.9349875),(20 6.3383927),(21 6.4143195),(22 6.3983107),(23 6.4495134),(24 6.0561957),(25 6.338847),(26 6.1779723),(27 6.432638),(28 6.2861547),(29 6.3895807),(30 6.3711395),(31 6.52813),(32 6.3704896),(33 6.2780085),(34 6.0209045),(35 6.6168303),(36 6.465472),(37 6.238361),(38 6.1118045),(39 6.1651616),(40 6.1147537),(41 6.3371844),(42 6.1882997),(43 6.256175),(44 6.1864786),(45 6.4031787),(46 6.2073197),(47 6.300575),(48 6.341468),(49 6.3586864),(50 6.3837256),(51 6.2894506),(52 6.189868),(53 6.252328),(54 6.3208337),(55 6.323659),
