1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,
(1 1.082168),(2 1.7308058),(3 1.965084),(4 1.8224372),(5 2.0711343),(6 2.087563),(7 2.0820389),(8 1.759363),(9 1.7284673),(10 1.6902385),(11 1.6737788),(12 1.6651925),(13 1.6930804),(14 1.7896599),(15 1.8113456),(16 1.7352026),(17 1.8154655),(18 1.8076735),(19 1.8480885),(20 1.9616588),(21 2.0076137),(22 1.9661146),(23 1.9763389),(24 1.9264319),(25 2.0030036),(26 1.9283805),(27 1.9479758),(28 1.8636141),(29 1.8620527),(30 1.7642534),(31 1.7946765),(32 1.7828857),(33 1.8339938),(34 1.7629056),(35 1.944027),(36 1.867566),(37 1.8425316),(38 1.8552494),(39 1.9410381),(40 1.8731602),(41 1.8919325),(42 1.8218695),(43 1.8951616),(44 1.8821001),(45 1.8615919),(46 1.8430803),(47 1.916116),(48 1.8756461),(49 1.8794647),(50 1.850501),(51 1.8646654),(52 1.8687165),(53 1.8942689),(54 1.8835843),(55 1.8834968),
(1 0.9382429),(2 1.4401324),(3 1.5804371),(4 1.435592),(5 1.6880705),(6 1.5712618),(7 1.4967252),(8 1.3146553),(9 1.3804253),(10 1.3852422),(11 1.3839226),(12 1.4362111),(13 1.4901758),(14 1.5209063),(15 1.5288973),(16 1.4685575),(17 1.5023748),(18 1.5191132),(19 1.5420549),(20 1.6037736),(21 1.6269115),(22 1.5898068),(23 1.6103761),(24 1.5537362),(25 1.6047133),(26 1.5334171),(27 1.5316664),(28 1.5115925),(29 1.5164238),(30 1.5060475),(31 1.5583727),(32 1.5464616),(33 1.5406133),(34 1.5193764),(35 1.614737),(36 1.5837982),(37 1.629824),(38 1.6070466),(39 1.6625955),(40 1.5995342),(41 1.580595),(42 1.5227332),(43 1.5657854),(44 1.5792414),(45 1.5289755),(46 1.4846361),(47 1.4950345),(48 1.5179938),(49 1.5552986),(50 1.5157573),(51 1.4908025),(52 1.4389985),(53 1.4864573),(54 1.5034882),(55 1.5033768),
(1 0.7410086),(2 1.1786001),(3 1.2170486),(4 1.1806556),(5 1.4049839),(6 1.1720513),(7 1.0985998),(8 1.0282191),(9 1.1448773),(10 1.0852073),(11 1.0430893),(12 1.1220796),(13 1.1385404),(14 1.130345),(15 1.174401),(16 1.2097013),(17 1.2039036),(18 1.2104285),(19 1.1877576),(20 1.2211123),(21 1.2342072),(22 1.2101126),(23 1.2348326),(24 1.1912559),(25 1.1891935),(26 1.1806626),(27 1.2645913),(28 1.2776245),(29 1.2515277),(30 1.2472142),(31 1.2237492),(32 1.1814735),(33 1.1649929),(34 1.1588297),(35 1.2963501),(36 1.2618997),(37 1.3193535),(38 1.2900429),(39 1.3051261),(40 1.2526674),(41 1.2357774),(42 1.1646374),(43 1.1575853),(44 1.1782637),(45 1.2362757),(46 1.2104651),(47 1.2057608),(48 1.1634684),(49 1.152311),(50 1.1607442),(51 1.18245),(52 1.1534843),(53 1.1533208),(54 1.1436989),(55 1.1435965),
(1 0.59467036),(2 0.9697661),(3 0.9823023),(4 1.0282723),(5 1.1215494),(6 0.86388904),(7 0.83357364),(8 0.8407201),(9 0.92368704),(10 0.8809034),(11 0.9304097),(12 0.9292707),(13 0.8887002),(14 0.8749269),(15 0.8751819),(16 0.9165095),(17 0.9596423),(18 0.96480834),(19 0.95093906),(20 0.9898653),(21 1.0082257),(22 0.9873154),(23 1.0270989),(24 1.012855),(25 1.015252),(26 0.9619727),(27 0.96179897),(28 0.98748094),(29 0.99250174),(30 0.97524494),(31 0.96885103),(32 0.91545343),(33 0.89998823),(34 0.88950807),(35 1.0001799),(36 0.9965952),(37 1.0229923),(38 1.0135013),(39 1.0526427),(40 0.997915),(41 0.9691444),(42 0.9336743),(43 0.97213125),(44 0.9866309),(45 0.9888434),(46 0.9617746),(47 0.9356329),(48 0.913961),(49 0.9564451),(50 0.98111874),(51 0.9890294),(52 0.93994564),(53 0.9324449),(54 0.93300426),(55 0.9332175),
(1 0.5074405),(2 0.7691635),(3 0.7347013),(4 0.78751004),(5 0.86084014),(6 0.662591),(7 0.6652991),(8 0.68309593),(9 0.7018308),(10 0.72003776),(11 0.7675575),(12 0.71650606),(13 0.72818476),(14 0.7074366),(15 0.7170812),(16 0.74716747),(17 0.73998696),(18 0.77345365),(19 0.7527641),(20 0.7928119),(21 0.8052178),(22 0.7502866),(23 0.80193496),(24 0.7819217),(25 0.77788746),(26 0.76008207),(27 0.7764611),(28 0.7990071),(29 0.8047118),(30 0.7602463),(31 0.7668276),(32 0.7537527),(33 0.7871154),(34 0.75691783),(35 0.84093386),(36 0.8287322),(37 0.82795125),(38 0.8408917),(39 0.81979996),(40 0.75471073),(41 0.7915348),(42 0.8082796),(43 0.81727266),(44 0.800232),(45 0.78016007),(46 0.76177615),(47 0.79034346),(48 0.78902566),(49 0.78217244),(50 0.79869384),(51 0.8069718),(52 0.7731415),(53 0.7612057),(54 0.76591396),(55 0.7664415),
(1 0.45214787),(2 0.6276683),(3 0.5768538),(4 0.63479507),(5 0.65973085),(6 0.52279884),(7 0.5493514),(8 0.5614978),(9 0.5803406),(10 0.5959052),(11 0.59906113),(12 0.5848184),(13 0.6111066),(14 0.57345355),(15 0.5970302),(16 0.5814246),(17 0.60308313),(18 0.60474133),(19 0.6072323),(20 0.64665717),(21 0.66631603),(22 0.6434508),(23 0.67471427),(24 0.64894044),(25 0.6493135),(26 0.6351183),(27 0.6417944),(28 0.6337638),(29 0.6281083),(30 0.6074898),(31 0.6442307),(32 0.6270898),(33 0.6492703),(34 0.62437195),(35 0.68631846),(36 0.6681851),(37 0.68800145),(38 0.6855502),(39 0.69798666),(40 0.67742324),(41 0.66003495),(42 0.65397257),(43 0.6667948),(44 0.65255636),(45 0.6509543),(46 0.64161545),(47 0.6518034),(48 0.63565636),(49 0.627124),(50 0.6222999),(51 0.6320593),(52 0.624309),(53 0.6286322),(54 0.6327942),(55 0.6329934),
(1 0.34285238),(2 0.48021546),(3 0.4500821),(4 0.49081916),(5 0.5033057),(6 0.4299323),(7 0.46240452),(8 0.44328615),(9 0.4746746),(10 0.48963624),(11 0.4823243),(12 0.4922904),(13 0.49301407),(14 0.4902985),(15 0.48772413),(16 0.48369202),(17 0.48362088),(18 0.489878),(19 0.504318),(20 0.5068682),(21 0.53633964),(22 0.5251478),(23 0.5432954),(24 0.54372627),(25 0.53036964),(26 0.5068054),(27 0.5257302),(28 0.50535893),(29 0.52830976),(30 0.5054175),(31 0.5263996),(32 0.5133727),(33 0.52024984),(34 0.5167163),(35 0.55294347),(36 0.55204195),(37 0.57139426),(38 0.56492937),(39 0.5790083),(40 0.5478108),(41 0.54606974),(42 0.5235356),(43 0.5373541),(44 0.5248064),(45 0.53655374),(46 0.52220654),(47 0.53056914),(48 0.51910245),(49 0.5110925),(50 0.5131688),(51 0.5235372),(52 0.5072664),(53 0.5084995),(54 0.5105805),(55 0.5106067),
(1 0.31232265),(2 0.39991203),(3 0.3717158),(4 0.38602835),(5 0.38216817),(6 0.3510102),(7 0.3806195),(8 0.34492365),(9 0.39468658),(10 0.3895445),(11 0.3751682),(12 0.37663332),(13 0.37225524),(14 0.3820364),(15 0.38936943),(16 0.4135358),(17 0.40512562),(18 0.4192858),(19 0.42405346),(20 0.46061307),(21 0.45176023),(22 0.44811785),(23 0.44255447),(24 0.443575),(25 0.43543255),(26 0.41495758),(27 0.4432236),(28 0.43820265),(29 0.43633977),(30 0.4272488),(31 0.43634495),(32 0.4407554),(33 0.4502435),(34 0.43963578),(35 0.47149467),(36 0.4513969),(37 0.47807586),(38 0.46319073),(39 0.48340735),(40 0.46753904),(41 0.46036506),(42 0.4392355),(43 0.4378564),(44 0.4275002),(45 0.45440623),(46 0.4494528),(47 0.4476084),(48 0.431477),(49 0.4179631),(50 0.4394282),(51 0.44462806),(52 0.4105305),(53 0.41426364),(54 0.42418286),(55 0.42395923),
(1 0.25520504),(2 0.31918627),(3 0.3003277),(4 0.30143037),(5 0.31036517),(6 0.29678658),(7 0.30196187),(8 0.2889098),(9 0.32018164),(10 0.30962634),(11 0.3091826),(12 0.3044758),(13 0.3003218),(14 0.2921512),(15 0.31406164),(16 0.32270113),(17 0.33984444),(18 0.3387283),(19 0.3454628),(20 0.3587958),(21 0.37799713),(22 0.35001916),(23 0.3723651),(24 0.35076302),(25 0.3623848),(26 0.34459358),(27 0.35531998),(28 0.34835592),(29 0.34445623),(30 0.3463293),(31 0.34731263),(32 0.34749797),(33 0.35820505),(34 0.34991845),(35 0.38851696),(36 0.37150705),(37 0.39147335),(38 0.38001132),(39 0.3819172),(40 0.37461957),(41 0.36672655),(42 0.3540982),(43 0.35792914),(44 0.3525),(45 0.35878152),(46 0.34145728),(47 0.35239488),(48 0.3526968),(49 0.3258838),(50 0.33574268),(51 0.3427514),(52 0.33677584),(53 0.33416915),(54 0.33006585),(55 0.33042157),
(1 0.22916637),(2 0.2511726),(3 0.25013468),(4 0.24025011),(5 0.2591833),(6 0.24335746),(7 0.2460513),(8 0.25853595),(9 0.2731568),(10 0.2670598),(11 0.25938892),(12 0.26549393),(13 0.26372117),(14 0.26413855),(15 0.27614197),(16 0.28735945),(17 0.29131788),(18 0.30233103),(19 0.29452053),(20 0.316347),(21 0.32638797),(22 0.30054584),(23 0.32004708),(24 0.3027086),(25 0.31181276),(26 0.29935598),(27 0.30383903),(28 0.310324),(29 0.2969587),(30 0.298877),(31 0.29605797),(32 0.29499277),(33 0.3073526),(34 0.29710823),(35 0.34171224),(36 0.32250515),(37 0.33800617),(38 0.32267386),(39 0.3284317),(40 0.31815878),(41 0.3289503),(42 0.31210575),(43 0.3127417),(44 0.31414384),(45 0.31506988),(46 0.2959241),(47 0.30239138),(48 0.30132118),(49 0.30022871),(50 0.29268667),(51 0.28971857),(52 0.29308513),(53 0.29434276),(54 0.29040676),(55 0.29040185),
