1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 1.198046),(2 2.95355),(3 5.63914),(4 8.736124),(5 12.124172),(6 14.95787),(7 18.49947),(8 21.826717),(9 24.419632),(10 26.206202),(11 28.03283),(12 30.186169),(13 31.412222),(14 32.913246),(15 34.408657),(16 35.56235),(17 36.445236),(18 36.6596),(19 36.015312),(20 35.451332),(21 34.970524),(22 34.788754),(23 34.591602),(24 34.358406),(25 34.44248),(26 34.787453),(27 35.187206),(28 35.902657),(29 36.572548),(30 36.79151),(31 37.68282),(32 38.160767),(33 38.51511),(34 39.22115),(35 40.045708),(36 40.267284),(37 40.99076),(38 41.047672),(39 41.86335),(40 42.18181),(41 42.537006),(42 42.691296),(43 42.82569),(44 42.9186),(45 43.17688),(46 42.81035),(47 42.736275),(48 42.93961),(49 43.08802),(50 43.295113),(51 43.691685),(52 44.11989),(53 44.707195),(54 45.269955),(55 45.267773),
(1 1.5803478),(2 3.4472876),(3 5.919152),(4 8.227343),(5 10.77077),(6 12.6286545),(7 14.224086),(8 15.853313),(9 17.32486),(10 18.23467),(11 18.999203),(12 19.921326),(13 20.20791),(14 20.618155),(15 20.711876),(16 20.937828),(17 21.178398),(18 21.41962),(19 21.113337),(20 21.192259),(21 21.368778),(22 21.28725),(23 21.21961),(24 21.047935),(25 21.149746),(26 21.373486),(27 21.70201),(28 21.827967),(29 22.051802),(30 21.921053),(31 22.106546),(32 21.925838),(33 21.63915),(34 21.19967),(35 21.478558),(36 21.614698),(37 22.19081),(38 22.433455),(39 22.754665),(40 22.67724),(41 22.888033),(42 22.991617),(43 23.098),(44 23.425451),(45 23.776882),(46 23.459635),(47 23.537792),(48 23.631865),(49 23.830675),(50 24.240196),(51 24.62155),(52 24.908659),(53 25.452353),(54 25.467073),(55 25.465738),
(1 1.4317621),(2 2.6818583),(3 4.1829057),(4 5.1961),(5 6.139673),(6 6.858921),(7 7.612941),(8 7.8136783),(9 8.135572),(10 8.297914),(11 8.487222),(12 8.550063),(13 8.632208),(14 8.686398),(15 8.566885),(16 8.649348),(17 8.766461),(18 8.80927),(19 8.8485565),(20 9.038619),(21 9.139048),(22 9.138345),(23 9.427583),(24 9.450427),(25 9.331039),(26 9.2705),(27 9.585709),(28 9.485595),(29 9.410424),(30 9.237932),(31 9.444557),(32 9.508299),(33 9.557293),(34 9.434248),(35 9.731624),(36 9.850508),(37 10.103369),(38 10.066861),(39 10.144632),(40 9.9486475),(41 9.713026),(42 9.593122),(43 9.665705),(44 9.472558),(45 9.354266),(46 9.200389),(47 9.307112),(48 9.313943),(49 9.174756),(50 9.202383),(51 9.315687),(52 9.139913),(53 9.137132),(54 9.038288),(55 9.039642),
(1 1.576986),(2 2.6603484),(3 3.891229),(4 4.7489433),(5 5.253436),(6 5.5504456),(7 6.011394),(8 5.8846083),(9 5.941),(10 5.930138),(11 5.9452014),(12 5.9163957),(13 6.0268965),(14 6.0657253),(15 6.161303),(16 6.220827),(17 6.2910533),(18 6.3307214),(19 6.3158803),(20 6.3697762),(21 6.2806344),(22 6.2528305),(23 6.323415),(24 6.3382325),(25 6.3875675),(26 6.1672993),(27 6.206997),(28 6.067627),(29 6.1778946),(30 5.988537),(31 6.074649),(32 5.9174466),(33 5.9970264),(34 5.892361),(35 6.134406),(36 6.1581416),(37 6.2056217),(38 6.1719475),(39 6.254725),(40 6.09668),(41 6.044095),(42 5.945851),(43 5.9780087),(44 5.973476),(45 6.046586),(46 6.0141773),(47 6.177621),(48 6.1638994),(49 6.228916),(50 6.4161186),(51 6.545364),(52 6.4494004),(53 6.5620008),(54 6.4759893),(55 6.4761505),
(1 1.5054435),(2 2.4546099),(3 3.4127724),(4 3.917204),(5 4.329318),(6 4.349159),(7 4.634765),(8 4.4507427),(9 4.61521),(10 4.5831127),(11 4.569822),(12 4.4563346),(13 4.436795),(14 4.4154224),(15 4.38304),(16 4.3576746),(17 4.3552694),(18 4.2627993),(19 4.3144135),(20 4.4673448),(21 4.472566),(22 4.3444552),(23 4.418866),(24 4.404885),(25 4.4492984),(26 4.35111),(27 4.5007105),(28 4.438256),(29 4.527924),(30 4.364938),(31 4.441077),(32 4.3825297),(33 4.424514),(34 4.30492),(35 4.567649),(36 4.563906),(37 4.627203),(38 4.610895),(39 4.6748843),(40 4.6251216),(41 4.618739),(42 4.548054),(43 4.595383),(44 4.5609),(45 4.688302),(46 4.6911345),(47 4.8235016),(48 4.904872),(49 4.9193687),(50 4.9669533),(51 5.0042872),(52 4.8074737),(53 4.777255),(54 4.740927),(55 4.7415023),
(1 1.0371454),(2 1.7731359),(3 2.397529),(4 2.5875711),(5 2.8092844),(6 2.778581),(7 2.8954933),(8 2.8324492),(9 2.8373427),(10 2.790114),(11 2.6893325),(12 2.6547463),(13 2.6431572),(14 2.626232),(15 2.657604),(16 2.6573243),(17 2.7654424),(18 2.70609),(19 2.6810842),(20 2.7966044),(21 2.866103),(22 2.7734177),(23 2.7818441),(24 2.7712471),(25 2.7738864),(26 2.6792994),(27 2.7119968),(28 2.587249),(29 2.6269634),(30 2.573529),(31 2.6406446),(32 2.5713222),(33 2.5548837),(34 2.5172837),(35 2.7277699),(36 2.7703753),(37 2.832039),(38 2.8428957),(39 2.9375346),(40 2.8911467),(41 2.8743093),(42 2.8288677),(43 2.8766403),(44 2.849119),(45 2.8697078),(46 2.8446386),(47 2.875643),(48 2.8032596),(49 2.7831798),(50 2.8200023),(51 2.8419943),(52 2.7823124),(53 2.8356495),(54 2.7848277),(55 2.7850327),
(1 1.0562587),(2 1.7017484),(3 2.1813142),(4 2.1948867),(5 2.4232135),(6 2.3493962),(7 2.4593031),(8 2.3512855),(9 2.300658),(10 2.2026875),(11 2.1976664),(12 2.2284582),(13 2.2384171),(14 2.1999633),(15 2.2601557),(16 2.2336268),(17 2.2496324),(18 2.2287467),(19 2.2330735),(20 2.3570902),(21 2.3743038),(22 2.2971678),(23 2.3382425),(24 2.3267272),(25 2.364041),(26 2.3029609),(27 2.3561254),(28 2.292443),(29 2.3432355),(30 2.2981195),(31 2.357802),(32 2.3123956),(33 2.3608017),(34 2.2681913),(35 2.420117),(36 2.4177618),(37 2.4137495),(38 2.3781),(39 2.4193141),(40 2.3874),(41 2.3576758),(42 2.3162389),(43 2.3622327),(44 2.3741143),(45 2.4562774),(46 2.399972),(47 2.4414837),(48 2.4009871),(49 2.409571),(50 2.4437962),(51 2.434931),(52 2.3775587),(53 2.3829408),(54 2.3903346),(55 2.390552),
(1 0.911513),(2 1.501264),(3 1.8244703),(4 1.7295482),(5 1.9289261),(6 1.8721634),(7 1.9126396),(8 1.7707099),(9 1.6984905),(10 1.6350045),(11 1.6536888),(12 1.6838017),(13 1.7211893),(14 1.7327902),(15 1.7537997),(16 1.7111416),(17 1.7567191),(18 1.7529022),(19 1.7464556),(20 1.8502944),(21 1.8645138),(22 1.8219079),(23 1.8417752),(24 1.8139476),(25 1.8302823),(26 1.7869024),(27 1.8479371),(28 1.817823),(29 1.837176),(30 1.7859204),(31 1.8034106),(32 1.7691927),(33 1.775549),(34 1.7236767),(35 1.8625191),(36 1.8450927),(37 1.8558639),(38 1.8343207),(39 1.8914818),(40 1.8779533),(41 1.8999566),(42 1.8819892),(43 1.9131942),(44 1.9041066),(45 1.8926921),(46 1.8558066),(47 1.8817089),(48 1.8424609),(49 1.8325695),(50 1.8382788),(51 1.8329412),(52 1.821493),(53 1.8762133),(54 1.8855482),(55 1.8859221),
(1 0.76863855),(2 1.2513098),(3 1.4529958),(4 1.3475581),(5 1.5657407),(6 1.5280946),(7 1.5085903),(8 1.3074939),(9 1.2897451),(10 1.2760723),(11 1.285712),(12 1.308313),(13 1.3439708),(14 1.3631876),(15 1.3704592),(16 1.3401188),(17 1.361803),(18 1.354062),(19 1.3522537),(20 1.4237013),(21 1.4441066),(22 1.3891627),(23 1.418167),(24 1.4023153),(25 1.415591),(26 1.3795363),(27 1.4245788),(28 1.4174397),(29 1.4398646),(30 1.3947667),(31 1.433733),(32 1.4052595),(33 1.4208392),(34 1.3685515),(35 1.457654),(36 1.459353),(37 1.4573808),(38 1.4498442),(39 1.5128103),(40 1.4902966),(41 1.4509352),(42 1.415523),(43 1.4580381),(44 1.439681),(45 1.4512852),(46 1.4395906),(47 1.4707313),(48 1.4396166),(49 1.4233496),(50 1.4242082),(51 1.4376827),(52 1.4139675),(53 1.43993),(54 1.4419252),(55 1.4418068),
(1 0.62970585),(2 1.0015559),(3 1.1091106),(4 1.0489744),(5 1.2248833),(6 1.1245688),(7 1.0756985),(8 0.94694626),(9 0.9769528),(10 0.965225),(11 0.981503),(12 1.0116081),(13 1.0154334),(14 1.0219734),(15 1.0429666),(16 1.0296031),(17 1.0188577),(18 1.006066),(19 1.0174699),(20 1.0621808),(21 1.0896316),(22 1.080811),(23 1.1148536),(24 1.0949811),(25 1.1173086),(26 1.078062),(27 1.100873),(28 1.0815508),(29 1.0821034),(30 1.0523914),(31 1.0733912),(32 1.0662593),(33 1.0986587),(34 1.0599887),(35 1.1486918),(36 1.12809),(37 1.1140559),(38 1.1088951),(39 1.1314018),(40 1.0925703),(41 1.0960205),(42 1.0838196),(43 1.1131359),(44 1.1268644),(45 1.1591604),(46 1.1280485),(47 1.1316242),(48 1.0995567),(49 1.1055351),(50 1.1184847),(51 1.1224277),(52 1.0969208),(53 1.1070495),(54 1.1160179),(55 1.1163357),
(1 0.4609461),(2 0.73950905),(3 0.78292406),(4 0.7736794),(5 0.88493896),(6 0.7556485),(7 0.72071743),(8 0.6830205),(9 0.71170783),(10 0.6985866),(11 0.7232895),(12 0.72879595),(13 0.75530976),(14 0.73656374),(15 0.7357084),(16 0.728989),(17 0.7265076),(18 0.73147506),(19 0.73777354),(20 0.77788544),(21 0.78963023),(22 0.7747271),(23 0.81414163),(24 0.7844172),(25 0.7687153),(26 0.738729),(27 0.76715606),(28 0.7871054),(29 0.79488915),(30 0.80014884),(31 0.80915433),(32 0.76741344),(33 0.76580244),(34 0.7447164),(35 0.80089015),(36 0.79241407),(37 0.81488913),(38 0.8071343),(39 0.8161046),(40 0.8083341),(41 0.83508575),(42 0.816296),(43 0.81328857),(44 0.8023107),(45 0.81876767),(46 0.80915976),(47 0.8152794),(48 0.8077242),(49 0.7954029),(50 0.78807575),(51 0.8035315),(52 0.7923086),(53 0.78750753),(54 0.7877722),(55 0.78782594),
