1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4011.219),(2 10368.887),(3 14599.732),(4 16285.138),(5 16700.06),(6 16742.867),(7 17090.904),(8 17225.76),(9 16866.746),(10 16701.854),(11 16803.56),(12 16937.81),(13 16865.082),(14 16875.123),(15 17157.955),(16 17542.533),(17 17920.049),(18 18345.766),(19 18444.908),(20 18396.273),(21 18213.697),(22 18064.113),(23 18062.516),(24 17932.256),(25 17663.291),(26 17579.8),(27 17690.96),(28 17709.414),(29 17816.26),(30 17838.318),(31 17886.227),(32 17882.451),(33 17831.402),(34 17517.66),(35 17506.326),(36 17690.768),(37 17868.531),(38 17808.432),(39 17835.047),(40 17826.662),(41 17737.758),(42 17704.055),(43 17663.066),(44 17689.229),(45 17833.6),(46 18129.568),(47 18078.066),(48 18097.398),(49 18234.865),(50 18404.709),(51 18747.252),(52 18698.219),(53 18404.982),(54 18177.496),(55 17956.346),(56 17888.885),(57 18032.072),(58 18249.266),(59 18414.598),(60 18386.715),(61 18133.893),(62 17959.572),(63 17898.572),(64 17757.572),(65 17554.389),(66 17578.932),(67 17764.965),(68 18032.662),(69 18116.951),(70 18159.27),(71 18185.055),(72 18144.8),(73 18164.22),(74 18115.332),(75 18027.92),(76 17908.803),(77 17766.742),(78 17918.023),(79 18136.586),
(1 4099.256),(2 10576.205),(3 14635.688),(4 15836.253),(5 15774.933),(6 15644.782),(7 15779.455),(8 16003.111),(9 16368.309),(10 16624.098),(11 16508.016),(12 16294.816),(13 15997.432),(14 16121.659),(15 16486.682),(16 17009.424),(17 17439.717),(18 17764.44),(19 17829.848),(20 17881.332),(21 17875.512),(22 17895.207),(23 17921.531),(24 17761.555),(25 17677.346),(26 17684.3),(27 17797.686),(28 18090.143),(29 18168.621),(30 17994.564),(31 17730.232),(32 17473.068),(33 17642.367),(34 18041.023),(35 18230.076),(36 18192.297),(37 18236.41),(38 18017.041),(39 17768.537),(40 17695.672),(41 17827.361),(42 18059.236),(43 18319.377),(44 18503.41),(45 18315.537),(46 17912.32),(47 17716.412),(48 17918.707),(49 18182.572),(50 18183.223),(51 18113.898),(52 18190.504),(53 18034.69),(54 17928.537),(55 17890.621),(56 17968.941),(57 17907.227),(58 17679.986),(59 17709.148),(60 17933.822),(61 18146.127),(62 18215.809),(63 18434.66),(64 18512.113),(65 18481.947),(66 18683.098),(67 18963.115),(68 18981.21),(69 18661.102),(70 18412.764),(71 18275.451),(72 18153.857),(73 18061.104),(74 18247.71),(75 18499.742),(76 18557.057),(77 18282.135),(78 18046.879),(79 18071.93),
(1 3919.566),(2 10053.281),(3 14054.025),(4 15271.379),(5 15143.045),(6 14972.256),(7 15211.42),(8 15880.369),(9 16482.213),(10 17143.88),(11 17386.107),(12 17388.209),(13 17196.365),(14 17082.504),(15 17251.531),(16 17353.08),(17 17633.223),(18 17742.729),(19 17680.824),(20 17769.92),(21 17798.963),(22 17671.994),(23 17666.563),(24 17693.096),(25 17780.234),(26 18083.05),(27 18217.17),(28 18163.1),(29 17951.479),(30 17812.305),(31 17779.22),(32 17695.918),(33 17699.596),(34 17869.373),(35 18059.068),(36 18011.316),(37 17787.887),(38 17381.633),(39 16985.715),(40 16973.752),(41 17008.057),(42 17061.473),(43 17063.518),(44 16891.863),(45 16597.111),(46 16471.322),(47 16434.469),(48 16668.477),(49 16969.635),(50 17012.41),(51 16876.408),(52 16727.621),(53 16525.475),(54 16219.363),(55 16159.526),(56 16329.493),(57 16356.136),(58 16283.478),(59 16196.087),(60 16109.507),(61 16194.718),(62 16363.23),(63 16551.004),(64 16698.32),(65 16687.87),(66 16927.533),(67 17205.787),(68 17499.049),(69 17353.64),(70 17334.633),(71 17531.463),(72 17528.65),(73 17468.322),(74 17454.02),(75 17704.191),(76 17926.584),(77 17934.77),(78 17844.16),(79 17927.588),
(1 3825.2966),(2 9807.651),(3 13625.878),(4 14972.003),(5 14722.995),(6 14560.105),(7 14908.078),(8 15185.082),(9 15404.891),(10 15744.191),(11 15883.602),(12 15777.96),(13 15334.452),(14 14863.903),(15 14947.482),(16 15381.063),(17 15898.575),(18 16219.048),(19 16417.521),(20 16624.209),(21 16563.145),(22 16550.822),(23 16401.703),(24 16225.698),(25 16142.13),(26 16319.112),(27 16329.612),(28 16075.851),(29 15903.138),(30 15944.896),(31 16086.577),(32 16311.951),(33 16524.25),(34 16813.906),(35 17174.342),(36 17128.879),(37 16752.71),(38 16281.887),(39 16016.195),(40 16050.291),(41 15992.395),(42 15805.458),(43 15711.784),(44 16000.947),(45 16195.971),(46 16450.621),(47 16695.404),(48 16877.895),(49 16844.336),(50 16841.129),(51 16914.17),(52 17019.035),(53 16983.477),(54 16948.445),(55 16814.666),(56 16718.322),(57 16769.23),(58 16824.088),(59 16889.752),(60 16698.117),(61 16583.91),(62 16595.787),(63 16713.174),(64 16935.643),(65 16797.932),(66 16814.871),(67 16907.988),(68 16966.668),(69 16981.902),(70 17253.053),(71 17385.635),(72 17400.502),(73 17322.576),(74 17252.326),(75 17265.932),(76 17366.732),(77 17440.777),(78 17448.156),(79 17396.154),
(1 3836.9365),(2 9868.237),(3 13944.976),(4 15311.171),(5 15206.994),(6 15093.876),(7 15424.888),(8 16006.924),(9 16425.643),(10 16563.932),(11 16445.434),(12 16253.737),(13 16053.52),(14 15957.492),(15 16314.227),(16 16678.145),(17 16886.22),(18 17047.553),(19 17099.729),(20 17085.045),(21 16987.984),(22 16974.375),(23 16913.578),(24 16718.22),(25 16683.44),(26 17017.107),(27 17196.72),(28 16966.72),(29 16548.078),(30 16289.095),(31 16322.191),(32 16398.18),(33 16514.506),(34 16744.848),(35 17129.719),(36 17266.564),(37 16992.377),(38 16455.525),(39 15950.794),(40 15796.747),(41 15839.426),(42 15937.082),(43 16062.821),(44 16272.585),(45 16214.158),(46 16226.856),(47 16448.422),(48 16795.688),(49 16799.266),(50 16747.719),(51 16594.607),(52 16186.626),(53 16081.191),(54 16175.53),(55 16194.919),(56 16396.336),(57 16501.227),(58 16525.768),(59 16659.236),(60 16914.068),(61 16734.252),(62 16412.635),(63 16336.819),(64 16212.181),(65 16078.191),(66 16390.658),(67 16695.412),(68 16679.158),(69 16625.69),(70 16678.139),(71 16521.055),(72 16384.088),(73 16670.525),(74 16945.656),(75 17111.047),(76 17331.465),(77 17413.617),(78 17618.465),(79 18078.725),
(1 3747.598),(2 9372.563),(3 13036.614),(4 14419.274),(5 14464.71),(6 14481.107),(7 14779.332),(8 15212.851),(9 15839.429),(10 16208.442),(11 16138.823),(12 15672.7295),(13 15167.119),(14 14969.9795),(15 15499.655),(16 16074.582),(17 16292.147),(18 16358.068),(19 16313.526),(20 16279.676),(21 16307.978),(22 16492.012),(23 16388.871),(24 16045.04),(25 15863.503),(26 15834.529),(27 15821.626),(28 15867.217),(29 15835.666),(30 15798.621),(31 15723.747),(32 15690.696),(33 15794.643),(34 15989.452),(35 16114.192),(36 15806.959),(37 15483.929),(38 15192.724),(39 15423.308),(40 15656.666),(41 15927.357),(42 16171.835),(43 16097.406),(44 16085.338),(45 15913.437),(46 16141.45),(47 16236.439),(48 16306.937),(49 16381.2705),(50 16278.983),(51 16401.723),(52 16295.131),(53 16015.335),(54 15805.994),(55 15860.374),(56 16077.691),(57 16413.773),(58 16355.611),(59 16273.074),(60 16054.297),(61 15917.24),(62 15715.617),(63 15540.959),(64 15598.131),(65 15635.936),(66 15799.216),(67 15899.555),(68 15965.2295),(69 16176.449),(70 16232.143),(71 16175.195),(72 16180.173),(73 16434.084),(74 16497.705),(75 16711.729),(76 16845),(77 16948.912),(78 16816.514),(79 16709.738),
(1 3692.9885),(2 9163.8545),(3 12776.511),(4 14257.321),(5 14417.912),(6 14398.877),(7 14837.184),(8 15498.275),(9 16006.073),(10 16043.802),(11 15901.103),(12 15487.969),(13 15082.3),(14 15021.756),(15 15432.122),(16 15964.997),(17 16359.973),(18 16436.559),(19 16334.813),(20 16186.292),(21 15953.359),(22 15919.589),(23 15683.11),(24 15486.373),(25 15392.591),(26 15513.673),(27 15707.627),(28 15950.503),(29 15954.87),(30 15954.494),(31 16008.284),(32 16129.246),(33 16330.905),(34 16484.78),(35 16447.72),(36 16293.286),(37 16233.348),(38 16280.644),(39 16382.147),(40 16504.443),(41 16345.869),(42 16203.288),(43 16080.754),(44 16134.681),(45 16163.515),(46 16272.184),(47 16430.996),(48 16586.129),(49 16622.791),(50 16440.588),(51 16280.694),(52 16198.45),(53 16263.161),(54 16234.011),(55 16333.007),(56 16448.041),(57 16433.23),(58 16283.17),(59 16286.175),(60 16554.117),(61 16489.26),(62 16213.781),(63 16087.483),(64 16078.961),(65 16001.503),(66 16063.888),(67 16160.792),(68 16158.437),(69 16224.134),(70 16368.972),(71 16530.156),(72 16686.66),(73 16939.467),(74 16986.139),(75 16806.28),(76 16794.46),(77 16782.895),(78 16808.182),(79 16915.318),
(1 3716.9287),(2 9382.561),(3 12900.838),(4 13844.966),(5 13493.881),(6 13269.967),(7 13581.745),(8 14224.343),(9 14761.967),(10 14861.28),(11 14691.73),(12 14534.407),(13 14429.739),(14 14646.765),(15 15048.128),(16 15408.455),(17 15570.741),(18 15466.527),(19 15321.814),(20 15350.364),(21 15477.474),(22 15671.058),(23 15759.696),(24 15629.154),(25 15555.553),(26 15480.372),(27 15499.253),(28 15371.916),(29 15160.719),(30 15227.741),(31 15468.227),(32 15531.945),(33 15498.269),(34 15406.186),(35 15186.114),(36 14943.945),(37 14965.257),(38 15140.628),(39 15421.1875),(40 15559.172),(41 15453.911),(42 15345.472),(43 15268.584),(44 15209.027),(45 15216.259),(46 15394.299),(47 15492.884),(48 15381.942),(49 15440.011),(50 15346.516),(51 15232.488),(52 15254.523),(53 15387.123),(54 15489.819),(55 15731.985),(56 16000.3125),(57 15936.461),(58 15650.905),(59 15519.783),(60 15568.792),(61 15476.726),(62 15444.412),(63 15553.649),(64 15810.128),(65 15812.112),(66 15535.12),(67 15105.767),(68 15071.67),(69 15120.899),(70 15199.238),(71 15224.223),(72 15345.564),(73 15424.574),(74 15298.7),(75 15186.636),(76 15243.149),(77 15440.36),(78 15660.491),(79 15720.741),
(1 3443.7258),(2 8507.135),(3 11586.566),(4 12620.485),(5 12724.558),(6 12869.532),(7 13324.297),(8 13912.3545),(9 14297.305),(10 14250.015),(11 14101.125),(12 14063.496),(13 13970.019),(14 14021.914),(15 14262.784),(16 14500.418),(17 14427.886),(18 14442.011),(19 14462.567),(20 14619.051),(21 14833.231),(22 14927.001),(23 14799.664),(24 14590.001),(25 14413.995),(26 14449.587),(27 14551.78),(28 14550.222),(29 14494.856),(30 14430.218),(31 14567.992),(32 14850.113),(33 15165.212),(34 15286.102),(35 15265.676),(36 14975.44),(37 14673.05),(38 14540.195),(39 14458.036),(40 14505.411),(41 14492.964),(42 14455.511),(43 14446.362),(44 14439.544),(45 14345.751),(46 14456.372),(47 14650.66),(48 14701.44),(49 14689.526),(50 14552.211),(51 14542.839),(52 14752.292),(53 14894.847),(54 14909.878),(55 15104.855),(56 15260.312),(57 15251.238),(58 14997.954),(59 14763.116),(60 14761.341),(61 14796.323),(62 14743.737),(63 14861.819),(64 14920.539),(65 14885.833),(66 14934.383),(67 14835.965),(68 14790.255),(69 14745.089),(70 14627.859),(71 14563.621),(72 14617.941),(73 14800.199),(74 14912.255),(75 15100.185),(76 15060.315),(77 14808.194),(78 14744.93),(79 14666.458),
(1 3430.1653),(2 8378.794),(3 11439.48),(4 12664.22),(5 12791.432),(6 12999.986),(7 13467.717),(8 13620.526),(9 13634.698),(10 13665.786),(11 13629.201),(12 13615.601),(13 13456.322),(14 13672.869),(15 13943.708),(16 13873.336),(17 13880.928),(18 14098.955),(19 14189.167),(20 14254.458),(21 14448.847),(22 14474.335),(23 14213.6045),(24 13977.68),(25 13829.659),(26 13847.999),(27 14000.393),(28 14039.261),(29 14024.066),(30 13920.702),(31 13937.363),(32 14265.753),(33 14679.327),(34 14884.4),(35 14837.437),(36 14627.766),(37 14616.986),(38 14563.31),(39 14366.011),(40 14152.407),(41 14152.116),(42 14225.098),(43 14234.571),(44 14223.6),(45 14237.721),(46 14449.891),(47 14552.409),(48 14679.137),(49 14771.3545),(50 14627.738),(51 14494.511),(52 14375.3545),(53 14206.299),(54 14212.491),(55 14256.491),(56 14297.018),(57 14211.926),(58 14034.929),(59 13926.794),(60 13841.415),(61 13881.437),(62 13973.742),(63 14059.91),(64 14129.605),(65 13949.204),(66 13879.479),(67 13738.145),(68 13960.28),(69 14076.585),(70 13923.57),(71 13705.236),(72 13835.295),(73 13931.795),(74 13950.23),(75 14051.362),(76 14148.014),(77 14168.638),(78 14039.936),(79 13858.3545),
(1 3507.4648),(2 8560.095),(3 11583.417),(4 12691.88),(5 12670.2295),(6 12597.358),(7 12852.58),(8 13114.934),(9 13183.7),(10 13141.041),(11 13217.168),(12 13362.251),(13 13323.261),(14 13676.908),(15 13961.586),(16 13970.294),(17 14061.917),(18 14186.145),(19 14234.639),(20 14285.559),(21 14477.334),(22 14651.633),(23 14560.845),(24 14310.358),(25 14219.492),(26 14357.649),(27 14436.159),(28 14533.294),(29 14510.729),(30 14395.051),(31 14531.543),(32 14757.485),(33 14921.577),(34 14908.34),(35 14732.878),(36 14760.231),(37 14950.805),(38 14924.785),(39 14550.556),(40 14223.638),(41 14174.099),(42 14303.321),(43 14239.53),(44 14048.72),(45 13830.745),(46 13870.681),(47 14061.296),(48 14198.834),(49 14149.179),(50 13945.974),(51 13860.326),(52 13862.658),(53 13824.607),(54 13791.631),(55 13859.957),(56 14016.762),(57 13945.511),(58 13855.361),(59 13722.424),(60 13681.37),(61 13853.996),(62 14151.484),(63 14533.949),(64 14644.734),(65 14492.647),(66 14502.505),(67 14222.536),(68 14061.877),(69 13941.181),(70 13885.547),(71 13978.905),(72 14430.558),(73 14891.214),(74 15015.518),(75 14895.92),(76 14726.266),(77 14717.898),(78 14628.59),(79 14408.677),
(1 3288.8643),(2 8115.296),(3 11046.529),(4 11899.121),(5 11789.558),(6 11799.6875),(7 12060.089),(8 12315.388),(9 12488.832),(10 12608.429),(11 12874.017),(12 13219.378),(13 13519.113),(14 13679.242),(15 13729.888),(16 13642.67),(17 13524.08),(18 13537.56),(19 13714.291),(20 13879.216),(21 13874.174),(22 13809.688),(23 13645.205),(24 13408.884),(25 13344.533),(26 13513.334),(27 13478.774),(28 13365.325),(29 13499.2),(30 13801.003),(31 14060.839),(32 14174.316),(33 14104.139),(34 13757.28),(35 13342.947),(36 13278.132),(37 13572.401),(38 13767.126),(39 13693.783),(40 13553.938),(41 13483.94),(42 13670.236),(43 13700.153),(44 13700.211),(45 13809.408),(46 13862.2),(47 13756.161),(48 13586.617),(49 13415.944),(50 13303.08),(51 13381.368),(52 13516.684),(53 13601.01),(54 13786.987),(55 13832.554),(56 13784.454),(57 13678.2),(58 13419.222),(59 13206.658),(60 13118.074),(61 13258.056),(62 13425.67),(63 13497.642),(64 13457.913),(65 13503.569),(66 13767.764),(67 13786.664),(68 13934.276),(69 13918.696),(70 13811.514),(71 13755.117),(72 13927.615),(73 14331.425),(74 14562.854),(75 14486.858),(76 14198.774),(77 13971.681),(78 13969.801),(79 14085.632),
(1 3267.3152),(2 8005.911),(3 10702.082),(4 11399.103),(5 11232.369),(6 11249.789),(7 11636.963),(8 12050.453),(9 12229.238),(10 12203.874),(11 12078.041),(12 12116.943),(13 12414.567),(14 12747.524),(15 12937.9375),(16 12996.285),(17 12909.378),(18 12797.776),(19 12773.389),(20 12919.188),(21 12975.868),(22 12937.761),(23 12818.346),(24 12568.903),(25 12451.936),(26 12545.658),(27 12514.167),(28 12701.087),(29 13121.903),(30 13569.646),(31 13778.498),(32 13880.754),(33 13752.54),(34 13476.805),(35 13247.582),(36 13220.92),(37 13366.585),(38 13272.292),(39 13096.11),(40 13112.779),(41 13269.955),(42 13521.005),(43 13591.689),(44 13773.151),(45 13757.277),(46 13682.526),(47 13434.366),(48 13201.612),(49 13193.646),(50 13167.204),(51 13138.988),(52 13205.29),(53 13187.303),(54 13312.259),(55 13333.102),(56 13412.078),(57 13585.412),(58 13522.636),(59 13352.516),(60 13274.422),(61 13310.725),(62 13300.903),(63 13472.874),(64 13656.414),(65 13728.493),(66 13862.67),(67 13750.254),(68 13671.602),(69 13556.651),(70 13547.321),(71 13613.943),(72 13744.833),(73 13970.643),(74 14127.882),(75 14027.606),(76 13893.643),(77 13812.831),(78 13594.435),(79 13543.557),
(1 3213.6448),(2 7861.552),(3 10669.432),(4 11555.105),(5 11696.913),(6 11893.565),(7 11975.312),(8 11931.066),(9 11849.132),(10 11931.099),(11 12124.959),(12 12236.16),(13 12429.436),(14 12617.134),(15 12581.223),(16 12572.266),(17 12591.544),(18 12650.144),(19 12631.564),(20 12635.413),(21 12572.045),(22 12548.71),(23 12544.469),(24 12389.394),(25 12216.393),(26 12151.387),(27 12239.219),(28 12358.645),(29 12530.438),(30 12560.106),(31 12715.516),(32 12927.59),(33 12976.195),(34 12830.25),(35 12601.582),(36 12582.931),(37 12828.701),(38 12813.995),(39 12550.909),(40 12290.118),(41 12165.05),(42 12135.475),(43 12035.723),(44 12085.864),(45 12131.804),(46 12352.768),(47 12519.352),(48 12363.114),(49 12163.872),(50 12063.206),(51 12092.5205),(52 12182.405),(53 12203.079),(54 12294.849),(55 12133.0625),(56 12153.247),(57 12026.723),(58 12058.029),(59 12136.927),(60 12168.746),(61 12333.15),(62 12498.074),(63 12679.98),(64 12866.831),(65 12844.615),(66 12837.082),(67 12727.75),(68 12660.318),(69 12438.605),(70 12360.418),(71 12495.575),(72 12678.1),(73 12935.431),(74 13172.861),(75 13212.443),(76 13102.337),(77 13009.684),(78 12867.595),(79 12770.396),
(1 3125.091),(2 7616.8228),(3 10344.136),(4 11216.345),(5 11316.811),(6 11377.5625),(7 11475.396),(8 11535.364),(9 11507.702),(10 11484.048),(11 11507.051),(12 11626.899),(13 11802.327),(14 12191.162),(15 12280.327),(16 12044.572),(17 11926.094),(18 11765.031),(19 11751.284),(20 11964.112),(21 12135.645),(22 12194.825),(23 12041.684),(24 11810.798),(25 11707.19),(26 11762.768),(27 12024.751),(28 12150.136),(29 12234.676),(30 12344.868),(31 12356.628),(32 12379.362),(33 12343.609),(34 12356.345),(35 12359.372),(36 12443.897),(37 12510.454),(38 12415.052),(39 12151.306),(40 12056.56),(41 12046.761),(42 12108.178),(43 12086.8125),(44 12076.033),(45 12102.444),(46 12130.122),(47 12100.199),(48 12048.443),(49 11946.877),(50 11987.367),(51 12151.495),(52 12295.065),(53 12294.136),(54 12152.321),(55 11881.116),(56 11718.608),(57 11554.949),(58 11601.793),(59 11885.134),(60 12092.372),(61 12125.533),(62 12142.921),(63 12278.435),(64 12600.7705),(65 12713.527),(66 12669.761),(67 12545.393),(68 12545.756),(69 12504.694),(70 12419.963),(71 12502.86),(72 12602.742),(73 12759.263),(74 12932.431),(75 12923.709),(76 12945.838),(77 12851.364),(78 12732.769),(79 12713.181),
(1 3151.8135),(2 7622.0894),(3 10274.632),(4 10875.045),(5 10749.452),(6 10870.238),(7 11100.395),(8 11289.342),(9 11425.776),(10 11390.224),(11 11404.437),(12 11350.882),(13 11429.754),(14 11916.053),(15 12271.67),(16 12296.265),(17 11958.537),(18 11703.36),(19 11665.35),(20 11883.677),(21 12139.884),(22 12083.521),(23 11831.05),(24 11577.98),(25 11650.432),(26 11785.958),(27 12006.241),(28 12097.315),(29 12180.66),(30 12282.906),(31 12421.85),(32 12457.444),(33 12222.371),(34 12050.354),(35 12142.253),(36 12349.342),(37 12563.37),(38 12445.173),(39 12256.967),(40 12204.289),(41 12190.065),(42 12125.765),(43 12068.974),(44 12065.177),(45 12091.14),(46 12038.844),(47 12004.276),(48 11910.742),(49 11669.118),(50 11610.004),(51 11588.212),(52 11683.3),(53 11859.022),(54 11991.688),(55 11974.473),(56 11921.932),(57 11769.734),(58 11855.136),(59 12027.923),(60 12055.842),(61 11904.745),(62 11669.527),(63 11593.187),(64 11604.052),(65 11658.587),(66 11620.128),(67 11541.353),(68 11631.405),(69 11694.541),(70 11870.271),(71 11988.862),(72 12168.154),(73 12410.042),(74 12778.776),(75 12749.133),(76 12580.783),(77 12461.64),(78 12342.777),(79 12322.288),
(1 3088.7969),(2 7543.1025),(3 10178.165),(4 10720.751),(5 10374.162),(6 10340.995),(7 10663.343),(8 10866.546),(9 10946.4),(10 11101.221),(11 11167.759),(12 11150.075),(13 11160.9),(14 11349.224),(15 11693.702),(16 11759.217),(17 11568.339),(18 11397.294),(19 11363.498),(20 11698.383),(21 11960.165),(22 11939.234),(23 11664.957),(24 11573.332),(25 11705.68),(26 11972.248),(27 12146.058),(28 12102.692),(29 12002.804),(30 11970.212),(31 11914.609),(32 11865.288),(33 11625.271),(34 11485.24),(35 11584.397),(36 11643.502),(37 11706.515),(38 11616.74),(39 11571.368),(40 11576.244),(41 11517.1),(42 11441.6045),(43 11386.162),(44 11441.681),(45 11507.965),(46 11535.957),(47 11478.519),(48 11327.388),(49 11106.961),(50 11053.142),(51 11175.53),(52 11228.77),(53 11311.588),(54 11325.827),(55 11301.92),(56 11371.683),(57 11209.24),(58 11158.359),(59 11261.849),(60 11424.555),(61 11502.211),(62 11523.142),(63 11676.939),(64 11795.789),(65 11785.553),(66 11809.21),(67 11645.918),(68 11438.35),(69 11167.651),(70 11237.7705),(71 11560.835),(72 11870.469),(73 11956.288),(74 11957.03),(75 11971.91),(76 12019.221),(77 11950.83),(78 11830.103),(79 11830.44),
(1 2905.3657),(2 6910.3516),(3 9196.333),(4 9875.031),(5 9752.143),(6 9727.567),(7 9861.19),(8 10004.408),(9 10236.366),(10 10437.254),(11 10548.774),(12 10713.009),(13 10960.597),(14 11157.624),(15 11261.168),(16 11163.663),(17 11030.572),(18 11017.767),(19 11054.443),(20 11107.099),(21 11208.216),(22 11188.542),(23 11140.704),(24 11057.837),(25 11088.259),(26 11192.808),(27 11173.248),(28 11196.903),(29 11334.447),(30 11329.387),(31 11371.367),(32 11429.182),(33 11474.78),(34 11474.41),(35 11589.814),(36 11504.145),(37 11412.698),(38 11268.012),(39 11204.979),(40 11260.396),(41 11286.097),(42 11256.021),(43 11239.488),(44 11340.152),(45 11362.364),(46 11224.066),(47 10891.519),(48 10825.465),(49 10845.606),(50 11061.169),(51 11210.241),(52 11261.009),(53 11362.852),(54 11225.604),(55 11046.398),(56 11034.122),(57 11108.638),(58 11006.142),(59 10900.466),(60 10916.195),(61 10927.784),(62 10870.296),(63 10977.557),(64 11043.117),(65 11170.935),(66 11204.347),(67 11098.276),(68 11063.683),(69 11034.193),(70 11212.955),(71 11297.868),(72 11401.746),(73 11345.326),(74 11401.906),(75 11510.229),(76 11653.935),(77 11634.505),(78 11616.74),(79 11654.239),
