1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 904062.7),(2 3324676.8),(3 6957974),(4 11480961),(5 16551303),(6 21882934),(7 27315304),(8 33024010),(9 39238944),(10 45670540),(11 52433100),(12 59473216),(13 66808788),(14 73626904),(15 79668410),(16 84850340),(17 88800350),(18 92228900),(19 94871530),(20 96824190),(21 98347960),(22 99572220),(23 100721020),(24 101888190),(25 102996010),(26 104048060),(27 105464540),(28 107321050),(29 109365750),(30 111372470),(31 113650940),(32 115928200),(33 118209910),(34 120560390),(35 123177050),(36 126031336),(37 129259460),(38 132111000),(39 135395730),(40 139049800),(41 143624590),(42 149210180),(43 155633860),(44 162844880),(45 170518960),(46 177818700),(47 185492600),(48 194016300),(49 203498580),(50 213506880),(51 224396540),(52 235731970),(53 247402060),(54 258809390),(55 270254460),(56 280947300),(57 289459840),(58 297048300),(59 303675170),(60 309677950),(61 315261150),(62 320965120),(63 326652000),(64 332126560),(65 337269800),(66 341302700),(67 344788220),(68 348344700),(69 353247200),(70 357433000),(71 361582080),(72 364678940),(73 367089280),(74 369448350),(75 373570140),(76 378785630),(77 383946850),(78 389189340),(79 394850560),
(1 926769.2),(2 3538112.8),(3 7539910.5),(4 12507517),(5 18053892),(6 24046516),(7 30041894),(8 35997880),(9 41616396),(10 46863588),(11 52162936),(12 57200756),(13 62358536),(14 67530296),(15 72839540),(16 78309520),(17 83808184),(18 89617560),(19 96120030),(20 103381260),(21 111055336),(22 118870100),(23 126549970),(24 134285310),(25 142182620),(26 150274960),(27 158415700),(28 166770910),(29 175167460),(30 183739300),(31 192944800),(32 202042290),(33 211466850),(34 221171300),(35 231477020),(36 242749600),(37 254981840),(38 266745140),(39 277815200),(40 287922980),(41 297769540),(42 307931800),(43 318313730),(44 327579170),(45 335959360),(46 343633500),(47 350096740),(48 354163230),(49 356297380),(50 357046100),(51 357192860),(52 357167970),(53 357440420),(54 357161150),(55 356926720),(56 356693400),(57 356446880),(58 356278940),(59 356244300),(60 357304060),(61 359780960),(62 362990080),(63 365746500),(64 368098750),(65 370066780),(66 372221820),(67 374039300),(68 374564580),(69 375572600),(70 376640670),(71 378478980),(72 380645440),(73 382951840),(74 385380260),(75 387828740),(76 390296060),(77 392070340),(78 394219400),(79 396628580),
(1 946825),(2 3470380),(3 7209745.5),(4 11903755),(5 17259422),(6 22972848),(7 29088760),(8 35650412),(9 42426484),(10 49481100),(11 56898628),(12 64376080),(13 71887464),(14 79001290),(15 85850950),(16 92028936),(17 97321090),(18 102366690),(19 106749930),(20 110657944),(21 114264504),(22 117220216),(23 119627544),(24 121389410),(25 122714264),(26 123635290),(27 124098110),(28 124293030),(29 124660776),(30 125046400),(31 125543304),(32 125946216),(33 126757336),(34 127978940),(35 129601340),(36 131718440),(37 134219070),(38 136684030),(39 139601390),(40 142687680),(41 146069710),(42 149693630),(43 153565250),(44 157876850),(45 163078830),(46 169028450),(47 174951730),(48 180392640),(49 185385680),(50 189941460),(51 193907280),(52 197618540),(53 201355140),(54 204686770),(55 207575730),(56 209808140),(57 211993520),(58 213966160),(59 215961660),(60 218017840),(61 221223380),(62 225122260),(63 229497580),(64 234544660),(65 239382060),(66 244062600),(67 248519820),(68 252284620),(69 256032560),(70 259545650),(71 263494190),(72 268433780),(73 274327330),(74 280676830),(75 287749120),(76 294107300),(77 299710750),(78 305244770),(79 311023000),
(1 802830.75),(2 2971137),(3 6156563.5),(4 10083712),(5 14482203),(6 19022766),(7 23747512),(8 28598344),(9 33525170),(10 38539344),(11 43744532),(12 49025364),(13 54431650),(14 59906936),(15 65199104),(16 70203620),(17 74979240),(18 79617880),(19 84054150),(20 88167100),(21 91952130),(22 95380220),(23 98690820),(24 101809300),(25 104966180),(26 107871260),(27 110713180),(28 113391630),(29 116125570),(30 118873800),(31 122062504),(32 125700184),(33 129682590),(34 134048200),(35 138855200),(36 143843710),(37 149153800),(38 154222670),(39 159054430),(40 164569600),(41 171105820),(42 178005800),(43 185286720),(44 192443760),(45 200225570),(46 208265060),(47 216254290),(48 224194540),(49 231393860),(50 237536960),(51 242902750),(52 248205760),(53 253945090),(54 259995570),(55 265963920),(56 270623460),(57 273860450),(58 276338050),(59 279363330),(60 282416350),(61 285225470),(62 286932600),(63 287704130),(64 287498100),(65 286245380),(66 283942460),(67 280620540),(68 276464580),(69 271808130),(70 266837220),(71 261672560),(72 256467420),(73 250611860),(74 244334770),(75 237630750),(76 230472940),(77 223010220),(78 215815090),(79 208755280),
(1 838525.2),(2 3155057.5),(3 6621027.5),(4 10981565),(5 15973664),(6 21258024),(7 26636718),(8 32018850),(9 37476490),(10 42888170),(11 48185564),(12 53188710),(13 57965930),(14 62729572),(15 67262770),(16 71576920),(17 75571670),(18 79643780),(19 83738056),(20 87937940),(21 91951176),(22 95914310),(23 99736090),(24 103599800),(25 107551790),(26 111799580),(27 116083176),(28 120021064),(29 123548000),(30 126683320),(31 129804750),(32 133106900),(33 136233760),(34 138642200),(35 140624800),(36 141977280),(37 142957810),(38 143718600),(39 144016400),(40 144237970),(41 144592020),(42 144936260),(43 144960220),(44 144222740),(45 143104370),(46 141760030),(47 140171060),(48 138199740),(49 136163020),(50 134271250),(51 132582010),(52 131239304),(53 130176520),(54 129013170),(55 127999160),(56 127079400),(57 126234250),(58 125709020),(59 125541320),(60 125699400),(61 126484296),(62 127646620),(63 129191780),(64 130903460),(65 132630810),(66 134080280),(67 135141970),(68 135461230),(69 135294110),(70 134573660),(71 133450830),(72 132109240),(73 130375470),(74 128398750),(75 126425464),(76 124703720),(77 123407870),(78 122461800),(79 121765656),
(1 1073092.4),(2 4119843.3),(3 8868657),(4 14996176),(5 22270720),(6 30357748),(7 39082390),(8 48216536),(9 57569560),(10 66906590),(11 76269040),(12 85244270),(13 93884400),(14 101952260),(15 109396840),(16 116565940),(17 123538820),(18 130216940),(19 136438780),(20 142116910),(21 147010990),(22 151348270),(23 155033310),(24 157441940),(25 158692500),(26 159068720),(27 158567330),(28 157792050),(29 156569900),(30 155065950),(31 153386190),(32 151748860),(33 149957220),(34 147937780),(35 145693280),(36 143229140),(37 140358420),(38 136705000),(39 132869016),(40 129199740),(41 125851460),(42 122531544),(43 119324720),(44 116436440),(45 114072880),(46 112238700),(47 111139304),(48 110933760),(49 111214260),(50 111985280),(51 113261670),(52 114797180),(53 116671500),(54 118303576),(55 119958870),(56 121614380),(57 123312490),(58 125021870),(59 126572310),(60 128076890),(61 129493970),(62 130526640),(63 131187176),(64 131056296),(65 130360270),(66 129563544),(67 128508160),(68 126795160),(69 124255720),(70 121245260),(71 117756184),(72 113997060),(73 110020504),(74 105844750),(75 101719470),(76 97866344),(77 94798696),(78 92439270),(79 90981544),
(1 1277481.1),(2 4835634),(3 10280349),(4 17268814),(5 25494402),(6 34627560),(7 44772828),(8 55771036),(9 67274600),(10 78855210),(11 90622350),(12 102363140),(13 113639280),(14 124378860),(15 134516270),(16 143634560),(17 151700700),(18 158504140),(19 164471330),(20 169931620),(21 174620220),(22 178169150),(23 180547740),(24 181766050),(25 181862900),(26 180950780),(27 179029390),(28 176255600),(29 172409570),(30 167500800),(31 161807500),(32 155492830),(33 148839060),(34 141960780),(35 135162270),(36 128608420),(37 122116824),(38 115663320),(39 109804160),(40 104753800),(41 100472744),(42 97058560),(43 94528470),(44 92487640),(45 91132150),(46 90831240),(47 91631690),(48 93283300),(49 95781050),(50 98960310),(51 102895970),(52 107209670),(53 111471070),(54 115486856),(55 119293270),(56 122868010),(57 125813624),(58 128153560),(59 129959920),(60 131207380),(61 131507710),(62 130827760),(63 129516070),(64 127613304),(65 125363064),(66 123132320),(67 121263340),(68 119825660),(69 118660920),(70 117678470),(71 116852920),(72 115920000),(73 114565976),(74 113546240),(75 113087410),(76 113220056),(77 113531890),(78 114032110),(79 115081460),
(1 1539066.1),(2 5776367),(3 12166464),(4 20183210),(5 29200278),(6 39068680),(7 49297510),(8 59784020),(9 69979336),(10 79782696),(11 89053970),(12 97721500),(13 105674344),(14 112578660),(15 118072330),(16 122186000),(17 125224520),(18 127444550),(19 128655190),(20 128500550),(21 127282504),(22 124857450),(23 121501590),(24 117331896),(25 112669660),(26 107857240),(27 103215270),(28 99086380),(29 95599784),(30 92450490),(31 89568030),(32 87246510),(33 85708240),(34 84884070),(35 84460080),(36 84157920),(37 83661896),(38 83030630),(39 82096470),(40 81014150),(41 79903950),(42 78835304),(43 77719144),(44 76297910),(45 74601370),(46 72974880),(47 71552590),(48 70238980),(49 69229976),(50 68671610),(51 68455820),(52 68696680),(53 69815120),(54 71738730),(55 74378260),(56 77519000),(57 81231970),(58 85408340),(59 89447860),(60 93250060),(61 96598170),(62 99494504),(63 101607384),(64 102700440),(65 103203910),(66 103011000),(67 101765384),(68 99624960),(69 96838504),(70 93513010),(71 89707020),(72 85579690),(73 81257310),(74 76927050),(75 72724070),(76 68844856),(77 65366480),(78 62343800),(79 60135460),
(1 1086871.9),(2 4140536.5),(3 8833449),(4 14714958),(5 21228190),(6 28220894),(7 35172610),(8 41929350),(9 48096452),(10 53576516),(11 58467800),(12 62481260),(13 65737744),(14 68218300),(15 69774200),(16 70579070),(17 70807820),(18 70611384),(19 69990570),(20 68566740),(21 66574396),(22 63965704),(23 60883572),(24 57967076),(25 55067744),(26 52365670),(27 50041140),(28 48138224),(29 46861748),(30 46201080),(31 46146400),(32 46591624),(33 47452404),(34 48763428),(35 50222140),(36 51942640),(37 53815704),(38 55529404),(39 56939350),(40 58020216),(41 58629156),(42 58778316),(43 58355292),(44 57278948),(45 55863732),(46 54404416),(47 53174650),(48 52158444),(49 51567308),(50 51069904),(51 50609680),(52 50243340),(53 49914668),(54 49816708),(55 49936908),(56 50312670),(57 50881932),(58 51471070),(59 51970236),(60 52300384),(61 52670280),(62 53113940),(63 53931150),(64 55149410),(65 56464052),(66 57779176),(67 58896544),(68 59756780),(69 60461976),(70 60964384),(71 61026056),(72 60658880),(73 59993740),(74 59165892),(75 58112652),(76 57061964),(77 55905876),(78 54649916),(79 53351100),
(1 829496.1),(2 3078529.5),(3 6266091.5),(4 10012531),(5 13945788),(6 17907646),(7 21788246),(8 25379792),(9 28675192),(10 31752626),(11 34671310),(12 37403308),(13 39630500),(14 41261332),(15 42392484),(16 43057456),(17 43286230),(18 43093696),(19 42513200),(20 41769240),(21 40975656),(22 40255132),(23 39492550),(24 38824330),(25 38293524),(26 37978964),(27 37946440),(28 38201916),(29 38673030),(30 39289536),(31 40124276),(32 40926656),(33 41531464),(34 41904812),(35 42157256),(36 42432144),(37 42725330),(38 43076460),(39 43605576),(40 44180496),(41 44522092),(42 44621304),(43 44431628),(44 43940396),(45 43369372),(46 42964452),(47 42582164),(48 42201108),(49 41872064),(50 41556790),(51 41183344),(52 40591030),(53 39801224),(54 38833460),(55 37959436),(56 37267650),(57 36838830),(58 36584924),(59 36338010),(60 36025052),(61 35678480),(62 35418980),(63 35189190),(64 34860424),(65 34463828),(66 34089030),(67 33834492),(68 33735636),(69 34103132),(70 34591640),(71 34896330),(72 34989732),(73 34876564),(74 34793844),(75 34826516),(76 34915096),(77 34937416),(78 34915570),(79 34853690),
(1 957468.06),(2 3542335.5),(3 7230212.5),(4 11589805),(5 16333436),(6 21338044),(7 26417038),(8 31373444),(9 36100156),(10 40497760),(11 44452170),(12 47773176),(13 50532612),(14 52529732),(15 53863260),(16 54331932),(17 53802444),(18 52243944),(19 49961052),(20 47041228),(21 43887628),(22 40926824),(23 38341536),(24 36276976),(25 34791460),(26 34183140),(27 34357556),(28 35031290),(29 35985904),(30 36966376),(31 37898720),(32 38911652),(33 39849464),(34 40658612),(35 41518770),(36 42402900),(37 43249612),(38 44102860),(39 45071756),(40 46109810),(41 47139576),(42 48027724),(43 48685876),(44 49139704),(45 49364044),(46 49229416),(47 48631476),(48 47475012),(49 46189140),(50 44726364),(51 43294610),(52 41978010),(53 40779230),(54 39891190),(55 39335540),(56 39035616),(57 39217564),(58 40157720),(59 41532800),(60 42920960),(61 44219750),(62 45376024),(63 46319668),(64 46949724),(65 47230320),(66 47365790),(67 47468348),(68 47297050),(69 47079576),(70 46978332),(71 46758452),(72 46530476),(73 46146468),(74 45726696),(75 45404596),(76 45250220),(77 45113410),(78 45014000),(79 44931204),
