(1 0.0008692629),(2 2.2623296),(3 10.361047),(4 13.833872),(5 13.8203535),(6 16.881163),(7 24.515736),(8 26.80403),(9 26.805511),(10 31.11953),(11 36.090023),(12 39.70771),(13 39.71563),(14 43.811466),(15 51.933056),(16 54.915367),(17 54.94752),(18 54.870544),(19 55.857895),(20 58.63148),(21 58.597557),(22 61.111813),(23 62.600845),(24 63.52448),(25 63.55032),(26 66.37326),(27 74.11466),(28 77.92768),(29 78.02157),(30 78.24529),(31 79.128975),(32 76.85302),(33 76.75432),(34 75.96935),(35 77.64679),(36 78.602234),(37 78.5774),(38 77.99016),(39 76.8107),(40 77.25098),(41 77.243645),(42 79.476166),(43 86.166504),(44 83.8837),(45 83.93572),(46 84.24518),(47 83.599335),(48 83.59219),
(1 0.00093821797),(2 2.338388),(3 10.1355),(4 13.743512),(5 13.745842),(6 15.954284),(7 20.82038),(8 22.975777),(9 22.997437),(10 27.539263),(11 34.86347),(12 37.80273),(13 37.858253),(14 41.323753),(15 49.37751),(16 49.803753),(17 49.79621),(18 51.613346),(19 53.57921),(20 53.482876),(21 53.451176),(22 54.5893),(23 52.55675),(24 55.23487),(25 55.292065),(26 57.116444),(27 57.661858),(28 60.037678),(29 60.10948),(30 61.048115),(31 60.84843),(32 61.947746),(33 61.973778),(34 63.160427),(35 65.49765),(36 66.069435),(37 66.08186),(38 66.58071),(39 65.500175),(40 66.83295),(41 66.83584),(42 67.62046),(43 70.22569),(44 67.36084),(45 67.42436),(46 66.838066),(47 66.86936),(48 66.85596),
(1 0.0008857072),(2 1.9576097),(3 9.829152),(4 14.104192),(5 14.106712),(6 16.553223),(7 22.220556),(8 25.09426),(9 25.095638),(10 28.43067),(11 34.26384),(12 35.409897),(13 35.387882),(14 38.634117),(15 44.76044),(16 48.582226),(17 48.56758),(18 50.478603),(19 50.900253),(20 55.486362),(21 55.48793),(22 57.663948),(23 60.236713),(24 61.371086),(25 61.399624),(26 60.720062),(27 63.441196),(28 65.20672),(29 65.36538),(30 65.34935),(31 67.64618),(32 66.93241),(33 66.946846),(34 67.543175),(35 66.65125),(36 68.621086),(37 68.63988),(38 69.34065),(39 68.86925),(40 67.8265),(41 67.73987),(42 66.8698),(43 68.86443),(44 68.10829),(45 68.08154),(46 67.98572),(47 69.66092),(48 69.646454),
(1 0.0009153224),(2 2.094994),(3 9.853849),(4 12.652952),(5 12.647779),(6 15.534848),(7 21.239685),(8 23.913256),(9 23.921947),(10 27.961735),(11 33.395245),(12 34.879868),(13 34.882973),(14 36.900703),(15 41.388775),(16 42.912678),(17 42.89328),(18 42.724827),(19 45.10403),(20 48.100784),(21 48.087933),(22 47.373135),(23 49.070198),(24 52.219143),(25 52.23622),(26 53.170296),(27 56.65377),(28 59.430027),(29 59.606674),(30 58.65872),(31 58.637436),(32 58.92473),(33 58.94364),(34 58.80098),(35 62.68652),(36 63.046135),(37 63.138546),(38 63.811768),(39 63.63152),(40 64.747635),(41 64.76096),(42 65.19501),(43 65.342995),(44 63.329483),(45 63.30238),(46 61.814163),(47 61.899845),(48 61.897232),
(1 0.0009332733),(2 2.1030536),(3 10.252891),(4 13.461934),(5 13.467327),(6 15.984568),(7 19.186197),(8 22.442194),(9 22.456497),(10 26.826834),(11 32.575634),(12 33.787605),(13 33.81769),(14 35.499847),(15 41.041397),(16 44.06435),(17 44.049393),(18 44.862274),(19 48.71704),(20 52.292492),(21 52.279602),(22 52.95188),(23 53.826725),(24 54.055305),(25 54.12907),(26 54.333187),(27 55.13465),(28 54.695393),(29 54.89908),(30 53.39477),(31 52.202774),(32 52.669548),(33 52.747692),(34 53.53146),(35 55.036285),(36 56.261585),(37 56.28748),(38 55.929848),(39 57.35574),(40 57.48051),(41 57.47473),(42 56.89579),(43 56.61362),(44 55.03425),(45 55.00111),(46 55.57894),(47 54.935326),(48 54.928486),
(1 0.0010466374),(2 2.241083),(3 11.061995),(4 14.077792),(5 14.065479),(6 17.78207),(7 24.167553),(8 26.457918),(9 26.474844),(10 29.563553),(11 34.57405),(12 37.03063),(13 37.02328),(14 37.638226),(15 42.10701),(16 44.33573),(17 44.32119),(18 45.16214),(19 44.86175),(20 49.095493),(21 49.09487),(22 50.15274),(23 51.53781),(24 53.528812),(25 53.560505),(26 53.615692),(27 54.505367),(28 56.061913),(29 56.1439),(30 56.020348),(31 60.498505),(32 61.376106),(33 61.440536),(34 62.248226),(35 62.036774),(36 64.04518),(37 64.077965),(38 65.490295),(39 68.784065),(40 66.718216),(41 66.65964),(42 65.80999),(43 65.998024),(44 65.927666),(45 65.92746),(46 66.12149),(47 63.974762),(48 63.965954),
(1 0.0009934424),(2 2.1533551),(3 10.1281185),(4 13.750198),(5 13.750371),(6 17.492588),(7 21.718124),(8 24.729889),(9 24.751026),(10 27.55079),(11 33.33139),(12 36.667953),(13 36.684296),(14 38.40095),(15 40.666172),(16 41.40161),(17 41.400238),(18 41.448544),(19 43.120064),(20 45.543896),(21 45.52773),(22 46.526207),(23 48.846127),(24 50.21058),(25 50.248257),(26 51.29342),(27 50.229126),(28 50.033676),(29 50.04135),(30 50.328945),(31 50.901436),(32 52.3564),(33 52.360718),(34 53.278507),(35 54.09583),(36 56.098095),(37 56.1356),(38 55.670017),(39 56.58816),(40 58.366165),(41 58.38844),(42 59.794537),(43 59.515533),(44 58.50298),(45 58.498272),(46 59.77713),(47 62.5766),(48 62.55909),
(1 0.0010563998),(2 2.443549),(3 11.574649),(4 14.681113),(5 14.695103),(6 17.446815),(7 22.622595),(8 25.22052),(9 25.233385),(10 27.403774),(11 32.430603),(12 35.313736),(13 35.334435),(14 36.717236),(15 38.22084),(16 39.14696),(17 39.134357),(18 38.691235),(19 40.252407),(20 43.708958),(21 43.70072),(22 46.44671),(23 48.686226),(24 50.076492),(25 50.065247),(26 49.717945),(27 53.472164),(28 54.97299),(29 55.039425),(30 55.06726),(31 56.51678),(32 56.528374),(33 56.5928),(34 57.085903),(35 59.83996),(36 62.503483),(37 62.536736),(38 63.907093),(39 62.654583),(40 61.592155),(41 61.600918),(42 61.11614),(43 62.17638),(44 62.119534),(45 62.11001),(46 61.798443),(47 61.6858),(48 61.708855),
(1 0.00093872007),(2 2.1722925),(3 9.133309),(4 11.893364),(5 11.893099),(6 14.57005),(7 20.131971),(8 22.034603),(9 22.028044),(10 24.166801),(11 29.974024),(12 33.349884),(13 33.383923),(14 33.685036),(15 35.805313),(16 35.970535),(17 35.98992),(18 37.37421),(19 39.440308),(20 42.152214),(21 42.12087),(22 42.22434),(23 42.89941),(24 43.72012),(25 43.723152),(26 44.5238),(27 45.84374),(28 46.791344),(29 46.77118),(30 47.95411),(31 50.436634),(32 50.931538),(33 50.97615),(34 51.175423),(35 52.00932),(36 53.16736),(37 53.201252),(38 54.707756),(39 54.440693),(40 54.48114),(41 54.455933),(42 53.267834),(43 53.633343),(44 51.618675),(45 51.62691),(46 52.38419),(47 53.34074),(48 53.34694),
(1 0.0010885),(2 2.4566517),(3 10.329041),(4 13.255321),(5 13.27659),(6 16.085892),(7 22.158567),(8 24.509542),(9 24.511156),(10 26.139267),(11 30.89268),(12 33.454582),(13 33.452576),(14 35.098846),(15 38.71522),(16 41.32758),(17 41.33985),(18 40.77725),(19 43.89911),(20 45.315853),(21 45.32031),(22 46.011173),(23 44.945763),(24 46.16178),(25 46.13679),(26 48.18157),(27 49.913826),(28 50.169334),(29 50.10278),(30 50.003464),(31 54.21865),(32 54.93518),(33 54.925472),(34 54.528904),(35 57.955006),(36 60.172874),(37 60.170307),(38 60.78606),(39 58.55019),(40 58.577225),(41 58.59961),(42 59.707973),(43 61.908634),(44 62.240337),(45 62.30627),(46 62.501873),(47 60.8806),(48 60.89512),
