(1 4.392682),(2 5968.9326),(3 19849.031),(4 25472.762),(5 25543.055),(6 27857.533),(7 35583.563),(8 39932.72),(9 39974.72),(10 45289.14),(11 52837.94),(12 58624.004),(13 58742.566),(14 60536.2),(15 73465.18),(16 78983.51),(17 78993.34),(18 77983.46),(19 80447.13),(20 83935.734),(21 83871.94),(22 80453.34),(23 75301.336),(24 81455.82),(25 81455.79),(26 85935.97),(27 90269.81),(28 96942.695),(29 97258.06),(30 94052.12),(31 92385.57),(32 91654.36),(33 91788.02),(34 93739.945),(35 99393.81),(36 105673.89),(37 105703.27),(38 107503.99),(39 103960.4),(40 114415.82),(41 114757.266),(42 108041.24),(43 104000.57),(44 105628.195),(45 105529.88),(46 111172.766),(47 117043.82),(48 116962.03),
(1 4.624515),(2 5465.1064),(3 19812.98),(4 24933.111),(5 24980.625),(6 30835.865),(7 34831.617),(8 40842.37),(9 40813.07),(10 43841.508),(11 48032.605),(12 49856.42),(13 49801.582),(14 52590.746),(15 60018.465),(16 62522.477),(17 62516.24),(18 65517.742),(19 72236.875),(20 78703.23),(21 78737.805),(22 75910.05),(23 83640.31),(24 92932.336),(25 92913.12),(26 88620.56),(27 87762.85),(28 90938.82),(29 90738.01),(30 94393.47),(31 91028.625),(32 96579.16),(33 96788.37),(34 88265.04),(35 97649.77),(36 100786.555),(37 100882.29),(38 99086.25),(39 94801.05),(40 100392.56),(41 100307.07),(42 97998.51),(43 103467.12),(44 100266.984),(45 100202.7),(46 101560.37),(47 104941.02),(48 104948.54),
(1 4.1194124),(2 5119.69),(3 18301.66),(4 22965.994),(5 23003.584),(6 27015.2),(7 32588.217),(8 37427.438),(9 37479.273),(10 40378.133),(11 44340.227),(12 46563.66),(13 46511.188),(14 49197.676),(15 57140.027),(16 65730.04),(17 65736.625),(18 67057.2),(19 63506.473),(20 70585.68),(21 70717.12),(22 69836.82),(23 71036.38),(24 78256),(25 78319.45),(26 87171.96),(27 88702.98),(28 92263.96),(29 91983.695),(30 88076.055),(31 89113.15),(32 96039.734),(33 96049.51),(34 92834.99),(35 89293.11),(36 91923.23),(37 91843.42),(38 97113.016),(39 95542.56),(40 96607.73),(41 96619.42),(42 98118.43),(43 95707.01),(44 94521.85),(45 94574.15),(46 95185.17),(47 100357.78),(48 100351.96),
(1 3.889037),(2 5191.3857),(3 17582.584),(4 23038.568),(5 23050.742),(6 29764.13),(7 33143.594),(8 37227.645),(9 37169.027),(10 43396.27),(11 50761.137),(12 51874.094),(13 51903.215),(14 57066.52),(15 61764.7),(16 64541.246),(17 64493.457),(18 64733.56),(19 63874.63),(20 67567.45),(21 67526.84),(22 72186.34),(23 75449.54),(24 79152.82),(25 79092.54),(26 82114.11),(27 87002.195),(28 90884.945),(29 90632.56),(30 88542.02),(31 80025.55),(32 84169.82),(33 84017.74),(34 79901.02),(35 83167.4),(36 86699.766),(37 86770.4),(38 86170.445),(39 85517.76),(40 88637.336),(41 88490.664),(42 90221.586),(43 91972.1),(44 87991.555),(45 88073.29),(46 92267.96),(47 93189.57),(48 93171.79),
(1 4.0564294),(2 5264.869),(3 18028.293),(4 23654.137),(5 23637.674),(6 30429.662),(7 38066.047),(8 43759.89),(9 43760.44),(10 46100.87),(11 54439.566),(12 56425.1),(13 56534.742),(14 62324.34),(15 66585.11),(16 71495.59),(17 71592.37),(18 67849.02),(19 68509.336),(20 71239.35),(21 71357.99),(22 70983.36),(23 73604.64),(24 78491.01),(25 78513.61),(26 77928.41),(27 81047.31),(28 81398.484),(29 81796.98),(30 81399.336),(31 76148.6),(32 82474.805),(33 82569.76),(34 82280.01),(35 81602.5),(36 86178.72),(37 86148.12),(38 87545.11),(39 80454.08),(40 84406.43),(41 84235.55),(42 83939.336),(43 86974.516),(44 89009.61),(45 88957.38),(46 90497.52),(47 88388.32),(48 88366.18),
(1 3.948824),(2 5134.6597),(3 18305.514),(4 22521.121),(5 22516.652),(6 27455.871),(7 34608.33),(8 42717.723),(9 42679.594),(10 44989.46),(11 53880.594),(12 54493.98),(13 54501.766),(14 58839.81),(15 62176.156),(16 63901.41),(17 63817.97),(18 61678.613),(19 63868.42),(20 69657.875),(21 69635.164),(22 69813.55),(23 71907.125),(24 78527.93),(25 78463.44),(26 79437.414),(27 84975.65),(28 89593.46),(29 89853.23),(30 91962.7),(31 85073.94),(32 86481.9),(33 86674.54),(34 86168.67),(35 84329.516),(36 87423.58),(37 87285.18),(38 88267.336),(39 89066.21),(40 89584.15),(41 89753.8),(42 85802.79),(43 88692.77),(44 90225.53),(45 90040.125),(46 93629.945),(47 94095.51),(48 94089.68),
(1 3.8902426),(2 5618.617),(3 18185.84),(4 21068.227),(5 21061.047),(6 25649.482),(7 34243.883),(8 39533.098),(9 39463.906),(10 40078.29),(11 46836.6),(12 47357.863),(13 47332.37),(14 51649.73),(15 51839.863),(16 58221.355),(17 58334.902),(18 60374),(19 64796.29),(20 70366.58),(21 70256.51),(22 70854.21),(23 74420.77),(24 76712.82),(25 76802.375),(26 80251.625),(27 83609.86),(28 86978.67),(29 86833.79),(30 89052.71),(31 85163.81),(32 82531.69),(33 82516.06),(34 85647.41),(35 82567.836),(36 87608.695),(37 87635.96),(38 88593.625),(39 78808.3),(40 77852.59),(41 78001.67),(42 83295.21),(43 81197.19),(44 83975.21),(45 83772.43),(46 87436.266),(47 92640.53),(48 92678.875),
(1 4.0683937),(2 5517.4907),(3 18237.754),(4 22977.074),(5 23014.39),(6 26372.734),(7 31330.271),(8 34188.19),(9 34156.74),(10 35512.98),(11 45296.402),(12 47107.414),(13 47106.953),(14 48878.832),(15 54712.34),(16 58439.516),(17 58378.57),(18 59383.074),(19 60517.996),(20 67670.58),(21 67639.44),(22 68026.57),(23 67779.21),(24 76834.27),(25 76860.336),(26 78468.125),(27 81555.31),(28 84140.33),(29 84085.63),(30 85121.15),(31 83130.15),(32 81999.75),(33 81954.24),(34 77174.914),(35 78941.336),(36 81507.35),(37 81449.4),(38 83306.73),(39 82831.75),(40 82437.72),(41 82416.45),(42 87316.805),(43 91832.44),(44 89820.38),(45 89795.68),(46 91652.04),(47 82272.25),(48 82270.17),
(1 3.967083),(2 5142.2344),(3 15956.825),(4 21122.855),(5 21105.87),(6 23818.664),(7 28235.115),(8 33437.69),(9 33396.965),(10 35705.625),(11 44020.055),(12 45718.15),(13 45716.047),(14 50430.703),(15 55207.152),(16 56890.984),(17 56822.766),(18 59648.246),(19 62586.125),(20 68210.42),(21 68140.586),(22 70062.32),(23 69558.85),(24 70517.984),(25 70600.98),(26 72495.5),(27 78423.305),(28 84903.52),(29 85239.57),(30 81903.27),(31 85029.67),(32 85373.375),(33 85308.14),(34 77100.664),(35 79539.14),(36 87336.37),(37 87267.914),(38 88553.99),(39 86059.125),(40 86464.164),(41 86426.56),(42 87360.59),(43 88093.945),(44 84121.63),(45 83965.15),(46 83272.19),(47 85296.44),(48 85324.08),
(1 3.853855),(2 5005.992),(3 14393.419),(4 18801.508),(5 18758.893),(6 21246.096),(7 30994.045),(8 36280.22),(9 36307.523),(10 36672.117),(11 39850.23),(12 42856.418),(13 42826.89),(14 46891.656),(15 48042.703),(16 53572.582),(17 53585.473),(18 58766.25),(19 61324.168),(20 70528.26),(21 70655.086),(22 66770.83),(23 67579.29),(24 74080.11),(25 74056.67),(26 82537.87),(27 82378.69),(28 87603.734),(29 87546.445),(30 82888.71),(31 85038.9),(32 89106.484),(33 89048.84),(34 83336.53),(35 84398.73),(36 91547.9),(37 91551.88),(38 91993.39),(39 89412.95),(40 89683.31),(41 89898.62),(42 95343.484),(43 89723.85),(44 87312.805),(45 87060.88),(46 85693.09),(47 89002.19),(48 88988.06),
(1 3.9797218),(2 4963.3823),(3 15876.48),(4 21734.854),(5 21793.09),(6 24187.842),(7 31655.568),(8 35370.06),(9 35361.98),(10 37916.953),(11 44835.316),(12 50558.965),(13 50354.695),(14 54464.664),(15 55494.605),(16 56335.094),(17 56378.047),(18 61277.29),(19 63521.516),(20 70259.09),(21 70136.055),(22 69462.29),(23 65054.465),(24 64875.984),(25 64910.957),(26 74665.39),(27 77655.445),(28 78532.84),(29 78607.85),(30 73283.67),(31 73815.016),(32 79577.01),(33 79569.3),(34 74179.14),(35 80028.96),(36 86387.33),(37 86245.19),(38 83677.31),(39 81999.14),(40 82776.54),(41 82762.875),(42 81738.9),(43 80734.61),(44 74754.55),(45 74714.52),(46 78094.805),(47 79196.14),(48 79164.59),
(1 3.5615063),(2 5364.7173),(3 16459.273),(4 19677.64),(5 19746.982),(6 23160.283),(7 32236.795),(8 34535.086),(9 34518.258),(10 37735.47),(11 46095.684),(12 47456.86),(13 47580.973),(14 51455.965),(15 54418.04),(16 58172.004),(17 58200.125),(18 60494.863),(19 67049.37),(20 72530.89),(21 72434.85),(22 69962.6),(23 71064.24),(24 73806.34),(25 73926.65),(26 76941.03),(27 78517.6),(28 80543.93),(29 80878.016),(30 78914.21),(31 83654.94),(32 85376.77),(33 85373.96),(34 77428.43),(35 80197.07),(36 83243.38),(37 83137.836),(38 83338.82),(39 90168.47),(40 91924.67),(41 91716.81),(42 89922.85),(43 88614.83),(44 86174.46),(45 86051.48),(46 90198.75),(47 91782.44),(48 91779.67),
(1 3.724974),(2 5024.1597),(3 15523.423),(4 20038.512),(5 20123.518),(6 23893.945),(7 32323.045),(8 36417.734),(9 36543.027),(10 38867.44),(11 47055.594),(12 49132.617),(13 49093.69),(14 54883.27),(15 56967.203),(16 63583.434),(17 63561.49),(18 67961.78),(19 69619.48),(20 67378.195),(21 67435.27),(22 70624.93),(23 75918.07),(24 79862.79),(25 79838.62),(26 85470.16),(27 81409.28),(28 86619.97),(29 86253.016),(30 87745.97),(31 89158.625),(32 84287.984),(33 84373.875),(34 81163.484),(35 81194.85),(36 81700.83),(37 81638.45),(38 80027.92),(39 78564.945),(40 78163.94),(41 78123.5),(42 81900.09),(43 88684.91),(44 87381.91),(45 87521.35),(46 87161.84),(47 83684.33),(48 83711.13),
(1 3.640234),(2 4619.865),(3 16533.008),(4 20160.063),(5 20221.02),(6 23994.121),(7 31923.967),(8 34273.184),(9 34298.918),(10 34717.223),(11 39272.793),(12 39548.688),(13 39502.54),(14 43391.906),(15 48369.645),(16 51027.242),(17 51074.254),(18 54187.223),(19 49556.72),(20 54045.16),(21 53963.992),(22 58859.652),(23 59207.22),(24 61268.035),(25 61308.906),(26 65473.055),(27 64038.44),(28 68506.27),(29 68847.13),(30 67991.92),(31 67730.58),(32 71572.15),(33 71508.42),(34 67482.8),(35 67762.84),(36 69775.29),(37 69723.99),(38 72018.27),(39 72242.445),(40 70922.914),(41 71024.18),(42 73731.63),(43 76440.78),(44 75539.75),(45 75364.836),(46 77024.87),(47 77088.61),(48 77115.6),
(1 3.8129702),(2 4846.022),(3 14968.199),(4 18394.387),(5 18423.826),(6 22403.871),(7 28148.48),(8 29324.053),(9 29248.844),(10 31310.824),(11 36558.516),(12 39385.96),(13 39333.406),(14 43718.316),(15 47987.76),(16 48982.645),(17 48983.31),(18 52873.996),(19 52238.926),(20 51927.81),(21 51854.06),(22 51932.54),(23 56786.586),(24 62542.19),(25 62519.516),(26 65110.246),(27 63252.125),(28 66090.54),(29 66534.36),(30 67383.94),(31 65765.4),(32 69341.234),(33 69315.336),(34 66885.45),(35 65943.07),(36 68396.65),(37 68441.38),(38 69764.164),(39 67841.414),(40 67751.336),(41 67607.59),(42 68307.99),(43 66743.29),(44 66658.52),(45 66737.92),(46 69158.36),(47 71610.79),(48 71618.266),
(1 3.6858127),(2 4633.0645),(3 13228.186),(4 17592.951),(5 17603.252),(6 21657.734),(7 27429.7),(8 30157.805),(9 30134.965),(10 33079.6),(11 35102.28),(12 39337.043),(13 39386.7),(14 44406.61),(15 47484.875),(16 50393.68),(17 50330.02),(18 54476.15),(19 54853.457),(20 59118.523),(21 59043.223),(22 59916.77),(23 61936.414),(24 65240.742),(25 65275.184),(26 67677.78),(27 70064.75),(28 72765.35),(29 73026.98),(30 70995.61),(31 68307.88),(32 71768.1),(33 71688.53),(34 68891.234),(35 68074.336),(36 72767.234),(37 72713.89),(38 74610.72),(39 73846.83),(40 75078.52),(41 74986.695),(42 74459.44),(43 76228.52),(44 74259.49),(45 74230.195),(46 79422.4),(47 80199.36),(48 80183.34),
(1 3.2081409),(2 4535.302),(3 12251.047),(4 17104.943),(5 17097.887),(6 19749.97),(7 23104.805),(8 26153.787),(9 26231.33),(10 30175.617),(11 34881.25),(12 37108.24),(13 37179.594),(14 40898.258),(15 42653.76),(16 47435.06),(17 47397.47),(18 54157.75),(19 52105.65),(20 55577.906),(21 55542.28),(22 58331.195),(23 55956.195),(24 58065.88),(25 58106.098),(26 62244.93),(27 64645.965),(28 64355.582),(29 64532.207),(30 63457.586),(31 66324.87),(32 71229.68),(33 71114.21),(34 69234.18),(35 68540.61),(36 71108.195),(37 70946.664),(38 68475.766),(39 69791.66),(40 69959.76),(41 70027.53),(42 69571.25),(43 75224.914),(44 74233.734),(45 74171.4),(46 74362.31),(47 74261.11),(48 74234.73),
(1 3.322595),(2 4219.86),(3 14302.733),(4 16947.658),(5 16919.088),(6 20028.227),(7 25447.64),(8 28701.703),(9 28742.068),(10 29945.625),(11 36784.664),(12 36633.117),(13 36628.406),(14 42296.367),(15 45707.508),(16 48012.367),(17 48043.93),(18 49606.473),(19 52274.445),(20 54235.023),(21 54144.86),(22 56617.473),(23 55022.813),(24 58675.336),(25 58692.7),(26 62530.105),(27 62563.816),(28 64165.09),(29 64267.652),(30 62851.395),(31 64423.906),(32 66727.445),(33 66662.26),(34 62557.207),(35 65513.445),(36 67516.086),(37 67526.74),(38 64005.016),(39 62323.59),(40 61969.504),(41 61975.055),(42 61107.617),(43 66043.516),(44 66328.13),(45 66245.516),(46 68411.37),(47 68101.76),(48 68115.164),
(1 3.3268802),(2 4358.4287),(3 15264.939),(4 16785.932),(5 16795.195),(6 21831.78),(7 28639.066),(8 29588.28),(9 29626.887),(10 31180.092),(11 35365.594),(12 37899.793),(13 37980.79),(14 37141.734),(15 44478.355),(16 47012.355),(17 46988.777),(18 47159.496),(19 50219.492),(20 54377.137),(21 54356.316),(22 56536.68),(23 55661.37),(24 56830.17),(25 56769.117),(26 57077.41),(27 60932.83),(28 64823.637),(29 64775.42),(30 60013.016),(31 64445.246),(32 64237.21),(33 64215.816),(34 61579.684),(35 63607.184),(36 65580.58),(37 65489.598),(38 63114.21),(39 65354.625),(40 67457.81),(41 67451.63),(42 65737.83),(43 62693.434),(44 61164.965),(45 61063.977),(46 60119.176),(47 66803),(48 66806.93),
(1 3.3231244),(2 3790.6248),(3 13309.08),(4 15990.524),(5 16021.059),(6 20119.086),(7 25437.951),(8 28989.37),(9 29008.344),(10 29956.457),(11 35471.78),(12 39021.285),(13 39136.69),(14 41107.973),(15 40855.68),(16 42682.39),(17 42677.42),(18 43222.97),(19 42250.008),(20 45699.273),(21 45626.797),(22 48007.09),(23 50729.453),(24 55162.46),(25 55098.31),(26 55241.043),(27 56920.184),(28 61593.547),(29 62048.74),(30 60213.164),(31 59131.27),(32 63229.023),(33 63106.39),(34 56947.2),(35 56614.36),(36 59010.594),(37 58981.133),(38 57649.35),(39 60188.68),(40 59001.633),(41 59035.19),(42 57391.45),(43 60482.707),(44 60011.066),(45 59962.555),(46 61126.406),(47 64962.277),(48 64986.582),
(1 3.4861994),(2 4168.579),(3 12615.074),(4 15666.092),(5 15664.282),(6 20674.541),(7 25038.877),(8 27341.104),(9 27416.715),(10 28243.576),(11 37989.965),(12 38096.957),(13 38117.48),(14 44793.934),(15 44824.67),(16 47184.703),(17 47228.184),(18 46709.906),(19 47704.65),(20 53825.867),(21 53735.246),(22 55052.184),(23 58419.574),(24 60003.32),(25 59957.184),(26 61039.082),(27 60056.023),(28 64301.184),(29 64683.777),(30 64235.727),(31 62636.074),(32 60392.504),(33 60368.297),(34 59939.957),(35 60913.426),(36 63921.508),(37 63945.6),(38 64424.81),(39 61930.773),(40 63325.824),(41 63151.297),(42 62216.707),(43 63038.84),(44 58775.31),(45 58808.504),(46 58399.406),(47 66507.98),(48 66554.99),
(1 3.2261796),(2 4194.367),(3 12536.288),(4 15598.82),(5 15593.185),(6 19368.121),(7 24899.639),(8 28115.582),(9 28097.37),(10 28349.45),(11 35391.91),(12 38420.047),(13 38405.33),(14 43137.332),(15 43736.29),(16 45633.46),(17 45646.918),(18 44643.625),(19 45305.023),(20 47664.41),(21 47653.535),(22 47091.29),(23 49802.08),(24 52801.34),(25 52793.19),(26 54423.08),(27 54080.453),(28 59254.58),(29 58974.055),(30 57855.918),(31 57080.535),(32 56648.4),(33 56676.2),(34 60019.31),(35 57683.652),(36 62677.137),(37 62672.164),(38 67056.25),(39 69370.29),(40 71029.39),(41 70897.5),(42 65083.105),(43 66208.805),(44 62042.2),(45 61837.72),(46 63823.727),(47 62089.68),(48 62130.13),
(1 3.0966659),(2 3733.0837),(3 11976.205),(4 14825.936),(5 14836.104),(6 17854.201),(7 23757.514),(8 26354.139),(9 26301.795),(10 28854.654),(11 32794.008),(12 38844.77),(13 38775.25),(14 45433.055),(15 45837.52),(16 49969.145),(17 49923.984),(18 47389.625),(19 49514.64),(20 54443.74),(21 54488.332),(22 52408.51),(23 53079.656),(24 55672.31),(25 55647.95),(26 60635.227),(27 61579.336),(28 63387.41),(29 63224.34),(30 62019.633),(31 58165.055),(32 60901.9),(33 60977.492),(34 59066.12),(35 58142.137),(36 62519.457),(37 62497.625),(38 63815.38),(39 67075.27),(40 72491.89),(41 72598.016),(42 70996.29),(43 67114.87),(44 62616.07),(45 62447.43),(46 62062.24),(47 63706.543),(48 63683.742),
(1 2.9868145),(2 3280.9792),(3 11341.157),(4 14071.736),(5 14014.345),(6 16791.883),(7 22394.236),(8 26253.814),(9 26339.55),(10 28812.648),(11 31413.162),(12 33355.62),(13 33364.816),(14 35559.973),(15 38962.016),(16 42762.117),(17 42746.5),(18 44916.246),(19 44233.508),(20 46811.4),(21 46879.707),(22 45493.266),(23 45476.297),(24 47508.133),(25 47476.375),(26 50294.85),(27 53000.89),(28 55417.605),(29 55418.016),(30 52561.36),(31 54884.848),(32 57718.633),(33 57592.8),(34 56241.383),(35 51503.87),(36 53999.95),(37 54018.617),(38 54240.484),(39 54166.395),(40 52822.582),(41 52705.32),(42 50659.355),(43 51172.184),(44 50216.58),(45 50125.625),(46 54013.355),(47 53306.773),(48 53307.754),
(1 3.2336516),(2 3540.1382),(3 11160.341),(4 14597.284),(5 14598.279),(6 18068.904),(7 23201.162),(8 25250.736),(9 25261.025),(10 26816.516),(11 30525.457),(12 34200.734),(13 34182.207),(14 34687.715),(15 38749.508),(16 42285.74),(17 42276.48),(18 40656.246),(19 37958.715),(20 42911.71),(21 42881.613),(22 45539.44),(23 46052.53),(24 50115.57),(25 50162.96),(26 49845.81),(27 54356.9),(28 52750.883),(29 52829.58),(30 51593.633),(31 50891.88),(32 53139.016),(33 53145.156),(34 50775.03),(35 47568.47),(36 50926.45),(37 50838.813),(38 51429.89),(39 54890.56),(40 55250),(41 55195.082),(42 53702.867),(43 56593.688),(44 54447.42),(45 54293.42),(46 54687.133),(47 53981.563),(48 53980.965),
(1 3.0992007),(2 3458.3293),(3 10665.763),(4 15171.372),(5 15158.381),(6 18420.715),(7 22914.88),(8 25188.37),(9 25157.799),(10 27243.135),(11 32405.299),(12 35395.47),(13 35357.8),(14 36789.793),(15 39420.727),(16 40943.168),(17 41005.766),(18 40337.113),(19 40680.33),(20 44385.332),(21 44370.008),(22 46135.27),(23 48042.863),(24 50718.625),(25 50789.316),(26 50934.277),(27 53723.414),(28 58808.375),(29 59086.855),(30 58807.48),(31 57290.297),(32 58693.098),(33 58620.1),(34 55203.41),(35 55730.926),(36 59950.58),(37 59933.965),(38 62797.457),(39 56258.89),(40 53245.383),(41 53248.06),(42 52928.902),(43 58453.6),(44 56953.813),(45 57034.54),(46 57885.563),(47 58674.145),(48 58687.168),
(1 3.1722777),(2 3512.602),(3 12311.5205),(4 15304.712),(5 15276.593),(6 18856.063),(7 22721.213),(8 25216.701),(9 25194.08),(10 26916.488),(11 31514.287),(12 35651.215),(13 35627.74),(14 37627.93),(15 39324.004),(16 40762.15),(17 40787.01),(18 40000.113),(19 40552.14),(20 43235.438),(21 43194.164),(22 48702.18),(23 49031.2),(24 52751.25),(25 52815.605),(26 53980.316),(27 55831.85),(28 55655.383),(29 55757.848),(30 55173.52),(31 55493.46),(32 54540.42),(33 54533.63),(34 51628.38),(35 51556.113),(36 55864.62),(37 55811.387),(38 55690.438),(39 55301.746),(40 58949.234),(41 58928.54),(42 57043.273),(43 56020.953),(44 55741.965),(45 55703.402),(46 53903.594),(47 54541.883),(48 54540.688),
(1 2.8470433),(2 3178.9255),(3 10607.841),(4 14630.827),(5 14682.665),(6 17022.422),(7 22094.69),(8 23629.26),(9 23692.502),(10 25016.383),(11 29534.049),(12 32633.256),(13 32593.33),(14 36000.113),(15 37559.79),(16 43619.156),(17 43587.137),(18 43846.12),(19 44029.555),(20 48828.973),(21 48708.395),(22 48757.14),(23 46576.637),(24 50445.74),(25 50417.51),(26 52291.434),(27 54147.99),(28 57334.605),(29 57413.69),(30 56380.22),(31 56363.844),(32 56059.61),(33 56061.07),(34 53862.86),(35 51200.004),(36 56285.348),(37 56256.99),(38 56158.78),(39 53778.86),(40 55319.902),(41 55380.145),(42 54775.81),(43 54334.496),(44 53370.137),(45 53408.72),(46 55542.66),(47 54427.492),(48 54427.434),
(1 3.2950644),(2 3010.9438),(3 10681.718),(4 13365.628),(5 13374.226),(6 16122.225),(7 23670.332),(8 25329.031),(9 25367.924),(10 27999.947),(11 30129.316),(12 31203.887),(13 31188.805),(14 33791.57),(15 35879.42),(16 40754.27),(17 40785.95),(18 41060.188),(19 41550.02),(20 45106.484),(21 45121.28),(22 44729.17),(23 44218.777),(24 46038.41),(25 46060.504),(26 48053.99),(27 49126.934),(28 48557.527),(29 48336.094),(30 48188.836),(31 51815.953),(32 52246.266),(33 52340.73),(34 50193.35),(35 49938.297),(36 53012.098),(37 52966.047),(38 52956.793),(39 50088.977),(40 52357.758),(41 52243.332),(42 51701.957),(43 53283.56),(44 51529.9),(45 51423.324),(46 49707.87),(47 53774.83),(48 53788.547),
(1 3.0877194),(2 3275.9446),(3 9999.426),(4 13519.934),(5 13570.348),(6 15962.807),(7 20680.412),(8 24014.16),(9 24032.473),(10 24974.371),(11 30398.33),(12 31874.541),(13 31909.594),(14 33547.8),(15 35624.617),(16 38133.91),(17 38081.242),(18 38788.047),(19 41143.8),(20 44154.965),(21 44073.113),(22 45908.4),(23 45248.78),(24 47447.215),(25 47372.31),(26 49598.59),(27 49837.043),(28 55247.19),(29 55299.684),(30 56433.105),(31 58545.563),(32 56970.504),(33 57038.156),(34 54316.3),(35 51453.41),(36 54284.707),(37 54255.473),(38 54325.59),(39 53394.887),(40 54187.02),(41 54198.277),(42 56165.137),(43 55475.227),(44 55924.258),(45 55748.563),(46 58184.086),(47 60500.27),(48 60466.01),
(1 3.0224257),(2 3350.8977),(3 10684.402),(4 12861.682),(5 12895.908),(6 15900.768),(7 21338.264),(8 23147.871),(9 23144.264),(10 26510.127),(11 30256.748),(12 32867.582),(13 32964.37),(14 34319.516),(15 36579.33),(16 36318.09),(17 36295.35),(18 37267.133),(19 36623.066),(20 41132.824),(21 41124.113),(22 41155.484),(23 42185.547),(24 45619.313),(25 45607.527),(26 48681.094),(27 50515.363),(28 49350.29),(29 49399.754),(30 49547.05),(31 51022.508),(32 49235.57),(33 49107.633),(34 47244.152),(35 50381.324),(36 52729.004),(37 52693.824),(38 54074.7),(39 48952.027),(40 49570.316),(41 49526.605),(42 49578.395),(43 50280.383),(44 47632.184),(45 47355.92),(46 48859.76),(47 50699.434),(48 50681.86),
(1 2.7176695),(2 3140.3933),(3 10515.953),(4 13473.318),(5 13536.142),(6 15862.554),(7 20997.328),(8 23729.752),(9 23723.143),(10 23917.701),(11 30457.057),(12 31436.078),(13 31336.738),(14 33894.938),(15 37651.176),(16 40380.707),(17 40388.73),(18 38737.36),(19 36564.707),(20 39346.785),(21 39373.23),(22 42142.01),(23 42688.336),(24 46254.15),(25 46208.563),(26 49094.953),(27 49997.13),(28 51731.24),(29 52295.063),(30 53973.934),(31 53981.03),(32 52728.785),(33 52726.844),(34 50156.754),(35 48212.902),(36 52898.55),(37 52862.35),(38 54457.125),(39 51424),(40 53077.527),(41 53022.957),(42 51741.914),(43 54628.402),(44 53177.195),(45 53121.484),(46 56772.445),(47 53522.133),(48 53517.203),
(1 2.6453385),(2 2784.341),(3 10725.386),(4 14040.554),(5 14058.86),(6 15614.596),(7 19470.41),(8 22069.777),(9 22098.246),(10 23913.46),(11 28127.049),(12 30455.713),(13 30375.873),(14 32684.451),(15 35115.49),(16 37179.25),(17 37139.305),(18 36123.934),(19 35319.547),(20 38514.91),(21 38549.37),(22 41707.85),(23 42841.11),(24 47349.457),(25 47342.77),(26 47085.754),(27 50078.473),(28 51818.402),(29 52108.758),(30 54413.625),(31 54757.918),(32 50915.164),(33 50960.02),(34 47885.914),(35 47140.684),(36 49364.004),(37 49427.355),(38 49730.074),(39 50483.164),(40 50681.617),(41 50688.156),(42 49102.582),(43 49120.438),(44 51095.06),(45 50999.37),(46 53502.44),(47 51614.934),(48 51602.24),
(1 2.9207244),(2 3068.9766),(3 10353.077),(4 13610.982),(5 13634.796),(6 15761.959),(7 20498.799),(8 22779.97),(9 22780.94),(10 24544.623),(11 28734.162),(12 30713.69),(13 30688.73),(14 31165.205),(15 32146.87),(16 34693.492),(17 34713.094),(18 34881.063),(19 35871.64),(20 39743.66),(21 39706.984),(22 37678.293),(23 39093.88),(24 45021.62),(25 44974.14),(26 46844.95),(27 44735.094),(28 46645.906),(29 46490.875),(30 46718.207),(31 44389.55),(32 44059.063),(33 44026.75),(34 43100.195),(35 41681.258),(36 45316.066),(37 45362.598),(38 43780.43),(39 44085.465),(40 46654.49),(41 46561.21),(42 46091.527),(43 48032.406),(44 47975.05),(45 48018),(46 47605.316),(47 48312.305),(48 48325.305),
(1 3.1243625),(2 3042.8303),(3 9266.763),(4 11961.522),(5 11946.066),(6 15543.059),(7 20807.346),(8 22933.992),(9 22935.314),(10 24553.248),(11 26995.865),(12 30661.102),(13 30634.262),(14 32285.957),(15 34126.813),(16 37886.1),(17 37804.19),(18 38123.3),(19 37596.77),(20 41876.78),(21 41866.668),(22 42682.61),(23 41559.625),(24 46106.69),(25 46086.6),(26 45587.13),(27 47218.22),(28 47126.07),(29 47011.566),(30 46600.332),(31 47697.273),(32 46225.51),(33 46215.58),(34 44998.02),(35 43528.402),(36 48384.184),(37 48352.645),(38 49184.547),(39 48560.883),(40 51476.746),(41 51480.926),(42 54243.49),(43 50997.656),(44 50203.28),(45 50143.74),(46 49461.938),(47 51850.22),(48 51853.867),
(1 3.0758784),(2 2811.5874),(3 9571.813),(4 11849.63),(5 11848.784),(6 15072.073),(7 20172.865),(8 22048.064),(9 22078.293),(10 23699.639),(11 25798.988),(12 29581.547),(13 29632.678),(14 31100.863),(15 31144.768),(16 32704.328),(17 32644.484),(18 34750.492),(19 34576.105),(20 38538.516),(21 38467.61),(22 38822.125),(23 35776),(24 38178.223),(25 38176.402),(26 38576.813),(27 42330.47),(28 42388.508),(29 42088.594),(30 42800.33),(31 42373.76),(32 43051.598),(33 42886.363),(34 40497.33),(35 40774.848),(36 44011.89),(37 44001.074),(38 45022.664),(39 45216.59),(40 44592.527),(41 44515.023),(42 43394.004),(43 44565.188),(44 44584.76),(45 44635.203),(46 46696.05),(47 47574.67),(48 47577.074),
