(1 47.63605),(2 39411.52),(3 223604.28),(4 290073.7),(5 290563.34),(6 327759.53),(7 330476.53),(8 386094.6),(9 384530),(10 463972.34),(11 566042.5),(12 696409.6),(13 696669.1),(14 834151.4),(15 976153.06),(16 1691639.5),(17 1689591),(18 1795407),(19 1896715.3),(20 2030653.3),(21 2030469.9),(22 2207246),(23 2545218.5),(24 2672203.3),(25 2675438.5),(26 2704099),(27 2504438.8),(28 2456796.5),(29 2456157),(30 2439030),(31 2325616),(32 2244797.3),(33 2245500.8),(34 2077375.6),(35 1814636.5),(36 1826334.1),(37 1825762.8),(38 1747334.8),(39 1778653.6),(40 1883838.8),(41 1888164.4),(42 1874713.6),(43 1906553.8),(44 1910469.6),(45 1914229.6),(46 1940832),(47 2160885.8),(48 2160890.5),
(1 33.252506),(2 39846.55),(3 211693.33),(4 283211.03),(5 281962.03),(6 333110.28),(7 422946.47),(8 474070.9),(9 474801.4),(10 535791.75),(11 620979.1),(12 727712),(13 731988.8),(14 817257.25),(15 1341904.8),(16 2227422.8),(17 2221721),(18 2288813.3),(19 2673624),(20 2820371.3),(21 2819655.3),(22 3061750),(23 3297798.8),(24 3363563),(25 3367240),(26 3335356.3),(27 3129705.3),(28 3101818.8),(29 3097898),(30 3086739),(31 3017115.3),(32 2963219.8),(33 2963284.3),(34 2768138.8),(35 2513212.3),(36 2446121.8),(37 2449099.5),(38 2391291.3),(39 2318585),(40 2350731.8),(41 2349194.5),(42 2448465),(43 2456366.8),(44 2616533.5),(45 2618638.5),(46 2708324.8),(47 2888851.3),(48 2891572),
(1 23.74421),(2 28144.123),(3 163752.84),(4 249105.44),(5 250263.22),(6 275357.4),(7 420247.56),(8 513709.38),(9 513598.84),(10 641538.94),(11 778443.25),(12 821039.94),(13 821489.8),(14 932605.44),(15 1230009.9),(16 1626945.6),(17 1622489),(18 1617699.9),(19 1607106.3),(20 1702818.8),(21 1703059.3),(22 1794219.5),(23 1808108.5),(24 1811271.4),(25 1811552),(26 1828126.5),(27 1761205.5),(28 1866352.6),(29 1867832),(30 1918320),(31 1855825.6),(32 1844376.8),(33 1839701.9),(34 1765003.4),(35 1850615.6),(36 1996489),(37 1995912.4),(38 2056306.3),(39 2123896),(40 2024532.5),(41 2025176.5),(42 1932054.4),(43 2022219),(44 2032075.9),(45 2029197.5),(46 2032989.8),(47 2032757.9),(48 2032478.5),
(1 38.50488),(2 37509.387),(3 171550.28),(4 255804.78),(5 256985.94),(6 289506.66),(7 362795.84),(8 399645.4),(9 399456.9),(10 507354.1),(11 649730.8),(12 658594.6),(13 659881.75),(14 745529.1),(15 847674.8),(16 929980.5),(17 929919.44),(18 907940.9),(19 1011653.8),(20 1143050.6),(21 1144304),(22 1242200.5),(23 1101589.6),(24 1116343.3),(25 1115428.5),(26 1109087),(27 1179310),(28 1222531.5),(29 1224411),(30 1131736),(31 1220337.8),(32 1316872.1),(33 1320201.9),(34 1489074.4),(35 1620973.9),(36 1643605.1),(37 1640335),(38 1668738.1),(39 1756305.5),(40 1750716.8),(41 1753106.5),(42 1687088.4),(43 1572997.3),(44 1495999.5),(45 1494586.4),(46 1426314.9),(47 1480346.8),(48 1478885.9),
(1 40.92729),(2 35037.973),(3 197316.3),(4 257142.58),(5 256497.08),(6 317425.47),(7 493945.72),(8 533989.94),(9 534990.1),(10 601234.6),(11 600325.44),(12 642466.56),(13 643857.75),(14 680374.44),(15 761831.6),(16 1167139.1),(17 1169479.4),(18 1258447.8),(19 1421220),(20 1440785.5),(21 1443751.9),(22 1442847.3),(23 1383834.4),(24 1571798.5),(25 1570455.1),(26 1559271.9),(27 1395938.5),(28 1486195.4),(29 1492419.4),(30 1510902.6),(31 1564526.3),(32 1556162.3),(33 1553471.8),(34 1504540.8),(35 1600466.6),(36 1555413.4),(37 1549887.9),(38 1478451),(39 1489724),(40 1484051),(41 1481812.5),(42 1453279),(43 1449872.9),(44 1297964.5),(45 1297168.3),(46 1216451.4),(47 1141191.6),(48 1141269.1),
(1 34.415344),(2 30964.363),(3 142852.36),(4 221234.22),(5 221812.52),(6 276434.22),(7 421072.13),(8 445952.7),(9 445906.6),(10 487541.78),(11 648371.7),(12 683527.25),(13 684424),(14 721948.44),(15 817923.56),(16 1210015.6),(17 1211172),(18 1248610.8),(19 1443050.9),(20 1501823.8),(21 1502062.4),(22 1497410.5),(23 1419802),(24 1471418.4),(25 1469402.1),(26 1458844.9),(27 1577973.6),(28 1592143.9),(29 1593377.6),(30 1555996.5),(31 1575193.8),(32 1548453.6),(33 1549237.5),(34 1605625.4),(35 1502973.1),(36 1509839.9),(37 1508365.1),(38 1405202.1),(39 1449228.5),(40 1485257.4),(41 1482346.5),(42 1407472.6),(43 1323766.5),(44 1278140.8),(45 1278532.8),(46 1269074.9),(47 1267341.8),(48 1268185.6),
(1 32.543682),(2 37804.574),(3 196234.63),(4 256735.64),(5 257007.72),(6 301410.7),(7 401292.94),(8 430504.44),(9 429707.1),(10 487568.66),(11 582697.6),(12 626200.25),(13 627070.2),(14 725785.3),(15 666809.2),(16 1185959.3),(17 1187769.5),(18 1136724.9),(19 1173595.4),(20 1263150.6),(21 1263328.8),(22 1263268),(23 1348492.5),(24 1474664.1),(25 1477694.8),(26 1598140),(27 1639975.4),(28 1584270.1),(29 1582606.3),(30 1633928.5),(31 1734340.1),(32 1746370.6),(33 1741469.5),(34 1768377.3),(35 1801324.1),(36 1895709.1),(37 1893525),(38 1881876.4),(39 1734631.5),(40 1696000.6),(41 1694202.4),(42 1631654.8),(43 1704130.8),(44 1658875.1),(45 1657531),(46 1668641.8),(47 1742494.5),(48 1744049.8),
(1 27.199337),(2 37642.26),(3 166810.77),(4 197652.84),(5 198438),(6 251627.03),(7 425448.97),(8 427807.4),(9 427095.7),(10 445364.72),(11 510505.8),(12 581453.7),(13 582645.2),(14 657990.7),(15 789351.25),(16 893627.1),(17 897040.9),(18 858597.2),(19 852726.2),(20 942379.2),(21 942888.4),(22 972022.8),(23 902083.1),(24 964935),(25 966173.7),(26 1018541.3),(27 997106.56),(28 996752.1),(29 996624),(30 1061502.9),(31 1101332.8),(32 1122934),(33 1123650),(34 1164731.6),(35 1228562.6),(36 1329802.1),(37 1326555.3),(38 1310179.9),(39 1340421.3),(40 1399316.1),(41 1401390.1),(42 1399250.9),(43 1542261.4),(44 1448468.8),(45 1446110),(46 1296841.3),(47 1370329.5),(48 1370664.5),
(1 27.339128),(2 36197.64),(3 184614.78),(4 226395.72),(5 227170.5),(6 249524.56),(7 417050.3),(8 481513.9),(9 480888.88),(10 551851.5),(11 636978.5),(12 683882.75),(13 685521.6),(14 690443.06),(15 713975.1),(16 934181.75),(17 934351.6),(18 957789.2),(19 978206.9),(20 1025476.6),(21 1024487.7),(22 1179796.9),(23 1348787.5),(24 1453681.5),(25 1451354.3),(26 1507846),(27 1584238.8),(28 1687742),(29 1691623.5),(30 1723265.8),(31 1708856.4),(32 1695298.1),(33 1694538.6),(34 1668954),(35 1751499.1),(36 1826790.9),(37 1822409),(38 1788160.4),(39 1792300.3),(40 1765288.8),(41 1767482.8),(42 1715803.5),(43 1626950.1),(44 1527158.3),(45 1532034.6),(46 1495577.5),(47 1494164),(48 1494075.8),
(1 31.49964),(2 34100.164),(3 172359.2),(4 225770.22),(5 225733.64),(6 304238.2),(7 449227.28),(8 444676.7),(9 445132.6),(10 502458.75),(11 596841.4),(12 620773.56),(13 621600.3),(14 655102.75),(15 820294.2),(16 908539.44),(17 908245.06),(18 899249.3),(19 852822.25),(20 886643.8),(21 886251),(22 850736.56),(23 883077.4),(24 965822.2),(25 966075.1),(26 1022375),(27 1124084),(28 1108408.9),(29 1104142.6),(30 1099327.5),(31 1134000.4),(32 1122257.3),(33 1123294),(34 1139059),(35 1111673.6),(36 1137588),(37 1138684.6),(38 1181837.1),(39 1203942.3),(40 1230453),(41 1231819.6),(42 1160014.3),(43 1201210.6),(44 1177484.1),(45 1178286.4),(46 1128125.8),(47 1191281.3),(48 1190864.9),
(1 32.6955),(2 32332.1),(3 176395.11),(4 213551.45),(5 214392.89),(6 258226.52),(7 370558.94),(8 392155.66),(9 391689.16),(10 421322.38),(11 515819.03),(12 611845),(13 611995.75),(14 683668.8),(15 698552.6),(16 770042.9),(17 770681),(18 790545.4),(19 866661.1),(20 905531.9),(21 905316),(22 951791.44),(23 946400.25),(24 944803.56),(25 946126.56),(26 1008262.75),(27 1054932.8),(28 1069670.8),(29 1066632.1),(30 1062174.1),(31 1021723.7),(32 1008733.25),(33 1010931.75),(34 985958.6),(35 1066050.3),(36 1200378),(37 1198280.9),(38 1308539.3),(39 1450303.4),(40 1384879.3),(41 1385176.9),(42 1342671.8),(43 1393226.5),(44 1495362.3),(45 1498649.9),(46 1462863.1),(47 1374491.4),(48 1374540.8),
(1 27.418465),(2 31475.021),(3 170004.6),(4 202606.03),(5 201841.81),(6 263052.47),(7 358365.5),(8 410079.8),(9 410540.34),(10 474714.56),(11 553547),(12 569526.56),(13 569918),(14 665471.06),(15 732230.6),(16 945076.3),(17 944021.25),(18 1003855.25),(19 1191683.6),(20 1184895.6),(21 1183698),(22 1195947.8),(23 1243426.9),(24 1339045.5),(25 1338519.1),(26 1346165.1),(27 1279107.5),(28 1329619),(29 1328397.5),(30 1499774.9),(31 1609877.1),(32 1564809.5),(33 1560855.3),(34 1486092.3),(35 1473485.5),(36 1525404.9),(37 1523628.5),(38 1531959.5),(39 1563472.8),(40 1549314.5),(41 1548529.5),(42 1570453.5),(43 1521485.6),(44 1502525),(45 1505142.9),(46 1486417.1),(47 1397113),(48 1396635.5),
(1 29.342176),(2 35789.008),(3 172972.75),(4 220229.39),(5 220085.77),(6 259110.58),(7 381792.06),(8 431113.7),(9 431163.63),(10 481950.38),(11 551247.94),(12 629501.8),(13 630012.75),(14 756668.75),(15 854530.06),(16 986191.06),(17 984846.44),(18 1056178.4),(19 1148158.8),(20 1153492.3),(21 1153752.1),(22 1218953.3),(23 1253220),(24 1170948.6),(25 1172912.5),(26 1169971),(27 1241843),(28 1250167.6),(29 1254000.8),(30 1297330.6),(31 1451892.5),(32 1489482.6),(33 1487175.9),(34 1494124.9),(35 1562273.6),(36 1628858.3),(37 1628858.8),(38 1653480.5),(39 1658195.5),(40 1648893),(41 1651134.5),(42 1646439.1),(43 1588688.4),(44 1579174.9),(45 1580596.5),(46 1540022.8),(47 1506544.5),(48 1506681.3),
(1 29.022236),(2 34107.85),(3 187228.05),(4 239617.42),(5 239680.94),(6 290768.7),(7 412519.66),(8 424654.53),(9 425526.22),(10 466316.94),(11 614359.3),(12 681115.94),(13 681311.94),(14 781894.7),(15 884717.6),(16 1007677.9),(17 1008082.1),(18 1055067.6),(19 1271022.6),(20 1256516.5),(21 1256381.5),(22 1333442.3),(23 1371415),(24 1277812.3),(25 1276000.9),(26 1187534.4),(27 1236580.8),(28 1261170.1),(29 1268696.6),(30 1299981.8),(31 1433331.8),(32 1349426.5),(33 1347054.3),(34 1336671.9),(35 1422131.5),(36 1468557.8),(37 1468666.5),(38 1487521.3),(39 1478780.3),(40 1449259.9),(41 1452608.5),(42 1365680.9),(43 1394430.4),(44 1413278.9),(45 1412876.1),(46 1409757.1),(47 1375439.1),(48 1374845.1),
(1 26.92242),(2 37327.816),(3 128331.2),(4 180794.16),(5 181590.02),(6 244490.42),(7 357890.66),(8 404105.28),(9 404047.9),(10 453947.06),(11 563221.56),(12 608197),(13 609036.5),(14 648455.9),(15 806580.06),(16 927905.94),(17 927227.75),(18 897371.1),(19 944458.25),(20 988286.7),(21 988402.9),(22 1036129.6),(23 1074205.6),(24 993769.6),(25 992900.9),(26 976641.1),(27 985479.8),(28 1024671.8),(29 1026562.75),(30 1084836.5),(31 1167960.5),(32 1112186.3),(33 1114290.9),(34 1121636.5),(35 1176649.4),(36 1274123.8),(37 1276949.1),(38 1315982.3),(39 1329457.5),(40 1298781),(41 1303059.8),(42 1336165.1),(43 1438390.6),(44 1461013.4),(45 1455828),(46 1469400.5),(47 1486572.8),(48 1485228),
(1 25.442366),(2 38747.125),(3 163785.08),(4 245530.38),(5 245544.33),(6 289561.75),(7 376964.47),(8 422887.28),(9 422936.66),(10 475501.9),(11 554028.9),(12 604810.6),(13 604414.7),(14 682372.3),(15 720587),(16 826438.3),(17 825706.75),(18 798356.8),(19 754731.25),(20 801126.1),(21 800198.56),(22 846675.3),(23 861614.4),(24 892285.6),(25 892955.25),(26 890505.6),(27 890359.06),(28 948186.7),(29 950040.1),(30 980024.4),(31 971451.7),(32 977062.94),(33 977367.8),(34 946813.8),(35 1075885.9),(36 1136016.3),(37 1136480.6),(38 1134167.8),(39 1169143.4),(40 1231305),(41 1233104),(42 1226120.3),(43 1384961.9),(44 1356769.4),(45 1354689),(46 1228493),(47 1254407.3),(48 1254264.6),
(1 23.195911),(2 27825.244),(3 142593.86),(4 203629.95),(5 203087.14),(6 253409.02),(7 371384.13),(8 381223.8),(9 381497.13),(10 390224.13),(11 495821.7),(12 556119.44),(13 556217.7),(14 570590.06),(15 703878.56),(16 764602.06),(17 764350.94),(18 769520.7),(19 813932.4),(20 853535.56),(21 852270.75),(22 854022.9),(23 847940.25),(24 895011.56),(25 895472.6),(26 866985.1),(27 1008181.75),(28 1007789.6),(29 1006955.44),(30 1014833.06),(31 1126312.6),(32 1144363.4),(33 1143374.9),(34 1145826.6),(35 1270612.1),(36 1313732.1),(37 1312247),(38 1254702),(39 1278460.5),(40 1365567.8),(41 1364849.6),(42 1377941.8),(43 1379177.8),(44 1328565.1),(45 1326204.3),(46 1301962),(47 1302364.1),(48 1301418.3),
(1 24.602087),(2 28467.041),(3 153651.83),(4 210124.08),(5 209487.88),(6 250966.14),(7 384303.9),(8 422156.97),(9 421361.38),(10 457584.47),(11 586600),(12 597895.1),(13 598801.44),(14 591288.4),(15 671354.5),(16 729660.5),(17 728629.94),(18 731061.9),(19 835373.3),(20 918414.5),(21 917920.6),(22 904353.75),(23 854885.2),(24 892000.56),(25 894102.75),(26 1012643.94),(27 1201223.6),(28 1197576.5),(29 1198812.1),(30 1205584.8),(31 1201994.9),(32 1215402.1),(33 1216525.1),(34 1230560.3),(35 1322565.4),(36 1321617.3),(37 1322440.1),(38 1265717.6),(39 1239699),(40 1315922.4),(41 1316790.9),(42 1433114.6),(43 1521968.4),(44 1441287.4),(45 1444007.3),(46 1401435.1),(47 1287831.3),(48 1288102.6),
(1 24.72911),(2 34830.008),(3 153651.64),(4 195184),(5 195396.45),(6 223380.44),(7 309861.9),(8 345228.72),(9 345488.84),(10 386340.75),(11 480221.6),(12 532486.2),(13 532391.44),(14 602403.75),(15 732290.2),(16 861172.3),(17 860862.06),(18 883973.56),(19 903824),(20 911515.8),(21 909888),(22 932364.44),(23 943423.5),(24 969624.7),(25 969730.75),(26 984188.56),(27 1019690.94),(28 980835.7),(29 980248.7),(30 1012354.2),(31 1059862.4),(32 1035985.3),(33 1038320.8),(34 1013383.44),(35 1000419.3),(36 957785.06),(37 958451.3),(38 998217.94),(39 1013567.44),(40 1020177.2),(41 1021699.06),(42 1035184.8),(43 972107.06),(44 987850),(45 990486.5),(46 993621.5),(47 1036740.5),(48 1036574.06),
