(1 0.00060396007),(2 0.4492804),(3 4.346935),(4 6.1487136),(5 6.12495),(6 8.665821),(7 11.890881),(8 13.669219),(9 13.707212),(10 15.515548),(11 18.471289),(12 19.463264),(13 19.447166),(14 21.611399),(15 23.752823),(16 30.022127),(17 30.07644),(18 32.73233),(19 35.7967),(20 35.874287),(21 35.828083),(22 35.41388),(23 36.81255),(24 38.187927),(25 38.196484),(26 35.852184),(27 33.139572),(28 33.140602),(29 32.999577),(30 34.151012),(31 36.421326),(32 34.796566),(33 34.721622),(34 36.038464),(35 37.872616),(36 39.287212),(37 39.329906),(38 38.53379),(39 40.629345),(40 39.612896),(41 39.565495),(42 40.868202),(43 47.031734),(44 46.148148),(45 46.020916),(46 46.61184),(47 46.92857),(48 46.905277),
(1 0.0006759045),(2 0.6021632),(3 5.5818377),(4 6.717128),(5 6.7221146),(6 8.505893),(7 12.394206),(8 14.075571),(9 14.053315),(10 15.128219),(11 17.176851),(12 18.58679),(13 18.610239),(14 22.284386),(15 27.217169),(16 27.19567),(17 27.18208),(18 28.306711),(19 31.315384),(20 33.17765),(21 33.209923),(22 34.432526),(23 32.997025),(24 32.448967),(25 32.45497),(26 32.565723),(27 31.943108),(28 34.65793),(29 34.902065),(30 37.743397),(31 40.55008),(32 37.23433),(33 37.209644),(34 37.545208),(35 41.1634),(36 43.46862),(37 43.438175),(38 44.407047),(39 42.45638),(40 42.174496),(41 42.228645),(42 41.63381),(43 49.267494),(44 54.16934),(45 54.19826),(46 55.186157),(47 55.31437),(48 55.18027),
(1 0.0005601477),(2 0.7526435),(3 5.8442993),(4 8.305799),(5 8.288612),(6 10.752678),(7 13.814262),(8 13.856914),(9 13.853387),(10 14.192708),(11 16.046228),(12 18.218985),(13 18.223621),(14 21.35435),(15 22.97762),(16 23.15211),(17 23.092546),(18 23.68736),(19 24.758142),(20 27.70993),(21 27.741808),(22 29.640337),(23 28.86389),(24 31.213772),(25 31.212748),(26 34.730206),(27 31.82688),(28 34.52807),(29 34.595955),(30 36.94419),(31 37.845158),(32 39.199333),(33 39.150852),(34 39.36169),(35 39.07518),(36 41.650925),(37 41.595074),(38 40.763798),(39 43.71165),(40 43.091877),(41 43.203217),(42 43.67111),(43 41.239223),(44 39.49979),(45 39.46031),(46 38.864113),(47 38.74548),(48 38.724197),
(1 0.0005449056),(2 0.8395578),(3 4.845675),(4 7.067277),(5 7.0833306),(6 8.830204),(7 13.388059),(8 14.930926),(9 14.920487),(10 14.723363),(11 16.904392),(12 18.854782),(13 18.849146),(14 18.529665),(15 23.760418),(16 25.577932),(17 25.528715),(18 26.382738),(19 26.438713),(20 27.337872),(21 27.35314),(22 28.078657),(23 29.106413),(24 30.610676),(25 30.627323),(26 32.82583),(27 32.344845),(28 30.706484),(29 30.604225),(30 31.100151),(31 32.955956),(32 34.84549),(33 34.725666),(34 34.899616),(35 39.57012),(36 38.932793),(37 39.0165),(38 35.974785),(39 37.474895),(40 39.46482),(41 39.56649),(42 43.22297),(43 47.95917),(44 47.029415),(45 47.041176),(46 43.822605),(47 39.3962),(48 39.34914),
(1 0.00051838596),(2 0.59631175),(3 5.050157),(4 7.1829495),(5 7.210098),(6 9.753311),(7 16.37013),(8 17.358124),(9 17.33031),(10 19.16732),(11 21.791725),(12 22.556519),(13 22.529062),(14 24.914312),(15 32.744167),(16 38.310055),(17 38.31481),(18 40.035797),(19 36.400578),(20 37.17449),(21 37.156696),(22 36.9026),(23 37.082466),(24 37.995663),(25 37.950138),(26 38.50277),(27 36.781322),(28 35.503014),(29 35.704414),(30 37.687984),(31 39.304028),(32 37.375164),(33 37.42324),(34 36.840195),(35 37.33802),(36 36.233326),(37 36.25809),(38 34.48225),(39 34.369175),(40 35.369312),(41 35.384594),(42 38.595516),(43 38.88523),(44 38.910427),(45 38.978394),(46 40.903084),(47 42.425808),(48 42.415195),
(1 0.00056683196),(2 0.72649014),(3 5.7541137),(4 7.6254754),(5 7.61686),(6 9.939532),(7 13.427529),(8 13.696605),(9 13.730961),(10 15.851858),(11 21.203417),(12 22.053852),(13 22.020622),(14 21.125444),(15 22.361908),(16 24.900011),(17 24.918013),(18 27.783941),(19 28.50521),(20 27.524704),(21 27.496155),(22 28.727365),(23 28.878792),(24 30.280966),(25 30.280186),(26 33.151035),(27 34.15929),(28 37.836555),(29 37.905518),(30 39.920395),(31 38.043716),(32 40.35828),(33 40.32784),(34 43.396145),(35 44.25788),(36 43.913475),(37 43.9725),(38 41.823544),(39 42.0239),(40 41.831924),(41 41.78126),(42 42.53913),(43 45.675014),(44 42.35554),(45 42.3356),(46 41.9098),(47 43.93427),(48 43.920628),
(1 0.0006960372),(2 0.9326793),(3 5.5569882),(4 7.5446978),(5 7.5605803),(6 8.779999),(7 12.740444),(8 14.125905),(9 14.151231),(10 15.246174),(11 18.371426),(12 19.175932),(13 19.175636),(14 21.591576),(15 22.817007),(16 25.619795),(17 25.617153),(18 28.810375),(19 27.139614),(20 28.339844),(21 28.371328),(22 27.818163),(23 29.427164),(24 30.018997),(25 30.003181),(26 31.03451),(27 30.259829),(28 30.328815),(29 30.378433),(30 31.763313),(31 34.279373),(32 33.666508),(33 33.720715),(34 33.668636),(35 35.900776),(36 36.80376),(37 36.795395),(38 36.009605),(39 35.689102),(40 37.56502),(41 37.584442),(42 36.77436),(43 41.618435),(44 44.766014),(45 44.68996),(46 46.58715),(47 46.388496),(48 46.39207),
(1 0.00062498916),(2 1.1138593),(3 6.1910095),(4 8.998292),(5 8.976848),(6 10.8978195),(7 11.678021),(8 12.800304),(9 12.802969),(10 15.177413),(11 20.466629),(12 22.509897),(13 22.468369),(14 23.64495),(15 25.386194),(16 29.835804),(17 29.814909),(18 29.778893),(19 30.246485),(20 30.59808),(21 30.51944),(22 31.910933),(23 33.521893),(24 34.989536),(25 35.03888),(26 36.567284),(27 36.72388),(28 39.24465),(29 39.333904),(30 40.929977),(31 40.42624),(32 37.669548),(33 37.63713),(34 36.92412),(35 40.31656),(36 40.04607),(37 40.128723),(38 41.460983),(39 45.493423),(40 44.21601),(41 44.25965),(42 39.87985),(43 39.792347),(44 39.715107),(45 39.752445),(46 37.590225),(47 38.907124),(48 38.86325),
(1 0.0005957827),(2 1.262889),(3 6.436454),(4 8.082387),(5 8.10371),(6 9.81649),(7 12.358663),(8 14.336758),(9 14.329201),(10 15.986101),(11 18.65143),(12 18.920242),(13 18.978924),(14 20.95097),(15 25.486229),(16 28.286047),(17 28.275776),(18 29.800804),(19 28.168314),(20 30.671318),(21 30.685947),(22 31.88662),(23 33.283787),(24 37.109673),(25 37.13044),(26 38.72694),(27 43.93141),(28 44.174286),(29 44.2271),(30 42.182804),(31 42.80716),(32 42.835007),(33 42.937054),(34 43.92897),(35 44.830463),(36 45.554),(37 45.677036),(38 46.19017),(39 46.976685),(40 45.308826),(41 45.247444),(42 42.581543),(43 40.740334),(44 39.98391),(45 39.897434),(46 39.721737),(47 36.300552),(48 36.292015),
(1 0.0008345789),(2 1.0989213),(3 6.120067),(4 7.7698455),(5 7.7652335),(6 10.64175),(7 14.717214),(8 16.897188),(9 16.935177),(10 18.663847),(11 24.441174),(12 25.806475),(13 25.82375),(14 29.207445),(15 29.661913),(16 32.842476),(17 32.856686),(18 34.00114),(19 36.843082),(20 36.810406),(21 36.892807),(22 37.35036),(23 38.392803),(24 42.208977),(25 42.23056),(26 42.653362),(27 44.49746),(28 44.75025),(29 44.86488),(30 45.115574),(31 43.527176),(32 45.20462),(33 45.16966),(34 48.839573),(35 48.138332),(36 45.24032),(37 45.217197),(38 42.58392),(39 44.67004),(40 46.93604),(41 46.95431),(42 48.920807),(43 45.62569),(44 42.94664),(45 42.919373),(46 41.737434),(47 43.918846),(48 43.907814),
