1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.0004698531),(2 0.7444893),(3 2.7366576),(4 3.5622091),(5 3.5660288),(6 4.173727),(7 5.40677),(8 6.03139),(9 6.0291443),(10 6.5654283),(11 7.5775027),(12 8.271972),(13 8.27323),(14 8.763167),(15 9.396241),(16 10.077516),(17 10.080285),(18 10.434345),(19 10.424092),(20 11.053193),(21 11.051345),(22 11.29544),(23 11.314796),(24 11.975752),(25 11.969963),(26 12.447196),(27 12.722827),(28 12.997739),(29 13.003997),(30 13.013123),(31 13.043066),(32 13.307562),(33 13.309503),(34 13.118778),(35 13.2585),(36 13.878236),(37 13.873413),(38 13.8176565),(39 13.94812),(40 14.213874),(41 14.21427),(42 14.199015),(43 14.348089),(44 14.12284),(45 14.120623),(46 14.098961),(47 14.17316),(48 14.171531),
(1 0.00043005036),(2 0.7061762),(3 2.4986172),(4 3.1546187),(5 3.1562405),(6 3.671074),(7 4.6972904),(8 5.2334266),(9 5.2354784),(10 5.683706),(11 6.5843782),(12 7.128512),(13 7.129622),(14 7.5438957),(15 8.313741),(16 9.021115),(17 9.022128),(18 9.541659),(19 9.426303),(20 10.049751),(21 10.050638),(22 10.123485),(23 10.33113),(24 10.896036),(25 10.896087),(26 11.214993),(27 11.460684),(28 11.78993),(29 11.815091),(30 11.75728),(31 11.629061),(32 11.81877),(33 11.82056),(34 11.567711),(35 11.847478),(36 12.544181),(37 12.536546),(38 12.384254),(39 12.693184),(40 12.810954),(41 12.807539),(42 12.847219),(43 12.994105),(44 12.820741),(45 12.820201),(46 12.914144),(47 13.130687),(48 13.129632),
(1 0.00037748698),(2 0.61826605),(3 2.133509),(4 2.6501055),(5 2.6542177),(6 3.1183424),(7 3.9622614),(8 4.5708556),(9 4.5713058),(10 4.942019),(11 5.823656),(12 6.2560315),(13 6.2596684),(14 6.656259),(15 7.03325),(16 7.552195),(17 7.553977),(18 7.7653174),(19 7.728648),(20 8.33389),(21 8.333975),(22 8.520873),(23 8.60512),(24 9.245724),(25 9.244283),(26 9.465675),(27 9.826196),(28 10.209496),(29 10.218739),(30 10.222115),(31 10.310521),(32 10.519047),(33 10.524209),(34 10.072768),(35 10.008973),(36 10.320375),(37 10.314955),(38 10.404416),(39 10.308758),(40 10.519918),(41 10.520703),(42 10.345715),(43 10.60079),(44 10.507208),(45 10.500799),(46 10.704011),(47 10.955929),(48 10.955026),
(1 0.00034154512),(2 0.55051976),(3 1.9127866),(4 2.3611393),(5 2.3643107),(6 2.8490908),(7 3.5159297),(8 3.987459),(9 3.9861276),(10 4.20797),(11 5.053565),(12 5.3770256),(13 5.3786473),(14 5.7306666),(15 6.0616236),(16 6.518467),(17 6.518557),(18 6.7850413),(19 6.959891),(20 7.5159683),(21 7.513553),(22 7.602634),(23 7.704326),(24 8.238309),(25 8.238234),(26 8.506839),(27 8.810884),(28 9.063457),(29 9.0762005),(30 8.963075),(31 8.800846),(32 9.03202),(33 9.02944),(34 8.73576),(35 8.678555),(36 9.04881),(37 9.043122),(38 9.1466875),(39 9.139509),(40 9.273235),(41 9.266893),(42 9.297378),(43 9.403109),(44 9.253974),(45 9.250333),(46 9.383348),(47 9.61125),(48 9.610467),
(1 0.00032701966),(2 0.5253771),(3 1.6765635),(4 2.1478066),(5 2.1506584),(6 2.535144),(7 3.2035446),(8 3.6880555),(9 3.6902127),(10 3.9706914),(11 4.658599),(12 4.9692817),(13 4.969056),(14 5.3535953),(15 5.7870293),(16 6.1673675),(17 6.1676564),(18 6.430068),(19 6.459127),(20 6.8627825),(21 6.8570137),(22 6.8584714),(23 7.02393),(24 7.516585),(25 7.5187974),(26 7.78196),(27 8.073497),(28 8.503939),(29 8.508097),(30 8.449123),(31 8.345894),(32 8.573165),(33 8.573035),(34 8.261381),(35 8.333491),(36 8.766111),(37 8.76303),(38 8.680828),(39 8.645055),(40 8.8630495),(41 8.8586235),(42 8.8714695),(43 9.00462),(44 8.898636),(45 8.892266),(46 9.03677),(47 9.330159),(48 9.330332),
(1 0.0003165639),(2 0.49326935),(3 1.6254909),(4 2.0305355),(5 2.0321927),(6 2.4866004),(7 3.210636),(8 3.5332234),(9 3.53435),(10 3.7550223),(11 4.4435396),(12 4.6910152),(13 4.6920443),(14 5.016665),(15 5.370478),(16 5.683016),(17 5.6818175),(18 5.8179464),(19 5.8750887),(20 6.430118),(21 6.4274573),(22 6.465255),(23 6.58045),(24 7.0628357),(25 7.0630608),(26 7.2675033),(27 7.47407),(28 7.7601967),(29 7.768799),(30 7.7583084),(31 7.663254),(32 7.774537),(33 7.7741504),(34 7.5001307),(35 7.6185236),(36 7.9857583),(37 7.9836),(38 8.055901),(39 8.040284),(40 8.066725),(41 8.064613),(42 8.095811),(43 8.214834),(44 7.9449983),(45 7.9355145),(46 8.140784),(47 8.267436),(48 8.267266),
(1 0.0003162653),(2 0.4522878),(3 1.4603252),(4 1.8604087),(5 1.8605818),(6 2.2371972),(7 2.85748),(8 3.1711657),(9 3.1716833),(10 3.3295498),(11 3.8697927),(12 4.191837),(13 4.1939416),(14 4.5723934),(15 4.8633833),(16 5.1899924),(17 5.1906657),(18 5.2583876),(19 5.4665174),(20 5.8129683),(21 5.809602),(22 5.95719),(23 5.9960694),(24 6.379111),(25 6.3776917),(26 6.681514),(27 6.8721604),(28 7.0948277),(29 7.1009855),(30 7.0534625),(31 7.057635),(32 7.19544),(33 7.1917195),(34 6.846297),(35 6.7875786),(36 7.1467304),(37 7.145225),(38 7.146718),(39 7.0531893),(40 7.135575),(41 7.1291056),(42 7.19288),(43 7.2837133),(44 7.1704392),(45 7.1610274),(46 7.2125607),(47 7.2869463),(48 7.2867656),
(1 0.00028858066),(2 0.40163857),(3 1.3019865),(4 1.6636575),(5 1.6651627),(6 2.0320747),(7 2.5630207),(8 2.806717),(9 2.807171),(10 3.0538583),(11 3.6210504),(12 3.8976994),(13 3.8957586),(14 4.1272945),(15 4.324924),(16 4.630074),(17 4.6292076),(18 4.777069),(19 4.780551),(20 5.1882515),(21 5.1847806),(22 5.258972),(23 5.2761965),(24 5.6167893),(25 5.6152277),(26 5.8511615),(27 6.0563426),(28 6.218505),(29 6.2274218),(30 6.204298),(31 6.173281),(32 6.1982484),(33 6.1936755),(34 5.960724),(35 5.9597588),(36 6.2845364),(37 6.282667),(38 6.310468),(39 6.2074094),(40 6.295536),(41 6.288491),(42 6.241156),(43 6.4799933),(44 6.2656584),(45 6.256901),(46 6.3519797),(47 6.571148),(48 6.572165),
(1 0.00027259317),(2 0.34337923),(3 1.1333108),(4 1.4236089),(5 1.4247686),(6 1.7252967),(7 2.1846101),(8 2.4065647),(9 2.407665),(10 2.587338),(11 3.0297437),(12 3.3494523),(13 3.3480074),(14 3.5470564),(15 3.7049453),(16 4.014366),(17 4.0131564),(18 4.0879407),(19 4.056415),(20 4.399884),(21 4.3994308),(22 4.5125217),(23 4.5228305),(24 4.8719726),(25 4.8716264),(26 5.031256),(27 5.244439),(28 5.383715),(29 5.3946605),(30 5.3924036),(31 5.410669),(32 5.4120703),(33 5.40964),(34 5.2323594),(35 5.2577467),(36 5.6029925),(37 5.601393),(38 5.6335096),(39 5.6626863),(40 5.7106442),(41 5.7065077),(42 5.6465907),(43 5.6297107),(44 5.4605465),(45 5.4537873),(46 5.588166),(47 5.615756),(48 5.6151295),
(1 0.00028489114),(2 0.33584222),(3 1.1771888),(4 1.5033224),(5 1.5045533),(6 1.7896903),(7 2.1608107),(8 2.4348464),(9 2.4345126),(10 2.6217952),(11 3.1000123),(12 3.3486903),(13 3.348372),(14 3.5055454),(15 3.7249043),(16 3.9335217),(17 3.9320538),(18 4.1059074),(19 4.124074),(20 4.4816494),(21 4.480352),(22 4.5066056),(23 4.4771495),(24 4.883086),(25 4.882733),(26 5.1355686),(27 5.33588),(28 5.359126),(29 5.3706756),(30 5.296106),(31 5.3489704),(32 5.4103246),(33 5.4056983),(34 5.137089),(35 5.253809),(36 5.57461),(37 5.5712576),(38 5.533544),(39 5.4532743),(40 5.547362),(41 5.5424576),(42 5.473916),(43 5.597428),(44 5.519541),(45 5.517023),(46 5.6284723),(47 5.72437),(48 5.723782),
