1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,
(1 0.000746709),(2 1.2691025),(3 5.4054217),(4 7.026703),(5 7.04037),(6 8.942385),(7 12.39614),(8 13.811408),(9 13.809337),(10 14.4213705),(11 17.45223),(12 19.01058),(13 18.997438),(14 19.262503),(15 20.686453),(16 22.034101),(17 22.040113),(18 23.532278),(19 24.574171),(20 26.038994),(21 26.032139),(22 26.831743),(23 26.927164),(24 27.34569),(25 27.352346),(26 28.416683),(27 29.810818),(28 29.175117),(29 29.155169),(30 28.691843),(31 30.320267),(32 30.584482),(33 30.592754),(34 30.426077),(35 31.920258),(36 32.961597),(37 32.981213),(38 32.94809),(39 32.61312),(40 32.43787),(41 32.45322),(42 31.564823),(43 31.128588),(44 30.99303),(45 31.008045),(46 32.079914),(47 31.777412),(48 31.782345),
(1 0.0006686257),(2 1.3176259),(3 5.1480274),(4 6.371056),(5 6.374657),(6 8.015521),(7 10.98454),(8 12.689291),(9 12.701704),(10 13.386872),(11 15.982248),(12 17.19548),(13 17.176868),(14 17.893978),(15 19.893925),(16 20.98186),(17 20.986294),(18 21.512897),(19 23.12938),(20 24.165184),(21 24.154726),(22 24.357197),(23 24.216997),(24 24.497395),(25 24.506552),(26 25.242468),(27 26.956583),(28 27.174652),(29 27.296131),(30 26.725561),(31 26.127182),(32 25.701159),(33 25.699018),(34 25.882357),(35 27.451944),(36 29.25642),(37 29.241154),(38 30.300688),(39 30.258825),(40 30.965528),(41 30.952213),(42 30.854462),(43 31.475782),(44 31.427006),(45 31.445065),(46 31.859682),(47 31.278395),(48 31.270893),
(1 0.0006900456),(2 1.2619121),(3 4.8089366),(4 6.0858192),(5 6.088741),(6 7.5730324),(7 10.191084),(8 11.12603),(9 11.132973),(10 12.237237),(11 15.066243),(12 15.617121),(13 15.621937),(14 16.138985),(15 18.475271),(16 19.571049),(17 19.567213),(18 19.994804),(19 20.413403),(20 22.096607),(21 22.099848),(22 22.99696),(23 22.153357),(24 22.878965),(25 22.871824),(26 23.690603),(27 24.84736),(28 26.06728),(29 26.088057),(30 26.237225),(31 26.971182),(32 27.436264),(33 27.457874),(34 27.236526),(35 27.313375),(36 27.932993),(37 27.928188),(38 28.657097),(39 28.826206),(40 28.800447),(41 28.795061),(42 29.535664),(43 27.936447),(44 27.71302),(45 27.670925),(46 27.483788),(47 27.19114),(48 27.195053),
(1 0.00064248516),(2 1.1298232),(3 4.12595),(4 5.4482965),(5 5.456542),(6 6.7764425),(7 9.28128),(8 9.48448),(9 9.491977),(10 10.5513),(11 12.701374),(12 13.301374),(13 13.301134),(14 13.496376),(15 15.857795),(16 16.863989),(17 16.857779),(18 17.317722),(19 17.017206),(20 17.825686),(21 17.834517),(22 18.152016),(23 19.267994),(24 21.036633),(25 21.047367),(26 21.047373),(27 21.767754),(28 22.152838),(29 22.240923),(30 22.162619),(31 23.14626),(32 23.412697),(33 23.403948),(34 23.248098),(35 23.046268),(36 23.065752),(37 23.041021),(38 22.66052),(39 24.172522),(40 24.968319),(41 24.951843),(42 25.057634),(43 24.874187),(44 24.690863),(45 24.703129),(46 24.259884),(47 25.17023),(48 25.177847),
(1 0.0005847947),(2 1.071188),(3 4.1087093),(4 5.5595627),(5 5.5593095),(6 6.5049844),(7 8.449898),(8 9.550016),(9 9.557483),(10 10.771728),(11 12.80275),(12 13.838965),(13 13.838628),(14 14.664749),(15 15.324448),(16 16.315748),(17 16.333157),(18 16.3877),(19 16.87567),(20 18.041903),(21 18.045488),(22 18.128607),(23 18.659536),(24 19.529408),(25 19.540688),(26 20.475222),(27 21.549839),(28 21.518148),(29 21.517118),(30 21.397047),(31 22.476421),(32 22.970442),(33 22.974047),(34 22.629665),(35 22.5848),(36 23.241001),(37 23.261745),(38 22.850185),(39 22.886787),(40 22.852734),(41 22.858995),(42 22.778025),(43 23.115097),(44 23.034369),(45 23.041943),(46 23.674807),(47 23.272783),(48 23.271206),
(1 0.0005478802),(2 1.1146377),(3 4.495062),(4 5.791871),(5 5.800844),(6 6.8392982),(7 8.666503),(8 9.365432),(9 9.373706),(10 10.503753),(11 11.785521),(12 12.858081),(13 12.849676),(14 13.684905),(15 15.264989),(16 16.144962),(17 16.153996),(18 16.669476),(19 17.041468),(20 17.931782),(21 17.932932),(22 18.004707),(23 18.7976),(24 19.890518),(25 19.902315),(26 20.851921),(27 21.433369),(28 21.645239),(29 21.6727),(30 21.302618),(31 21.040127),(32 21.964983),(33 21.965525),(34 21.850641),(35 22.039162),(36 22.732191),(37 22.7374),(38 22.448387),(39 23.373802),(40 24.125496),(41 24.114185),(42 24.656246),(43 25.559513),(44 24.282196),(45 24.285608),(46 24.029268),(47 23.646236),(48 23.630592),
(1 0.0005643109),(2 1.0665699),(3 4.035789),(4 5.2727127),(5 5.282255),(6 6.250205),(7 8.094191),(8 9.0134945),(9 9.012566),(10 9.520949),(11 11.066569),(12 11.750128),(13 11.749657),(14 12.339374),(15 13.529399),(16 14.217358),(17 14.222177),(18 14.8533),(19 15.432017),(20 16.306385),(21 16.30814),(22 16.448603),(23 16.87824),(24 17.54427),(25 17.541527),(26 17.959621),(27 18.152355),(28 18.72589),(29 18.805485),(30 18.931513),(31 19.435694),(32 19.76275),(33 19.778242),(34 19.573185),(35 19.508516),(36 19.865282),(37 19.859415),(38 19.556978),(39 19.385456),(40 19.92488),(41 19.925198),(42 19.913502),(43 20.193024),(44 19.679146),(45 19.667582),(46 19.68893),(47 19.26439),(48 19.247023),
(1 0.0004910196),(2 1.0116265),(3 3.8562074),(4 4.698933),(5 4.6993365),(6 5.4329224),(7 7.4416914),(8 8.190059),(9 8.184899),(10 8.903026),(11 10.254158),(12 10.964281),(13 10.956454),(14 11.701741),(15 12.531431),(16 13.535939),(17 13.539726),(18 14.714108),(19 14.884845),(20 15.943712),(21 15.955227),(22 16.312668),(23 16.455126),(24 16.814331),(25 16.812422),(26 17.656267),(27 17.772873),(28 17.611958),(29 17.678589),(30 17.816132),(31 17.061459),(32 17.48942),(33 17.48995),(34 17.250965),(35 18.318972),(36 19.32292),(37 19.312077),(38 18.866827),(39 18.896603),(40 19.452234),(41 19.428608),(42 19.880861),(43 20.424524),(44 20.363485),(45 20.368498),(46 20.062595),(47 20.67406),(48 20.677208),
(1 0.0004498178),(2 0.91476053),(3 3.4683948),(4 4.418803),(5 4.417905),(6 5.1544943),(7 6.456829),(8 7.369405),(9 7.377908),(10 7.815387),(11 9.823902),(12 10.543882),(13 10.545418),(14 10.96376),(15 11.524574),(16 12.692269),(17 12.691968),(18 13.102289),(19 13.282063),(20 14.211839),(21 14.203987),(22 14.870321),(23 14.300579),(24 15.210597),(25 15.211559),(26 15.603297),(27 15.735309),(28 16.367393),(29 16.392464),(30 16.693384),(31 17.1127),(32 16.507269),(33 16.510288),(34 16.428106),(35 16.480576),(36 17.25576),(37 17.243587),(38 16.810041),(39 16.740469),(40 17.024446),(41 17.015623),(42 17.100351),(43 16.984781),(44 17.11691),(45 17.121675),(46 17.153685),(47 17.307487),(48 17.309351),
(1 0.0004970901),(2 0.96559376),(3 3.6169941),(4 4.661985),(5 4.6627975),(6 5.496068),(7 6.679621),(8 7.3822346),(9 7.382037),(10 7.999993),(11 9.631143),(12 10.913375),(13 10.9168215),(14 11.57661),(15 11.972638),(16 13.152661),(17 13.150137),(18 13.694754),(19 13.618677),(20 14.390719),(21 14.399944),(22 15.100117),(23 15.279104),(24 16.440765),(25 16.453465),(26 17.002419),(27 16.880205),(28 17.131413),(29 17.12288),(30 17.279423),(31 17.5463),(32 17.760937),(33 17.773016),(34 17.11558),(35 17.386711),(36 17.555454),(37 17.544971),(38 17.491129),(39 17.882631),(40 17.9264),(41 17.935759),(42 17.865038),(43 18.451984),(44 17.92878),(45 17.924982),(46 17.889187),(47 18.202604),(48 18.201103),
