1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00016031478),(2 0.11240285),(3 0.40537056),(4 0.5167731),(5 0.5168646),(6 0.6064198),(7 0.76527584),(8 0.84750295),(9 0.8474977),(10 0.9044436),(11 1.0730653),(12 1.15141),(13 1.150639),(14 1.1816714),(15 1.2499855),(16 1.3696603),(17 1.3690351),(18 1.3949082),(19 1.3887622),(20 1.5105486),(21 1.5092745),(22 1.5334172),(23 1.5032127),(24 1.6350222),(25 1.6347089),(26 1.7204317),(27 1.7780986),(28 1.8671743),(29 1.87063),(30 1.8335079),(31 1.8273488),(32 1.8797386),(33 1.8781635),(34 1.8235134),(35 1.8207713),(36 1.9334048),(37 1.9324522),(38 1.9328965),(39 1.9037493),(40 1.948578),(41 1.9484962),(42 1.9510719),(43 1.938273),(44 1.8759943),(45 1.8735539),(46 1.890007),(47 1.925812),(48 1.9257561),
(1 0.00015261763),(2 0.08883704),(3 0.32355112),(4 0.41808918),(5 0.41818848),(6 0.47858343),(7 0.6058603),(8 0.66555786),(9 0.6653524),(10 0.7178185),(11 0.8259441),(12 0.8921666),(13 0.8911608),(14 0.9323455),(15 0.9891376),(16 1.0609766),(17 1.0607686),(18 1.090437),(19 1.111262),(20 1.2201293),(21 1.218646),(22 1.2452693),(23 1.2279754),(24 1.3349372),(25 1.3343605),(26 1.3828225),(27 1.4053124),(28 1.4644724),(29 1.4726175),(30 1.4500554),(31 1.430666),(32 1.482064),(33 1.4803703),(34 1.4284481),(35 1.4461622),(36 1.5548927),(37 1.5534275),(38 1.5340058),(39 1.5191286),(40 1.5571817),(41 1.5561811),(42 1.5562112),(43 1.5433838),(44 1.4946287),(45 1.4932395),(46 1.5054982),(47 1.5616112),(48 1.5611666),
(1 0.00014168314),(2 0.070020765),(3 0.25950328),(4 0.32872957),(5 0.32929498),(6 0.37319702),(7 0.47115463),(8 0.5270649),(9 0.5264264),(10 0.5643868),(11 0.63737243),(12 0.695404),(13 0.69553244),(14 0.7174682),(15 0.7628035),(16 0.8152025),(17 0.81482166),(18 0.8370651),(19 0.8401185),(20 0.9211356),(21 0.9197977),(22 0.92618954),(23 0.9226023),(24 0.9935755),(25 0.992962),(26 1.027002),(27 1.0621979),(28 1.1067672),(29 1.1117506),(30 1.0972948),(31 1.0707233),(32 1.1128193),(33 1.1109809),(34 1.0722499),(35 1.0706106),(36 1.1507063),(37 1.1498684),(38 1.1609749),(39 1.1437715),(40 1.1655185),(41 1.163331),(42 1.1655976),(43 1.152943),(44 1.1420552),(45 1.1401281),(46 1.1486212),(47 1.1651187),(48 1.1650918),
(1 0.00012655878),(2 0.05354056),(3 0.20324488),(4 0.25762546),(5 0.25768536),(6 0.30046424),(7 0.37317565),(8 0.4144416),(9 0.41427794),(10 0.45156902),(11 0.51484215),(12 0.56040883),(13 0.5599035),(14 0.57405156),(15 0.60115975),(16 0.65544194),(17 0.65504307),(18 0.6654306),(19 0.6778632),(20 0.7372486),(21 0.7365609),(22 0.74655277),(23 0.73268044),(24 0.77345014),(25 0.7728827),(26 0.78775626),(27 0.8373131),(28 0.883781),(29 0.88748944),(30 0.8787906),(31 0.8743885),(32 0.89696306),(33 0.89636874),(34 0.8684297),(35 0.8623896),(36 0.9261244),(37 0.9257174),(38 0.92807573),(39 0.90506965),(40 0.9285996),(41 0.9273321),(42 0.91635746),(43 0.9175745),(44 0.8993583),(45 0.8975693),(46 0.8995012),(47 0.9167399),(48 0.9168104),
(1 0.00012315485),(2 0.044455465),(3 0.17019516),(4 0.21991749),(5 0.21998066),(6 0.25418186),(7 0.3092809),(8 0.341752),(9 0.3413029),(10 0.3688451),(11 0.4189825),(12 0.45265925),(13 0.4523368),(14 0.46337318),(15 0.485518),(16 0.5375968),(17 0.53708225),(18 0.54603064),(19 0.5505193),(20 0.59371203),(21 0.59271705),(22 0.5937013),(23 0.58797896),(24 0.6346669),(25 0.63415736),(26 0.65327066),(27 0.66621023),(28 0.7080546),(29 0.7108005),(30 0.69428796),(31 0.6988833),(32 0.7239101),(33 0.7220583),(34 0.68779653),(35 0.6845632),(36 0.73679864),(37 0.73629475),(38 0.7455426),(39 0.7423696),(40 0.75528157),(41 0.75348604),(42 0.74238855),(43 0.7390258),(44 0.7240281),(45 0.72256494),(46 0.7372882),(47 0.7519776),(48 0.7520615),
(1 0.00012213152),(2 0.038206305),(3 0.14405671),(4 0.18311898),(5 0.18326055),(6 0.20868878),(7 0.2666528),(8 0.2946132),(9 0.29445687),(10 0.3163047),(11 0.36017925),(12 0.39256322),(13 0.39206377),(14 0.40093544),(15 0.4156719),(16 0.45263478),(17 0.45259026),(18 0.46189097),(19 0.46249926),(20 0.50324994),(21 0.50301486),(22 0.5147447),(23 0.5037422),(24 0.5342859),(25 0.5338363),(26 0.55185544),(27 0.570869),(28 0.600347),(29 0.6035274),(30 0.5879117),(31 0.59227663),(32 0.6128441),(33 0.61205024),(34 0.5837532),(35 0.5777969),(36 0.62292683),(37 0.6224309),(38 0.61186486),(39 0.61493224),(40 0.62877506),(41 0.62737656),(42 0.61710995),(43 0.6113497),(44 0.6056252),(45 0.6044845),(46 0.60602266),(47 0.6110958),(48 0.61101437),
(1 0.000115645715),(2 0.03208036),(3 0.11533489),(4 0.15315315),(5 0.15320739),(6 0.17675975),(7 0.21864448),(8 0.24319088),(9 0.24303366),(10 0.26108205),(11 0.29251805),(12 0.3234904),(13 0.32287192),(14 0.33060712),(15 0.35017416),(16 0.3795965),(17 0.3794719),(18 0.38469607),(19 0.37716794),(20 0.41016075),(21 0.40960488),(22 0.4167543),(23 0.41216886),(24 0.4432703),(25 0.4427693),(26 0.4506189),(27 0.46356437),(28 0.48831165),(29 0.49009845),(30 0.48467997),(31 0.4744501),(32 0.49355987),(33 0.4925554),(34 0.4696612),(35 0.46770012),(36 0.5054421),(37 0.50469416),(38 0.5002013),(39 0.48931116),(40 0.50714564),(41 0.50622195),(42 0.5012417),(43 0.50147367),(44 0.49899343),(45 0.49747205),(46 0.49317646),(47 0.506614),(48 0.5064865),
(1 0.00010823585),(2 0.027543362),(3 0.09853308),(4 0.12532991),(5 0.12532747),(6 0.14282784),(7 0.17397606),(8 0.19541338),(9 0.19524018),(10 0.20521685),(11 0.23233095),(12 0.2543086),(13 0.25374147),(14 0.2630257),(15 0.2754594),(16 0.29996115),(17 0.29977867),(18 0.30502903),(19 0.29963106),(20 0.32706046),(21 0.32613623),(22 0.3314131),(23 0.32352895),(24 0.34588796),(25 0.3452785),(26 0.3506346),(27 0.35951856),(28 0.37757564),(29 0.3795693),(30 0.37693048),(31 0.36965302),(32 0.38525632),(33 0.38446203),(34 0.3717763),(35 0.37680683),(36 0.40745485),(37 0.40690568),(38 0.40020683),(39 0.39255127),(40 0.40378657),(41 0.4025159),(42 0.40190107),(43 0.39354074),(44 0.3870089),(45 0.38598055),(46 0.38655353),(47 0.39829594),(48 0.398307),
(1 0.00010380622),(2 0.022638535),(3 0.0810358),(4 0.10220964),(5 0.10220208),(6 0.11668396),(7 0.1413521),(8 0.15638134),(9 0.15610884),(10 0.16886021),(11 0.18967912),(12 0.21050334),(13 0.21036296),(14 0.21412206),(15 0.22179928),(16 0.24570718),(17 0.24546656),(18 0.2469688),(19 0.2456594),(20 0.26923344),(21 0.26861385),(22 0.2666261),(23 0.26172814),(24 0.28202507),(25 0.28176323),(26 0.28644848),(27 0.29012248),(28 0.30681935),(29 0.30851498),(30 0.30359864),(31 0.30033892),(32 0.3145772),(33 0.3138701),(34 0.30010414),(35 0.29936838),(36 0.32184726),(37 0.32114607),(38 0.3181572),(39 0.31521046),(40 0.32386377),(41 0.32295606),(42 0.32076782),(43 0.31403428),(44 0.3111857),(45 0.310442),(46 0.3079776),(47 0.32146323),(48 0.32140765),
(1 0.000114362316),(2 0.022449771),(3 0.07527736),(4 0.09548845),(5 0.09545473),(6 0.109649226),(7 0.13068584),(8 0.14527212),(9 0.14491482),(10 0.1547339),(11 0.17174813),(12 0.18770142),(13 0.18714057),(14 0.1925179),(15 0.19951732),(16 0.22117978),(17 0.22103994),(18 0.22626974),(19 0.22703998),(20 0.24717778),(21 0.24673678),(22 0.2489815),(23 0.24125376),(24 0.25906795),(25 0.2585876),(26 0.26208016),(27 0.26285934),(28 0.2814129),(29 0.28172377),(30 0.2725803),(31 0.27280137),(32 0.28610674),(33 0.28510338),(34 0.27212325),(35 0.2696501),(36 0.29354584),(37 0.29300192),(38 0.28749758),(39 0.281683),(40 0.29226837),(41 0.29140085),(42 0.28809845),(43 0.2826475),(44 0.28206885),(45 0.2811283),(46 0.28202555),(47 0.28853294),(48 0.28850335),
(1 0.000104968596),(2 0.01830458),(3 0.060027737),(4 0.0771881),(5 0.077199385),(6 0.08653912),(7 0.10471326),(8 0.11604451),(9 0.11580143),(10 0.122707136),(11 0.14043997),(12 0.15161632),(13 0.15158017),(14 0.15803146),(15 0.1612641),(16 0.18143114),(17 0.181185),(18 0.18200323),(19 0.18084623),(20 0.19757669),(21 0.19697599),(22 0.19931987),(23 0.19353352),(24 0.20678167),(25 0.20639667),(26 0.21134226),(27 0.21299373),(28 0.22521503),(29 0.22471154),(30 0.22275345),(31 0.21865486),(32 0.22887096),(33 0.22798051),(34 0.21754803),(35 0.21598704),(36 0.23294435),(37 0.23236881),(38 0.2303597),(39 0.22932425),(40 0.23656718),(41 0.23595464),(42 0.23246418),(43 0.22809109),(44 0.22738218),(45 0.22659849),(46 0.22193997),(47 0.23109668),(48 0.23110776),
(1 0.000104271516),(2 0.016964681),(3 0.055864457),(4 0.069500014),(5 0.06954183),(6 0.077189684),(7 0.093749106),(8 0.10309263),(9 0.10288576),(10 0.10951679),(11 0.12539004),(12 0.13586561),(13 0.13575348),(14 0.13942969),(15 0.14635462),(16 0.16256855),(17 0.16230248),(18 0.16343933),(19 0.1619074),(20 0.176735),(21 0.17631572),(22 0.1769226),(23 0.17202938),(24 0.18495587),(25 0.18466681),(26 0.18522449),(27 0.18675527),(28 0.19548449),(29 0.19558752),(30 0.19548784),(31 0.19398451),(32 0.20213464),(33 0.20157015),(34 0.1932219),(35 0.19062252),(36 0.2057422),(37 0.20531377),(38 0.20604707),(39 0.20245065),(40 0.20964202),(41 0.2090619),(42 0.20560992),(43 0.20208758),(44 0.19914801),(45 0.19842736),(46 0.19678429),(47 0.20225517),(48 0.20225795),
(1 0.00011068159),(2 0.017125696),(3 0.054784667),(4 0.06713105),(5 0.06718744),(6 0.076006144),(7 0.09052032),(8 0.10025332),(9 0.09999687),(10 0.1058184),(11 0.11784049),(12 0.12942752),(13 0.12910058),(14 0.13257104),(15 0.13862078),(16 0.1547612),(17 0.15456048),(18 0.15554331),(19 0.15691671),(20 0.17109838),(21 0.17071463),(22 0.16828404),(23 0.16440257),(24 0.1767955),(25 0.17643082),(26 0.17542617),(27 0.17899035),(28 0.18877503),(29 0.18843967),(30 0.18619713),(31 0.184292),(32 0.19167961),(33 0.19109057),(34 0.18219772),(35 0.18129918),(36 0.19529612),(37 0.1948394),(38 0.19573385),(39 0.19150305),(40 0.20020492),(41 0.19945133),(42 0.19764233),(43 0.19311981),(44 0.19247699),(45 0.19159383),(46 0.1890914),(47 0.19817863),(48 0.1981632),
(1 0.00011082823),(2 0.016423784),(3 0.049802132),(4 0.06265456),(5 0.062618755),(6 0.07033338),(7 0.08517955),(8 0.09356586),(9 0.093393184),(10 0.098774806),(11 0.10938813),(12 0.118124254),(13 0.11788312),(14 0.12148004),(15 0.12560868),(16 0.14212713),(17 0.14189427),(18 0.14381382),(19 0.1458165),(20 0.15820917),(21 0.15782616),(22 0.15669216),(23 0.1520319),(24 0.16264763),(25 0.16233963),(26 0.16252139),(27 0.1622097),(28 0.17021476),(29 0.16990827),(30 0.16994481),(31 0.1683316),(32 0.174484),(33 0.1738703),(34 0.16656575),(35 0.16592549),(36 0.18077286),(37 0.1801875),(38 0.17916581),(39 0.17503254),(40 0.18332985),(41 0.18274063),(42 0.18023778),(43 0.17827302),(44 0.17709346),(45 0.1765144),(46 0.17318822),(47 0.18139693),(48 0.18134426),
(1 0.000104285784),(2 0.014497364),(3 0.043201208),(4 0.05452129),(5 0.05461508),(6 0.06226752),(7 0.074505195),(8 0.08243706),(9 0.082120515),(10 0.08563312),(11 0.09557746),(12 0.10409711),(13 0.10388086),(14 0.106584825),(15 0.111768164),(16 0.12395205),(17 0.12378284),(18 0.12515727),(19 0.12565005),(20 0.13742922),(21 0.13700978),(22 0.13510966),(23 0.13183844),(24 0.14099862),(25 0.14081827),(26 0.14210491),(27 0.14494272),(28 0.14973176),(29 0.14947917),(30 0.14791827),(31 0.14791594),(32 0.15518779),(33 0.15457532),(34 0.14747252),(35 0.14703593),(36 0.16124262),(37 0.16065966),(38 0.15860961),(39 0.15430549),(40 0.16248398),(41 0.16180645),(42 0.1586163),(43 0.15464766),(44 0.15532611),(45 0.15481135),(46 0.15175971),(47 0.15735829),(48 0.15730985),
(1 0.000094978386),(2 0.012748539),(3 0.038455404),(4 0.047618356),(5 0.04755672),(6 0.05431601),(7 0.06495016),(8 0.07206979),(9 0.07191779),(10 0.07653676),(11 0.0863823),(12 0.09434279),(13 0.09406797),(14 0.0971255),(15 0.10167152),(16 0.11500806),(17 0.114749745),(18 0.1143411),(19 0.11429154),(20 0.12395761),(21 0.12356295),(22 0.12286191),(23 0.120312005),(24 0.12922995),(25 0.12894145),(26 0.12906602),(27 0.12749061),(28 0.13559869),(29 0.13574556),(30 0.13220368),(31 0.13086759),(32 0.13747476),(33 0.13690291),(34 0.130034),(35 0.12904301),(36 0.14103827),(37 0.14057791),(38 0.13994773),(39 0.13907364),(40 0.14469509),(41 0.1440414),(42 0.14188264),(43 0.13856299),(44 0.1382618),(45 0.13769792),(46 0.13478856),(47 0.13943806),(48 0.13939995),
(1 0.000094664334),(2 0.012019729),(3 0.036165357),(4 0.044781975),(5 0.044828564),(6 0.050881803),(7 0.061344773),(8 0.07011276),(9 0.069930226),(10 0.0726226),(11 0.08062821),(12 0.08827425),(13 0.087998934),(14 0.09013538),(15 0.09423516),(16 0.10725463),(17 0.10698294),(18 0.1063217),(19 0.10687627),(20 0.117189094),(21 0.11676559),(22 0.11427575),(23 0.112893514),(24 0.12102492),(25 0.12083962),(26 0.11988882),(27 0.11958648),(28 0.12838246),(29 0.1283215),(30 0.12541682),(31 0.12446506),(32 0.13078155),(33 0.13031285),(34 0.12329571),(35 0.12243474),(36 0.13219702),(37 0.13183106),(38 0.13206981),(39 0.1301133),(40 0.1366978),(41 0.13609335),(42 0.13303657),(43 0.12897587),(44 0.12804341),(45 0.12747896),(46 0.1248109),(47 0.12981166),(48 0.12976794),
(1 0.000099766075),(2 0.011881363),(3 0.03611353),(4 0.045562625),(5 0.045516945),(6 0.050888818),(7 0.061839685),(8 0.06742196),(9 0.06726446),(10 0.069823176),(11 0.07863649),(12 0.086005494),(13 0.08572536),(14 0.08659213),(15 0.090572536),(16 0.10361667),(17 0.10333998),(18 0.10342802),(19 0.10427683),(20 0.11467196),(21 0.11437238),(22 0.11206482),(23 0.11064584),(24 0.119586654),(25 0.11934869),(26 0.11884394),(27 0.11821504),(28 0.1250156),(29 0.12470657),(30 0.12296068),(31 0.12204778),(32 0.1288306),(33 0.12829088),(34 0.120791286),(35 0.12040156),(36 0.13163732),(37 0.13103242),(38 0.1287497),(39 0.12921354),(40 0.13602768),(41 0.13540444),(42 0.1322666),(43 0.12832732),(44 0.12834443),(45 0.12789144),(46 0.12452507),(47 0.13058074),(48 0.13056552),
(1 0.00008916382),(2 0.010487822),(3 0.032268476),(4 0.041132923),(5 0.041216187),(6 0.04594506),(7 0.055435352),(8 0.061893918),(9 0.061814167),(10 0.06374393),(11 0.07179463),(12 0.08011206),(13 0.0799258),(14 0.08046503),(15 0.08481976),(16 0.09399083),(17 0.09383381),(18 0.09416576),(19 0.09581604),(20 0.104292974),(21 0.1038935),(22 0.10252769),(23 0.10118862),(24 0.10815126),(25 0.10801847),(26 0.10814124),(27 0.10947603),(28 0.1155072),(29 0.11476276),(30 0.11367414),(31 0.11146046),(32 0.11816748),(33 0.117638536),(34 0.11124765),(35 0.11049769),(36 0.12092199),(37 0.120454706),(38 0.11883115),(39 0.11651434),(40 0.12239965),(41 0.12166765),(42 0.11838264),(43 0.11657848),(44 0.11764372),(45 0.117163986),(46 0.11373333),(47 0.117914885),(48 0.11794643),
(1 0.00008925651),(2 0.009983632),(3 0.03126278),(4 0.039401405),(5 0.039354246),(6 0.043731123),(7 0.054040987),(8 0.059865817),(9 0.05967891),(10 0.06194474),(11 0.070013486),(12 0.07620928),(13 0.076019816),(14 0.07601792),(15 0.0802025),(16 0.090703875),(17 0.09043424),(18 0.09018297),(19 0.0906457),(20 0.09920085),(21 0.09884904),(22 0.09790002),(23 0.096033946),(24 0.10291381),(25 0.10265288),(26 0.103650115),(27 0.10241611),(28 0.10886597),(29 0.10946102),(30 0.10699035),(31 0.1065272),(32 0.112453714),(33 0.11197458),(34 0.10581405),(35 0.105234645),(36 0.11472606),(37 0.11427888),(38 0.11333903),(39 0.110143654),(40 0.11613789),(41 0.1158265),(42 0.11415904),(43 0.11100537),(44 0.11153522),(45 0.1110918),(46 0.107817575),(47 0.1121521),(48 0.112152316),
