1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.00020110945),(2 0.24294776),(3 0.79863137),(4 1.014048),(5 1.0147986),(6 1.2183187),(7 1.530821),(8 1.6857333),(9 1.6858343),(10 1.8221827),(11 2.1489282),(12 2.3406303),(13 2.339822),(14 2.497739),(15 2.5940034),(16 2.7743325),(17 2.7739978),(18 2.8532388),(19 2.8548596),(20 3.1075287),(21 3.1060514),(22 3.180389),(23 3.175817),(24 3.4326925),(25 3.4326212),(26 3.553937),(27 3.709535),(28 3.8262067),(29 3.8341854),(30 3.7659638),(31 3.7650237),(32 3.8228416),(33 3.8207183),(34 3.6830437),(35 3.6824706),(36 3.9298637),(37 3.9293954),(38 3.9599116),(39 3.9257987),(40 3.9597158),(41 3.9582813),(42 3.8981042),(43 3.948753),(44 3.8596013),(45 3.8552034),(46 3.9410233),(47 4.0131354),(48 4.013236),
(1 0.00018954427),(2 0.19265102),(3 0.6677933),(4 0.85885215),(5 0.8600254),(6 1.0313917),(7 1.3013929),(8 1.4674622),(9 1.4673933),(10 1.5688475),(11 1.8295457),(12 1.9710879),(13 1.9708949),(14 2.059153),(15 2.182283),(16 2.3333278),(17 2.3325546),(18 2.443125),(19 2.435183),(20 2.6578226),(21 2.6571763),(22 2.676046),(23 2.6773932),(24 2.910674),(25 2.910848),(26 2.995394),(27 3.120702),(28 3.2221618),(29 3.2294185),(30 3.2127886),(31 3.226443),(32 3.256061),(33 3.2553976),(34 3.1178746),(35 3.1478283),(36 3.3605788),(37 3.359627),(38 3.3756733),(39 3.338293),(40 3.3750699),(41 3.373301),(42 3.3476672),(43 3.3533502),(44 3.2882347),(45 3.2854216),(46 3.3384073),(47 3.3853872),(48 3.3856335),
(1 0.00017477183),(2 0.16189308),(3 0.5690859),(4 0.720522),(5 0.7208798),(6 0.85611033),(7 1.070823),(8 1.1813645),(9 1.1814442),(10 1.2461172),(11 1.4595505),(12 1.5787601),(13 1.578747),(14 1.6633168),(15 1.720791),(16 1.8612294),(17 1.8604698),(18 1.9190923),(19 1.9221346),(20 2.076797),(21 2.0755174),(22 2.1100795),(23 2.0950336),(24 2.2765787),(25 2.2766898),(26 2.4059582),(27 2.514143),(28 2.609392),(29 2.6111686),(30 2.5810986),(31 2.5851538),(32 2.6435437),(33 2.6410208),(34 2.5486765),(35 2.5721376),(36 2.7278259),(37 2.7272172),(38 2.7012682),(39 2.7397234),(40 2.7512305),(41 2.7484157),(42 2.7214239),(43 2.711588),(44 2.6510365),(45 2.6481278),(46 2.681989),(47 2.722881),(48 2.7225146),
(1 0.000162541),(2 0.12833415),(3 0.4685566),(4 0.6036414),(5 0.60399455),(6 0.70810646),(7 0.9011317),(8 0.9871642),(9 0.9871827),(10 1.0491482),(11 1.2412105),(12 1.325948),(13 1.3251799),(14 1.3659422),(15 1.4413176),(16 1.5583485),(17 1.5576549),(18 1.6258404),(19 1.627911),(20 1.7812017),(21 1.7807792),(22 1.8075126),(23 1.7868782),(24 1.9290091),(25 1.9285918),(26 2.0159588),(27 2.0718803),(28 2.1747503),(29 2.1824117),(30 2.1510696),(31 2.150595),(32 2.2360823),(33 2.235236),(34 2.1504912),(35 2.179701),(36 2.2964785),(37 2.2961426),(38 2.2650354),(39 2.236002),(40 2.2811596),(41 2.2802293),(42 2.2803526),(43 2.2609203),(44 2.1970222),(45 2.1956503),(46 2.2140274),(47 2.2511523),(48 2.2513149),
(1 0.00015636563),(2 0.11301833),(3 0.414712),(4 0.5197817),(5 0.5198175),(6 0.5973899),(7 0.76635695),(8 0.83835405),(9 0.8381581),(10 0.90008426),(11 1.0503379),(12 1.1260958),(13 1.1257001),(14 1.1647701),(15 1.2289752),(16 1.3037858),(17 1.30323),(18 1.3369253),(19 1.3473214),(20 1.4738139),(21 1.4733367),(22 1.4928986),(23 1.4759698),(24 1.5952492),(25 1.5952039),(26 1.6584364),(27 1.7451247),(28 1.8126038),(29 1.8159333),(30 1.7832999),(31 1.7844945),(32 1.8336245),(33 1.8323697),(34 1.7672365),(35 1.7743196),(36 1.8939997),(37 1.8929636),(38 1.8818871),(39 1.8347929),(40 1.8796957),(41 1.878312),(42 1.8898156),(43 1.8792813),(44 1.8321214),(45 1.8287294),(46 1.8487533),(47 1.9018931),(48 1.901675),
(1 0.00015258085),(2 0.10539955),(3 0.37058038),(4 0.4705922),(5 0.4707165),(6 0.54185545),(7 0.6840869),(8 0.7525745),(9 0.7519811),(10 0.80508715),(11 0.9150394),(12 0.996079),(13 0.995639),(14 1.0314082),(15 1.0874228),(16 1.1746675),(17 1.1742191),(18 1.2107817),(19 1.2168401),(20 1.3243906),(21 1.3227409),(22 1.3324045),(23 1.3281788),(24 1.4330571),(25 1.4327236),(26 1.4996779),(27 1.548897),(28 1.6176199),(29 1.6253306),(30 1.5774544),(31 1.5733229),(32 1.6226689),(33 1.6208),(34 1.5603803),(35 1.5695109),(36 1.6892679),(37 1.6886421),(38 1.6722463),(39 1.6458086),(40 1.6730279),(41 1.6710016),(42 1.6774591),(43 1.658387),(44 1.6209671),(45 1.6183771),(46 1.6507608),(47 1.693806),(48 1.6938717),
(1 0.00014773458),(2 0.08674038),(3 0.3020455),(4 0.38714445),(5 0.3872202),(6 0.44337213),(7 0.5627061),(8 0.6170542),(9 0.61732394),(10 0.67167646),(11 0.7609992),(12 0.8213078),(13 0.82083225),(14 0.8471132),(15 0.9152914),(16 0.9709693),(17 0.9707239),(18 1.0008956),(19 0.98915833),(20 1.0829633),(21 1.0815141),(22 1.1046313),(23 1.0847081),(24 1.1639776),(25 1.1636943),(26 1.2023354),(27 1.2567924),(28 1.3200355),(29 1.3277845),(30 1.3237627),(31 1.3116207),(32 1.3622237),(33 1.3600513),(34 1.3067124),(35 1.3014896),(36 1.4066072),(37 1.4053687),(38 1.3858079),(39 1.3588479),(40 1.3904577),(41 1.3883938),(42 1.3793559),(43 1.3701634),(44 1.3459657),(45 1.3431828),(46 1.3558974),(47 1.4041265),(48 1.4038622),
(1 0.00013679663),(2 0.071885996),(3 0.2611937),(4 0.3320255),(5 0.33220485),(6 0.38893074),(7 0.47313297),(8 0.521847),(9 0.5214727),(10 0.5656798),(11 0.6305738),(12 0.68597084),(13 0.68559456),(14 0.7133694),(15 0.74191535),(16 0.8008958),(17 0.8003646),(18 0.81637716),(19 0.8187904),(20 0.8923325),(21 0.891054),(22 0.8944445),(23 0.88618296),(24 0.95738536),(25 0.9572296),(26 0.9809427),(27 1.0188259),(28 1.0804887),(29 1.0862231),(30 1.0562109),(31 1.0436733),(32 1.0922462),(33 1.0903534),(34 1.0478009),(35 1.0353436),(36 1.1195383),(37 1.1185971),(38 1.1139177),(39 1.1078736),(40 1.1352919),(41 1.1327173),(42 1.117861),(43 1.112275),(44 1.100375),(45 1.0980846),(46 1.1109787),(47 1.1340369),(48 1.1341031),
(1 0.00012544577),(2 0.057472095),(3 0.21125524),(4 0.26539013),(5 0.26545686),(6 0.31004864),(7 0.38381723),(8 0.42103395),(9 0.42106003),(10 0.46038848),(11 0.5177389),(12 0.5606873),(13 0.5602038),(14 0.5768407),(15 0.6064435),(16 0.65167063),(17 0.6513658),(18 0.65893775),(19 0.6633401),(20 0.7245468),(21 0.7235217),(22 0.7328312),(23 0.72463596),(24 0.78071314),(25 0.7802858),(26 0.79642457),(27 0.8391853),(28 0.8780641),(29 0.8826439),(30 0.86405313),(31 0.8678822),(32 0.90769595),(33 0.9059874),(34 0.8600175),(35 0.8401232),(36 0.9078724),(37 0.9070989),(38 0.8980078),(39 0.8828364),(40 0.8994082),(41 0.8978241),(42 0.89080334),(43 0.89100254),(44 0.8850056),(45 0.8831177),(46 0.8937577),(47 0.9114123),(48 0.91147053),
(1 0.00012936973),(2 0.05306957),(3 0.19113114),(4 0.24556345),(5 0.24575186),(6 0.288899),(7 0.35966098),(8 0.39793763),(9 0.39754388),(10 0.42375544),(11 0.4716672),(12 0.51273435),(13 0.5119838),(14 0.52695376),(15 0.55676275),(16 0.5995727),(17 0.5992722),(18 0.61045474),(19 0.60753244),(20 0.6664126),(21 0.66568226),(22 0.6646522),(23 0.6580667),(24 0.70887965),(25 0.708349),(26 0.72954285),(27 0.7542781),(28 0.79660827),(29 0.7998225),(30 0.77785885),(31 0.77365017),(32 0.802425),(33 0.80082804),(34 0.7741741),(35 0.7700874),(36 0.83284444),(37 0.832225),(38 0.8354336),(39 0.81780267),(40 0.83989906),(41 0.8375689),(42 0.8222193),(43 0.81914186),(44 0.80937725),(45 0.80807644),(46 0.8149905),(47 0.8330802),(48 0.83288676),
