1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 105790.4),(2 393441.47),(3 844399.56),(4 1452969),(5 2234668.3),(6 3181980.8),(7 4317535.5),(8 5626006.5),(9 7058018.5),(10 8619891),(11 10269887),(12 12064452),(13 14009689),(14 16131381),(15 18341842),(16 20819854),(17 23478870),(18 26338882),(19 29416550),(20 32665376),(21 36043776),(22 39614876),(23 43565840),(24 47729652),(25 52157600),(26 56742304),(27 61589260),(28 66554976),(29 71655960),(30 76828970),(31 82057000),(32 87221060),(33 92338090),(34 97396280),(35 102495780),(36 107602690),(37 112563160),(38 117748330),(39 122622040),(40 127350040),(41 131898696),(42 136447260),(43 140655100),(44 144919380),(45 148913620),(46 152722240),(47 156390510),(48 159922380),(49 163344590),(50 166515410),(51 169733400),(52 172625300),(53 175511820),(54 178552940),(55 181693250),(56 184813200),(57 187849490),(58 190960770),(59 193926190),(60 196852370),(61 199662460),(62 202527870),(63 205198460),(64 207938300),(65 210373420),(66 212746580),(67 214769400),(68 216729340),(69 218390030),(70 219986480),(71 221576400),(72 222991420),(73 224252290),(74 225356720),(75 226267780),(76 226758960),(77 226951760),(78 226872960),(79 226695250),
(1 157367.25),(2 618903.9),(3 1380989.6),(4 2443606.5),(5 3855217.5),(6 5609558.5),(7 7741157.5),(8 10214250),(9 12990323),(10 16128896),(11 19553124),(12 23303044),(13 27377196),(14 31755238),(15 36473320),(16 41524470),(17 46881780),(18 52581150),(19 58605176),(20 64785600),(21 71100690),(22 77586540),(23 84403944),(24 91384280),(25 98514930),(26 105632250),(27 112857960),(28 119938690),(29 126884200),(30 133725930),(31 140377600),(32 146967070),(33 153359660),(34 159531890),(35 165602240),(36 171350880),(37 176741950),(38 181858220),(39 186456770),(40 190710930),(41 194698510),(42 198486880),(43 201763020),(44 204833000),(45 207578860),(46 209935440),(47 211964880),(48 213765600),(49 215395490),(50 216886880),(51 218451250),(52 219642930),(53 220681520),(54 221710640),(55 222866910),(56 223926820),(57 224889120),(58 225834880),(59 226852050),(60 227787170),(61 228425860),(62 229024860),(63 229613150),(64 230166500),(65 230590690),(66 231207260),(67 231558860),(68 231610600),(69 231621890),(70 231402750),(71 231139840),(72 230641180),(73 229988860),(74 229184030),(75 228143140),(76 226711710),(77 224998530),(78 223109250),(79 221270370),
(1 150343.02),(2 592750.56),(3 1312388.1),(4 2275485.3),(5 3491578.8),(6 4946095.5),(7 6649743.5),(8 8566248),(9 10644879),(10 12889797),(11 15231144),(12 17713788),(13 20283354),(14 22906518),(15 25607440),(16 28336048),(17 31118138),(18 33925496),(19 36745404),(20 39501164),(21 42155700),(22 44670236),(23 47123012),(24 49474932),(25 51768770),(26 53918050),(27 56042430),(28 58035200),(29 59852620),(30 61522636),(31 63024948),(32 64432628),(33 65707340),(34 66812384),(35 67821190),(36 68721144),(37 69410810),(38 69943350),(39 70225480),(40 70282250),(41 70287910),(42 70271224),(43 70092570),(44 70034440),(45 69933990),(46 69827256),(47 69702344),(48 69484360),(49 69282050),(50 69154744),(51 69116744),(52 69057730),(53 68936610),(54 68940120),(55 68854050),(56 68708904),(57 68423290),(58 68119176),(59 67848696),(60 67499800),(61 67053356),(62 66677436),(63 66279316),(64 65906784),(65 65507010),(66 65319084),(67 65140468),(68 64953372),(69 64711412),(70 64436816),(71 64188300),(72 63971804),(73 63839436),(74 63822784),(75 63839264),(76 63866944),(77 63905810),(78 64048092),(79 64211170),
(1 166170.83),(2 671989.44),(3 1510555.1),(4 2660604.3),(5 4136637.3),(6 5892075.5),(7 7941123.5),(8 10251209),(9 12799053),(10 15573344),(11 18468618),(12 21504516),(13 24630956),(14 27778888),(15 31054264),(16 34287308),(17 37515092),(18 40709560),(19 43833490),(20 46808300),(21 49591370),(22 52175816),(23 54546600),(24 56736492),(25 58687852),(26 60314960),(27 61703750),(28 62840190),(29 63714064),(30 64410170),(31 64912504),(32 65264148),(33 65455424),(34 65427428),(35 65303708),(36 65052076),(37 64689096),(38 64255250),(39 63726932),(40 63078736),(41 62417850),(42 61788530),(43 61189548),(44 60748820),(45 60386550),(46 60136720),(47 60015730),(48 59923540),(49 59868610),(50 59808228),(51 59800860),(52 59751410),(53 59629404),(54 59540344),(55 59486736),(56 59384996),(57 59234736),(58 59031940),(59 58792308),(60 58474716),(61 58131460),(62 57734804),(63 57279504),(64 56865988),(65 56387210),(66 55909000),(67 55391948),(68 54848630),(69 54249536),(70 53666188),(71 53124944),(72 52541292),(73 52028736),(74 51620210),(75 51225816),(76 50802830),(77 50406308),(78 50000812),(79 49561240),
(1 186876.2),(2 746294.94),(3 1656641.1),(4 2897884.8),(5 4455811.5),(6 6282635.5),(7 8376233.5),(8 10689907),(9 13181533),(10 15789325),(11 18485900),(12 21242048),(13 23958592),(14 26575000),(15 29112972),(16 31458380),(17 33637836),(18 35615260),(19 37410676),(20 38950548),(21 40181300),(22 41088508),(23 41704716),(24 42030256),(25 42063396),(26 41819580),(27 41341132),(28 40665604),(29 39824870),(30 38918824),(31 37986668),(32 37064204),(33 36139570),(34 35208970),(35 34336640),(36 33515322),(37 32769570),(38 32139136),(39 31642970),(40 31257108),(41 31038098),(42 31019160),(43 31152288),(44 31432862),(45 31854910),(46 32410914),(47 33077132),(48 33811452),(49 34638636),(50 35485764),(51 36378776),(52 37246184),(53 38058016),(54 38871376),(55 39630780),(56 40301800),(57 40874556),(58 41323010),(59 41653690),(60 41870716),(61 41979980),(62 42038824),(63 41994284),(64 41868260),(65 41625764),(66 41374670),(67 41095172),(68 40743804),(69 40358984),(70 39905624),(71 39398332),(72 38856276),(73 38336410),(74 37832412),(75 37311868),(76 36759284),(77 36187724),(78 35584696),(79 34992052),
(1 128679.586),(2 513028.7),(3 1133561.3),(4 1975384.8),(5 3039608.8),(6 4310560),(7 5752680),(8 7359169.5),(9 9094933),(10 10896726),(11 12770634),(12 14681643),(13 16561782),(14 18359696),(15 20111860),(16 21752060),(17 23316420),(18 24777412),(19 26105318),(20 27290452),(21 28279936),(22 29064902),(23 29658420),(24 30070508),(25 30304346),(26 30307462),(27 30148172),(28 29854102),(29 29452422),(30 29041814),(31 28654230),(32 28295532),(33 28009040),(34 27775316),(35 27662554),(36 27645776),(37 27767092),(38 27989852),(39 28319632),(40 28750220),(41 29285228),(42 29956954),(43 30681446),(44 31497654),(45 32369434),(46 33282026),(47 34263668),(48 35279772),(49 36354384),(50 37413064),(51 38510924),(52 39545610),(53 40475948),(54 41406540),(55 42339104),(56 43180972),(57 43930736),(58 44569940),(59 45092330),(60 45510824),(61 45809240),(62 45997120),(63 46108364),(64 46173150),(65 46197236),(66 46257996),(67 46270300),(68 46235188),(69 46186656),(70 46041780),(71 45836136),(72 45590750),(73 45338852),(74 45089370),(75 44773556),(76 44434680),(77 44051010),(78 43672320),(79 43317990),
(1 118928.16),(2 462943.88),(3 1004069.25),(4 1723847.5),(5 2613793.8),(6 3651445),(7 4815901),(8 6088314.5),(9 7420319),(10 8769327),(11 10110466),(12 11403813),(13 12609158),(14 13691584),(15 14693127),(16 15540110),(17 16278570),(18 16908754),(19 17426418),(20 17835558),(21 18118564),(22 18296654),(23 18395664),(24 18402132),(25 18337394),(26 18192928),(27 17986504),(28 17724450),(29 17419692),(30 17111810),(31 16820898),(32 16531242),(33 16285361),(34 16079771),(35 15953611),(36 15907116),(37 15966286),(38 16094704),(39 16288292),(40 16586178),(41 16958508),(42 17398868),(43 17857114),(44 18325936),(45 18849978),(46 19409420),(47 20019700),(48 20680140),(49 21432862),(50 22215090),(51 23091830),(52 24004930),(53 24940460),(54 25953736),(55 27092462),(56 28252864),(57 29393362),(58 30509398),(59 31607564),(60 32664398),(61 33632090),(62 34503620),(63 35329548),(64 36108092),(65 36796690),(66 37426030),(67 37940228),(68 38369060),(69 38717896),(70 38924410),(71 39006810),(72 38948508),(73 38799268),(74 38551852),(75 38169844),(76 37638980),(77 37014790),(78 36280400),(79 35428932),
(1 120762.414),(2 471388.5),(3 1030650.25),(4 1774318.9),(5 2687000),(6 3724724.8),(7 4882356.5),(8 6131273.5),(9 7450884.5),(10 8791348),(11 10112060),(12 11393101),(13 12622368),(14 13760774),(15 14832016),(16 15779737),(17 16644435),(18 17431212),(19 18144244),(20 18770546),(21 19293130),(22 19731274),(23 20100352),(24 20364232),(25 20553866),(26 20667336),(27 20708010),(28 20662546),(29 20552664),(30 20374990),(31 20141708),(32 19823878),(33 19441372),(34 18976744),(35 18491700),(36 17984644),(37 17472896),(38 16970730),(39 16456847),(40 15942517),(41 15460806),(42 15020539),(43 14609581),(44 14257152),(45 13997444),(46 13824959),(47 13750359),(48 13794423),(49 13937743),(50 14174230),(51 14548060),(52 14983804),(53 15501351),(54 16103459),(55 16797614),(56 17519136),(57 18224942),(58 18918536),(59 19568608),(60 20165576),(61 20657480),(62 21067764),(63 21420510),(64 21732220),(65 22005244),(66 22201352),(67 22279982),(68 22299560),(69 22257510),(70 22152840),(71 22014910),(72 21801882),(73 21545634),(74 21248100),(75 20889448),(76 20505138),(77 20094964),(78 19654588),(79 19168212),
(1 77038.305),(2 305766.66),(3 671671.1),(4 1161217.4),(5 1782168.5),(6 2500775.5),(7 3330970),(8 4220673),(9 5166604.5),(10 6173833.5),(11 7199098),(12 8197672.5),(13 9182682),(14 10116854),(15 10995622),(16 11767521),(17 12463684),(18 13094343),(19 13675137),(20 14169791),(21 14601843),(22 14947817),(23 15201397),(24 15390437),(25 15511573),(26 15569635),(27 15583481),(28 15537451),(29 15471603),(30 15368271),(31 15208214),(32 14998974),(33 14756125),(34 14471037),(35 14158263),(36 13821473),(37 13495685),(38 13174936),(39 12869626),(40 12588022),(41 12358293),(42 12150125),(43 11965722),(44 11839609),(45 11803816),(46 11830084),(47 11912661),(48 12076317),(49 12284260),(50 12496767),(51 12755835),(52 13020690),(53 13282622),(54 13546165),(55 13806211),(56 13997496),(57 14124857),(58 14207559),(59 14223249),(60 14195940),(61 14134510),(62 14035556),(63 13911345),(64 13775555),(65 13601436),(66 13403113),(67 13157827),(68 12874329),(69 12573688),(70 12272623),(71 11966684),(72 11657543),(73 11335100),(74 11017700),(75 10721549),(76 10437439),(77 10163154),(78 9900663),(79 9668180),
(1 73096.1),(2 281820.5),(3 606351.06),(4 1033466.1),(5 1554140.3),(6 2152273.5),(7 2832114.3),(8 3554364.3),(9 4298357.5),(10 5055811.5),(11 5805030),(12 6499695.5),(13 7125976),(14 7677132.5),(15 8146205.5),(16 8505879),(17 8823435),(18 9107136),(19 9366906),(20 9609652),(21 9826069),(22 10010905),(23 10179717),(24 10343504),(25 10516229),(26 10666180),(27 10818367),(28 10958511),(29 11103460),(30 11241192),(31 11371307),(32 11482191),(33 11574535),(34 11628706),(35 11654572),(36 11657195),(37 11651237),(38 11617375),(39 11544420),(40 11422651),(41 11265946),(42 11060448),(43 10823001),(44 10584131),(45 10341740),(46 10094542),(47 9859202),(48 9643547),(49 9439506),(50 9237414),(51 9062945),(52 8896235),(53 8757938),(54 8663170),(55 8605001),(56 8557652),(57 8527373),(58 8520916),(59 8554249),(60 8623627),(61 8718245),(62 8842930),(63 8968360),(64 9109438),(65 9252345),(66 9378250),(67 9503884),(68 9596268),(69 9676287),(70 9759038),(71 9845617),(72 9922923),(73 9986199),(74 10036439),(75 10064283),(76 10066886),(77 10044096),(78 10004560),(79 9969911),
(1 95647.305),(2 365524.72),(3 775233.3),(4 1291973.4),(5 1896224.8),(6 2560515.8),(7 3267490),(8 4002747.3),(9 4743516),(10 5476612.5),(11 6203843),(12 6899303),(13 7544655),(14 8143006),(15 8661181),(16 9091217),(17 9423046),(18 9655113),(19 9799846),(20 9865336),(21 9843027),(22 9755848),(23 9608666),(24 9418335),(25 9248475),(26 9077675),(27 8911520),(28 8791610),(29 8711164),(30 8657917),(31 8653218),(32 8704787),(33 8782955),(34 8873543),(35 8970136),(36 9073150),(37 9168135),(38 9246472),(39 9285395),(40 9281956),(41 9251014),(42 9184411),(43 9086175),(44 8971863),(45 8836775),(46 8675176),(47 8507400),(48 8347794),(49 8197332.5),(50 8062564.5),(51 7967602),(52 7887115),(53 7801401.5),(54 7725386),(55 7640346),(56 7555867.5),(57 7497716.5),(58 7451370),(59 7422860),(60 7405413.5),(61 7408292.5),(62 7425112),(63 7455302.5),(64 7491949.5),(65 7525368.5),(66 7586375.5),(67 7653541.5),(68 7718842.5),(69 7795671.5),(70 7886300.5),(71 7978097),(72 8054115),(73 8135536),(74 8222831),(75 8304561),(76 8383308),(77 8476685),(78 8575193),(79 8667846),
