1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 10427.289),(2 31034.496),(3 51477.434),(4 67209.61),(5 78831.4),(6 86431.625),(7 91832.71),(8 95748.555),(9 99901.586),(10 104513.74),(11 109280.36),(12 112517.625),(13 115679.68),(14 118706.914),(15 121533.625),(16 125155.945),(17 129269.13),(18 131823.8),(19 133422.16),(20 134742.4),(21 137096.36),(22 138585.02),(23 139976.61),(24 141763.95),(25 143003.19),(26 144345.03),(27 145260.53),(28 147066.6),(29 149281.03),(30 150872.34),(31 151263.56),(32 152140.88),(33 153635.17),(34 155839.45),(35 157082.53),(36 157699.66),(37 156480.55),(38 154337.63),(39 153236.5),(40 153641.9),(41 154678.39),(42 156049.3),(43 156283.13),(44 156567.8),(45 156344.58),(46 156519.16),(47 156776.78),(48 156813.31),(49 157995.14),(50 159530.48),(51 160652.56),(52 161271.1),(53 161698.94),(54 162944.55),(55 164525),(56 165418.11),(57 166160.27),(58 166412.78),(59 166608.19),(60 166576.19),(61 167917.97),(62 170009.22),(63 172594.22),(64 173683.19),(65 172970.61),(66 171692.92),(67 171462.45),(68 171845.25),(69 172831.17),(70 173323.45),(71 173112.13),(72 172441.39),(73 172107.05),(74 172599.4),(75 172736.39),(76 172778.48),(77 172755.33),(78 173426.8),(79 173781.7),
(1 10618.782),(2 31169.582),(3 49976.027),(4 63060.684),(5 72516.82),(6 79562.91),(7 85225.766),(8 89871.88),(9 95197.86),(10 100315.08),(11 105657),(12 110505.516),(13 114122.27),(14 117357.53),(15 120992.33),(16 123380.49),(17 126021.04),(18 128413),(19 129981.66),(20 131623.86),(21 132764.6),(22 133133.75),(23 133844.17),(24 135404.89),(25 137935.83),(26 139898.77),(27 140612.38),(28 140184.14),(29 139714.11),(30 140521.22),(31 141732.8),(32 144450.55),(33 146953.7),(34 149536.19),(35 151947.94),(36 155626.6),(37 159193.33),(38 161895.88),(39 162697.7),(40 163759.92),(41 163705.39),(42 162410.14),(43 161558.22),(44 161334.94),(45 160637.86),(46 160206.83),(47 160580.61),(48 161007.88),(49 162455.25),(50 162762.72),(51 162756.83),(52 162426.92),(53 161655.25),(54 160697.58),(55 159937.31),(56 158766.25),(57 157632.55),(58 156301.75),(59 155008.83),(60 153480.03),(61 152598.61),(62 152277.25),(63 152268.69),(64 151720.81),(65 151045.92),(66 150415.7),(67 149377.02),(68 148872.06),(69 149019.84),(70 148935.58),(71 148590.36),(72 147876.03),(73 147580.52),(74 147606.28),(75 147271.83),(76 147098.53),(77 147894.39),(78 149117.7),(79 150519.69),
(1 9985.586),(2 29380.559),(3 47893.62),(4 61118.81),(5 69722.3),(6 75337.99),(7 79901.836),(8 84064.695),(9 88274.69),(10 91375.54),(11 94833.83),(12 99827.5),(13 106246.14),(14 111494.68),(15 115410.22),(16 116908.47),(17 117900.914),(18 119256.234),(19 120662.33),(20 122948.52),(21 125504.836),(22 127069.67),(23 128590.74),(24 130127.766),(25 131556.05),(26 132902.77),(27 134519.48),(28 136137.86),(29 136334.52),(30 136295.56),(31 136785.05),(32 139619),(33 141431.42),(34 141555.16),(35 140906),(36 140645.48),(37 141244.34),(38 142991.22),(39 144713.02),(40 147204.48),(41 148907.16),(42 149335.84),(43 148568),(44 147913.83),(45 146724.84),(46 146429.4),(47 147411.08),(48 149077.13),(49 151529.22),(50 153287.88),(51 153748.1),(52 154583.83),(53 155970.17),(54 157394.61),(55 158282.31),(56 158260.19),(57 158095.4),(58 158101.61),(59 159324.63),(60 160503.17),(61 161064.47),(62 160307.9),(63 158870.28),(64 157695.42),(65 157906.66),(66 158858.34),(67 159703.45),(68 160309.39),(69 160680.45),(70 160310.28),(71 159919.5),(72 160001.72),(73 160022.23),(74 160643.8),(75 161231.19),(76 162209.73),(77 162838.1),(78 163244.63),(79 163059.13),
(1 9946.462),(2 28991.248),(3 46834.23),(4 60252.477),(5 70396.61),(6 78030.1),(7 84106.74),(8 89848.46),(9 95015.875),(10 98447.266),(11 101058.9),(12 102256.14),(13 103464.586),(14 103879.95),(15 105065.27),(16 107107.11),(17 110586.414),(18 114288.95),(19 117086.516),(20 119408.89),(21 122437.836),(22 124810.305),(23 126799.09),(24 127635.37),(25 128146.984),(26 128853.914),(27 131254.95),(28 135521.8),(29 138960.73),(30 141260.16),(31 142785.42),(32 145468.89),(33 148279.94),(34 151633.27),(35 154171.9),(36 155904.14),(37 156963.73),(38 157144.58),(39 157216.47),(40 156934.48),(41 156563.52),(42 157071.52),(43 157693.03),(44 159187.97),(45 160132.39),(46 160848.6),(47 161375.7),(48 161978.42),(49 162496.92),(50 163271.78),(51 163303.31),(52 161750.95),(53 160443.63),(54 160124.6),(55 160476.17),(56 161558.89),(57 162834.13),(58 163302.89),(59 163408.64),(60 163333.06),(61 163173.4),(62 162277.13),(63 160848.56),(64 160217.7),(65 160854.36),(66 161728.39),(67 161461.9),(68 159791.5),(69 158990.34),(70 159690.81),(71 161303.86),(72 162769.11),(73 163741.63),(74 163845.39),(75 162525.72),(76 161370.61),(77 160196.55),(78 160147.98),(79 160684),
(1 9774.141),(2 28317.393),(3 46052.395),(4 59404.902),(5 68992.3),(6 74650.96),(7 78647.484),(8 82432.516),(9 87762.42),(10 93372.18),(11 98795.805),(12 103233.33),(13 107052.29),(14 109516.31),(15 111142.695),(16 112554.21),(17 115361.94),(18 118255.73),(19 120521.305),(20 121246.58),(21 121942.42),(22 122977.61),(23 123944.82),(24 124259.91),(25 124944.98),(26 126231.1),(27 128314.016),(28 129595.01),(29 130779.78),(30 133012.7),(31 134772.44),(32 136410.88),(33 137873.58),(34 138299.16),(35 138655.77),(36 139174.9),(37 138636.58),(38 136726.14),(39 136020.53),(40 135918),(41 134982.95),(42 134887.17),(43 136008.28),(44 136878.88),(45 136812.61),(46 137372.77),(47 137023.88),(48 136607.25),(49 136914.77),(50 136793.2),(51 137144.27),(52 137171.75),(53 136253.06),(54 134558.61),(55 133484.56),(56 132922.92),(57 133439.38),(58 133663.06),(59 133098.1),(60 131795.55),(61 131577.27),(62 132201.4),(63 133165.17),(64 133703.48),(65 134115.19),(66 134147.88),(67 134051.44),(68 135061.95),(69 137480.77),(70 140424.36),(71 143361.36),(72 144524.13),(73 145467.64),(74 146179.45),(75 146282.78),(76 146544.19),(77 147514.84),(78 149110.77),(79 150152.36),
(1 9047.942),(2 26160.516),(3 42089.008),(4 53601.73),(5 62763),(6 69352.85),(7 74698.56),(8 79951.586),(9 84881.09),(10 89898.695),(11 94282.65),(12 96968.96),(13 98550.59),(14 99551.805),(15 101158.77),(16 103206.51),(17 105445.445),(18 107126.31),(19 108602.11),(20 109925.77),(21 111812.15),(22 113402.69),(23 115675.07),(24 118238.664),(25 121034.16),(26 123393.09),(27 125207.53),(28 125904.516),(29 126049.695),(30 126857.984),(31 128154.38),(32 130242.91),(33 132076.92),(34 133959.61),(35 135044.47),(36 136104.19),(37 135619.34),(38 134718),(39 133886.23),(40 133542.55),(41 133898.3),(42 134335.22),(43 133752.1),(44 132985.97),(45 132392.8),(46 132489.23),(47 132610.81),(48 132348.05),(49 132973.03),(50 133731.23),(51 134501.77),(52 134098.64),(53 133137.86),(54 132731.17),(55 133399.55),(56 133458.2),(57 132830.23),(58 131840.22),(59 131473.23),(60 131326.5),(61 131184.58),(62 131531.94),(63 131972.73),(64 131798.94),(65 132376.03),(66 133935.11),(67 135617.88),(68 137444.73),(69 138859.7),(70 139844.08),(71 141603.55),(72 142812.3),(73 144100.03),(74 144781.11),(75 145465.84),(76 147022.86),(77 148664.48),(78 150286.73),(79 151496.13),
(1 9322.832),(2 26614.8),(3 41630.117),(4 52724.36),(5 61117.773),(6 67611.28),(7 71523.5),(8 75021.055),(9 78797.52),(10 83246.47),(11 88106.95),(12 92056.46),(13 94923.2),(14 97256.24),(15 100169.43),(16 102856.29),(17 105809.64),(18 109126.13),(19 112411.125),(20 114971.266),(21 116385.98),(22 116735.46),(23 117574),(24 118416.8),(25 119885.86),(26 121056.5),(27 122755.01),(28 124634.13),(29 126310.836),(30 128361.31),(31 129495.43),(32 130817.46),(33 132207.47),(34 133105.44),(35 133655.1),(36 134393.23),(37 134904.52),(38 135961.42),(39 136796.16),(40 137218.03),(41 136748.44),(42 136419.66),(43 136276.8),(44 136443.25),(45 137326.89),(46 139192.81),(47 139884.19),(48 141201.27),(49 140685.5),(50 139272.03),(51 137968),(52 137580.39),(53 137535.11),(54 137358.86),(55 137205.73),(56 137354.9),(57 137438.19),(58 137179.13),(59 137208.53),(60 137845.27),(61 138089.36),(62 137430.61),(63 137089.25),(64 136328.9),(65 135754.8),(66 135598.72),(67 136166.47),(68 137974.08),(69 138694.8),(70 138713.66),(71 139720.44),(72 140908.67),(73 141355.14),(74 140769.13),(75 139605.94),(76 139328.42),(77 140325.19),(78 141398.88),(79 141504.47),
(1 8733.472),(2 24952.799),(3 39503.746),(4 50002.93),(5 57414.324),(6 63252.875),(7 68507.94),(8 73408.95),(9 77744.32),(10 80951.234),(11 84072.016),(12 86807.6),(13 89770.26),(14 93117.55),(15 96963.516),(16 100169.445),(17 103140.14),(18 105944.34),(19 108757.45),(20 111687.36),(21 114287.17),(22 116158.945),(23 118264.52),(24 119334.82),(25 120490.84),(26 120696.805),(27 120945.66),(28 121810.35),(29 123612.64),(30 125296.875),(31 125577.43),(32 126051.086),(33 126562.14),(34 127424.94),(35 128568.99),(36 128674.32),(37 128662.45),(38 129156.305),(39 130244.94),(40 131846.94),(41 132501.84),(42 133224.05),(43 133202.95),(44 132830.31),(45 133042.73),(46 134011.88),(47 135378.78),(48 136273.34),(49 137095.9),(50 138144.9),(51 139453.64),(52 140296.88),(53 141188.69),(54 141830.17),(55 142534.47),(56 141985.08),(57 142316.39),(58 142929.13),(59 144225.05),(60 145072.47),(61 145623.36),(62 145445.44),(63 144238.97),(64 142750.42),(65 142072.31),(66 141868.61),(67 142065.48),(68 141966.44),(69 142254.89),(70 142776.5),(71 143020.31),(72 142991.13),(73 142077.23),(74 141484.95),(75 140938.25),(76 140695.63),(77 141261.53),(78 141890.34),(79 142321.14),
(1 8402.814),(2 24106.031),(3 39055.777),(4 50001.57),(5 58462.98),(6 64669.36),(7 69665.69),(8 74074.02),(9 78293.43),(10 81260.54),(11 83430.984),(12 85059.11),(13 87674.81),(14 90768.25),(15 93797.9),(16 95706.87),(17 96916.695),(18 98052.38),(19 99767.31),(20 102534.53),(21 105789.83),(22 108860.836),(23 111999.47),(24 114775.36),(25 116873.73),(26 118560.42),(27 119290.984),(28 119757.21),(29 120555.74),(30 122250.984),(31 123061.75),(32 122496.06),(33 121880.28),(34 121971.58),(35 122760.766),(36 124393.72),(37 125011.78),(38 126177.93),(39 129382.32),(40 131988.67),(41 133079.55),(42 134388.08),(43 133983.42),(44 134227.53),(45 135450.3),(46 137037.56),(47 137630.94),(48 138535.58),(49 138328.8),(50 137480.45),(51 136064.58),(52 134112.27),(53 132830.6),(54 132690.83),(55 134674.22),(56 136293.38),(57 137406.27),(58 138462.33),(59 139798.6),(60 139632.48),(61 138681.25),(62 136533.27),(63 134388.05),(64 133346.14),(65 133381.73),(66 133728.89),(67 133927.73),(68 133137.56),(69 132426.42),(70 132835.61),(71 134715.67),(72 136201.38),(73 138312.33),(74 139695.2),(75 139823.14),(76 139078.2),(77 137562.67),(78 136332.56),(79 135547.58),
(1 8698.736),(2 24766.988),(3 39549.926),(4 49996.41),(5 57025.813),(6 62342.41),(7 67416.5),(8 72095.39),(9 76407.16),(10 79750.79),(11 83055.42),(12 85893.695),(13 87129.16),(14 87187.46),(15 88293.7),(16 90357.336),(17 93406.64),(18 97197.31),(19 100631.92),(20 103731.016),(21 107146.7),(22 109670.2),(23 111786.73),(24 112794.14),(25 113647.836),(26 115665.53),(27 118661.69),(28 121196.76),(29 123209.94),(30 125143.42),(31 125149.16),(32 125105.53),(33 125171.5),(34 126374.05),(35 127734.64),(36 129947.47),(37 130536.91),(38 131458.58),(39 132086.98),(40 132016.31),(41 132855.83),(42 133304.77),(43 133313.19),(44 134228.61),(45 134961.48),(46 135761.36),(47 136100.63),(48 136525.98),(49 136257.11),(50 136474.31),(51 136973.67),(52 137526.77),(53 138367.36),(54 139645.84),(55 138951.5),(56 138082.56),(57 138515.13),(58 139493.78),(59 141096.78),(60 142615),(61 142969),(62 140829.14),(63 138193.47),(64 135805.84),(65 135152.23),(66 135297.34),(67 135379.7),(68 135212.08),(69 135670.47),(70 135734.69),(71 135936.45),(72 136472.52),(73 137184.58),(74 138300.98),(75 139232.5),(76 140113.78),(77 140189.27),(78 139700.94),(79 138029.98),
(1 8706.641),(2 24644.975),(3 39469.914),(4 50795.53),(5 58517.023),(6 64035.117),(7 69795.484),(8 75317.734),(9 79988),(10 82928.82),(11 85778.01),(12 88316.59),(13 90569.99),(14 92784.44),(15 95192.21),(16 96662.94),(17 97799.79),(18 98414.21),(19 99088.586),(20 100964.24),(21 103925.58),(22 106288.19),(23 108173.52),(24 109639.53),(25 110352.62),(26 111293.9),(27 111873.125),(28 112873.58),(29 114281.58),(30 116464.164),(31 118199.43),(32 119006.125),(33 118986.05),(34 120088.445),(35 121168.984),(36 121661.62),(37 121793.484),(38 122491.24),(39 122988.7),(40 123897.15),(41 123908.33),(42 124407.55),(43 125255.91),(44 126575.34),(45 126681.414),(46 127586.125),(47 128709.016),(48 129475.13),(49 130226.07),(50 130877.125),(51 131662.56),(52 131957.64),(53 132536.06),(54 133464.45),(55 133815.27),(56 133979.8),(57 134160.63),(58 134407.34),(59 135344.67),(60 136115.6),(61 136300.16),(62 135392.53),(63 134137.14),(64 132921.47),(65 132854.6),(66 133613.31),(67 134826.1),(68 135528.98),(69 136375.38),(70 136442.55),(71 136035.22),(72 134866.8),(73 133553.13),(74 132846.08),(75 132686.39),(76 133237.84),(77 133323.83),(78 133348.02),(79 134201.83),
(1 8741.964),(2 24474.164),(3 39003.88),(4 49283.1),(5 56051.5),(6 60719.652),(7 65949.63),(8 71591.58),(9 75799.24),(10 78603.95),(11 81429.8),(12 85144.055),(13 88852.625),(14 91879.17),(15 93532.78),(16 93866.37),(17 94792.06),(18 96448.125),(19 98206.375),(20 99371.21),(21 101227.82),(22 103038.266),(23 104401.56),(24 105673),(25 107705.66),(26 109140),(27 109135.87),(28 109019.66),(29 109316.734),(30 110540.48),(31 112102.95),(32 113617.16),(33 114051.016),(34 115134.984),(35 115928.43),(36 116488.11),(37 117812.305),(38 118869.24),(39 119013.086),(40 120062.56),(41 121565.15),(42 122043.625),(43 120837.32),(44 120230.29),(45 120311.71),(46 121507.28),(47 123115.22),(48 124820.96),(49 126753.96),(50 126974.234),(51 126908.41),(52 126610.484),(53 126154.44),(54 126041.13),(55 126744.67),(56 127101.94),(57 127663.04),(58 127417.15),(59 127659.55),(60 127910.87),(61 128192.875),(62 127219.234),(63 126338.84),(64 126039.46),(65 126780.09),(66 127669.79),(67 127674.63),(68 127102.28),(69 126511.65),(70 126107.84),(71 126292.734),(72 126466.94),(73 126635.984),(74 126602.625),(75 126340.55),(76 126409.98),(77 126411.94),(78 126603.93),(79 126887.24),
(1 8950.46),(2 24634.445),(3 37668.62),(4 46215.32),(5 52709.73),(6 57762.73),(7 63275.098),(8 69059.09),(9 73571.39),(10 76078.34),(11 78581.29),(12 81240.414),(13 84607.23),(14 87335.68),(15 89215.71),(16 89903.65),(17 91050.42),(18 92512.445),(19 93357.88),(20 94085.66),(21 95672.305),(22 97122.94),(23 98429.56),(24 99786.1),(25 100638.89),(26 100969.6),(27 101632.07),(28 102676.984),(29 104189.53),(30 105609.21),(31 106836.96),(32 107966.42),(33 109053.46),(34 109481.6),(35 109514.914),(36 109942.79),(37 110591.484),(38 110386.87),(39 110415.58),(40 110298.664),(41 110038.375),(42 110164.266),(43 109962.44),(44 110360.29),(45 111847.43),(46 113386.74),(47 113403.77),(48 113423.945),(49 112014.57),(50 111112.88),(51 110792.46),(52 110670.77),(53 110513.99),(54 110678.17),(55 112061.26),(56 114183.266),(57 115649.53),(58 115049.35),(59 114117.67),(60 113939.2),(61 113520.77),(62 112760.766),(63 113060.914),(64 113684.3),(65 114001.44),(66 112987.41),(67 112021.84),(68 112049.95),(69 112477.01),(70 112920.516),(71 113572.62),(72 113702.48),(73 113635.73),(74 114379.11),(75 114693.36),(76 114434.195),(77 114369.84),(78 114885.13),(79 115377.88),
(1 8526.574),(2 23633.33),(3 36711.6),(4 45670.773),(5 51948.31),(6 56642.473),(7 60783.645),(8 64617.184),(9 67504.55),(10 69987.94),(11 72493.9),(12 76023.445),(13 80292),(14 83169.11),(15 84836.336),(16 85905.66),(17 87463.02),(18 89211.336),(19 91170.74),(20 91999.86),(21 92365.67),(22 92676.03),(23 94644.28),(24 97182.1),(25 98770.02),(26 99666.625),(27 99765.914),(28 100590.086),(29 101822.914),(30 103014.27),(31 104282.94),(32 105872.164),(33 106684.2),(34 107316.766),(35 106357.82),(36 104394.39),(37 103871.54),(38 104495.125),(39 105523.016),(40 106795.13),(41 107415.42),(42 107295.79),(43 107021.18),(44 107360.05),(45 107977.75),(46 109090.67),(47 109917.26),(48 111137.41),(49 112444.99),(50 113217.695),(51 114454.914),(52 115786.414),(53 116217.18),(54 115262.53),(55 114210.984),(56 114744.875),(57 116822.84),(58 118007.74),(59 118463.72),(60 118183.15),(61 118264.09),(62 118834.41),(63 119940.5),(64 120593.84),(65 120880.21),(66 120483.88),(67 119832.33),(68 118544.27),(69 116886.28),(70 114583.625),(71 113748.6),(72 113642.164),(73 114411.36),(74 114553.94),(75 113651.45),(76 112569.75),(77 111892.44),(78 112130.805),(79 112987.88),
(1 8437.363),(2 23150.37),(3 35828.406),(4 44200.7),(5 50258.527),(6 55183.574),(7 59520.164),(8 64655.797),(9 69372.914),(10 73518.35),(11 78153.734),(12 82161.56),(13 85098.16),(14 86572.06),(15 87859.27),(16 89037.43),(17 90994.734),(18 92635.12),(19 94373.35),(20 95788.28),(21 96298.65),(22 96240.65),(23 96857.71),(24 98011.65),(25 100366.78),(26 101931.74),(27 102114.28),(28 102844.3),(29 104627.66),(30 105971.836),(31 106727.24),(32 108304.85),(33 110424.72),(34 112324.97),(35 112796.78),(36 113298.766),(37 112778.65),(38 111484.2),(39 110979.766),(40 111621.914),(41 112120.07),(42 112865.57),(43 112960.71),(44 113676.26),(45 114654.9),(46 115903.22),(47 115834.48),(48 115055.516),(49 114030.84),(50 113737.914),(51 114377.77),(52 114407.836),(53 114458.37),(54 114641.88),(55 114140.625),(56 114397.45),(57 116390.414),(58 118308.02),(59 120444.14),(60 121191.234),(61 120737.66),(62 120535.24),(63 121973.1),(64 123426.52),(65 124655.79),(66 124937.81),(67 124672.59),(68 124207.77),(69 124123.266),(70 124721.66),(71 125663.016),(72 127125.375),(73 127766.67),(74 128073.73),(75 127725.586),(76 127763.984),(77 127344.44),(78 125989.16),(79 123877.16),
(1 9045.351),(2 25264.34),(3 38974.246),(4 47677.688),(5 52378.4),(6 56223.656),(7 60798.207),(8 65303.625),(9 68881.36),(10 72071.02),(11 76408.445),(12 79471.88),(13 81483.29),(14 82276.08),(15 84270.16),(16 86755.62),(17 89239.29),(18 91306.9),(19 93109.9),(20 94216.2),(21 96208.37),(22 98303.51),(23 99859.99),(24 100378.9),(25 101663.02),(26 102862.24),(27 103578.75),(28 104528.83),(29 105826.76),(30 106921.03),(31 107616.49),(32 107730.555),(33 107906.62),(34 108384.03),(35 107626.49),(36 107368.81),(37 106942.97),(38 106422.38),(39 105672.01),(40 104931.15),(41 103492.36),(42 102689.73),(43 102096.37),(44 101369.8),(45 100694.836),(46 100507.86),(47 101046.664),(48 101814.01),(49 103604.83),(50 104594.77),(51 105248.24),(52 105265.76),(53 105387.836),(54 105505.88),(55 105753.47),(56 106564.31),(57 107187.414),(58 108214.29),(59 110512.76),(60 112315.31),(61 112687.336),(62 111578.31),(63 111071.63),(64 110860.44),(65 112254.586),(66 113826.31),(67 114438.805),(68 114750.2),(69 116330.92),(70 117823.125),(71 118992.44),(72 119776.09),(73 119053.99),(74 118406.12),(75 117311.69),(76 115905.63),(77 114347.516),(78 113580.164),(79 113087.86),
(1 8448.518),(2 22912.643),(3 35087.77),(4 43868.465),(5 49562.08),(6 53865.27),(7 58389.1),(8 62936.594),(9 67125.24),(10 70974.77),(11 74094.734),(12 76652.766),(13 79367.266),(14 82110.52),(15 84814.375),(16 86534.055),(17 88105.36),(18 89633.24),(19 91040),(20 91974.54),(21 92844.94),(22 93301.195),(23 94426.805),(24 96072.82),(25 97843.625),(26 98190.32),(27 98642.88),(28 100041.53),(29 101251.41),(30 102207.21),(31 102607.97),(32 103585.484),(33 104677.71),(34 105750.266),(35 105843.19),(36 106086.1),(37 105814.79),(38 105673.09),(39 106326.375),(40 106862.47),(41 106437.88),(42 105965.625),(43 106135.28),(44 107117.75),(45 107727.04),(46 107754.56),(47 107562.08),(48 107590.32),(49 107958.18),(50 107376.05),(51 106599.336),(52 106101.53),(53 106422.97),(54 107272.79),(55 108365.44),(56 108469.97),(57 107788.79),(58 107859.75),(59 109773.51),(60 111205.875),(61 111461.41),(62 110394.65),(63 109815.88),(64 109864.77),(65 110081.01),(66 109163.98),(67 107006.34),(68 105897.04),(69 106212.23),(70 107152.23),(71 108000.2),(72 108099.53),(73 107946.01),(74 108061.31),(75 108404.02),(76 108793.03),(77 108844.49),(78 109142.87),(79 109177.945),
(1 8856.584),(2 24475.932),(3 37600.41),(4 46471.457),(5 52345.797),(6 56518.375),(7 60142),(8 63312.61),(9 66377.79),(10 69802.05),(11 73866.016),(12 76761.984),(13 79533.59),(14 81813.61),(15 83569.54),(16 84387.195),(17 85537.76),(18 86513.2),(19 87307.66),(20 88635.18),(21 90292.8),(22 91024.266),(23 92458.88),(24 93169.2),(25 93520.85),(26 93598.64),(27 93600.16),(28 95354.72),(29 96907.414),(30 98544.29),(31 98788.99),(32 99167.22),(33 99447.9),(34 100098.164),(35 99620.234),(36 100157.305),(37 101528.13),(38 102497.12),(39 103217.35),(40 104289.05),(41 105399.734),(42 106291.484),(43 107214.34),(44 107628.16),(45 107052.22),(46 107084.33),(47 107340.75),(48 107122.27),(49 106859.55),(50 106725.71),(51 107069.73),(52 107541.5),(53 107427.01),(54 106537.766),(55 106227.71),(56 107192.82),(57 108114.5),(58 108225.25),(59 108161.49),(60 107557.125),(61 107017.47),(62 106125.875),(63 105417.17),(64 104615.41),(65 104144.16),(66 104443.87),(67 104904.375),(68 105072.54),(69 104686.055),(70 103390.39),(71 102340.06),(72 101642.83),(73 101779.23),(74 102608.13),(75 103634.08),(76 104086.766),(77 103907.766),(78 104062.055),(79 104413.414),
(1 8048.358),(2 22146.848),(3 34975.234),(4 43513.48),(5 49323.46),(6 53888.617),(7 57884.832),(8 61213.773),(9 64498.742),(10 67926.31),(11 71338.84),(12 74552.58),(13 77271.01),(14 79203.03),(15 80862.29),(16 82707.75),(17 84865.38),(18 86854.695),(19 88305.65),(20 89636.08),(21 90338.11),(22 90863.305),(23 92935.984),(24 94899.25),(25 97027.234),(26 98105.69),(27 98612.45),(28 99115.484),(29 99538.19),(30 99637.81),(31 99089.79),(32 98031.15),(33 97621.82),(34 99210.01),(35 101223.15),(36 101817.97),(37 101539.53),(38 102272.45),(39 102539.92),(40 102052.336),(41 101392.695),(42 101881.02),(43 101508.055),(44 100776.25),(45 100575.02),(46 101203.85),(47 101392.74),(48 101702.33),(49 101492.84),(50 102052.53),(51 103275.82),(52 103979.16),(53 105070.36),(54 105761.2),(55 105499.35),(56 104480.16),(57 103981.1),(58 103938.36),(59 104611.73),(60 105053.28),(61 105721.89),(62 106052.9),(63 105598.695),(64 104781.484),(65 104501.35),(66 104273.35),(67 104330.61),(68 103725.54),(69 103020.41),(70 102267.02),(71 102571.36),(72 102757.945),(73 102737.03),(74 102753.67),(75 102120.45),(76 101790.766),(77 101682.9),(78 101695.08),(79 101302.61),
