1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,
(1 22.709276),(2 25.639242),(3 25.64829),(4 28.308401),(5 29.103937),(6 29.40057),(7 29.406906),(8 28.421062),(9 29.906693),(10 29.402088),(11 29.42505),(12 28.60559),(13 32.048008),(14 33.566505),(15 33.58112),(16 32.743504),(17 32.514854),(18 34.010357),(19 34.022217),(20 34.487507),(21 33.543766),(22 34.0572),(23 34.077568),(24 33.07267),(25 31.978487),(26 32.542885),(27 32.549805),(28 33.322826),(29 35.01626),(30 34.61979),(31 34.62368),(32 33.7572),(33 34.89974),(34 36.082066),(35 36.06482),(36 34.919174),(37 35.318577),(38 34.20972),(39 34.215454),(40 34.099636),(41 32.510128),(42 33.634518),(43 33.644043),(44 32.720078),(45 34.803802),(46 34.80519),
(1 19.73682),(2 22.052536),(3 22.063389),(4 24.587742),(5 24.575212),(6 25.012949),(7 25.004726),(8 25.33461),(9 25.151028),(10 25.426077),(11 25.437654),(12 26.473091),(13 27.009552),(14 28.024998),(15 28.026207),(16 28.866331),(17 28.648157),(18 29.254732),(19 29.265863),(20 30.139736),(21 29.459768),(22 30.34182),(23 30.360462),(24 28.988472),(25 27.845346),(26 29.490784),(27 29.47911),(28 28.885357),(29 29.54637),(30 29.742634),(31 29.731327),(32 28.608086),(33 30.147686),(34 31.651001),(35 31.64083),(36 30.680494),(37 30.347937),(38 28.31167),(39 28.320692),(40 29.415113),(41 28.370693),(42 29.404045),(43 29.414503),(44 27.801966),(45 27.836233),(46 27.833782),
(1 16.502947),(2 18.227186),(3 18.253046),(4 20.626543),(5 20.938377),(6 21.23212),(7 21.246035),(8 21.53919),(9 22.404703),(10 21.239601),(11 21.244501),(12 20.784254),(13 21.833408),(14 23.21192),(15 23.217863),(16 22.956379),(17 22.557117),(18 22.524002),(19 22.535759),(20 23.838829),(21 24.026249),(22 24.015009),(23 24.03778),(24 24.413477),(25 22.9122),(26 24.307573),(27 24.297768),(28 23.198725),(29 24.47105),(30 24.892803),(31 24.880905),(32 24.366928),(33 24.549162),(34 25.096695),(35 25.096987),(36 24.860552),(37 25.538666),(38 24.34778),(39 24.345556),(40 25.481411),(41 23.289835),(42 23.225859),(43 23.235226),(44 22.86319),(45 24.076052),(46 24.06438),
(1 14.73368),(2 16.01986),(3 16.025587),(4 17.202347),(5 16.962923),(6 17.645073),(7 17.667664),(8 17.944818),(9 18.30337),(10 18.214333),(11 18.208435),(12 17.903496),(13 19.2944),(14 20.05826),(15 20.048397),(16 18.97896),(17 18.331688),(18 18.372686),(19 18.370623),(20 18.86567),(21 18.623049),(22 20.246395),(23 20.261335),(24 20.3306),(25 18.70789),(26 20.130678),(27 20.133455),(28 19.800222),(29 20.712936),(30 20.297348),(31 20.292955),(32 19.743082),(33 21.761496),(34 22.80053),(35 22.799284),(36 21.362108),(37 21.564135),(38 19.624271),(39 19.633188),(40 21.010002),(41 18.729698),(42 18.799032),(43 18.809732),(44 17.970644),(45 18.55147),(46 18.543354),
(1 12.473663),(2 14.1664),(3 14.172734),(4 15.606834),(5 15.65275),(6 15.855493),(7 15.872193),(8 15.927889),(9 16.530443),(10 15.844264),(11 15.843363),(12 15.818696),(13 15.570546),(14 16.926222),(15 16.918907),(16 16.779648),(17 16.725811),(18 16.633879),(19 16.636065),(20 17.236845),(21 16.603928),(22 18.243393),(23 18.255583),(24 17.82108),(25 16.938324),(26 19.224218),(27 19.222054),(28 17.01898),(29 17.047554),(30 17.127789),(31 17.124065),(32 16.902266),(33 17.4357),(34 18.198988),(35 18.209414),(36 18.04486),(37 18.08117),(38 17.011835),(39 17.014273),(40 19.907568),(41 16.532175),(42 16.50321),(43 16.511026),(44 16.031488),(45 16.825378),(46 16.810272),
(1 12.301448),(2 14.065021),(3 14.067567),(4 15.193341),(5 14.738889),(6 14.705253),(7 14.726227),(8 14.856617),(9 14.999187),(10 15.399609),(11 15.399551),(12 15.020077),(13 16.876554),(14 17.504902),(15 17.503468),(16 16.141537),(17 15.811602),(18 15.526399),(19 15.535799),(20 16.37372),(21 15.746304),(22 16.225885),(23 16.24173),(24 16.194996),(25 15.748157),(26 17.314621),(27 17.31562),(28 16.177122),(29 17.261866),(30 16.9033),(31 16.901964),(32 17.093353),(33 17.466309),(34 18.346025),(35 18.33946),(36 18.067743),(37 17.53686),(38 16.323292),(39 16.329563),(40 18.38225),(41 16.334639),(42 15.956069),(43 15.959085),(44 14.96378),(45 16.465048),(46 16.465775),
(1 11.093058),(2 12.411616),(3 12.41622),(4 13.176302),(5 13.100426),(6 13.317527),(7 13.32682),(8 13.173446),(9 13.329272),(10 13.349529),(11 13.356794),(12 12.916852),(13 13.807202),(14 14.277107),(15 14.284524),(16 14.287822),(17 13.433226),(18 13.387172),(19 13.388846),(20 14.043565),(21 13.138735),(22 14.403663),(23 14.412606),(24 13.8734),(25 13.344642),(26 15.824928),(27 15.824513),(28 13.862917),(29 13.809222),(30 14.235805),(31 14.231001),(32 14.157039),(33 14.25546),(34 14.727479),(35 14.738946),(36 14.707379),(37 14.968217),(38 14.711228),(39 14.711332),(40 15.892065),(41 13.258759),(42 13.317886),(43 13.313572),(44 13.366403),(45 14.22791),(46 14.224677),
(1 9.818098),(2 10.591611),(3 10.598272),(4 12.013407),(5 11.86327),(6 11.700766),(7 11.694243),(8 11.275827),(9 11.7828),(10 12.375424),(11 12.371295),(12 11.820686),(13 12.726799),(14 13.806889),(15 13.798771),(16 13.277819),(17 13.05646),(18 12.569232),(19 12.578707),(20 13.676772),(21 12.68813),(22 13.477826),(23 13.483229),(24 12.825951),(25 12.439156),(26 14.850182),(27 14.854477),(28 13.054305),(29 13.454661),(30 12.8358555),(31 12.833089),(32 13.367392),(33 13.728771),(34 14.347338),(35 14.35141),(36 14.059601),(37 14.120609),(38 13.59279),(39 13.589536),(40 15.14469),(41 13.068407),(42 12.744308),(43 12.74954),(44 12.15643),(45 13.06914),(46 13.055926),
(1 8.704435),(2 9.6169195),(3 9.634541),(4 10.658412),(5 10.820003),(6 10.599855),(7 10.596459),(8 10.316629),(9 10.770155),(10 10.896199),(11 10.905542),(12 10.036826),(13 10.729161),(14 11.429134),(15 11.437145),(16 11.158815),(17 11.290543),(18 10.985987),(19 10.984647),(20 11.873253),(21 10.549031),(22 11.787432),(23 11.781036),(24 10.817337),(25 10.810357),(26 14.085883),(27 14.082296),(28 10.984558),(29 11.5965805),(30 11.533728),(31 11.531054),(32 11.549185),(33 11.56025),(34 12.224613),(35 12.225564),(36 12.110173),(37 12.26809),(38 11.272311),(39 11.277005),(40 13.711916),(41 10.473398),(42 10.888272),(43 10.88841),(44 10.653352),(45 12.207505),(46 12.193578),
(1 8.29424),(2 9.261249),(3 9.274113),(4 10.597377),(5 10.005917),(6 10.3399935),(7 10.344352),(8 10.155113),(9 10.304325),(10 10.9631195),(11 10.963849),(12 10.269058),(13 10.477733),(14 11.346726),(15 11.3511305),(16 10.454736),(17 10.589209),(18 9.928393),(19 9.93307),(20 11.174833),(21 10.132393),(22 11.930189),(23 11.93565),(24 10.71639),(25 10.363799),(26 13.503164),(27 13.499794),(28 10.674621),(29 11.292036),(30 10.841439),(31 10.843598),(32 10.926435),(33 11.535298),(34 11.679314),(35 11.682191),(36 11.905018),(37 11.560738),(38 10.795864),(39 10.798201),(40 13.470444),(41 10.742207),(42 11.162521),(43 11.164066),(44 10.516999),(45 11.3265),(46 11.313182),
