1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 17.235073),(2 25.079422),(3 25.087357),(4 30.339329),(5 32.965183),(6 31.365389),(7 31.381655),(8 27.75968),(9 23.001465),(10 21.003353),(11 21.00622),(12 21.419928),(13 29.197386),(14 32.328156),(15 32.33545),(16 32.54801),(17 34.38641),(18 31.884895),(19 31.888334),(20 30.243816),(21 26.833557),(22 26.73338),(23 26.74193),(24 27.860027),(25 33.39911),(26 36.095734),(27 36.095722),(28 34.886326),(29 36.17276),(30 36.077118),(31 36.077484),(32 34.88832),(33 34.280674),(34 37.104977),(35 37.11384),(36 36.396732),(37 38.859364),(38 39.97953),(39 39.981236),(40 40.129246),(41 35.675365),(42 34.93735),(43 34.936573),(44 33.552834),(45 34.676777),(46 34.67834),
(1 11.256437),(2 14.006509),(3 14.012517),(4 15.545886),(5 15.903177),(6 15.686215),(7 15.697375),(8 15.230288),(9 14.213459),(10 13.711413),(11 13.714299),(12 14.34043),(13 16.469841),(14 17.074379),(15 17.07802),(16 17.405733),(17 17.921879),(18 17.784946),(19 17.787024),(20 17.255402),(21 15.94017),(22 16.697432),(23 16.701477),(24 17.19327),(25 17.8095),(26 18.31178),(27 18.311804),(28 17.814274),(29 18.526308),(30 18.602043),(31 18.601355),(32 17.985548),(33 18.009945),(34 19.526949),(35 19.529455),(36 18.952097),(37 18.721056),(38 18.357718),(39 18.36158),(40 18.625198),(41 17.620707),(42 17.496275),(43 17.498812),(44 17.145582),(45 17.566902),(46 17.562428),
(1 6.354687),(2 7.512361),(3 7.5192866),(4 8.208335),(5 8.264416),(6 8.162793),(7 8.166739),(8 8.174639),(9 8.085798),(10 8.02117),(11 8.023402),(12 7.9621058),(13 8.681905),(14 9.24301),(15 9.245298),(16 9.2456045),(17 9.341534),(18 9.531774),(19 9.532964),(20 9.562603),(21 8.986486),(22 9.432959),(23 9.438066),(24 9.431715),(25 9.229381),(26 9.928364),(27 9.928577),(28 9.175797),(29 9.496715),(30 9.55438),(31 9.555427),(32 9.489824),(33 9.8785715),(34 10.243975),(35 10.242302),(36 9.933317),(37 9.776666),(38 9.280333),(39 9.279015),(40 9.691564),(41 9.080921),(42 9.179907),(43 9.179599),(44 8.966626),(45 9.206769),(46 9.208459),
(1 4.3279943),(2 5.201206),(3 5.204225),(4 5.620413),(5 5.610054),(6 5.6970787),(7 5.6992393),(8 5.6622863),(9 5.5422816),(10 5.499712),(11 5.4990625),(12 5.432974),(13 5.7741456),(14 6.2346425),(15 6.234569),(16 5.9012423),(17 6.001026),(18 5.8872437),(19 5.8885083),(20 6.0881376),(21 5.896011),(22 6.2918673),(23 6.293955),(24 6.0254254),(25 5.934147),(26 6.7149587),(27 6.7162013),(28 6.1477494),(29 6.4366503),(30 6.236533),(31 6.233674),(32 6.231323),(33 6.508339),(34 6.7143316),(35 6.715688),(36 6.527768),(37 6.530323),(38 6.1333537),(39 6.134697),(40 6.7769985),(41 5.9331436),(42 5.8433347),(43 5.8442864),(44 5.737891),(45 6.080665),(46 6.080529),
(1 3.2762616),(2 3.6820505),(3 3.6859567),(4 4.3283024),(5 4.11984),(6 4.1662626),(7 4.167344),(8 4.1087985),(9 4.049621),(10 4.1753135),(11 4.1745124),(12 4.0043626),(13 4.273437),(14 4.5672946),(15 4.5691276),(16 4.184187),(17 4.4324894),(18 4.26262),(19 4.2650313),(20 4.5190673),(21 4.1294856),(22 4.6134367),(23 4.617891),(24 4.235891),(25 4.239493),(26 5.39906),(27 5.3989635),(28 4.305037),(29 4.565546),(30 4.4353056),(31 4.4338274),(32 4.5376577),(33 4.6429515),(34 4.77284),(35 4.7734423),(36 4.7706842),(37 4.789207),(38 4.4646378),(39 4.464831),(40 5.3639483),(41 4.2402973),(42 4.436736),(43 4.4378786),(44 4.1763687),(45 4.595054),(46 4.5925255),
(1 1.9274336),(2 2.279371),(3 2.283346),(4 2.8409832),(5 2.4052923),(6 2.5155213),(7 2.5162456),(8 2.4551988),(9 2.5043824),(10 2.5334826),(11 2.531644),(12 2.2627406),(13 2.380737),(14 2.771843),(15 2.7728221),(16 2.4587786),(17 2.5625796),(18 2.5342488),(19 2.5354664),(20 2.7881422),(21 2.3868966),(22 2.9111233),(23 2.914539),(24 2.5516098),(25 2.4676006),(26 3.530893),(27 3.5312552),(28 2.516663),(29 2.7209687),(30 2.7180223),(31 2.7168367),(32 2.6725676),(33 2.9406698),(34 2.95818),(35 2.9583538),(36 2.9161835),(37 2.8957553),(38 2.5058095),(39 2.5055494),(40 3.3722641),(41 2.427441),(42 2.7150655),(43 2.7156222),(44 2.4665604),(45 2.7968955),(46 2.7958453),
(1 1.5265212),(2 1.7500628),(3 1.7523685),(4 2.1293929),(5 1.8763629),(6 1.9282588),(7 1.9282317),(8 1.8806213),(9 1.8938048),(10 1.904683),(11 1.9053668),(12 1.7565252),(13 1.9052923),(14 2.196539),(15 2.1962707),(16 1.9916809),(17 1.9431323),(18 1.8905872),(19 1.8910655),(20 1.9974353),(21 1.775248),(22 2.1234894),(23 2.125044),(24 1.9340583),(25 1.8864182),(26 2.4754167),(27 2.475989),(28 1.9329609),(29 2.134146),(30 2.1495972),(31 2.1481977),(32 2.0921574),(33 2.3086233),(34 2.3400824),(35 2.3398902),(36 2.3071203),(37 2.2832024),(38 1.9874592),(39 1.987843),(40 2.5143216),(41 1.9279426),(42 2.0661597),(43 2.065317),(44 1.9657049),(45 2.1335647),(46 2.1324463),
(1 1.1293448),(2 1.400962),(3 1.4042202),(4 1.6828916),(5 1.478162),(6 1.5296452),(7 1.5303028),(8 1.5293466),(9 1.4885672),(10 1.4566778),(11 1.4564979),(12 1.3136693),(13 1.3791096),(14 1.6214354),(15 1.6218938),(16 1.4532531),(17 1.5451059),(18 1.4443221),(19 1.4436285),(20 1.5816373),(21 1.3572997),(22 1.6974204),(23 1.7009943),(24 1.4474596),(25 1.4431077),(26 2.0370438),(27 2.0368493),(28 1.409154),(29 1.5735781),(30 1.6098624),(31 1.6080593),(32 1.5893673),(33 1.7008269),(34 1.6917021),(35 1.6909282),(36 1.7615281),(37 1.7927784),(38 1.4959462),(39 1.4965903),(40 2.0156965),(41 1.4366572),(42 1.6173279),(43 1.6169103),(44 1.5219773),(45 1.6332278),(46 1.6323739),
(1 0.841049),(2 0.9845181),(3 0.98566884),(4 1.1597539),(5 1.0432234),(6 1.0864357),(7 1.086547),(8 1.0710516),(9 1.0618593),(10 1.0265273),(11 1.0263392),(12 0.9904938),(13 1.0370854),(14 1.1369767),(15 1.1369741),(16 1.0662093),(17 1.1043357),(18 1.0836684),(19 1.0834063),(20 1.1636531),(21 1.0416033),(22 1.1853526),(23 1.1860517),(24 1.0520293),(25 1.0865543),(26 1.3715246),(27 1.3725461),(28 1.0738693),(29 1.2355939),(30 1.2254064),(31 1.2251135),(32 1.1833456),(33 1.2601395),(34 1.2392199),(35 1.2386872),(36 1.2777244),(37 1.2625222),(38 1.1383245),(39 1.1382183),(40 1.3925357),(41 1.1144449),(42 1.1745359),(43 1.1747584),(44 1.1339375),(45 1.1772074),(46 1.178433),
(1 0.65448296),(2 0.77286273),(3 0.7746369),(4 0.94499415),(5 0.81771696),(6 0.84095114),(7 0.8412018),(8 0.85316086),(9 0.8278665),(10 0.82092136),(11 0.82107705),(12 0.75992703),(13 0.79287535),(14 0.91709226),(15 0.9171145),(16 0.83706),(17 0.860291),(18 0.8286151),(19 0.8279708),(20 0.8865511),(21 0.7925016),(22 0.911431),(23 0.913192),(24 0.7933058),(25 0.81665516),(26 1.0601974),(27 1.0609465),(28 0.8501698),(29 0.95078576),(30 0.9088907),(31 0.9081225),(32 0.9258669),(33 1.008702),(34 0.9426363),(35 0.94234693),(36 0.96122694),(37 0.9918716),(38 0.8566414),(39 0.85693544),(40 1.0682182),(41 0.84712046),(42 0.8974214),(43 0.89701927),(44 0.8444922),(45 0.94289756),(46 0.9433392),
