(1 32.107353),(2 42.785683),(3 42.87004),(4 56.263935),(5 73.11648),(6 56.622498),(7 56.72987),(8 47.36899),(9 42.91355),(10 45.8015),(11 45.807053),(12 50.70988),(13 67.91247),(14 59.279156),(15 59.29113),(16 65.066826),(17 56.585564),(18 49.453213),(19 49.48101),(20 53.94191),(21 54.989223),(22 56.259373),(23 56.19247),(24 63.317677),(25 71.97487),(26 73.39616),(27 73.49851),(28 73.63266),(29 76.7697),(30 58.18025),(31 58.15988),(32 50.868416),(33 65.80311),(34 73.64888),(35 73.63297),(36 73.59338),(37 58.764767),(38 63.980595),(39 63.916355),(40 69.46049),(41 56.636436),(42 61.89948),(43 61.898693),(44 64.24344),(45 85.9414),(46 85.8022),
(1 20.240822),(2 30.954939),(3 30.915071),(4 52.909496),(5 48.196735),(6 40.976242),(7 41.051258),(8 36.390743),(9 35.45229),(10 35.98121),(11 36.06195),(12 42.826706),(13 42.95848),(14 50.055122),(15 50.048706),(16 54.369366),(17 48.61867),(18 45.474762),(19 45.559425),(20 45.600147),(21 54.072395),(22 54.933903),(23 54.93903),(24 55.493748),(25 46.13905),(26 43.928425),(27 43.93403),(28 49.80392),(29 52.954544),(30 47.861595),(31 47.83217),(32 52.572525),(33 41.659515),(34 45.03901),(35 45.113693),(36 43.52362),(37 37.779842),(38 32.524105),(39 32.543304),(40 36.651535),(41 34.99686),(42 38.367752),(43 38.378757),(44 39.93615),(45 32.441486),(46 32.47884),
(1 28.5175),(2 40.34994),(3 40.42145),(4 43.97948),(5 53.271763),(6 45.347458),(7 45.3282),(8 43.79407),(9 35.849503),(10 32.985256),(11 32.984924),(12 38.170063),(13 43.34444),(14 44.77743),(15 44.8127),(16 48.040337),(17 49.264885),(18 55.216167),(19 55.330605),(20 49.479084),(21 41.966377),(22 48.197254),(23 48.236916),(24 57.922234),(25 50.613163),(26 54.03456),(27 53.983963),(28 56.837616),(29 48.277985),(30 51.06963),(31 51.063942),(32 46.539032),(33 44.076378),(34 49.197445),(35 49.15143),(36 47.8583),(37 45.50744),(38 42.075577),(39 42.066803),(40 50.582336),(41 53.550934),(42 47.214443),(43 47.167133),(44 49.125027),(45 48.993603),(46 49.002018),
(1 21.419306),(2 26.49913),(3 26.442064),(4 34.33225),(5 41.471596),(6 37.87586),(7 37.861095),(8 34.9933),(9 35.932133),(10 33.723713),(11 33.699326),(12 34.82815),(13 40.966087),(14 37.175926),(15 37.188442),(16 41.987675),(17 37.065865),(18 43.116135),(19 43.130215),(20 45.67044),(21 38.083656),(22 39.72336),(23 39.640522),(24 51.5893),(25 53.89073),(26 49.801773),(27 49.782585),(28 56.470448),(29 52.187275),(30 49.85223),(31 49.84437),(32 43.14921),(33 40.977955),(34 46.07872),(35 46.106396),(36 45.50569),(37 51.092243),(38 49.92011),(39 49.93104),(40 59.523857),(41 50.181465),(42 51.862732),(43 51.81799),(44 48.328777),(45 48.609146),(46 48.741592),
(1 22.351551),(2 21.954992),(3 21.98831),(4 29.91589),(5 43.124237),(6 43.06189),(7 43.02761),(8 42.73396),(9 39.003788),(10 42.2943),(11 42.29648),(12 43.424355),(13 42.780323),(14 45.119038),(15 45.185925),(16 48.294556),(17 43.008186),(18 41.19922),(19 41.23907),(20 36.43548),(21 38.718983),(22 43.1549),(23 43.227398),(24 49.12039),(25 41.383038),(26 47.587593),(27 47.582226),(28 41.06048),(29 28.066782),(30 30.855864),(31 30.874823),(32 40.764385),(33 37.31984),(34 39.352158),(35 39.28958),(36 37.268833),(37 46.34938),(38 42.674778),(39 42.748592),(40 39.93977),(41 37.710293),(42 37.11247),(43 37.11784),(44 33.74362),(45 31.163984),(46 31.08904),
(1 25.274488),(2 25.962095),(3 26.00594),(4 27.745247),(5 38.750927),(6 41.736958),(7 41.77224),(8 41.75835),(9 38.99937),(10 41.38415),(11 41.38009),(12 41.236347),(13 48.435112),(14 55.058186),(15 55.100224),(16 51.27399),(17 54.291264),(18 54.60261),(19 54.73083),(20 48.709515),(21 47.347424),(22 51.227016),(23 51.17086),(24 51.672222),(25 53.984703),(26 57.624374),(27 57.609062),(28 55.044777),(29 47.49425),(30 45.30896),(31 45.39103),(32 47.105995),(33 44.98252),(34 51.494602),(35 51.503872),(36 51.510323),(37 51.01764),(38 45.026443),(39 45.03034),(40 52.815125),(41 55.310043),(42 52.79558),(43 52.774376),(44 47.014442),(45 48.271378),(46 48.24194),
(1 21.183945),(2 20.966782),(3 20.972124),(4 27.600912),(5 40.6481),(6 42.058666),(7 42.18755),(8 41.772472),(9 34.04278),(10 27.815237),(11 27.80253),(12 30.362284),(13 35.002586),(14 36.40677),(15 36.3858),(16 32.44914),(17 31.013578),(18 33.178562),(19 33.239647),(20 36.40048),(21 33.90268),(22 39.36701),(23 39.36537),(24 47.545124),(25 36.605793),(26 42.118217),(27 42.154556),(28 41.82644),(29 50.981323),(30 45.10105),(31 45.115356),(32 45.835217),(33 44.55161),(34 55.9077),(35 55.81632),(36 59.949673),(37 56.94596),(38 50.282467),(39 50.318867),(40 50.781197),(41 51.520733),(42 48.439434),(43 48.413998),(44 52.57929),(45 36.167694),(46 36.09916),
(1 17.403696),(2 28.153717),(3 28.123802),(4 29.545525),(5 34.359535),(6 33.499752),(7 33.517056),(8 34.346336),(9 30.402044),(10 28.028454),(11 27.989443),(12 27.24282),(13 28.959766),(14 30.601921),(15 30.629839),(16 29.903936),(17 28.276041),(18 29.962242),(19 30.019606),(20 31.31675),(21 32.283913),(22 35.10979),(23 35.177433),(24 43.557682),(25 40.247303),(26 35.234837),(27 35.21524),(28 28.202896),(29 35.993565),(30 29.87479),(31 29.876999),(32 35.176285),(33 37.910164),(34 49.15808),(35 49.139523),(36 39.892048),(37 36.01842),(38 34.24007),(39 34.22976),(40 32.068592),(41 33.38004),(42 33.77998),(43 33.807945),(44 38.72743),(45 39.681026),(46 39.72212),
(1 19.114584),(2 22.993446),(3 23.055965),(4 28.479464),(5 26.759712),(6 31.011002),(7 30.982752),(8 24.04115),(9 28.990007),(10 31.304932),(11 31.336857),(12 29.114397),(13 30.837835),(14 35.815403),(15 35.888653),(16 35.562454),(17 32.472843),(18 29.320807),(19 29.239523),(20 36.122196),(21 29.058002),(22 27.817549),(23 27.844051),(24 32.782513),(25 35.076702),(26 34.01849),(27 33.95599),(28 32.50117),(29 29.879473),(30 33.420315),(31 33.391426),(32 40.709915),(33 37.881382),(34 37.871582),(35 37.86536),(36 35.942543),(37 36.339054),(38 43.35679),(39 43.43307),(40 47.79943),(41 34.40406),(42 32.486618),(43 32.46553),(44 36.038277),(45 36.733036),(46 36.683647),
(1 20.596172),(2 25.967632),(3 26.016142),(4 28.720612),(5 25.619905),(6 29.023632),(7 28.978357),(8 31.38394),(9 26.263271),(10 25.541254),(11 25.582304),(12 25.672813),(13 33.24555),(14 31.813545),(15 31.819191),(16 27.379059),(17 35.267365),(18 29.149622),(19 29.145298),(20 27.111073),(21 32.56417),(22 35.751102),(23 35.73348),(24 34.009567),(25 38.726566),(26 34.416718),(27 34.411785),(28 27.67157),(29 30.259937),(30 37.170513),(31 37.220818),(32 36.701473),(33 35.92464),(34 39.76755),(35 39.790844),(36 36.41114),(37 38.913784),(38 44.967598),(39 44.93336),(40 40.86449),(41 28.462582),(42 34.33339),(43 34.340633),(44 36.02867),(45 34.49558),(46 34.484077),
(1 17.435484),(2 24.928885),(3 24.916794),(4 26.621712),(5 24.069204),(6 26.505402),(7 26.591082),(8 32.152454),(9 31.232542),(10 26.647194),(11 26.60159),(12 29.541533),(13 24.607328),(14 32.57454),(15 32.576984),(16 34.083397),(17 31.401955),(18 28.232508),(19 28.223537),(20 28.631416),(21 27.436655),(22 34.02616),(23 34.047493),(24 34.138107),(25 39.071747),(26 40.34267),(27 40.30788),(28 40.447742),(29 41.52828),(30 40.237564),(31 40.28226),(32 37.73541),(33 36.982048),(34 37.662697),(35 37.61285),(36 34.58534),(37 37.64229),(38 36.257534),(39 36.237602),(40 36.359737),(41 37.76408),(42 38.23204),(43 38.207745),(44 39.249287),(45 29.91442),(46 29.94789),
(1 16.674604),(2 20.967148),(3 20.972286),(4 26.17328),(5 27.748528),(6 30.22642),(7 30.313097),(8 36.97278),(9 29.777504),(10 31.68429),(11 31.635826),(12 32.57024),(13 28.235659),(14 32.713543),(15 32.756145),(16 29.29923),(17 30.695099),(18 31.381662),(19 31.388498),(20 29.918295),(21 24.329159),(22 25.229828),(23 25.20225),(24 27.041277),(25 29.4419),(26 28.886889),(27 28.84687),(28 32.142487),(29 32.94388),(30 29.644995),(31 29.629608),(32 29.375854),(33 30.646433),(34 32.342426),(35 32.341743),(36 25.19673),(37 30.617937),(38 31.670458),(39 31.681932),(40 28.094),(41 26.048187),(42 27.132854),(43 27.180065),(44 28.777462),(45 30.638401),(46 30.62179),
(1 16.64403),(2 23.629177),(3 23.632738),(4 28.774464),(5 25.580353),(6 29.752275),(7 29.792725),(8 28.929516),(9 30.408304),(10 29.952429),(11 29.965805),(12 28.260643),(13 31.938768),(14 34.068176),(15 34.029804),(16 36.705936),(17 35.073624),(18 35.173485),(19 35.1571),(20 33.441868),(21 31.251064),(22 34.232502),(23 34.24079),(24 31.564222),(25 28.50813),(26 29.38205),(27 29.382334),(28 29.93848),(29 34.806797),(30 26.13168),(31 26.18207),(32 26.13525),(33 29.154726),(34 32.14844),(35 32.132725),(36 33.604103),(37 33.919487),(38 34.50807),(39 34.484993),(40 32.536255),(41 31.140781),(42 23.93983),(43 23.925158),(44 27.264881),(45 35.553146),(46 35.53671),
