1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 16.429323),(2 24.608788),(3 24.613304),(4 30.500532),(5 34.81782),(6 34.973396),(7 34.990154),(8 33.536137),(9 28.514336),(10 26.121944),(11 26.126408),(12 25.655062),(13 33.073086),(14 37.961975),(15 37.973415),(16 38.410202),(17 40.860962),(18 37.546852),(19 37.545517),(20 35.28582),(21 29.539932),(22 29.617155),(23 29.626081),(24 31.602951),(25 40.78431),(26 44.986515),(27 44.98612),(28 45.018093),(29 45.818996),(30 45.372112),(31 45.38406),(32 41.96306),(33 38.357834),(34 42.724266),(35 42.74622),(36 42.139877),(37 48.285534),(38 48.392445),(39 48.394726),(40 48.775303),(41 44.86363),(42 44.352257),(43 44.35735),(44 42.624474),(45 41.609207),(46 41.61454),
(1 19.307251),(2 27.721),(3 27.72574),(4 32.674164),(5 34.27478),(6 32.70346),(7 32.715027),(8 29.33224),(9 24.332214),(10 22.924793),(11 22.930439),(12 23.818975),(13 30.669577),(14 34.002293),(15 34.011852),(16 33.87967),(17 35.459755),(18 33.115257),(19 33.12007),(20 31.180384),(21 27.135693),(22 27.645966),(23 27.648096),(24 29.582558),(25 34.33408),(26 36.373528),(27 36.376846),(28 34.792557),(29 35.331894),(30 34.994244),(31 34.995132),(32 33.768906),(33 34.384197),(34 36.98242),(35 36.99054),(36 35.540295),(37 37.917103),(38 39.07013),(39 39.072704),(40 39.375317),(41 35.554306),(42 35.162807),(43 35.16405),(44 34.013363),(45 33.975864),(46 33.976902),
(1 12.039201),(2 14.927413),(3 14.932162),(4 16.089827),(5 16.36066),(6 16.029829),(7 16.03963),(8 14.665956),(9 14.041357),(10 14.042114),(11 14.045194),(12 14.468985),(13 16.6908),(14 17.23782),(15 17.241222),(16 17.54415),(17 17.884378),(18 17.272627),(19 17.275957),(20 16.975628),(21 15.891558),(22 16.828722),(23 16.833593),(24 17.894224),(25 18.252085),(26 18.300028),(27 18.29826),(28 17.725204),(29 18.309294),(30 18.115961),(31 18.115738),(32 17.912035),(33 17.780874),(34 18.986187),(35 18.98904),(36 18.499779),(37 18.463593),(38 18.272932),(39 18.276392),(40 18.533796),(41 17.828552),(42 17.765152),(43 17.76423),(44 17.412897),(45 17.945581),(46 17.948263),
(1 8.445551),(2 9.651525),(3 9.656134),(4 10.833511),(5 11.061935),(6 11.18168),(7 11.187001),(8 10.942569),(9 10.571799),(10 10.455239),(11 10.459014),(12 10.502075),(13 11.5319),(14 12.075862),(15 12.076466),(16 11.859439),(17 12.165603),(18 11.995844),(19 11.997058),(20 12.087294),(21 11.834298),(22 12.182987),(23 12.189408),(24 12.43004),(25 12.0368),(26 12.513313),(27 12.513717),(28 12.219899),(29 12.584836),(30 12.443819),(31 12.442696),(32 12.522805),(33 12.772396),(34 13.635334),(35 13.635778),(36 12.923257),(37 13.089977),(38 12.67213),(39 12.673781),(40 13.11086),(41 12.076177),(42 12.044367),(43 12.046464),(44 12.001004),(45 12.176064),(46 12.171803),
(1 6.3228173),(2 6.9978495),(3 7.001969),(4 7.9277844),(5 7.862731),(6 8.000521),(7 8.003989),(8 7.858668),(9 7.8770456),(10 7.857247),(11 7.8592024),(12 7.822032),(13 8.344839),(14 8.71019),(15 8.710049),(16 8.600847),(17 8.603926),(18 8.672705),(19 8.6743145),(20 8.891519),(21 8.4017315),(22 8.659185),(23 8.662937),(24 8.568107),(25 8.487836),(26 9.278197),(27 9.278331),(28 8.712261),(29 8.956288),(30 8.872208),(31 8.871348),(32 8.971312),(33 9.361662),(34 9.788216),(35 9.7872),(36 9.3400345),(37 9.381986),(38 8.973896),(39 8.973676),(40 9.531719),(41 8.811946),(42 8.743915),(43 8.744514),(44 8.332006),(45 8.750739),(46 8.74928),
(1 3.4789546),(2 4.0441313),(3 4.048413),(4 4.439375),(5 4.4192686),(6 4.530917),(7 4.5346503),(8 4.4676085),(9 4.4901037),(10 4.5350814),(11 4.5352306),(12 4.3947406),(13 4.6289015),(14 5.032329),(15 5.030873),(16 4.6875854),(17 4.929682),(18 4.678617),(19 4.680674),(20 4.876802),(21 4.762642),(22 4.925643),(23 4.928345),(24 4.8705997),(25 4.646392),(26 5.4231443),(27 5.4223814),(28 4.8743396),(29 5.1127653),(30 5.004392),(31 5.0033274),(32 4.9982805),(33 5.1938305),(34 5.365267),(35 5.3655),(36 5.1177564),(37 5.158899),(38 4.924165),(39 4.9260683),(40 5.6713996),(41 4.647498),(42 4.8799477),(43 4.8816133),(44 4.6249614),(45 4.858768),(46 4.856285),
(1 2.9413934),(2 3.3002133),(3 3.3028617),(4 3.790879),(5 3.6208725),(6 3.639608),(7 3.6407738),(8 3.611312),(9 3.6487117),(10 3.7081335),(11 3.7086122),(12 3.5766969),(13 3.8344972),(14 4.0723243),(15 4.072375),(16 3.8895638),(17 3.9075773),(18 3.7417667),(19 3.7435098),(20 3.962577),(21 3.7273765),(22 4.0945916),(23 4.096452),(24 3.87829),(25 3.7635624),(26 4.5434456),(27 4.5421424),(28 3.8776777),(29 3.9632258),(30 3.9626656),(31 3.9609983),(32 3.9725296),(33 4.145058),(34 4.2753315),(35 4.274736),(36 4.2002835),(37 4.1885977),(38 3.9781673),(39 3.9783328),(40 4.5723524),(41 3.8426197),(42 3.804318),(43 3.8050022),(44 3.5980804),(45 3.8664217),(46 3.8655329),
(1 2.3392742),(2 2.6784809),(3 2.6817362),(4 3.0519764),(5 2.8559544),(6 2.944836),(7 2.946507),(8 2.8861408),(9 2.94816),(10 2.984991),(11 2.9855173),(12 2.6803327),(13 2.8246293),(14 3.211322),(15 3.2129776),(16 2.9673822),(17 3.0158968),(18 2.8268647),(19 2.8274047),(20 3.0628598),(21 2.7918737),(22 3.2322776),(23 3.2344656),(24 2.9532056),(25 2.9314058),(26 3.8172946),(27 3.8168151),(28 2.995077),(29 3.1220996),(30 3.12646),(31 3.1252463),(32 3.1133735),(33 3.36735),(34 3.4167495),(35 3.4169922),(36 3.3379533),(37 3.4345264),(38 3.1724634),(39 3.1729598),(40 3.8362672),(41 3.0037055),(42 3.157627),(43 3.1575773),(44 3.0244222),(45 3.25107),(46 3.2500048),
(1 1.7013502),(2 1.9100165),(3 1.9122678),(4 2.2674725),(5 2.0862577),(6 2.1510649),(7 2.1505904),(8 2.0869567),(9 2.183106),(10 2.1766074),(11 2.1756256),(12 1.9752035),(13 2.0613651),(14 2.2563448),(15 2.2565036),(16 2.0790184),(17 2.146238),(18 2.0258992),(19 2.0260456),(20 2.1561904),(21 2.0658488),(22 2.38676),(23 2.3880002),(24 2.1856103),(25 2.1327682),(26 2.6781483),(27 2.677636),(28 2.1550217),(29 2.2957382),(30 2.2564983),(31 2.25503),(32 2.2875016),(33 2.4289486),(34 2.5495229),(35 2.5488853),(36 2.5493376),(37 2.511544),(38 2.2400875),(39 2.2394626),(40 2.7103868),(41 2.1474934),(42 2.2783701),(43 2.2789457),(44 2.1294496),(45 2.288401),(46 2.2889962),
(1 1.3706518),(2 1.6111023),(3 1.6128815),(4 1.9470602),(5 1.7463778),(6 1.7730213),(7 1.7736658),(8 1.7534938),(9 1.7401497),(10 1.7120602),(11 1.7122306),(12 1.5630559),(13 1.6923702),(14 1.9437144),(15 1.9438778),(16 1.786496),(17 1.7711004),(18 1.6728755),(19 1.6725748),(20 1.8205239),(21 1.6140158),(22 1.9939344),(23 1.9950528),(24 1.7811666),(25 1.7165644),(26 2.278889),(27 2.2792854),(28 1.7197068),(29 1.9004322),(30 1.8996266),(31 1.8985556),(32 1.8988568),(33 2.0200956),(34 2.0294807),(35 2.0295393),(36 2.0322638),(37 2.0516355),(38 1.8029525),(39 1.8027049),(40 2.336038),(41 1.7726967),(42 1.8946154),(43 1.8945932),(44 1.863841),(45 1.925064),(46 1.9255664),
(1 0.9680732),(2 1.1415836),(3 1.1432785),(4 1.3214623),(5 1.1969496),(6 1.2236849),(7 1.2234938),(8 1.2186304),(9 1.2105),(10 1.1896394),(11 1.1893611),(12 1.1349003),(13 1.2021316),(14 1.3409125),(15 1.3406959),(16 1.2277436),(17 1.2550445),(18 1.1862651),(19 1.1854168),(20 1.281709),(21 1.1545186),(22 1.359086),(23 1.3605586),(24 1.2401823),(25 1.2015942),(26 1.5690238),(27 1.5684347),(28 1.2330916),(29 1.3372748),(30 1.3341514),(31 1.3330297),(32 1.3259491),(33 1.4088824),(34 1.4241468),(35 1.4235079),(36 1.4619012),(37 1.465964),(38 1.3049319),(39 1.3045249),(40 1.6230131),(41 1.2743285),(42 1.358565),(43 1.3583721),(44 1.3074173),(45 1.3356458),(46 1.3352442),
