1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 24526.918),(2 84302.086),(3 173991.84),(4 304605.84),(5 449573),(6 605771.2),(7 777596.94),(8 956288.94),(9 1147821.1),(10 1340195),(11 1524787),(12 1760027),(13 1952028.5),(14 2130377),(15 2292643.8),(16 2446951.3),(17 2590264.8),(18 2717679.8),(19 2831312.8),(20 2925250),(21 2997659.8),(22 3055257.8),(23 3096513.8),(24 3124957.5),(25 3141057.5),(26 3158452.8),(27 3168253.3),(28 3166482.5),(29 3163892.3),(30 3164844.8),(31 3175617.5),(32 3166232.3),(33 3162157.3),(34 3135516.5),(35 3103286.3),(36 3067835.8),(37 3027503),(38 2983839.8),(39 2931504),(40 2893271.8),(41 2857765.8),(42 2844404.8),(43 2842559.3),(44 2850743.3),(45 2865129),(46 2898730),(47 2945686.3),(48 3006167),(49 3090334.5),(50 3170832.3),(51 3265544.8),(52 3368798.5),(53 3481039.3),(54 3606975.8),(55 3754588.3),(56 3896248),(57 4055969),(58 4198381),(59 4337046.5),(60 4472407.5),(61 4597276.5),(62 4705756),(63 4797987),(64 4877307),(65 4949351.5),(66 5011399.5),(67 5039925),(68 5057504.5),(69 5050035.5),(70 5034526.5),(71 5004473),(72 4952973),(73 4892528.5),(74 4807414),(75 4690971),(76 4558926),(77 4440942.5),(78 4327022.5),(79 4218743.5),
(1 25020.865),(2 84715.38),(3 173295.14),(4 297867.63),(5 437430.34),(6 588757.56),(7 758505.5),(8 940586.8),(9 1131467.4),(10 1322912.4),(11 1504728.6),(12 1710199.1),(13 1890992.6),(14 2060754.9),(15 2203738),(16 2332674),(17 2439535.8),(18 2522410.5),(19 2589520.3),(20 2634966.3),(21 2658737.3),(22 2652809),(23 2631819.3),(24 2599973.5),(25 2552574.8),(26 2499258.8),(27 2439888.3),(28 2369442.3),(29 2306333.8),(30 2255826.8),(31 2204825.3),(32 2168654.3),(33 2162540.8),(34 2155748.3),(35 2158648.3),(36 2164091.8),(37 2178410.8),(38 2191863.3),(39 2220638.3),(40 2242966.3),(41 2273206.8),(42 2310025),(43 2351732.5),(44 2395113.8),(45 2442148.3),(46 2501961.3),(47 2564189.3),(48 2630060.8),(49 2711114.3),(50 2773082.3),(51 2832126),(52 2887251.3),(53 2941891.3),(54 2990414.8),(55 3030242.8),(56 3062628.8),(57 3079612),(58 3082877),(59 3079124),(60 3068774.8),(61 3052052.8),(62 3037494),(63 3019296.3),(64 3007693.3),(65 3002935.3),(66 3013026.8),(67 3017198),(68 3023459.8),(69 3025938.8),(70 3025191.3),(71 3018191.3),(72 3010282.8),(73 3005707.8),(74 2995748),(75 2972413.3),(76 2957271.3),(77 2939255.8),(78 2920767.3),(79 2911527.3),
(1 25674.127),(2 85975.91),(3 176782.36),(4 307670.7),(5 451086.44),(6 607416.94),(7 778233.75),(8 961512.2),(9 1150933.3),(10 1342978.4),(11 1527377),(12 1755707.3),(13 1953689.3),(14 2146279.8),(15 2315473.3),(16 2470111.8),(17 2600316.3),(18 2709805.5),(19 2805596.8),(20 2880358.8),(21 2933106.5),(22 2965748.3),(23 2978525.5),(24 2968549),(25 2947343),(26 2909794),(27 2860604.3),(28 2796351),(29 2726767.3),(30 2663945.3),(31 2597515),(32 2545760.8),(33 2507923),(34 2478603.5),(35 2448985),(36 2432899.3),(37 2421059.5),(38 2422757.3),(39 2445240.5),(40 2473110),(41 2511357),(42 2552970.8),(43 2598848),(44 2645599.3),(45 2692997.5),(46 2741922),(47 2792302.8),(48 2842941.8),(49 2906584),(50 2957212.8),(51 3013337),(52 3052433.3),(53 3091996.8),(54 3118972.8),(55 3122188.8),(56 3132341),(57 3132905.5),(58 3133065),(59 3127957.5),(60 3114824.3),(61 3090857.5),(62 3064235),(63 3037225),(64 3009124.3),(65 2977843),(66 2952034),(67 2921265.5),(68 2892095),(69 2855645),(70 2817671.8),(71 2786229.8),(72 2760656.8),(73 2740153),(74 2728155.5),(75 2716647),(76 2723860.5),(77 2730606.8),(78 2741404.5),(79 2761331.8),
(1 28624.795),(2 98153.68),(3 201697.19),(4 343253.63),(5 496391.75),(6 656326.25),(7 824223.06),(8 995082.6),(9 1164623.6),(10 1326966.4),(11 1477872.6),(12 1636897.5),(13 1760546.4),(14 1869405.8),(15 1968182.1),(16 2051118.8),(17 2116217.8),(18 2171737.5),(19 2220155),(20 2256272.3),(21 2293028.8),(22 2320004.8),(23 2347826),(24 2369487.3),(25 2393950.3),(26 2416926),(27 2437586),(28 2458314.5),(29 2475985.5),(30 2488199.3),(31 2489992.5),(32 2489372.3),(33 2466971.8),(34 2448884.3),(35 2419738.5),(36 2391392),(37 2353535),(38 2321034.3),(39 2291821),(40 2263197.5),(41 2239886),(42 2223965.3),(43 2213646.3),(44 2214858.8),(45 2220002.3),(46 2226077.3),(47 2242149),(48 2261732.3),(49 2301409.3),(50 2340999.3),(51 2384989.3),(52 2421830.8),(53 2455770.3),(54 2495505.8),(55 2503307.8),(56 2522980),(57 2524727.3),(58 2522919.8),(59 2513235.3),(60 2497868),(61 2477267),(62 2455730.8),(63 2433811.8),(64 2412016.8),(65 2390275.3),(66 2379674.5),(67 2370126),(68 2363064.3),(69 2357822.3),(70 2351972.3),(71 2344799.3),(72 2339385.3),(73 2338835.5),(74 2348201.5),(75 2374731.8),(76 2414354.3),(77 2450114.5),(78 2496944.5),(79 2557761.3),
(1 31142.176),(2 110469.3),(3 230726.73),(4 413368.97),(5 610710.5),(6 816809.56),(7 1042501.2),(8 1277148),(9 1514581.1),(10 1747333.1),(11 1964351.5),(12 2220478.8),(13 2405219.5),(14 2568259),(15 2696129.3),(16 2793610),(17 2854863.8),(18 2883846.5),(19 2882678.5),(20 2848444.5),(21 2761312.3),(22 2675317),(23 2585454.8),(24 2494841.8),(25 2413403.5),(26 2340746),(27 2279271),(28 2228746.8),(29 2196305.3),(30 2176938.3),(31 2176498.8),(32 2194461),(33 2225938.3),(34 2260833.8),(35 2298632.8),(36 2336379.5),(37 2378798.3),(38 2415254.3),(39 2476147.8),(40 2518565),(41 2553036.3),(42 2587293.3),(43 2614860.5),(44 2632662.3),(45 2640933),(46 2643285.3),(47 2635777.5),(48 2630383),(49 2620193.5),(50 2614646),(51 2607952),(52 2596567),(53 2578231.5),(54 2560732.8),(55 2550105),(56 2537164.5),(57 2522292.5),(58 2502885.8),(59 2481971),(60 2452539.5),(61 2424024.5),(62 2394405.3),(63 2367290),(64 2348144),(65 2338342.5),(66 2332740.5),(67 2328918.3),(68 2334518.3),(69 2348269.3),(70 2364490.5),(71 2381772.8),(72 2402508.3),(73 2436157.3),(74 2480617),(75 2548919.5),(76 2615414.3),(77 2681874.3),(78 2758582),(79 2834440),
(1 30687.73),(2 105938.72),(3 219453.6),(4 385752.3),(5 567201.9),(6 757774.1),(7 959221.3),(8 1168687.9),(9 1382949.6),(10 1593341.3),(11 1789763.9),(12 2000459.3),(13 2164019.5),(14 2308491.5),(15 2427631.8),(16 2516749.5),(17 2579210.8),(18 2612268),(19 2625185.3),(20 2611840.8),(21 2566271.5),(22 2514912),(23 2461398.5),(24 2402961.5),(25 2343855.8),(26 2284883),(27 2234887),(28 2190285.8),(29 2160044.5),(30 2139410.5),(31 2133301.5),(32 2139608),(33 2164772.8),(34 2191860.5),(35 2226035.5),(36 2263969.5),(37 2307059.3),(38 2354090.8),(39 2423899.5),(40 2479966.5),(41 2528455),(42 2569119.5),(43 2606004.5),(44 2626459),(45 2633103.5),(46 2633483.8),(47 2625539.8),(48 2608173.3),(49 2574938.3),(50 2538734.5),(51 2499881.8),(52 2459141.8),(53 2420715.3),(54 2387307.5),(55 2352234.5),(56 2319936),(57 2279329.3),(58 2243290.5),(59 2211443.8),(60 2176819.3),(61 2140607.3),(62 2112484.3),(63 2085351.6),(64 2064078.9),(65 2049188.4),(66 2027957.8),(67 2008786.5),(68 1993740.9),(69 1981884.5),(70 1966839.3),(71 1955790.3),(72 1949977.8),(73 1948428.9),(74 1958577.8),(75 1980947.3),(76 2021231.9),(77 2065356.3),(78 2122060.8),(79 2187974),
(1 32335.467),(2 111328.7),(3 229362.73),(4 395525.75),(5 575256),(6 756835.1),(7 941143.44),(8 1119504.1),(9 1288283.5),(10 1437252.1),(11 1566026.8),(12 1679403.5),(13 1767126.5),(14 1834269),(15 1884941.8),(16 1916339.3),(17 1926574.8),(18 1923513.5),(19 1909218.1),(20 1882973.1),(21 1853140.4),(22 1820533.9),(23 1791223.8),(24 1763070.6),(25 1736216),(26 1711648.8),(27 1685673),(28 1659503.3),(29 1631671.1),(30 1601592.5),(31 1567307.6),(32 1536848.3),(33 1507374.5),(34 1488470.5),(35 1476979.9),(36 1482836.4),(37 1503725.4),(38 1537236.6),(39 1601791.8),(40 1671281.3),(41 1742642.5),(42 1815181.6),(43 1892680.8),(44 1965370.9),(45 2029614.5),(46 2084496),(47 2131756.3),(48 2170335),(49 2189352.3),(50 2203793.5),(51 2214797),(52 2213161),(53 2207280.3),(54 2209469.5),(55 2205800.3),(56 2195942.8),(57 2163793.5),(58 2123229.8),(59 2076293.6),(60 2019743.9),(61 1959279.3),(62 1905577.8),(63 1851374.5),(64 1796800),(65 1744746.4),(66 1688779.3),(67 1640910.3),(68 1603240.5),(69 1573492.5),(70 1552428.9),(71 1545274.5),(72 1548374.6),(73 1563839),(74 1590710.6),(75 1638010.6),(76 1693849.1),(77 1750299.1),(78 1815390.5),(79 1885767.8),
(1 30987.336),(2 106635.18),(3 216771.64),(4 368645.5),(5 529231.9),(6 689729),(7 854912.75),(8 1014992.75),(9 1169136),(10 1308283.4),(11 1430795.9),(12 1558982),(13 1650960.5),(14 1725164.6),(15 1777632),(16 1810346.5),(17 1829027.8),(18 1831949.6),(19 1814820.3),(20 1783527.9),(21 1748996.9),(22 1710858),(23 1669726),(24 1632087.3),(25 1599965.4),(26 1573553.6),(27 1546439.9),(28 1519051.4),(29 1495493.1),(30 1475632.6),(31 1459394.4),(32 1458366.5),(33 1465366),(34 1479119.8),(35 1498706),(36 1531076.3),(37 1571494.8),(38 1618792),(39 1678568.3),(40 1738926.5),(41 1799016.1),(42 1852667.1),(43 1897276.9),(44 1931939.3),(45 1954813),(46 1964859.9),(47 1967637.6),(48 1960797.8),(49 1958863.1),(50 1953586.4),(51 1952568),(52 1949925.4),(53 1954914.8),(54 1967483.3),(55 1971365.1),(56 1983890.3),(57 1981444.3),(58 1983844.5),(59 1983391.5),(60 1982055.3),(61 1977818.3),(62 1971191),(63 1954222),(64 1939986.5),(65 1921857.6),(66 1914573),(67 1908751.3),(68 1902694.3),(69 1901134.8),(70 1899420.1),(71 1901420.4),(72 1902026.1),(73 1906071.6),(74 1911466.8),(75 1927412.4),(76 1936446.5),(77 1956462.9),(78 1979222.8),(79 2004208.8),
(1 25416.223),(2 84841.55),(3 170924.63),(4 286029.72),(5 405730.88),(6 525208.7),(7 646529.25),(8 764178.6),(9 875980.4),(10 976744.6),(11 1061746.8),(12 1143889),(13 1202622.9),(14 1243807.4),(15 1274793),(16 1295246.8),(17 1299974),(18 1295487),(19 1279530),(20 1257922.5),(21 1234199.6),(22 1212314.8),(23 1194910.8),(24 1182093.5),(25 1176268.5),(26 1173938.6),(27 1177163.5),(28 1178835),(29 1187372),(30 1200703.8),(31 1218343.3),(32 1239313.5),(33 1259189.3),(34 1283906.3),(35 1306108.3),(36 1330445.1),(37 1352157.9),(38 1378305.6),(39 1409259),(40 1436719.8),(41 1457844),(42 1470173.1),(43 1474157.1),(44 1472702.8),(45 1465096.8),(46 1455471.6),(47 1442896.6),(48 1422283.6),(49 1400481),(50 1378759),(51 1359888.8),(52 1344944),(53 1332730.3),(54 1323684.1),(55 1306416.6),(56 1300621.9),(57 1297510.1),(58 1298007.3),(59 1298021),(60 1296207.6),(61 1292484.3),(62 1287922.9),(63 1279448.1),(64 1276591),(65 1276910),(66 1289841.8),(67 1299189.8),(68 1305578.8),(69 1317884.3),(70 1333501.6),(71 1353358),(72 1368884.9),(73 1387706.1),(74 1405874.8),(75 1425336),(76 1439766),(77 1457398.1),(78 1471670.3),(79 1483521),
(1 26329.219),(2 88576.42),(3 178244.73),(4 300296.56),(5 425069.22),(6 544330.8),(7 660285.06),(8 772080.2),(9 870166.94),(10 952421.94),(11 1021974.06),(12 1094751),(13 1143873.1),(14 1182683.8),(15 1210997),(16 1224454),(17 1223535.1),(18 1216736.3),(19 1203054.8),(20 1188083.6),(21 1176349.6),(22 1162477.3),(23 1149737.8),(24 1137621.4),(25 1121201.3),(26 1105597.6),(27 1093583.1),(28 1088262.3),(29 1092030.6),(30 1100747.8),(31 1119006.1),(32 1139934),(33 1153755.6),(34 1176054.3),(35 1195785.6),(36 1213275.1),(37 1229318.8),(38 1244292.1),(39 1255497.9),(40 1260571.3),(41 1259902.5),(42 1251024.9),(43 1238521.8),(44 1220665.1),(45 1203239.8),(46 1185735.9),(47 1171504.3),(48 1155939.4),(49 1146878.9),(50 1143586.6),(51 1146966.5),(52 1150599.8),(53 1155834.4),(54 1161839.8),(55 1161846.8),(56 1161742),(57 1163629.3),(58 1162939.6),(59 1163125.4),(60 1163285),(61 1168665.3),(62 1174385.3),(63 1183994.3),(64 1196386.6),(65 1211447.6),(66 1237017.1),(67 1258324.5),(68 1277312.6),(69 1293093.3),(70 1301941.5),(71 1302145.3),(72 1294445.6),(73 1281327.9),(74 1266320.5),(75 1246661.3),(76 1230477.1),(77 1215575.6),(78 1202029.3),(79 1198229.9),
(1 26352.838),(2 89101.06),(3 179803.75),(4 297695.16),(5 416014.13),(6 528469.7),(7 636672.4),(8 740088.25),(9 834206.5),(10 915612.4),(11 981027.9),(12 1049243.6),(13 1092538.5),(14 1120202.5),(15 1138032),(16 1146692.4),(17 1147134.1),(18 1146174.1),(19 1144238.9),(20 1138820.6),(21 1149091.4),(22 1166658.3),(23 1190828),(24 1217177.5),(25 1240331.3),(26 1259844.3),(27 1273556.4),(28 1279484.4),(29 1283268.9),(30 1277330),(31 1261402.5),(32 1247512.9),(33 1219435),(34 1194984.8),(35 1166950.3),(36 1141974.3),(37 1118123.5),(38 1095349.3),(39 1080961.8),(40 1070555.9),(41 1066819.3),(42 1071058.3),(43 1080032.8),(44 1091881.1),(45 1105911.4),(46 1117489.9),(47 1127390.5),(48 1135173.3),(49 1154922.8),(50 1175221),(51 1195216.9),(52 1209555.4),(53 1223707),(54 1239125),(55 1235801.9),(56 1239586),(57 1244770.3),(58 1262155.8),(59 1286762),(60 1323667.3),(61 1370470.1),(62 1421289.8),(63 1479603.5),(64 1542722.5),(65 1598941),(66 1658069),(67 1701207.8),(68 1724758.1),(69 1728966.3),(70 1708113.4),(71 1669287.9),(72 1616407.5),(73 1555930.9),(74 1494385.1),(75 1418163),(76 1358930),(77 1322551.8),(78 1303132.4),(79 1300069.8),
(1 24184.143),(2 79921.875),(3 159431.8),(4 263666.25),(5 371576.4),(6 473833.94),(7 576018.25),(8 672610.25),(9 764669.9),(10 846384.5),(11 912898.9),(12 969746.25),(13 1003065.44),(14 1021226.44),(15 1032854.9),(16 1042492),(17 1051155.5),(18 1059125.5),(19 1060811.4),(20 1057461.9),(21 1057694.6),(22 1055222.5),(23 1054321),(24 1053255),(25 1058940.8),(26 1063019.9),(27 1062325.6),(28 1059146.3),(29 1059085.5),(30 1056777.3),(31 1047668.9),(32 1045728.25),(33 1038794.3),(34 1033245.3),(35 1033386.9),(36 1037404.3),(37 1043631.75),(38 1050667.3),(39 1067066.5),(40 1071565.8),(41 1072959.5),(42 1072598.6),(43 1072885.5),(44 1072700.8),(45 1069964.8),(46 1060285.8),(47 1045566),(48 1024652.25),(49 1002790.3),(50 990559),(51 984805.9),(52 981361.7),(53 982915.7),(54 988667.7),(55 1002437.1),(56 1019269.56),(57 1037132.25),(58 1058390.1),(59 1081931.6),(60 1108573.5),(61 1137252.9),(62 1162311.5),(63 1186489.1),(64 1207447.1),(65 1222358.8),(66 1232389.5),(67 1241331.5),(68 1244952.5),(69 1240916),(70 1234995.6),(71 1225576.9),(72 1215700.1),(73 1206869.6),(74 1198083.5),(75 1187108.6),(76 1168791.3),(77 1156315.3),(78 1146333.5),(79 1137271.9),
(1 23406.145),(2 77938.41),(3 156048.06),(4 260966.94),(5 365630.6),(6 464459.97),(7 559929.6),(8 644390.3),(9 715610.06),(10 771250.75),(11 811991.6),(12 841074.1),(13 859816.4),(14 871196.44),(15 878412.2),(16 881965.2),(17 884263.6),(18 888847.94),(19 895051.8),(20 902868.6),(21 917624.8),(22 928140.56),(23 937574.7),(24 942955.8),(25 942946.8),(26 941439.4),(27 938098.6),(28 930831.44),(29 924118.44),(30 917501.4),(31 909993),(32 902538.6),(33 901712.75),(34 904489.3),(35 909806.6),(36 919298.5),(37 931296.2),(38 942531),(39 957008.44),(40 974964.8),(41 997547),(42 1017686.7),(43 1037049.3),(44 1057725),(45 1075584.3),(46 1093650.8),(47 1108065.6),(48 1118818.3),(49 1123099.9),(50 1123231.9),(51 1119356.6),(52 1113486.8),(53 1103756.9),(54 1094363),(55 1079559.1),(56 1075247.3),(57 1067558.1),(58 1068195.4),(59 1071487.4),(60 1074562.5),(61 1077573.1),(62 1078290.5),(63 1077146),(64 1073523.9),(65 1064527.1),(66 1049689.3),(67 1033079.75),(68 1013609.94),(69 993076.4),(70 976128.94),(71 958740.75),(72 944943.8),(73 935552),(74 931795.2),(75 935772),(76 944735.06),(77 952891.44),(78 960686.7),(79 966024.56),
(1 27063.922),(2 91064.19),(3 180766.3),(4 295964.13),(5 411165.03),(6 517635.03),(7 617412.5),(8 704395.6),(9 779983.75),(10 839815.8),(11 879333.06),(12 913955.6),(13 928857.7),(14 934336.06),(15 934950.9),(16 930449.44),(17 924892.2),(18 919686.94),(19 914721.75),(20 909612.6),(21 915064.56),(22 915953.1),(23 914651.8),(24 910405.1),(25 905479.44),(26 904466.5),(27 906549.9),(28 908118.56),(29 914775.4),(30 924920.56),(31 936239.44),(32 944113.9),(33 943294.9),(34 950258.06),(35 956821.1),(36 964438.1),(37 973478.06),(38 984284.44),(39 999355.2),(40 1010918.1),(41 1023796.06),(42 1032762.56),(43 1039457.25),(44 1044414.56),(45 1043954.7),(46 1038784),(47 1026347.2),(48 1008261.5),(49 985997.1),(50 965889.9),(51 949088.2),(52 932503.6),(53 920577.3),(54 914844.25),(55 903505.25),(56 901589.1),(57 900136.7),(58 900977.44),(59 901757.3),(60 898815.6),(61 894301.44),(62 890592.6),(63 886989.5),(64 885581.6),(65 885860.4),(66 887817.25),(67 892346.56),(68 897798.7),(69 904457.6),(70 912623.2),(71 922839.3),(72 934637.1),(73 949884.25),(74 968910.1),(75 992962.3),(76 1014436.25),(77 1030818.9),(78 1040835.2),(79 1050032.8),
(1 28622.316),(2 97023.31),(3 190988.72),(4 316032.2),(5 437676.53),(6 548334.8),(7 653356.8),(8 744027.4),(9 817931.3),(10 879659),(11 920291.75),(12 937437.9),(13 939358.75),(14 927722.5),(15 910874.1),(16 888141.44),(17 863928.6),(18 843966.94),(19 834276.9),(20 831139.6),(21 846125.5),(22 862979.75),(23 886186.75),(24 909826.56),(25 932489.1),(26 955628.7),(27 975270.25),(28 989985.6),(29 1000256),(30 1008678.75),(31 1007347.1),(32 1000482.56),(33 982546.1),(34 970225.06),(35 959029.7),(36 950587.56),(37 947619.94),(38 949699.44),(39 961256.7),(40 978459.75),(41 1000700.25),(42 1026546.3),(43 1050353.8),(44 1068813.9),(45 1077718.4),(46 1080631.3),(47 1079336.8),(48 1074002.1),(49 1066487),(50 1058437.4),(51 1051248.8),(52 1040160.6),(53 1028392.06),(54 1018834.9),(55 1001839.94),(56 991305.25),(57 974404.25),(58 961319.8),(59 950663.56),(60 939445.25),(61 926550.94),(62 916152.2),(63 908290.25),(64 903292.4),(65 900973.5),(66 898032.2),(67 899546.7),(68 905049.75),(69 913786.9),(70 926092.8),(71 939687.4),(72 956015.8),(73 973436.6),(74 991779.2),(75 1009255.75),(76 1027957.5),(77 1043053.94),(78 1056033.8),(79 1069532.5),
(1 30263.691),(2 103611.98),(3 207336.9),(4 345408.2),(5 476179.1),(6 590345.5),(7 691291.7),(8 772408.4),(9 828475.3),(10 863841.5),(11 877554.7),(12 880959.6),(13 866177.6),(14 844947.44),(15 822102.56),(16 800121.3),(17 785750.7),(18 778358.9),(19 782774.56),(20 798256.2),(21 819810.9),(22 845252.7),(23 868862),(24 890459.6),(25 907926.94),(26 922819.9),(27 935245.25),(28 944153.1),(29 950321.8),(30 956662.4),(31 959251.1),(32 953801.6),(33 935677.7),(34 915168.5),(35 892433.5),(36 870743.6),(37 858173.3),(38 851430.4),(39 855745.1),(40 862352.9),(41 875907.3),(42 897374.9),(43 922156),(44 946007.5),(45 972769.25),(46 998023.8),(47 1022262.1),(48 1043828.5),(49 1060458.1),(50 1068854.5),(51 1074198.5),(52 1072142.8),(53 1062488.4),(54 1049717.4),(55 1027943.25),(56 1016758.1),(57 1006524.94),(58 1004789.8),(59 1004021.5),(60 1004173.06),(61 1006547.06),(62 1013366.5),(63 1016964.75),(64 1022209.9),(65 1030113.25),(66 1040248.1),(67 1048217.7),(68 1057807),(69 1063628.3),(70 1068229.5),(71 1068349.8),(72 1065041.9),(73 1058759.1),(74 1054232.6),(75 1051076.3),(76 1055074.5),(77 1061153.8),(78 1066592.6),(79 1075972.8),
(1 30871.834),(2 103517.18),(3 201477.56),(4 322115.2),(5 435647.66),(6 534017.44),(7 618842.9),(8 687149),(9 733337),(10 762472.56),(11 777672.2),(12 769215.4),(13 756059.75),(14 735779),(15 718765),(16 709165.75),(17 710080.7),(18 723627.6),(19 749075.56),(20 781646.75),(21 817456),(22 847173.9),(23 867554.06),(24 878309.5),(25 884981.75),(26 887408.56),(27 888617.06),(28 885378.1),(29 882523),(30 878120.4),(31 870210.56),(32 860835),(33 845917),(34 837153.6),(35 830204.06),(36 823658.94),(37 813642.25),(38 802848.7),(39 790853.1),(40 776767.44),(41 765692.4),(42 762413.6),(43 765623.3),(44 779591.75),(45 802591.3),(46 829296.25),(47 856989),(48 881140),(49 898219.56),(50 908811.75),(51 908063.8),(52 895802.56),(53 873536),(54 850854.94),(55 831745.94),(56 816749.7),(57 804517.3),(58 800652.06),(59 806864.56),(60 823655.1),(61 848552.7),(62 881743.3),(63 915959.2),(64 952490.25),(65 979704.7),(66 1002910.4),(67 1013270.5),(68 1013345.3),(69 1004200.44),(70 987985.3),(71 969202.9),(72 951538.94),(73 939160.6),(74 934766.7),(75 941465.94),(76 955445.6),(77 971857.44),(78 986415.75),(79 1004890.4),
(1 29540.04),(2 98561.51),(3 191280.9),(4 302424.1),(5 401934.88),(6 487628.28),(7 560034.25),(8 616471),(9 659418.2),(10 686599.4),(11 700203.6),(12 712190.44),(13 714227.6),(14 718156.25),(15 723184.4),(16 731241.5),(17 743477.5),(18 761358.06),(19 782174.1),(20 804303.8),(21 824365.75),(22 835345.75),(23 838028.8),(24 837347.94),(25 833801.75),(26 830295.2),(27 827833.94),(28 826323.5),(29 822034.8),(30 815223.94),(31 804842.7),(32 793026.7),(33 778538.06),(34 764309.6),(35 748926.25),(36 741366.4),(37 738905.75),(38 741391.5),(39 744176.5),(40 746429.9),(41 748221.3),(42 749553.1),(43 751078.25),(44 753819.44),(45 760309),(46 768177.75),(47 772179.06),(48 774488.56),(49 775359),(50 772194.1),(51 766826.75),(52 759978.1),(53 752250.4),(54 747777.9),(55 746952.8),(56 750061.75),(57 763705),(58 776695.8),(59 798019),(60 823180.7),(61 848125.9),(62 871547.94),(63 890040.5),(64 900504.94),(65 902087.5),(66 893742.9),(67 883145.5),(68 872920.3),(69 863816.3),(70 856050.25),(71 852818.2),(72 854758.1),(73 862351.2),(74 873801.44),(75 886149.8),(76 890261.3),(77 894150.9),(78 894788.8),(79 892343.8),
