1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 16413.59),(2 52946.633),(3 99954.336),(4 145574.92),(5 184309.11),(6 212205.06),(7 226876.42),(8 230820.95),(9 229378.22),(10 226385.5),(11 227832),(12 236249.19),(13 250677.88),(14 266845.75),(15 281700.6),(16 293552.3),(17 301121.22),(18 303196.78),(19 299898.03),(20 294271.9),(21 289578.3),(22 287556.8),(23 289064.56),(24 292495.03),(25 298541.03),(26 303711.72),(27 307145.1),(28 306972.94),(29 305550.8),(30 302807.13),(31 299111.6),(32 296748.47),(33 296305.97),(34 297302.34),(35 298362.88),(36 299631),(37 298953.3),(38 296340.3),(39 293511.13),(40 291647.5),(41 290178.5),(42 289334.1),(43 287884.94),(44 286654.4),(45 284862.5),(46 282626.4),(47 280406.7),(48 281444.72),(49 283286.63),(50 285692.63),(51 289626.06),(52 291177.34),(53 291213),(54 289171.78),(55 287099.28),(56 286027.22),(57 285653.5),(58 285276.88),(59 287929.5),(60 290763.47),(61 294196.78),(62 298108.9),(63 300231.44),(64 300497.97),(65 297660.3),(66 293660.78),(67 289542.3),(68 287359.4),(69 286292.94),(70 286775.47),(71 288111.7),(72 289574.94),(73 291084.2),(74 290781.5),(75 291575.66),(76 290883.28),(77 289677.66),(78 290310.25),(79 290783.9),
(1 16907.055),(2 55377.73),(3 105424.33),(4 153664.98),(5 194363.45),(6 223655.16),(7 240802.97),(8 247470.72),(9 248238.94),(10 247809.97),(11 249515.8),(12 253975.81),(13 260519.3),(14 266726.25),(15 271692.7),(16 271594.6),(17 268526.06),(18 263307.94),(19 255706.22),(20 247564.67),(21 241172.14),(22 239680.03),(23 243783.38),(24 251510.53),(25 260240.11),(26 266085.53),(27 268482.8),(28 267214.9),(29 264703.13),(30 261378.31),(31 257484.22),(32 254443.3),(33 253917.6),(34 255023.28),(35 257119.45),(36 258784.66),(37 258705.48),(38 254714.77),(39 248779.22),(40 243262.94),(41 240032.92),(42 239018.66),(43 239319.28),(44 241154.48),(45 243447.27),(46 244952.84),(47 246798.84),(48 249615.39),(49 252306.13),(50 256144.08),(51 259829.48),(52 262826.7),(53 263942.2),(54 263507.2),(55 261865.94),(56 258639.36),(57 255635.03),(58 253098.88),(59 252454.28),(60 254049.56),(61 256770.92),(62 260503.89),(63 262914.78),(64 265396.72),(65 267246.13),(66 268043),(67 269740.25),(68 271453.5),(69 272974.6),(70 275069.34),(71 276752.72),(72 277911.7),(73 277988.28),(74 277041.63),(75 276835.97),(76 276817.8),(77 276760.28),(78 277145.63),(79 277501.75),
(1 16253.934),(2 53645.473),(3 102642.38),(4 151191.38),(5 192819.61),(6 223678.94),(7 242127.33),(8 249619.81),(9 249163.14),(10 247169.2),(11 246632.88),(12 248750.86),(13 253086.17),(14 257190.66),(15 261282.63),(16 262740.28),(17 261423.6),(18 256971.67),(19 252388.84),(20 249715.14),(21 249397.2),(22 252002.53),(23 257774.19),(24 264157.38),(25 270936.72),(26 276428.5),(27 279982.8),(28 280216),(29 277271.63),(30 272993.44),(31 267937.25),(32 264300.03),(33 262157.7),(34 261134.95),(35 260889.52),(36 259507.83),(37 257809.3),(38 256009.3),(39 254305.89),(40 253559.58),(41 252996.88),(42 253190.45),(43 253134.6),(44 252576.17),(45 251492.48),(46 249753.95),(47 249235.33),(48 250535.66),(49 253496.53),(50 258383.16),(51 263243.22),(52 267757.38),(53 270801.03),(54 272154.38),(55 271160.2),(56 268792.2),(57 265572.7),(58 262464.88),(59 260101.56),(60 260048.97),(61 261741.16),(62 264852.66),(63 266495.38),(64 266432.5),(65 265138.03),(66 263501.38),(67 262869.5),(68 265364.06),(69 269841.47),(70 275629.22),(71 281740.53),(72 288094.25),(73 293589.88),(74 295344.25),(75 294935.72),(76 292943.84),(77 290576),(78 288166.9),(79 288216.25),
(1 15920.03),(2 51549.89),(3 95917.38),(4 138263.27),(5 171745.33),(6 193971.98),(7 203691.89),(8 204960.69),(9 202606.77),(10 201134.31),(11 203490.69),(12 208275.33),(13 213911.23),(14 218091.3),(15 221122.5),(16 222334.98),(17 221530.8),(18 218113.2),(19 214433.53),(20 213009.22),(21 214722.1),(22 218710.3),(23 225067.3),(24 231891.06),(25 238808.73),(26 242478.8),(27 243203.61),(28 240901.72),(29 237203.84),(30 233913.39),(31 231520.39),(32 229979.11),(33 230238.78),(34 231631.31),(35 232724.16),(36 232267.52),(37 230671.3),(38 227662.08),(39 225078.3),(40 224555.84),(41 225569.73),(42 226902.17),(43 227476.98),(44 226625.05),(45 225889.61),(46 224400.3),(47 223588.83),(48 224220.97),(49 227832.69),(50 233934.64),(51 240083.48),(52 246238.2),(53 251810.61),(54 255058.56),(55 254538.88),(56 251280.22),(57 246164.83),(58 243261.61),(59 242944.94),(60 245952.16),(61 249692.03),(62 253077.83),(63 256147.25),(64 259314.3),(65 261255.55),(66 263031.84),(67 265057.03),(68 268568.6),(69 271932.3),(70 274326.28),(71 275536.03),(72 275761.47),(73 274532.88),(74 272372.47),(75 268840.38),(76 264807.5),(77 261662.13),(78 259810.2),(79 258978.2),
(1 15185.934),(2 49171.465),(3 91440.89),(4 132157.05),(5 163640.78),(6 183308.22),(7 191075.95),(8 190901.52),(9 187418.48),(10 186044.44),(11 189830.89),(12 198508.27),(13 208301.81),(14 217250.72),(15 224516.95),(16 228395.95),(17 229048.14),(18 226530.92),(19 221877.39),(20 217409.34),(21 213075.08),(22 211142.28),(23 212642.94),(24 216366.28),(25 222159.38),(26 227391.33),(27 229731.7),(28 229994.38),(29 227938.78),(30 226031.02),(31 224541.78),(32 223117.84),(33 221585.23),(34 221613.72),(35 221602.94),(36 222112.61),(37 222620.38),(38 224837.75),(39 228287.36),(40 232302.4),(41 235710.55),(42 238092.1),(43 237530.8),(44 235870.05),(45 233625.88),(46 231437.2),(47 229057.63),(48 229007.92),(49 231593.63),(50 235916.22),(51 239814.17),(52 242166.72),(53 243877.98),(54 245534.3),(55 248298.4),(56 251058.3),(57 251292.03),(58 251036.94),(59 251199.45),(60 252722.25),(61 253885.02),(62 255030.66),(63 256284.95),(64 258060),(65 260637.81),(66 263805.13),(67 268111.16),(68 273537.75),(69 278449.66),(70 280742.78),(71 279277.06),(72 274619.75),(73 268069.8),(74 262318.16),(75 258310.19),(76 255982.52),(77 255171.73),(78 256019.73),(79 258712.9),
(1 15304.356),(2 49335.19),(3 91891.62),(4 132003),(5 162459.33),(6 180541.33),(7 187419.47),(8 187039.88),(9 184261.81),(10 182063.5),(11 182106.22),(12 186312),(13 194875.61),(14 204348.17),(15 213316.6),(16 220303.7),(17 224016.56),(18 224209.81),(19 218411.14),(20 211103),(21 204432.14),(22 200598.61),(23 200039.67),(24 202593.03),(25 207184.11),(26 211734.63),(27 216284.48),(28 219079.38),(29 219815.94),(30 219105.81),(31 218761.8),(32 218212.38),(33 218112.88),(34 218603.48),(35 219150.28),(36 219296.03),(37 218777.81),(38 216945.94),(39 216013.02),(40 217273.81),(41 221032.6),(42 224951.14),(43 228935.22),(44 230566.19),(45 229968.7),(46 226622.89),(47 222266.67),(48 219103.8),(49 219683.36),(50 223553.52),(51 227913.67),(52 231829.4),(53 234842.3),(54 236074.4),(55 235509.4),(56 233747.63),(57 230622.81),(58 227185.63),(59 225197.56),(60 224842.86),(61 225417.23),(62 225565.58),(63 225967.86),(64 226252.56),(65 225977.56),(66 226166.7),(67 228415.19),(68 232139.77),(69 234924.14),(70 235840.9),(71 235907.52),(72 235984.9),(73 234606.78),(74 232450.94),(75 229990.11),(76 228618.2),(77 228284.33),(78 230749.44),(79 234541.5),
(1 16051.547),(2 52184.582),(3 97458.266),(4 140101.19),(5 173899.56),(6 194897.02),(7 203555.97),(8 203650.86),(9 199474.08),(10 196574.78),(11 196266.88),(12 197956.44),(13 201791.92),(14 207185.84),(15 213397.33),(16 217711.56),(17 219714.56),(18 219538.66),(19 217208.73),(20 213198.42),(21 208148.14),(22 205020.25),(23 205036.17),(24 207993.75),(25 212906.55),(26 218739.61),(27 223590.61),(28 226294.38),(29 226365.95),(30 224607.53),(31 220965.48),(32 216761.56),(33 212803.9),(34 209755.1),(35 207963.97),(36 207653.34),(37 209443.2),(38 212436.66),(39 215523.17),(40 218327.16),(41 219319.9),(42 218784.8),(43 218007.23),(44 216380.77),(45 214797.61),(46 213410.81),(47 213216.22),(48 213163.55),(49 215060.34),(50 218655.66),(51 221227.88),(52 223638.39),(53 222738.06),(54 220106.3),(55 216868.55),(56 214798.05),(57 214148.8),(58 214345.02),(59 216609.92),(60 219010.25),(61 220486.14),(62 221815.9),(63 221092.27),(64 219431.7),(65 218972.56),(66 218126.03),(67 217841.48),(68 218303.73),(69 218122.84),(70 216360.13),(71 213158.25),(72 211162.4),(73 210967.81),(74 212790.84),(75 215798.78),(76 219124.97),(77 222598.5),(78 226975.48),(79 231158.94),
(1 17287.33),(2 56204.27),(3 104762.78),(4 150313.92),(5 185384.89),(6 204544.77),(7 210842.47),(8 207944.17),(9 201690.45),(10 196816.69),(11 195286.31),(12 198168.31),(13 204167.83),(14 211770.02),(15 220637.25),(16 228650.72),(17 235102.44),(18 238972.67),(19 240837.2),(20 238507.42),(21 234081.63),(22 229961.42),(23 228236.2),(24 229478.83),(25 232931.98),(26 237546.2),(27 240648.23),(28 241250.86),(29 239691.34),(30 235502.25),(31 229329.72),(32 223789.33),(33 220830.28),(34 220808.64),(35 221764.25),(36 223867.27),(37 227340.83),(38 229947.69),(39 230362.52),(40 230475.4),(41 230613.17),(42 232208.42),(43 233657.27),(44 233182.16),(45 230684.5),(46 227910.25),(47 226905.83),(48 227008.39),(49 227731.34),(50 228575.33),(51 227934.52),(52 225924.73),(53 222777.03),(54 220564.64),(55 220634.23),(56 223820.2),(57 228426.19),(58 233125.02),(59 236689.2),(60 238062.58),(61 236871.92),(62 234751.97),(63 232600.55),(64 231911.11),(65 233374.64),(66 236177.81),(67 238438.58),(68 238385.25),(69 236361.08),(70 234358.36),(71 231738.42),(72 230236.14),(73 232429.31),(74 238742.52),(75 246512.94),(76 251753.98),(77 254352.42),(78 254622.45),(79 252477.48),
(1 16236.589),(2 52386.22),(3 96766.48),(4 137461.48),(5 167088.92),(6 182672.78),(7 187172.45),(8 184538.66),(9 179798.52),(10 175115.11),(11 173202.3),(12 174499.94),(13 179900.81),(14 186770.48),(15 194630.73),(16 201883.11),(17 207434.11),(18 208714.45),(19 206794.05),(20 201368.08),(21 194311.73),(22 189280.06),(23 187107.84),(24 188491.45),(25 193021.47),(26 198081.23),(27 201168.89),(28 200426.28),(29 197298.64),(30 192900.95),(31 189142.19),(32 186823.14),(33 186983.66),(34 188746.88),(35 189733.14),(36 190059.39),(37 191305.66),(38 192362.16),(39 194168.86),(40 196560.63),(41 198460.06),(42 200158.78),(43 199961.69),(44 197854.7),(45 195278.98),(46 192825.4),(47 191610.92),(48 192094.78),(49 193373.22),(50 194807.23),(51 194696.7),(52 192797.4),(53 189474.86),(54 186440.45),(55 183953.64),(56 183237.55),(57 183350.1),(58 184889.64),(59 186799.55),(60 188287.56),(61 188884.78),(62 189935.6),(63 193108.81),(64 198298.81),(65 205190.34),(66 211750.02),(67 215420.44),(68 216000.17),(69 213493.14),(70 211425.77),(71 210754.22),(72 212448.3),(73 215945.69),(74 221320.44),(75 226179.23),(76 229161.55),(77 231139.89),(78 231425.3),(79 231149.67),
(1 15185.259),(2 48517.63),(3 88970.086),(4 125353.8),(5 150254.97),(6 160798.86),(7 160518.9),(8 155408.27),(9 151139.77),(10 151124.83),(11 156013.48),(12 163343.64),(13 172700.61),(14 180545.84),(15 186696.66),(16 191006.53),(17 194186.8),(18 195797.2),(19 194937),(20 192961.16),(21 190222.08),(22 187509.75),(23 185890.86),(24 185962.28),(25 188199.03),(26 191272.9),(27 193380.92),(28 195037.52),(29 195857.7),(30 195863.44),(31 195580.06),(32 195791.33),(33 196590.31),(34 196850.9),(35 196517.7),(36 195746.7),(37 193884.14),(38 192266.08),(39 191381.28),(40 191510.67),(41 192247.2),(42 193254.84),(43 193411.77),(44 193074.3),(45 191694.61),(46 189598.97),(47 187121.73),(48 185179.77),(49 183597.55),(50 183478.05),(51 184059.77),(52 185075.14),(53 185203.9),(54 185536.84),(55 185280.31),(56 184921.69),(57 184121.48),(58 182745.03),(59 181245.77),(60 180613.1),(61 181424.44),(62 183124.53),(63 185862.47),(64 190232.08),(65 195100.86),(66 199326.2),(67 200892.33),(68 200793.67),(69 198754),(70 196702.44),(71 195777.28),(72 195222.66),(73 195615.22),(74 197295.77),(75 199670.05),(76 202188.03),(77 205519.1),(78 208946.69),(79 211592.5),
(1 16549.674),(2 53485.03),(3 97148.31),(4 134542.53),(5 158055.17),(6 165778.45),(7 162110.77),(8 155533.06),(9 151999.38),(10 154364.5),(11 161707.97),(12 170296.28),(13 176891.45),(14 179634.38),(15 179427.88),(16 178064.4),(17 178316.56),(18 179802.48),(19 181895.34),(20 183176.34),(21 182170.75),(22 179444.86),(23 176228.63),(24 174373.8),(25 175355.9),(26 178791.05),(27 181398.94),(28 181734.47),(29 181812.73),(30 181329.75),(31 180943.11),(32 180511.03),(33 180878.17),(34 182585.2),(35 184250.48),(36 184870.6),(37 183181.44),(38 180945.03),(39 179268.2),(40 178530.05),(41 180521.64),(42 185054.13),(43 189378.84),(44 192100.86),(45 192329.7),(46 189725.11),(47 185321.13),(48 181247.17),(49 178100.5),(50 176974.13),(51 177524.84),(52 178964.05),(53 182300.55),(54 186630.02),(55 190138.38),(56 191938.56),(57 192414.45),(58 191051.1),(59 188333.52),(60 184423.69),(61 181154.84),(62 179907.73),(63 181043.38),(64 184895.11),(65 189442.81),(66 193794.7),(67 196191.88),(68 195325.83),(69 192381.84),(70 189122.47),(71 187032.94),(72 186532.36),(73 187290.08),(74 188210.19),(75 190154.86),(76 193618.86),(77 197998.98),(78 202895.56),(79 206459.44),
(1 15393.712),(2 48858.38),(3 88124.375),(4 120854.36),(5 141048.11),(6 147335.16),(7 144937.14),(8 140017.69),(9 138150.63),(10 141234.5),(11 147979.72),(12 155292.77),(13 160886.61),(14 163540.67),(15 164636.58),(16 164800.81),(17 165620.05),(18 166185.77),(19 165347.23),(20 163166.53),(21 160535.97),(22 158172.19),(23 157079.88),(24 156931.31),(25 158887.9),(26 162410.33),(27 164177.23),(28 162877.98),(29 160934.6),(30 159377.05),(31 159071.1),(32 161063.38),(33 164734.27),(34 169106.53),(35 172023.25),(36 171974.55),(37 169541.13),(38 167254.73),(39 165829.72),(40 166602.75),(41 170319.02),(42 175682.77),(43 179861.67),(44 182482.89),(45 182072.4),(46 179215.72),(47 175049.1),(48 171822.02),(49 171034.45),(50 173070.38),(51 175469.06),(52 177570.45),(53 178977.67),(54 182028.31),(55 185295.66),(56 187283.44),(57 188007.05),(58 186027.78),(59 182191.02),(60 176978.31),(61 172237.72),(62 170144.64),(63 170176.13),(64 174072.1),(65 178786.19),(66 183215.13),(67 184888.25),(68 182866.19),(69 179209.83),(70 176013.45),(71 173796.92),(72 173571.77),(73 176605.23),(74 179905.75),(75 183924.69),(76 186507.66),(77 189194.9),(78 192409.58),(79 196317.72),
(1 14783.6455),(2 46657.855),(3 84587.72),(4 117035.3),(5 137872.9),(6 146293.31),(7 146001.78),(8 142988.56),(9 142189.98),(10 144806.08),(11 149617.6),(12 155215.17),(13 159991.7),(14 163198.08),(15 166161.67),(16 168975.11),(17 171110.7),(18 172251.02),(19 170905.86),(20 166366.03),(21 161338.67),(22 158125.2),(23 158404.94),(24 161164.86),(25 164559.4),(26 166395.73),(27 165383.94),(28 161071.25),(29 156102.78),(30 153911.83),(31 154522.03),(32 158902.5),(33 166520.17),(34 173865.97),(35 178308.14),(36 178256.02),(37 174209.69),(38 169164.8),(39 165582.03),(40 165232.61),(41 168165.95),(42 171905.61),(43 175100.66),(44 176279.9),(45 175588.45),(46 173840.69),(47 170011.2),(48 168401.42),(49 168990.56),(50 172438.5),(51 176240.94),(52 178555.06),(53 179829.92),(54 183365.81),(55 187591.7),(56 190911.17),(57 193767.23),(58 196281.03),(59 197762.92),(60 196748.4),(61 194506.73),(62 192013),(63 190112.16),(64 191240.78),(65 192169.84),(66 192963),(67 191794.97),(68 188619.77),(69 184148.31),(70 181231.2),(71 180883.44),(72 183081.05),(73 187282.3),(74 191802.33),(75 195746.11),(76 198825.67),(77 200733.48),(78 201569.98),(79 202714.69),
(1 14938.169),(2 48120.465),(3 87234.17),(4 119501.98),(5 137327.38),(6 142515.83),(7 139866.5),(8 136240.5),(9 136413.16),(10 141296.97),(11 148351.84),(12 153892.34),(13 155454.98),(14 153883.7),(15 151424.16),(16 150950.78),(17 153560.1),(18 158109.61),(19 161373.53),(20 161981.97),(21 160363.77),(22 157767.97),(23 156203.86),(24 156622.94),(25 158241.05),(26 160577.25),(27 161629.77),(28 160611.23),(29 157677.88),(30 155683.44),(31 156124.25),(32 160004.8),(33 166606.16),(34 173951.03),(35 179292.42),(36 181709.42),(37 179576.8),(38 175209.22),(39 170422.05),(40 168981.81),(41 170532.75),(42 172950.83),(43 174200),(44 172609.38),(45 168477.72),(46 162509.78),(47 157718.33),(48 156889.4),(49 159977.81),(50 166182.36),(51 172087.88),(52 174935.47),(53 174252.2),(54 172191.16),(55 171112),(56 171544.63),(57 173438.06),(58 175874.55),(59 177303.63),(60 176817.06),(61 174691.56),(62 172973.13),(63 173017.45),(64 175512.53),(65 178536.92),(66 181191.61),(67 182052.78),(68 181203.31),(69 178604.44),(70 176639.22),(71 175947.31),(72 177933.67),(73 182292.03),(74 187839.02),(75 194104.16),(76 199325.83),(77 202550.8),(78 205242.75),(79 208526.83),
(1 16175.708),(2 51790.33),(3 93477.89),(4 127921.086),(5 145908.27),(6 148268.98),(7 141589.69),(8 134895.52),(9 133043.58),(10 139673.17),(11 150804.98),(12 160532.38),(13 166326.2),(14 165561.38),(15 162151.22),(16 157520.56),(17 155696.39),(18 158436.88),(19 163268.48),(20 166026.38),(21 166023.44),(22 164471.58),(23 163662.67),(24 165142.52),(25 168987.55),(26 174339),(27 178198),(28 178871.1),(29 176355.83),(30 172479.25),(31 168619.88),(32 168620.92),(33 173388.98),(34 180340.92),(35 186326.5),(36 188701.77),(37 185185.48),(38 177899.67),(39 170610.78),(40 167594.11),(41 169591.97),(42 174475.75),(43 179002.31),(44 180147.27),(45 176722.98),(46 168939.67),(47 161829.98),(48 159340.67),(49 163025.7),(50 170977.16),(51 179443.61),(52 185005.13),(53 185457.33),(54 182133.73),(55 176705.86),(56 172541.84),(57 170908.67),(58 171747.6),(59 173745.58),(60 174293),(61 173602.2),(62 172127.3),(63 170698.95),(64 171538.47),(65 172774.38),(66 174013.19),(67 174362.53),(68 173223.52),(69 172138.5),(70 172054.9),(71 173909.42),(72 179113.1),(73 184748.45),(74 189848.14),(75 193430.11),(76 195610.56),(77 196500.67),(78 195009.13),(79 194744.98),
(1 14790.084),(2 46741.695),(3 84594.484),(4 115426.9),(5 133513.95),(6 139741.38),(7 139100.08),(8 136599.34),(9 136899.23),(10 140782.97),(11 146200.9),(12 149849.81),(13 151153.39),(14 149150.19),(15 147341),(16 146497.67),(17 146931.17),(18 150105.75),(19 153997.98),(20 156335.5),(21 155696.31),(22 154193.5),(23 154172.14),(24 156006.06),(25 160597.92),(26 166202.94),(27 169636.42),(28 169201.1),(29 167644.66),(30 164684.27),(31 161726.3),(32 161564.1),(33 165083.98),(34 170228.02),(35 174079.2),(36 174890.3),(37 171748.06),(38 166677.25),(39 163075.17),(40 161891),(41 164505.98),(42 169900.47),(43 174443.45),(44 175911.75),(45 173427.7),(46 168109.7),(47 163059.58),(48 162543.3),(49 167036.73),(50 174030.08),(51 180949.17),(52 184871.31),(53 185256.78),(54 182541.27),(55 178249.84),(56 175220.14),(57 175480.63),(58 178060.13),(59 180790.8),(60 181484.7),(61 179927.67),(62 177934.16),(63 175945.28),(64 174377.78),(65 173551.84),(66 173679.42),(67 173435.6),(68 171557.52),(69 168490.78),(70 165464.5),(71 163820.95),(72 164146.63),(73 166434.42),(74 169031.16),(75 170762.94),(76 170904.8),(77 169626.69),(78 167428.47),(79 165376.05),
(1 13830.33),(2 43773.61),(3 79236.73),(4 109777.15),(5 129342.34),(6 136153.89),(7 135551.77),(8 133964.42),(9 135862.08),(10 140552.6),(11 146287.42),(12 150586.28),(13 152949.81),(14 152921.67),(15 152208),(16 151095.61),(17 150530.2),(18 150925.17),(19 151370.97),(20 149687.2),(21 146247.73),(22 144292.88),(23 144700.48),(24 148033.38),(25 153485.42),(26 158600.13),(27 161165.7),(28 159956.83),(29 155766.55),(30 150316.61),(31 146712.53),(32 147277.63),(33 152994.2),(34 160467.25),(35 166223.02),(36 168002.17),(37 164756.47),(38 157858.56),(39 151286.63),(40 148657.14),(41 150311.5),(42 154527.6),(43 158923.78),(44 161468.9),(45 162258.52),(46 161270.22),(47 160487.08),(48 161849.66),(49 165829.86),(50 170732.84),(51 174162.95),(52 175117.1),(53 173991.84),(54 173616.66),(55 173621.2),(56 173671.61),(57 174456.72),(58 175824.5),(59 177620.95),(60 178420.3),(61 177899.97),(62 176919.81),(63 175388.72),(64 173620.5),(65 172183.17),(66 171274.03),(67 170236.23),(68 170123.38),(69 170756.36),(70 170838.17),(71 170426),(72 169946.47),(73 169581.36),(74 168251.8),(75 167453.38),(76 168179),(77 169762.39),(78 170147.52),(79 170194.3),
(1 14185.545),(2 45038.055),(3 80310.85),(4 108528.88),(5 125588.555),(6 131390.64),(7 130658.69),(8 128907.414),(9 130626.94),(10 135838.67),(11 142171.52),(12 147531.73),(13 148910.4),(14 146626.7),(15 144648.47),(16 143137.42),(17 143193.45),(18 144464.53),(19 146023.86),(20 145475.14),(21 142322.86),(22 138353.55),(23 136474.42),(24 138066.55),(25 142835.61),(26 148295.06),(27 152088.94),(28 152430.48),(29 149757.4),(30 145490.05),(31 142830.23),(32 144116.22),(33 148972.72),(34 156103.52),(35 161613.03),(36 162871.63),(37 158267.38),(38 150721.75),(39 145299.23),(40 143083.38),(41 143566.89),(42 146193.5),(43 150974.67),(44 154141.17),(45 154614.11),(46 152759.13),(47 150940.98),(48 151134.23),(49 153233.55),(50 156627.06),(51 158201.44),(52 157966.05),(53 155800.53),(54 153139.48),(55 151789.52),(56 153201.84),(57 154905.27),(58 157121.28),(59 158429.55),(60 158917.31),(61 159134.42),(62 160425.3),(63 162616.52),(64 165697.98),(65 168457.69),(66 169430.95),(67 169989.64),(68 171159.31),(69 172688.03),(70 174675.39),(71 176470.34),(72 178672.31),(73 180052.81),(74 180085.53),(75 179515.22),(76 178203.77),(77 176759.72),(78 177752),(79 178655.86),
(1 12727.388),(2 39689.934),(3 71164.92),(4 96983.57),(5 112649.26),(6 118764.836),(7 119028.95),(8 117962.83),(9 118530.516),(10 121697.484),(11 125594.125),(12 128410.43),(13 129199.805),(14 128014.586),(15 126030.41),(16 125345.33),(17 126132.234),(18 127607.58),(19 128691.89),(20 128711.36),(21 127103.13),(22 125955.17),(23 126084.195),(24 127795.86),(25 130747.26),(26 133862.78),(27 136754.67),(28 136751.8),(29 135234.47),(30 133775.94),(31 133820.16),(32 136351.14),(33 140274.06),(34 144784.89),(35 147636.08),(36 148361.98),(37 146024.95),(38 142098.31),(39 138222.48),(40 137198.13),(41 138675.67),(42 141391.67),(43 144022.84),(44 145617.3),(45 145801.63),(46 145160.17),(47 145248.52),(48 146246.88),(49 148065.61),(50 150175.14),(51 151353.64),(52 151583.9),(53 151088.53),(54 150446.98),(55 149947.05),(56 150024.86),(57 149809.48),(58 150159.19),(59 150356.22),(60 150539.08),(61 150868.6),(62 151444.63),(63 152929.28),(64 154679.14),(65 155133.4),(66 155019.39),(67 153789.95),(68 152451.14),(69 151967.4),(70 152721.67),(71 155161.02),(72 158741.52),(73 161279),(74 162599.27),(75 163482.61),(76 163149.34),(77 161943.86),(78 161728.38),(79 163853.08),
