1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7153.384),(2 6960.3647),(3 7232.648),(4 7073.0073),(5 7514.079),(6 7267.608),(7 7494.961),(8 7629.219),(9 7574.7246),(10 7628.6904),(11 7729.411),(12 7964.8354),(13 7817.2627),(14 8133.4404),(15 7936.475),(16 8240.856),(17 8298.844),(18 8355.059),(19 8398.59),(20 8362.458),(21 8642.813),(22 8500.147),(23 8721.2295),(24 8766.789),(25 9045.768),(26 9213.161),(27 9162.799),(28 9469.422),(29 9346.106),(30 9565.446),(31 9500.938),(32 9760.777),(33 9536.176),(34 9786.1045),(35 9803.004),(36 9794.928),(37 9908.94),(38 9929.807),(39 10040.114),(40 10218.756),(41 10246.132),(42 10298.327),(43 10325.322),(44 10205.929),(45 10451.616),(46 10540.334),(47 10504.992),(48 10408.3),(49 10439.878),(50 10636.374),(51 10622.982),(52 10634.489),(53 10558.902),(54 10638.039),(55 10624.269),(56 10749.126),(57 10773.272),(58 10761.594),(59 10757.246),(60 10823.783),(61 10749.805),(62 10710.762),(63 10652.533),(64 10768.844),(65 10780.703),(66 10552.03),(67 10582.916),(68 10699.834),(69 10723.8),(70 10644.86),(71 10618.815),(72 10561.082),(73 10622.088),(74 10687.132),(75 10865.859),(76 10741.737),(77 10668.5625),(78 10735.694),(79 10748.294),
(1 7012.6006),(2 6675.3193),(3 7057.571),(4 6806.137),(5 7412.7935),(6 7207.2554),(7 7270.9985),(8 7650.6455),(9 7487.5605),(10 7577.603),(11 7773.34),(12 7820.829),(13 7756.9014),(14 8042.3643),(15 7948.359),(16 8322.276),(17 8482.159),(18 8461.103),(19 8508.744),(20 8350.84),(21 8879.184),(22 8707.509),(23 8850.103),(24 8917.104),(25 9237.568),(26 9203.723),(27 9463.233),(28 9618.378),(29 9581.7),(30 9715.687),(31 9585.177),(32 9916.677),(33 9740.275),(34 9946.716),(35 9792.02),(36 9951.474),(37 10102.115),(38 10131.312),(39 10217.788),(40 10128.84),(41 10357.981),(42 10354.807),(43 10270.58),(44 10224.338),(45 10456.211),(46 10335.524),(47 10490.057),(48 10312.577),(49 10339.6875),(50 10425.669),(51 10531.724),(52 10429.365),(53 10548.6),(54 10587.108),(55 10668.977),(56 10428.853),(57 10726.353),(58 10692.065),(59 10592.358),(60 10675.336),(61 10730.289),(62 10406.721),(63 10588.888),(64 10652.044),(65 10656.676),(66 10549.076),(67 10490.5205),(68 10453.499),(69 10407.946),(70 10446.194),(71 10274.505),(72 10438.584),(73 10428.866),(74 10474.999),(75 10437.047),(76 10411.568),(77 10503.478),(78 10691.38),(79 10604.091),
(1 6810.8574),(2 6508.15),(3 6772.8105),(4 6806.7637),(5 7001.356),(6 7005.674),(7 7016.095),(8 7400.092),(9 7301.9326),(10 7291.967),(11 7681.0337),(12 7596.633),(13 7465.1187),(14 7827.9585),(15 7660.7637),(16 7958.988),(17 8086.0176),(18 8050.3013),(19 8325.536),(20 8057.492),(21 8455.291),(22 8398.98),(23 8633.3125),(24 8609.773),(25 8733.673),(26 8840.8955),(27 9030.988),(28 8957.765),(29 9010.6045),(30 9101.202),(31 9193.905),(32 9421.066),(33 9342.265),(34 9428.998),(35 9672.77),(36 9584.385),(37 9681.214),(38 9747.04),(39 9708.978),(40 9859.454),(41 9684.124),(42 9780.9375),(43 9714.273),(44 9721.111),(45 9982.408),(46 9889.7),(47 9895.965),(48 10001.21),(49 9919.798),(50 10054.355),(51 10078.848),(52 10163.866),(53 10120.336),(54 10237.804),(55 10273.846),(56 10255.697),(57 10217.181),(58 10325.43),(59 10225.085),(60 10159.876),(61 10234.056),(62 10251.545),(63 10206.717),(64 10207.24),(65 10116.539),(66 10118.773),(67 10070.897),(68 9990.788),(69 10039.745),(70 9983.813),(71 9988.98),(72 9775.478),(73 10088.512),(74 9970.802),(75 9843.156),(76 10015.201),(77 10130.978),(78 10075.85),(79 9925.374),
(1 6615.181),(2 6467.711),(3 6598.911),(4 6628.8545),(5 6872.631),(6 6807.5166),(7 6940.3354),(8 7318.547),(9 7152.434),(10 7261.4556),(11 7427.722),(12 7354.6084),(13 7269.0645),(14 7705.137),(15 7526.013),(16 7787.0474),(17 7926.0493),(18 7974.273),(19 8041.5845),(20 8043.0107),(21 8267.815),(22 8223.418),(23 8438.62),(24 8318.586),(25 8571.464),(26 8649.18),(27 8720.083),(28 8788.289),(29 8992.966),(30 8969.764),(31 9150.013),(32 9336.085),(33 9326.893),(34 9575.447),(35 9448.28),(36 9508.17),(37 9622.689),(38 9710.816),(39 9713.842),(40 9658.671),(41 9731.593),(42 9620.031),(43 9653.063),(44 9803.498),(45 9929.8),(46 9704.777),(47 9772.017),(48 10015.4),(49 10017.537),(50 10057.818),(51 9983.526),(52 9977.842),(53 10220.558),(54 10098.993),(55 10044.872),(56 10181.724),(57 10127.218),(58 10046.524),(59 10067.643),(60 10052.865),(61 10019.675),(62 10050.576),(63 10145.589),(64 10147.174),(65 10034.484),(66 9985.196),(67 10063.685),(68 9899.466),(69 9934.026),(70 9842.935),(71 9848.969),(72 9496.327),(73 9862.802),(74 9795.6875),(75 9790.366),(76 9907.215),(77 10059.502),(78 9836.004),(79 9749.312),
(1 6440.103),(2 6231.664),(3 6599.121),(4 6399.842),(5 6735.6313),(6 6729.2007),(7 6878.959),(8 7145.943),(9 6961.322),(10 7132.2827),(11 7256.4766),(12 7191.772),(13 7242.4673),(14 7456.2905),(15 7229.503),(16 7632.1333),(17 7727.957),(18 7717.7026),(19 7603.208),(20 7872.194),(21 7937.644),(22 8084.129),(23 8160.0024),(24 7987.5957),(25 8275.679),(26 8421.721),(27 8369.524),(28 8388.21),(29 8509.838),(30 8652.002),(31 8634.944),(32 8879.604),(33 8986.363),(34 9038.207),(35 8983.5625),(36 9032.739),(37 9068.163),(38 9120.815),(39 9188.63),(40 9162.967),(41 9198.684),(42 9130.873),(43 9122.187),(44 9334.546),(45 9146.251),(46 9193.17),(47 9194.735),(48 9383.535),(49 9248.661),(50 9466.053),(51 9462.981),(52 9303.189),(53 9487.357),(54 9547.033),(55 9461.959),(56 9501.01),(57 9583.997),(58 9513.746),(59 9500.001),(60 9513.184),(61 9477.384),(62 9609.663),(63 9655.734),(64 9806.914),(65 9696.3),(66 9715.791),(67 9859.285),(68 9733.977),(69 9846.529),(70 9643.522),(71 9726.082),(72 9583.02),(73 9827.414),(74 9709.479),(75 9823.948),(76 9797.259),(77 9843.157),(78 9808.019),(79 9698.916),
(1 6615.2534),(2 6250.298),(3 6640.1807),(4 6336.02),(5 6707.2915),(6 6785.365),(7 6849.6597),(8 7090.476),(9 6930.449),(10 7196.4077),(11 7178.7065),(12 7277.897),(13 7187.486),(14 7486.231),(15 7213.6113),(16 7550.8516),(17 7676.8486),(18 7684.105),(19 7613.62),(20 7792.117),(21 8073.644),(22 8069.9604),(23 8187.8115),(24 8141.1045),(25 8342.421),(26 8600.068),(27 8678.288),(28 8629.562),(29 8945.59),(30 8841.098),(31 8963.444),(32 9017.267),(33 9084.52),(34 9123.154),(35 9346.81),(36 9133.277),(37 9211.395),(38 9408.709),(39 9450.866),(40 9326.188),(41 9418.214),(42 9433.033),(43 9532.963),(44 9626.837),(45 9495.32),(46 9605.605),(47 9541.184),(48 9792.332),(49 9628.815),(50 9740.299),(51 9739.382),(52 9622.409),(53 9868.368),(54 9942.852),(55 9930.348),(56 9877.229),(57 10019.083),(58 9954.575),(59 9988.712),(60 9821.777),(61 9959.611),(62 10060.163),(63 10014.776),(64 9938.628),(65 10123.348),(66 10070.161),(67 9979.296),(68 10048.671),(69 9876.116),(70 9791.199),(71 9806.556),(72 9847.955),(73 9872.861),(74 9850.045),(75 10003.048),(76 9861.42),(77 9767.085),(78 9940.565),(79 9832.706),
(1 6350.252),(2 6268.7407),(3 6230.488),(4 6301.0166),(5 6600.1924),(6 6592.735),(7 6787.5234),(8 6810.8037),(9 6693.192),(10 6799.4053),(11 6983.786),(12 6975.5),(13 6921.2275),(14 7254.445),(15 7180.793),(16 7401.018),(17 7569.1694),(18 7578.7275),(19 7527.8804),(20 7839.659),(21 7830.809),(22 7827.668),(23 7917.172),(24 7987.2056),(25 8219.684),(26 8515.717),(27 8567.863),(28 8461.502),(29 8649.871),(30 8585.437),(31 8842.368),(32 8785.626),(33 8747.971),(34 8817.719),(35 9001.551),(36 9067.787),(37 9042.532),(38 9251.91),(39 9193.325),(40 9144.639),(41 9113.923),(42 9198.64),(43 9173.189),(44 9136.162),(45 9185.973),(46 9241.58),(47 9144.472),(48 9264.8545),(49 9205.789),(50 9374.305),(51 9205.341),(52 9230.237),(53 9364.829),(54 9291.246),(55 9389.502),(56 9404.273),(57 9452.289),(58 9283.222),(59 9259.923),(60 9339.621),(61 9254.108),(62 9287.822),(63 9343.958),(64 9397.03),(65 9349.055),(66 9500.951),(67 9207.467),(68 9402.905),(69 9332.837),(70 9290.9795),(71 9326.297),(72 9408.266),(73 9354.061),(74 9275.539),(75 9463.734),(76 9479.824),(77 9475.049),(78 9367.184),(79 9479.796),
(1 6040.632),(2 6033.2837),(3 5982.0493),(4 6051.372),(5 6425.044),(6 6333.2734),(7 6619.0806),(8 6574.278),(9 6606.6514),(10 6556.857),(11 6730.185),(12 6746.8164),(13 6708.1084),(14 7072.2056),(15 7043.638),(16 7113.3433),(17 7259.3726),(18 7274.6035),(19 7240.043),(20 7382.3486),(21 7400.4414),(22 7369.914),(23 7431.26),(24 7448.8926),(25 7911.3843),(26 7922.0737),(27 8089.409),(28 8061.5913),(29 8115.89),(30 8152.05),(31 8334.881),(32 8507.315),(33 8488.913),(34 8647.212),(35 8752.035),(36 8814.174),(37 8949.767),(38 8860.152),(39 9020.346),(40 8938.41),(41 8927.909),(42 8972.947),(43 9077.596),(44 9136.575),(45 9150.194),(46 9248.668),(47 9134.388),(48 9106.603),(49 9153.693),(50 9068.708),(51 9013.878),(52 9103.784),(53 9076.7),(54 9125.055),(55 9111.88),(56 9166.552),(57 9025.63),(58 8938.491),(59 9151.953),(60 9079.6),(61 9064.564),(62 9260.741),(63 9219.529),(64 9238.043),(65 9105.955),(66 9232.084),(67 9180.372),(68 9165.879),(69 9173.594),(70 9089.035),(71 9066.948),(72 9217.412),(73 9296.188),(74 9275.283),(75 9263.6045),(76 9272.464),(77 9184.749),(78 9261.988),(79 9307.262),
(1 6084.698),(2 5741.5537),(3 5976.254),(4 5948.088),(5 6310.966),(6 6166.247),(7 6460.884),(8 6490.0566),(9 6455.54),(10 6647.4927),(11 6669.136),(12 6662.2173),(13 6783.346),(14 6989.652),(15 6909.626),(16 7216.8213),(17 7192.132),(18 7376.5493),(19 7416.5547),(20 7492.788),(21 7458.4727),(22 7522.0327),(23 7559.4463),(24 7664.142),(25 7944.6353),(26 8067.9087),(27 8244.485),(28 8245.261),(29 8241.088),(30 8253.635),(31 8441.302),(32 8571.56),(33 8612.217),(34 8670.082),(35 8663.84),(36 8802.939),(37 9090.945),(38 8969.809),(39 8913.191),(40 9112.595),(41 8941.974),(42 8981.188),(43 8987.385),(44 9017.1045),(45 9182.451),(46 9116.612),(47 9075.6455),(48 9027.65),(49 9048.603),(50 9085.701),(51 8983.76),(52 9068.192),(53 8985.783),(54 9028.242),(55 9078.809),(56 9078.287),(57 9025.75),(58 9040.384),(59 9184.02),(60 9065.585),(61 8856.23),(62 9073.468),(63 8999.317),(64 9131.584),(65 8976.64),(66 9042.764),(67 9005.959),(68 9069.308),(69 8967.683),(70 8887.171),(71 9119.402),(72 9075.192),(73 9230.346),(74 9287.742),(75 9140.191),(76 9059.764),(77 9061.379),(78 9123.741),(79 9091.589),
(1 6041.9165),(2 5572.6875),(3 5781.8496),(4 5918.3613),(5 6089.1284),(6 5979.6055),(7 6361.5737),(8 6410.464),(9 6311.582),(10 6495.8257),(11 6546.6484),(12 6577.7236),(13 6647.168),(14 6843.6655),(15 6849.59),(16 7009.844),(17 6934.325),(18 7052.589),(19 7010.61),(20 7292.8525),(21 7046.518),(22 7286.3286),(23 7147.48),(24 7515.899),(25 7562.1187),(26 7724.2866),(27 7749.6045),(28 7829.094),(29 7933.7847),(30 7764.6606),(31 8063.742),(32 8261.71),(33 8130.263),(34 8340.694),(35 8220.937),(36 8487.182),(37 8636.69),(38 8633.099),(39 8449.6),(40 8492.899),(41 8546.116),(42 8627.072),(43 8642.701),(44 8556.518),(45 8795.697),(46 8759.551),(47 8827.355),(48 8666.896),(49 8725.217),(50 8745.726),(51 8679.359),(52 8798.738),(53 8773.208),(54 8845.62),(55 8888.35),(56 8840.916),(57 8732.492),(58 8765.826),(59 8809.841),(60 8781.138),(61 8655.581),(62 8818.003),(63 8913.966),(64 8876.1),(65 8835.172),(66 8899.098),(67 8658.091),(68 8755.911),(69 8844.673),(70 8675.404),(71 8831.993),(72 8957.932),(73 8864.299),(74 8949.758),(75 8987.576),(76 8937.016),(77 8958.416),(78 9030.732),(79 9032.218),
(1 5699.26),(2 5459.651),(3 5662.8345),(4 5597.4688),(5 5738.644),(6 5913.174),(7 6033.576),(8 6161.1143),(9 6175.9883),(10 6172.2134),(11 6350.7603),(12 6314.8286),(13 6405.418),(14 6567.511),(15 6639.679),(16 6701.3833),(17 6804.252),(18 6996.6416),(19 6915.861),(20 7299.8447),(21 7089.1836),(22 7184.855),(23 7216.2495),(24 7481.548),(25 7568.2847),(26 7801.297),(27 7823.2163),(28 7874.8975),(29 7894.944),(30 8092.001),(31 8125.7905),(32 8304.922),(33 8196.657),(34 8389.813),(35 8503.554),(36 8566.374),(37 8880.479),(38 8844.677),(39 8710.216),(40 8826.372),(41 8836.238),(42 8852.099),(43 8968.8125),(44 8905.328),(45 9001.764),(46 8981.02),(47 9061.682),(48 9076.416),(49 9099.693),(50 9066.608),(51 9136.692),(52 9090.125),(53 9180.062),(54 9169.158),(55 9191.988),(56 9123.967),(57 9056.476),(58 9053.034),(59 9153.32),(60 9017.88),(61 9046.281),(62 9063.684),(63 8962.756),(64 9068.605),(65 8971.448),(66 9147.008),(67 9015.589),(68 8853.026),(69 8887.49),(70 9011.361),(71 8918.048),(72 8908.111),(73 8836.6455),(74 8904.158),(75 8956.67),(76 8915.006),(77 8978.875),(78 9034.537),(79 8961.988),
(1 5604.5044),(2 5305.2583),(3 5591.2124),(4 5584.3975),(5 5710.8193),(6 5628.5825),(7 5870.046),(8 5953.423),(9 6031.5225),(10 5953.383),(11 6084.8496),(12 6130.156),(13 6318.055),(14 6174.605),(15 6448.3027),(16 6579.198),(17 6527.894),(18 6733.0957),(19 6700.506),(20 6907.0444),(21 6782.2837),(22 6992.556),(23 6950.7383),(24 7033.8237),(25 7256.023),(26 7427.101),(27 7362.5273),(28 7426.2314),(29 7481.207),(30 7497.0083),(31 7559.112),(32 7657.476),(33 7831.4097),(34 7744.467),(35 7953.0933),(36 7892.974),(37 8147.639),(38 8095.4087),(39 8094.9043),(40 8235.107),(41 8162.5176),(42 8218.973),(43 8155.06),(44 8145.928),(45 8211.817),(46 8152.9917),(47 8308.589),(48 8221.431),(49 8232.112),(50 8234.962),(51 8417.277),(52 8262.961),(53 8317.262),(54 8257.562),(55 8398.083),(56 8258.127),(57 8233.024),(58 8203.608),(59 8317.771),(60 8154.5693),(61 8256.326),(62 8149.0415),(63 8297.671),(64 8366.652),(65 8226.339),(66 8262.449),(67 8284.358),(68 8028.8755),(69 8203.022),(70 8281.125),(71 8188.504),(72 8213.13),(73 8117.1973),(74 8148.296),(75 8252.797),(76 8315.729),(77 8183.857),(78 8382.791),(79 8376.817),
(1 5523.9707),(2 5173.447),(3 5332.4326),(4 5413.464),(5 5656.895),(6 5574.6484),(7 5814.79),(8 5839.8228),(9 6012.1187),(10 5934.429),(11 5922.141),(12 6160.9644),(13 6339.2246),(14 6215.64),(15 6470.7163),(16 6601.5444),(17 6562.0723),(18 6785.0313),(19 6869.7046),(20 6892.54),(21 6903.1685),(22 7056.9253),(23 7149.015),(24 7244.5947),(25 7512.841),(26 7554.2397),(27 7592.1626),(28 7736.934),(29 7791.3496),(30 7788.1084),(31 7896.441),(32 8008.536),(33 8234.183),(34 8171.1123),(35 8245.129),(36 8352.526),(37 8327.569),(38 8413.209),(39 8476.954),(40 8570.148),(41 8432.468),(42 8624.383),(43 8516.902),(44 8577.843),(45 8529.111),(46 8499.119),(47 8567.858),(48 8542.793),(49 8584.844),(50 8456.494),(51 8564.305),(52 8633.352),(53 8460.56),(54 8591.601),(55 8512.519),(56 8453.087),(57 8400.612),(58 8483.808),(59 8404.627),(60 8434.766),(61 8313.632),(62 8231.973),(63 8392.859),(64 8402.071),(65 8250.592),(66 8317.883),(67 8287.929),(68 8161.3296),(69 8263.546),(70 8208.077),(71 8197.811),(72 8404.0625),(73 8294.653),(74 8275.189),(75 8284.171),(76 8418.837),(77 8318.647),(78 8368.693),(79 8379.745),
(1 5249.0933),(2 4900.5806),(3 5005.249),(4 5264.181),(5 5362.0806),(6 5413.591),(7 5522.9854),(8 5564.2417),(9 5748.4956),(10 5734.082),(11 5800.3984),(12 5799.752),(13 6001.8647),(14 5997.5293),(15 6130.0405),(16 6206.932),(17 6205.5625),(18 6340.618),(19 6473.3755),(20 6517.5317),(21 6418.598),(22 6526.6914),(23 6632.48),(24 6758.9346),(25 6909.256),(26 6867.4277),(27 7013.8804),(28 7151.1753),(29 7221.1816),(30 7217.423),(31 7398.532),(32 7456.8315),(33 7464.201),(34 7544.0874),(35 7737.077),(36 7837.4927),(37 7784.16),(38 7771.5264),(39 7871.0264),(40 7850.5747),(41 7851.6196),(42 7798.818),(43 7868.1494),(44 7933.097),(45 7919.7188),(46 7974.124),(47 7907.3516),(48 7983.1445),(49 7927.93),(50 8051.1465),(51 7940.3457),(52 7917.4365),(53 7788.2065),(54 7957.4863),(55 7968.165),(56 7971.224),(57 8014.111),(58 7909.4946),(59 7871.4375),(60 7977.2744),(61 7909.6104),(62 7884.089),(63 7980.6514),(64 8068.839),(65 7967.0527),(66 8060.029),(67 7965.4014),(68 8049.6646),(69 7973.8584),(70 8125.228),(71 7977.2617),(72 8064.479),(73 8100.3794),(74 7890.2324),(75 8054.1113),(76 8174.771),(77 8041.482),(78 8103.8057),(79 8138.8),
(1 5127.1113),(2 4843.2793),(3 4912.7446),(4 5137.358),(5 5190.9663),(6 5352.484),(7 5463.7944),(8 5398.2593),(9 5512.882),(10 5609.197),(11 5642.5654),(12 5582.0547),(13 5861.8823),(14 5887.8228),(15 6079.536),(16 6095.509),(17 6267.484),(18 6155.2783),(19 6417.3096),(20 6539.868),(21 6325.607),(22 6442.4644),(23 6647.2495),(24 6866.939),(25 6855.7393),(26 6879.918),(27 7136.3745),(28 7009.534),(29 7197.666),(30 7202.99),(31 7297.582),(32 7419.5024),(33 7427.9497),(34 7514.157),(35 7623.3403),(36 7807.3516),(37 7649.4116),(38 7757.7305),(39 7891.7817),(40 7772.487),(41 7857.1274),(42 7860.799),(43 7987.0806),(44 8044.6226),(45 7970.4717),(46 7991.464),(47 7911.666),(48 8068.1504),(49 8003.259),(50 7904.2207),(51 7979.644),(52 7995.766),(53 7831.752),(54 7892.848),(55 7996.382),(56 7851.6016),(57 7917.0566),(58 7811.9497),(59 7743.343),(60 7812.107),(61 7782.9434),(62 7773.4824),(63 7845.954),(64 7694.6704),(65 7747.9814),(66 7826.879),(67 7742.6997),(68 7855.8853),(69 7628.734),(70 7809.433),(71 7792.752),(72 7805.4575),(73 7815.257),(74 7815.0347),(75 7807.5537),(76 7989.9453),(77 7892.109),(78 7939.903),(79 7956.5723),
(1 5065.4185),(2 4796.9863),(3 4822.957),(4 5051.3037),(5 5102.601),(6 5309.5474),(7 5314.311),(8 5301.8794),(9 5400.062),(10 5548.8774),(11 5491.314),(12 5531.052),(13 5642.452),(14 5708.315),(15 5888.561),(16 5927.3105),(17 6169.4976),(18 6067.97),(19 6309.3525),(20 6259.7607),(21 6325.881),(22 6457.4834),(23 6516.69),(24 6662.1084),(25 6725.072),(26 6773.967),(27 6956.7485),(28 6907.75),(29 7190.5117),(30 7067.4937),(31 7206.4116),(32 7227.784),(33 7174.579),(34 7323.9253),(35 7304.0044),(36 7540.9995),(37 7324.321),(38 7479.5366),(39 7698.994),(40 7595.469),(41 7614.8403),(42 7635.5596),(43 7771.1025),(44 7744.303),(45 7794.4443),(46 7679.713),(47 7701.721),(48 7821.999),(49 7761.656),(50 7761.8096),(51 7681.2446),(52 7746.7603),(53 7681.35),(54 7707.996),(55 7797.036),(56 7738.5225),(57 7687.206),(58 7615.4634),(59 7654.2007),(60 7668.933),(61 7531.523),(62 7577.7188),(63 7612.6963),(64 7519.4917),(65 7608.953),(66 7616.0225),(67 7508.8623),(68 7461.9575),(69 7530.421),(70 7535.8335),(71 7526.161),(72 7637.4976),(73 7559.7217),(74 7524.831),(75 7572.543),(76 7653.3345),(77 7653.9697),(78 7627.6973),(79 7734.031),
(1 4968.8945),(2 4884.3257),(3 4847.8306),(4 5041.6987),(5 5118.7114),(6 5196.556),(7 5222.682),(8 5329.908),(9 5382.8354),(10 5397.5044),(11 5459.7925),(12 5432.5264),(13 5553.9956),(14 5607.3486),(15 5695.2563),(16 5768.463),(17 5866.216),(18 5824.317),(19 6043.1064),(20 6034.9937),(21 6110.4956),(22 6219.22),(23 6313.6953),(24 6429.3857),(25 6569.2524),(26 6582.2104),(27 6626.3315),(28 6786.0337),(29 6920.714),(30 6773.5405),(31 6923.0117),(32 6927.3853),(33 6906.1655),(34 7185.714),(35 7159.5405),(36 7306.095),(37 7178.3833),(38 7369.9272),(39 7418.03),(40 7370.602),(41 7480.6533),(42 7418.003),(43 7477.9917),(44 7558.041),(45 7518.9873),(46 7580.668),(47 7682.444),(48 7489.0737),(49 7593.9043),(50 7624.2627),(51 7534.665),(52 7525.5767),(53 7615.0776),(54 7596.4604),(55 7623.441),(56 7552.271),(57 7565.3867),(58 7477.751),(59 7489.697),(60 7502.5317),(61 7408.5625),(62 7391.2813),(63 7398.013),(64 7523.963),(65 7424.2603),(66 7449.054),(67 7419.328),(68 7329.1855),(69 7412.1455),(70 7405.0396),(71 7324.59),(72 7370.8965),(73 7392.9707),(74 7352.583),(75 7304.485),(76 7500.512),(77 7453.9365),(78 7452.7637),(79 7441.269),
(1 4935.338),(2 4774.008),(3 4723.7563),(4 5017.4897),(5 4979.67),(6 5170.12),(7 5123.807),(8 5226.9063),(9 5271.737),(10 5297.189),(11 5354.253),(12 5359.639),(13 5468.37),(14 5569.2446),(15 5616.0474),(16 5703.894),(17 5814.3433),(18 5679.1387),(19 5991.646),(20 5963.686),(21 6049.927),(22 6120.4355),(23 6176.0366),(24 6296.6816),(25 6416.761),(26 6329.4414),(27 6469.9087),(28 6595.6577),(29 6747.1323),(30 6708.9893),(31 6739.0728),(32 6818.933),(33 6776.2817),(34 7063.667),(35 7141.291),(36 7191.195),(37 7191.6157),(38 7305.5146),(39 7360.378),(40 7285.0396),(41 7369.1123),(42 7462.5396),(43 7432.6094),(44 7513.704),(45 7450.1543),(46 7540.7246),(47 7523.6567),(48 7370.3564),(49 7457.2417),(50 7493.729),(51 7553.5254),(52 7341.9785),(53 7512.0596),(54 7591.0767),(55 7485.5254),(56 7448.2715),(57 7469.4053),(58 7546.3784),(59 7323.5635),(60 7379.329),(61 7362.3735),(62 7291.7515),(63 7281.6025),(64 7373.746),(65 7201.396),(66 7315.685),(67 7271.167),(68 7252.96),(69 7165.864),(70 7222.8696),(71 7318.9307),(72 7248.0854),(73 7198.4204),(74 7195.2124),(75 7247.0107),(76 7378.465),(77 7324.8813),(78 7308.029),(79 7328.5522),
