1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 10628.516),(2 15985.781),(3 19106.742),(4 19954.059),(5 20839.059),(6 21195.896),(7 21554.621),(8 21664.063),(9 22038.746),(10 22217.969),(11 22862.166),(12 22505.63),(13 22680.205),(14 22447.889),(15 22277.564),(16 22257.158),(17 22467.813),(18 22548.887),(19 23046.463),(20 23593.725),(21 23433.328),(22 23536.467),(23 23879.725),(24 23604.955),(25 23638.123),(26 23286.742),(27 23286.945),(28 24055.902),(29 24356.064),(30 24030.832),(31 24297.867),(32 24781.988),(33 24594.857),(34 23923.814),(35 23600.883),(36 24107.473),(37 24352.36),(38 24503.781),(39 24436.73),(40 24291.795),(41 24875.627),(42 24990.262),(43 25094.66),(44 24995.492),(45 24841.686),(46 24929.197),(47 25497.27),(48 25516.91),(49 25529.977),(50 25417.129),(51 25186.705),(52 24879.742),(53 24760.242),(54 24675.637),(55 24244.393),(56 23528.266),(57 23910.707),(58 24239.502),(59 24613.008),(60 24634.54),(61 24898.46),(62 24625.34),(63 25267.252),(64 24935.988),(65 25130.967),(66 24726.963),(67 24894.283),(68 24642.494),(69 24396.758),(70 24261.152),(71 24507.193),(72 24457.457),(73 24466.904),(74 24369.854),(75 24126.432),(76 24264.73),(77 24361.482),(78 24423.963),(79 24295.326),
(1 10297.832),(2 15351.306),(3 17993.164),(4 19053.943),(5 20185.781),(6 20462.684),(7 20736.783),(8 20751.637),(9 21198.186),(10 21330.754),(11 21663.156),(12 21834.371),(13 22082.326),(14 21632.307),(15 21748.295),(16 21684.908),(17 21599.91),(18 21959.26),(19 21825.969),(20 22083.27),(21 22194.857),(22 22154.502),(23 22685.6),(24 22796.184),(25 22636.797),(26 22463.36),(27 22559.518),(28 23533.18),(29 23580.84),(30 23122.3),(31 23014.297),(32 23157.375),(33 22894.943),(34 23027.254),(35 22967.18),(36 23364.979),(37 23323.738),(38 23228.807),(39 23198.496),(40 23060.986),(41 23136.25),(42 23765.941),(43 23766.72),(44 23559.041),(45 23193.967),(46 23504.002),(47 23299.287),(48 23366.832),(49 23720.68),(50 23507.889),(51 23441.904),(52 23326.232),(53 23586.52),(54 23534.234),(55 23698.203),(56 23530.48),(57 23253.83),(58 23350.621),(59 23621.799),(60 23566.916),(61 23758.057),(62 23731.271),(63 24107.195),(64 23874.012),(65 24315.365),(66 23842.566),(67 23876.326),(68 23638.748),(69 23024.525),(70 23251.184),(71 23577.268),(72 23393.83),(73 23190.484),(74 23284.502),(75 22782.11),(76 23142.89),(77 23630.508),(78 23971.37),(79 23553.2),
(1 9954.079),(2 14926.613),(3 17612.01),(4 18920.68),(5 19639.383),(6 19804.342),(7 20271.32),(8 20468.492),(9 20984.018),(10 21196.842),(11 21352.018),(12 21596.055),(13 21457.59),(14 21357.88),(15 21351.055),(16 21476.03),(17 21530.68),(18 21601.502),(19 21912.084),(20 21809.633),(21 22336.783),(22 21822.326),(23 21948.67),(24 21612.068),(25 22148.684),(26 22002.178),(27 22331.344),(28 23003.217),(29 22663.191),(30 22492.56),(31 22672.605),(32 22691.05),(33 22855.32),(34 23276.03),(35 23100.424),(36 22965.195),(37 23153.982),(38 23232.203),(39 23094.67),(40 23344.21),(41 23224.953),(42 23349.871),(43 23502.908),(44 23797.41),(45 23411.47),(46 23253.836),(47 23276.955),(48 23003.29),(49 23219.736),(50 22872.936),(51 22794.521),(52 22805.67),(53 23340.91),(54 22790.1),(55 22920.457),(56 22805.71),(57 23039.453),(58 23575.248),(59 23713.514),(60 23259.775),(61 22943.86),(62 23275.74),(63 23403.58),(64 23342.559),(65 23801.125),(66 23046.523),(67 23093.688),(68 22827.598),(69 22417.08),(70 22894.621),(71 22972.56),(72 22930.191),(73 22631.355),(74 22740.545),(75 22385.395),(76 22926.68),(77 23448.484),(78 23366.158),(79 22639.494),
(1 9425.423),(2 14154.604),(3 16559.576),(4 17867.42),(5 18606.97),(6 18736.967),(7 18841.129),(8 19180.02),(9 19241.13),(10 19836.38),(11 20153.564),(12 20133.412),(13 20393.785),(14 20248.563),(15 20438.705),(16 20432.848),(17 20244.28),(18 20178.795),(19 20742.95),(20 21003.05),(21 21015.166),(22 20870.3),(23 21035.314),(24 20995.74),(25 21346.396),(26 21464.08),(27 21279.498),(28 21442.814),(29 21597.88),(30 21904.262),(31 21730.025),(32 21713.82),(33 21491.625),(34 21651.28),(35 21828.316),(36 21421.502),(37 21575.947),(38 21688.766),(39 22000.637),(40 22202.615),(41 21701.244),(42 21854.213),(43 21868.82),(44 21704.805),(45 21556.197),(46 21628.22),(47 21900.512),(48 22114.803),(49 22088.72),(50 21863.166),(51 22088.95),(52 22433.41),(53 22374.172),(54 22199.992),(55 22485.943),(56 22293.71),(57 22683.648),(58 22687.502),(59 22836.926),(60 22485.14),(61 23093.31),(62 23332.836),(63 23249.047),(64 23309.52),(65 22950.697),(66 22731.594),(67 22760.06),(68 22587.45),(69 22475.94),(70 22697.434),(71 22833.82),(72 22580.543),(73 22809.158),(74 22545.488),(75 22594.598),(76 22706.666),(77 22931.104),(78 22926.129),(79 22729.97),
(1 8834.956),(2 13210.295),(3 15589.656),(4 17004.088),(5 17658.373),(6 17936.086),(7 18307.896),(8 18487.74),(9 18792.146),(10 18685.002),(11 19521.557),(12 19699.535),(13 19502.037),(14 19188.154),(15 19571.316),(16 19386.178),(17 19577.514),(18 19573.012),(19 19573.414),(20 19701.688),(21 20388.54),(22 20075.822),(23 20081.889),(24 19769.467),(25 19953.047),(26 19989.516),(27 20042.988),(28 20358.129),(29 20424.664),(30 20220.324),(31 20500.191),(32 20571.674),(33 20297.69),(34 20701.043),(35 20607.1),(36 20257.967),(37 20093.293),(38 20128.252),(39 20401.96),(40 20677.756),(41 20352.139),(42 20037.643),(43 20048.752),(44 19876.033),(45 19794.541),(46 19895.115),(47 19905.178),(48 20339.059),(49 20434.795),(50 20574.887),(51 20967.725),(52 21319.217),(53 21204.096),(54 21029.479),(55 21280.332),(56 20907.771),(57 20894.48),(58 20810.447),(59 21103.691),(60 21106.523),(61 21502.455),(62 21594.734),(63 21725.287),(64 21327.527),(65 20799.61),(66 20639.807),(67 21038.373),(68 21391.889),(69 21433.86),(70 20841.318),(71 20819.805),(72 20815.951),(73 20856.135),(74 20718.697),(75 20503.242),(76 20827.816),(77 21289.863),(78 21344.063),(79 21051.836),
(1 8710.041),(2 12849.127),(3 15361.324),(4 16774.404),(5 17377.709),(6 17460.05),(7 17688.1),(8 17747.537),(9 18218.559),(10 18086.021),(11 18683.285),(12 18926.184),(13 18765.75),(14 18648.502),(15 18874.967),(16 18940.057),(17 19029.69),(18 19076.041),(19 18526.346),(20 18274.674),(21 18701.193),(22 18301.389),(23 18520.72),(24 18757.977),(25 19024.05),(26 19115.932),(27 19262.766),(28 19597.74),(29 19705.307),(30 19486.621),(31 19411.438),(32 19659.852),(33 19435.943),(34 19907.639),(35 19476.691),(36 19407.58),(37 19621.72),(38 19254.09),(39 19145.139),(40 19301.875),(41 19668.54),(42 20076.178),(43 19798.896),(44 19910.666),(45 19748.867),(46 19524.992),(47 19705.227),(48 20063.383),(49 20135.924),(50 20319.168),(51 20680.086),(52 20659.357),(53 20653.72),(54 20526.957),(55 20160.895),(56 20263.082),(57 20076.682),(58 20376.994),(59 20548.818),(60 20642.96),(61 20369.068),(62 20524.828),(63 20680.424),(64 20505.924),(65 19946.379),(66 19763.299),(67 20234.6),(68 20168.006),(69 20131.686),(70 20041.293),(71 20203.889),(72 20388.793),(73 19998.738),(74 19742.992),(75 19662.406),(76 19617.346),(77 20296.87),(78 20444.73),(79 20222.084),
(1 8669.473),(2 12787.728),(3 15036.751),(4 16329.408),(5 17216.486),(6 17806.904),(7 17755.244),(8 17732.656),(9 18056.086),(10 18385.764),(11 18166.756),(12 18229.986),(13 18100.125),(14 18070.36),(15 18598.436),(16 18168.07),(17 18424.498),(18 18758.588),(19 18387.234),(20 18089.396),(21 18184.305),(22 17937.008),(23 18332.516),(24 18376.248),(25 18499.646),(26 18525.752),(27 18452.686),(28 18677.395),(29 18788.283),(30 18754.502),(31 18586.666),(32 18735.756),(33 18537.375),(34 19166.146),(35 19010.766),(36 18967.275),(37 19243.295),(38 19272.33),(39 19101.49),(40 18711.82),(41 18723.47),(42 18773.871),(43 18910.697),(44 19102.54),(45 19276.602),(46 19745.486),(47 19863.06),(48 20126.758),(49 19998.78),(50 19847.102),(51 20016.443),(52 19746.021),(53 19510.094),(54 19454.33),(55 19505.455),(56 19656.516),(57 19907.686),(58 20265.637),(59 19953.414),(60 19471.605),(61 19525.848),(62 19916.582),(63 20525.018),(64 20269.238),(65 19861.078),(66 19896.4),(67 19653.82),(68 19333.824),(69 19849.672),(70 19988.537),(71 19809.082),(72 19895.191),(73 19810.938),(74 19827.047),(75 19586.541),(76 19331.398),(77 19810.725),(78 20002.303),(79 19722.582),
(1 8332.749),(2 11938.297),(3 14266.68),(4 15389.594),(5 16384.936),(6 16960.156),(7 17304.385),(8 17039.322),(9 17428.664),(10 17539.951),(11 17353.545),(12 17601.277),(13 17489.94),(14 17535.246),(15 17544.666),(16 17370.568),(17 17318.668),(18 17726.084),(19 17511.676),(20 17434.775),(21 17792.059),(22 17366.674),(23 17867.44),(24 17657.232),(25 17655.756),(26 17682.838),(27 17834.06),(28 18189.37),(29 18028.643),(30 18172.24),(31 18237.342),(32 18343.88),(33 18205.951),(34 18880.053),(35 18749.857),(36 18845.865),(37 18786.432),(38 18981.084),(39 18863.41),(40 18631.281),(41 18723.334),(42 18953.57),(43 19449.63),(44 19376.297),(45 19040.56),(46 19230.783),(47 19109.787),(48 19370.115),(49 19374.088),(50 19237.143),(51 19449.088),(52 19568.916),(53 19205.314),(54 19184.826),(55 19290.854),(56 19150.14),(57 19505.6),(58 19331.107),(59 19197.135),(60 18725.916),(61 18938.377),(62 19048.275),(63 19145.006),(64 19038.736),(65 19168.666),(66 18857.889),(67 18885.898),(68 18867.951),(69 18974.5),(70 19330.846),(71 19123.732),(72 19104.883),(73 19618.783),(74 19460.01),(75 19130.313),(76 18907.363),(77 18936.842),(78 18941.299),(79 18929.627),
(1 7940.5835),(2 11595.32),(3 13504.694),(4 14885.295),(5 15490.086),(6 16049.432),(7 16154.019),(8 16161.033),(9 16644.988),(10 16733.91),(11 17070.174),(12 16910.97),(13 16827.508),(14 16661.88),(15 16696.54),(16 16745.834),(17 17135.994),(18 17211.307),(19 16868.654),(20 17066.516),(21 17027.17),(22 16915.049),(23 17704.633),(24 17423.094),(25 17575.285),(26 17764.412),(27 17744.963),(28 18144.383),(29 18196.176),(30 18137.152),(31 18058.973),(32 18127.531),(33 18025.965),(34 18240.55),(35 18576.225),(36 18223.576),(37 18194.592),(38 18335.766),(39 18302.746),(40 18350.424),(41 18373.768),(42 18739.871),(43 18890.992),(44 18833.844),(45 18638.379),(46 19095.514),(47 18802.277),(48 18925.666),(49 19063.805),(50 18973.729),(51 19314.742),(52 18693.662),(53 18319.047),(54 18402.9),(55 18490.656),(56 18380.695),(57 18390.957),(58 18588.744),(59 18369.018),(60 18408.746),(61 18892.586),(62 18848.977),(63 19087.457),(64 19093.996),(65 19420.24),(66 18802.357),(67 18776.426),(68 18667.6),(69 18822.936),(70 18996.441),(71 18923.486),(72 18716.32),(73 19084.313),(74 18752.74),(75 18785.61),(76 18781.227),(77 19159.74),(78 18949.22),(79 18906.363),
(1 7606.8135),(2 11214.577),(3 13236.613),(4 14121.269),(5 14887.577),(6 15427.079),(7 15424.764),(8 15573.917),(9 15903.939),(10 16038.889),(11 16119.996),(12 16356.091),(13 16415.451),(14 16204.936),(15 16084.345),(16 16249.496),(17 16607.22),(18 16855.57),(19 16845.553),(20 16915.824),(21 16798.078),(22 16645.824),(23 16894.68),(24 16952.566),(25 17241.785),(26 17282.156),(27 17355.852),(28 17088.834),(29 17110.988),(30 17128.477),(31 16943.482),(32 17124.248),(33 16897.375),(34 17125.357),(35 17094.965),(36 17296.645),(37 17388.71),(38 17336.418),(39 17611.059),(40 17249.023),(41 17477.676),(42 17731.248),(43 17846.574),(44 17825.69),(45 17772.654),(46 17969.87),(47 17833.234),(48 17858.23),(49 17789.857),(50 18036.205),(51 18421.643),(52 18101.283),(53 17694.625),(54 17683.766),(55 17879.93),(56 17890.031),(57 17486.797),(58 17807.793),(59 17817.527),(60 17713.195),(61 17867.242),(62 17898.791),(63 18105.602),(64 17901.18),(65 17971.527),(66 18044.4),(67 17944.371),(68 17761.969),(69 17774.709),(70 17952.307),(71 17733.773),(72 17572.13),(73 18066.703),(74 18062.61),(75 18082.676),(76 18155.81),(77 18118.385),(78 18091.133),(79 18050.031),
(1 7732.056),(2 11425.359),(3 13001.05),(4 13661.391),(5 14347.742),(6 15012.309),(7 15354.699),(8 15394.134),(9 15751.832),(10 15780.855),(11 16410.063),(12 16342.803),(13 16299.212),(14 15992.891),(15 15819.955),(16 15697.428),(17 16005.607),(18 15918.428),(19 16331.839),(20 16354.266),(21 16284.8),(22 16060.362),(23 16102.957),(24 16187.172),(25 16414.215),(26 16248.455),(27 16498.154),(28 16632.57),(29 16567.814),(30 16636.785),(31 16465.99),(32 16752.484),(33 16856.27),(34 16736.668),(35 16488.578),(36 16773.121),(37 16692.637),(38 17052.293),(39 16996.473),(40 16511.64),(41 16753.008),(42 16880.615),(43 16963.49),(44 16809.564),(45 17021.568),(46 17304.094),(47 17205.174),(48 17101.832),(49 17316.24),(50 17410.223),(51 17619.756),(52 17191.35),(53 17049.871),(54 16723.574),(55 17016.75),(56 17240.225),(57 16912.752),(58 17106.836),(59 17267.203),(60 17024.475),(61 17107.553),(62 16713.01),(63 16868.38),(64 16817.982),(65 17061.174),(66 16880.06),(67 16846.277),(68 16489.426),(69 16838.482),(70 16871.283),(71 16828.678),(72 17075.672),(73 17453.498),(74 17643.121),(75 17522.787),(76 17481.746),(77 17444.66),(78 17436.43),(79 17499.066),
(1 7327.9995),(2 10898.3),(3 12639.328),(4 13032.604),(5 13747.546),(6 14136.704),(7 14573.307),(8 14822.7),(9 14795.582),(10 15173.867),(11 15557.527),(12 15242.577),(13 15299.862),(14 15160.392),(15 14883.876),(16 14585.077),(17 14753.093),(18 15214.776),(19 15015.361),(20 15139.777),(21 15428.485),(22 15286.469),(23 15320.529),(24 15176.493),(25 15443.647),(26 15608.7295),(27 15519.333),(28 15577.604),(29 15483.898),(30 15421.597),(31 15267.675),(32 15227.555),(33 15274.11),(34 15410.664),(35 15379.397),(36 15224.654),(37 15341.23),(38 15687.374),(39 15371.582),(40 15493.679),(41 15392.653),(42 15482.958),(43 15600.248),(44 15696.158),(45 15821.939),(46 16073.903),(47 15919.251),(48 15773.239),(49 15787.752),(50 15823.82),(51 16122.816),(52 15810.769),(53 15936.904),(54 16068.188),(55 16094.342),(56 16047.306),(57 16063.599),(58 16049.918),(59 16106.971),(60 16068.223),(61 16407.887),(62 16150.137),(63 16356.599),(64 16066.198),(65 16349.485),(66 16211.616),(67 16081.453),(68 15840.153),(69 16400.77),(70 16312.858),(71 16458.385),(72 16534.695),(73 16577.715),(74 16738.16),(75 16696.162),(76 16842.29),(77 16575.764),(78 16676.28),(79 16715.47),
(1 7106.026),(2 10328.976),(3 12272.041),(4 12666.154),(5 13298.856),(6 13621.631),(7 14191.282),(8 14682.0205),(9 14806.39),(10 15073.577),(11 14999.268),(12 14959.757),(13 15144.825),(14 15446.27),(15 15120.167),(16 14672.41),(17 14952.471),(18 15106.156),(19 15106.959),(20 15086.734),(21 15250.663),(22 15486.993),(23 15431.624),(24 14921.57),(25 14822.917),(26 15092.726),(27 15117.164),(28 15279.061),(29 14895.824),(30 15251.975),(31 15245.2),(32 15085.866),(33 15017.249),(34 15263.819),(35 14974.702),(36 15042.891),(37 14950.79),(38 14964.854),(39 14922.209),(40 14754.664),(41 15181.41),(42 15455.634),(43 15292.808),(44 15495.605),(45 15480.432),(46 16024.009),(47 15801.274),(48 15885.701),(49 15609.387),(50 15689.902),(51 15939.157),(52 15798.141),(53 15927.386),(54 15914.37),(55 16092.359),(56 16120.568),(57 16024.068),(58 15731.971),(59 15857.069),(60 15703.439),(61 16080.233),(62 15836.831),(63 16209.968),(64 16175.094),(65 16199.266),(66 16101.771),(67 16007.958),(68 15575.665),(69 15921.258),(70 16148.147),(71 16216.1),(72 16270.558),(73 16520.145),(74 16531.072),(75 16365.227),(76 16424.756),(77 16476.795),(78 16191.995),(79 16150.777),
(1 6810.9214),(2 9962.953),(3 11582.603),(4 12225.792),(5 12680.1875),(6 12847.124),(7 13072.792),(8 13649.459),(9 13804.299),(10 13815.027),(11 13940.7705),(12 13940.094),(13 14122.895),(14 14141.212),(15 13980.412),(16 13971.282),(17 14112.857),(18 14090.33),(19 14146.157),(20 14194.175),(21 14214.782),(22 14221.716),(23 14422.141),(24 14163.534),(25 14061.531),(26 14053.109),(27 13996.266),(28 14130.81),(29 14245.98),(30 14446.921),(31 14436.553),(32 14376.923),(33 14439.825),(34 14640.754),(35 14480.52),(36 14615.269),(37 14548.065),(38 14403.878),(39 14405.481),(40 14311.566),(41 14305.164),(42 14622.834),(43 14579.372),(44 14792.221),(45 14924.054),(46 15118.775),(47 14855.101),(48 14968.108),(49 14903.095),(50 14930.015),(51 15142.425),(52 14968.848),(53 14873.969),(54 14861.289),(55 15141.935),(56 14985.473),(57 14697.773),(58 14726.985),(59 14756.838),(60 14562.791),(61 14963.575),(62 14995.721),(63 15210.216),(64 15175.926),(65 15280.316),(66 14997.868),(67 14984.206),(68 14799.26),(69 15010.288),(70 15137.081),(71 15250.808),(72 15502.786),(73 15424.198),(74 15574.435),(75 15408.749),(76 15436.466),(77 15644.494),(78 15707.824),(79 15540.957),
(1 6680.443),(2 9702.425),(3 11341.386),(4 11966.677),(5 12435.029),(6 12904.988),(7 13260.837),(8 13619.602),(9 13803.287),(10 13794.137),(11 13798.568),(12 13860.886),(13 13952.467),(14 14124.729),(15 14073.352),(16 13980.192),(17 14167.596),(18 14210.053),(19 14307.594),(20 14118.16),(21 14140.52),(22 14426.076),(23 14568.41),(24 14148.37),(25 14479.416),(26 14363.826),(27 14183.461),(28 14002.523),(29 13981.918),(30 14143.94),(31 14076.317),(32 14122.435),(33 14103.063),(34 14187.171),(35 14055.359),(36 14324.246),(37 14102.78),(38 14263.012),(39 13979.683),(40 14099.508),(41 14013.213),(42 14311.281),(43 14432.11),(44 14389.287),(45 14275.303),(46 14282.592),(47 14092.758),(48 14457.459),(49 14517.31),(50 14772.521),(51 14768.67),(52 14836.63),(53 14653.999),(54 14649.154),(55 14773.48),(56 14852.495),(57 14615.395),(58 14724.902),(59 14886.275),(60 14757.85),(61 14945.168),(62 14890.188),(63 14791.641),(64 14605.833),(65 14683.398),(66 14727.501),(67 14825.128),(68 14749.554),(69 15105.382),(70 14946.436),(71 14975.989),(72 15045.762),(73 14938.819),(74 14914.05),(75 14869.221),(76 15252.626),(77 15523.132),(78 15566.087),(79 15588.273),
(1 6181.606),(2 9184.811),(3 10637.858),(4 11274.707),(5 11875.922),(6 12366.915),(7 12768.944),(8 12678.607),(9 12748.848),(10 12790.796),(11 12916.998),(12 13254.259),(13 13439.945),(14 13652.339),(15 13753.954),(16 13593.42),(17 13641.2),(18 13703.075),(19 13734.139),(20 13545.46),(21 13535.257),(22 13674.127),(23 13817.944),(24 13372.338),(25 13509.222),(26 13475.6455),(27 13542.805),(28 13412.998),(29 13510.186),(30 13668.304),(31 13496.189),(32 13708.996),(33 13748.795),(34 13849.622),(35 13826.858),(36 13882.746),(37 13683.908),(38 13777.455),(39 13645.598),(40 13735.781),(41 13780.637),(42 13730.82),(43 13625.298),(44 13818.647),(45 13868.901),(46 13873.369),(47 13675.701),(48 14004.317),(49 14177.055),(50 14170.976),(51 14258.349),(52 14200.525),(53 14166.789),(54 14235.755),(55 14253.122),(56 14092.842),(57 14140.015),(58 14163.642),(59 14249.093),(60 14211.882),(61 14306.393),(62 14137.675),(63 14134.511),(64 14107.107),(65 13988.328),(66 13706.286),(67 13848.788),(68 13781.825),(69 14015.99),(70 13891.309),(71 14027.058),(72 13746.838),(73 13708.32),(74 13807.097),(75 14094.477),(76 14185.078),(77 14285.595),(78 14132.788),(79 14415.356),
(1 5932.433),(2 8745.491),(3 10332.902),(4 10907.5625),(5 11499.5625),(6 11834.085),(7 12307.608),(8 12188.89),(9 12361.101),(10 12553.194),(11 12790.897),(12 12716.95),(13 13030.577),(14 12968.442),(15 13097.087),(16 12904.318),(17 13038.213),(18 13181.606),(19 13093.387),(20 13071.29),(21 13016.993),(22 12967.48),(23 13045.94),(24 12617.456),(25 12496.026),(26 12614.903),(27 12760.198),(28 12840.228),(29 12812.541),(30 12879.198),(31 12897.241),(32 13034.849),(33 13071.858),(34 13302.757),(35 12983.241),(36 13092.515),(37 13156.28),(38 13191.907),(39 13248.882),(40 13029.165),(41 12821.524),(42 12961.491),(43 13129.073),(44 13255.656),(45 13499.853),(46 13665.204),(47 13385.633),(48 13648.534),(49 13511.514),(50 13272.276),(51 13350.357),(52 13278.065),(53 13237.075),(54 13521.928),(55 13209.265),(56 13059.174),(57 13364.539),(58 13479.442),(59 13402.534),(60 13361.638),(61 13633.474),(62 13626.886),(63 13539.966),(64 13414.127),(65 13395.659),(66 13427.954),(67 13532.31),(68 13335.519),(69 13415.44),(70 13317.736),(71 13636.143),(72 13476.244),(73 13464.077),(74 13585.097),(75 13682.292),(76 13729.613),(77 13427.42),(78 13269.184),(79 13583.485),
(1 5794.398),(2 8631.681),(3 9997.538),(4 10610.767),(5 11299.142),(6 11424.84),(7 11709.7295),(8 11749.5205),(9 12091.566),(10 12037.21),(11 12271.196),(12 12164.235),(13 12542.405),(14 12416.948),(15 12445.381),(16 12649.45),(17 12552.038),(18 12750.021),(19 12732.868),(20 12607.602),(21 12684.701),(22 12396.312),(23 12323.931),(24 11929.153),(25 12089.399),(26 12327.663),(27 12560.744),(28 12546.87),(29 12510.887),(30 12555.257),(31 12531.563),(32 12541.396),(33 12485.826),(34 12950.528),(35 12683.145),(36 12681.002),(37 12633.174),(38 12744.97),(39 12354.029),(40 12587.312),(41 12495.035),(42 12394.09),(43 12553.189),(44 12706.556),(45 12793.189),(46 13054.471),(47 12863.215),(48 12880.182),(49 12839.075),(50 12757.551),(51 12633.431),(52 12489.664),(53 12621.355),(54 12705.065),(55 12701.708),(56 12733.352),(57 12963.994),(58 12853.485),(59 12905.337),(60 12720.881),(61 13018.363),(62 13055.811),(63 13148.937),(64 13159.568),(65 13119.149),(66 13219.894),(67 13336.041),(68 13133.8955),(69 13248.666),(70 12997.869),(71 13329.874),(72 13226.21),(73 13176.314),(74 12988.366),(75 13033.193),(76 13305.314),(77 13037.016),(78 13171.83),(79 13143.565),
