1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43879.02),(2 118675.586),(3 253094.38),(4 405699.22),(5 581255.2),(6 788499.44),(7 1021452.75),(8 1229066.4),(9 1488621.6),(10 1780700.1),(11 2050649.9),(12 2361455.8),(13 2718093.8),(14 3083366.8),(15 3482422.3),(16 3923137.3),(17 4228783),(18 4606430.5),(19 4950287.5),(20 5249962),(21 5581513),(22 5924600.5),(23 6236750),(24 6599511.5),(25 6942902.5),(26 7243474.5),(27 7549449.5),(28 7796670.5),(29 7965254.5),(30 8086226.5),(31 8209232),(32 8270902),(33 8508279),(34 8652176),(35 8748297),(36 8752411),(37 8754892),(38 8760835),(39 8708318),(40 8652617),(41 8566650),(42 8510019),(43 8426491),(44 8277943.5),(45 8189992),(46 8052860),(47 7895142.5),(48 7709166.5),(49 7436602.5),(50 7220861.5),(51 6985240.5),(52 6807388.5),(53 6676210.5),(54 6552853.5),(55 6346620.5),(56 6214222.5),(57 6288503.5),(58 6349058.5),(59 6395350.5),(60 6602566.5),(61 6817050.5),(62 7078647.5),(63 7502796),(64 7852789.5),(65 8326615.5),(66 8620716),(67 9139565),(68 9489917),(69 10045129),(70 10681207),(71 11221145),(72 11805865),(73 12393957),(74 12892852),(75 13377840),(76 13847744),(77 14310291),(78 14805863),(79 15249931),
(1 35507.82),(2 112506.95),(3 243491),(4 398976.44),(5 574804.3),(6 777205.9),(7 1012481.4),(8 1257295),(9 1547236.3),(10 1895376),(11 2236150),(12 2614202.8),(13 3008452.8),(14 3386038.8),(15 3773718.5),(16 4185648.8),(17 4498601.5),(18 4839366),(19 5180163.5),(20 5467823),(21 5759789),(22 6037475),(23 6291363),(24 6578993),(25 6886049.5),(26 7150705.5),(27 7443195),(28 7711377.5),(29 7942527),(30 8147588),(31 8340688),(32 8497378),(33 8706014),(34 8854223),(35 8984445),(36 9014098),(37 9085226),(38 9159378),(39 9176531),(40 9185768),(41 9192524),(42 9247098),(43 9300594),(44 9315101),(45 9421813),(46 9460034),(47 9460382),(48 9441903),(49 9355689),(50 9346426),(51 9319230),(52 9412471),(53 9592459),(54 9721044),(55 9826594),(56 9961208),(57 10157990),(58 10349235),(59 10472622),(60 10701593),(61 10940582),(62 11174370),(63 11588088),(64 11946520),(65 12405574),(66 12730458),(67 13108032),(68 13447325),(69 13844195),(70 14344072),(71 14790240),(72 15278381),(73 15832522),(74 16303309),(75 16872340),(76 17444034),(77 18111712),(78 18807196),(79 19544848),
(1 42237.34),(2 144868.7),(3 304584.72),(4 492313.16),(5 702118.7),(6 927197.8),(7 1164627.8),(8 1391002.5),(9 1625955.5),(10 1877237.6),(11 2129530.3),(12 2417412.8),(13 2708667),(14 3006962),(15 3309706),(16 3647079.3),(17 3925930.8),(18 4211609),(19 4520904.5),(20 4774035),(21 5018601.5),(22 5257862.5),(23 5488035.5),(24 5737472),(25 6045412),(26 6334112),(27 6651198),(28 6938802.5),(29 7229033.5),(30 7463086.5),(31 7686666.5),(32 7884046),(33 8009402.5),(34 8094789.5),(35 8208551.5),(36 8293477.5),(37 8429173),(38 8583813),(39 8726645),(40 8907669),(41 9092232),(42 9282311),(43 9445343),(44 9619775),(45 9799680),(46 9956372),(47 10099313),(48 10240687),(49 10389735),(50 10589640),(51 10798666),(52 11100655),(53 11468576),(54 11814437),(55 12171293),(56 12540127),(57 12963900),(58 13368277),(59 13755444),(60 14261245),(61 14762755),(62 15258288),(63 15703829),(64 16100424),(65 16586840),(66 16966990),(67 17422604),(68 17918954),(69 18364960),(70 18878160),(71 19300024),(72 19737688),(73 20225122),(74 20582150),(75 20929796),(76 21269984),(77 21577586),(78 21575578),(79 21631104),
(1 51307.395),(2 182990.78),(3 394664.34),(4 664460.44),(5 977924),(6 1338711.4),(7 1748613.3),(8 2172125.8),(9 2636539),(10 3134717),(11 3642352),(12 4157313.8),(13 4672704.5),(14 5162606),(15 5636170),(16 6120363.5),(17 6567545),(18 7024123),(19 7465487),(20 7814332.5),(21 8143279),(22 8403332),(23 8617212),(24 8810444),(25 8947538),(26 9037570),(27 9134423),(28 9138094),(29 9137083),(30 9058860),(31 9018652),(32 9011031),(33 8989931),(34 9000148),(35 9012764),(36 9000596),(37 9028154),(38 9019418),(39 9008839),(40 9035584),(41 9101472),(42 9190328),(43 9297676),(44 9431940),(45 9565394),(46 9693972),(47 9856729),(48 9977970),(49 10081468),(50 10189987),(51 10262795),(52 10355140),(53 10441893),(54 10533493),(55 10629642),(56 10733122),(57 10882880),(58 11016990),(59 11179033),(60 11399411),(61 11642732),(62 11927205),(63 12209294),(64 12511760),(65 12835797),(66 13112644),(67 13394452),(68 13598523),(69 13764964),(70 13977108),(71 14114094),(72 14223567),(73 14328889),(74 14379462),(75 14395124),(76 14431186),(77 14501477),(78 14579890),(79 14746116),
(1 49264.684),(2 177936.52),(3 375956.7),(4 630543.44),(5 925707.8),(6 1260112.1),(7 1632856.1),(8 2019022.4),(9 2442823.3),(10 2896522.3),(11 3351637.8),(12 3815760),(13 4267970),(14 4690035.5),(15 5104388.5),(16 5517625.5),(17 5905050),(18 6280210),(19 6671495.5),(20 7027139.5),(21 7389202),(22 7721333),(23 8039898),(24 8380235),(25 8706662),(26 8984096),(27 9242253),(28 9446135),(29 9620288),(30 9744035),(31 9847662),(32 9967684),(33 10045751),(34 10135178),(35 10222212),(36 10267399),(37 10322161),(38 10342015),(39 10350276),(40 10359503),(41 10381418),(42 10390509),(43 10409985),(44 10448943),(45 10479933),(46 10497481),(47 10516709),(48 10557123),(49 10571304),(50 10594130),(51 10594679),(52 10608384),(53 10622056),(54 10643978),(55 10665773),(56 10681184),(57 10727514),(58 10794454),(59 10899135),(60 11039524),(61 11181408),(62 11343345),(63 11523907),(64 11726793),(65 11952137),(66 12139793),(67 12350257),(68 12543296),(69 12734756),(70 12948735),(71 13159537),(72 13363907),(73 13537850),(74 13715607),(75 13847015),(76 13949977),(77 14070119),(78 14180244),(79 14324641),
(1 48457.563),(2 170878.97),(3 361031.28),(4 597034),(5 873975.3),(6 1184255.8),(7 1507200.5),(8 1833322.8),(9 2160457.8),(10 2489488.5),(11 2815400.3),(12 3134510.5),(13 3449646.8),(14 3756413.3),(15 4058456.8),(16 4353851),(17 4618257.5),(18 4880101.5),(19 5159475),(20 5403598.5),(21 5671733),(22 5918284),(23 6142618.5),(24 6348705),(25 6548595),(26 6721984),(27 6888603),(28 7039354.5),(29 7191901),(30 7340541),(31 7515535),(32 7707560),(33 7903743),(34 8138608),(35 8341041.5),(36 8529905),(37 8730525),(38 8884645),(39 8975479),(40 9057082),(41 9109445),(42 9152812),(43 9202573),(44 9271678),(45 9338795),(46 9382322),(47 9438518),(48 9539666),(49 9627758),(50 9716398),(51 9761945),(52 9828285),(53 9886784),(54 9935238),(55 9995090),(56 10078857),(57 10182150),(58 10337437),(59 10513094),(60 10751455),(61 10981403),(62 11256178),(63 11586504),(64 11964639),(65 12379243),(66 12793711),(67 13239144),(68 13720429),(69 14154611),(70 14655296),(71 15141088),(72 15596861),(73 16009334),(74 16415165),(75 16804384),(76 17129278),(77 17443948),(78 17690808),(79 17874650),
(1 41982.035),(2 145272.02),(3 300153.53),(4 488425.3),(5 697476.25),(6 926987.06),(7 1164596.6),(8 1415554.6),(9 1672534.1),(10 1935034.9),(11 2196332.5),(12 2468086.3),(13 2736776.3),(14 2993388.3),(15 3258528.5),(16 3525865.3),(17 3770488.3),(18 4037597.3),(19 4318399.5),(20 4574371),(21 4854082),(22 5126447.5),(23 5355069),(24 5596474.5),(25 5795355),(26 5993918),(27 6173613.5),(28 6333408.5),(29 6480841),(30 6595813.5),(31 6693991),(32 6804436.5),(33 6906454),(34 7017708.5),(35 7146144.5),(36 7275707.5),(37 7400870),(38 7525135),(39 7624098.5),(40 7711717),(41 7780727.5),(42 7802547),(43 7853133.5),(44 7903031.5),(45 7974071.5),(46 8055874),(47 8156082),(48 8301322),(49 8434654),(50 8566598),(51 8694368),(52 8819698),(53 8978842),(54 9130084),(55 9273281),(56 9407504),(57 9544673),(58 9699711),(59 9830437),(60 9976537),(61 10157693),(62 10321591),(63 10558320),(64 10789771),(65 11042475),(66 11287297),(67 11495109),(68 11685594),(69 11824884),(70 11959558),(71 12054482),(72 12136418),(73 12219930),(74 12299630),(75 12403931),(76 12534341),(77 12694032),(78 12830934),(79 12937970),
(1 45755.684),(2 160284.55),(3 331331.94),(4 537987.94),(5 775502.3),(6 1035918.9),(7 1315409.8),(8 1618478.6),(9 1950592.5),(10 2295188.5),(11 2642586.3),(12 3010302.5),(13 3377829.3),(14 3747017.5),(15 4125396.8),(16 4509725.5),(17 4866441.5),(18 5243462.5),(19 5613281),(20 5933897.5),(21 6263574.5),(22 6583459),(23 6862080),(24 7152156.5),(25 7412292.5),(26 7669172.5),(27 7911750.5),(28 8120846.5),(29 8335512.5),(30 8487549),(31 8621403),(32 8755915),(33 8849195),(34 8943253),(35 9025733),(36 9085437),(37 9148951),(38 9205130),(39 9224417),(40 9225072),(41 9236710),(42 9225905),(43 9217173),(44 9191910),(45 9160981),(46 9130739),(47 9111421),(48 9122023),(49 9151607),(50 9207215),(51 9293234),(52 9400880),(53 9519982),(54 9681588),(55 9858227),(56 10033939),(57 10244358),(58 10440107),(59 10676087),(60 10921524),(61 11166139),(62 11436402),(63 11713373),(64 11995993),(65 12276453),(66 12545684),(67 12836142),(68 13113196),(69 13366506),(70 13612638),(71 13823605),(72 14015257),(73 14166434),(74 14323190),(75 14461419),(76 14626491),(77 14771055),(78 14898453),(79 15017764),
(1 68700.164),(2 248697.53),(3 517505.88),(4 843185.06),(5 1209696),(6 1608695),(7 2032341.6),(8 2478743),(9 2948612.3),(10 3410328),(11 3863341.8),(12 4298292),(13 4728410.5),(14 5115777),(15 5473503),(16 5806427),(17 6061911.5),(18 6279948.5),(19 6458871.5),(20 6584567.5),(21 6695697.5),(22 6797530),(23 6851096),(24 6934153.5),(25 6990368.5),(26 7036704),(27 7099624.5),(28 7153353.5),(29 7221802),(30 7282665.5),(31 7370771.5),(32 7479800.5),(33 7606565),(34 7773116),(35 7957636),(36 8147041),(37 8362726.5),(38 8550226),(39 8735429),(40 8919415),(41 9088930),(42 9274329),(43 9467940),(44 9674522),(45 9887772),(46 10103896),(47 10333076),(48 10574896),(49 10833953),(50 11071606),(51 11302920),(52 11516704),(53 11712727),(54 11938008),(55 12172250),(56 12349772),(57 12536832),(58 12678981),(59 12856849),(60 13051065),(61 13264447),(62 13511912),(63 13775224),(64 14044920),(65 14323121),(66 14554058),(67 14823130),(68 15069250),(69 15302286),(70 15534232),(71 15749293),(72 15951597),(73 16140623),(74 16294980),(75 16467456),(76 16646142),(77 16830380),(78 17027464),(79 17238410),
(1 70568.19),(2 257415.25),(3 544637.7),(4 906851.2),(5 1328397.5),(6 1800006.8),(7 2301278.3),(8 2832691.5),(9 3378001.8),(10 3910359),(11 4432391),(12 4931838),(13 5394853.5),(14 5789107.5),(15 6112680.5),(16 6362046),(17 6510990),(18 6606344.5),(19 6665609),(20 6691214),(21 6698680),(22 6685725.5),(23 6651642.5),(24 6628842.5),(25 6592853),(26 6563147.5),(27 6552087),(28 6549247.5),(29 6563300),(30 6602466),(31 6680432),(32 6813085.5),(33 6999038),(34 7242030),(35 7538106.5),(36 7874180.5),(37 8245847),(38 8640944),(39 9048746),(40 9475318),(41 9892917),(42 10298709),(43 10692148),(44 11060853),(45 11441250),(46 11789504),(47 12102905),(48 12410923),(49 12722532),(50 13041100),(51 13336732),(52 13632020),(53 13885533),(54 14087088),(55 14286353),(56 14402414),(57 14493530),(58 14558630),(59 14565295),(60 14577078),(61 14558906),(62 14528922),(63 14484914),(64 14408949),(65 14371412),(66 14270606),(67 14215822),(68 14161447),(69 14108306),(70 14096025),(71 14084302),(72 14081022),(73 14092337),(74 14082069),(75 14116314),(76 14152108),(77 14215993),(78 14258163),(79 14321556),
(1 53317.176),(2 192454.6),(3 402117.66),(4 662258.7),(5 959574.25),(6 1297826),(7 1665797.9),(8 2044052.5),(9 2433691.3),(10 2822526),(11 3194486.5),(12 3568709.8),(13 3935705),(14 4258146),(15 4562720),(16 4829894),(17 5009841),(18 5179219),(19 5349381.5),(20 5458095),(21 5552864),(22 5619999),(23 5617566),(24 5649031.5),(25 5648148.5),(26 5628132.5),(27 5600876),(28 5575823),(29 5562992.5),(30 5535381),(31 5554109.5),(32 5603467),(33 5648687),(34 5737391),(35 5850164.5),(36 5966640),(37 6141514),(38 6333156),(39 6525760),(40 6749948.5),(41 6997477.5),(42 7234723.5),(43 7458904.5),(44 7674666.5),(45 7856183.5),(46 8015916),(47 8156617.5),(48 8319893.5),(49 8483029),(50 8658626),(51 8855563),(52 9039324),(53 9217623),(54 9388477),(55 9574282),(56 9738375),(57 9900541),(58 10067296),(59 10207727),(60 10310624),(61 10393613),(62 10466423),(63 10525154),(64 10562987),(65 10619529),(66 10644084),(67 10702652),(68 10754446),(69 10804991),(70 10862990),(71 10908145),(72 10948242),(73 11009198),(74 11053255),(75 11113277),(76 11208698),(77 11308885),(78 11412232),(79 11531982),
