1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 23437.38),(2 63634.625),(3 107367.7),(4 156606.84),(5 201300.44),(6 245395.6),(7 284221.72),(8 315604.22),(9 340858.06),(10 359263.2),(11 371001.72),(12 376580.44),(13 376534.9),(14 371663.28),(15 363521.56),(16 354130.38),(17 343789.25),(18 333205),(19 324420.2),(20 317169.25),(21 311965.97),(22 311263.28),(23 313980.22),(24 317252.2),(25 320745.88),(26 323631.56),(27 324746.84),(28 326479.97),(29 328317.6),(30 329863.44),(31 329824.2),(32 327603.72),(33 324940.53),(34 322891.3),(35 321572.34),(36 321079.47),(37 320966.78),(38 320613.66),(39 320141.56),(40 321157.7),(41 323559.22),(42 326227.16),(43 327955.44),(44 329063.34),(45 328037.56),(46 325468.2),(47 321731.66),(48 319019.47),(49 316630.5),(50 314412.4),(51 312552.13),(52 312694),(53 312204.44),(54 312248.56),(55 313580),(56 315119.13),(57 316641.13),(58 318147.8),(59 322319.1),(60 327196.5),(61 330789),(62 335493.06),(63 339734.7),(64 343409.16),(65 347143.25),(66 349595.28),(67 349326.9),(68 350812.3),(69 351831.06),(70 351232.4),(71 347298.03),(72 344069.63),(73 341062.63),(74 338289),(75 337226.94),(76 335875.1),(77 333628.84),(78 332618.44),(79 332082.88),
(1 23165.889),(2 64185.613),(3 108955.69),(4 160110.77),(5 207481.39),(6 252619.28),(7 293724.28),(8 326295.28),(9 349402.3),(10 361859.47),(11 368800.06),(12 372232.3),(13 369399.6),(14 362386.88),(15 352556.78),(16 342735.72),(17 332397.13),(18 321623.88),(19 313388.34),(20 307070.72),(21 301738.66),(22 299068.38),(23 299256.75),(24 303087.56),(25 306846.5),(26 312864.53),(27 316737.78),(28 320987.06),(29 323440.75),(30 326535.28),(31 329384.34),(32 330773.4),(33 332067.7),(34 332017.94),(35 333232.6),(36 332396.8),(37 329125.78),(38 326461.56),(39 323665.28),(40 322004.22),(41 320118.94),(42 320906.8),(43 323716.47),(44 326440.66),(45 327444.34),(46 326556.25),(47 327543.66),(48 329527.8),(49 329750.75),(50 330917.06),(51 331022.16),(52 330292.6),(53 328510.94),(54 328924.5),(55 330794.78),(56 331885.6),(57 333510.66),(58 335786.22),(59 338627.88),(60 341689.66),(61 344938.44),(62 348988.06),(63 351383.16),(64 353556.63),(65 355706.3),(66 358598.94),(67 359930.2),(68 359351.94),(69 359163.03),(70 357036.66),(71 354438.28),(72 352286.84),(73 349687.03),(74 347261.25),(75 344602.97),(76 341483.3),(77 339338.38),(78 336654),(79 332610.63),
(1 22996.506),(2 63607.117),(3 106593.71),(4 154461.44),(5 196937.95),(6 238311.77),(7 273623.88),(8 302375.94),(9 322453.38),(10 333640.16),(11 339110),(12 339431.28),(13 337771.38),(14 332212.25),(15 325202.03),(16 316868.72),(17 310659.7),(18 304384.9),(19 299987.16),(20 295715.34),(21 293526.84),(22 291593.47),(23 288335.28),(24 287652.72),(25 288544.44),(26 291066.3),(27 293276.47),(28 297448.88),(29 300153.4),(30 302065.53),(31 302888.16),(32 302558.44),(33 301630.5),(34 300862.72),(35 300714.8),(36 299762.47),(37 300147.28),(38 302019.4),(39 305854.3),(40 308887.38),(41 311631.44),(42 316824.66),(43 319178.2),(44 320132.63),(45 321686.78),(46 321802.84),(47 321441.75),(48 322595.75),(49 320772.63),(50 318127.16),(51 315267.22),(52 315049.5),(53 312838.06),(54 311469.16),(55 309964.9),(56 308650.1),(57 307502.4),(58 306765.88),(59 304201.56),(60 301762.78),(61 301452.25),(62 303006),(63 304925.88),(64 306442.8),(65 309691),(66 310894.38),(67 311016.2),(68 311336),(69 311368.16),(70 309415.3),(71 305795.16),(72 302735.75),(73 299743.4),(74 297878.75),(75 295215.44),(76 295556.88),(77 293703.44),(78 292268.78),(79 292242.97),
(1 22939.361),(2 62932.85),(3 105725.516),(4 152358.52),(5 195007.5),(6 235173.84),(7 269982.7),(8 294039.7),(9 310878.3),(10 320289.38),(11 323797.16),(12 322920.47),(13 318078),(14 309792.2),(15 300378.25),(16 290214.72),(17 280766.4),(18 274689.44),(19 270270.2),(20 267270.53),(21 265308.22),(22 266480.6),(23 269659.97),(24 272887.1),(25 276625.28),(26 279782.88),(27 281664.34),(28 284250.56),(29 285374.16),(30 285745.06),(31 283881.5),(32 281000.44),(33 279894.94),(34 279779.22),(35 279976.3),(36 281147),(37 281750.6),(38 282004.3),(39 282855.34),(40 285339.88),(41 288534),(42 291868.75),(43 293787.34),(44 294127.1),(45 297397.63),(46 300050.2),(47 303137.66),(48 305384.75),(49 305133),(50 305259.06),(51 304430.03),(52 302980.25),(53 302403.03),(54 301220.03),(55 301296.8),(56 301827.5),(57 301977.66),(58 303225.53),(59 302230.3),(60 299377.22),(61 298073.72),(62 297980.44),(63 299004.47),(64 298575.6),(65 296779.97),(66 293853.94),(67 290695.4),(68 290637.16),(69 292095.72),(70 294179.38),(71 293828),(72 293353.38),(73 290429.34),(74 287998.3),(75 288519.5),(76 289699.9),(77 290815.44),(78 290566.63),(79 289106.13),
(1 22232.375),(2 59162.34),(3 98207.2),(4 141525.6),(5 181660.22),(6 220009.13),(7 252096.58),(8 276503.66),(9 293273.03),(10 302586.6),(11 306914.3),(12 306176.28),(13 300126.9),(14 294316.2),(15 287411.88),(16 279918.66),(17 271217.25),(18 262734.03),(19 256946.92),(20 253523.17),(21 251446.23),(22 252520.28),(23 255141.8),(24 259617.84),(25 262983.94),(26 266546.84),(27 269394.03),(28 271798.44),(29 272221.66),(30 272796.34),(31 273390.66),(32 272555.34),(33 271619.25),(34 273237.75),(35 276322.25),(36 276830.47),(37 276969.56),(38 276764.25),(39 278389.6),(40 281916.56),(41 285498.94),(42 289808.2),(43 292461.2),(44 295804.6),(45 299066),(46 300592.34),(47 301941.47),(48 301744.88),(49 301817.16),(50 303312.22),(51 305631.44),(52 308501.53),(53 310749.4),(54 312039.22),(55 312007.8),(56 311797.16),(57 313388.2),(58 314042.22),(59 314794.38),(60 315977.13),(61 318229.63),(62 320050.3),(63 321636.34),(64 321940.97),(65 321570.6),(66 319947.2),(67 317201.44),(68 314238.6),(69 311695.88),(70 310142.75),(71 308731.6),(72 307281.78),(73 305866.5),(74 302962.72),(75 301681.4),(76 302449.16),(77 301633.22),(78 300467.13),(79 299238.06),
(1 22761.05),(2 61014.945),(3 100297.766),(4 143712.33),(5 182017.83),(6 218490.77),(7 250266.47),(8 273280.22),(9 290317.22),(10 299655.28),(11 305744.25),(12 307438.75),(13 303505.97),(14 296357.28),(15 287270.1),(16 278108.56),(17 269386.66),(18 262264.84),(19 256568.9),(20 252963.16),(21 252476.39),(22 252816.19),(23 255162.33),(24 257884.17),(25 260305.42),(26 262725.25),(27 262784.56),(28 261434.66),(29 260907.61),(30 262761.66),(31 264565.38),(32 264222.06),(33 262743.13),(34 263253.13),(35 265509.22),(36 267171.75),(37 270770.9),(38 272827.9),(39 275679.7),(40 278756.16),(41 280036.34),(42 282434.44),(43 285055.66),(44 286200.34),(45 289251.13),(46 291663.6),(47 293570.25),(48 294065),(49 296076.53),(50 299388.97),(51 301165.7),(52 303429.16),(53 303341.66),(54 303357.53),(55 305086.03),(56 306763.66),(57 306922.97),(58 306797),(59 307162.25),(60 307008.34),(61 306765.97),(62 307752.66),(63 310358.2),(64 312636.8),(65 314345.56),(66 314982.97),(67 312694.13),(68 307804.5),(69 303232.2),(70 299072.56),(71 295993.2),(72 293114.78),(73 288221.9),(74 282974.53),(75 280006.5),(76 277751.88),(77 273964.88),(78 271150.8),(79 269190.53),
(1 21332.012),(2 57648.754),(3 96319.74),(4 140440.05),(5 179589.8),(6 215078.47),(7 245023.34),(8 268632.2),(9 285794.22),(10 295501.9),(11 300900.5),(12 301087.94),(13 295785.6),(14 288471.22),(15 279744.34),(16 270419.8),(17 259881.5),(18 250195.67),(19 242517.8),(20 238471.52),(21 235912.58),(22 237372.44),(23 240584.05),(24 243506.38),(25 246331.16),(26 249461.47),(27 251049.53),(28 252142.27),(29 252450.2),(30 252707.34),(31 252965.77),(32 252931.53),(33 252933.06),(34 254439.63),(35 255435.38),(36 255377.8),(37 256286.61),(38 255734.67),(39 257821),(40 262593.44),(41 265469.47),(42 268931),(43 270145.6),(44 271028.63),(45 273542.3),(46 275510.56),(47 275724.22),(48 274715.06),(49 272550),(50 270393.03),(51 267513.78),(52 265921.53),(53 265010.94),(54 264629.25),(55 263427.56),(56 262631.25),(57 262637.2),(58 262710.22),(59 263533.88),(60 265082.78),(61 264354.53),(62 263192.28),(63 263626.66),(64 265259.66),(65 266308.53),(66 268200.53),(67 269673.6),(68 270451.8),(69 269091.2),(70 268346.75),(71 267359.84),(72 265292.7),(73 263458.3),(74 260741.28),(75 260698.75),(76 259767.81),(77 257677.47),(78 257619.16),(79 258043.42),
(1 21376.389),(2 57615.953),(3 95376.22),(4 137503.44),(5 175308.58),(6 211221.89),(7 243514.78),(8 268005.06),(9 285722.75),(10 296798.16),(11 300873.13),(12 299312.56),(13 291802.16),(14 283018.28),(15 271656.13),(16 261167.08),(17 250489.31),(18 241179.1),(19 233712.16),(20 228162.11),(21 226420.6),(22 228275.84),(23 230258.92),(24 233110.53),(25 235140.8),(26 236525.6),(27 235091.3),(28 233137.31),(29 230387.48),(30 228306.58),(31 226735.88),(32 223592.63),(33 221739.88),(34 221345.03),(35 221997.39),(36 223316.03),(37 224175.61),(38 225607.13),(39 228368.9),(40 232233.03),(41 235817.3),(42 238018.14),(43 240231.05),(44 243429.6),(45 247940.05),(46 250435.77),(47 250856.03),(48 253173.86),(49 254729.98),(50 257324.31),(51 258183.17),(52 259503.08),(53 259571.69),(54 257291.45),(55 257433),(56 257585.47),(57 257855.44),(58 257947.81),(59 257166.42),(60 258062.61),(61 259741.3),(62 260878.02),(63 261603.2),(64 263148.5),(65 265144.88),(66 266735.44),(67 267843.84),(68 267207.47),(69 266310.34),(70 265827.94),(71 266241.44),(72 265241.3),(73 262999.13),(74 261192.67),(75 260338.34),(76 258053.78),(77 254979.1),(78 252211.33),(79 250125.75),
(1 22909.246),(2 61990.207),(3 103617.41),(4 150441.78),(5 192407.39),(6 233115.1),(7 266586.56),(8 290502.7),(9 305335.06),(10 312202.13),(11 314620.88),(12 308699.75),(13 297738.2),(14 286560.44),(15 275185.16),(16 265543.94),(17 256008.44),(18 249529.2),(19 245998.5),(20 244223.81),(21 243000.4),(22 244653.75),(23 248483.06),(24 252420.63),(25 256162.06),(26 260424.98),(27 261457.64),(28 260026.03),(29 256983.61),(30 255674.63),(31 256708.3),(32 256019.78),(33 255517.16),(34 254677.78),(35 255100.33),(36 254912.33),(37 255922.63),(38 257057.53),(39 260087.6),(40 263770.75),(41 266305.16),(42 270723.44),(43 274178.38),(44 276618.44),(45 280923.34),(46 283285.53),(47 284440.5),(48 286689.22),(49 289258.56),(50 291384.6),(51 293829.03),(52 295953.06),(53 297162.34),(54 297839.06),(55 299640.66),(56 299885.78),(57 299998.9),(58 299810.78),(59 298352.34),(60 297379.75),(61 297670.7),(62 297542.56),(63 296768.78),(64 296039.16),(65 294713.53),(66 294568.94),(67 292765.38),(68 290954.25),(69 289497.44),(70 288107.47),(71 286144.6),(72 282552.78),(73 279824.28),(74 278608.44),(75 276712.94),(76 275283.06),(77 272557.22),(78 271766.63),(79 270712.66),
(1 21575.588),(2 57610.633),(3 95568.98),(4 139567.31),(5 179105.05),(6 215495.72),(7 246368.69),(8 269915.72),(9 284374.84),(10 290263.72),(11 290267.78),(12 285031.75),(13 276802.66),(14 268485.97),(15 259143.81),(16 249705.98),(17 242086.48),(18 236372.44),(19 232371.89),(20 230910.48),(21 231069),(22 232370.9),(23 233444.44),(24 235671.06),(25 238269.08),(26 242762.75),(27 245878.28),(28 247491.66),(29 247336.52),(30 247925.8),(31 248413.17),(32 247750.3),(33 247314.36),(34 245934.72),(35 246064.47),(36 245999.61),(37 247302.53),(38 248026.95),(39 249040.5),(40 250691.56),(41 253844.81),(42 256253.31),(43 256446.36),(44 259064.55),(45 260434.52),(46 259414.9),(47 257993.94),(48 258009.6),(49 257283.84),(50 257053.13),(51 256670.6),(52 257190.8),(53 257011.58),(54 257836.42),(55 260973.17),(56 262092.78),(57 262565.3),(58 264658.5),(59 266648.16),(60 269306.8),(61 271775.38),(62 271461.2),(63 269759.3),(64 268737.94),(65 267457.38),(66 267495.44),(67 267280.13),(68 264476.88),(69 262905.56),(70 260759.48),(71 258161.13),(72 256019.5),(73 253730.72),(74 252002.61),(75 250088.13),(76 249141.52),(77 247453.47),(78 246693.94),(79 246019.8),
(1 22525.729),(2 60561.33),(3 98925.08),(4 143655.84),(5 185704.81),(6 223289.77),(7 255740.48),(8 278871.06),(9 292660.97),(10 298807.25),(11 298079.2),(12 293240.72),(13 285243.8),(14 275655.16),(15 264028.6),(16 253142.1),(17 242827.45),(18 235385.89),(19 229650.19),(20 226337.2),(21 226615.52),(22 228442.11),(23 230865.13),(24 234551.47),(25 239646.3),(26 243122.56),(27 244721.84),(28 246660.28),(29 246755.02),(30 248054.22),(31 250274.55),(32 251944.33),(33 253630.67),(34 254584.7),(35 255103.27),(36 255166.03),(37 254515.19),(38 254424.4),(39 255126.72),(40 256519.95),(41 258158.73),(42 262481.22),(43 266394),(44 271646.78),(45 275856),(46 278147),(47 278686.3),(48 278709.7),(49 277847.38),(50 276809.28),(51 274901.16),(52 273631.8),(53 271593.88),(54 270180.72),(55 270067.94),(56 269243.47),(57 270740.5),(58 271563.6),(59 271223.28),(60 271317.7),(61 272238.7),(62 273939.03),(63 274375.94),(64 273579.9),(65 271458.66),(66 269855.8),(67 266769.03),(68 264589.2),(69 260794.77),(70 257917.16),(71 256965),(72 256457.11),(73 256052.81),(74 255427.72),(75 255073.7),(76 257219.78),(77 258627.72),(78 260542.67),(79 263240.63),
(1 21425.303),(2 56432.758),(3 92292.02),(4 133320.14),(5 171305.03),(6 204895.56),(7 233281.7),(8 252485.78),(9 264211.16),(10 268653.7),(11 268343.28),(12 263383.16),(13 254901.08),(14 244467.89),(15 232764.13),(16 220695.58),(17 210034.58),(18 201377.48),(19 195740.6),(20 192615.77),(21 191990.36),(22 193544.69),(23 197581.44),(24 202327.55),(25 206200.98),(26 209352.19),(27 212521.7),(28 215133.9),(29 217422.52),(30 219624.2),(31 222597.64),(32 225169.39),(33 226822.4),(34 229122.6),(35 230567.38),(36 230562.28),(37 232145.17),(38 232359.45),(39 232731.3),(40 235587.22),(41 237844.58),(42 242478.3),(43 246578.48),(44 250069.33),(45 253174.53),(46 254823.84),(47 257595.45),(48 258696.23),(49 258253.1),(50 257614.84),(51 257855.66),(52 258398.44),(53 256873.95),(54 256555.5),(55 257218.72),(56 257061.64),(57 257231.8),(58 256860.36),(59 255965.64),(60 253095.19),(61 249719.23),(62 245560.66),(63 242841.47),(64 241272.08),(65 239776.55),(66 238557.36),(67 235414.06),(68 232737.52),(69 229784),(70 227806.98),(71 227198.36),(72 228422.28),(73 230011.88),(74 230572.66),(75 230701.17),(76 232122.83),(77 234426.22),(78 236209.7),(79 237546.67),
(1 21149.414),(2 55715.465),(3 92263.86),(4 135570.75),(5 176030.3),(6 211241.11),(7 241877.13),(8 262527.88),(9 276466.78),(10 283699.63),(11 285364.84),(12 281205.1),(13 274234.63),(14 266238.16),(15 257950.14),(16 248087.83),(17 238553.47),(18 229955.6),(19 222377.83),(20 217236.53),(21 215679.34),(22 215856.58),(23 217287.28),(24 220021.88),(25 221967.23),(26 223700.23),(27 224512.72),(28 224713.39),(29 224754.89),(30 224761.52),(31 226750.75),(32 228144.17),(33 229163.19),(34 229337.55),(35 228406),(36 227935.97),(37 226429.86),(38 224785.19),(39 224634.66),(40 227216.34),(41 228750.58),(42 231289.2),(43 233792.55),(44 235953.55),(45 238946.66),(46 239822.22),(47 239433.38),(48 238816.03),(49 239413.83),(50 241480.19),(51 242539.45),(52 241811.34),(53 240726.61),(54 240852.98),(55 241712.81),(56 243065.11),(57 242892.75),(58 243538.44),(59 245001.16),(60 246207.16),(61 245189.61),(62 244744.39),(63 244429.33),(64 243825.45),(65 243218.1),(66 242016.39),(67 240879.69),(68 238182.05),(69 234045.88),(70 230335.88),(71 226848.97),(72 224821.83),(73 222923.02),(74 221169.56),(75 221190.58),(76 222130.22),(77 222526.1),(78 224260.58),(79 226181.83),
(1 21116.885),(2 55747.168),(3 91550.57),(4 133183.23),(5 170841.1),(6 204497.03),(7 232869.03),(8 252261.5),(9 265052.5),(10 271681.4),(11 273523.2),(12 270378.13),(13 264961.88),(14 259918.17),(15 252285),(16 244009.97),(17 237263),(18 232627.72),(19 228890.48),(20 225527.33),(21 225019.25),(22 226600.8),(23 229115.53),(24 231925.31),(25 234610.77),(26 235704.48),(27 233703.6),(28 231521.58),(29 228933.22),(30 228042.92),(31 228709.06),(32 230151.05),(33 231728.28),(34 232703.28),(35 232545.73),(36 232288.72),(37 230758.03),(38 232478.3),(39 234207.02),(40 237137.98),(41 239879.08),(42 241186.61),(43 241676.8),(44 242212.03),(45 242871.52),(46 242365.67),(47 242124.88),(48 241690.48),(49 240043.97),(50 240950.81),(51 242421.58),(52 243089.39),(53 243506.22),(54 244125.52),(55 246011.53),(56 248343.89),(57 250165.11),(58 253507.22),(59 253579.73),(60 253690.92),(61 253091.53),(62 250988.95),(63 249400.39),(64 248202.56),(65 245441.42),(66 241754.22),(67 236448.4),(68 231198.19),(69 226824.86),(70 224194.38),(71 224159.36),(72 225217.14),(73 226920.92),(74 227533.55),(75 228826.53),(76 229939.2),(77 231423.64),(78 233801.47),(79 234163.33),
(1 20440.607),(2 53654.164),(3 86324.78),(4 124844.43),(5 160021.06),(6 192056.3),(7 218902.95),(8 238248.38),(9 250686.53),(10 257727.81),(11 261078.25),(12 258748.6),(13 253825.3),(14 247636.23),(15 240117.64),(16 232832.73),(17 226868.17),(18 222865.14),(19 220293.52),(20 219638.98),(21 221934.13),(22 225234.02),(23 227783.39),(24 230328),(25 231307.25),(26 231272.88),(27 229083.19),(28 228315.39),(29 226426.53),(30 224473.92),(31 223315.88),(32 222459.25),(33 222146.27),(34 222123.73),(35 222636.69),(36 224198.98),(37 225876.13),(38 226520.6),(39 227347.39),(40 226480.22),(41 226634.89),(42 227409.84),(43 228162.63),(44 227862.39),(45 228024.28),(46 227733.58),(47 226370.95),(48 225326.2),(49 223906.22),(50 223506.08),(51 223045.2),(52 223439.1),(53 223846.31),(54 225268.08),(55 226530.42),(56 228865.34),(57 230333.11),(58 231747.39),(59 232667.03),(60 233638.44),(61 233758.44),(62 233425.14),(63 233784.66),(64 233914.58),(65 233528.22),(66 233006.22),(67 231610.66),(68 229873.61),(69 227945.28),(70 226198.36),(71 225892.17),(72 225222.56),(73 225077.84),(74 225467.44),(75 225386.58),(76 226763.67),(77 228000.19),(78 228660.6),(79 229049.69),
(1 19694.158),(2 51543.477),(3 83532.28),(4 118552),(5 150735.86),(6 180219.9),(7 205291.5),(8 223102.77),(9 234881.11),(10 240934.25),(11 242064.5),(12 239774.84),(13 235916.17),(14 231065.19),(15 225478.56),(16 218884.03),(17 214306.22),(18 211148.22),(19 208495.19),(20 208105.78),(21 209784.3),(22 212091.33),(23 214147.2),(24 217324.25),(25 218337.48),(26 219410.47),(27 219446.67),(28 219820),(29 219055.06),(30 217029.8),(31 215903.19),(32 215386.3),(33 215725.95),(34 213091.9),(35 211667.9),(36 212163.4),(37 211500.47),(38 211853.58),(39 211694.63),(40 212614.3),(41 215527.8),(42 216505.78),(43 217663.53),(44 218111.53),(45 218075.4),(46 217153.1),(47 216419.44),(48 216267.36),(49 216552.33),(50 217291.36),(51 217474.2),(52 217720.97),(53 217357.8),(54 217842.17),(55 218359.75),(56 219048.3),(57 220176.72),(58 222383.27),(59 225245.58),(60 225763.14),(61 225401.56),(62 224341.53),(63 222648.1),(64 220085.66),(65 218257.36),(66 215535.9),(67 214491.38),(68 212463.56),(69 209841.7),(70 207142.6),(71 204632.69),(72 203564.02),(73 201500.55),(74 200223.2),(75 200000.13),(76 201515.97),(77 203497.95),(78 204266.6),(79 205191.56),
(1 19963.979),(2 51730.715),(3 83690.17),(4 119214.62),(5 151320.81),(6 179536.88),(7 203592.33),(8 219623.88),(9 230499.6),(10 234939.8),(11 234255.88),(12 230687.47),(13 225471.06),(14 219301.61),(15 212735.33),(16 206559.58),(17 201471.55),(18 195938.72),(19 192952.44),(20 191620.03),(21 191290.39),(22 193714.3),(23 195330.19),(24 196644.66),(25 197865.06),(26 198756.1),(27 198033.95),(28 196461.56),(29 195562.16),(30 195496.55),(31 195757.97),(32 196770.11),(33 197433.7),(34 198672.95),(35 201003.83),(36 202616.88),(37 204262.03),(38 204536.7),(39 205057.33),(40 205092.28),(41 206187.89),(42 209522.64),(43 212402.3),(44 213357.39),(45 214040.86),(46 215382.94),(47 214723),(48 214188.08),(49 214155.72),(50 213870.8),(51 212062.69),(52 211261.98),(53 209155.23),(54 208050.52),(55 208506.52),(56 208410.36),(57 208908),(58 211159.38),(59 212399),(60 212795.67),(61 212365.97),(62 211881.44),(63 210864.94),(64 209393.7),(65 207410.31),(66 204915.39),(67 201770.3),(68 196979.97),(69 193999.97),(70 191711.9),(71 189202.03),(72 186588.22),(73 184489.6),(74 182838.1),(75 182661.58),(76 183700.42),(77 186226.11),(78 188730.94),(79 190304.22),
(1 19461.27),(2 50473.895),(3 81475.34),(4 116823.6),(5 148680.25),(6 176496.6),(7 198818.92),(8 213228.58),(9 221008.11),(10 222385.84),(11 219998.58),(12 214445.98),(13 207756.86),(14 199866.64),(15 190396.47),(16 182513.98),(17 176305.64),(18 173632.11),(19 172883.19),(20 174241.56),(21 177474.9),(22 181446.47),(23 184636.06),(24 186870.3),(25 188842.63),(26 189604.08),(27 188236.19),(28 186582.06),(29 184992.17),(30 183150.63),(31 182434.44),(32 182798.39),(33 183987.47),(34 185184.9),(35 185830.67),(36 187256.14),(37 189540.4),(38 190599.39),(39 190972.06),(40 192575.19),(41 193868.16),(42 196045.38),(43 198425.45),(44 199446.78),(45 200921.78),(46 201922.6),(47 202050.77),(48 203349.13),(49 205121.69),(50 206197.92),(51 205540.11),(52 205407.2),(53 205596.25),(54 206418.53),(55 208325.38),(56 210419.52),(57 211695.58),(58 212912.7),(59 212915.9),(60 212556.34),(61 211973.6),(62 209986.25),(63 208076),(64 206231.86),(65 203503.02),(66 201924.3),(67 198236.81),(68 194361.47),(69 191993.73),(70 189625.83),(71 188080.56),(72 187137.95),(73 185597.06),(74 185791.34),(75 186706.95),(76 188624.9),(77 190813.89),(78 192071.67),(79 193229.7),
(1 18933.906),(2 48651.063),(3 79437.94),(4 114209.07),(5 144998.5),(6 172993.56),(7 195023.98),(8 209187.27),(9 216351.34),(10 217229.1),(11 215079.48),(12 209902.53),(13 204227.73),(14 198223.69),(15 190894.23),(16 185493.58),(17 181186.7),(18 179836.22),(19 180987.69),(20 183777.36),(21 186965.38),(22 189190.66),(23 189327.84),(24 191186.92),(25 192036.55),(26 192059.66),(27 191613.66),(28 189972.97),(29 186954.47),(30 184351.44),(31 182789.38),(32 181865.47),(33 181528.17),(34 181406.33),(35 181972.39),(36 182357.61),(37 183607.47),(38 185089.94),(39 186758.19),(40 188631.33),(41 190898.44),(42 194573.81),(43 199613.58),(44 204288.14),(45 207647.39),(46 211200.14),(47 214414.47),(48 216153.22),(49 217032.1),(50 218100.42),(51 218252.14),(52 218944.56),(53 219059.58),(54 219161.42),(55 221224.39),(56 222706.78),(57 223551.05),(58 223349.92),(59 222461.81),(60 219624.66),(61 217573.14),(62 215354.66),(63 212007.52),(64 207873.31),(65 203518.66),(66 198939.64),(67 194756.53),(68 191558.34),(69 190353.17),(70 189550.08),(71 188517.63),(72 187918.7),(73 188232.45),(74 189857.27),(75 190779.4),(76 192016.16),(77 192433.63),(78 192702.33),(79 193582.6),
