1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3816.8467),(2 7654.198),(3 11220.087),(4 13574.152),(5 14870.323),(6 15816.446),(7 17194.584),(8 18073.209),(9 18437.768),(10 19420.248),(11 20109.38),(12 20775.184),(13 21247.21),(14 21563.557),(15 21851.736),(16 22667.898),(17 23132.246),(18 23409.54),(19 23898.99),(20 24124.977),(21 24742.305),(22 24397.703),(23 24649.615),(24 24950.482),(25 24752.184),(26 25038.834),(27 25234.701),(28 25101.992),(29 25748.205),(30 26324.102),(31 26859.92),(32 28559.102),(33 29429.566),(34 29471.918),(35 30316.451),(36 31174.316),(37 31903.178),(38 32789.12),(39 33304.355),(40 33673.105),(41 34595.36),(42 35334.363),(43 36130.004),(44 34436.938),(45 34407.016),(46 34555.613),(47 34648.895),(48 34256.285),(49 34054.715),(50 33415.18),(51 33436.258),(52 33430.66),(53 32558.447),(54 32304.281),(55 32282.553),(56 31996.494),(57 31907.262),(58 31590.293),(59 30889.691),(60 30888.092),(61 30857.102),(62 30602.191),(63 29578.342),(64 28768.295),(65 28728.629),(66 28940.352),(67 29187.32),(68 29189.29),(69 29067.484),(70 28866.186),(71 28800.227),(72 28610.152),(73 28713.977),(74 29033.46),(75 28827.396),(76 28965.555),(77 29191.814),(78 28901.13),(79 29020.697),
(1 3725.9375),(2 7503.6885),(3 10961.315),(4 13412.513),(5 14838.328),(6 15957.253),(7 17252.68),(8 18135.063),(9 18659.34),(10 19548.73),(11 20135.828),(12 20639.887),(13 20685.87),(14 20820.826),(15 21071.008),(16 21790.584),(17 22052.99),(18 22150.633),(19 22864.22),(20 23207.72),(21 23854.2),(22 23456.002),(23 23614.816),(24 23851.992),(25 23760.416),(26 24131.316),(27 24519.908),(28 24565.545),(29 25508.982),(30 26143.71),(31 26719.998),(32 28396.285),(33 29250.42),(34 29176.549),(35 29717.938),(36 30469.73),(37 31070.494),(38 31870.832),(39 32449.152),(40 32837.83),(41 33835.56),(42 34687.78),(43 35585.758),(44 33913.086),(45 33784.566),(46 33745.844),(47 33747.176),(48 33417.44),(49 33166.973),(50 32456.537),(51 32612.266),(52 32647.98),(53 31782.549),(54 31233.82),(55 30923.611),(56 30433.963),(57 30097.129),(58 29634.371),(59 28923.709),(60 28795.348),(61 28619.254),(62 28439.227),(63 27896.396),(64 27493.654),(65 27600.166),(66 27849.186),(67 28087.563),(68 28231.307),(69 28378.229),(70 28422.135),(71 28612.205),(72 28650.908),(73 28756.95),(74 29102.066),(75 28895.303),(76 29037.246),(77 29210.871),(78 28905.555),(79 28920.154),
(1 3747.5935),(2 7562.75),(3 11031.998),(4 13233.0625),(5 14421.603),(6 15291.518),(7 16491.805),(8 17418.984),(9 17925.928),(10 18808.66),(11 19335.531),(12 19832.469),(13 20167.31),(14 20346.918),(15 20618.027),(16 21432.744),(17 21892.664),(18 22222.746),(19 22961.1),(20 23320.582),(21 24025.695),(22 23770.21),(23 24024.254),(24 24276.838),(25 24137.396),(26 24329.371),(27 24523.648),(28 24626.814),(29 25550.621),(30 26187.99),(31 26973.846),(32 28643.18),(33 29454.361),(34 29159.99),(35 29362.742),(36 30010.686),(37 30667.79),(38 31838.805),(39 32736.852),(40 33277.58),(41 34526.098),(42 35398.73),(43 36360.117),(44 34583.664),(45 34661.668),(46 34820.73),(47 35090.64),(48 34764.082),(49 34576.117),(50 34049.81),(51 34113.008),(52 34016.207),(53 32986.656),(54 32613.484),(55 32452.535),(56 32114.557),(57 31924.355),(58 31771.557),(59 31211.576),(60 31146.432),(61 30742.494),(62 30175.637),(63 29214.574),(64 28619.592),(65 28724.809),(66 29022.953),(67 29306.723),(68 29432.414),(69 29361.086),(70 29425.885),(71 29529.21),(72 29441.58),(73 29359.668),(74 29524.707),(75 29338.592),(76 29622.006),(77 29880.932),(78 29690.518),(79 29693.988),
(1 3567.811),(2 7193.8867),(3 10417.167),(4 12367.559),(5 13470.831),(6 14326.389),(7 15379.895),(8 16134.867),(9 16541.4),(10 17452.37),(11 18136.984),(12 18733.305),(13 18947.094),(14 18963.88),(15 19037.576),(16 19760.213),(17 20028.482),(18 20249.14),(19 20439.734),(20 20593.584),(21 20988.844),(22 20882.31),(23 20892.254),(24 20971.799),(25 20755.705),(26 21085.34),(27 21567.633),(28 21879.668),(29 23083.697),(30 23919.55),(31 24860.424),(32 26527.822),(33 27489.547),(34 27471.168),(35 28045.941),(36 28717.668),(37 29323.219),(38 30121.93),(39 30756.467),(40 31110.594),(41 31956.074),(42 32646.07),(43 33269.777),(44 31385.766),(45 31141.906),(46 31063.803),(47 31199.047),(48 30775.77),(49 30468.332),(50 29721.576),(51 29517.21),(52 29311.852),(53 28588.494),(54 28727.402),(55 28910.162),(56 28779.89),(57 28720.633),(58 28601.977),(59 28214.697),(60 28169.047),(61 27789.344),(62 27301.994),(63 26631.82),(64 26271.07),(65 26458.81),(66 26772.127),(67 27063.344),(68 27215.88),(69 27177.064),(70 27313.84),(71 27495.73),(72 27810.547),(73 27974.588),(74 28301.805),(75 28012.332),(76 28124.385),(77 28351.686),(78 28155.139),(79 28224.207),
(1 3698.5193),(2 7491.9136),(3 10849.354),(4 12752.219),(5 13762.262),(6 14556.534),(7 15860.95),(8 16756.318),(9 17148.98),(10 17931.19),(11 18467.176),(12 18856.098),(13 19102.035),(14 19221.34),(15 19384.658),(16 19929.709),(17 20235.863),(18 20481.264),(19 20803.443),(20 20877.451),(21 21267.025),(22 21012.744),(23 21205.617),(24 21473.475),(25 21352.621),(26 21394.135),(27 21626.904),(28 21627.709),(29 22811.195),(30 23751.906),(31 24817.672),(32 26431.69),(33 27374.129),(34 27302.453),(35 27849.885),(36 28314.764),(37 28896.041),(38 29683.086),(39 30312.47),(40 30623.281),(41 31532.846),(42 32446.943),(43 33348.973),(44 31526.813),(45 31354.018),(46 31256.178),(47 31604.793),(48 31195.256),(49 30896.152),(50 30227.31),(51 30298.566),(52 30264.201),(53 29561.834),(54 29272.41),(55 29140.219),(56 28637.05),(57 28230.34),(58 27865.4),(59 27396.568),(60 27658.055),(61 27570.152),(62 27398.742),(63 26734.354),(64 26408.982),(65 26520.56),(66 27023.28),(67 27255.477),(68 27362.525),(69 27015.72),(70 26997.787),(71 27052.768),(72 27246.318),(73 27449.258),(74 27917.031),(75 27817.566),(76 28166.568),(77 28606.871),(78 28597.256),(79 28733.676),
(1 3466.5225),(2 6999.7983),(3 10141.611),(4 11994.174),(5 13053.052),(6 13934.485),(7 15115.839),(8 15911.6455),(9 16320.126),(10 17165.184),(11 17758.764),(12 18313.693),(13 18507.727),(14 18729.895),(15 18861.805),(16 19290.516),(17 19444.053),(18 19661.186),(19 20091.662),(20 20262.006),(21 20695.496),(22 20165.271),(23 20321.348),(24 20495.094),(25 20348.852),(26 20701.045),(27 20967.5),(28 21051.012),(29 21885.965),(30 22627.395),(31 23495.258),(32 25249.346),(33 26136.146),(34 26029.885),(35 26405.814),(36 27023.035),(37 27654.928),(38 28423.68),(39 29056.693),(40 29466.81),(41 30383.146),(42 31196.316),(43 32028.844),(44 30511.148),(45 30419.049),(46 30335.943),(47 30524.205),(48 30220.934),(49 29967.723),(50 29367.693),(51 29298.78),(52 29201.414),(53 28146.697),(54 27580.023),(55 27299.477),(56 26903.406),(57 26618.27),(58 26301.7),(59 25856.223),(60 26093.674),(61 26009.34),(62 25865.625),(63 25382.227),(64 24959.295),(65 25012.629),(66 25153.371),(67 25356.709),(68 25406.852),(69 25234.58),(70 25291.994),(71 25370.982),(72 25498.594),(73 25662.014),(74 26091.205),(75 26131.594),(76 26411.746),(77 26844.572),(78 26680.977),(79 26914.875),
(1 3502.5876),(2 7024.0405),(3 10213.351),(4 11957.851),(5 12905.773),(6 13676.532),(7 14845.65),(8 15561.106),(9 15883.518),(10 16667.115),(11 17201.559),(12 17718.676),(13 17744.875),(14 17788.324),(15 17829.467),(16 18159.277),(17 18245.947),(18 18366.873),(19 19104.932),(20 19500.506),(21 20195.043),(22 19991.945),(23 20259.049),(24 20553.215),(25 20487.428),(26 20758.387),(27 21022.738),(28 20994.244),(29 22011.953),(30 22794.082),(31 23769.2),(32 25374.135),(33 26093.84),(34 26050.984),(35 26350.492),(36 26946.492),(37 27563.5),(38 28192.06),(39 28640.967),(40 28888.021),(41 29520.412),(42 30025.773),(43 30595.625),(44 29196.82),(45 29072.707),(46 29057.984),(47 29469.58),(48 29084.016),(49 28803.408),(50 28180.582),(51 28596.035),(52 28915.055),(53 28299.246),(54 27852.785),(55 27657.607),(56 27411.195),(57 27494.564),(58 27382.668),(59 27034.42),(60 27568.451),(61 27844.047),(62 27937.912),(63 27504.545),(64 27134.527),(65 27236.188),(66 27469.008),(67 27748.645),(68 27900.855),(69 27781.447),(70 27782.393),(71 27800.326),(72 27653.059),(73 27584.06),(74 27737.7),(75 27362.56),(76 27516.648),(77 27750.016),(78 27322.105),(79 26984.365),
(1 3236.6797),(2 6528.587),(3 9407.979),(4 11112.614),(5 12062.153),(6 12742.856),(7 13767.472),(8 14456.532),(9 14750.27),(10 15594.087),(11 16209.894),(12 16783.602),(13 17121.684),(14 17275.592),(15 17409.363),(16 17794.701),(17 18040.645),(18 18172.297),(19 18912.848),(20 19383.416),(21 20089.293),(22 19997.26),(23 20455.082),(24 20946.182),(25 21103.078),(26 21371.723),(27 21664.008),(28 21827.877),(29 22709.89),(30 23521.725),(31 24370.092),(32 25867.287),(33 26525.172),(34 26311.281),(35 26494.162),(36 27085.152),(37 27766.014),(38 28471.146),(39 28971.617),(40 29180.219),(41 29578.174),(42 29965.006),(43 30367.32),(44 29247.982),(45 29271.396),(46 29353.3),(47 29626.328),(48 29311.982),(49 29062.826),(50 28413.092),(51 28495.236),(52 28576.871),(53 27862.113),(54 27348.795),(55 27095.748),(56 26544.941),(57 26215.992),(58 25861.623),(59 25293.23),(60 25462.438),(61 25434.418),(62 25261.318),(63 24891.04),(64 24647.674),(65 24788.963),(66 25015.941),(67 25225.68),(68 25345.742),(69 25084.537),(70 25030.486),(71 25044.615),(72 25241.96),(73 25248.443),(74 25527.338),(75 25249.088),(76 25466.719),(77 25785.203),(78 25635.05),(79 25573.393),
(1 3101.8918),(2 6263.6265),(3 9073.283),(4 10719.214),(5 11698.5625),(6 12481.974),(7 13508.464),(8 14109.617),(9 14404.464),(10 15126.678),(11 15661.337),(12 16098.691),(13 16453.56),(14 16516.486),(15 16698.488),(16 17280.234),(17 17656.826),(18 17939.117),(19 18770.387),(20 19188.977),(21 19825.969),(22 19382.088),(23 19630.547),(24 19969.938),(25 20153.246),(26 20487.629),(27 20803.445),(28 21052.81),(29 22061.328),(30 22691.71),(31 23290.975),(32 24571.57),(33 25267.871),(34 25087.31),(35 25516.32),(36 26111.975),(37 26756.695),(38 27207.242),(39 27645.701),(40 27825.297),(41 28281.45),(42 28600.746),(43 29109.955),(44 28004.727),(45 28097.8),(46 28248.586),(47 28622.33),(48 28292.17),(49 28005.895),(50 27282.86),(51 27352.008),(52 27325.787),(53 26378.4),(54 25979.5),(55 25852.553),(56 25479.664),(57 25313.734),(58 25090.104),(59 24568.13),(60 24512.914),(61 24073.955),(62 23658.936),(63 23047.953),(64 22598.537),(65 22773.02),(66 23147.133),(67 23494.084),(68 23722.584),(69 23560.201),(70 23511.953),(71 23512.182),(72 23542.143),(73 23787.61),(74 24228.645),(75 24216.852),(76 24466.598),(77 24867.084),(78 24849.662),(79 25064.988),
(1 3066.0093),(2 6138.7813),(3 8883.831),(4 10448.857),(5 11433.223),(6 12133.57),(7 13144.813),(8 13891.777),(9 14340.881),(10 15205.91),(11 15885.929),(12 16490.9),(13 17014.307),(14 17230.113),(15 17486.43),(16 17900.164),(17 18155.705),(18 18332.412),(19 18881.73),(20 19197.092),(21 19753.936),(22 19263.543),(23 19362.264),(24 19489.467),(25 19279.668),(26 19373.547),(27 19442.97),(28 19456.072),(29 20184.549),(30 20673.773),(31 21261.135),(32 22731.11),(33 23449.338),(34 23289.129),(35 23521.068),(36 23915.94),(37 24378.088),(38 25055.44),(39 25535.79),(40 25877.365),(41 26373.363),(42 26748.648),(43 27294.031),(44 26424.678),(45 26456.535),(46 26555.543),(47 26865.92),(48 26770.35),(49 26810.799),(50 26566.537),(51 26715.797),(52 26811.785),(53 26100.648),(54 25863.479),(55 25794.04),(56 25537.328),(57 25371.945),(58 25159.426),(59 24721.871),(60 24644.936),(61 24403.11),(62 24121.133),(63 23704.121),(64 23248.463),(65 23275.38),(66 23371.553),(67 23519.732),(68 23499.723),(69 23084.693),(70 23097.926),(71 23180.883),(72 23353.39),(73 23385.879),(74 23617.625),(75 23497.99),(76 23839.7),(77 24216.008),(78 24251.783),(79 24583.49),
(1 2886.9343),(2 5759.486),(3 8297.722),(4 9913.271),(5 10820.627),(6 11437.622),(7 12321.935),(8 13001.717),(9 13418.904),(10 14089.63),(11 14533.446),(12 14969.963),(13 15223.22),(14 15470.383),(15 15690.222),(16 16093.1),(17 16275.723),(18 16391.344),(19 17153.188),(20 17566.006),(21 18207.926),(22 17914.395),(23 18154.494),(24 18373.31),(25 18232.207),(26 18353),(27 18534.69),(28 18472.6),(29 19204.031),(30 19774.334),(31 20337.371),(32 21778.953),(33 22539.207),(34 22526.953),(35 22903.797),(36 23414.703),(37 23937.857),(38 24552.035),(39 25036.21),(40 25327.29),(41 25515.947),(42 25821.074),(43 26211.535),(44 25345.951),(45 25311.084),(46 25278.951),(47 25428.02),(48 25166.213),(49 25054.027),(50 24584.156),(51 24531.67),(52 24434.244),(53 23736.842),(54 23533.361),(55 23452.352),(56 23023.063),(57 22555.365),(58 22109.814),(59 21555.068),(60 21588.96),(61 21415.541),(62 21266.156),(63 20750.035),(64 20492.127),(65 20695.285),(66 21106.566),(67 21396.693),(68 21551.928),(69 21627.736),(70 21721.902),(71 21848.52),(72 21863.227),(73 21919.002),(74 22133.297),(75 22013.553),(76 22350.771),(77 22697.227),(78 22630.402),(79 22888.947),
(1 2826.8157),(2 5677.3945),(3 8227.842),(4 9737.037),(5 10618.492),(6 11241.027),(7 12217.05),(8 12960.33),(9 13286.813),(10 13914.071),(11 14345.993),(12 14723.783),(13 14907.534),(14 15078.316),(15 15296.793),(16 15933.633),(17 16195.388),(18 16433.248),(19 16883.58),(20 17173.91),(21 17666.61),(22 17422.375),(23 17652.016),(24 17920.775),(25 17849.664),(26 18016.105),(27 18213.992),(28 18343.291),(29 18900.91),(30 19327.59),(31 19746.06),(32 20722.053),(33 21218.35),(34 21088.426),(35 21348.14),(36 21708.586),(37 22105.016),(38 22553.799),(39 22917.748),(40 23054.723),(41 23419.805),(42 23836.4),(43 24360.547),(44 23434.98),(45 23381.984),(46 23370.324),(47 23801.973),(48 23753.697),(49 23757.107),(50 23394.016),(51 23350.697),(52 23237.604),(53 22564.797),(54 22307.467),(55 22179.844),(56 21854),(57 21698.938),(58 21604.758),(59 21260.908),(60 21286.191),(61 21166.904),(62 20962.008),(63 20482.924),(64 20121.31),(65 20223.139),(66 20434.105),(67 20692.936),(68 20826.96),(69 20928.295),(70 21023.623),(71 21124.09),(72 20897.182),(73 20836.184),(74 20950.137),(75 20736.105),(76 21017.896),(77 21335.947),(78 21315.594),(79 21594.16),
(1 2699.748),(2 5390.8154),(3 7755.033),(4 9180.941),(5 10021.981),(6 10674.885),(7 11517.278),(8 12054.5205),(9 12326.405),(10 12995.894),(11 13457.236),(12 13867.785),(13 14010.722),(14 14146.128),(15 14299.64),(16 14615.7705),(17 14877.207),(18 15143.412),(19 15424.715),(20 15728.981),(21 16189.169),(22 16071.404),(23 16179.242),(24 16354.416),(25 16288.7),(26 16418.092),(27 16587.26),(28 16516.488),(29 17035.332),(30 17405.66),(31 17746.305),(32 18665.773),(33 19177.217),(34 19074.416),(35 19308.375),(36 19655.809),(37 19991.133),(38 20716.121),(39 21040.545),(40 21297.406),(41 21990.906),(42 22486.4),(43 23070.111),(44 21947.209),(45 21957.986),(46 22009.22),(47 22286.322),(48 22236.182),(49 22281.094),(50 22033.11),(51 22141.063),(52 22276.586),(53 21813.447),(54 21701.012),(55 21663.41),(56 21354.06),(57 21181.488),(58 21069.723),(59 20694.064),(60 20618.441),(61 20374.055),(62 19964.906),(63 19360.682),(64 18915.393),(65 19056.2),(66 19117.916),(67 19310.637),(68 19450.799),(69 19434),(70 19471.748),(71 19504.123),(72 19297.076),(73 19214.33),(74 19305.648),(75 19108.635),(76 19401.596),(77 19733.27),(78 19750.525),(79 19965.88),
(1 2540.3347),(2 5080.7686),(3 7333.204),(4 8591.854),(5 9343.251),(6 9959.738),(7 10770.231),(8 11294.603),(9 11544.856),(10 12154.224),(11 12662.59),(12 13112.961),(13 13499.6045),(14 13769.586),(15 14085.357),(16 14392.988),(17 14553.555),(18 14721.112),(19 15291.047),(20 15642.787),(21 16158.582),(22 15721.108),(23 15688.923),(24 15729.146),(25 15520.466),(26 15645.0625),(27 15759.123),(28 15749.303),(29 16247.207),(30 16625.398),(31 17147.42),(32 18337.758),(33 18991.248),(34 18970.053),(35 19377.582),(36 19897.186),(37 20397.87),(38 21069.307),(39 21465.758),(40 21660.467),(41 22225.002),(42 22759.41),(43 23424.871),(44 22441.916),(45 22366.105),(46 22344.586),(47 22382.295),(48 22263.406),(49 22207.424),(50 21890.033),(51 21907.77),(52 21904.34),(53 21323.47),(54 21044.355),(55 20850.377),(56 20410.479),(57 20301.883),(58 20184.693),(59 19962.209),(60 20113.813),(61 19970.076),(62 19732.467),(63 19211.002),(64 18961.828),(65 19176.91),(66 19383.791),(67 19617.303),(68 19757.482),(69 19592.553),(70 19624.785),(71 19701.104),(72 19493.697),(73 19498.299),(74 19639.22),(75 19484.715),(76 19644.016),(77 19869.734),(78 19849.031),(79 20100.445),
(1 2517.2795),(2 4996.8394),(3 7198.9907),(4 8520.372),(5 9310.558),(6 9917.757),(7 10723.145),(8 11304.991),(9 11653.167),(10 12415.11),(11 12911.668),(12 13380.345),(13 13527.954),(14 13691.001),(15 13929.082),(16 14060.813),(17 14224.555),(18 14304.546),(19 14538.13),(20 14514.207),(21 14669.278),(22 14458.8545),(23 14440.332),(24 14487.786),(25 14263.339),(26 14337.583),(27 14478.0205),(28 14457.144),(29 14927.442),(30 15357.144),(31 15755.487),(32 16694.22),(33 17228.777),(34 17210.666),(35 17598.93),(36 18048.086),(37 18557.15),(38 18958.146),(39 19268.53),(40 19406.752),(41 20133.59),(42 20722.709),(43 21262.604),(44 20299.195),(45 20197.873),(46 20165.824),(47 20225.732),(48 20032.72),(49 19964.389),(50 19618.844),(51 19525.32),(52 19397.63),(53 18761.191),(54 18451.574),(55 18276.85),(56 17953.684),(57 17785.467),(58 17596.02),(59 17405.834),(60 17616.217),(61 17691.107),(62 17636.596),(63 17170.441),(64 16940.338),(65 17059.576),(66 17203.697),(67 17354.174),(68 17437.451),(69 17436.725),(70 17663.627),(71 17913.219),(72 18027.686),(73 18105.615),(74 18294.846),(75 18151.426),(76 18206.408),(77 18355.97),(78 18303.646),(79 18600.264),
(1 2435.2656),(2 4802.31),(3 6909.433),(4 8168.4063),(5 8927.901),(6 9584.134),(7 10372.113),(8 10904.427),(9 11051.612),(10 11469.068),(11 11733.945),(12 12012.792),(13 12226.868),(14 12282.775),(15 12339.772),(16 12575.176),(17 12755.046),(18 12931.612),(19 13335.585),(20 13613.594),(21 14095.693),(22 13964.687),(23 14134.307),(24 14304.023),(25 14183.057),(26 14188.089),(27 14250.575),(28 14174.732),(29 14592.613),(30 14917.907),(31 15192.418),(32 15985.989),(33 16447.455),(34 16504.887),(35 16904.127),(36 17409.21),(37 17926.121),(38 18479.246),(39 18806.07),(40 18974.496),(41 19299.328),(42 19614.086),(43 19972.166),(44 19243.205),(45 19142.867),(46 19128.482),(47 19166.59),(48 19131.605),(49 19196.71),(50 18884.453),(51 18842.527),(52 18711.592),(53 18099.736),(54 17889.395),(55 17824.375),(56 17535.658),(57 17341.072),(58 17163.805),(59 16965.441),(60 17107.482),(61 17037.232),(62 16969.908),(63 16746.98),(64 16633.299),(65 16824.398),(66 17019.805),(67 17133.965),(68 17206.223),(69 17034.697),(70 17030.95),(71 17140.688),(72 17021.46),(73 16984.193),(74 17045.727),(75 16894.61),(76 17053.055),(77 17299.814),(78 17195.084),(79 17255.28),
(1 2478.5374),(2 4935.314),(3 7091.799),(4 8361.274),(5 9157.109),(6 9822.245),(7 10635.689),(8 11171.481),(9 11380.406),(10 11850.715),(11 12187.583),(12 12491.22),(13 12765.747),(14 12898.532),(15 13080.088),(16 13414.972),(17 13572.215),(18 13674.612),(19 13858.374),(20 14116.695),(21 14620.221),(22 14469.228),(23 14598.889),(24 14733.124),(25 14692.941),(26 14835.391),(27 14989.276),(28 14953.939),(29 15448.681),(30 15817.965),(31 16209.021),(32 17238.574),(33 17720.793),(34 17652.76),(35 17954.79),(36 18434.62),(37 18954.592),(38 19470.611),(39 19769.695),(40 19972.03),(41 20422.49),(42 20819.672),(43 21297.23),(44 20208.914),(45 20009.094),(46 19852.965),(47 20020.896),(48 20034.092),(49 20158.086),(50 19924.457),(51 19959.35),(52 19908.889),(53 19393.078),(54 19100.662),(55 18909.922),(56 18493.53),(57 18285.77),(58 18037.697),(59 17656.744),(60 17514.45),(61 17262.715),(62 16937.861),(63 16717.697),(64 16575.162),(65 16879.13),(66 16955.404),(67 17069.912),(68 17102.676),(69 17077.746),(70 17088.584),(71 17168.78),(72 17085.91),(73 17061.787),(74 17139.094),(75 17005.889),(76 17228.328),(77 17496.166),(78 17422.51),(79 17461.557),
(1 2381.8667),(2 4705.483),(3 6722.9106),(4 7992.8125),(5 8733.653),(6 9340.897),(7 10198.046),(8 10735.518),(9 11032.084),(10 11469.959),(11 11817.258),(12 12116.755),(13 12258.764),(14 12297.238),(15 12409.507),(16 12718.674),(17 12901.904),(18 13020.391),(19 13333.53),(20 13542.879),(21 13988.999),(22 13871.055),(23 13995.135),(24 14081.646),(25 13983.0205),(26 14022.961),(27 14173.954),(28 14076.685),(29 14448.559),(30 14719.528),(31 15046.268),(32 16022.867),(33 16465.78),(34 16364.164),(35 16575.58),(36 16927.826),(37 17296.13),(38 17789.865),(39 18158.965),(40 18408.936),(41 18800.844),(42 19105.512),(43 19456.992),(44 18526.45),(45 18365.477),(46 18206.17),(47 18160.996),(48 18119.639),(49 18189.447),(50 18090.775),(51 18174.525),(52 18191.824),(53 17712.258),(54 17468.266),(55 17305.848),(56 16934.1),(57 16803.477),(58 16669.861),(59 16424.057),(60 16459.684),(61 16362.408),(62 16206.737),(63 15879.157),(64 15666.773),(65 15772.104),(66 15782.836),(67 15874.946),(68 15938.639),(69 15830.33),(70 15861.946),(71 15931.977),(72 16011.024),(73 16026.697),(74 16186.504),(75 16106.083),(76 16278.626),(77 16467.326),(78 16369.226),(79 16484.145),
