1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11139.376),(2 27110.111),(3 55895.656),(4 81839.77),(5 115388.875),(6 150645.05),(7 190865.3),(8 227958.19),(9 266554.6),(10 302640.5),(11 343358.72),(12 380398),(13 416017.5),(14 449194.34),(15 479863.9),(16 506864.6),(17 535514.3),(18 562090.8),(19 592003.06),(20 623467.94),(21 659142.8),(22 703912.25),(23 749317.94),(24 794359.2),(25 846421.94),(26 891227.5),(27 950136.8),(28 1005395.8),(29 1065594.4),(30 1126107),(31 1194268.5),(32 1267982.3),(33 1332741.3),(34 1407257.9),(35 1490369.5),(36 1575377.6),(37 1651979.5),(38 1733344.6),(39 1822423),(40 1899700.1),(41 1980113),(42 2064823.4),(43 2144068),(44 2211537.3),(45 2282131),(46 2359014.8),(47 2435886),(48 2514311.8),(49 2593484.8),(50 2675003),(51 2760443.3),(52 2841105),(53 2932487),(54 3040526.8),(55 3156727.8),(56 3278333.3),(57 3399166),(58 3511707.3),(59 3629594),(60 3744050.8),(61 3884397),(62 4019796),(63 4168191.3),(64 4309481.5),(65 4459714.5),(66 4598952),(67 4708656.5),(68 4822058.5),(69 4938188),(70 5089210.5),(71 5234998.5),(72 5380228.5),(73 5544486.5),(74 5703176),(75 5850222),(76 5978340),(77 6124754.5),(78 6266593.5),(79 6400180),
(1 9556.057),(2 29479.73),(3 59933.727),(4 92446.61),(5 128225.79),(6 165976.44),(7 206225.06),(8 248699),(9 294635.4),(10 339022.25),(11 390132.94),(12 442819.16),(13 500203.34),(14 559262.56),(15 622590),(16 687186.06),(17 751887.4),(18 816335.7),(19 879308.8),(20 945989.8),(21 1019275),(22 1100947),(23 1189531),(24 1281668),(25 1391436.9),(26 1501542.1),(27 1619716.8),(28 1735056),(29 1857298.6),(30 1980039.4),(31 2113440),(32 2250065.3),(33 2386080.5),(34 2511592),(35 2653572.5),(36 2788961.3),(37 2914142.5),(38 3039424.5),(39 3184771.8),(40 3312140.5),(41 3444210),(42 3569736),(43 3706065.5),(44 3834280),(45 3977837.5),(46 4122871.3),(47 4280442.5),(48 4427637.5),(49 4582928.5),(50 4757329.5),(51 4921443.5),(52 5089260),(53 5278923),(54 5490541.5),(55 5717365.5),(56 5950327),(57 6182634.5),(58 6417745.5),(59 6663001),(60 6904841.5),(61 7163158.5),(62 7399811),(63 7677905.5),(64 7920745.5),(65 8165726.5),(66 8411206),(67 8645989),(68 8893626),(69 9119181),(70 9360789),(71 9598054),(72 9831020),(73 10063933),(74 10302456),(75 10546251),(76 10777043),(77 11013019),(78 11273124),(79 11533997),
(1 8048.6484),(2 26168.63),(3 52115.535),(4 81104.28),(5 113681.66),(6 150334.44),(7 189777.11),(8 228437.36),(9 268243.6),(10 306465.38),(11 344487.53),(12 378875.5),(13 415628.66),(14 451859.84),(15 493694.25),(16 530020.75),(17 568379.75),(18 603694.8),(19 635001),(20 663801.9),(21 691939.2),(22 717492.75),(23 750886),(24 785544.8),(25 828841.2),(26 870644.2),(27 910162.5),(28 945078.25),(29 982276.2),(30 1018394.5),(31 1069568),(32 1120347.9),(33 1170092.4),(34 1217569.8),(35 1266791),(36 1308030.5),(37 1361772),(38 1419395.6),(39 1490453.4),(40 1557143.9),(41 1629911),(42 1698104.4),(43 1774497.4),(44 1847703),(45 1935665.6),(46 2019393.9),(47 2110899.3),(48 2200842),(49 2298960.8),(50 2397209),(51 2499946),(52 2584180.8),(53 2667935.3),(54 2749394.3),(55 2832917.3),(56 2927544.8),(57 3024805.3),(58 3115709.8),(59 3223259.8),(60 3323250),(61 3421282.8),(62 3502834),(63 3609314.8),(64 3700323),(65 3799760.8),(66 3904134),(67 4005078.8),(68 4108495.3),(69 4208045.5),(70 4310136),(71 4411945),(72 4497022),(73 4585582),(74 4675986),(75 4778510),(76 4873183.5),(77 4988208),(78 5108096.5),(79 5216718),
(1 7809.7856),(2 25079.615),(3 50774.777),(4 80541.805),(5 118126.78),(6 164946.6),(7 220673.08),(8 281716.34),(9 350147.94),(10 419137.56),(11 496033.44),(12 575184.4),(13 661830.44),(14 754748.25),(15 859584.7),(16 968181.3),(17 1078990.4),(18 1190565.4),(19 1305253.8),(20 1419392.6),(21 1532538.9),(22 1650391.8),(23 1786519.3),(24 1919871.4),(25 2062186.3),(26 2209857.5),(27 2362711.8),(28 2495667.3),(29 2623062.5),(30 2748504.5),(31 2875533.3),(32 2999953),(33 3135842.8),(34 3273631),(35 3408342.3),(36 3529760.5),(37 3638229.8),(38 3740846.8),(39 3845090.8),(40 3933704.5),(41 4031176),(42 4126221.8),(43 4217887.5),(44 4297246),(45 4374492.5),(46 4439059),(47 4499133),(48 4543181),(49 4590639),(50 4634986),(51 4692163),(52 4744837.5),(53 4805638),(54 4865860.5),(55 4925930.5),(56 4991913.5),(57 5060978.5),(58 5129559),(59 5206332.5),(60 5284693.5),(61 5372973.5),(62 5453672),(63 5549030),(64 5649892),(65 5758149.5),(66 5865637),(67 5980296.5),(68 6111832),(69 6247695.5),(70 6386811.5),(71 6543283.5),(72 6685801.5),(73 6839426),(74 6994077.5),(75 7155716.5),(76 7303900),(77 7466929),(78 7591607),(79 7712311),
(1 8744.44),(2 30341.346),(3 63775.477),(4 104708.28),(5 157485.89),(6 217038.19),(7 287157.06),(8 361815.8),(9 442821.63),(10 528625.6),(11 618822.44),(12 709072.9),(13 808045.75),(14 910805.75),(15 1026483.75),(16 1142494.9),(17 1266868.4),(18 1396866.3),(19 1535115.3),(20 1673222),(21 1812296),(22 1954836.8),(23 2117122),(24 2277532.8),(25 2456499.5),(26 2642369.8),(27 2835708),(28 3019214),(29 3203160),(30 3387973),(31 3582382.3),(32 3775032.3),(33 3979083),(34 4187843),(35 4402498),(36 4599852.5),(37 4793003),(38 4969411.5),(39 5147549),(40 5315410.5),(41 5485215.5),(42 5651486.5),(43 5813799.5),(44 5966664),(45 6111188.5),(46 6243515.5),(47 6366606.5),(48 6469771.5),(49 6581238),(50 6675198.5),(51 6766797),(52 6855856),(53 6954784.5),(54 7045751.5),(55 7129896),(56 7206101),(57 7280834),(58 7337124.5),(59 7394144.5),(60 7445195.5),(61 7483154),(62 7525531),(63 7556600.5),(64 7611780.5),(65 7670773),(66 7734096),(67 7803264),(68 7867587.5),(69 7940810),(70 8006854),(71 8072342),(72 8116331.5),(73 8173599.5),(74 8229990),(75 8293606.5),(76 8351873.5),(77 8405724),(78 8447900),(79 8489811),
(1 11872.36),(2 41980.95),(3 89283.305),(4 147196.97),(5 216844.6),(6 295774.94),(7 384298.16),(8 481797.3),(9 586501.44),(10 697231.2),(11 814949.7),(12 931821.8),(13 1056719.1),(14 1187245.9),(15 1329688.4),(16 1473753.4),(17 1625135.3),(18 1779745.3),(19 1939996.4),(20 2093127),(21 2235463.3),(22 2375842),(23 2524687.5),(24 2672944.5),(25 2823745.8),(26 2966360.3),(27 3113733.5),(28 3255728.8),(29 3389643.5),(30 3511057.5),(31 3632504.8),(32 3743195.3),(33 3856727.5),(34 3959856),(35 4054524),(36 4129499.3),(37 4201811),(38 4252534),(39 4296810),(40 4318475),(41 4347709),(42 4371971),(43 4397270.5),(44 4421688),(45 4430949.5),(46 4438553.5),(47 4442395),(48 4435797),(49 4423036),(50 4402867),(51 4388281.5),(52 4370873),(53 4356457),(54 4335051),(55 4313127.5),(56 4294990.5),(57 4279956),(58 4259460.5),(59 4234781),(60 4213067),(61 4189751.3),(62 4173706),(63 4153380.8),(64 4142572),(65 4137676.5),(66 4149828.8),(67 4163719.3),(68 4176548.8),(69 4198041.5),(70 4237154.5),(71 4282950.5),(72 4325051),(73 4370354.5),(74 4421193),(75 4486267.5),(76 4559503),(77 4633628),(78 4728247),(79 4838018),
(1 11785.599),(2 41704.29),(3 88863.05),(4 147043.39),(5 216983.31),(6 296215.28),(7 384437.5),(8 477455.7),(9 576814.94),(10 678856.75),(11 789996.94),(12 904414.44),(13 1030299.7),(14 1165059),(15 1312835.9),(16 1465503.1),(17 1627462),(18 1799942.8),(19 1982134),(20 2166392.5),(21 2348409.8),(22 2524628.3),(23 2706472.5),(24 2883670.8),(25 3062549.5),(26 3242295),(27 3428381),(28 3602890.8),(29 3776360),(30 3945170.5),(31 4114235.8),(32 4276503),(33 4446686),(34 4611048.5),(35 4780643),(36 4934812.5),(37 5087781),(38 5219327.5),(39 5345623),(40 5447759.5),(41 5548914.5),(42 5629525),(43 5707432.5),(44 5773824.5),(45 5829915),(46 5877237.5),(47 5916968),(48 5945023.5),(49 5978351.5),(50 5995086),(51 6016035),(52 6001378.5),(53 5984544),(54 5956867.5),(55 5914407.5),(56 5861162),(57 5806700.5),(58 5752999),(59 5704060.5),(60 5648588.5),(61 5589035),(62 5521447.5),(63 5457193),(64 5389514),(65 5328259.5),(66 5261943),(67 5206691.5),(68 5158442.5),(69 5093031),(70 5028913.5),(71 4957222),(72 4888253.5),(73 4823254),(74 4765867),(75 4709441.5),(76 4663296),(77 4624189),(78 4593160.5),(79 4562563.5),
(1 16004.981),(2 57109.496),(3 119784.65),(4 196831),(5 287845.6),(6 391551.94),(7 506141.8),(8 629953.6),(9 766892),(10 912412.94),(11 1074976.1),(12 1245190.8),(13 1422679.8),(14 1611987.4),(15 1813640.3),(16 2016689.4),(17 2220276.5),(18 2437690.5),(19 2668282.3),(20 2903603.3),(21 3141017),(22 3377579.8),(23 3621931),(24 3853825.8),(25 4079824),(26 4307221),(27 4535764.5),(28 4747153),(29 4965300.5),(30 5184441.5),(31 5400730.5),(32 5611543),(33 5821470),(34 6037904),(35 6261648),(36 6469864),(37 6668769),(38 6850068.5),(39 7030912),(40 7193761),(41 7361117.5),(42 7510735),(43 7651969),(44 7781293),(45 7902570.5),(46 8014994.5),(47 8123976),(48 8229986),(49 8335096),(50 8419306),(51 8508436),(52 8564359),(53 8626383),(54 8649139),(55 8656432),(56 8654449),(57 8654113),(58 8639216),(59 8642934),(60 8632843),(61 8602390),(62 8554273),(63 8492580),(64 8419955),(65 8348277.5),(66 8257217),(67 8169822),(68 8072383),(69 7960762.5),(70 7857709),(71 7750350),(72 7641841.5),(73 7534784),(74 7426595),(75 7319877),(76 7218856.5),(77 7130338.5),(78 7038318),(79 6959009),
(1 11879.811),(2 42652.516),(3 89965.53),(4 150068.55),(5 221460.64),(6 303818.22),(7 397189.7),(8 502772.53),(9 621905.25),(10 746714.9),(11 882286.5),(12 1020318.56),(13 1166255.4),(14 1322212.4),(15 1485307.3),(16 1653079.6),(17 1829993.4),(18 2014849.9),(19 2212572.8),(20 2413297.8),(21 2612912),(22 2812610),(23 3015785.8),(24 3205759.8),(25 3396040),(26 3581618),(27 3758189.3),(28 3924172.3),(29 4082182),(30 4225967),(31 4348883.5),(32 4466297.5),(33 4576756.5),(34 4673187),(35 4756004),(36 4825310.5),(37 4884293.5),(38 4933489.5),(39 4970994.5),(40 4991578.5),(41 5007828),(42 5022389),(43 5029636),(44 5029075),(45 5034337.5),(46 5040123.5),(47 5046454),(48 5064038.5),(49 5080634.5),(50 5092602.5),(51 5113271.5),(52 5129324),(53 5155729),(54 5166708),(55 5179772.5),(56 5198564),(57 5214924),(58 5227173),(59 5237197.5),(60 5246724.5),(61 5251860.5),(62 5250639),(63 5237125),(64 5202540),(65 5160711),(66 5112227.5),(67 5071391),(68 5023377.5),(69 4978469),(70 4930967),(71 4888928),(72 4844004.5),(73 4795252.5),(74 4743332),(75 4698148),(76 4653672.5),(77 4600907.5),(78 4551779),(79 4509174.5),
(1 16742.16),(2 61897.082),(3 131722.48),(4 223155.36),(5 332564.2),(6 456014.28),(7 592941.44),(8 741514.56),(9 899367.56),(10 1066119.1),(11 1245934.9),(12 1433434.6),(13 1626246.5),(14 1820266.9),(15 2017269.4),(16 2205261),(17 2394377),(18 2582361.3),(19 2772098),(20 2956217.3),(21 3129374.5),(22 3295527.5),(23 3457595),(24 3610905.5),(25 3747152),(26 3882953.8),(27 4012729),(28 4130753),(29 4239685.5),(30 4338237),(31 4420749.5),(32 4488501.5),(33 4539956.5),(34 4584096),(35 4612001),(36 4626274.5),(37 4632486),(38 4631930.5),(39 4618524.5),(40 4584376.5),(41 4539446),(42 4484599),(43 4418282),(44 4342680),(45 4268900.5),(46 4191584),(47 4118822.8),(48 4050865),(49 3983611),(50 3923362.3),(51 3872081),(52 3819492.5),(53 3768316.5),(54 3711963),(55 3650276.5),(56 3586372),(57 3523191.5),(58 3461791.5),(59 3409551.8),(60 3364462.3),(61 3326309.3),(62 3290300.8),(63 3266507.5),(64 3239838.3),(65 3216612.8),(66 3188046),(67 3161353),(68 3138273.5),(69 3116094.3),(70 3098001.8),(71 3088321),(72 3075785),(73 3065965.8),(74 3063858.8),(75 3067278),(76 3080705.8),(77 3093754.8),(78 3113312.5),(79 3136495.5),
(1 18371.469),(2 67632.63),(3 144455.97),(4 244243.9),(5 364596.16),(6 503417.75),(7 655064.7),(8 817622.4),(9 989707.9),(10 1169938.6),(11 1357873.4),(12 1554136.1),(13 1757360.1),(14 1961944.8),(15 2165889.5),(16 2358425),(17 2545112.5),(18 2722243),(19 2885686.5),(20 3033422.8),(21 3169940.3),(22 3293058.3),(23 3407358),(24 3513378.8),(25 3606394.8),(26 3693917.3),(27 3765898.5),(28 3829771.5),(29 3879937.8),(30 3918556),(31 3940817.5),(32 3952099.8),(33 3958093.8),(34 3958373.3),(35 3954476.3),(36 3945483.3),(37 3938788),(38 3921552.8),(39 3898748.8),(40 3872045.8),(41 3837169),(42 3795037),(43 3748148.3),(44 3700088),(45 3656632),(46 3618126.8),(47 3583597.8),(48 3547001.5),(49 3508400),(50 3472661.3),(51 3445564.8),(52 3427921.3),(53 3415006.3),(54 3400903.8),(55 3395264),(56 3382566.8),(57 3361881),(58 3335272),(59 3307125.8),(60 3283818.3),(61 3261514.3),(62 3240725),(63 3224259.8),(64 3197311),(65 3175308.8),(66 3145468.8),(67 3116383),(68 3090274),(69 3068246.5),(70 3056312.3),(71 3047586.3),(72 3044184.3),(73 3042430.5),(74 3047946.8),(75 3063212.5),(76 3077402.3),(77 3098707.8),(78 3119650),(79 3143330.5),
