1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 21013.236),(2 66678.805),(3 115388.64),(4 155941.22),(5 187350.94),(6 213338.44),(7 238185.61),(8 260428.8),(9 278023.25),(10 292903.9),(11 305147.63),(12 316703.84),(13 331057.2),(14 345481.63),(15 355616.78),(16 362902.3),(17 368154.1),(18 371993.7),(19 380036.28),(20 392017.7),(21 403676.1),(22 413536.2),(23 422269.16),(24 429518.25),(25 435514.34),(26 442210.94),(27 446508.78),(28 448942.53),(29 450838.8),(30 452353.97),(31 452982.72),(32 455144.4),(33 458675.6),(34 465029.1),(35 470783.25),(36 475868.6),(37 480517.25),(38 482812.7),(39 480644.4),(40 479209.56),(41 481401.53),(42 483949.88),(43 483940.1),(44 482932.38),(45 480918.13),(46 477779.44),(47 476372.03),(48 479058.3),(49 479724.78),(50 479197.28),(51 479766.47),(52 480924.75),(53 483857.2),(54 487190.94),(55 488600.8),(56 487731.03),(57 486312.7),(58 483672.8),(59 483589.88),(60 484794.03),(61 486105.75),(62 486045.94),(63 483362.34),(64 482834.72),(65 483072.1),(66 485112),(67 486701.47),(68 487460.03),(69 487845.1),(70 489153.1),(71 489078.4),(72 488835.4),(73 489371.34),(74 490317.56),(75 493182.53),(76 493474.63),(77 495033),(78 497157.16),(79 495887.63),
(1 21311.994),(2 67368.695),(3 116366.39),(4 157546.75),(5 189471.2),(6 215297),(7 240034.19),(8 261732.05),(9 277411.5),(10 286254.56),(11 292387.84),(12 300883.4),(13 313203.16),(14 325776.2),(15 337040.44),(16 347077.28),(17 356035.16),(18 362745.84),(19 368624.84),(20 376556.4),(21 383102.28),(22 387170.66),(23 388653.2),(24 393512.1),(25 398806.03),(26 400445.75),(27 401811.25),(28 402968.2),(29 401337.2),(30 402274.75),(31 404597),(32 407169.34),(33 410358.16),(34 416649.8),(35 424706.53),(36 432534.06),(37 436941.63),(38 445759.9),(39 452218),(40 454755.56),(41 455223.06),(42 452753.06),(43 452853.9),(44 454397.25),(45 452058.44),(46 448927.2),(47 450377.63),(48 452440.63),(49 452720.84),(50 452956.9),(51 453628.72),(52 455466.56),(53 458862.63),(54 461711.53),(55 463021.8),(56 464053.1),(57 463868.84),(58 465096.1),(59 467267),(60 470467.47),(61 472536.84),(62 474125.25),(63 471886.56),(64 467875.8),(65 462443.72),(66 458075),(67 454676.94),(68 453867.16),(69 454477.63),(70 456583.38),(71 458608.16),(72 459979.34),(73 459279.1),(74 457624.66),(75 455197.1),(76 452903.66),(77 453551.66),(78 454413.16),(79 455852.47),
(1 19978.863),(2 63766.06),(3 110154.484),(4 149023.25),(5 179562.84),(6 204297.22),(7 227202.4),(8 247195.7),(9 262670.4),(10 274334.1),(11 282347.2),(12 291938.22),(13 303011.56),(14 313075.72),(15 318769.78),(16 326040.47),(17 334692.94),(18 344288.22),(19 353753.06),(20 361083.84),(21 364615.38),(22 370598.1),(23 374452.34),(24 374412.22),(25 376358.3),(26 382131.13),(27 386595.9),(28 391236.63),(29 396613.22),(30 401138.75),(31 404742.22),(32 410035.2),(33 415341.34),(34 418066.47),(35 420557.94),(36 422745.34),(37 424779.28),(38 426067.13),(39 428078.94),(40 430734.1),(41 431552.84),(42 431068.47),(43 432683.75),(44 434520.16),(45 435271.06),(46 436885.47),(47 439295.4),(48 441824.6),(49 445541.06),(50 451354.78),(51 453790.22),(52 453643.2),(53 454524.34),(54 456712),(55 458027.28),(56 458076.16),(57 456633.56),(58 454883.97),(59 452413.9),(60 449982.44),(61 447270.4),(62 444826.3),(63 444025.2),(64 442702.06),(65 439209.22),(66 434371.5),(67 429942.4),(68 427869.22),(69 426173.56),(70 424001.34),(71 422294.4),(72 420949.66),(73 420813.9),(74 420949.3),(75 421096.7),(76 423213.8),(77 426643.28),(78 429252.88),(79 431042.3),
(1 20393.416),(2 63480.39),(3 107745.484),(4 143400.28),(5 170314.6),(6 192763.27),(7 214238.5),(8 235073.67),(9 250640.19),(10 259306.73),(11 265844.4),(12 275171.06),(13 286794.44),(14 297578.8),(15 303682.03),(16 309902.1),(17 317746.25),(18 328289.25),(19 341415.34),(20 353315.1),(21 360467.13),(22 364709.8),(23 364827.22),(24 363362.75),(25 362698.3),(26 366197.6),(27 369950.03),(28 375145.88),(29 378711.8),(30 381250.16),(31 383948.8),(32 391344.8),(33 399635.22),(34 408811.6),(35 415606.3),(36 419020.4),(37 420424.4),(38 420621.97),(39 419627.25),(40 420356.22),(41 422796.56),(42 425189.44),(43 429443.9),(44 433654.8),(45 434922.25),(46 434775.3),(47 432576.9),(48 426614.34),(49 423377.25),(50 423475.97),(51 422783.03),(52 421064.97),(53 418863.88),(54 418849.47),(55 418276),(56 418104.97),(57 417893.84),(58 417007.9),(59 416558.94),(60 416743.13),(61 418929.47),(62 422173.34),(63 425202.03),(64 425464.88),(65 422837.1),(66 420705.78),(67 416893.16),(68 411593.38),(69 408262.16),(70 404965.66),(71 403060.1),(72 402382.34),(73 401819.22),(74 401509.2),(75 402544.28),(76 406348),(77 409440.56),(78 410276.28),(79 410321.75),
(1 19219.191),(2 60438.91),(3 104061.91),(4 140413.28),(5 168716.9),(6 193280.9),(7 216506.16),(8 238614.95),(9 257498.45),(10 271501.5),(11 283401.97),(12 296655),(13 309723.94),(14 318860.2),(15 323781.22),(16 329827.63),(17 336068.66),(18 342577.13),(19 350845.44),(20 360174.28),(21 367154.38),(22 373561.56),(23 379916.88),(24 382898.5),(25 382107.06),(26 381704),(27 381297.72),(28 380812.22),(29 384059.28),(30 387600.13),(31 387717.34),(32 387380.78),(33 386536.22),(34 385275.78),(35 385360),(36 386612.8),(37 387984.66),(38 388246.84),(39 385968.8),(40 384483.7),(41 384960.53),(42 384345.5),(43 383717.28),(44 385350.53),(45 388404.03),(46 393312.44),(47 395814.25),(48 397267.13),(49 400287.78),(50 404576.25),(51 405568.88),(52 405853.75),(53 405871.2),(54 405495.28),(55 403486.5),(56 399228.56),(57 394409.47),(58 390224.53),(59 385505.38),(60 383213.16),(61 383006.53),(62 381417.6),(63 380816.13),(64 380158.84),(65 379796.03),(66 381763.06),(67 383664.44),(68 385449.22),(69 388418.16),(70 391445.6),(71 391741.28),(72 390457.28),(73 387994.2),(74 386724.3),(75 385589.4),(76 386324.9),(77 387683.22),(78 389313.5),(79 389405.75),
(1 17949.332),(2 56249.76),(3 96377.95),(4 128479.11),(5 153035.81),(6 172295.33),(7 189525.33),(8 206738.39),(9 221278.78),(10 233588.83),(11 243823.73),(12 255402.63),(13 269291.3),(14 281077.8),(15 291391.34),(16 303731.22),(17 314785.22),(18 326762.03),(19 337353.97),(20 344674.47),(21 350204.03),(22 356187.06),(23 358712.03),(24 360467.47),(25 364339.6),(26 369808.22),(27 374749.22),(28 380374.7),(29 387481.75),(30 394182.4),(31 399402.3),(32 400516.7),(33 401148),(34 403248.3),(35 404435.1),(36 407322.8),(37 412148.4),(38 416156.88),(39 414141.1),(40 411288.2),(41 410988.56),(42 412778.88),(43 412492),(44 413083.4),(45 415576.4),(46 417369.1),(47 415285.1),(48 410817.78),(49 405761.7),(50 400739.47),(51 394892.88),(52 389648.22),(53 386365.8),(54 381874.56),(55 377847.9),(56 372603.34),(57 368665.2),(58 365825.9),(59 363263.03),(60 363349.72),(61 364888.78),(62 366120.22),(63 365645.34),(64 366743.44),(65 370561.97),(66 374252.2),(67 377104.03),(68 377947),(69 378607.44),(70 377523.47),(71 373848.1),(72 371467.75),(73 370365.6),(74 370871.9),(75 373725.44),(76 376129),(77 377067.88),(78 375933.1),(79 376062.2),
(1 19520.314),(2 60724.723),(3 101608.664),(4 133089.23),(5 156752.14),(6 178066.66),(7 198767.2),(8 219195.33),(9 235097.8),(10 247259.11),(11 257682.06),(12 267628.3),(13 274999.13),(14 281566.38),(15 286253.47),(16 293550.78),(17 302999.53),(18 310128.38),(19 315654.03),(20 319924.22),(21 325644.84),(22 332774.66),(23 337779.13),(24 342135.16),(25 344573.9),(26 348896.8),(27 351066.13),(28 351789.47),(29 355335.78),(30 359251.16),(31 361380.28),(32 363916.03),(33 365749.25),(34 367576.88),(35 368124.56),(36 371442.22),(37 377707.03),(38 384291.97),(39 389099.3),(40 393095.4),(41 394511.3),(42 394300.13),(43 395946.94),(44 400407),(45 403763.53),(46 403730.94),(47 402354.66),(48 400773.3),(49 399176.38),(50 396078.8),(51 394143.88),(52 393708.03),(53 395671.6),(54 397162.9),(55 397283.28),(56 395495.63),(57 392751.4),(58 389874.3),(59 386690.34),(60 384123.63),(61 384004.03),(62 384065.25),(63 385654.8),(64 389644.38),(65 392001.53),(66 392534.1),(67 392319.16),(68 392987.88),(69 392423.06),(70 390399.5),(71 387496.5),(72 383552.6),(73 381881.38),(74 378807.5),(75 376775.6),(76 374533),(77 372249.34),(78 368269.6),(79 364146.63),
(1 18026.617),(2 55643.277),(3 93498.93),(4 124310.75),(5 149332.23),(6 171064.2),(7 191015.19),(8 207668.02),(9 220435.56),(10 230873.47),(11 241347.64),(12 252272.64),(13 262868.97),(14 273487.28),(15 281063.7),(16 288349.75),(17 295346.3),(18 302635.47),(19 311110.94),(20 316403.5),(21 320798.38),(22 325857.6),(23 330493.34),(24 334493.16),(25 338644.9),(26 339914.2),(27 338259.66),(28 338306.25),(29 340579.88),(30 343583.75),(31 344141.97),(32 345317.7),(33 347721.16),(34 347733.3),(35 346421.47),(36 346693.53),(37 348545.94),(38 350786.06),(39 352221.22),(40 351534.25),(41 350709.66),(42 349906.56),(43 349576.94),(44 349670.47),(45 349644.84),(46 348555.5),(47 346710.8),(48 345509.2),(49 345726.94),(50 345440.03),(51 344084.6),(52 343543.9),(53 345773.8),(54 346765.7),(55 347791.6),(56 349038.94),(57 351952.84),(58 355286.63),(59 360764.16),(60 364516.2),(61 365799.53),(62 366669.8),(63 368428),(64 370900.44),(65 373135.06),(66 373386.38),(67 370485.66),(68 365995.06),(69 362761.03),(70 360132.28),(71 358790.25),(72 357610.63),(73 357062.94),(74 356921.3),(75 356711.66),(76 355251.44),(77 352808.2),(78 350474.94),(79 348287.7),
(1 17946.861),(2 55828.01),(3 95548.63),(4 128691.76),(5 155712.58),(6 177880.14),(7 195314.72),(8 208337.81),(9 219821.31),(10 230222.52),(11 238328.94),(12 244820.69),(13 251777.53),(14 258727.84),(15 266702.7),(16 274954.84),(17 283335.75),(18 290911.44),(19 297723.56),(20 302709.34),(21 307259.7),(22 308797.5),(23 310900.78),(24 313396.38),(25 315130.7),(26 316295.28),(27 318324.1),(28 322670.44),(29 326066.44),(30 328918.9),(31 330560.8),(32 329973.22),(33 328432.22),(34 326001.1),(35 321493.7),(36 316817.25),(37 313909.7),(38 314070.9),(39 315233.78),(40 314504.38),(41 313306.7),(42 312039.63),(43 310324.1),(44 309287.78),(45 311072.5),(46 312496.06),(47 311894.97),(48 311844.25),(49 312599.03),(50 313755.16),(51 314252.9),(52 314579.38),(53 314255.2),(54 312603.03),(55 311531.16),(56 312007.25),(57 312612.9),(58 312812.94),(59 313029.97),(60 314125.7),(61 316440.38),(62 319682.22),(63 323181.9),(64 325003.1),(65 323980.16),(66 320797.03),(67 318496.78),(68 317725.34),(69 316267.88),(70 315259),(71 315404.75),(72 315571.13),(73 314440.7),(74 313231.38),(75 312157.63),(76 310331.72),(77 309143.84),(78 308903.03),(79 307179.22),
(1 17296.955),(2 51946.496),(3 85108.51),(4 111458.25),(5 133341.38),(6 154102.45),(7 173254.14),(8 188647.22),(9 199886.39),(10 209918.78),(11 219559.61),(12 229236.73),(13 238506.7),(14 247867.67),(15 259561.17),(16 270489.34),(17 278645.88),(18 284031.5),(19 288538.34),(20 293271.22),(21 296076.97),(22 298485.97),(23 299052.88),(24 296922.1),(25 296722.5),(26 298383),(27 298338.47),(28 297423.28),(29 297379.5),(30 298805.5),(31 300634.5),(32 303786.53),(33 305891.28),(34 306165.22),(35 306375.44),(36 304928.16),(37 304455.2),(38 306686.22),(39 309232.22),(40 310286.34),(41 309325),(42 309861.13),(43 310727.4),(44 313335.47),(45 313863.63),(46 312884.34),(47 312072.7),(48 314005.06),(49 316175.1),(50 317745.53),(51 319287.34),(52 318463.4),(53 317119.1),(54 315010.66),(55 313010.25),(56 312403),(57 313444.78),(58 314812.3),(59 315372.8),(60 314740.8),(61 313228.13),(62 310922.25),(63 308790.38),(64 308012.38),(65 307327.4),(66 305632.38),(67 302310.4),(68 299167.34),(69 296627.03),(70 296779.6),(71 298624.4),(72 299406.88),(73 300690.78),(74 302768.72),(75 304409.22),(76 305956.56),(77 307374.3),(78 309275.8),(79 313121.44),
(1 17091.617),(2 52011.246),(3 86209.08),(4 111973.03),(5 132280.05),(6 150623.03),(7 166986),(8 179029.36),(9 187597.19),(10 195749.13),(11 203889.69),(12 212794.53),(13 221213.11),(14 227798.23),(15 234499.56),(16 240997.16),(17 246701.11),(18 250885.95),(19 255343.9),(20 259373.64),(21 261903.45),(22 260761.66),(23 259249.55),(24 259038.47),(25 260439.1),(26 262353.7),(27 263184),(28 263049.53),(29 265065),(30 268703.16),(31 274044.72),(32 279027.53),(33 279014.03),(34 281102.1),(35 283098.38),(36 282134.97),(37 279070.63),(38 277872.25),(39 276419.25),(40 275152.25),(41 274329.78),(42 275138.1),(43 274399.1),(44 274899.66),(45 274762.63),(46 276526.63),(47 278217.97),(48 280063.3),(49 282982.78),(50 286948.75),(51 289280),(52 291822.84),(53 295278.5),(54 301426.94),(55 306339.75),(56 308783.72),(57 310620.28),(58 312095.06),(59 312531.75),(60 310849.56),(61 309668.3),(62 308402.66),(63 307567.38),(64 308136.34),(65 309155.1),(66 310702.3),(67 310653.16),(68 312576.9),(69 313914.13),(70 313989.8),(71 313797.7),(72 314043.25),(73 314450.3),(74 314076.3),(75 312897.66),(76 310457.53),(77 307674.53),(78 304068.88),(79 300247.6),
(1 17486.422),(2 52731.402),(3 87770.41),(4 115387.14),(5 137943.92),(6 156008.23),(7 170373.16),(8 182303.7),(9 192743.38),(10 202358.72),(11 211085.44),(12 218716.66),(13 225454.02),(14 229669.3),(15 232694.64),(16 235266.56),(17 236356.88),(18 236292.22),(19 237145.94),(20 239056.19),(21 239559.66),(22 239363.22),(23 238857.55),(24 238090.42),(25 237082.83),(26 236064.72),(27 236268.64),(28 238760.97),(29 240849.56),(30 245044.27),(31 247217.06),(32 248061.45),(33 250164.73),(34 252278.56),(35 254143.53),(36 258173.19),(37 263032),(38 266438.88),(39 268109.88),(40 270611.7),(41 273668.06),(42 275214.44),(43 276189.8),(44 277215.75),(45 277818.2),(46 280330.1),(47 284780.6),(48 287137.97),(49 287192.84),(50 286930.5),(51 284981.8),(52 284740.56),(53 284898.44),(54 285337.78),(55 285627.03),(56 288398.06),(57 291270.25),(58 292122.6),(59 291860.53),(60 289427.13),(61 285003.44),(62 280687.22),(63 280508.78),(64 284272.75),(65 288097.88),(66 289572.66),(67 289206.75),(68 288392.5),(69 288799.56),(70 290863.94),(71 293635.2),(72 296805.72),(73 299877.97),(74 301751.03),(75 302706.94),(76 304088.1),(77 306183.63),(78 307850.16),(79 309680.06),
(1 16670.117),(2 50031.746),(3 82178.305),(4 107293.836),(5 126309.07),(6 142321.73),(7 157268.72),(8 169572.72),(9 178510.4),(10 186970.03),(11 194102.6),(12 200371.78),(13 204443.81),(14 207981.38),(15 211809.55),(16 213961.08),(17 217389.1),(18 221131.36),(19 224817.3),(20 227831.4),(21 230614.72),(22 232332.83),(23 234445.33),(24 236347.97),(25 238088.92),(26 241361.38),(27 246047.16),(28 250036.73),(29 252689.9),(30 256358.45),(31 259686.52),(32 263946.25),(33 266285.97),(34 268522.16),(35 269879.9),(36 271449.2),(37 273488.5),(38 274776.06),(39 275121.44),(40 275827.13),(41 278795.34),(42 280327.34),(43 279581.2),(44 277976.9),(45 277320.97),(46 277662.84),(47 277184.03),(48 275244.44),(49 272767.44),(50 270064.38),(51 266842.44),(52 264947.4),(53 263738.47),(54 262890.6),(55 262643.94),(56 264447.5),(57 267207.4),(58 268929.97),(59 267806.25),(60 265052.06),(61 262540.5),(62 259046.78),(63 257473.3),(64 257930.45),(65 260189.27),(66 260741.56),(67 262468.06),(68 265749.3),(69 269665.97),(70 274381.84),(71 278809.7),(72 282012.47),(73 283766.6),(74 284538.28),(75 284128.1),(76 283960.9),(77 285353.16),(78 285819.6),(79 286334.16),
(1 16836.96),(2 50808.887),(3 84376.42),(4 110589.82),(5 130055.32),(6 145984.02),(7 159316.98),(8 169148.84),(9 176607.33),(10 182512.8),(11 188322.97),(12 195486.39),(13 202807.94),(14 211612.94),(15 220095.28),(16 226809.25),(17 233399.66),(18 240050.08),(19 243865.69),(20 247026.06),(21 249023.56),(22 249223.33),(23 250272.52),(24 252248.95),(25 256457.94),(26 261157.5),(27 264147.56),(28 266916.4),(29 269174.47),(30 272375.66),(31 274740.38),(32 276920.38),(33 276905.97),(34 276608.25),(35 278849.88),(36 281886.94),(37 283266.7),(38 285782.84),(39 288062.94),(40 289397.8),(41 290499.97),(42 290080.34),(43 288496.2),(44 287834.3),(45 288238.94),(46 285634.28),(47 282442.78),(48 281773.28),(49 279082.06),(50 274671.47),(51 270657.16),(52 268056.9),(53 266904.84),(54 268136.56),(55 269632.03),(56 269783.5),(57 268269.66),(58 265561.8),(59 262589.38),(60 259390.08),(61 256847.13),(62 255844.28),(63 255178.84),(64 254761.95),(65 254583.48),(66 255199.92),(67 257366.1),(68 259994.05),(69 262118.61),(70 262754.47),(71 262888.97),(72 263187.38),(73 262481.88),(74 261201.75),(75 260777.02),(76 261858.61),(77 265635),(78 269160.88),(79 271319.06),
(1 16940.637),(2 50346.754),(3 81837.36),(4 105799.36),(5 124310.414),(6 140619.17),(7 154715.39),(8 166673.33),(9 178236.61),(10 188281.67),(11 195577.83),(12 201224.03),(13 205579.8),(14 209104.95),(15 212719.44),(16 216297.33),(17 219680.7),(18 222690.33),(19 224449.23),(20 226285.94),(21 228251.06),(22 230085.69),(23 229002.9),(24 228185.61),(25 227732.08),(26 228650.39),(27 229505.61),(28 230211.44),(29 231325.25),(30 234154.78),(31 237896.19),(32 239481.77),(33 241268.22),(34 244541.86),(35 246612.33),(36 248043.81),(37 248987.72),(38 250947.22),(39 252407.4),(40 254511.98),(41 257025.64),(42 259032),(43 258326.61),(44 258607.16),(45 258797.52),(46 259220.66),(47 259964.84),(48 261188.5),(49 262165.72),(50 263736.03),(51 264273.56),(52 264803.8),(53 267509.56),(54 271533.16),(55 274078.53),(56 274462.06),(57 273287.72),(58 271948.28),(59 270944.9),(60 269445.28),(61 268203.5),(62 267382.6),(63 267426.13),(64 266221.9),(65 264098.88),(66 263778.72),(67 263280.84),(68 262585.8),(69 263091.44),(70 263016.34),(71 261346.64),(72 259108.22),(73 256741.39),(74 254861.47),(75 253474.95),(76 252332.17),(77 251823.5),(78 250885.34),(79 250867.4),
(1 16274.601),(2 48658.08),(3 78849.16),(4 102293.83),(5 120833.02),(6 137221.08),(7 150469.58),(8 161337.44),(9 169592.39),(10 177772.02),(11 185710.31),(12 191706.95),(13 196375.03),(14 200316.75),(15 204684.45),(16 208904.69),(17 210721.13),(18 212162),(19 213302.8),(20 214437.97),(21 216414.97),(22 217618.83),(23 217436.72),(24 216433.81),(25 216829.05),(26 218979.38),(27 222000.63),(28 225368.23),(29 228323.77),(30 232748.06),(31 234873.61),(32 236210.45),(33 237189.72),(34 239428.19),(35 241649.16),(36 243064.11),(37 242825.1),(38 243466.73),(39 245746.27),(40 247597.55),(41 250453.94),(42 254022.45),(43 253959.52),(44 253248.94),(45 254417.61),(46 255681.81),(47 256081.52),(48 255208.42),(49 254459.75),(50 252398.77),(51 249391.1),(52 247826.73),(53 248331.38),(54 249226.67),(55 249744.17),(56 249907.75),(57 248659.72),(58 245864.11),(59 245242.67),(60 244896.6),(61 245165.55),(62 244791.45),(63 244595.84),(64 244868.67),(65 244656.44),(66 245027.72),(67 246331.1),(68 248959.38),(69 251523.86),(70 253802.97),(71 255092.13),(72 256182.33),(73 257436.95),(74 259204.42),(75 259340.77),(76 258896.95),(77 258925.83),(78 257359.3),(79 255795.75),
(1 15875.292),(2 47099.863),(3 76966.96),(4 99792.48),(5 118314.92),(6 134771.83),(7 148864.06),(8 160536.7),(9 170555.5),(10 182169.31),(11 193181.5),(12 202667.33),(13 209186.2),(14 214410.02),(15 218126.17),(16 219856.88),(17 221082.28),(18 221745.69),(19 224461.5),(20 228452.67),(21 231767.48),(22 236184.34),(23 239875.81),(24 240884.8),(25 241233.6),(26 243114.44),(27 245553.39),(28 247809.83),(29 248812.36),(30 249458.97),(31 248099.92),(32 247258.61),(33 246877.6),(34 248903.2),(35 251716.75),(36 253349.61),(37 254759.03),(38 254215.3),(39 254012.27),(40 254467.66),(41 252924.6),(42 250685.64),(43 248653.34),(44 248362.75),(45 248020.56),(46 248197.05),(47 247938.47),(48 247153.33),(49 246051.33),(50 244417.33),(51 242325.98),(52 241981.98),(53 243215.2),(54 244128.84),(55 245017.72),(56 245127.11),(57 245789.2),(58 247253.98),(59 249058.02),(60 249903.92),(61 249740.48),(62 248422.45),(63 246568.97),(64 245562.1),(65 245439.61),(66 245769.66),(67 247004.2),(68 247540.67),(69 248134.1),(70 249732.88),(71 249932.61),(72 249243.78),(73 248638.69),(74 248750.55),(75 247450.75),(76 244430.6),(77 242236.47),(78 241086.78),(79 241885.72),
(1 15697.092),(2 46001.51),(3 73435.41),(4 92955.42),(5 109269.81),(6 125080.91),(7 138559.58),(8 150597.1),(9 161864.17),(10 171003.19),(11 178327.97),(12 183226.77),(13 187067.6),(14 191532.28),(15 195310.9),(16 198637.86),(17 200859.16),(18 200510.28),(19 200643.69),(20 201433.56),(21 201542.11),(22 203050.8),(23 203907.56),(24 204184.72),(25 205435.61),(26 206017.17),(27 205231.89),(28 203732.08),(29 203408.8),(30 200403.55),(31 198303.95),(32 199080.81),(33 199808.53),(34 200998.89),(35 203163.64),(36 204653.84),(37 206662.72),(38 207397.55),(39 206618.27),(40 207280.45),(41 208606.81),(42 208529.5),(43 209491.9),(44 211503.05),(45 212972.08),(46 215180.83),(47 217898.55),(48 219764.03),(49 222777.95),(50 226059.22),(51 228751.86),(52 230283.13),(53 230580.39),(54 231302.23),(55 232481.23),(56 233583.22),(57 233513.45),(58 231781.6),(59 229683.52),(60 227235.16),(61 224271.42),(62 220872.36),(63 218659.72),(64 216812.1),(65 215306.3),(66 213916.67),(67 214599.5),(68 214605.17),(69 214242.38),(70 213975.61),(71 214985.86),(72 215809.64),(73 215850.45),(74 216747.61),(75 216357.81),(76 216319.16),(77 216137.05),(78 218002.19),(79 221019.72),
(1 15031.181),(2 44271.86),(3 70828.81),(4 90595.984),(5 106257.766),(6 120506.055),(7 132511.48),(8 141521.03),(9 149417.63),(10 158783.81),(11 167143.86),(12 172033.19),(13 176548.73),(14 180780.9),(15 184352.9),(16 186671.2),(17 189348.13),(18 194848.77),(19 198789.19),(20 199921.27),(21 200124.19),(22 200730.39),(23 201590.94),(24 204016.47),(25 207451.39),(26 209861.77),(27 211901.81),(28 214234.58),(29 217170.02),(30 218399.17),(31 220139.77),(32 223707.73),(33 226741.92),(34 228991.81),(35 231370.27),(36 234365.11),(37 234488),(38 233053.48),(39 232404.77),(40 231456.52),(41 229792.08),(42 228721.63),(43 228087.8),(44 226736.19),(45 225959.5),(46 224331.53),(47 223961.61),(48 223323.97),(49 222597.52),(50 222013.48),(51 220466.38),(52 219020.42),(53 218945.58),(54 220307.97),(55 221778.81),(56 223161.97),(57 224189.48),(58 224227.83),(59 223554.8),(60 223836.13),(61 225008.22),(62 226181.44),(63 227489.19),(64 228333.86),(65 227986.27),(66 228092.4),(67 229316.3),(68 229517.73),(69 229955.27),(70 231303.14),(71 232464.94),(72 232951.92),(73 231866.86),(74 230176.56),(75 228283.02),(76 227526.7),(77 226831.63),(78 224630.6),(79 222855.42),
