1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 2099562.5),(2 3934906.3),(3 4135792),(4 4615686.5),(5 4934707.5),(6 5257469.5),(7 5818194.5),(8 6296613.5),(9 6634298),(10 6858849.5),(11 7015951.5),(12 7083268),(13 7183506.5),(14 7257176),(15 7370362.5),(16 7706874.5),(17 7757478),(18 7556949.5),(19 7558800),(20 7908662.5),(21 7842208.5),(22 8077409.5),(23 8308986.5),(24 7978826),(25 7629736),(26 7604262),(27 7973329.5),(28 8320749.5),(29 8571243),(30 8918161),(31 9392435),(32 9471265),(33 9407168),(34 9369650),(35 9657333),(36 9874188),(37 9997038),(38 10282920),(39 10713539),(40 11399413),(41 11908584),(42 11849557),(43 11957349),(44 12551593),(45 12580376),(46 12632459),(47 12774907),(48 12407261),(49 12120243),(50 11663152),(51 10742972),(52 10571957),(53 10485858),(54 10576433),(55 10515439),(56 10937867),(57 11396472),(58 12048293),(59 12636532),(60 12934048),(61 35161104),(62 45162748),(63 32456400),(64 32323986),(65 32362826),(66 31810890),(67 31837032),(68 32133008),(69 32258104),(70 33187258),(71 34310290),(72 34956908),(73 35760124),(74 37382340),(75 35380790),(76 32206702),(77 22393142),(78 12623224),(79 12285957),
(1 751852.94),(2 1595071.3),(3 2333045.5),(4 3077613.8),(5 3459482.5),(6 3746024),(7 4053989.5),(8 4363339),(9 4612293),(10 4931033),(11 5247710.5),(12 5769457),(13 6294020),(14 6764240),(15 7149520),(16 7592009.5),(17 7873171),(18 7981785.5),(19 8202176),(20 8365221),(21 8328283),(22 8387015),(23 8266366.5),(24 7701532),(25 7423246.5),(26 7213087),(27 7221979),(28 7100854.5),(29 7025385.5),(30 7050633),(31 7257438.5),(32 7598703),(33 7834414.5),(34 8007691),(35 8253328),(36 8296126.5),(37 8119515),(38 7966225),(39 7989333),(40 8368830.5),(41 8830443),(42 9098557),(43 9272547),(44 9677025),(45 9829318),(46 9867452),(47 9994294),(48 10281873),(49 10606891),(50 10715336),(51 10358890),(52 10291306),(53 10567974),(54 10798430),(55 11034166),(56 11420150),(57 11488363),(58 11673946),(59 11658294),(60 11768121),(61 14886670),(62 16181808),(63 14500579),(64 14629507),(65 14643722),(66 15022168),(67 15541773),(68 15966490),(69 16063150),(70 15984880),(71 15815430),(72 16020013),(73 16378725),(74 16873366),(75 17469060),(76 17681840),(77 15681312),(78 13844179),(79 13836675),
(1 656404.56),(2 1346890.8),(3 1971952),(4 2649623.5),(5 3177723),(6 3523647),(7 3944247.3),(8 4322501.5),(9 4762552),(10 5324185.5),(11 5916620),(12 6561994.5),(13 7000593.5),(14 7589832),(15 8228074),(16 8947013),(17 9467524),(18 9839707),(19 10253835),(20 10462500),(21 10628037),(22 10740334),(23 10995261),(24 11203405),(25 11736716),(26 12171565),(27 12474021),(28 12461205),(29 12670645),(30 12958192),(31 13234400),(32 13745471),(33 13759368),(34 13795979),(35 13717797),(36 13633773),(37 13319635),(38 13091469),(39 13077360),(40 13088800),(41 12929053),(42 12713557),(43 12256057),(44 11871519),(45 11668943),(46 11378261),(47 11410992),(48 11376493),(49 11391923),(50 11456915),(51 11270233),(52 11167628),(53 11419752),(54 11610979),(55 11587203),(56 11726368),(57 11814889),(58 11862893),(59 11861364),(60 11977472),(61 14181243),(62 15089485),(63 14122915),(64 14342856),(65 14642669),(66 14969313),(67 15184915),(68 15528953),(69 15507059),(70 15420061),(71 15416784),(72 15695781),(73 15986608),(74 16323391),(75 16658025),(76 16772728),(77 16000197),(78 15070779),(79 14984200),
(1 605274.4),(2 1267816.9),(3 1993842.3),(4 2773729),(5 3272229),(6 3630805),(7 3993865),(8 4538563),(9 4899285.5),(10 5279101.5),(11 5702453),(12 6181758),(13 6775013.5),(14 7308624.5),(15 7659846),(16 7852746),(17 7998916.5),(18 8147642),(19 8344676.5),(20 8367693.5),(21 8387522),(22 8370987.5),(23 8342222),(24 8230529),(25 8239434),(26 8341950),(27 8418501),(28 8514313),(29 8728455),(30 8930790),(31 9142185),(32 9202277),(33 9311329),(34 9252487),(35 9223064),(36 9282000),(37 9051515),(38 9005182),(39 8871986),(40 8711886),(41 8576562),(42 8300189.5),(43 8049370.5),(44 8141729),(45 8191785),(46 8178245.5),(47 8318296),(48 8415884),(49 8646558),(50 8827655),(51 8841740),(52 8817431),(53 8885278),(54 9058076),(55 9359260),(56 9821138),(57 10138706),(58 10359088),(59 10477143),(60 10417580),(61 11041188),(62 11242364),(63 11089792),(64 11219396),(65 11474804),(66 11579619),(67 11589308),(68 11629396),(69 11539292),(70 11389938),(71 11146089),(72 11113881),(73 11136782),(74 11143259),(75 11250549),(76 11490347),(77 11242460),(78 10913894),(79 10776132),
(1 606696.25),(2 1274307.1),(3 2059110.1),(4 2792361),(5 3244077),(6 3599157.8),(7 3902214.5),(8 4408206),(9 4889047.5),(10 5325947.5),(11 5739912),(12 6307763),(13 6793720),(14 7172950),(15 7425475.5),(16 7598020.5),(17 7711160.5),(18 7870372.5),(19 7988855.5),(20 8168315.5),(21 8297379),(22 8348864),(23 8340587),(24 8100593.5),(25 7749907.5),(26 7504379),(27 7335974.5),(28 7464637),(29 7710351.5),(30 7913128.5),(31 8134674),(32 8371550),(33 8797283),(34 8993050),(35 9192858),(36 9251812),(37 9230470),(38 9417496),(39 9754084),(40 9868305),(41 9827711),(42 9639263),(43 9596420),(44 9540932),(45 9695165),(46 9777612),(47 10046898),(48 10573204),(49 11004042),(50 11338693),(51 11621626),(52 11619030),(53 11626180),(54 11760850),(55 11706327),(56 12045749),(57 12475418),(58 12755023),(59 13060180),(60 13368305),(61 13743328),(62 14046356),(63 14078493),(64 14082406),(65 14250812),(66 14365628),(67 14274400),(68 14081958),(69 13807434),(70 13542099),(71 13375196),(72 13460816),(73 13507446),(74 13496493),(75 13475508),(76 13354377),(77 12931968),(78 12515332),(79 12257580),
(1 590932),(2 1172052.8),(3 1813658.4),(4 2456316.8),(5 2900176),(6 3232861.3),(7 3542601.5),(8 3818084.8),(9 3983784),(10 4251879),(11 4716799),(12 5277057),(13 5844029),(14 6407724.5),(15 7148041),(16 7544950.5),(17 7959259),(18 8359785.5),(19 8672558),(20 9076432),(21 9497846),(22 9853448),(23 10113330),(24 10242386),(25 10224914),(26 10352326),(27 10348842),(28 10281207),(29 10381444),(30 10387277),(31 10346434),(32 10719002),(33 10874493),(34 10900256),(35 11012866),(36 11017227),(37 11142425),(38 11268690),(39 11432543),(40 11560421),(41 11719126),(42 11806855),(43 11939402),(44 11996726),(45 11928291),(46 11770985),(47 11692090),(48 11744913),(49 11583571),(50 11445725),(51 11171228),(52 10976835),(53 11082163),(54 11297862),(55 11433491),(56 11729790),(57 12096702),(58 12272926),(59 12482587),(60 12494107),(61 12396026),(62 12302139),(63 12045634),(64 11982967),(65 11667242),(66 11432534),(67 11179491),(68 10992277),(69 10774688),(70 10538307),(71 10427771),(72 10606157),(73 10696762),(74 10810131),(75 10838669),(76 10767950),(77 10937732),(78 11034147),(79 11265475),
(1 614214.6),(2 1321047.9),(3 2153254.5),(4 3035292),(5 3576605.5),(6 4005413.5),(7 4464533.5),(8 4846270.5),(9 5144414.5),(10 5426419),(11 5912580.5),(12 6145951.5),(13 6372023),(14 6552593),(15 6733628.5),(16 6978803),(17 7248178.5),(18 7395663.5),(19 7416408.5),(20 7456751.5),(21 7525233),(22 7579957.5),(23 7553335),(24 7537311),(25 7354738.5),(26 7225259),(27 7102831.5),(28 6953095.5),(29 6788127),(30 6623229),(31 6377592),(32 6266594),(33 6078075),(34 5901300.5),(35 5994570),(36 6153759),(37 6210706),(38 6288282.5),(39 6292745),(40 6412400.5),(41 6717320),(42 6866602),(43 7059267),(44 7212438),(45 7523170),(46 7645792.5),(47 7742664.5),(48 7759151),(49 7601260.5),(50 7476669.5),(51 7353824),(52 7280163.5),(53 7400670),(54 7706674.5),(55 8154317.5),(56 8801121),(57 9238687),(58 9506263),(59 9521160),(60 9365456),(61 9433943),(62 9415956),(63 9304199),(64 9218982),(65 9126463),(66 8929545),(67 8870615),(68 8871587),(69 8793177),(70 8754498),(71 8697133),(72 8879884),(73 9000503),(74 9170206),(75 9232594),(76 9171724),(77 9134468),(78 9163554),(79 9207784),
(1 663861.9),(2 1454008.6),(3 2351429.8),(4 3362098.8),(5 3990085.3),(6 4423353.5),(7 4839254.5),(8 5301256),(9 5380542),(10 5632616.5),(11 5890986.5),(12 6423567),(13 6845659.5),(14 7119114),(15 7219708.5),(16 7185992.5),(17 7166995.5),(18 7157733.5),(19 7210378.5),(20 7356287.5),(21 7762643.5),(22 8102547),(23 8429432),(24 8458228),(25 8226465),(26 8025210),(27 7945829.5),(28 8094937.5),(29 8310373),(30 8427331),(31 8444327),(32 8459003),(33 8722148),(34 8856740),(35 9328036),(36 9538611),(37 9773436),(38 10053123),(39 10252532),(40 10551566),(41 10696135),(42 10728399),(43 10704129),(44 10997188),(45 11082507),(46 11265429),(47 11452992),(48 11440656),(49 11559290),(50 11586991),(51 11303629),(52 10879167),(53 10745636),(54 10703092),(55 10762592),(56 10755107),(57 10802859),(58 10690116),(59 10680085),(60 10823370),(61 10901713),(62 11018793),(63 10939655),(64 11038865),(65 11349045),(66 11381324),(67 11507403),(68 11542297),(69 11606385),(70 11721739),(71 11790053),(72 11936468),(73 12132159),(74 12337355),(75 12537251),(76 12454292),(77 12336847),(78 12179217),(79 12096205),
(1 723251.3),(2 1543762.5),(3 2407211.3),(4 3264313),(5 3652326),(6 3817723.5),(7 4050248),(8 4149306.3),(9 4449972),(10 4755180),(11 5099235),(12 5398427),(13 5812397.5),(14 6211897.5),(15 6620603.5),(16 6927251),(17 7168854.5),(18 7293839),(19 7328504),(20 7408191),(21 7653370.5),(22 7782427),(23 7772282.5),(24 7423328),(25 7151942.5),(26 7050317),(27 7058059),(28 7229148),(29 7492065),(30 7694025),(31 7900379.5),(32 8048850),(33 8255725),(34 8377230),(35 8561728),(36 8862664),(37 8874883),(38 8895190),(39 8777710),(40 8673489),(41 8816317),(42 8851288),(43 8928233),(44 9082678),(45 9175848),(46 9215354),(47 9252456),(48 9196696),(49 8951734),(50 8725375),(51 8521220),(52 8462173),(53 8624030),(54 8918072),(55 9202711),(56 9733450),(57 9970968),(58 10120146),(59 10179009),(60 10341304),(61 10686218),(62 11021890),(63 11335769),(64 11631955),(65 11815985),(66 12059841),(67 12229937),(68 12293048),(69 12409147),(70 12437867),(71 12520802),(72 12546494),(73 12642204),(74 12667221),(75 12868192),(76 12818080),(77 12559042),(78 12371546),(79 12228969),
(1 754070.3),(2 1634280.9),(3 2527220.5),(4 3300654),(5 3721934.8),(6 3971769),(7 4254422),(8 4449499.5),(9 4623535),(10 4904392),(11 5263874.5),(12 5665770),(13 6139991.5),(14 6523670),(15 6913442),(16 7182283),(17 7369949),(18 7450734),(19 7477866.5),(20 7695488),(21 8054121),(22 8315308.5),(23 8465170),(24 8312006),(25 8326351),(26 8345713),(27 8415409),(28 8411886),(29 8465691),(30 8482260),(31 8434841),(32 8376338),(33 8370730.5),(34 8310348.5),(35 8292288),(36 8261699.5),(37 8038531.5),(38 7847703),(39 7750087),(40 7703402),(41 7777252.5),(42 7824150),(43 7854730.5),(44 8022203.5),(45 8044723.5),(46 7999180.5),(47 8098144),(48 8130992),(49 8098906.5),(50 7969221.5),(51 7801734),(52 7786434),(53 7944439),(54 8176253.5),(55 8491547),(56 9006076),(57 9220437),(58 9456451),(59 9649937),(60 9867203),(61 10125399),(62 10416844),(63 10817226),(64 11047013),(65 11354260),(66 11599836),(67 11805380),(68 11782239),(69 11787909),(70 11752553),(71 11754094),(72 11557060),(73 11476768),(74 11373080),(75 11422750),(76 11434320),(77 11213311),(78 11035198),(79 10881867),
(1 667202.1),(2 1420620),(3 2215071.5),(4 2929720.8),(5 3341990),(6 3588330.5),(7 3753903.8),(8 3718051.8),(9 3710980.3),(10 3744954),(11 3852226.5),(12 4149869.3),(13 4410947),(14 4600788.5),(15 4700170.5),(16 4808231.5),(17 4863728),(18 4833219.5),(19 4842319),(20 4952244),(21 5226155.5),(22 5522621.5),(23 5796125.5),(24 5992595),(25 6169820.5),(26 6267821.5),(27 6526391.5),(28 6684260.5),(29 6979513),(30 7201477.5),(31 7411598),(32 7514838),(33 7723196.5),(34 7854325),(35 7923615),(36 7763707.5),(37 7739259),(38 7770780),(39 7952504.5),(40 7945301.5),(41 7959260),(42 7964885.5),(43 7952954.5),(44 8225960.5),(45 8336775.5),(46 8407139),(47 8502633),(48 8462400),(49 8462298),(50 8348353),(51 8155636.5),(52 8194469.5),(53 8215112.5),(54 8396104),(55 8510915),(56 8539239),(57 8563855),(58 8540872),(59 8525961),(60 8412142),(61 8389066),(62 8424523),(63 8524885),(64 8695765),(65 8832542),(66 8960467),(67 8952623),(68 8841702),(69 8758404),(70 8658142),(71 8697645),(72 8863979),(73 8848253),(74 8801787),(75 8676900),(76 8680746),(77 8662694),(78 8668002),(79 8643806),
