1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 22523.363),(2 41269.37),(3 45263.36),(4 47011.652),(5 50611.438),(6 55075.824),(7 57148.14),(8 57959.75),(9 60258.203),(10 62908.46),(11 64464.516),(12 65824.234),(13 65671.375),(14 66148.57),(15 65753),(16 66768.664),(17 67200.72),(18 67249.81),(19 67377.55),(20 68043.48),(21 68653.86),(22 67252.89),(23 66930.69),(24 68162.03),(25 68699.96),(26 68165.57),(27 68076.55),(28 68384.95),(29 68330.19),(30 68623.87),(31 67242.83),(32 67050.484),(33 67782.336),(34 69270.75),(35 69386.164),(36 69019.266),(37 68387.15),(38 68231.94),(39 69335.695),(40 70203.9),(41 70370.3),(42 69493.51),(43 68540.695),(44 68780.41),(45 68549.88),(46 69045.74),(47 68978.414),(48 70438.68),(49 73034.55),(50 73876.36),(51 76104.08),(52 77233.91),(53 77453.43),(54 77549.68),(55 76654.414),(56 75429.71),(57 75704.86),(58 75591.24),(59 74511.75),(60 73742.64),(61 74010.59),(62 73980.31),(63 73341.82),(64 72945.18),(65 72736),(66 72538.53),(67 72761.43),(68 73077.16),(69 72462.55),(70 71961.15),(71 71085.55),(72 71448.67),(73 72392),(74 71551.04),(75 71554.984),(76 70848.79),(77 70492.78),(78 70226.125),(79 70516.27),
(1 20866.615),(2 38871.55),(3 42642.7),(4 45411.527),(5 48386.6),(6 51254.9),(7 53218.547),(8 54999.45),(9 57600.31),(10 59010.11),(11 59290.453),(12 61123.6),(13 62208.586),(14 62540.04),(15 62160.074),(16 62718.016),(17 63030.777),(18 63852.57),(19 64359.406),(20 65389.875),(21 65834.97),(22 64693.363),(23 64153.004),(24 64440.184),(25 65456.645),(26 66355.99),(27 67228.234),(28 65930.484),(29 64578.39),(30 65322.133),(31 65223.246),(32 64647.145),(33 64393.83),(34 65411.23),(35 65424.832),(36 64540.7),(37 64548.207),(38 63538.766),(39 62614.9),(40 63023.3),(41 63687.918),(42 64342.45),(43 65333.69),(44 65688.3),(45 65430.734),(46 65200.855),(47 66182.05),(48 66542.31),(49 68381.52),(50 69970.89),(51 71724.81),(52 71223.5),(53 70794.46),(54 71258.46),(55 70931.69),(56 71328.195),(57 72291.484),(58 73695.36),(59 72685.01),(60 71646.46),(61 71930.555),(62 71193.69),(63 71870.7),(64 72607.664),(65 72595.27),(66 71670.53),(67 71411.08),(68 71403.38),(69 71289.9),(70 71498.484),(71 71245.58),(72 71717.48),(73 72619.73),(74 71775.16),(75 70685.91),(76 70238.68),(77 70604.28),(78 69250.3),(79 68416.586),
(1 20892.443),(2 38435.035),(3 42666.43),(4 45262.164),(5 49259.508),(6 52683.08),(7 54186.38),(8 55446.195),(9 58841.43),(10 61372.06),(11 61638.31),(12 63457.78),(13 64527.004),(14 64849.453),(15 63656.95),(16 63536.285),(17 63840.48),(18 64583.617),(19 64833.57),(20 65336.297),(21 65277.496),(22 63771.914),(23 63444.707),(24 65300.813),(25 66779),(26 66561.44),(27 67255.88),(28 67796.62),(29 67898.44),(30 68218.09),(31 67857.875),(32 68864.76),(33 68620),(34 68631.48),(35 68971.625),(36 69445.445),(37 69578.04),(38 68151.93),(39 67574.65),(40 68915.38),(41 69607.42),(42 69303.43),(43 68730.055),(44 68766.4),(45 68347.39),(46 67155.51),(47 67580.92),(48 68573.54),(49 70383.625),(50 72059.055),(51 73557.4),(52 73664.64),(53 73488.61),(54 73484.695),(55 72502.67),(56 71550.93),(57 71705.586),(58 72608.914),(59 71742.53),(60 70327.28),(61 70582.695),(62 69785.016),(63 69215.83),(64 68486.79),(65 68893.54),(66 69113.61),(67 68048.35),(68 68710.47),(69 68774.83),(70 69179.99),(71 69193.9),(72 69802.305),(73 70502.42),(74 69262.766),(75 68159.16),(76 67895.08),(77 67562.09),(78 66692.77),(79 65801.27),
(1 21001.498),(2 38100.523),(3 41368.684),(4 43817.414),(5 47014.76),(6 50147.938),(7 52427.56),(8 55426.105),(9 58379.56),(10 59740.797),(11 61123.99),(12 61872.266),(13 62122.055),(14 63022.676),(15 63426.816),(16 64154),(17 64332.29),(18 64075.082),(19 64465.063),(20 64479.063),(21 64372.938),(22 64189.457),(23 64920.758),(24 66006.625),(25 65829.82),(26 66354.695),(27 67444.945),(28 68202.63),(29 68501.805),(30 68539.83),(31 66745.914),(32 66480.125),(33 66478.61),(34 65885.445),(35 65957.04),(36 65507.52),(37 65142.297),(38 64778.453),(39 64972.52),(40 65392.227),(41 65181.977),(42 64348.09),(43 64431.418),(44 65427.71),(45 65212.27),(46 64881.758),(47 66006.06),(48 67489.2),(49 68696.63),(50 69567.79),(51 69925.05),(52 70317.516),(53 69813.46),(54 70444.664),(55 70996.31),(56 71709.66),(57 72319.1),(58 72304.67),(59 71632.23),(60 70996.59),(61 71473.37),(62 70375.13),(63 70163.945),(64 70030.03),(65 70553.48),(66 70708.39),(67 70645.18),(68 70250.98),(69 70234.2),(70 70697.63),(71 71344.05),(72 70361.33),(73 70397.91),(74 69732.45),(75 69134.95),(76 69248.74),(77 69427.164),(78 67937.44),(79 67497.97),
(1 20904.336),(2 38759.027),(3 41600.027),(4 42310.805),(5 45748.02),(6 48561.91),(7 50022.625),(8 51884.05),(9 53418.81),(10 53124.066),(11 54707.727),(12 56481.82),(13 56287.254),(14 56930.54),(15 57776.832),(16 57432.414),(17 56016.184),(18 56572.605),(19 57527.703),(20 58257.246),(21 59311.555),(22 59504.586),(23 60540.816),(24 61526.305),(25 62564.395),(26 62871.613),(27 62796.855),(28 63481.668),(29 63446.72),(30 62986.4),(31 62734.023),(32 62915.152),(33 62890.215),(34 62506.047),(35 62139.18),(36 62067.914),(37 62270.32),(38 62654.484),(39 63345.965),(40 63489.883),(41 63328.32),(42 62757.797),(43 62251.316),(44 62695.266),(45 62632.285),(46 62121.742),(47 61901.383),(48 63074.305),(49 64711.406),(50 65699.37),(51 66595.695),(52 66255.27),(53 65727.07),(54 66227.35),(55 67060.36),(56 67058.34),(57 67133.61),(58 67202.59),(59 66848.22),(60 66910.72),(61 66973.75),(62 66765.63),(63 67486.38),(64 66817.22),(65 66174.37),(66 66459.99),(67 65553.34),(68 65104.117),(69 65420.55),(70 65528.023),(71 65821.66),(72 65419.42),(73 65303.64),(74 63867.406),(75 63358.156),(76 62640.01),(77 62665.113),(78 62079.37),(79 61816.613),
(1 20107.035),(2 36674.32),(3 39615.254),(4 41236.344),(5 44504.49),(6 47806.68),(7 48822.754),(8 50371.805),(9 53447.664),(10 54022.453),(11 55861),(12 57350.633),(13 57220.223),(14 57476.152),(15 57220.83),(16 57791.273),(17 57876.426),(18 58298.027),(19 57391.457),(20 57939.8),(21 58195.168),(22 58386.633),(23 58440.406),(24 58249.715),(25 58988.926),(26 60217.508),(27 61377.313),(28 60788.61),(29 60098.24),(30 60483.86),(31 61573.766),(32 61527.38),(33 60592.71),(34 59902.168),(35 60182.88),(36 60045.016),(37 59991.543),(38 60207.664),(39 59603.95),(40 59413.28),(41 59233.918),(42 59167.04),(43 59368.05),(44 59298.75),(45 59015.91),(46 58973.44),(47 60126.81),(48 60726.145),(49 61839.063),(50 63301.973),(51 63559.625),(52 63746.574),(53 63707.12),(54 63692.715),(55 63275.418),(56 63840.703),(57 65008.39),(58 63609.71),(59 63289.87),(60 63086.39),(61 62873.9),(62 61557.043),(63 62034.96),(64 62522.965),(65 62983.68),(66 63441.934),(67 62891.19),(68 62290.023),(69 61488.44),(70 62538.418),(71 63214.27),(72 63130.523),(73 62749.063),(74 61689.12),(75 61128.414),(76 60404.3),(77 59666.35),(78 59266.152),(79 59735.004),
(1 19381.467),(2 35130.668),(3 37468.38),(4 40041.51),(5 43611.67),(6 46670.94),(7 48083.12),(8 50780.88),(9 53210.6),(10 54585.8),(11 56117.19),(12 57644.383),(13 58356.496),(14 58462.297),(15 58235.945),(16 59829.97),(17 60144.863),(18 60062.81),(19 60406.16),(20 61024.594),(21 61526.523),(22 60760.652),(23 61394.105),(24 61089.67),(25 60189.453),(26 60578.234),(27 61603.67),(28 61866.867),(29 61412.15),(30 60822.297),(31 60879.883),(32 60982.15),(33 60293.71),(34 59910.89),(35 60682.84),(36 61060.332),(37 61448.227),(38 61946.21),(39 62450.207),(40 62868.535),(41 62587.08),(42 61794.9),(43 60995.953),(44 61016.883),(45 60958.434),(46 61468.465),(47 62865.133),(48 63921.145),(49 64685.27),(50 65749.45),(51 65920.86),(52 66083.45),(53 66232.67),(54 67010.77),(55 66338.62),(56 66644.82),(57 66294.83),(58 66541.88),(59 66561.56),(60 66416.695),(61 66564.74),(62 65928.01),(63 65865.67),(64 65234.99),(65 64469.19),(66 64342.73),(67 64563.816),(68 64220.42),(69 63756.625),(70 64410.55),(71 63871.316),(72 63317.227),(73 63573.29),(74 62459.51),(75 61809.676),(76 60873.145),(77 60554.133),(78 59803.848),(79 59547.586),
(1 19163.293),(2 34557.29),(3 38202.383),(4 41252.47),(5 43207.27),(6 44926.69),(7 46950.188),(8 50068.82),(9 52624.406),(10 52917.45),(11 54411.586),(12 55812.41),(13 55645.727),(14 55617.684),(15 54322.62),(16 55260.46),(17 55690.22),(18 55851.51),(19 56271.043),(20 57427.586),(21 58261.137),(22 57457.113),(23 57242.3),(24 57219.105),(25 56870.316),(26 58823.066),(27 59375.594),(28 58873.344),(29 57694.59),(30 57500.05),(31 58063.66),(32 57824.613),(33 57124.715),(34 56919.563),(35 57769.305),(36 57079.38),(37 56528.297),(38 56407.77),(39 57346.19),(40 57738.258),(41 58531.727),(42 59101.97),(43 58341.207),(44 58451.703),(45 58279.08),(46 58225.082),(47 59457.098),(48 60737.066),(49 62537.258),(50 62750.633),(51 63759.438),(52 63848.97),(53 63858.94),(54 63966.277),(55 63507.973),(56 62674.023),(57 63168.7),(58 63248.742),(59 62352.18),(60 62078.18),(61 62170.4),(62 62142.617),(63 63002.504),(64 63292.617),(65 63746.547),(66 64463.125),(67 64368.3),(68 64141.867),(69 63995.55),(70 65418.18),(71 66116.52),(72 64760.383),(73 63938.19),(74 63866.33),(75 63524.668),(76 62945.055),(77 63390.46),(78 62860.207),(79 61906.586),
(1 19094.246),(2 33793.7),(3 36212.59),(4 39531.12),(5 42862.426),(6 44781.453),(7 45798.895),(8 48973.254),(9 51809.83),(10 52256.027),(11 54027.88),(12 55491.324),(13 55245.3),(14 55173.504),(15 55171.96),(16 55446.336),(17 55429.234),(18 55609.984),(19 56309.566),(20 55928.867),(21 55306.41),(22 54145.65),(23 54489.5),(24 55249.57),(25 56040.434),(26 57018.133),(27 57667.68),(28 57783.58),(29 57522.855),(30 57876.523),(31 57923.082),(32 58271.23),(33 57705.41),(34 57586.09),(35 57709.11),(36 57377.934),(37 56779.555),(38 56332.88),(39 56631.355),(40 56797.99),(41 57082.758),(42 57420.773),(43 57800.434),(44 57677.055),(45 58867.96),(46 58399.418),(47 58351.133),(48 59076.09),(49 60136.176),(50 61002.7),(51 62748.77),(52 63033.406),(53 63161.227),(54 63293.77),(55 63533.746),(56 62755.813),(57 62959.813),(58 63086.42),(59 63690.97),(60 63955.754),(61 63806.848),(62 62793.406),(63 62220.824),(64 61882.145),(65 61033.266),(66 60371.83),(67 59656.773),(68 59889.676),(69 59595.004),(70 60214.594),(71 60614.406),(72 59948.145),(73 60126.984),(74 59387.57),(75 59024.434),(76 59058.33),(77 59683.137),(78 59273.39),(79 58562.227),
(1 18272.578),(2 31762.043),(3 35128.58),(4 37712.152),(5 40566.445),(6 43258.44),(7 45153.14),(8 47219.18),(9 49934.44),(10 50861.125),(11 51565.234),(12 52410.617),(13 52868.25),(14 52782.07),(15 53349.086),(16 53665.52),(17 53569.297),(18 53979.703),(19 54618.49),(20 55127.453),(21 55468.11),(22 54792.855),(23 55555.75),(24 55889.406),(25 55096.54),(26 55308.406),(27 55728.28),(28 56061.254),(29 55051.313),(30 54827.13),(31 54824.3),(32 54522.7),(33 53415.496),(34 54017.04),(35 54393.945),(36 54086.01),(37 54450.094),(38 54953.676),(39 55665.46),(40 55805.453),(41 55680.766),(42 55491.32),(43 55799.33),(44 56272.11),(45 56614.99),(46 56262.043),(47 57199.73),(48 58294.285),(49 58234.156),(50 58698.914),(51 60644.73),(52 60580.17),(53 60692.87),(54 60436.848),(55 60221.113),(56 60238.844),(57 59875.59),(58 59907.945),(59 60975.11),(60 60880.336),(61 59628.227),(62 59299.832),(63 60390.18),(64 60434.984),(65 60118.73),(66 60045.297),(67 59713.734),(68 59838.48),(69 59105.46),(70 59052.066),(71 59776.883),(72 60019.242),(73 59903.945),(74 58885.277),(75 59460.117),(76 59309.934),(77 58682.82),(78 58812),(79 58366.773),
(1 17839.271),(2 30402.67),(3 33145.742),(4 36505.01),(5 39692.387),(6 43154.035),(7 45387.99),(8 47907.598),(9 50024.523),(10 51163.566),(11 52246.473),(12 52997.477),(13 52839.465),(14 52862.99),(15 51469.56),(16 51134.56),(17 50841.766),(18 51046.125),(19 51750.297),(20 52050.965),(21 52876.09),(22 52533.85),(23 52751.633),(24 54039.44),(25 53674.44),(26 54539.85),(27 54858.55),(28 54576.035),(29 54233.258),(30 55263.67),(31 54970.688),(32 54164.813),(33 53049.734),(34 52989.48),(35 53295.97),(36 52951.938),(37 54200.88),(38 54103.18),(39 53826.566),(40 54414.137),(41 54606.22),(42 53846.23),(43 53676.434),(44 54999.043),(45 55016.863),(46 54343.695),(47 54320.887),(48 54772.4),(49 54993.133),(50 55648.57),(51 57364.91),(52 57809.85),(53 58599.633),(54 58868.832),(55 59255.55),(56 57737.754),(57 58839.68),(58 59676.836),(59 59456.55),(60 58861.277),(61 59390.906),(62 58421.766),(63 58159.934),(64 58091.918),(65 57707.4),(66 58130.89),(67 59304.754),(68 59856.426),(69 59540.85),(70 59489.848),(71 58789.293),(72 58910.66),(73 59681.86),(74 59300.66),(75 60069.703),(76 59236.06),(77 59089.97),(78 60278.74),(79 60142.15),
(1 17123.385),(2 29285.922),(3 31376.828),(4 34231.707),(5 37050.934),(6 39761.355),(7 40943.73),(8 42162.92),(9 43768.363),(10 44299.86),(11 44573.44),(12 46063.734),(13 46966.62),(14 47075.17),(15 47284.703),(16 47796.934),(17 48327.766),(18 48782.453),(19 49521.28),(20 49374.207),(21 50076.594),(22 49632.402),(23 49604.387),(24 50804.637),(25 50283.535),(26 50464.95),(27 50658.125),(28 50669.625),(29 50301),(30 50397.44),(31 50360.72),(32 50032.01),(33 49393.188),(34 49280.785),(35 49774.457),(36 49096.277),(37 49187.73),(38 48611.543),(39 48603.3),(40 48884.293),(41 48968.168),(42 48857.746),(43 49102.61),(44 49044.5),(45 48710.047),(46 48850.168),(47 49806.766),(48 50881.78),(49 51724.543),(50 52751.78),(51 53478.03),(52 54749.496),(53 54959.55),(54 55384.234),(55 55514.074),(56 55154.38),(57 55508.387),(58 55937.566),(59 55341.7),(60 55898.88),(61 56537.55),(62 54903.406),(63 54530.48),(64 53530.41),(65 52708.043),(66 52265.465),(67 53040.625),(68 52877.363),(69 52878.47),(70 53434.5),(71 52970.36),(72 53404.063),(73 53886.016),(74 52728.64),(75 52949.01),(76 53102.58),(77 53011.246),(78 52841.563),(79 52710.17),
(1 16577.352),(2 27498.822),(3 29802.719),(4 32208.262),(5 34266.953),(6 36221.074),(7 37328.266),(8 39919.777),(9 41021.727),(10 41637.387),(11 42540.348),(12 43493.297),(13 42992.61),(14 43861.246),(15 43668.234),(16 44854.18),(17 45459.438),(18 45975.043),(19 45887.133),(20 46501.766),(21 48175.93),(22 47233.71),(23 46885.676),(24 47134.94),(25 47966.668),(26 47925.67),(27 47924.97),(28 47863.957),(29 47333.914),(30 47966.145),(31 48303.61),(32 47953.93),(33 47368.285),(34 46498.316),(35 46991.63),(36 48118.883),(37 48329.793),(38 47467.07),(39 47448.656),(40 47641.164),(41 47071.12),(42 46468.25),(43 46503.87),(44 47027.715),(45 47115.145),(46 46939.64),(47 46972.36),(48 47722.1),(49 48647.984),(50 49500.13),(51 50769.816),(52 51301.227),(53 51300.29),(54 51342.344),(55 51590.76),(56 51693.645),(57 52095.09),(58 52435.734),(59 52475.906),(60 52828.11),(61 52452.98),(62 52085.72),(63 52007.25),(64 51927.418),(65 51405.043),(66 51940.563),(67 52030.016),(68 52255.598),(69 52298.613),(70 52681.93),(71 52660.176),(72 52285.285),(73 52156.563),(74 51563.63),(75 52008.996),(76 52746.332),(77 52516.453),(78 52573.418),(79 52437.953),
(1 17747.115),(2 29544.535),(3 31090.947),(4 32775.17),(5 35164.61),(6 37111.25),(7 38646.477),(8 41429.227),(9 43292.574),(10 43265.496),(11 44425.49),(12 45046.363),(13 44910.266),(14 45225.063),(15 44915.477),(16 45349.7),(17 45258.98),(18 45965.105),(19 46503.074),(20 46512.3),(21 47154.67),(22 46882.203),(23 46933.03),(24 47501.22),(25 48126.78),(26 47777.582),(27 47228.14),(28 46623.04),(29 46535.41),(30 46716.19),(31 46899.25),(32 46705.35),(33 46510.38),(34 46306.402),(35 46499.16),(36 46592.395),(37 46708.53),(38 46366.77),(39 46866.816),(40 47581.523),(41 47204.62),(42 46865.953),(43 46529.523),(44 46567.402),(45 46577.637),(46 47258.85),(47 47937.69),(48 48900.277),(49 49929.133),(50 50982.31),(51 51760.332),(52 52026.004),(53 52142.496),(54 51839.13),(55 51529.813),(56 51526.242),(57 51362.176),(58 51727.46),(59 52442.58),(60 52918.508),(61 51930.082),(62 50799.94),(63 50747.3),(64 51419.668),(65 51366.15),(66 51319.438),(67 51694.004),(68 52658.715),(69 52688.02),(70 52350.62),(71 52827.938),(72 52748.406),(73 53102.074),(74 51551.42),(75 51856.445),(76 52548.367),(77 51920.535),(78 50343.723),(79 49248.94),
(1 16786.121),(2 27457.102),(3 29075.87),(4 30839.283),(5 32491.133),(6 34547.387),(7 36296.44),(8 38447.02),(9 39938.6),(10 40539.67),(11 41018.688),(12 42064.12),(13 42044.13),(14 41976.105),(15 41699.21),(16 42198.16),(17 42272.656),(18 43452.7),(19 44178.105),(20 44602.15),(21 45083.2),(22 44891.67),(23 45218.363),(24 45109.063),(25 45495.57),(26 45904.223),(27 46175.863),(28 45727.316),(29 45363.313),(30 45970.313),(31 45662.902),(32 45496.715),(33 44993.28),(34 45344.637),(35 45553.48),(36 46017.434),(37 46598.848),(38 46065.254),(39 45995.164),(40 45702.734),(41 45357.367),(42 44911.85),(43 44422.67),(44 44906.484),(45 45176.203),(46 45047.28),(47 46072.383),(48 47948.438),(49 49190.402),(50 50172.23),(51 50464.203),(52 50988.04),(53 51189.67),(54 50878.62),(55 50340.246),(56 50072.406),(57 49611.46),(58 49614.555),(59 49458.105),(60 49876.73),(61 49418.445),(62 49079.734),(63 49495.52),(64 49431.367),(65 49168.336),(66 48544.49),(67 48315.67),(68 47748.32),(69 47890.78),(70 49089.355),(71 49209.27),(72 48976.55),(73 48963.555),(74 49123.535),(75 49082.527),(76 49340.28),(77 49186.05),(78 48888.137),(79 48129.08),
(1 15855.147),(2 26035.451),(3 28787.031),(4 31201.871),(5 33091.83),(6 34338.5),(7 35914.39),(8 37709.383),(9 39893.586),(10 40863.902),(11 40565.625),(12 41412.543),(13 41400.96),(14 40492.863),(15 40059.867),(16 41251.023),(17 42103.527),(18 42589.875),(19 42302.71),(20 43621.023),(21 43979.35),(22 43867.086),(23 44645.844),(24 45191.7),(25 44486.965),(26 44313.22),(27 44710.008),(28 44365.16),(29 44789.945),(30 44461.734),(31 43774.383),(32 43112.055),(33 42903.59),(34 43856.88),(35 43940.043),(36 44452.08),(37 43914.176),(38 43904.348),(39 44289.508),(40 44048.453),(41 43111.457),(42 42222.066),(43 41935.406),(44 42662.957),(45 42403.117),(46 43178.25),(47 44384.773),(48 44873.344),(49 46861.824),(50 48358.406),(51 49573.305),(52 49245.137),(53 48639.137),(54 48791.86),(55 48923.934),(56 48459.883),(57 48065.504),(58 48139.367),(59 47771.363),(60 47706.445),(61 47658.74),(62 47129.477),(63 46865.313),(64 47002.957),(65 47191.305),(66 46833.188),(67 46932.56),(68 46444.41),(69 46461.473),(70 46877.02),(71 46732.145),(72 46613.406),(73 46447.273),(74 46172.18),(75 45610.7),(76 45652.63),(77 45776.973),(78 45812.344),(79 45497.88),
(1 15275.591),(2 25129.564),(3 28130.31),(4 30323.129),(5 31833.377),(6 33638.324),(7 35042.914),(8 37894.41),(9 39505.266),(10 39786.34),(11 40646.965),(12 42136.316),(13 41817.723),(14 41889.48),(15 41110.75),(16 42153.746),(17 42722.316),(18 43029.9),(19 43140.61),(20 43517.438),(21 43385.555),(22 42774.945),(23 43015.934),(24 42876.69),(25 43130.29),(26 43197.164),(27 42876.375),(28 42917.51),(29 42853.74),(30 43235.54),(31 43470.656),(32 43058.64),(33 42985.965),(34 43600.535),(35 43531.906),(36 43995.26),(37 44234.93),(38 43627.355),(39 43559.19),(40 44458.3),(41 43636.438),(42 42640.973),(43 42542.36),(44 43125.426),(45 42614.883),(46 42774.58),(47 44613.656),(48 45422.152),(49 46190.297),(50 47013.668),(51 47821.41),(52 48017.02),(53 48259.31),(54 48274.953),(55 48821.934),(56 49296.1),(57 48983.133),(58 48517.637),(59 48476.652),(60 48357.465),(61 48636.855),(62 48429.207),(63 48727.1),(64 48150.883),(65 48397.26),(66 48010.867),(67 47991.805),(68 48086.93),(69 47671.87),(70 48937.63),(71 49931.332),(72 49579.887),(73 49514.594),(74 48348.99),(75 48306.758),(76 47861.934),(77 47005.938),(78 46857.59),(79 46290.793),
(1 14880.118),(2 24208.35),(3 26241.96),(4 28377.434),(5 30075.557),(6 31510.691),(7 32759.727),(8 35348.688),(9 36173.97),(10 36160.652),(11 37133.36),(12 38290.125),(13 38578.004),(14 38281.266),(15 37966.656),(16 38331.316),(17 38997.94),(18 38964.844),(19 39075.316),(20 39541.402),(21 39585.113),(22 38536.297),(23 38763.91),(24 39041.297),(25 39378.26),(26 39457.977),(27 39818.477),(28 40172.543),(29 39534.64),(30 39625.188),(31 39398.402),(32 39468.563),(33 39520.4),(34 39368.65),(35 40105.957),(36 40174.31),(37 40181.285),(38 39655.44),(39 39470.34),(40 39488.27),(41 38822.19),(42 38223.96),(43 38162.13),(44 38788.508),(45 38604.598),(46 38751.586),(47 39767.582),(48 40949.02),(49 41292.973),(50 42307.01),(51 42643.664),(52 42969.082),(53 43586.34),(54 43618.81),(55 43561.21),(56 43024.516),(57 42861.62),(58 42953.383),(59 42516.316),(60 42199.023),(61 42097.79),(62 41475.74),(63 41770.465),(64 41833.39),(65 41775.33),(66 41578.355),(67 41689.734),(68 41750.33),(69 40835.09),(70 40956.29),(71 41269.09),(72 41740.797),(73 42207.023),(74 42051.145),(75 42058.055),(76 41310.902),(77 41438.47),(78 41427.664),(79 41747.35),
