1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 29807.273),(2 46726.996),(3 56420.457),(4 108486.6),(5 152124.1),(6 182224.58),(7 256431.83),(8 322961.38),(9 376313),(10 463311),(11 545706.2),(12 618210.25),(13 725891.8),(14 823888.8),(15 937183.56),(16 1081217.6),(17 1230891.4),(18 1385386.9),(19 1579262),(20 1777710.1),(21 1986709.4),(22 2222920.8),(23 2459717.3),(24 2698800.8),(25 2954277.3),(26 3212776),(27 3502232.8),(28 3764550.3),(29 4054100.8),(30 4315052.5),(31 4616947),(32 4931991.5),(33 5236949),(34 5547777),(35 5898172.5),(36 6221600),(37 6573413.5),(38 6915813.5),(39 7268889.5),(40 7587429.5),(41 7909030.5),(42 8232209.5),(43 8525872),(44 8867799),(45 9229535),(46 9631581),(47 10066707),(48 10512878),(49 10986741),(50 11461861),(51 11920425),(52 12392380),(53 12889636),(54 13322811),(55 13778089),(56 14220213),(57 14651901),(58 15123619),(59 15583837),(60 15972109),(61 16432396),(62 16888360),(63 17316284),(64 17718810),(65 18100826),(66 18446224),(67 18748710),(68 19020088),(69 19241400),(70 19442426),(71 19663610),(72 19850286),(73 20100926),(74 20323368),(75 20571586),(76 20835710),(77 21143750),(78 21442932),(79 21708304),
(1 23971.012),(2 46133.586),(3 68438.58),(4 127851.23),(5 183319.17),(6 237649.6),(7 332653.9),(8 427748.2),(9 522644.7),(10 666589.1),(11 809435.4),(12 963950.8),(13 1166999.6),(14 1343917.4),(15 1544940.6),(16 1793592.8),(17 2031901),(18 2291749.8),(19 2589688.8),(20 2879329),(21 3189732.8),(22 3559660.8),(23 3905356.8),(24 4264277.5),(25 4654613.5),(26 5021569.5),(27 5360217),(28 5746529),(29 6119809),(30 6492417),(31 6925698.5),(32 7356705),(33 7764873.5),(34 8220659),(35 8682024),(36 9123573),(37 9619334),(38 10113098),(39 10613982),(40 11156616),(41 11674878),(42 12219107),(43 12755478),(44 13268130),(45 13816283),(46 14435179),(47 15057136),(48 15721744),(49 16414320),(50 17107656),(51 17776670),(52 18444070),(53 19091442),(54 19692906),(55 20300640),(56 20869798),(57 21398790),(58 21973698),(59 22516122),(60 23025572),(61 23599782),(62 24156028),(63 24641248),(64 25127028),(65 25608672),(66 26089284),(67 26524298),(68 26935076),(69 27299366),(70 27687578),(71 28122608),(72 28558858),(73 29095738),(74 29630842),(75 30161904),(76 30744826),(77 31396800),(78 32092300),(79 32755452),
(1 18352.9),(2 48620.637),(3 91924.32),(4 163297.14),(5 241668.63),(6 332046.8),(7 454272.63),(8 583333.75),(9 722047.25),(10 899667),(11 1079822.1),(12 1273851.3),(13 1497225),(14 1705350.5),(15 1925235.6),(16 2168431.8),(17 2405490.3),(18 2662801.8),(19 2926925.3),(20 3191569.8),(21 3466108.3),(22 3768449),(23 4065717.3),(24 4371631),(25 4689455.5),(26 5003456.5),(27 5300981),(28 5637169.5),(29 5961897.5),(30 6291781.5),(31 6655749.5),(32 7023122),(33 7369876.5),(34 7738269.5),(35 8115402),(36 8464780),(37 8858024),(38 9264511),(39 9668495),(40 10114319),(41 10553380),(42 11019830),(43 11485831),(44 11925436),(45 12388671),(46 12881408),(47 13384319),(48 13888760),(49 14414981),(50 14939432),(51 15442403),(52 15920107),(53 16375108),(54 16779066),(55 17135992),(56 17463318),(57 17766532),(58 18057050),(59 18347528),(60 18631498),(61 18917934),(62 19201460),(63 19430738),(64 19643160),(65 19858414),(66 20039584),(67 20189118),(68 20326532),(69 20436910),(70 20506218),(71 20619474),(72 20737562),(73 20877810),(74 21025916),(75 21189150),(76 21383574),(77 21672310),(78 21963098),(79 22276780),
(1 21688.57),(2 74089.89),(3 158456.03),(4 278367.3),(5 430376.84),(6 610473.3),(7 830354.8),(8 1079739.4),(9 1354310.5),(10 1664225.8),(11 1999972.9),(12 2363541),(13 2761246.3),(14 3174964),(15 3601781.8),(16 4050753),(17 4527587.5),(18 5010992.5),(19 5497389),(20 6014418.5),(21 6547481),(22 7087214),(23 7651031),(24 8231431),(25 8819708),(26 9421744),(27 10064796),(28 10682639),(29 11299708),(30 11930817),(31 12583472),(32 13254588),(33 13907899),(34 14556153),(35 15225564),(36 15868048),(37 16544635),(38 17237262),(39 17926120),(40 18623826),(41 19330428),(42 20029638),(43 20735722),(44 21427148),(45 22100838),(46 22765880),(47 23463282),(48 24114240),(49 24773506),(50 25457832),(51 26114824),(52 26755642),(53 27398930),(54 28060806),(55 28687854),(56 29305730),(57 29944654),(58 30550748),(59 31146510),(60 31742968),(61 32329640),(62 32890582),(63 33452800),(64 33961410),(65 34438036),(66 34853860),(67 35219660),(68 35552980),(69 35860620),(70 36105900),(71 36359308),(72 36605996),(73 36871524),(74 37106064),(75 37281980),(76 37456536),(77 37633364),(78 37759260),(79 37838036),
(1 23642.693),(2 85317.66),(3 185820.52),(4 323428.8),(5 494895.9),(6 696437.06),(7 934157.8),(8 1202278.1),(9 1499717.9),(10 1818489.3),(11 2160012.8),(12 2528189.8),(13 2923478.5),(14 3324155.8),(15 3747733.8),(16 4182700.3),(17 4645441.5),(18 5119124.5),(19 5601664.5),(20 6096956.5),(21 6612603.5),(22 7134469),(23 7679016),(24 8232612.5),(25 8781796),(26 9339881),(27 9972441),(28 10579072),(29 11193196),(30 11828679),(31 12482720),(32 13159136),(33 13831737),(34 14497460),(35 15177014),(36 15833450),(37 16530428),(38 17232454),(39 17969136),(40 18719716),(41 19487432),(42 20264290),(43 21046292),(44 21832670),(45 22603724),(46 23365838),(47 24158606),(48 24939360),(49 25724172),(50 26517914),(51 27311674),(52 28089390),(53 28869710),(54 29694994),(55 30529118),(56 31353758),(57 32198232),(58 33012638),(59 33848224),(60 34724036),(61 35558124),(62 36354460),(63 37163256),(64 37930588),(65 38645260),(66 39284590),(67 39861276),(68 40457216),(69 41009764),(70 41522560),(71 42050050),(72 42569572),(73 43115460),(74 43621476),(75 44041348),(76 44442692),(77 44828310),(78 45145924),(79 45417724),
(1 28920.113),(2 108157),(3 237376.66),(4 414482.84),(5 634469.3),(6 897771.4),(7 1211064),(8 1560264.1),(9 1957681.8),(10 2390158.8),(11 2857891.5),(12 3346091.5),(13 3860586.5),(14 4386199.5),(15 4934342),(16 5495293),(17 6077793.5),(18 6672483.5),(19 7286149.5),(20 7907317.5),(21 8537924),(22 9185179),(23 9832792),(24 10481933),(25 11142902),(26 11791998),(27 12448035),(28 13111010),(29 13762058),(30 14404874),(31 15049834),(32 15664886),(33 16253362),(34 16825372),(35 17381472),(36 17919534),(37 18465896),(38 18982604),(39 19489972),(40 19976580),(41 20449362),(42 20897238),(43 21335840),(44 21738020),(45 22090624),(46 22416330),(47 22708166),(48 23002420),(49 23266848),(50 23495684),(51 23698284),(52 23901356),(53 24076884),(54 24237910),(55 24395782),(56 24530230),(57 24657330),(58 24766560),(59 24852724),(60 24918988),(61 24974596),(62 24982960),(63 24956534),(64 24921210),(65 24886920),(66 24800396),(67 24717550),(68 24656966),(69 24574962),(70 24528312),(71 24495280),(72 24458716),(73 24438956),(74 24396838),(75 24320284),(76 24265156),(77 24202296),(78 24111556),(79 24023158),
(1 22912.637),(2 84777.41),(3 183566.5),(4 316191.53),(5 478931.34),(6 671686.7),(7 894514.6),(8 1147325.5),(9 1426967.1),(10 1728779.4),(11 2054787.4),(12 2400441.8),(13 2764773),(14 3135186.5),(15 3516996.5),(16 3915501.8),(17 4319543.5),(18 4733317),(19 5150329),(20 5572014),(21 6002095.5),(22 6434056),(23 6881859),(24 7329515),(25 7779525.5),(26 8248386),(27 8729174),(28 9217995),(29 9718420),(30 10212115),(31 10701199),(32 11178714),(33 11626242),(34 12046148),(35 12460913),(36 12853831),(37 13239687),(38 13612153),(39 13971905),(40 14308345),(41 14628950),(42 14942449),(43 15233583),(44 15499797),(45 15746012),(46 15965938),(47 16162789),(48 16336288),(49 16477354),(50 16584625),(51 16668698),(52 16716967),(53 16759454),(54 16791166),(55 16808030),(56 16803060),(57 16794824),(58 16771770),(59 16725076),(60 16659632),(61 16580615),(62 16471595),(63 16357079),(64 16200340),(65 16059040),(66 15899086),(67 15712550),(68 15519513),(69 15339646),(70 15154236),(71 14982921),(72 14816866),(73 14658203),(74 14495797),(75 14310284),(76 14122580),(77 13948498),(78 13764642),(79 13573559),
(1 21325.283),(2 80126.414),(3 173733.33),(4 299681.9),(5 453074.6),(6 632850.8),(7 836160.7),(8 1060031.5),(9 1307844.3),(10 1570812),(11 1850001.9),(12 2149225),(13 2454973.8),(14 2768378.3),(15 3088955.5),(16 3410645.3),(17 3736608),(18 4064560),(19 4391667.5),(20 4722264.5),(21 5053217),(22 5374331.5),(23 5693438),(24 6000766.5),(25 6296267.5),(26 6587261.5),(27 6905241.5),(28 7200753),(29 7505545.5),(30 7805924.5),(31 8118978),(32 8425211),(33 8707151),(34 8976794),(35 9224250),(36 9469318),(37 9721254),(38 9961353),(39 10194298),(40 10429117),(41 10646674),(42 10841600),(43 11026473),(44 11200439),(45 11363100),(46 11513180),(47 11647708),(48 11748623),(49 11834405),(50 11881273),(51 11897602),(52 11871915),(53 11827024),(54 11764366),(55 11687340),(56 11585339),(57 11467597),(58 11339046),(59 11186399),(60 11014896),(61 10830658),(62 10615108),(63 10401999),(64 10176745),(65 9964032),(66 9759014),(67 9548876),(68 9337875),(69 9140844),(70 8952282),(71 8793417),(72 8646863),(73 8520180),(74 8408706),(75 8309405),(76 8211924.5),(77 8145703),(78 8105671),(79 8084959.5),
(1 27139.857),(2 103668.78),(3 226720.69),(4 394175.75),(5 597575.5),(6 840607.3),(7 1121404),(8 1433770.9),(9 1782648.5),(10 2163645.8),(11 2572207.8),(12 3008501.3),(13 3459858),(14 3925463.8),(15 4405485),(16 4886276.5),(17 5368621),(18 5847969.5),(19 6326310.5),(20 6784664.5),(21 7220831),(22 7621926.5),(23 7995526.5),(24 8333046.5),(25 8641118),(26 8921843),(27 9161512),(28 9371816),(29 9553888),(30 9696608),(31 9809290),(32 9880025),(33 9917832),(34 9925670),(35 9898604),(36 9841802),(37 9769223),(38 9673167),(39 9558901),(40 9424021),(41 9275452),(42 9095625),(43 8917971),(44 8738819),(45 8555479),(46 8381700.5),(47 8213684),(48 8052039.5),(49 7892896.5),(50 7734152),(51 7583768.5),(52 7442062),(53 7308700),(54 7184981.5),(55 7077888),(56 6979422),(57 6899033.5),(58 6823269),(59 6750517.5),(60 6683604),(61 6630900.5),(62 6583627.5),(63 6542228.5),(64 6505062.5),(65 6491520),(66 6494580),(67 6507161.5),(68 6529540),(69 6564535.5),(70 6607460),(71 6664040.5),(72 6720636.5),(73 6784869.5),(74 6858631.5),(75 6928249.5),(76 6988236),(77 7055289.5),(78 7128435),(79 7204064),
(1 27674.8),(2 106369.195),(3 232507.61),(4 403270.72),(5 614673),(6 866100.9),(7 1154003.1),(8 1471908.5),(9 1821382.6),(10 2197341.3),(11 2591576),(12 3004456.5),(13 3428291.5),(14 3855461.3),(15 4287949),(16 4721000.5),(17 5143057),(18 5557195.5),(19 5960551),(20 6338634.5),(21 6690167),(22 7008234),(23 7294828.5),(24 7547181.5),(25 7767375),(26 7959789.5),(27 8134090),(28 8274912),(29 8385190),(30 8452940),(31 8491771),(32 8493308),(33 8467455),(34 8409314),(35 8325160),(36 8211753),(37 8078918),(38 7919950),(39 7750228.5),(40 7556316.5),(41 7345773.5),(42 7117016),(43 6890781),(44 6661296),(45 6432220.5),(46 6208234),(47 5997298.5),(48 5781041),(49 5579722),(50 5382932.5),(51 5202527),(52 5039899.5),(53 4898394),(54 4781163.5),(55 4681286.5),(56 4596085),(57 4538985),(58 4501725),(59 4484994.5),(60 4490709.5),(61 4520491.5),(62 4569209),(63 4634132.5),(64 4715963.5),(65 4819116.5),(66 4936825.5),(67 5062621),(68 5192745.5),(69 5326401),(70 5457651),(71 5586958),(72 5708788),(73 5826900),(74 5936599.5),(75 6029211.5),(76 6105160),(77 6172613),(78 6225292.5),(79 6263728),
(1 21806.783),(2 81701.39),(3 176929.17),(4 304662.66),(5 459252.06),(6 646090.4),(7 860955.9),(8 1095486.6),(9 1355084.1),(10 1637129.5),(11 1933765.8),(12 2244767),(13 2560997.3),(14 2887957.3),(15 3218853.8),(16 3552102),(17 3883701.8),(18 4199700.5),(19 4519207.5),(20 4827916.5),(21 5128264.5),(22 5417164.5),(23 5692230.5),(24 5961094.5),(25 6210884.5),(26 6433748.5),(27 6669668),(28 6879853),(29 7065664.5),(30 7220242),(31 7346790.5),(32 7436130),(33 7493571.5),(34 7525315.5),(35 7528744.5),(36 7510365.5),(37 7462636),(38 7387463.5),(39 7288544),(40 7175156.5),(41 7048652),(42 6913647),(43 6762316),(44 6608196),(45 6450872),(46 6291062.5),(47 6141731.5),(48 5986895),(49 5832855),(50 5691719.5),(51 5572063),(52 5459777),(53 5378753.5),(54 5324568.5),(55 5292532),(56 5288812),(57 5316909),(58 5380816),(59 5465101),(60 5574422.5),(61 5701167),(62 5840198.5),(63 5997101),(64 6160643),(65 6336633),(66 6524240),(67 6716642),(68 6893058.5),(69 7067765.5),(70 7226269.5),(71 7359923),(72 7474611),(73 7586600),(74 7667693.5),(75 7725071.5),(76 7771145.5),(77 7798766.5),(78 7806384.5),(79 7798868.5),
