1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 124171.21),(2 446458.28),(3 927390.5),(4 1538924.6),(5 2229054),(6 3028812.8),(7 3971311),(8 5031117.5),(9 6109555.5),(10 7296722.5),(11 8627556),(12 10047987),(13 11618971),(14 13191757),(15 14883313),(16 16750383),(17 18710374),(18 20855872),(19 23048662),(20 25293574),(21 27556882),(22 29761408),(23 31969200),(24 33939732),(25 35755136),(26 37449684),(27 39006084),(28 40372530),(29 41378892),(30 42403780),(31 43433860),(32 44369956),(33 45162804),(34 45892092),(35 46630308),(36 47187360),(37 47622336),(38 47972172),(39 48184660),(40 48275588),(41 48379440),(42 48329580),(43 48449644),(44 48579276),(45 48978604),(46 49279076),(47 49785760),(48 50416140),(49 51157348),(50 52034060),(51 52830708),(52 53695710),(53 54918804),(54 56061076),(55 57262636),(56 58548356),(57 59900636),(58 61642068),(59 63668564),(60 65915950),(61 68126584),(62 70018936),(63 71793770),(64 74386840),(65 77341850),(66 80027976),(67 82445940),(68 85316740),(69 88230310),(70 91032280),(71 93939304),(72 96874376),(73 100470950),(74 104165920),(75 108189760),(76 112625530),(77 117424216),(78 122245120),(79 127183620),
(1 93812.766),(2 331746.3),(3 678779.5),(4 1109887.3),(5 1598034.1),(6 2127507.5),(7 2705460.5),(8 3330427.5),(9 3940163.3),(10 4575951),(11 5290457),(12 6073065.5),(13 6933451),(14 7790507),(15 8706853),(16 9682866),(17 10758502),(18 11969091),(19 13197134),(20 14394669),(21 15579864),(22 16605586),(23 17669756),(24 18680230),(25 19694838),(26 20712508),(27 21553842),(28 22097472),(29 22331274),(30 22816624),(31 23355418),(32 23849448),(33 24228328),(34 24474152),(35 24686676),(36 24813124),(37 24830422),(38 24846182),(39 24800134),(40 24683920),(41 24649742),(42 24615814),(43 24724988),(44 24873220),(45 25124506),(46 25291348),(47 25507508),(48 25850820),(49 26297238),(50 26849696),(51 27381492),(52 27915172),(53 28544288),(54 29090528),(55 29602928),(56 30146278),(57 30699098),(58 31312244),(59 31971852),(60 32709878),(61 33400186),(62 33993370),(63 34571988),(64 35239576),(65 35917850),(66 36474810),(67 36810470),(68 37304344),(69 37774464),(70 38243116),(71 38681590),(72 39114956),(73 39693064),(74 40308390),(75 41034580),(76 41950776),(77 42983412),(78 44028670),(79 45130230),
(1 88876.81),(2 321272.5),(3 665469.94),(4 1093159.1),(5 1575585.4),(6 2128993.3),(7 2727339.5),(8 3373155.3),(9 4038305.3),(10 4705686),(11 5386046),(12 6038304),(13 6688449.5),(14 7323500),(15 7913528),(16 8478027),(17 9053292),(18 9696421),(19 10330340),(20 10937161),(21 11539273),(22 12077169),(23 12624076),(24 13179867),(25 13732124),(26 14315507),(27 14919869),(28 15615917),(29 16322616),(30 17020006),(31 17682746),(32 18350478),(33 18960490),(34 19524222),(35 20069318),(36 20658694),(37 21278284),(38 21948488),(39 22564214),(40 23201846),(41 23864192),(42 24618422),(43 25522966),(44 26526952),(45 27701674),(46 28892102),(47 30124062),(48 31491486),(49 32854362),(50 34028350),(51 35107948),(52 36199196),(53 37331476),(54 38461244),(55 39570624),(56 40611644),(57 41623084),(58 42582044),(59 43528220),(60 44514668),(61 45387220),(62 46064564),(63 46662324),(64 47291556),(65 47762068),(66 48081220),(67 48323180),(68 48512240),(69 48542720),(70 48518816),(71 48456884),(72 48389204),(73 48475760),(74 48602452),(75 48792172),(76 49061170),(77 49329268),(78 49516270),(79 49860212),
(1 108328.54),(2 397675.6),(3 838802.25),(4 1419366.5),(5 2107309.3),(6 2911299),(7 3809772.5),(8 4790089),(9 5797098),(10 6890562.5),(11 8035821.5),(12 9250326),(13 10554148),(14 11899797),(15 13329892),(16 14844785),(17 16471204),(18 18190202),(19 19886616),(20 21692110),(21 23589254),(22 25465382),(23 27390742),(24 29405050),(25 31409714),(26 33455722),(27 35554450),(28 37704876),(29 39773776),(30 41839024),(31 43764216),(32 45526864),(33 47111708),(34 48580780),(35 49941170),(36 51197444),(37 52296430),(38 53223656),(39 53920936),(40 54527708),(41 55062960),(42 55559460),(43 56055560),(44 56578916),(45 57119796),(46 57563790),(47 57967004),(48 58377556),(49 58693268),(50 58893760),(51 59123924),(52 59398240),(53 59699630),(54 59987796),(55 60256156),(56 60530332),(57 60823880),(58 61227310),(59 61702530),(60 62324730),(61 63030470),(62 63787676),(63 64429212),(64 65125276),(65 65791140),(66 66373744),(67 66751916),(68 67143496),(69 67481890),(70 67745570),(71 68000030),(72 68351656),(73 68873304),(74 69553040),(75 70336960),(76 71174770),(77 72047784),(78 73020270),(79 73960270),
(1 133456.7),(2 493337.4),(3 1047156.4),(4 1763614.9),(5 2594532.8),(6 3526463.8),(7 4542968.5),(8 5629090.5),(9 6732518.5),(10 7900755),(11 9094345),(12 10356188),(13 11624726),(14 12829551),(15 13991904),(16 15129945),(17 16260608),(18 17373800),(19 18430536),(20 19469262),(21 20485988),(22 21524088),(23 22557984),(24 23586374),(25 24602642),(26 25569966),(27 26470188),(28 27247640),(29 27900398),(30 28532090),(31 29103602),(32 29544608),(33 29889676),(34 30161992),(35 30380858),(36 30536926),(37 30643654),(38 30705048),(39 30732602),(40 30702496),(41 30619522),(42 30497932),(43 30316038),(44 30167610),(45 30058392),(46 29877346),(47 29672550),(48 29507400),(49 29355406),(50 29124352),(51 28868366),(52 28594008),(53 28283464),(54 27965118),(55 27640786),(56 27331630),(57 27062694),(58 26819724),(59 26686650),(60 26658910),(61 26662458),(62 26577964),(63 26422464),(64 26382092),(65 26317186),(66 26147944),(67 25922152),(68 25789114),(69 25644856),(70 25475198),(71 25354924),(72 25299806),(73 25323806),(74 25448748),(75 25640486),(76 25936440),(77 26331822),(78 26818010),(79 27361704),
(1 116943.08),(2 432756.6),(3 911449.3),(4 1526535.3),(5 2230776),(6 3004692),(7 3832296.8),(8 4704908),(9 5604618.5),(10 6503225),(11 7370267),(12 8192706.5),(13 8952160),(14 9663672),(15 10327712),(16 10990742),(17 11656966),(18 12326046),(19 12986450),(20 13608390),(21 14220808),(22 14833824),(23 15452194),(24 16035603),(25 16607818),(26 17201172),(27 17813898),(28 18397964),(29 18937628),(30 19390472),(31 19824746),(32 20210248),(33 20551898),(34 20807562),(35 21046278),(36 21217324),(37 21373898),(38 21553930),(39 21750828),(40 21976778),(41 22239796),(42 22568124),(43 22922988),(44 23337706),(45 23750054),(46 24100012),(47 24386854),(48 24660324),(49 24941500),(50 25219580),(51 25446714),(52 25659164),(53 25841190),(54 26016650),(55 26214134),(56 26415248),(57 26629020),(58 26921012),(59 27202214),(60 27519590),(61 27936988),(62 28402532),(63 28857308),(64 29412550),(65 29991148),(66 30503668),(67 31060806),(68 31613068),(69 32064636),(70 32416970),(71 32664148),(72 32907318),(73 33131066),(74 33319516),(75 33471652),(76 33545466),(77 33614584),(78 33662970),(79 33751850),
(1 126141.57),(2 467784.13),(3 990921.4),(4 1656785.5),(5 2427416.5),(6 3281513),(7 4173333.5),(8 5114594),(9 6060133.5),(10 7015297),(11 7919757),(12 8718118),(13 9406641),(14 9999001),(15 10554724),(16 11090164),(17 11646329),(18 12191696),(19 12715554),(20 13205049),(21 13612416),(22 13961129),(23 14285271),(24 14632871),(25 15037358),(26 15486821),(27 15946235),(28 16365382),(29 16761570),(30 17148404),(31 17521108),(32 17849288),(33 18140192),(34 18391872),(35 18578658),(36 18694240),(37 18767402),(38 18840620),(39 18932804),(40 19037106),(41 19120900),(42 19197602),(43 19286876),(44 19399420),(45 19561038),(46 19697490),(47 19799134),(48 19873616),(49 19987214),(50 20109688),(51 20243276),(52 20412032),(53 20594664),(54 20786432),(55 21048802),(56 21279970),(57 21491650),(58 21692448),(59 21865778),(60 22014142),(61 22128704),(62 22206700),(63 22340520),(64 22546220),(65 22774190),(66 22970306),(67 23189122),(68 23460054),(69 23739224),(70 24074088),(71 24469116),(72 24913144),(73 25349066),(74 25721460),(75 26164820),(76 26592366),(77 27010244),(78 27474366),(79 27843646),
(1 118581.36),(2 441211.72),(3 922195.9),(4 1504903.8),(5 2156075.5),(6 2836907.8),(7 3527679.3),(8 4217616),(9 4898184),(10 5554338.5),(11 6179334),(12 6712569.5),(13 7170817),(14 7567987.5),(15 7919591.5),(16 8259390.5),(17 8632533),(18 8977370),(19 9313872),(20 9653422),(21 10004621),(22 10388874),(23 10786933),(24 11248137),(25 11772098),(26 12342273),(27 12925690),(28 13476413),(29 14017867),(30 14579377),(31 15137491),(32 15704541),(33 16290723),(34 16832518),(35 17303164),(36 17728304),(37 18147736),(38 18559718),(39 18970756),(40 19369484),(41 19750228),(42 20100406),(43 20427786),(44 20744704),(45 20996302),(46 21132830),(47 21255630),(48 21394254),(49 21560618),(50 21713870),(51 21843542),(52 21936738),(53 22006280),(54 22032362),(55 22035282),(56 22039062),(57 22062744),(58 22078502),(59 22132370),(60 22237942),(61 22432588),(62 22599084),(63 22737916),(64 23014382),(65 23299584),(66 23551992),(67 23892390),(68 24229358),(69 24554168),(70 24851270),(71 25112660),(72 25291488),(73 25397754),(74 25508374),(75 25645768),(76 25808090),(77 25901162),(78 25871854),(79 25713288),
(1 115692.78),(2 424602.88),(3 883662.7),(4 1458743.6),(5 2108929.5),(6 2806604.5),(7 3524710.5),(8 4255017.5),(9 4995399),(10 5718614.5),(11 6409310),(12 7002363.5),(13 7522970.5),(14 7998318),(15 8415266),(16 8804926),(17 9164196),(18 9504179),(19 9842395),(20 10144872),(21 10443151),(22 10745555),(23 11050904),(24 11328124),(25 11586648),(26 11834341),(27 12068971),(28 12276943),(29 12480610),(30 12723139),(31 12944699),(32 13118989),(33 13262805),(34 13372842),(35 13458304),(36 13551247),(37 13669834),(38 13831407),(39 14010501),(40 14203885),(41 14403029),(42 14628336),(43 14874040),(44 15148097),(45 15435434),(46 15677591),(47 15912028),(48 16153837),(49 16345483),(50 16469754),(51 16547770),(52 16563347),(53 16558955),(54 16512006),(55 16405630),(56 16263330),(57 16130697),(58 15994571),(59 15897756),(60 15814594),(61 15792830),(62 15793160),(63 15832162),(64 15888998),(65 15954696),(66 16054671),(67 16132538),(68 16213476),(69 16273094),(70 16256318),(71 16235667),(72 16184747),(73 16126458),(74 16073058),(75 16020226),(76 15952561),(77 15852047),(78 15698674),(79 15548930),
(1 131052.68),(2 483158.78),(3 1020770.9),(4 1727399.5),(5 2543455),(6 3449999.5),(7 4382325.5),(8 5362361),(9 6351674),(10 7301810.5),(11 8193374),(12 8995612),(13 9718651),(14 10410894),(15 11096581),(16 11776633),(17 12458574),(18 13135508),(19 13791150),(20 14379897),(21 14895741),(22 15372930),(23 15824558),(24 16248651),(25 16622667),(26 16969384),(27 17254258),(28 17448168),(29 17503260),(30 17531858),(31 17490440),(32 17351770),(33 17206748),(34 17057812),(35 16887682),(36 16675312),(37 16447577),(38 16184069),(39 15924868),(40 15680574),(41 15462084),(42 15306912),(43 15189284),(44 15116402),(45 15032020),(46 14903148),(47 14763181),(48 14635726),(49 14524483),(50 14454097),(51 14388346),(52 14360676),(53 14379691),(54 14401376),(55 14406998),(56 14431045),(57 14488423),(58 14576000),(59 14701700),(60 14841016),(61 15011842),(62 15191890),(63 15364843),(64 15565049),(65 15779897),(66 16043312),(67 16301365),(68 16581076),(69 16868082),(70 17158620),(71 17436798),(72 17677768),(73 17882062),(74 18029592),(75 18143048),(76 18233244),(77 18311968),(78 18404932),(79 18485750),
(1 130747.06),(2 480582.6),(3 1007682.5),(4 1666987),(5 2404430),(6 3179759.5),(7 3949560.5),(8 4720538.5),(9 5468136),(10 6135926.5),(11 6750977),(12 7313350.5),(13 7863621.5),(14 8407420),(15 8954909),(16 9503412),(17 10019757),(18 10546654),(19 11055674),(20 11486778),(21 11878808),(22 12193007),(23 12415171),(24 12524294),(25 12598469),(26 12691057),(27 12816671),(28 12970862),(29 13068518),(30 13163111),(31 13280378),(32 13379309),(33 13496653),(34 13600518),(35 13692651),(36 13726757),(37 13702112),(38 13584218),(39 13428854),(40 13264800),(41 13076872),(42 12885212),(43 12675898),(44 12487768),(45 12298776),(46 12123423),(47 12033762),(48 11980744),(49 11931380),(50 11856303),(51 11754950),(52 11616628),(53 11452303),(54 11271795),(55 11083359),(56 10939356),(57 10837031),(58 10768049),(59 10700898),(60 10648024),(61 10610787),(62 10584335),(63 10511684),(64 10457769),(65 10413132),(66 10372796),(67 10356540),(68 10339330),(69 10346792),(70 10408888),(71 10505621),(72 10633533),(73 10801612),(74 10956813),(75 11138644),(76 11330607),(77 11529491),(78 11725006),(79 11920151),
