1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 36247.12),(2 95772.6),(3 139326.67),(4 157208.42),(5 161448.14),(6 164529.06),(7 168628.22),(8 173967.77),(9 173034.06),(10 170670.06),(11 166259.7),(12 170103.47),(13 173575.33),(14 176436.44),(15 177585.25),(16 180773.73),(17 185217.5),(18 185247.56),(19 183510.69),(20 183440.19),(21 183575.11),(22 183952.44),(23 183087.52),(24 180400.78),(25 178570.58),(26 179254.97),(27 181358.13),(28 182303.72),(29 179332.55),(30 175925.83),(31 176217.94),(32 178548.64),(33 177414.9),(34 173458.31),(35 171989.39),(36 170317.13),(37 171902.34),(38 174319.63),(39 173908.95),(40 174806.61),(41 181018.56),(42 187703.7),(43 186506.22),(44 180829.61),(45 178196.23),(46 177603.31),(47 178900.23),(48 180368.83),(49 181367.11),(50 179386.14),(51 179863.1),(52 181316.73),(53 180131.39),(54 179298.42),(55 181060.81),(56 185133.27),(57 189219.44),(58 186674.55),(59 180539.23),(60 178074.08),(61 180722.56),(62 182903.05),(63 180465.3),(64 175384.48),(65 172388.55),(66 171433.69),(67 176389.61),(68 181314.03),(69 181116.55),(70 180494.78),(71 183271.11),(72 183880.27),(73 180358.88),(74 180080.53),(75 182188.8),(76 184648.11),(77 186050.23),(78 185213.44),(79 186857.72),
(1 33796.723),(2 88548.2),(3 129289.69),(4 147975.28),(5 157350.66),(6 160439.25),(7 160736.97),(8 163358.25),(9 166011.75),(10 168472.05),(11 167057.08),(12 166373.39),(13 167130.03),(14 168312.52),(15 168985.66),(16 170852.53),(17 175145.19),(18 178548.19),(19 176968.48),(20 176504.98),(21 177412.06),(22 176747.05),(23 178356),(24 180040.23),(25 181460.66),(26 181064.53),(27 178973.39),(28 180792.73),(29 180649.34),(30 182293.61),(31 180308.16),(32 176845.19),(33 175547.33),(34 174096.44),(35 172949.61),(36 176001.97),(37 178351.2),(38 175813.92),(39 172441.92),(40 172282.72),(41 172967.75),(42 174637.47),(43 179165.55),(44 183216.92),(45 180626.84),(46 174499.16),(47 171179.63),(48 169081.47),(49 166276.05),(50 167706.95),(51 170360.55),(52 171214.6),(53 171483.03),(54 174549.3),(55 178840.31),(56 177471.94),(57 172751.45),(58 169619.33),(59 170436.64),(60 171939.56),(61 174454.4),(62 174890.77),(63 173603.42),(64 172790.1),(65 170608),(66 169324.06),(67 169469.47),(68 167607.84),(69 167851.53),(70 168152.2),(71 169796.97),(72 171140.7),(73 173130.7),(74 177888.13),(75 181698.58),(76 182536.23),(77 182037.27),(78 182772.3),(79 185772.06),
(1 35539.39),(2 91375),(3 130642.77),(4 147619.81),(5 155178.17),(6 159873.3),(7 167571.08),(8 174262.86),(9 175057.63),(10 175686.81),(11 173901.72),(12 173836.9),(13 173598.77),(14 170910.67),(15 169585.42),(16 173170.67),(17 176172.06),(18 172829.81),(19 168860.03),(20 169378.4),(21 173187.19),(22 176331.27),(23 176730.03),(24 174363.94),(25 169786.48),(26 166029.2),(27 168233.5),(28 170371.02),(29 172167.1),(30 171613.13),(31 170831.7),(32 171403.44),(33 174050.16),(34 174829.63),(35 176287.25),(36 180205.3),(37 178594.47),(38 173370.19),(39 172364.55),(40 174454.55),(41 177252.16),(42 180939.61),(43 176908.06),(44 170075.77),(45 162880.81),(46 158245.73),(47 163778.48),(48 167475.98),(49 167719.94),(50 166255.4),(51 165886.94),(52 166967.2),(53 168314.39),(54 173009.72),(55 177872.3),(56 177208.4),(57 176690.94),(58 175972.89),(59 177834.45),(60 179510.33),(61 178653.03),(62 174490.39),(63 173159.92),(64 174514.88),(65 174996.39),(66 176312.56),(67 178064.08),(68 179654.23),(69 180244.38),(70 177706.13),(71 179092.27),(72 182263.81),(73 183786.38),(74 184112.17),(75 183855.1),(76 183944.06),(77 187854.63),(78 186789.3),(79 184871.27),
(1 34784.742),(2 90691.305),(3 127286.72),(4 140621.73),(5 146486.19),(6 149106.78),(7 153593.03),(8 160425.25),(9 165466.36),(10 163188.92),(11 157587.1),(12 157475.27),(13 161212.9),(14 161109.58),(15 163715.08),(16 170898.02),(17 175976.73),(18 174049.17),(19 170615.2),(20 170977.36),(21 173966.9),(22 175742.06),(23 173920.86),(24 170392.55),(25 165838.61),(26 166265.22),(27 166623.33),(28 166002.1),(29 166424.5),(30 167951.94),(31 167748.6),(32 163492.86),(33 159498.92),(34 157864.4),(35 160629.11),(36 164705.75),(37 165971.95),(38 162957.8),(39 163258.92),(40 167668.95),(41 170229.56),(42 170933.64),(43 170050.39),(44 168837.52),(45 166456.1),(46 165102.1),(47 164011.53),(48 163980.33),(49 163150.5),(50 163010.39),(51 163152.53),(52 163054.61),(53 164766.73),(54 171180.66),(55 175396.27),(56 173808.89),(57 171791.95),(58 170052.6),(59 166376.52),(60 164540.78),(61 166736.67),(62 168606.34),(63 167136.1),(64 167174.77),(65 166948.6),(66 165880.06),(67 163800.64),(68 164476.56),(69 164111.27),(70 162043.22),(71 163413.8),(72 167226.02),(73 171271.89),(74 173362.27),(75 172491.06),(76 170289.27),(77 170821.73),(78 170581.53),(79 172992.06),
(1 32847.53),(2 83045.62),(3 114128.13),(4 127953.836),(5 133601.55),(6 138854.38),(7 141965.53),(8 143730.84),(9 141811.61),(10 139716.81),(11 139087.53),(12 142791.67),(13 147542.39),(14 150098.02),(15 150152.64),(16 152387.69),(17 157673.75),(18 160394.78),(19 158947.61),(20 159907.84),(21 161160.88),(22 159775.45),(23 156624.63),(24 156509.83),(25 154816.86),(26 156263.66),(27 156789.63),(28 157329.34),(29 155535.92),(30 153314.75),(31 153343.23),(32 149164.52),(33 144977.88),(34 143268.92),(35 145421.33),(36 146957.63),(37 148523.83),(38 151031.25),(39 155701.72),(40 156372.6),(41 156009.64),(42 156255.52),(43 155739.89),(44 156005.33),(45 157261.73),(46 156206.77),(47 153646.64),(48 151798.19),(49 151595.05),(50 154371.16),(51 156161.2),(52 154214.7),(53 153917.06),(54 155445.63),(55 154877.25),(56 155285.05),(57 156272.17),(58 159983.61),(59 163602.03),(60 162958.06),(61 161134.11),(62 160849.3),(63 159860.23),(64 160719.2),(65 158876.81),(66 156076.94),(67 155969.47),(68 156167.06),(69 155199.5),(70 155056.92),(71 157408.28),(72 160978.69),(73 163113.23),(74 163466.27),(75 161876.02),(76 161295.06),(77 162614.67),(78 159535.11),(79 155782.4),
(1 32722.645),(2 82779.445),(3 114234.81),(4 126109.23),(5 132859.1),(6 136543.73),(7 139753.1),(8 140879.42),(9 139435.64),(10 139217.39),(11 139921.8),(12 140894.97),(13 144259.8),(14 146484.72),(15 149224.25),(16 152750.64),(17 155705.7),(18 154880.95),(19 154732.39),(20 158091.08),(21 157675.13),(22 153128.14),(23 150074.6),(24 152495.98),(25 156326.61),(26 155570.8),(27 153733.4),(28 153000.81),(29 152136.52),(30 153749.03),(31 153692.42),(32 152235.08),(33 151061.61),(34 149756.14),(35 147818.08),(36 145053.13),(37 144648.31),(38 147183.6),(39 148939.05),(40 146844.9),(41 146176.63),(42 148136.63),(43 149362.19),(44 152301.95),(45 150743.03),(46 147007.98),(47 143237.14),(48 143421.45),(49 146002.42),(50 149762.53),(51 154860.63),(52 158618.97),(53 156951.7),(54 155624.67),(55 155296.1),(56 155691.95),(57 153879.58),(58 152249.53),(59 152105.63),(60 150880.84),(61 149005.1),(62 148043.36),(63 144925.11),(64 140920.75),(65 136856.06),(66 138091.28),(67 140265.84),(68 141442.28),(69 143161.13),(70 146066.8),(71 149507.53),(72 150650.45),(73 149570.28),(74 147657.39),(75 147086.45),(76 147855.36),(77 148556.05),(78 148014.78),(79 149344.38),
(1 31903.193),(2 80323.16),(3 109294.47),(4 119382.61),(5 124954.414),(6 129743.125),(7 135734.16),(8 142501.77),(9 141643.6),(10 139971.83),(11 138842.53),(12 140320.78),(13 143811.39),(14 144287.61),(15 144058.56),(16 144927.42),(17 144064.11),(18 142912.77),(19 144718.5),(20 149647.16),(21 147193.89),(22 141547.1),(23 138748.47),(24 140491.55),(25 145083.34),(26 149172.8),(27 148012.36),(28 142701.06),(29 142332.95),(30 144499.06),(31 145132.95),(32 144884.36),(33 143437.75),(34 141742.58),(35 141900.39),(36 140954),(37 142638.72),(38 146074.06),(39 147347.56),(40 144372.23),(41 142951.22),(42 144670.73),(43 145049.81),(44 145237.27),(45 143023.3),(46 139568.16),(47 139654.69),(48 140852.67),(49 143585.4),(50 146662),(51 150326.6),(52 149926.5),(53 149426.22),(54 148330.66),(55 152296.89),(56 158369.5),(57 163883.56),(58 164950.2),(59 166977.06),(60 165253.25),(61 164061.86),(62 163699.05),(63 161672.64),(64 157789.14),(65 152875.69),(66 150308.42),(67 151840.1),(68 155626),(69 161040.7),(70 165978.8),(71 168038.92),(72 167768.36),(73 167458.69),(74 165036.56),(75 159468.89),(76 156459.3),(77 157563.42),(78 157302.64),(79 157641.19),
(1 31195.13),(2 76682.57),(3 102024.76),(4 106729.9),(5 106152.89),(6 108075.8),(7 113310.15),(8 120884.266),(9 124984.11),(10 123089.44),(11 118630.805),(12 120481.24),(13 124886.11),(14 125948.28),(15 129160.21),(16 132471.11),(17 131502.77),(18 131593.92),(19 133334.69),(20 137627.58),(21 139098.77),(22 135604.7),(23 131767.64),(24 128577.01),(25 130051.88),(26 131739.17),(27 130201.59),(28 129895.67),(29 129822.945),(30 128076.16),(31 124102.86),(32 121205.74),(33 119811.734),(34 120921.984),(35 122141.41),(36 123130.36),(37 124879.83),(38 126561.78),(39 125968.484),(40 123188.88),(41 121721.52),(42 123684.914),(43 124679.125),(44 126992.234),(45 128650.24),(46 127501.07),(47 127011.266),(48 129043.58),(49 129483.29),(50 127383.664),(51 128126.79),(52 132052.5),(53 131358.92),(54 131409.14),(55 131857.17),(56 133286.03),(57 135837.66),(58 138901.8),(59 139357.89),(60 138652.56),(61 140291.31),(62 139238.16),(63 135315.52),(64 134259.03),(65 134931.11),(66 135650.72),(67 135849.66),(68 136383.5),(69 136586.13),(70 136096.17),(71 136241.67),(72 135089.23),(73 133284.98),(74 133816.5),(75 134122.03),(76 134977.98),(77 135331.23),(78 133667.31),(79 132537.7),
(1 31269.232),(2 75525.445),(3 101076.88),(4 108314.56),(5 108108.9),(6 107445.89),(7 109316.69),(8 115348.805),(9 118129.8),(10 118185.41),(11 120209.05),(12 123752.625),(13 125109.055),(14 124134.445),(15 128669.375),(16 134855.05),(17 134839.81),(18 130444.516),(19 128803.02),(20 131682.66),(21 131899.64),(22 132324.13),(23 133716.31),(24 135229.28),(25 137327.88),(26 138054.88),(27 137475.02),(28 137545.77),(29 134900.78),(30 132327.42),(31 130746.56),(32 127772.12),(33 127326.766),(34 128811.84),(35 128908.23),(36 127501.945),(37 129675.1),(38 130768.32),(39 129477.25),(40 128693.95),(41 128967.5),(42 128867.84),(43 130379.39),(44 132657.36),(45 132575.23),(46 128089.164),(47 125197.9),(48 125602.7),(49 128195.2),(50 132237.55),(51 134413.83),(52 132694.86),(53 131414.44),(54 131587.67),(55 133963.83),(56 136376.22),(57 137428.56),(58 135944.64),(59 136868.28),(60 139576.83),(61 140089.4),(62 139074.28),(63 136102.14),(64 131594.34),(65 127389.5),(66 123255.3),(67 123190.766),(68 124371.33),(69 128640.64),(70 131855.67),(71 131385.75),(72 129581.31),(73 127302.27),(74 128262.5),(75 129597.13),(76 130715.2),(77 128792.23),(78 127551.5),(79 127981.23),
(1 29087.258),(2 69772.44),(3 92507.984),(4 101558.51),(5 106411.09),(6 106131.055),(7 108000.01),(8 113544.68),(9 117143.17),(10 118807.17),(11 120300.305),(12 123209.63),(13 123366.875),(14 121766.805),(15 123660.65),(16 126893.12),(17 126886.66),(18 126105.34),(19 128679.375),(20 132226.64),(21 131633.13),(22 131439.92),(23 131751.16),(24 131770.08),(25 130948.7),(26 130685.59),(27 130482.21),(28 131913.11),(29 130951.23),(30 128055.32),(31 127360.16),(32 126430.7),(33 125926.02),(34 124258.55),(35 122327.984),(36 122940.16),(37 125554.85),(38 122830.62),(39 120899.68),(40 118986.41),(41 117309.87),(42 118982.19),(43 118537.08),(44 121809.23),(45 124483.016),(46 125411.17),(47 125054.88),(48 123986.83),(49 123749.56),(50 125028.32),(51 126850.09),(52 123531.06),(53 124857.53),(54 126370.33),(55 128354.13),(56 129736.27),(57 131487.5),(58 133651.58),(59 135549.9),(60 135600.94),(61 136974.36),(62 139036.47),(63 137181.14),(64 134343.27),(65 128792.16),(66 124595.88),(67 124743.22),(68 124970.58),(69 124971.78),(70 123778.96),(71 124071.03),(72 124473.164),(73 124561.586),(74 124371.336),(75 123665.734),(76 125477.516),(77 129239.53),(78 127548.914),(79 124985.34),
(1 28418.764),(2 68483.5),(3 91564.8),(4 100512.77),(5 106029.32),(6 110815.01),(7 112310.625),(8 111552.35),(9 110041.76),(10 110997.68),(11 112112.28),(12 113227.586),(13 112758.055),(14 113571.234),(15 114082.85),(16 115811.03),(17 113707.89),(18 111702.79),(19 114471.734),(20 118926.49),(21 120317.17),(22 121441.875),(23 121754.63),(24 120760.01),(25 119867.74),(26 120324.27),(27 120027.89),(28 121145.766),(29 119052.55),(30 115958.32),(31 116240.74),(32 116600.17),(33 116047.41),(34 118624.99),(35 121057.53),(36 120388.11),(37 120520.305),(38 119107.164),(39 117754.62),(40 117844.72),(41 118642.34),(42 116466.93),(43 115721.42),(44 113777.086),(45 115145.625),(46 118335.66),(47 119365.98),(48 119518.59),(49 119890.97),(50 120636.79),(51 121071.89),(52 120478.54),(53 118112.21),(54 116550.266),(55 114891.336),(56 116189.875),(57 121252.09),(58 124850),(59 123601.875),(60 122294.625),(61 121359.125),(62 120312.875),(63 120061.016),(64 117677.96),(65 113904.586),(66 113799.36),(67 115841.03),(68 114982.48),(69 115295.78),(70 118100.484),(71 119038.65),(72 118858.05),(73 119563.93),(74 120575.79),(75 123171.375),(76 125257.2),(77 124720.79),(78 119929.07),(79 118776.05),
(1 29724.426),(2 72227.43),(3 96472.266),(4 105975.83),(5 111610.74),(6 114598.875),(7 116295.984),(8 119511.375),(9 119699.164),(10 120220.19),(11 121965.28),(12 124493.78),(13 124411.49),(14 122197.54),(15 120857.414),(16 119900.836),(17 115884.99),(18 113659.82),(19 115771.91),(20 118880.06),(21 118803.45),(22 118502.33),(23 119885.26),(24 123388.58),(25 124238.22),(26 123441.47),(27 125019.15),(28 128364.85),(29 128737.93),(30 125832.17),(31 124527.516),(32 124061.32),(33 123311.29),(34 123478.664),(35 124990),(36 124958.664),(37 125110.836),(38 124214.555),(39 125435.06),(40 126697.02),(41 125341.13),(42 124452.33),(43 124721.78),(44 122418.25),(45 120388.47),(46 121302.664),(47 123434.24),(48 126027.7),(49 126918.6),(50 128235.7),(51 126595.61),(52 125936.484),(53 127594.234),(54 127996.41),(55 125373.42),(56 123350.81),(57 124909.13),(58 126128.664),(59 126240.65),(60 126741.3),(61 123715.94),(62 122156.18),(63 122211.17),(64 122414.44),(65 123537.805),(66 124405.74),(67 123621.04),(68 121196.74),(69 120816.63),(70 120951.69),(71 122781.15),(72 125018.11),(73 126836.75),(74 127269.57),(75 127172.945),(76 127281.484),(77 127280.42),(78 124100.05),(79 122517.38),
(1 29374.014),(2 70372.63),(3 90558.24),(4 95141.54),(5 97763.31),(6 101230.53),(7 105291.5),(8 108865.88),(9 107688.46),(10 107146.07),(11 106963.79),(12 108162.734),(13 109294.73),(14 110241.45),(15 111182.58),(16 111910.92),(17 110048.766),(18 109756.03),(19 112861.055),(20 114433.58),(21 114432.4),(22 115823.195),(23 115642.66),(24 115786.55),(25 113748.55),(26 111655.766),(27 113621.805),(28 115854.56),(29 115514.03),(30 113255.695),(31 112209.87),(32 110050.52),(33 109765.016),(34 109007.945),(35 106559.89),(36 105164.81),(37 104455.414),(38 105961.2),(39 110204.98),(40 112017.945),(41 112007.29),(42 111472.695),(43 110238.18),(44 109542.98),(45 107531.14),(46 107731.44),(47 109837.1),(48 110391.01),(49 109027.7),(50 105852.55),(51 108001.17),(52 109535.836),(53 111498.086),(54 111595.21),(55 109721.34),(56 110858.234),(57 111090.59),(58 109046.1),(59 109661.695),(60 109999.75),(61 110401.52),(62 111938.37),(63 112533.9),(64 113281.65),(65 113929.54),(66 115724.766),(67 115028.93),(68 113465.59),(69 114928.37),(70 116187.61),(71 118317.984),(72 119573.33),(73 118631.766),(74 118041.75),(75 119515.234),(76 119413.2),(77 118852.98),(78 117600.6),(79 116849.6),
(1 28635.771),(2 68221.49),(3 89056.266),(4 94370.48),(5 94398.93),(6 93941.85),(7 96297.83),(8 101196.805),(9 102965.125),(10 102764.35),(11 102803.19),(12 106475.97),(13 108506.305),(14 107707.13),(15 107999.58),(16 107701.34),(17 107097.914),(18 108976.76),(19 109163.46),(20 107911.06),(21 109673.9),(22 112272.43),(23 113754.93),(24 113098.21),(25 110073.914),(26 107811.35),(27 111093.53),(28 111739.39),(29 110852.51),(30 111220.66),(31 111681.39),(32 111279.28),(33 112462.22),(34 112759.125),(35 111896.664),(36 108310.96),(37 107135.95),(38 107840.945),(39 109367.65),(40 109824.83),(41 109180.9),(42 109679.98),(43 108272.48),(44 107043.305),(45 106349.68),(46 107097.54),(47 108494.36),(48 107690.875),(49 105569.92),(50 103576.35),(51 104724.31),(52 106709.58),(53 106656.75),(54 107563.85),(55 108423.12),(56 109689.8),(57 109368.31),(58 108245.85),(59 107945.7),(60 107191.445),(61 108581.55),(62 109514.305),(63 108233.65),(64 108229.336),(65 107731.49),(66 109122.664),(67 111667.46),(68 111345.984),(69 110959.07),(70 110397.836),(71 112813.03),(72 115790.08),(73 114211.21),(74 112606.19),(75 112652.34),(76 113162.09),(77 111284.08),(78 109328.37),(79 109555.7),
(1 28825.193),(2 67667.234),(3 87152.36),(4 92292.086),(5 93780.94),(6 94102.086),(7 95484.6),(8 100011.02),(9 101955.64),(10 101161.71),(11 100530.7),(12 103132.69),(13 103630.82),(14 104900.766),(15 108302.48),(16 109091.555),(17 106851.914),(18 107324.05),(19 107911.31),(20 106304.98),(21 107156.89),(22 106866.03),(23 106524.41),(24 107361.055),(25 108248.24),(26 111403.57),(27 113422.97),(28 112178.33),(29 109501.56),(30 107637.61),(31 108402.52),(32 110037.086),(33 109294.45),(34 108309.53),(35 107993.11),(36 107944.69),(37 109641.65),(38 110832.13),(39 109419.28),(40 107945.27),(41 107525.59),(42 107620.92),(43 106753.05),(44 108055.13),(45 107338.23),(46 107010.65),(47 105407.11),(48 105015.06),(49 106527.44),(50 107392.99),(51 109550.56),(52 111374.87),(53 109956.48),(54 110162.67),(55 110067.5),(56 107732.086),(57 107934.93),(58 109491.48),(59 110471.85),(60 109170.05),(61 106495.984),(62 106791.91),(63 107388.31),(64 108044.24),(65 108513.42),(66 110723.266),(67 112413.32),(68 113504.36),(69 112243.88),(70 111705.02),(71 112600.13),(72 112103.12),(73 109399.484),(74 108616.71),(75 110082.945),(76 111214.336),(77 112300.375),(78 113246.664),(79 114765.88),
(1 25526.104),(2 60281.99),(3 78008.13),(4 82693.21),(5 83906.45),(6 84263.05),(7 86829.195),(8 90113.68),(9 91081.61),(10 93596.664),(11 97037.336),(12 98401.57),(13 96914.71),(14 95785.4),(15 96253.48),(16 94860.7),(17 92224.09),(18 91632.19),(19 91843.76),(20 94044.16),(21 96246.14),(22 96126.48),(23 96810.48),(24 97084.836),(25 97480.125),(26 96270.6),(27 95946.305),(28 94708.664),(29 94078.84),(30 95482.85),(31 94811.09),(32 91474.5),(33 92750.016),(34 95525.555),(35 96151.45),(36 95928.79),(37 95143.64),(38 97631.03),(39 99773.87),(40 100888.73),(41 99569.59),(42 98656.93),(43 97733.09),(44 97096.06),(45 98105.87),(46 98891.9),(47 98645.35),(48 100115.76),(49 101890),(50 101616.12),(51 102680.48),(52 102267.32),(53 100176.66),(54 99596.984),(55 99336.69),(56 98543.79),(57 99236.92),(58 99046.336),(59 98507.81),(60 98719.71),(61 98335.47),(62 99675.32),(63 98781.055),(64 97260.36),(65 96765.59),(66 97849.75),(67 98210.664),(68 99470.48),(69 100363.84),(70 100785.86),(71 101535.6),(72 101956.19),(73 102002.77),(74 102900.03),(75 104866.56),(76 105046.914),(77 105722.5),(78 105982.05),(79 107270.64),
(1 28580.188),(2 65811.93),(3 82418.16),(4 87993.84),(5 89575.08),(6 90402.18),(7 92500.94),(8 95172.85),(9 95821.49),(10 97717.67),(11 99447.57),(12 97944.15),(13 97167.63),(14 97532.72),(15 98871.95),(16 99365.24),(17 99500.33),(18 98465.414),(19 93560.73),(20 93306.18),(21 95812.164),(22 95995.734),(23 98327.92),(24 97740.3),(25 97495.46),(26 98316.41),(27 96758.28),(28 95547.72),(29 96714.336),(30 97218.15),(31 95963.75),(32 96783.086),(33 99182.516),(34 99426.31),(35 98164.75),(36 99513.68),(37 101843.73),(38 103410.97),(39 101397.914),(40 98349.06),(41 98697.69),(42 99946.56),(43 98990.37),(44 99991.18),(45 99813.64),(46 98401.58),(47 96937.31),(48 95964.37),(49 96129.05),(50 97455.29),(51 98262.9),(52 99121.836),(53 99650.34),(54 98129.34),(55 96748.79),(56 97623.67),(57 98599.58),(58 97981.03),(59 99474.43),(60 100717.61),(61 99992.54),(62 101026.414),(63 101759.39),(64 102150.8),(65 103038.96),(66 102176.266),(67 100622.13),(68 99352.34),(69 99754.91),(70 102104.39),(71 103634.25),(72 104141.92),(73 105852.77),(74 106346.59),(75 107877.54),(76 110126.984),(77 110951.94),(78 108770.14),(79 109305.586),
(1 25945.44),(2 59095.223),(3 74711.88),(4 81192.86),(5 81967.39),(6 81535.69),(7 84049.02),(8 86377.31),(9 86939.5),(10 87271),(11 88799.664),(12 90427.42),(13 90762.12),(14 89593.74),(15 90575.76),(16 90147.97),(17 91518.09),(18 91839.11),(19 89604.38),(20 89128.65),(21 90463.87),(22 92325.195),(23 95225.07),(24 96361.7),(25 96816.05),(26 98188.66),(27 96807.94),(28 92919.664),(29 91227.36),(30 91621.94),(31 92591.72),(32 93339.65),(33 94095.805),(34 93658.98),(35 94236.375),(36 95298.695),(37 94356.83),(38 93489.82),(39 92898.88),(40 90326.85),(41 90498.65),(42 92065.76),(43 92076.164),(44 93158.4),(45 92609.5),(46 94018.05),(47 93919.86),(48 92787.625),(49 93793.164),(50 94107.01),(51 92792.14),(52 93648.56),(53 95444.22),(54 94885.81),(55 93766.555),(56 93224.95),(57 92388.41),(58 92129.266),(59 92102.68),(60 93091.58),(61 94842.3),(62 95033.83),(63 93983.98),(64 92562.25),(65 92038.06),(66 91695.11),(67 93858.125),(68 94602.586),(69 94185.59),(70 93710.47),(71 94827.8),(72 96956.86),(73 98677.38),(74 97729.83),(75 97732.39),(76 101132.09),(77 102484.74),(78 98229.234),(79 96826.94),
