1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 6425.059),(2 8038.5605),(3 9457.889),(4 9899.915),(5 10056.343),(6 10550.504),(7 10811.498),(8 11026.072),(9 11609.936),(10 11658.459),(11 12005.36),(12 12305.964),(13 12856.657),(14 13224.74),(15 13430.903),(16 13651.985),(17 13588.518),(18 13575.989),(19 13846.494),(20 14088.007),(21 14215.274),(22 14378.364),(23 14275.68),(24 14542.544),(25 14572.98),(26 14631.095),(27 14517.518),(28 14577.159),(29 14278.011),(30 14368.918),(31 14587.589),(32 14553.876),(33 14538.617),(34 14429.471),(35 14462.496),(36 14330.215),(37 14163.248),(38 13815.087),(39 13776.266),(40 13693.34),(41 13674.315),(42 13777.586),(43 13631.788),(44 13411.353),(45 13398.139),(46 13559.781),(47 13537.0625),(48 13593.266),(49 13630.454),(50 13905.617),(51 13940.332),(52 14025.232),(53 13900.036),(54 13966.061),(55 13903.426),(56 13749.102),(57 13753.396),(58 13658.492),(59 13603.99),(60 13556.228),(61 13580.494),(62 13713.057),(63 13738.182),(64 13683.984),(65 13757.785),(66 13850.017),(67 13916.85),(68 14030.412),(69 14009.461),(70 14044.335),(71 13836.882),(72 13707.546),(73 13834.952),(74 13627.78),(75 13510.291),(76 13502.923),(77 13602.515),(78 13567.912),(79 13343.747),
(1 6076.977),(2 7604.168),(3 9006.376),(4 9274.66),(5 9339.281),(6 9842.217),(7 10167.733),(8 10578.891),(9 11096.517),(10 11239.939),(11 11492.585),(12 11878.605),(13 12279.773),(14 12713.67),(15 12773.413),(16 12873.705),(17 12994.426),(18 12952.456),(19 13053.936),(20 13306.699),(21 13374.564),(22 13511.846),(23 13578.69),(24 14014.939),(25 14130.058),(26 14090.465),(27 14051.636),(28 14184.483),(29 14259.849),(30 14328.117),(31 14417.052),(32 14483.463),(33 14470.307),(34 14364.676),(35 14199.123),(36 14157.174),(37 14041.362),(38 14131.727),(39 14006.838),(40 13837.29),(41 13873.442),(42 13887.699),(43 13615.518),(44 13660.992),(45 13601.049),(46 13521.58),(47 13585.577),(48 13626.056),(49 13455.73),(50 13510.558),(51 13284.576),(52 13318.371),(53 13434.778),(54 13679.729),(55 13764.334),(56 13839.687),(57 13777.322),(58 13748.031),(59 13481.382),(60 13341.526),(61 13423.639),(62 13433.508),(63 13405.378),(64 13372.468),(65 13229.776),(66 13169.264),(67 13111.099),(68 13037.929),(69 13094.989),(70 13233.881),(71 13181.141),(72 13092.609),(73 13079.383),(74 12987.623),(75 12854.567),(76 12926.21),(77 12696.557),(78 12490.028),(79 12480.73),
(1 6237.2163),(2 7567.0073),(3 8789.553),(4 8956.712),(5 9367.65),(6 9667.04),(7 10113.829),(8 10313.739),(9 10855.088),(10 10937.42),(11 11160.915),(12 11554.596),(13 11790.399),(14 11977.653),(15 12325.259),(16 12371.545),(17 12639.937),(18 12844.988),(19 13016.657),(20 13284.039),(21 13292.069),(22 13373.036),(23 13501.536),(24 13773.373),(25 13695.796),(26 13916.481),(27 14028.891),(28 13992.223),(29 14165.407),(30 14092.067),(31 14143.137),(32 14380.967),(33 14381.55),(34 14489.481),(35 14194.559),(36 14057.874),(37 13967.811),(38 13929.981),(39 13889.429),(40 13896.398),(41 13702.187),(42 13836.415),(43 13621.316),(44 13612.269),(45 13647.036),(46 13747.565),(47 13812.876),(48 13757.705),(49 13741.216),(50 13699.798),(51 13831.362),(52 13765.042),(53 13872.814),(54 13861.261),(55 13940.615),(56 13993.798),(57 13832.376),(58 13871.286),(59 13822.037),(60 13789.055),(61 13850.421),(62 13960.786),(63 14125.381),(64 14065.515),(65 14168.999),(66 14241.598),(67 14270.437),(68 14438.681),(69 14638.827),(70 14664.153),(71 14380.268),(72 14197.15),(73 14092.639),(74 14033.746),(75 13943.954),(76 14001.851),(77 13811.256),(78 13613.605),(79 13554.505),
(1 6164.6353),(2 7843.2515),(3 9116.918),(4 9563.549),(5 9839.65),(6 10291.05),(7 10603.916),(8 11002.929),(9 11605.997),(10 12034.176),(11 12469.352),(12 12825.093),(13 13375.221),(14 13753.14),(15 13984.518),(16 14173.164),(17 14405.561),(18 14634.121),(19 14734.987),(20 14767.293),(21 14830.307),(22 14902.118),(23 15000.03),(24 14956.756),(25 14934.363),(26 14949.621),(27 15059.532),(28 15066.733),(29 14997.456),(30 14917.412),(31 14755.881),(32 14786.764),(33 14886.518),(34 14817.048),(35 14824.597),(36 14599.212),(37 14230.541),(38 13976.143),(39 13866.4375),(40 14017.529),(41 13802.227),(42 13961.499),(43 13770.351),(44 13744.968),(45 13696.849),(46 13668.654),(47 13766.903),(48 13705.09),(49 13864.157),(50 13840.977),(51 14050.703),(52 14058.987),(53 14026.708),(54 14104.726),(55 14051.559),(56 13940.706),(57 13830.253),(58 13766.959),(59 13829.881),(60 13814.141),(61 13827.304),(62 13873.902),(63 13954.138),(64 13765.192),(65 13872.507),(66 13753.961),(67 13944.447),(68 13954.233),(69 14149.422),(70 14180.069),(71 14029.678),(72 13682.624),(73 13559.706),(74 13551.11),(75 13563.022),(76 13688.719),(77 13754.61),(78 13617.624),(79 13732.429),
(1 5875.6997),(2 7243.2134),(3 8391.272),(4 8726.878),(5 9051.877),(6 9342.03),(7 9629.349),(8 9808.09),(9 10395.779),(10 10592.718),(11 10886.771),(12 11110.966),(13 11489.128),(14 11726.654),(15 11944.092),(16 12150.238),(17 12356.104),(18 12481.066),(19 12556.788),(20 12679.976),(21 12690.045),(22 12827.892),(23 13035.806),(24 13177.5),(25 13173.723),(26 13349.423),(27 13464.536),(28 13557.041),(29 13297.038),(30 13191.3545),(31 13404.161),(32 13366.111),(33 13313.406),(34 13280.296),(35 13445.057),(36 13400.379),(37 13076.623),(38 12922.0205),(39 12724.592),(40 12840.049),(41 12702.002),(42 12647.185),(43 12696.796),(44 12691.915),(45 12601.244),(46 12572.581),(47 12485.333),(48 12524.096),(49 12549.405),(50 12284.877),(51 12375.493),(52 12436),(53 12563.968),(54 12427.154),(55 12318.793),(56 12154.929),(57 12298.006),(58 12135.882),(59 11996.013),(60 12018.923),(61 12164.233),(62 12088.724),(63 12063.387),(64 12079.103),(65 12099.86),(66 12081.392),(67 11994.117),(68 12201.386),(69 12289.972),(70 12190.86),(71 12413.37),(72 12415.12),(73 12399.309),(74 12282.607),(75 12262.158),(76 12220.18),(77 12274.162),(78 12238.24),(79 12154.169),
(1 5801.6357),(2 7060.431),(3 8150.1934),(4 8472.295),(5 8787.688),(6 8986.823),(7 9321.7),(8 9775.661),(9 10272.398),(10 10550.582),(11 10926.669),(12 11035.998),(13 11509.102),(14 11787.531),(15 12135.815),(16 12285.315),(17 12564.814),(18 12666.615),(19 12878.52),(20 12652.25),(21 12853.563),(22 13046.662),(23 13359.482),(24 13412.324),(25 13354.762),(26 13411.859),(27 13630.613),(28 13621.001),(29 13428.732),(30 13249.121),(31 13237.935),(32 13278.443),(33 13325.083),(34 13349.473),(35 13322.812),(36 13024.001),(37 12761.373),(38 12712.021),(39 12541.627),(40 12495.702),(41 12642.704),(42 12595.349),(43 12426.536),(44 12531.693),(45 12340.229),(46 12375.126),(47 12379.404),(48 12340.106),(49 12218.455),(50 12248.804),(51 12377.367),(52 12465.302),(53 12440.255),(54 12389.692),(55 12474.487),(56 12247.04),(57 12241.846),(58 12310.288),(59 12175.621),(60 12138.212),(61 12024.238),(62 12027.671),(63 12048.537),(64 12034.494),(65 12026.077),(66 12098.741),(67 12250.036),(68 12400.352),(69 12461.945),(70 12569.187),(71 12634.306),(72 12621.503),(73 12589.942),(74 12599.862),(75 12596.588),(76 12374.861),(77 12330.038),(78 12305.197),(79 12177.747),
(1 5457.566),(2 6980.101),(3 8025.0005),(4 8281.642),(5 8523.869),(6 8638.146),(7 9120.572),(8 9180.48),(9 9587.571),(10 9798.425),(11 10194.907),(12 10327.805),(13 10861.674),(14 11111.55),(15 11108.094),(16 11340.424),(17 11540.698),(18 11582.12),(19 11871.726),(20 12002.713),(21 12021.816),(22 12119.106),(23 12180.517),(24 12131.057),(25 12403.106),(26 12588.448),(27 12615.172),(28 12770.535),(29 12728.652),(30 12896.609),(31 12997.004),(32 12710.105),(33 12473.642),(34 12511.207),(35 12583.134),(36 12817.127),(37 12590.374),(38 12627.42),(39 12332.815),(40 12097.871),(41 12205.42),(42 12119.342),(43 12101.14),(44 12020.833),(45 12049.647),(46 12051.195),(47 12043.843),(48 11954.096),(49 11940.222),(50 11827.601),(51 11925.861),(52 11961.817),(53 12003.425),(54 11875.718),(55 11994.554),(56 12055.662),(57 12091.446),(58 11867.12),(59 11861.302),(60 11904.306),(61 12028.401),(62 11904.854),(63 11795.106),(64 11717.672),(65 11682.848),(66 11802.08),(67 12027.934),(68 12123.7295),(69 12222.479),(70 12236.536),(71 12302.231),(72 12123.544),(73 12158.392),(74 12253.047),(75 12018.5205),(76 11824.206),(77 11854.869),(78 11925.048),(79 11724.853),
(1 5644.705),(2 6762.9883),(3 7831.644),(4 8243.796),(5 8261.297),(6 8595.722),(7 8975.001),(8 9300.47),(9 9682.606),(10 10118.194),(11 10360.639),(12 10763.903),(13 11132.864),(14 11548.369),(15 11926.485),(16 12274.792),(17 12385.128),(18 12608.128),(19 12796.472),(20 12875.648),(21 13066.435),(22 13228.414),(23 13276.003),(24 13327.512),(25 13393.847),(26 13366.766),(27 13489.766),(28 13483.4795),(29 13406.885),(30 13390.448),(31 13343.858),(32 13265.756),(33 13237.227),(34 13222.177),(35 13223.495),(36 13058.387),(37 12673.401),(38 12509.089),(39 12490.342),(40 12377.281),(41 12316.451),(42 12251.157),(43 12121.25),(44 11958.519),(45 11952.065),(46 11857.843),(47 12088.675),(48 11951.174),(49 11874.038),(50 11939.539),(51 12106.908),(52 12141.887),(53 11993.052),(54 11818.12),(55 11981.675),(56 12092.881),(57 11975.07),(58 11672.252),(59 11643.204),(60 11469.402),(61 11420.982),(62 11609.806),(63 11581.624),(64 11399.621),(65 11380.476),(66 11513.576),(67 11724.448),(68 11660.677),(69 11640.035),(70 11657.383),(71 11680.453),(72 11714.424),(73 11735.409),(74 11719.847),(75 11622.83),(76 11368.72),(77 11381.89),(78 11362.205),(79 11495.909),
(1 5375.6274),(2 6573.7524),(3 7362.476),(4 7736.442),(5 7947.821),(6 8192.613),(7 8473.8125),(8 8656.944),(9 8892.028),(10 9239.6455),(11 9453.698),(12 9699.427),(13 10018.239),(14 10259.082),(15 10543.874),(16 10638.163),(17 10796.635),(18 10988.901),(19 11032.017),(20 11145.308),(21 11258.368),(22 11567.161),(23 11592.835),(24 11651.858),(25 11649.705),(26 11731.395),(27 11723.37),(28 11821.027),(29 11794.693),(30 11782.955),(31 11723.025),(32 11727.112),(33 11780.184),(34 11816.341),(35 11790.678),(36 11722.494),(37 11492.871),(38 11420.699),(39 11387.293),(40 11306.259),(41 11282.551),(42 11227.894),(43 11101.932),(44 11107.384),(45 11233.18),(46 11149.985),(47 11083.291),(48 11020.227),(49 11009.872),(50 11022.4375),(51 11024.615),(52 11007.947),(53 10922.679),(54 10911.188),(55 10949.344),(56 10895.943),(57 10972.636),(58 10988.948),(59 10891.169),(60 10843.436),(61 10791.83),(62 10888.581),(63 10718.891),(64 10712.441),(65 10751.315),(66 10797.158),(67 10829.975),(68 10868.664),(69 10904.308),(70 10931.815),(71 10924.645),(72 10748.496),(73 10780.355),(74 10794.173),(75 10801.113),(76 10706.124),(77 10688.773),(78 10531.141),(79 10420.126),
(1 5065.1133),(2 6465.895),(3 7349.7744),(4 7732.229),(5 7796.23),(6 8119.268),(7 8457.889),(8 8661.881),(9 9155.3),(10 9333.07),(11 9635.445),(12 9807.323),(13 10012.14),(14 10181.103),(15 10275.2705),(16 10403.727),(17 10544.683),(18 10799.898),(19 11079.324),(20 11119.041),(21 11201.233),(22 11224.123),(23 11270.838),(24 11364.366),(25 11299.64),(26 11474.8125),(27 11782.906),(28 11812.615),(29 11850.687),(30 11699.162),(31 11650.937),(32 11615.451),(33 11509.185),(34 11558.087),(35 11637.666),(36 11545.154),(37 11415.731),(38 11293.408),(39 11213.078),(40 11060.103),(41 10888.944),(42 10685.061),(43 10612.893),(44 10562.905),(45 10410.099),(46 10414.152),(47 10507.776),(48 10504.471),(49 10378.521),(50 10330.596),(51 10478.447),(52 10575.073),(53 10512.551),(54 10377.401),(55 10408.474),(56 10425.78),(57 10309.629),(58 10290.222),(59 10249.771),(60 10206.774),(61 10218.619),(62 10139.149),(63 10234.464),(64 10307.422),(65 10230.346),(66 10198.701),(67 10462.866),(68 10550.559),(69 10462.559),(70 10469.277),(71 10516.001),(72 10471.275),(73 10471.808),(74 10440.633),(75 10377.029),(76 10287.74),(77 10178.078),(78 10132.959),(79 10171.549),
(1 5265.55),(2 6393.981),(3 7249.975),(4 7640.998),(5 7876.439),(6 8022.3877),(7 8319.95),(8 8539.791),(9 9032.043),(10 9243.495),(11 9477.941),(12 9734.045),(13 10074.607),(14 10343.681),(15 10432.674),(16 10490.068),(17 10670.905),(18 10760.0205),(19 10787.411),(20 10895.22),(21 10878.505),(22 11135.701),(23 11210.238),(24 10979.691),(25 11053.941),(26 11085.957),(27 11280.498),(28 11335.013),(29 11404.762),(30 11405.607),(31 11259.343),(32 11227.986),(33 11164.244),(34 11184.22),(35 11280.338),(36 11215.391),(37 11055.79),(38 10857.658),(39 10729.397),(40 10664.763),(41 10677.071),(42 10549.552),(43 10412.942),(44 10406.229),(45 10439.291),(46 10460.27),(47 10565.4795),(48 10538.212),(49 10382.693),(50 10333.752),(51 10275.305),(52 10350.879),(53 10380.348),(54 10476.367),(55 10547.001),(56 10361.368),(57 10296.037),(58 10252.488),(59 10365.978),(60 10422.109),(61 10538.393),(62 10641.614),(63 10658.399),(64 10675.22),(65 10608.007),(66 10695.979),(67 10835.939),(68 10968.586),(69 11102.742),(70 11130.681),(71 11106.056),(72 11033.547),(73 11022.563),(74 11105.631),(75 11030.545),(76 10849.376),(77 10828.309),(78 10786.889),(79 10709.883),
(1 5114.728),(2 6275.5522),(3 7113.465),(4 7609.9663),(5 7831.007),(6 8002.7114),(7 8130.223),(8 8341.912),(9 8681.722),(10 8997.163),(11 9227.27),(12 9588.802),(13 9610.49),(14 9890.828),(15 10155.632),(16 10060.453),(17 10312.583),(18 10329.469),(19 10289.169),(20 10540.585),(21 10547.334),(22 10680.16),(23 10670.383),(24 10752.379),(25 10860.5),(26 10911.991),(27 11021.912),(28 11117.971),(29 11132.76),(30 11122.881),(31 11243.521),(32 11179.552),(33 11167.895),(34 11104.371),(35 11072.384),(36 10846.374),(37 10728.963),(38 10720.825),(39 10652.746),(40 10656.769),(41 10508.667),(42 10481.873),(43 10350.79),(44 10270.139),(45 10128.969),(46 10097.048),(47 10090.721),(48 9988.336),(49 10003.475),(50 9868.859),(51 10041.355),(52 9877.451),(53 9955.188),(54 9879.759),(55 9915.678),(56 9988.139),(57 10123.971),(58 9984.864),(59 9947.864),(60 10068.245),(61 9994.476),(62 10043.818),(63 10092.217),(64 10082.915),(65 10024.347),(66 10069.085),(67 10187.072),(68 10156.451),(69 10288.327),(70 10302.895),(71 10338.568),(72 10235.128),(73 10279.209),(74 10395.567),(75 10304.634),(76 10167.257),(77 10044.596),(78 9905.427),(79 9734.804),
(1 5154.021),(2 6316.4224),(3 7144.1226),(4 7573.0874),(5 7843.499),(6 8043.978),(7 8341.446),(8 8524.436),(9 8934.745),(10 9314.455),(11 9596.456),(12 9932.493),(13 10196.67),(14 10344.6045),(15 10637.885),(16 10800.121),(17 10978.482),(18 11158.887),(19 11205.528),(20 11418.779),(21 11599.796),(22 11672.854),(23 11713.29),(24 11773.993),(25 11676.417),(26 11774.488),(27 11862.641),(28 11756.743),(29 11750.113),(30 11364.902),(31 11370.679),(32 11373.072),(33 11396.6),(34 11271.712),(35 11134.691),(36 11019.873),(37 10921.351),(38 10939.602),(39 10894.341),(40 10860.333),(41 10666.387),(42 10613.622),(43 10618.163),(44 10626.253),(45 10409.46),(46 10314.196),(47 10201.22),(48 10157.236),(49 10119.496),(50 10106.473),(51 10243.318),(52 10019.167),(53 10014.515),(54 9975.628),(55 10090.102),(56 10090.446),(57 10190.516),(58 10084.724),(59 10161.907),(60 10207.743),(61 10066.352),(62 9873.376),(63 9862.474),(64 9956.355),(65 10020.353),(66 10028.587),(67 10022.347),(68 10010.583),(69 10085.367),(70 9977.555),(71 9984.787),(72 9886.779),(73 9933.738),(74 9878.96),(75 9872.035),(76 9721.413),(77 9672.577),(78 9680.764),(79 9635.96),
(1 4932.8477),(2 5980.8086),(3 6756.8955),(4 6956.6304),(5 7252.937),(6 7680.417),(7 7938.7783),(8 8240.7295),(9 8493.534),(10 8806.158),(11 9194.267),(12 9337.797),(13 9744.993),(14 9812.959),(15 10136.736),(16 10298.346),(17 10363.2705),(18 10558.9),(19 10645.542),(20 10545.197),(21 10665.986),(22 10795.038),(23 10795.96),(24 10845.425),(25 10810.8955),(26 10916.596),(27 10938.198),(28 11127.357),(29 11057.253),(30 10790.927),(31 10707.263),(32 10816.055),(33 10831.383),(34 10882.573),(35 10656.925),(36 10483.991),(37 10391.253),(38 10381.079),(39 10471.296),(40 10380.747),(41 10264.27),(42 10247.255),(43 10174.453),(44 10194.573),(45 10293.751),(46 10140.674),(47 10128.35),(48 10142.119),(49 10042.373),(50 9966.972),(51 10168.011),(52 10129.862),(53 9995.654),(54 9846.062),(55 9869.717),(56 9828.475),(57 9795.601),(58 9732.239),(59 9884.431),(60 9881.634),(61 9832.961),(62 9779.446),(63 9820.784),(64 9775.39),(65 9812.671),(66 9672.444),(67 9752.756),(68 9901.375),(69 9862.621),(70 9828.284),(71 9912.816),(72 9803.843),(73 9787.528),(74 9783.97),(75 9880.601),(76 9792.278),(77 9712.007),(78 9574.2295),(79 9633.431),
(1 4707.35),(2 5849.5933),(3 6572.6616),(4 6901.312),(5 7091.886),(6 7401.319),(7 7793.8096),(8 8140.015),(9 8364.304),(10 8738.929),(11 9090.484),(12 9266.419),(13 9678.463),(14 9881.87),(15 10030.3),(16 10109.615),(17 10222.126),(18 10413.79),(19 10668.395),(20 10727.267),(21 10681.59),(22 10654.406),(23 10887.418),(24 10663.51),(25 10581.561),(26 10608.04),(27 10618.136),(28 10614.192),(29 10556.42),(30 10496.592),(31 10329.055),(32 10248.463),(33 10212.395),(34 10074.36),(35 10120.169),(36 10002.722),(37 9875.286),(38 9953.859),(39 9808.165),(40 9674.231),(41 9619.225),(42 9678.966),(43 9661.2),(44 9599.129),(45 9614.388),(46 9536.549),(47 9430.074),(48 9438.846),(49 9308.559),(50 9291.55),(51 9343.055),(52 9256.947),(53 9123.265),(54 9192.086),(55 9256.642),(56 9386.147),(57 9305.656),(58 9268.04),(59 9274.785),(60 9026.784),(61 8983.849),(62 9108.505),(63 9124.268),(64 9150.437),(65 9194.397),(66 9158.072),(67 9137.835),(68 9096.923),(69 9092.728),(70 9224.859),(71 9236.593),(72 9138.139),(73 9156.505),(74 9149.753),(75 9214.3),(76 9128.33),(77 9099.261),(78 9040.662),(79 9125.613),
(1 4607.882),(2 5849.972),(3 6506.4517),(4 6855.919),(5 7159.396),(6 7296.8213),(7 7646.8936),(8 7864.0225),(9 8082.772),(10 8548.113),(11 8652.015),(12 8985.677),(13 9202.734),(14 9276.025),(15 9402.135),(16 9376.261),(17 9555.627),(18 9669.26),(19 9868.553),(20 9898.882),(21 10009.741),(22 10023.982),(23 10033.335),(24 10061.322),(25 9999.793),(26 9972.989),(27 9831.564),(28 9970.86),(29 9816.235),(30 9710.808),(31 9797.653),(32 9732.183),(33 9705.816),(34 9669.378),(35 9608.587),(36 9665.55),(37 9582.306),(38 9451.078),(39 9445.385),(40 9351.65),(41 9246.889),(42 9065.158),(43 9116.775),(44 9143.197),(45 9081.852),(46 8869.074),(47 8997.241),(48 8976.186),(49 9025.078),(50 9012.994),(51 9055.705),(52 8968.832),(53 8998.637),(54 9004.333),(55 9031.953),(56 8942.53),(57 8864.965),(58 8813.97),(59 8677.775),(60 8713.435),(61 8599.229),(62 8741.712),(63 8837.372),(64 8845.999),(65 9067.265),(66 9081.36),(67 9049.102),(68 9009.919),(69 9062.259),(70 9087.433),(71 9106.319),(72 9073.775),(73 9016.853),(74 9122.096),(75 9240.694),(76 9137.532),(77 9121.025),(78 9063.801),(79 8992.892),
(1 4671.044),(2 5669.4634),(3 6243.6694),(4 6606.4976),(5 6818.787),(6 7039.9614),(7 7495.48),(8 7705.2974),(9 7765.8325),(10 8139.8535),(11 8367.009),(12 8564.492),(13 8871.091),(14 9094.335),(15 9317.024),(16 9465.808),(17 9573.722),(18 9603.9375),(19 9759.32),(20 9943.433),(21 9937.284),(22 9873.11),(23 9934.846),(24 9893.549),(25 10056.033),(26 10102.357),(27 10057.831),(28 10056.183),(29 9990.069),(30 10098.263),(31 10086.751),(32 10215.028),(33 10150.823),(34 10123.888),(35 10137.843),(36 10084.109),(37 9998.732),(38 9824.085),(39 9700.719),(40 9667.213),(41 9626.025),(42 9482.085),(43 9474.026),(44 9344.694),(45 9315.411),(46 9417.894),(47 9355.084),(48 9288.785),(49 9250.411),(50 9269.436),(51 9313.257),(52 9330.733),(53 9403.258),(54 9457.414),(55 9537.419),(56 9648.04),(57 9513.691),(58 9629.498),(59 9532.509),(60 9494.641),(61 9452.198),(62 9437.89),(63 9431.934),(64 9521.68),(65 9572.466),(66 9636.67),(67 9762.237),(68 9799.71),(69 9944.99),(70 9949.773),(71 9873.555),(72 9779.21),(73 9822.403),(74 9830.808),(75 9783.764),(76 9666.176),(77 9526.882),(78 9455.392),(79 9491.69),
(1 4483.997),(2 5522.5796),(3 6171.344),(4 6444.4004),(5 6720.014),(6 6797.3823),(7 6991.129),(8 7208.3716),(9 7354.2266),(10 7693.566),(11 7965.42),(12 8193.141),(13 8420.737),(14 8675.029),(15 8822.391),(16 8886.487),(17 9027.595),(18 9175.375),(19 9214.133),(20 9266.272),(21 9320.783),(22 9273.218),(23 9383.908),(24 9476.805),(25 9345.919),(26 9383.13),(27 9363.394),(28 9452.769),(29 9352.214),(30 9253.543),(31 9227.768),(32 9179.009),(33 9159.668),(34 9205.988),(35 9316.522),(36 9395.659),(37 9236.995),(38 9097.348),(39 8980.506),(40 8871.463),(41 8945.476),(42 8801.039),(43 8612.406),(44 8607.603),(45 8491.261),(46 8593.301),(47 8634.316),(48 8562.48),(49 8498.656),(50 8434.231),(51 8351.513),(52 8327.657),(53 8396.146),(54 8366.426),(55 8417.231),(56 8412.201),(57 8283.128),(58 8224.165),(59 8292.794),(60 8184.108),(61 8260.171),(62 8349.9795),(63 8311.425),(64 8419.384),(65 8436.842),(66 8550.721),(67 8613.058),(68 8566.752),(69 8561.914),(70 8731.033),(71 8622.561),(72 8601.208),(73 8742.25),(74 8673.85),(75 8743.684),(76 8801.994),(77 8749.026),(78 8670.563),(79 8657.049),
