1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 6681.208),(2 20815.305),(3 35989.805),(4 48773.145),(5 58424.992),(6 65127.64),(7 69865.43),(8 72780.7),(9 75259.98),(10 77575.96),(11 80135.14),(12 82634.78),(13 84532.086),(14 85489.8),(15 85719.42),(16 85318.65),(17 84247.02),(18 83773.25),(19 83763.59),(20 84550.32),(21 85390.26),(22 86351.86),(23 86858.75),(24 87048.625),(25 86927.82),(26 86811.055),(27 86803.82),(28 87393.15),(29 88484.79),(30 89538.26),(31 90083.375),(32 90591.086),(33 90658.11),(34 90994.9),(35 91638.27),(36 91860.734),(37 92243.45),(38 92486.81),(39 92320.98),(40 91806.66),(41 90998.83),(42 90339.86),(43 90498.39),(44 91004.2),(45 91395.82),(46 91597.34),(47 91528.08),(48 91773.37),(49 92012.18),(50 92468.9),(51 93067.61),(52 94165.58),(53 95196.53),(54 96106.71),(55 97074.51),(56 97796.86),(57 98887.3),(58 99377.68),(59 99367.65),(60 98907.47),(61 98129.66),(62 97554.38),(63 97041.52),(64 97146.15),(65 97565.11),(66 97647.05),(67 97792.79),(68 97771.414),(69 97343.07),(70 96710.86),(71 96114.586),(72 95232.51),(73 94291.36),(74 93809.42),(75 93163.3),(76 92600.984),(77 92259.74),(78 91911.99),(79 91488.42),
(1 6876.3125),(2 21008.246),(3 35520.426),(4 47082.355),(5 55267.82),(6 61184.81),(7 65618.34),(8 68369.95),(9 70412.086),(10 72453.13),(11 75103.09),(12 77785.26),(13 80122.39),(14 82062.44),(15 83305.98),(16 83145.66),(17 82696),(18 82256.24),(19 82243.69),(20 82354.69),(21 82485.89),(22 82923.86),(23 82576.38),(24 82049.38),(25 81625.164),(26 80749.04),(27 79687.234),(28 78642.93),(29 77983.39),(30 78016.26),(31 78351.17),(32 79019.984),(33 79910.75),(34 81153.805),(35 83088.734),(36 85005.74),(37 86738.83),(38 88053.79),(39 88619.03),(40 88378.3),(41 88271.56),(42 88070.375),(43 88249.586),(44 88489.48),(45 88374.39),(46 88332.03),(47 88242.96),(48 88775.336),(49 89827.7),(50 91392.34),(51 92550.92),(52 93146.64),(53 94205.484),(54 94861.27),(55 95577.94),(56 96611.195),(57 97620.8),(58 98392.28),(59 99006.04),(60 99558.45),(61 99589.04),(62 98880.805),(63 97855.06),(64 97177.04),(65 96096.51),(66 94989.5),(67 93841.914),(68 92981.17),(69 92288.96),(70 91596.914),(71 91043.42),(72 90301.85),(73 90058.98),(74 89777.805),(75 89074.27),(76 88784.5),(77 88709.4),(78 88644.914),(79 88859.26),
(1 6777.45),(2 20839.682),(3 35290.016),(4 47255.39),(5 56030.27),(6 62303.215),(7 66432.12),(8 68860.07),(9 70658.38),(10 72388),(11 74758.3),(12 77261.086),(13 79112.32),(14 80488.69),(15 81273.73),(16 80807.73),(17 80209.19),(18 80164.62),(19 81074.42),(20 82572.766),(21 84075.914),(22 86044.45),(23 87626.28),(24 88261.55),(25 87772.56),(26 86581.85),(27 84815.35),(28 83204.18),(29 82181.586),(30 81523.82),(31 81095.47),(32 80899.85),(33 81008.25),(34 81611.35),(35 82155.74),(36 82032.914),(37 81946.445),(38 81960.32),(39 81404.695),(40 80649.94),(41 80200.93),(42 79695.18),(43 79007.18),(44 78143.55),(45 77272.34),(46 76711.41),(47 76692.83),(48 77247.83),(49 77892.46),(50 79158.86),(51 80462.086),(52 82160.52),(53 83930.086),(54 85218.01),(55 86389.92),(56 87490.914),(57 88194.49),(58 88523.74),(59 88472.08),(60 88131.21),(61 87599.516),(62 86740.49),(63 85624.734),(64 84758.26),(65 83943.14),(66 83455.33),(67 83442.49),(68 83303.73),(69 82897.22),(70 82554.5),(71 82322.26),(72 82597.64),(73 83056.34),(74 83155.7),(75 82401.875),(76 81449.3),(77 80396.43),(78 79623.1),(79 78931.85),
(1 6564.5127),(2 19904.207),(3 33608.492),(4 44823.363),(5 53577.14),(6 60063.266),(7 64302.055),(8 66871.58),(9 68597.86),(10 70322.664),(11 72045.31),(12 73799.15),(13 75297.86),(14 76231.195),(15 76712.336),(16 77314.21),(17 77928.87),(18 78626.75),(19 79832.26),(20 81044.984),(21 82063.45),(22 82998.31),(23 83104.78),(24 82220.805),(25 80914.7),(26 79268.47),(27 76915.64),(28 74610.36),(29 73114.67),(30 71649.41),(31 70652.15),(32 70370.97),(33 70810.14),(34 71062.54),(35 71320.01),(36 71339.11),(37 70990.03),(38 71016.21),(39 71308.36),(40 71597.77),(41 72104.91),(42 72796.74),(43 73312.94),(44 73274.36),(45 72690.56),(46 72141.63),(47 71636.56),(48 71550.78),(49 72101.35),(50 73596.766),(51 75507.37),(52 77286.914),(53 78464.58),(54 79130.71),(55 79408.89),(56 79505.42),(57 79354.64),(58 79444.35),(59 79652.68),(60 79311.35),(61 78895.93),(62 78392.31),(63 77842.055),(64 77493.26),(65 76812.82),(66 76342.06),(67 76208.914),(68 75816.9),(69 75494.055),(70 75493.73),(71 75552.57),(72 75854.86),(73 76421.29),(74 76396.66),(75 76019.336),(76 75557.24),(77 74683.305),(78 74349.99),(79 74013.414),
(1 6357.842),(2 19363.842),(3 32818.535),(4 43744.594),(5 51676.76),(6 57349.3),(7 61360.22),(8 64306.824),(9 67111.55),(10 69791.88),(11 72226.53),(12 74331.445),(13 75458.95),(14 76330.24),(15 77143.77),(16 77460.72),(17 77094.4),(18 76994.09),(19 77401.66),(20 78160.164),(21 79170.836),(22 79864.72),(23 79806.35),(24 79588.44),(25 78840.81),(26 77811.71),(27 76740.87),(28 75502.77),(29 75358.3),(30 75558.195),(31 75689.36),(32 75424.02),(33 75125.82),(34 74647.98),(35 74243.2),(36 73482.37),(37 73096.24),(38 73122.87),(39 73408.41),(40 73658.98),(41 73891.55),(42 74129.555),(43 73899.234),(44 73959.29),(45 74135.164),(46 74325.29),(47 74472.98),(48 75086.26),(49 76181.766),(50 77146.68),(51 77871.555),(52 77894.68),(53 77098.69),(54 76817.445),(55 76785.195),(56 76951.39),(57 77091.51),(58 77079.66),(59 77215.05),(60 76804.62),(61 75526.516),(62 73808.766),(63 72293.984),(64 70586.37),(65 69570.4),(66 68750.555),(67 67981.625),(68 67582.24),(69 67341.234),(70 67363.81),(71 68002.19),(72 68906.61),(73 70131.42),(74 71646.914),(75 72810.64),(76 73646.03),(77 74055.77),(78 74205.32),(79 74400.516),
(1 6272.464),(2 18976.195),(3 32257.654),(4 43105.414),(5 50850.96),(6 56173.555),(7 59953.92),(8 62357.91),(9 63969.863),(10 65398.258),(11 66923.71),(12 68689.33),(13 70617.32),(14 71650.336),(15 72204.234),(16 72305.88),(17 72628.43),(18 73541.81),(19 74587.2),(20 75213.35),(21 76208.63),(22 77614.73),(23 78491.87),(24 79043.19),(25 78759.19),(26 77552.57),(27 76042.36),(28 73845.984),(29 72157.836),(30 70739.37),(31 69822.05),(32 69894.28),(33 70294.06),(34 70940.55),(35 71946.59),(36 72787.82),(37 73691.35),(38 74973.46),(39 75745.61),(40 76265.92),(41 76853.54),(42 77069.31),(43 77378.09),(44 77840.63),(45 78481.38),(46 79107.8),(47 79057.72),(48 78627.23),(49 77634.35),(50 76075.664),(51 74416.984),(52 73167.914),(53 72871.82),(54 73516.93),(55 75278.75),(56 76933.125),(57 78228.46),(58 79197.945),(59 79361.7),(60 79004.16),(61 78539.086),(62 77785.98),(63 76703.38),(64 75997.51),(65 75574.49),(66 75212.375),(67 74835.086),(68 74492.164),(69 74286.59),(70 74146.72),(71 73792.89),(72 73701.086),(73 73915.805),(74 74144.85),(75 74074.65),(76 73810.94),(77 73374.43),(78 73548.984),(79 73871.17),
(1 6069.0024),(2 18442.084),(3 31099.887),(4 41102.574),(5 48085.883),(6 52788.81),(7 55969.043),(8 57753.754),(9 59562.72),(10 61153.754),(11 62782.74),(12 64262.145),(13 65197.508),(14 65343.207),(15 65195.63),(16 65197.22),(17 65790.41),(18 66693.91),(19 67812.055),(20 68774.234),(21 69192.305),(22 69334.47),(23 69209.234),(24 68744.49),(25 67998.086),(26 67360.766),(27 67450.65),(28 67348.1),(29 67762.32),(30 67751.53),(31 67563.23),(32 67337.336),(33 66772.99),(34 66039.47),(35 65370.074),(36 65425.164),(37 65957.805),(38 66812.86),(39 67131.586),(40 67693.69),(41 68145.53),(42 68847.234),(43 70041.7),(44 71140.766),(45 72232.67),(46 73149.14),(47 74339.4),(48 75460.15),(49 76066.39),(50 76468.88),(51 76651.91),(52 76822.52),(53 77031.836),(54 77394.61),(55 77602.52),(56 78284.53),(57 79088.38),(58 79250.15),(59 78949.53),(60 78202.53),(61 77307.914),(62 77053.97),(63 76565.08),(64 76057.34),(65 75395.75),(66 74642.516),(67 73792.125),(68 72817.695),(69 72131.11),(70 71829.99),(71 71576.086),(72 71353.62),(73 70499.625),(74 70192.234),(75 69966.27),(76 70087.36),(77 70741.81),(78 71939.92),(79 72630.28),
(1 6081.2134),(2 18409.18),(3 30605.355),(4 40038.69),(5 46639.6),(6 51058.695),(7 53873.973),(8 55561.824),(9 57050.797),(10 58390.72),(11 59753.49),(12 61364.477),(13 63292.836),(14 64603.332),(15 65264.523),(16 65468.574),(17 65817.39),(18 66755.75),(19 67849.805),(20 68943),(21 69620.94),(22 69596.81),(23 69118.78),(24 68051.89),(25 67215.7),(26 66466.06),(27 66414.766),(28 66544.49),(29 66523.22),(30 66327.016),(31 66143.336),(32 66021.9),(33 65906.48),(34 66173.65),(35 66499.91),(36 67103.78),(37 68016.04),(38 68807.4),(39 68869.98),(40 69490.64),(41 69920.66),(42 70365.3),(43 71061.34),(44 71866.96),(45 72573.75),(46 73653.91),(47 75070.14),(48 76313.48),(49 77326.62),(50 78301.74),(51 78597.79),(52 78877.9),(53 78579.74),(54 78189.234),(55 77403.49),(56 76809.54),(57 76589.01),(58 76375.01),(59 76276.29),(60 76081.086),(61 75966.95),(62 75557.14),(63 74831.055),(64 74234.26),(65 73572.695),(66 72541.41),(67 71547.46),(68 70537.125),(69 69641.086),(70 68607.63),(71 67672.77),(72 67245.52),(73 66559.19),(74 66145.01),(75 65724.13),(76 65422.836),(77 65433.844),(78 65169.008),(79 64711.613),
(1 6131.12),(2 18301.072),(3 29999.658),(4 38452.902),(5 44227.727),(6 47878.58),(7 49786.87),(8 50471.95),(9 51495.53),(10 52931.383),(11 54408.99),(12 55685.71),(13 56741.277),(14 57160.742),(15 57121.863),(16 57189.875),(17 57760.29),(18 58505.33),(19 59230.35),(20 60059.207),(21 60886.42),(22 61942.76),(23 62524.258),(24 62742.453),(25 63116.96),(26 63297.535),(27 63409.25),(28 63602.195),(29 63734.094),(30 63594.824),(31 63586.094),(32 63837.28),(33 64094.574),(34 64726.32),(35 65209.605),(36 65120.844),(37 65333.496),(38 65540.01),(39 65588.78),(40 66174.05),(41 66928.59),(42 67704.31),(43 68358.44),(44 69226.54),(45 69839.52),(46 70878.84),(47 71992.92),(48 72716.9),(49 73032.08),(50 72660.38),(51 72382.36),(52 72521.336),(53 73102.86),(54 73884),(55 74434.15),(56 75014.98),(57 75782.664),(58 76282.555),(59 76445.7),(60 76501.92),(61 76197.1),(62 75537.43),(63 74477.89),(64 73518.49),(65 72760.836),(66 72502.41),(67 72409.734),(68 72292.59),(69 71674.55),(70 70853.99),(71 69351.59),(72 67962.695),(73 66897.555),(74 65756.36),(75 64294.848),(76 62719.75),(77 61252.445),(78 59922.008),(79 58935.42),
(1 5814.9253),(2 17307.541),(3 28919.01),(4 37945.71),(5 44190.53),(6 48323.152),(7 50855.348),(8 52429.07),(9 53890.69),(10 55501.313),(11 57397.81),(12 58878.242),(13 59710.49),(14 60244.047),(15 60683.242),(16 60727.516),(17 60704.55),(18 61017.71),(19 61720.816),(20 62442.496),(21 63017.36),(22 63667.62),(23 63560.69),(24 63540.33),(25 63418.08),(26 63602.195),(27 64109.535),(28 64866.293),(29 65088.96),(30 65174.914),(31 65510.34),(32 65927.18),(33 66423.88),(34 67334.29),(35 68402.16),(36 69175.555),(37 70036.94),(38 70917.3),(39 71881.46),(40 72752.1),(41 73315.37),(42 73881.805),(43 74271.805),(44 74710.06),(45 75079.516),(46 75518.31),(47 76116.02),(48 76575.37),(49 76308.72),(50 75369.945),(51 74275.96),(52 73271.11),(53 72659.67),(54 72810.94),(55 73221.71),(56 73671.95),(57 74238.29),(58 74582.25),(59 74926.63),(60 75139.04),(61 75321.58),(62 75430.64),(63 75647),(64 75896.69),(65 76177.82),(66 76732.86),(67 77085.55),(68 76658.39),(69 75847.92),(70 74832.7),(71 73546.68),(72 72854.95),(73 71962.7),(74 71104.28),(75 70298.14),(76 69481.62),(77 69004.12),(78 68611.4),(79 68176.31),
(1 5795.0156),(2 17122.898),(3 28090.81),(4 36862.98),(5 42708.832),(6 46128.203),(7 48166.137),(8 49569.19),(9 51189.53),(10 53351.348),(11 55056.188),(12 56176.734),(13 56767.73),(14 57159.125),(15 57375.676),(16 57751.91),(17 58788.53),(18 59592.94),(19 60270.97),(20 60617.867),(21 60843.797),(22 61038.94),(23 61180.188),(24 61029.5),(25 60817.266),(26 60451.766),(27 60044.832),(28 60029.03),(29 60314.344),(30 60674.68),(31 61091.645),(32 61223.008),(33 61263.477),(34 61863.777),(35 62379.234),(36 62742.414),(37 62920.977),(38 63198.51),(39 63705.9),(40 64606.09),(41 65608.27),(42 66588.53),(43 67450.58),(44 68106.445),(45 68713.62),(46 68972.195),(47 69126.08),(48 68832.25),(49 68421.484),(50 68172.03),(51 68209.375),(52 68541.945),(53 69038.84),(54 69900.34),(55 70618.82),(56 70812.664),(57 70709.88),(58 70480.01),(59 70646.62),(60 70874.76),(61 71030.71),(62 70870.69),(63 70845.76),(64 70915.31),(65 70863.77),(66 70915.875),(67 70993.195),(68 70368.24),(69 69549.36),(70 68687.23),(71 67986.13),(72 67294.36),(73 66263.31),(74 65726.07),(75 65106.91),(76 64592.08),(77 64365.5),(78 64437.246),(79 64134.41),
(1 5834.334),(2 17383.336),(3 28916.188),(4 37422.95),(5 43064.793),(6 47066.246),(7 50091.34),(8 52195.59),(9 54109.78),(10 56115.434),(11 57620.16),(12 58283.316),(13 58066.504),(14 57409.23),(15 57085.934),(16 56912.96),(17 57484.582),(18 58136.95),(19 59131.395),(20 59706.953),(21 59914.04),(22 59832.734),(23 59678.99),(24 59335.8),(25 58952.207),(26 58784.6),(27 58458.813),(28 57969.11),(29 57583.805),(30 57352.297),(31 57592.465),(32 58410.457),(33 59443.375),(34 60839.535),(35 61867.84),(36 62154.75),(37 61610.06),(38 61077.82),(39 60677.547),(40 60812.03),(41 60953.336),(42 61453.066),(43 62115.91),(44 63012.09),(45 63751.473),(46 64567.88),(47 65156.07),(48 65426.414),(49 65632.484),(50 65643.945),(51 66000.98),(52 66540.31),(53 66607.35),(54 66770.79),(55 66569.84),(56 66190.63),(57 65862.55),(58 65943.06),(59 66382.46),(60 66581.67),(61 66546.92),(62 66353.945),(63 66565.54),(64 66736.57),(65 66791.02),(66 66638.445),(67 66405.42),(68 65963.51),(69 65478.15),(70 64781.246),(71 64030.6),(72 63163.168),(73 62213.547),(74 61957.29),(75 62162.06),(76 62483.16),(77 62762.93),(78 63012.457),(79 63034.684),
(1 5608.6533),(2 16625.277),(3 27067.27),(4 34972.62),(5 40525.844),(6 44774.34),(7 47351.637),(8 48791.86),(9 50142.617),(10 51891.617),(11 53417.23),(12 54534.492),(13 54914.023),(14 55326.383),(15 55281.83),(16 55070.094),(17 55468.84),(18 56333.676),(19 57514.402),(20 58587.69),(21 59439.793),(22 59654.496),(23 59038.313),(24 58202.266),(25 57350.527),(26 57141.727),(27 57471.047),(28 57399.395),(29 57059.47),(30 56931.125),(31 56613.254),(32 56504.36),(33 56402.492),(34 56694.703),(35 57189.813),(36 57796.78),(37 57893.54),(38 57230.965),(39 56449.668),(40 56059.883),(41 56131.605),(42 56597.035),(43 57493.273),(44 58546.543),(45 59631.254),(46 61094.332),(47 62105.45),(48 62507.184),(49 62327.07),(50 62326.184),(51 62556.59),(52 62585.848),(53 62549.69),(54 62923.355),(55 63075.797),(56 63020.676),(57 63151.61),(58 63300.94),(59 63429.434),(60 63426.55),(61 63030.414),(62 62788.32),(63 62359.824),(64 61744.87),(65 61226.23),(66 60934.438),(67 60879.848),(68 60983.008),(69 60872.055),(70 60477.816),(71 60068.734),(72 59821.977),(73 59605.07),(74 59727.746),(75 60111.9),(76 60387.3),(77 60419.082),(78 60597.355),(79 60985),
(1 5735.7593),(2 16866.676),(3 28062.123),(4 36794.43),(5 42918.082),(6 47229.297),(7 49931.715),(8 51492.79),(9 52812.37),(10 54324.13),(11 55517.49),(12 56541.758),(13 57014.16),(14 57166.98),(15 57158.344),(16 57200.777),(17 57798.863),(18 58466.938),(19 59425.938),(20 60304.508),(21 60590.215),(22 60672.605),(23 60058.977),(24 59404.375),(25 58474.297),(26 57590.65),(27 57156.99),(28 56933.094),(29 56781.938),(30 56665.094),(31 56473.777),(32 56561.746),(33 56731.68),(34 56479.555),(35 56459.156),(36 56565.48),(37 56826.52),(38 56860.457),(39 56890.68),(40 56871.617),(41 56808.29),(42 56881.87),(43 57016.023),(44 56906.55),(45 56967.418),(46 57269.066),(47 57462.137),(48 57646.863),(49 57927.406),(50 58129.17),(51 58038.13),(52 58097.84),(53 58082.586),(54 58276.273),(55 58677.95),(56 59209.746),(57 59756.566),(58 59823.563),(59 59958.914),(60 59717.53),(61 59319.36),(62 59067.426),(63 58478.758),(64 57687.277),(65 57352.777),(66 57447.51),(67 57597.05),(68 57669.957),(69 57481.598),(70 57468.184),(71 57676.52),(72 57969.363),(73 57860.086),(74 57410.49),(75 56988.746),(76 56877.508),(77 57284.684),(78 58025.242),(79 58675.938),
(1 5463.357),(2 16065.477),(3 26366.375),(4 34008.816),(5 38950.316),(6 42011.023),(7 43766.85),(8 45283.164),(9 46596.074),(10 47521.76),(11 48159.48),(12 48311.23),(13 48492.37),(14 48693.023),(15 48901.76),(16 49028.22),(17 49241.754),(18 49525.793),(19 50280.605),(20 51253.574),(21 51962.316),(22 52232.836),(23 51954.91),(24 51497.4),(25 51581.813),(26 51953.445),(27 52383.95),(28 52232.11),(29 52123.273),(30 52175.54),(31 52026.25),(32 52015.813),(33 52425.992),(34 52597.69),(35 52716.94),(36 53008.316),(37 53576.895),(38 54532.24),(39 55121.66),(40 55611.227),(41 55906.504),(42 56073.816),(43 56183.62),(44 56378.484),(45 56510.33),(46 56287.28),(47 55901.684),(48 55331.477),(49 55087.082),(50 55227.723),(51 55342.906),(52 55656.69),(53 55988.113),(54 56255.152),(55 56185.61),(56 56271.348),(57 56756.605),(58 56870.832),(59 56967.35),(60 56851.508),(61 56368.734),(62 55773.527),(63 55032.277),(64 54414.855),(65 53935.535),(66 53577.887),(67 53487.484),(68 53154.09),(69 52687.266),(70 52254.926),(71 52322.61),(72 52609.184),(73 52607.332),(74 52595.027),(75 52636.297),(76 52824.867),(77 52887.176),(78 53128.844),(79 53311.063),
(1 5615.482),(2 16704.588),(3 27617.271),(4 35724.504),(5 41177.832),(6 45080.25),(7 48006.19),(8 49787.32),(9 50910.41),(10 51851.684),(11 52357.883),(12 52129.355),(13 52052.527),(14 52045.76),(15 51970.42),(16 52105.24),(17 52472.53),(18 52835.016),(19 53382.645),(20 54014.637),(21 54151.098),(22 54114.867),(23 53704.14),(24 53225.2),(25 52672.6),(26 52679.438),(27 52908.797),(28 52864.2),(29 52965.93),(30 53506.742),(31 54218.46),(32 54819.53),(33 55180.62),(34 55336.098),(35 55140.285),(36 54620.42),(37 54508.246),(38 54553.86),(39 54809.65),(40 55321.695),(41 55866.973),(42 56579.11),(43 57509.926),(44 58338.293),(45 58949.867),(46 59289.098),(47 59080.445),(48 58751.813),(49 58742.25),(50 59085.375),(51 59424.832),(52 59359.598),(53 59278.59),(54 58777.52),(55 58103.156),(56 57624.938),(57 57420.81),(58 57184.766),(59 57164.203),(60 57033.504),(61 56734.34),(62 56325.727),(63 55813.93),(64 55448.95),(65 55471.227),(66 55528.21),(67 55731.656),(68 56116.656),(69 56281.59),(70 56232.023),(71 56175.145),(72 55978.73),(73 55510.984),(74 54962.695),(75 54470.95),(76 54019.52),(77 53540.06),(78 53038.984),(79 52765.566),
(1 5527.308),(2 16251.394),(3 26658.592),(4 34691.742),(5 40069.855),(6 43942.953),(7 46681.99),(8 48680.65),(9 50563.86),(10 52210.652),(11 53209.83),(12 53083.62),(13 52739.457),(14 52768.27),(15 53209.793),(16 53718.77),(17 54571.543),(18 55448.66),(19 55943.383),(20 56312.87),(21 56430.5),(22 56563.24),(23 56399.742),(24 56747.91),(25 57134.367),(26 57991.117),(27 58750.523),(28 59193.105),(29 59351.152),(30 59137.188),(31 59265.453),(32 59327.355),(33 59471.14),(34 59500.426),(35 59318.785),(36 58933.785),(37 58435.61),(38 58265.97),(39 58423.16),(40 58773.453),(41 59101.945),(42 59616.695),(43 60329.395),(44 60546.367),(45 60249.152),(46 59864.348),(47 59281.78),(48 58963.945),(49 58865.293),(50 58904.73),(51 59399.883),(52 59614.574),(53 59154.633),(54 58539.313),(55 58038.195),(56 57632.36),(57 57311.574),(58 56985.13),(59 56831.047),(60 56298.477),(61 55636.47),(62 55009.203),(63 54648.063),(64 54392.61),(65 54297.586),(66 54134.51),(67 53885.773),(68 53688.78),(69 53547.426),(70 53532.53),(71 53787.258),(72 53756.51),(73 53342.01),(74 53001.152),(75 52517.09),(76 52086.676),(77 51759.555),(78 51395.793),(79 51156.25),
(1 5473.4146),(2 16019.803),(3 26038.623),(4 33473.34),(5 38539.457),(6 41854.027),(7 43940.406),(8 45710.664),(9 47274.277),(10 48314.887),(11 48842.926),(12 48897.79),(13 48973.855),(14 49362.36),(15 49880.23),(16 50355.44),(17 51132.96),(18 52106.15),(19 52974.234),(20 53755.496),(21 53912.54),(22 53719.246),(23 53071.863),(24 52560.973),(25 52409.58),(26 52900.09),(27 53444.668),(28 53687.715),(29 53128.395),(30 52369.176),(31 51781.836),(32 51549.418),(33 51763.652),(34 52103.43),(35 52231.42),(36 52131.74),(37 52271.703),(38 52403.46),(39 53095.688),(40 54330.76),(41 55709.875),(42 57193.973),(43 58200.195),(44 58519.06),(45 58338.527),(46 57894.91),(47 57450.91),(48 57108.914),(49 56651.37),(50 56175.688),(51 55740.457),(52 55491.53),(53 55042.418),(54 54555.11),(55 54153.836),(56 54093.887),(57 54187.37),(58 54049.72),(59 54295.75),(60 54300.504),(61 54529.41),(62 54873.484),(63 54959.57),(64 54859.965),(65 54627.26),(66 54538.43),(67 54243.555),(68 54200.324),(69 54384.367),(70 54930.54),(71 55464.28),(72 55673.223),(73 55587.367),(74 55480.836),(75 55062.824),(76 54274.01),(77 53385.21),(78 52535.508),(79 51629.04),
