1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27426.09),(2 47326.945),(3 55613.45),(4 66220.38),(5 68813.12),(6 70711.76),(7 67280.195),(8 67408.47),(9 73104.94),(10 73283.58),(11 72242.59),(12 72683.21),(13 71375.23),(14 72696.38),(15 72852.82),(16 74224.45),(17 76213.87),(18 78831.2),(19 81670.84),(20 84083.71),(21 84055.04),(22 83832.15),(23 85697.664),(24 85904.84),(25 87181.01),(26 89462.86),(27 87043.33),(28 85980.92),(29 85118.234),(30 83190.36),(31 85198.13),(32 84777.7),(33 83049.83),(34 87107.336),(35 84954.99),(36 83224.484),(37 83244.984),(38 85751.81),(39 87361.87),(40 89851.19),(41 90360.22),(42 90251.06),(43 87674.67),(44 85321.06),(45 87608.68),(46 89283.47),(47 92125.01),(48 92302.27),(49 92934.33),(50 94587.91),(51 95523.67),(52 94446.1),(53 95733.83),(54 94689.516),(55 94593.77),(56 95283.88),(57 93781.16),(58 95214.84),(59 94917.09),(60 94494.664),(61 94741.08),(62 94371.984),(63 97505.49),(64 99432.62),(65 100297.33),(66 100998.15),(67 99679.21),(68 98843.92),(69 100030.38),(70 103370.875),(71 105296.3),(72 106032.38),(73 106254),(74 104919.47),(75 103235.69),(76 104823.71),(77 107708.57),(78 109818.336),(79 110842.08),
(1 26108.994),(2 44409.508),(3 53072.707),(4 63133.313),(5 63543.484),(6 63373.816),(7 60048.383),(8 60369.63),(9 65432.438),(10 64731.53),(11 64235.617),(12 65456.223),(13 65606.016),(14 67280.195),(15 67455.9),(16 68157.984),(17 69182.2),(18 71808.76),(19 74991.67),(20 77792.06),(21 78082.45),(22 78673.77),(23 81109.53),(24 80523.98),(25 81301.09),(26 81674.55),(27 80890.57),(28 82009.664),(29 81419.54),(30 80761.11),(31 81245.62),(32 78125.62),(33 78916.72),(34 82333.625),(35 80743.34),(36 81230.4),(37 82596.52),(38 83182.484),(39 84185.78),(40 85950.45),(41 85327.734),(42 83450.86),(43 80604.43),(44 80462.57),(45 80018.04),(46 81942.45),(47 82428.2),(48 82553.03),(49 82974.95),(50 82721.82),(51 82816.06),(52 84750.414),(53 85145.48),(54 84232.85),(55 85751.55),(56 85680.04),(57 86729.73),(58 86431.22),(59 84775.03),(60 85422.35),(61 86481.9),(62 86985.18),(63 88229.33),(64 88863.84),(65 90367.94),(66 90248.11),(67 89233.055),(68 89096.164),(69 89927.336),(70 90767.59),(71 91806.42),(72 94138.87),(73 94783.15),(74 93950.19),(75 93921.24),(76 94942.55),(77 96374.03),(78 96933.9),(79 97381.35),
(1 25330.557),(2 42207.035),(3 51217.88),(4 60418.473),(5 61179.93),(6 61331.383),(7 60297.816),(8 64152.098),(9 69383.12),(10 68451.05),(11 68143.45),(12 68855.81),(13 70213.87),(14 71134.8),(15 72384.484),(16 74037.93),(17 75200.55),(18 76923.055),(19 77998.51),(20 80012.375),(21 79534.1),(22 79587.08),(23 80381.61),(24 79355.85),(25 81298.28),(26 81696.39),(27 81207.01),(28 81890.68),(29 79270.914),(30 79016.1),(31 78389.43),(32 76918.086),(33 80212.305),(34 79809.18),(35 78379.45),(36 77904.98),(37 78240.016),(38 79780.734),(39 83763.99),(40 87070.33),(41 85095.984),(42 81689.61),(43 80172.11),(44 79896.67),(45 79633.266),(46 79895.35),(47 80114.57),(48 81439.8),(49 82168.96),(50 81753),(51 81825.12),(52 83926.555),(53 82958.02),(54 83063.18),(55 83385.43),(56 83101.68),(57 84809.38),(58 84984.47),(59 85325.55),(60 86109.78),(61 85086.3),(62 84360.38),(63 84277.22),(64 85321.586),(65 86385.62),(66 86899.61),(67 87300.984),(68 87925.77),(69 88068.72),(70 88442.375),(71 90185.82),(72 91055.41),(73 92475.36),(74 94627.21),(75 95496.555),(76 94850.984),(77 94745.84),(78 95294.63),(79 97219.7),
(1 24194.426),(2 38259.867),(3 46680.656),(4 55517.906),(5 57591.66),(6 60315.773),(7 59719.918),(8 63086.77),(9 65977.3),(10 62663.984),(11 62336.977),(12 62156.51),(13 63350.188),(14 64196.14),(15 66457.43),(16 68900.984),(17 70698.91),(18 73642.54),(19 74545.08),(20 74862.45),(21 71928.02),(22 72506.26),(23 74527.89),(24 75008.43),(25 78454.25),(26 78670.28),(27 77021.15),(28 76158.18),(29 72786.98),(30 74969.125),(31 75857.69),(32 76409.92),(33 78787.26),(34 76617.945),(35 75834.836),(36 75300.78),(37 76200.445),(38 77730.88),(39 80392.336),(40 78416.305),(41 77753.266),(42 76252.65),(43 76717.44),(44 76787.586),(45 78441.68),(46 76715.805),(47 76639.49),(48 75866.625),(49 75845.54),(50 75421.555),(51 76315.99),(52 76268.81),(53 76204.48),(54 77741.42),(55 76740.08),(56 77177.234),(57 77768.92),(58 77052.625),(59 78129.63),(60 78812.914),(61 79559.945),(62 78831.71),(63 78223.25),(64 79779.555),(65 79944.74),(66 80561.06),(67 82450.71),(68 82997.44),(69 82907.26),(70 83376.73),(71 84102.58),(72 84266.734),(73 84543.74),(74 85330.195),(75 86467.31),(76 86565.88),(77 86694.336),(78 86955.67),(79 88267.586),
(1 22794.78),(2 35271.906),(3 43274.395),(4 52126.668),(5 54892.48),(6 56193.156),(7 54796.992),(8 57464.094),(9 60238.96),(10 58980.78),(11 60798.79),(12 62712.47),(13 64338.977),(14 64989.434),(15 66010.77),(16 66890.086),(17 67046.234),(18 68454.055),(19 69497.55),(20 71079.52),(21 69757.44),(22 72170.68),(23 72740.54),(24 72812.586),(25 75561.13),(26 74940.95),(27 74635.984),(28 72862.66),(29 70728.125),(30 72454.016),(31 71692.26),(32 71998.68),(33 72249.45),(34 71099.41),(35 70047.52),(36 70219.61),(37 71961.31),(38 73762.03),(39 73478.05),(40 71657.164),(41 70790.99),(42 70850.74),(43 71317.08),(44 72132.695),(45 72303.8),(46 71825.67),(47 70540.766),(48 71177.86),(49 72782.68),(50 73603.2),(51 73982.414),(52 73585.67),(53 73361.1),(54 74335.305),(55 73828.08),(56 76443.63),(57 76412.46),(58 75124.12),(59 75619.01),(60 75783.914),(61 76850.87),(62 77787.71),(63 78555.09),(64 79123.83),(65 78973.4),(66 79936.46),(67 80634.55),(68 81138.57),(69 82241.37),(70 82804.09),(71 83831.61),(72 85799.35),(73 87263.69),(74 88198.54),(75 88346.3),(76 88009.47),(77 88096.914),(78 88488.62),(79 90218.42),
(1 23631.98),(2 37006.89),(3 45760.973),(4 52679.02),(5 54968.52),(6 55338.984),(7 54625.9),(8 58413.77),(9 59463.324),(10 59063.93),(11 61150.19),(12 62579.766),(13 63357.21),(14 62874.86),(15 65952.64),(16 67404.72),(17 68618.09),(18 69186.32),(19 70034.21),(20 71736.414),(21 69947.875),(22 71262.586),(23 70111.09),(24 71173.766),(25 72030.695),(26 71282.65),(27 73128.99),(28 71610.2),(29 71846.85),(30 72314.086),(31 70731.164),(32 70941.12),(33 71155.125),(34 71234.91),(35 71474.3),(36 73568.2),(37 74582),(38 74549.734),(39 72698.23),(40 72804.88),(41 72434.37),(42 72220.37),(43 71767.086),(44 72486.945),(45 71446.28),(46 72065.914),(47 70659.3),(48 71593.15),(49 71470.25),(50 71941.875),(51 73612.65),(52 73213.11),(53 73860.26),(54 72813.05),(55 71651.01),(56 72503.914),(57 72441.05),(58 73872.14),(59 73446.586),(60 73341.38),(61 74798.305),(62 75278.76),(63 75797.63),(64 76424.03),(65 78323.234),(66 79717.71),(67 80651.805),(68 81941.1),(69 82847.484),(70 82652.55),(71 82606.695),(72 82753.66),(73 84024.33),(74 85065.58),(75 85760.414),(76 86576.64),(77 87424.03),(78 89277.76),(79 91048.15),
(1 22770.098),(2 34223.863),(3 42022.637),(4 48322.38),(5 51075.32),(6 51791.63),(7 51066.887),(8 55203.945),(9 57376.96),(10 58971.18),(11 61470.086),(12 61626.51),(13 61133.063),(14 60923.953),(15 65142.08),(16 65962.03),(17 67234.22),(18 67022.66),(19 68113.414),(20 69437.44),(21 70357.52),(22 72763.32),(23 71673.98),(24 73285.96),(25 75248.555),(26 75976.77),(27 76349.03),(28 73580.19),(29 74724.51),(30 73967.16),(31 72919.89),(32 73761.63),(33 72140.34),(34 70148.664),(35 70877.15),(36 72021),(37 71784.43),(38 72193.67),(39 71579.1),(40 71402.77),(41 70743.94),(42 70643.875),(43 70131.766),(44 69677.92),(45 69691.84),(46 69439.82),(47 69274.04),(48 70160.91),(49 69660.75),(50 70499.07),(51 70706.11),(52 71187.99),(53 72590.45),(54 71317.48),(55 73607.055),(56 73384.055),(57 73668.31),(58 74451.98),(59 74343.02),(60 76707.01),(61 76463.85),(62 76757.15),(63 78618.29),(64 77584.766),(65 76875.27),(66 77293.49),(67 78905.33),(68 80209.85),(69 81273.73),(70 81749.26),(71 82589.016),(72 83061.875),(73 85025.82),(74 87877.13),(75 90124.9),(76 90976.734),(77 91851.305),(78 93083.64),(79 93854.836),
(1 22288.41),(2 34850.77),(3 43649.305),(4 48922.063),(5 50767.168),(6 50561.56),(7 50591.65),(8 54827.56),(9 56715.746),(10 56892.504),(11 58267.91),(12 58613.895),(13 58892.285),(14 58509.426),(15 61809.418),(16 61917.273),(17 63880.113),(18 64012.22),(19 64937.082),(20 65104.426),(21 66841.22),(22 69915.49),(23 69768.5),(24 71411.875),(25 72246.28),(26 72382.46),(27 71821.63),(28 69570.09),(29 69890.266),(30 69093.86),(31 70986.734),(32 71749.85),(33 70684.69),(34 68600.44),(35 70626.33),(36 71267.91),(37 72776.55),(38 73403.36),(39 74305.02),(40 73096.16),(41 72913.9),(42 71259.484),(43 69964.836),(44 68674.9),(45 69428.99),(46 69563.36),(47 70015.484),(48 71200.914),(49 70914.14),(50 71875.38),(51 72302.98),(52 73582.73),(53 73788.34),(54 72348.305),(55 73540.21),(56 73318.74),(57 75307.414),(58 75504.21),(59 76067.13),(60 75753.71),(61 75695.74),(62 77140.38),(63 78352.01),(64 77956.17),(65 77939.01),(66 77373.72),(67 77567.25),(68 78158.445),(69 78473.91),(70 79428.69),(71 79567.836),(72 79922.2),(73 81121.15),(74 81820.516),(75 81630.65),(76 81727.68),(77 82225.31),(78 81910.71),(79 82133.805),
(1 22229.322),(2 35003.984),(3 43025.465),(4 46696.605),(5 48388.266),(6 48213.72),(7 48799.434),(8 52733.617),(9 53580.977),(10 55596.926),(11 56722.066),(12 57654.664),(13 56441.027),(14 56041.543),(15 59267.836),(16 59985.29),(17 61599.766),(18 61207.13),(19 61427.977),(20 62284.61),(21 65298.746),(22 67908.16),(23 68244.93),(24 70568.11),(25 70373.44),(26 68986.25),(27 67371.49),(28 65235.64),(29 65074.133),(30 66275.875),(31 67921.35),(32 67381.414),(33 65480.957),(34 65406.76),(35 67891.91),(36 69227.88),(37 69889.83),(38 70659.19),(39 68766.57),(40 67253.28),(41 65859.81),(42 67344.125),(43 67578.5),(44 68120.4),(45 67011.125),(46 67703.73),(47 68323.22),(48 68909.35),(49 69356.516),(50 68850.38),(51 67856.07),(52 68461.92),(53 67866.81),(54 69618.75),(55 70065.6),(56 70738.2),(57 71360.266),(58 71848.33),(59 72621.336),(60 70834.57),(61 71115.24),(62 70854.5),(63 72686.69),(64 73920.61),(65 73937.97),(66 74959.36),(67 75666.79),(68 76168.34),(69 77010.54),(70 77631.555),(71 77628.05),(72 77821.6),(73 77803.7),(74 78630.586),(75 78663.266),(76 78002.69),(77 78534.14),(78 80289.625),(79 82728.47),
(1 21371.664),(2 31640.918),(3 39320.086),(4 43157.848),(5 45970.8),(6 46151.727),(7 46115.82),(8 49468.145),(9 48893.27),(10 50211.117),(11 50435.95),(12 51690.37),(13 51609.383),(14 52092.6),(15 54340.375),(16 55256.594),(17 58153.574),(18 58506.895),(19 58116.707),(20 58283.21),(21 60384.78),(22 62087.484),(23 63056.594),(24 65011.008),(25 63084.46),(26 62201.49),(27 61020.47),(28 60815.56),(29 61483.105),(30 62060.445),(31 60973.004),(32 60854.91),(33 58713.49),(34 59912.336),(35 61451.53),(36 62282.594),(37 62785.57),(38 60596.348),(39 57811.582),(40 58013.48),(41 59009.094),(42 61207.44),(43 60528.652),(44 60236.45),(45 57817.2),(46 58553.57),(47 59587.207),(48 60891.594),(49 61254.703),(50 59780.832),(51 60333.543),(52 61649.414),(53 62631.324),(54 64836.695),(55 63367.074),(56 64054.06),(57 64899.97),(58 65907.57),(59 66661.26),(60 66760.6),(61 67554.375),(62 67369.4),(63 67418.984),(64 67024.516),(65 67963),(66 69033.52),(67 69802.234),(68 71592.66),(69 73070.516),(70 73366.67),(71 73507.49),(72 72939.82),(73 72872.88),(74 73954.21),(75 74205.43),(76 75017.055),(77 77198.68),(78 78770.28),(79 79238.82),
(1 20339.826),(2 31169.635),(3 40051.074),(4 44745.434),(5 47610.563),(6 46906.14),(7 47508.574),(8 49400.31),(9 48989.63),(10 50757.418),(11 51547.21),(12 52807.496),(13 52041.883),(14 53109.3),(15 55807.99),(16 57616.15),(17 60680.246),(18 61181.332),(19 62052.59),(20 61986.613),(21 62635.76),(22 63855.684),(23 66016.266),(24 68081.02),(25 66913.78),(26 65105.313),(27 62508.543),(28 62695.07),(29 63929.37),(30 65477.07),(31 65411.598),(32 65416.223),(33 62566.5),(34 64299.92),(35 63576.93),(36 65230.316),(37 64341.758),(38 63292.598),(39 61377.676),(40 60704.195),(41 60333.387),(42 60708.23),(43 60253.89),(44 59934.543),(45 60014.363),(46 60516.117),(47 60833.168),(48 61191.96),(49 60700.43),(50 59669.543),(51 59744.977),(52 59963.52),(53 61364.086),(54 61254.766),(55 60382.348),(56 61417.94),(57 62218.504),(58 62680.945),(59 62334.883),(60 62251.813),(61 62879.637),(62 63730.977),(63 65154.99),(64 66058.9),(65 66044.625),(66 66103.47),(67 67578.016),(68 69056.7),(69 70749.78),(70 71856.62),(71 71286.29),(72 71288.516),(73 73334.95),(74 74451.13),(75 75482.39),(76 76036.66),(77 75868.49),(78 76673.35),(79 77414.45),
(1 19116.908),(2 29778.588),(3 38796.39),(4 42408.805),(5 44579.61),(6 43883.01),(7 45630.492),(8 48305.42),(9 47538.656),(10 47969.266),(11 47080.383),(12 48356.023),(13 47969.78),(14 50885.19),(15 54008.19),(16 54373.156),(17 55370.16),(18 54791.883),(19 55408.426),(20 55996.246),(21 57795.707),(22 59104.742),(23 60417.453),(24 61596.21),(25 61028.6),(26 59903.38),(27 59451.72),(28 59251.832),(29 60061.98),(30 59601.887),(31 59311.09),(32 58456.684),(33 58434.055),(34 60515.406),(35 59851.715),(36 58665.082),(37 57651.465),(38 57415.11),(39 58089.29),(40 59348.69),(41 60556.21),(42 60265.273),(43 59247.258),(44 58184.918),(45 58470.195),(46 59388.484),(47 59047.223),(48 57917.83),(49 57827.51),(50 58624.297),(51 60123.61),(52 61652.56),(53 62126.082),(54 60376.645),(55 61105.203),(56 62372.406),(57 62901.69),(58 63035.813),(59 62039.6),(60 62072.684),(61 62531.895),(62 63011.117),(63 63608.125),(64 64720.887),(65 64943.95),(66 65790.59),(67 67019.25),(68 67012.04),(69 68400.75),(70 69445.63),(71 69970.98),(72 70688.2),(73 71087.4),(74 72089.75),(75 73600.71),(76 74127.42),(77 75454.43),(78 76626.3),(79 77287),
(1 19065.547),(2 29579.865),(3 38621.1),(4 41884.332),(5 43804.23),(6 43264.08),(7 45145.086),(8 47830.117),(9 47634.535),(10 47965.297),(11 47470.41),(12 49100.383),(13 49829.977),(14 53047.61),(15 55747.043),(16 57552.348),(17 59134.406),(18 58639.16),(19 58786.016),(20 59693.336),(21 61836.973),(22 62658.074),(23 62281.45),(24 62376.652),(25 61914.066),(26 61604.79),(27 61275.18),(28 60516.984),(29 60827.383),(30 60066),(31 60628.95),(32 58993.113),(33 59965.523),(34 61401.117),(35 61135.492),(36 60293.523),(37 59344.566),(38 58379.473),(39 58277.76),(40 58993.188),(41 58739.066),(42 58756.227),(43 57798.363),(44 57423.77),(45 58593.754),(46 59804.176),(47 59271.426),(48 58102.992),(49 58027.125),(50 59259.246),(51 61205.78),(52 61376.973),(53 61274.957),(54 60064.43),(55 61723.76),(56 63545.473),(57 65447.305),(58 63595.566),(59 61867.92),(60 61607.72),(61 61964.56),(62 62478.355),(63 63390.73),(64 64756.32),(65 65229.027),(66 66568.47),(67 67851.836),(68 69480.52),(69 70378.89),(70 70988.52),(71 71870.21),(72 71678.08),(73 71686.016),(74 72263.07),(75 72567.234),(76 73234.62),(77 74490.55),(78 75627.12),(79 76519.76),
(1 18545.85),(2 28452.383),(3 36627.453),(4 40613.703),(5 42041.785),(6 41103.492),(7 43192.207),(8 45345.598),(9 44780.965),(10 44591.605),(11 44201.453),(12 45583.133),(13 46501.027),(14 49459.992),(15 50626.848),(16 51409.547),(17 52638.453),(18 54069.156),(19 55675.125),(20 56839.48),(21 57449.023),(22 57222.332),(23 56791.176),(24 56536.066),(25 55850.188),(26 56492.03),(27 56045.9),(28 56072.137),(29 56348.95),(30 54652.89),(31 55430.063),(32 54274.777),(33 57156.664),(34 57214.285),(35 56069.613),(36 54984.465),(37 54914.76),(38 56293.066),(39 57472.402),(40 58181.438),(41 57176.027),(42 56154.715),(43 54556.047),(44 55040.094),(45 56261.566),(46 57153.563),(47 57446.98),(48 57334.676),(49 57596.742),(50 59506.5),(51 60298.11),(52 59738.234),(53 59789.914),(54 60553.547),(55 61635.613),(56 61904.53),(57 61670.598),(58 61134.973),(59 62424.977),(60 62957.008),(61 64283.094),(62 63121.656),(63 62992.36),(64 64198.69),(65 65073.016),(66 66192.56),(67 67277.04),(68 67793.34),(69 68551.95),(70 70522.18),(71 71803.5),(72 71823.44),(73 72113.88),(74 72446),(75 73717.82),(76 75346.98),(77 75764.24),(78 76368.23),(79 76704.445),
(1 17806.08),(2 26474.047),(3 33298.66),(4 36414.566),(5 38374.34),(6 38806.72),(7 41694.734),(8 43082.477),(9 42960.715),(10 43632.47),(11 44048.52),(12 45685.195),(13 46718.004),(14 49040.125),(15 49936.977),(16 51414.27),(17 52890.914),(18 53379.742),(19 54260.11),(20 55273.496),(21 56991.574),(22 57283.72),(23 57863.47),(24 58539.863),(25 58394.05),(26 59616.88),(27 59069.082),(28 59824.504),(29 58270.72),(30 58065.332),(31 58894.992),(32 58831.594),(33 60653.93),(34 59028.258),(35 57575.57),(36 56874.043),(37 56194.15),(38 56358.53),(39 57948.24),(40 58028.297),(41 57778.504),(42 56871.855),(43 54891.137),(44 55577.684),(45 56493.406),(46 57140.633),(47 56947.586),(48 56840.043),(49 57652.88),(50 59178.27),(51 59790.402),(52 59468.027),(53 58282.72),(54 57895.832),(55 58674.28),(56 59545.113),(57 59494.96),(58 60011.17),(59 58702.418),(60 59379.703),(61 61782.316),(62 62145.87),(63 62471.086),(64 62673.613),(65 64311.094),(66 65222.69),(67 66034.195),(68 65715.48),(69 66257.96),(70 67652.33),(71 69110.36),(72 70029.67),(73 70686.58),(74 71162.15),(75 72393.52),(76 72947.53),(77 73450.32),(78 73424.05),(79 73290.74),
(1 17780.23),(2 26319.639),(3 33389.98),(4 36399.258),(5 37956.207),(6 37295.066),(7 39898.082),(8 41174.508),(9 40785.94),(10 40812.707),(11 41159.082),(12 43159.97),(13 44717.04),(14 47156.082),(15 47849.316),(16 48910.074),(17 50152.492),(18 50742.125),(19 52581.547),(20 53592.777),(21 55028.984),(22 54629.574),(23 54432.62),(24 53848.715),(25 53044.86),(26 53429.047),(27 54388.45),(28 55944.64),(29 54159.625),(30 54334.11),(31 53699.54),(32 54732.53),(33 55444.81),(34 53548.035),(35 53356.05),(36 52608.566),(37 52307.348),(38 52948.68),(39 54250.625),(40 53478.83),(41 53761.805),(42 52496.15),(43 52293.316),(44 52737.89),(45 52496.355),(46 52595.543),(47 52017.67),(48 52726.027),(49 53924.875),(50 54353.21),(51 54900.074),(52 55248.47),(53 55851.285),(54 56419.957),(55 56543.27),(56 57751.508),(57 58270.336),(58 59500.74),(59 60086.85),(60 60440.598),(61 59566.457),(62 59739.496),(63 61079.94),(64 61846.477),(65 62181.59),(66 61638.59),(67 63106.613),(68 64234.46),(69 66126.25),(70 67565.49),(71 67537.07),(72 67856.56),(73 67710.67),(74 68276.914),(75 68627.79),(76 69507.69),(77 69816.875),(78 70470.055),(79 71356.89),
(1 17356.105),(2 25941.441),(3 33203.156),(4 36035.145),(5 37457.438),(6 37318.496),(7 39417.19),(8 40248.53),(9 40179.66),(10 40193.13),(11 41194.254),(12 42845.53),(13 44705.902),(14 47080.188),(15 49025.33),(16 49402.33),(17 49550.95),(18 49560.96),(19 50641.434),(20 52457.645),(21 54414.406),(22 55306.613),(23 55636.934),(24 54002.92),(25 53103.76),(26 53434.023),(27 54214.41),(28 54224.125),(29 52180.5),(30 52618.39),(31 51794.12),(32 53600.785),(33 52896.242),(34 51683.598),(35 50738.848),(36 50437.457),(37 50928.734),(38 51028.734),(39 50385.383),(40 50054.77),(41 50663.94),(42 50515.563),(43 50868.664),(44 51149.18),(45 50799.86),(46 50465.25),(47 50025.62),(48 52051.816),(49 53254.906),(50 53938.38),(51 54949.72),(52 54560.19),(53 55538.31),(54 56701.64),(55 57720.465),(56 58141.914),(57 58509.098),(58 59277.03),(59 61367.35),(60 62556.29),(61 61984.68),(62 61742.145),(63 61724.15),(64 62668.05),(65 63078.17),(66 63759.25),(67 63590.438),(68 64266.65),(69 66142.3),(70 67438.84),(71 68785.33),(72 68138.34),(73 67799.02),(74 68666.32),(75 70598.94),(76 71969.34),(77 71645.586),(78 71418.43),(79 71054.336),
(1 16711.59),(2 24614.713),(3 31174.244),(4 34105.227),(5 35173.7),(6 34418.215),(7 35889.375),(8 36332.43),(9 36559.07),(10 37529.848),(11 38703.758),(12 39537.22),(13 41032.496),(14 43130.81),(15 43947.105),(16 44098.016),(17 44314.598),(18 44160.99),(19 45999.395),(20 46961.46),(21 47738.66),(22 48690.984),(23 50262.766),(24 48945.33),(25 48181.004),(26 48643.38),(27 49804.133),(28 49647.973),(29 48029.777),(30 47609.742),(31 47731.246),(32 48856.68),(33 48011.94),(34 46440.477),(35 46364.242),(36 46191.7),(37 47337.59),(38 47827.22),(39 46951.633),(40 46800.758),(41 46826.184),(42 46169.473),(43 45932.203),(44 45222.723),(45 45378.563),(46 45327.055),(47 46422.7),(48 47954.48),(49 48059.15),(50 49160.625),(51 49556.59),(52 50591.52),(53 51467.78),(54 51864.688),(55 52614.45),(56 52594.33),(57 53428.227),(58 55093.31),(59 56715.902),(60 56342.78),(61 56206.277),(62 56136.73),(63 57658.35),(64 59414.664),(65 59756.27),(66 60736.52),(67 61732.887),(68 63171.34),(69 63601.176),(70 64810.383),(71 65740.83),(72 65516.15),(73 66327.16),(74 67201.08),(75 69042.42),(76 69271.164),(77 69041.58),(78 69177.32),(79 69720.305),
