1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 100687.85),(2 131465.45),(3 95789.445),(4 228915.83),(5 313052.84),(6 324600.38),(7 497386.1),(8 631722.06),(9 715243.5),(10 950114.8),(11 1184754.1),(12 1334037.6),(13 1640226.4),(14 1920303.5),(15 2169283.8),(16 2536861.8),(17 2933882),(18 3283977),(19 3726480.8),(20 4206470.5),(21 4616132.5),(22 5092887),(23 5588816.5),(24 6002262),(25 6532320.5),(26 7094035.5),(27 7532278),(28 8076054.5),(29 8670920),(30 9174019),(31 9767766),(32 10414768),(33 10918873),(34 11520785),(35 12195677),(36 12754812),(37 13454769),(38 14245815),(39 14829723),(40 15563764),(41 16397627),(42 17050094),(43 17872462),(44 18851964),(45 19654786),(46 20613582),(47 21692378),(48 22568416),(49 23506102),(50 24553798),(51 25385378),(52 26270818),(53 27273978),(54 28052606),(55 28900106),(56 29893216),(57 30630312),(58 31322026),(59 32196774),(60 32839194),(61 33395312),(62 34225964),(63 34762612),(64 35331820),(65 35955344),(66 36367660),(67 36811236),(68 37361156),(69 37709984),(70 38093190),(71 38643340),(72 39003000),(73 39272268),(74 39856596),(75 40365750),(76 40940096),(77 41748776),(78 42389332),(79 43185564),
(1 61713.477),(2 122325.11),(3 177695.08),(4 345773.7),(5 516635.9),(6 681598.5),(7 970464.2),(8 1262829.6),(9 1553714.4),(10 1985110.4),(11 2424677.3),(12 2852366.5),(13 3434059.3),(14 4012574.5),(15 4574695),(16 5305153.5),(17 6049503.5),(18 6759729.5),(19 7637281.5),(20 8516642),(21 9355133),(22 10322038),(23 11275422),(24 12192414),(25 13237930),(26 14268675),(27 15222115),(28 16320584),(29 17387048),(30 18374386),(31 19475764),(32 20568140),(33 21579162),(34 22689222),(35 23781216),(36 24770762),(37 25841008),(38 26937076),(39 27850304),(40 28855392),(41 29870304),(42 30770160),(43 31790868),(44 32809020),(45 33693416),(46 34735336),(47 35802200),(48 36727276),(49 37684404),(50 38630100),(51 39412120),(52 40217764),(53 40997000),(54 41628492),(55 42289656),(56 42954308),(57 43494464),(58 44111590),(59 44737160),(60 45253784),(61 45641400),(62 46217764),(63 46629530),(64 47034348),(65 47471708),(66 47819704),(67 48145532),(68 48433720),(69 48598800),(70 48827532),(71 49030310),(72 49215640),(73 49443380),(74 49796670),(75 50115420),(76 50512444),(77 50980204),(78 51405944),(79 51869148),
(1 44271.574),(2 107550.97),(3 188681.08),(4 342422.5),(5 508244.34),(6 687248.75),(7 948978.3),(8 1218326.1),(9 1498583.4),(10 1875163.6),(11 2259780.8),(12 2659233.8),(13 3169760),(14 3664276.8),(15 4165753.8),(16 4759676),(17 5357420.5),(18 5955231.5),(19 6652024),(20 7337618.5),(21 8016474.5),(22 8780401),(23 9537884),(24 10268527),(25 11078876),(26 11873227),(27 12594725),(28 13416517),(29 14181480),(30 14894323),(31 15642752),(32 16332451),(33 16962390),(34 17650496),(35 18243302),(36 18777364),(37 19385356),(38 19900588),(39 20363958),(40 20879510),(41 21345650),(42 21741144),(43 22218032),(44 22607930),(45 22957066),(46 23371606),(47 23765806),(48 24117712),(49 24543062),(50 24903794),(51 25220610),(52 25609570),(53 25968834),(54 26290904),(55 26700326),(56 27065958),(57 27384256),(58 27804914),(59 28197798),(60 28537792),(61 28884554),(62 29265008),(63 29569354),(64 29898738),(65 30220960),(66 30486126),(67 30778562),(68 30976394),(69 31113526),(70 31281760),(71 31404806),(72 31567350),(73 31746534),(74 31906624),(75 32020296),(76 32157670),(77 32297114),(78 32432994),(79 32567414),
(1 28922.174),(2 80696.805),(3 149995.86),(4 265911.13),(5 397788.97),(6 541504.8),(7 733878),(8 945950.75),(9 1167572.3),(10 1452024),(11 1756887.4),(12 2071204.3),(13 2449883),(14 2842262.3),(15 3228567.5),(16 3708638),(17 4215163.5),(18 4723271),(19 5327070),(20 5955174),(21 6559710),(22 7272492.5),(23 7996684.5),(24 8712839),(25 9547339),(26 10421430),(27 11250866),(28 12229204),(29 13216443),(30 14178621),(31 15234016),(32 16315150),(33 17362682),(34 18518624),(35 19664584),(36 20787814),(37 22023866),(38 23205274),(39 24330748),(40 25560524),(41 26790564),(42 27969998),(43 29222432),(44 30423818),(45 31577792),(46 32777096),(47 33936560),(48 34989276),(49 36076490),(50 37095056),(51 38021228),(52 38959796),(53 39875750),(54 40678350),(55 41550350),(56 42362404),(57 43085624),(58 43899828),(59 44717304),(60 45405652),(61 46022720),(62 46674520),(63 47172164),(64 47708936),(65 48242990),(66 48703096),(67 49189490),(68 49649204),(69 50025296),(70 50433496),(71 50901504),(72 51308140),(73 51808720),(74 52324772),(75 52811240),(76 53350356),(77 53916930),(78 54386076),(79 54877676),
(1 37260.38),(2 124636.805),(3 258066.55),(4 461005.28),(5 709368.56),(6 1001569.6),(7 1361561.4),(8 1768326.9),(9 2214801),(10 2732010.3),(11 3289261.8),(12 3874112.3),(13 4522535.5),(14 5205972),(15 5910106),(16 6691923),(17 7508292.5),(18 8329175.5),(19 9213872),(20 10120145),(21 11009477),(22 11959760),(23 12915737),(24 13860969),(25 14866310),(26 15876186),(27 16844942),(28 17867136),(29 18862662),(30 19819792),(31 20764606),(32 21695454),(33 22594918),(34 23494954),(35 24391886),(36 25247576),(37 26142136),(38 27006418),(39 27846296),(40 28709528),(41 29596110),(42 30421452),(43 31251008),(44 32034552),(45 32803678),(46 33550522),(47 34311732),(48 34997220),(49 35687484),(50 36367584),(51 37039588),(52 37720228),(53 38408212),(54 39040944),(55 39717972),(56 40379132),(57 41013730),(58 41633130),(59 42286736),(60 42883212),(61 43411136),(62 43976156),(63 44470256),(64 44994640),(65 45542256),(66 46045028),(67 46576316),(68 47061840),(69 47519292),(70 47961270),(71 48425084),(72 48872936),(73 49392216),(74 49933812),(75 50460732),(76 51088252),(77 51730710),(78 52334372),(79 52963420),
(1 40386.164),(2 143481.9),(3 311018.63),(4 547717.56),(5 849799.5),(6 1213782.4),(7 1644383.8),(8 2136805),(9 2699886.3),(10 3317167.5),(11 3987076),(12 4706664),(13 5469206.5),(14 6271491),(15 7117009.5),(16 8007489.5),(17 8935601),(18 9885222),(19 10859965),(20 11843110),(21 12846981),(22 13824565),(23 14802384),(24 15776360),(25 16736598),(26 17657216),(27 18558388),(28 19428738),(29 20254770),(30 21039178),(31 21772912),(32 22464340),(33 23117374),(34 23705788),(35 24262640),(36 24807108),(37 25301298),(38 25768874),(39 26192916),(40 26580716),(41 26958732),(42 27292644),(43 27628164),(44 27943724),(45 28262646),(46 28566934),(47 28885034),(48 29162740),(49 29433082),(50 29718080),(51 29998048),(52 30274422),(53 30553818),(54 30786492),(55 31046060),(56 31297958),(57 31527536),(58 31716470),(59 31935344),(60 32087482),(61 32156116),(62 32254624),(63 32294900),(64 32313702),(65 32330554),(66 32344038),(67 32345638),(68 32337044),(69 32269082),(70 32203418),(71 32122854),(72 32003232),(73 31886054),(74 31756228),(75 31603226),(76 31490268),(77 31364538),(78 31190714),(79 31053844),
(1 40521.16),(2 146184.23),(3 311756),(4 546103.25),(5 833941.25),(6 1170433.5),(7 1568385.3),(8 2008416.8),(9 2495611),(10 3036207),(11 3609012.3),(12 4210566),(13 4870168),(14 5547979),(15 6267560.5),(16 7019757),(17 7815896.5),(18 8629604),(19 9475744),(20 10324205),(21 11174393),(22 12027445),(23 12884033),(24 13755214),(25 14618111),(26 15435489),(27 16227594),(28 16981636),(29 17726454),(30 18433850),(31 19085480),(32 19687156),(33 20274650),(34 20783448),(35 21250052),(36 21689580),(37 22115996),(38 22465846),(39 22779202),(40 23055598),(41 23325426),(42 23570296),(43 23761596),(44 23922396),(45 24079542),(46 24200894),(47 24306876),(48 24391308),(49 24454974),(50 24496376),(51 24534254),(52 24549260),(53 24568388),(54 24582346),(55 24601874),(56 24625256),(57 24633756),(58 24632156),(59 24661804),(60 24682900),(61 24704864),(62 24725620),(63 24725632),(64 24746070),(65 24789992),(66 24814812),(67 24854434),(68 24901524),(69 24922644),(70 24946900),(71 24964802),(72 24981394),(73 25019114),(74 25050252),(75 25074030),(76 25113280),(77 25136014),(78 25109982),(79 25077752),
(1 43867.66),(2 164241.7),(3 355957.6),(4 625832.44),(5 964852.3),(6 1369481.6),(7 1844656),(8 2380881),(9 2976442.3),(10 3633995.3),(11 4350962.5),(12 5097074),(13 5891118.5),(14 6695788.5),(15 7531697),(16 8400380),(17 9303115),(18 10218462),(19 11166319),(20 12100939),(21 13034455),(22 13947876),(23 14844283),(24 15721505),(25 16555027),(26 17309212),(27 18019034),(28 18649032),(29 19224712),(30 19736682),(31 20151706),(32 20480588),(33 20746970),(34 20923560),(35 21049886),(36 21109316),(37 21116228),(38 21063168),(39 20988548),(40 20864280),(41 20721890),(42 20560428),(43 20363666),(44 20154372),(45 19973172),(46 19778568),(47 19622692),(48 19498986),(49 19392316),(50 19328164),(51 19308766),(52 19304660),(53 19347930),(54 19429120),(55 19549782),(56 19688896),(57 19905948),(58 20126184),(59 20412074),(60 20738330),(61 21048282),(62 21404084),(63 21799292),(64 22205458),(65 22663786),(66 23148254),(67 23610606),(68 24080102),(69 24562766),(70 24982554),(71 25391668),(72 25791704),(73 26151356),(74 26475086),(75 26831774),(76 27120522),(77 27412914),(78 27687206),(79 27924296),
(1 71999.85),(2 273917.94),(3 595564.8),(4 1032590.8),(5 1572268.5),(6 2212259.8),(7 2947578.3),(8 3766175),(9 4660438.5),(10 5614527),(11 6613496),(12 7638773.5),(13 8692917),(14 9751066),(15 10812386),(16 11871797),(17 12928192),(18 13968533),(19 15005184),(20 15989666),(21 16939118),(22 17848658),(23 18710726),(24 19516250),(25 20277312),(26 20915380),(27 21479568),(28 21942674),(29 22332638),(30 22625198),(31 22837240),(32 22970044),(33 23020728),(34 23015530),(35 22927112),(36 22792948),(37 22625960),(38 22402820),(39 22144310),(40 21872500),(41 21597872),(42 21311642),(43 21018608),(44 20735072),(45 20462546),(46 20210846),(47 20008640),(48 19836386),(49 19709454),(50 19632296),(51 19604496),(52 19632722),(53 19712034),(54 19831272),(55 20006492),(56 20207478),(57 20463342),(58 20740190),(59 21055632),(60 21360176),(61 21660970),(62 21972762),(63 22260784),(64 22558768),(65 22862370),(66 23134672),(67 23386372),(68 23600594),(69 23757022),(70 23876570),(71 23944400),(72 23947048),(73 23909664),(74 23828782),(75 23699636),(76 23560940),(77 23395944),(78 23209228),(79 23013610),
(1 56328.344),(2 212345.73),(3 460402.25),(4 798235),(5 1209131.5),(6 1691593.3),(7 2244518.5),(8 2843793),(9 3490873.3),(10 4175445),(11 4873266.5),(12 5575402),(13 6278138.5),(14 6966320),(15 7642400),(16 8292279),(17 8914160),(18 9482848),(19 10007997),(20 10478527),(21 10904793),(22 11289257),(23 11641505),(24 11957130),(25 12248828),(26 12493708),(27 12714261),(28 12900421),(29 13044864),(30 13157335),(31 13254263),(32 13336063),(33 13422292),(34 13513481),(35 13618188),(36 13765255),(37 13947289),(38 14127156),(39 14332261),(40 14569482),(41 14834477),(42 15120156),(43 15418908),(44 15716578),(45 16038978),(46 16363783),(47 16688953),(48 17008290),(49 17345922),(50 17666166),(51 17990840),(52 18300096),(53 18589602),(54 18842468),(55 19079424),(56 19258332),(57 19396656),(58 19465440),(59 19537906),(60 19546606),(61 19509902),(62 19461838),(63 19358868),(64 19239326),(65 19120760),(66 18997454),(67 18881670),(68 18765704),(69 18654876),(70 18543410),(71 18419948),(72 18287970),(73 18159794),(74 18018198),(75 17884612),(76 17751938),(77 17611144),(78 17479752),(79 17364908),
(1 76471.66),(2 292607.53),(3 640448.8),(4 1108902.3),(5 1689099),(6 2368671.5),(7 3139178.5),(8 3979637.8),(9 4880015),(10 5824976),(11 6791455),(12 7764667.5),(13 8725513),(14 9651352),(15 10546783),(16 11385353),(17 12161309),(18 12847667),(19 13441188),(20 13916627),(21 14289165),(22 14566007),(23 14738057),(24 14809519),(25 14806878),(26 14702909),(27 14541001),(28 14313858),(29 14030108),(30 13700819),(31 13348081),(32 12983893),(33 12619837),(34 12256685),(35 11900575),(36 11574940),(37 11304740),(38 11074993),(39 10911482),(40 10803142),(41 10756187),(42 10764410),(43 10825421),(44 10937302),(45 11119564),(46 11352381),(47 11639945),(48 11951738),(49 12293768),(50 12646453),(51 12994968),(52 13332120),(53 13633949),(54 13883914),(55 14090496),(56 14241553),(57 14334395),(58 14357818),(59 14350664),(60 14281214),(61 14168871),(62 14054261),(63 13911764),(64 13774160),(65 13655264),(66 13554183),(67 13481814),(68 13437960),(69 13424312),(70 13466946),(71 13535537),(72 13643064),(73 13795940),(74 13981606),(75 14190411),(76 14421406),(77 14675572),(78 14934148),(79 15202916),
