1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 45635.285),(2 113727.32),(3 207159.63),(4 323876.6),(5 480619.9),(6 636355.7),(7 813324.3),(8 1014061.3),(9 1236606.4),(10 1490604.4),(11 1771330),(12 2083447.1),(13 2436845.3),(14 2802542.3),(15 3188242.3),(16 3671094),(17 4160760.8),(18 4628206.5),(19 5115086.5),(20 5625548),(21 6194334.5),(22 6834994.5),(23 7693808),(24 8549741),(25 9574401),(26 10611498),(27 11747685),(28 13004507),(29 14316044),(30 15749399),(31 17150090),(32 18790168),(33 20373200),(34 21959330),(35 23652568),(36 25310872),(37 26956042),(38 28534502),(39 30412058),(40 32011338),(41 33593024),(42 35016348),(43 36491600),(44 37816496),(45 39125916),(46 40411868),(47 41787676),(48 43065956),(49 44337996),(50 45534252),(51 46835820),(52 48002404),(53 49229204),(54 50289716),(55 51347200),(56 52390668),(57 53376510),(58 54248268),(59 55119664),(60 56285516),(61 57322260),(62 58328256),(63 59424576),(64 60516000),(65 61589532),(66 62618476),(67 63814076),(68 64807364),(69 65703732),(70 66608940),(71 67517990),(72 68227144),(73 69065860),(74 69803490),(75 70595610),(76 71549240),(77 72601640),(78 73652590),(79 75068200),
(1 33800.05),(2 101064.016),(3 192234.34),(4 308250.2),(5 474062.1),(6 636701.1),(7 822547.8),(8 1033964.8),(9 1276708.6),(10 1572740.9),(11 1925355.3),(12 2311990),(13 2735568.8),(14 3218066.5),(15 3722674.8),(16 4298050.5),(17 4864226.5),(18 5442775),(19 6042577.5),(20 6677397.5),(21 7375433.5),(22 8126945),(23 9228574),(24 10288056),(25 11506840),(26 12753269),(27 14067944),(28 15388379),(29 16755581),(30 18228806),(31 19653156),(32 21250166),(33 22762524),(34 24419016),(35 26065618),(36 27685524),(37 29286022),(38 30847844),(39 32546854),(40 34040628),(41 35478732),(42 36729496),(43 38017144),(44 39041516),(45 40058976),(46 41058624),(47 42000800),(48 42814970),(49 43664876),(50 44403976),(51 45168420),(52 45797090),(53 46384724),(54 46824456),(55 47162516),(56 47397064),(57 47557190),(58 47577680),(59 47520376),(60 47762236),(61 47815880),(62 47800036),(63 47909030),(64 47969750),(65 48092980),(66 48206220),(67 48305620),(68 48358120),(69 48383812),(70 48325910),(71 48316396),(72 48263572),(73 48354664),(74 48442390),(75 48645200),(76 48895796),(77 49223100),(78 49663110),(79 50205920),
(1 30609.078),(2 95157.664),(3 183515.44),(4 289224.97),(5 423599.03),(6 556799.6),(7 699624.5),(8 859156.94),(9 1028421.3),(10 1211321.9),(11 1416857),(12 1647602.5),(13 1896899.6),(14 2180187),(15 2489194.8),(16 2908111.8),(17 3347251.3),(18 3755787),(19 4176879.3),(20 4598532.5),(21 5022946.5),(22 5470901.5),(23 5990766),(24 6509496),(25 7069160),(26 7638880),(27 8228365.5),(28 8811997),(29 9389556),(30 10049723),(31 10696232),(32 11331861),(33 11972624),(34 12595320),(35 13181764),(36 13726855),(37 14226265),(38 14668660),(39 15118932),(40 15492897),(41 15821284),(42 16126609),(43 16412269),(44 16606487),(45 16768203),(46 16936662),(47 17113682),(48 17313654),(49 17514032),(50 17692852),(51 17986336),(52 18182902),(53 18437062),(54 18675654),(55 18897122),(56 19141984),(57 19359718),(58 19547472),(59 19675474),(60 19931468),(61 20153534),(62 20309350),(63 20523446),(64 20738098),(65 20950226),(66 21215944),(67 21506790),(68 21778826),(69 22060216),(70 22297458),(71 22596752),(72 22855016),(73 23153766),(74 23437032),(75 23814984),(76 24177648),(77 24535782),(78 24931778),(79 25379616),
(1 36696.47),(2 118859.89),(3 231358.86),(4 368790.38),(5 539656.75),(6 706441.56),(7 874818.5),(8 1051506.9),(9 1209986.3),(10 1366858.9),(11 1525496.4),(12 1690269.1),(13 1881513.5),(14 2080258.3),(15 2283293.8),(16 2532292),(17 2764127),(18 2970194.5),(19 3171728),(20 3355202.5),(21 3533426.3),(22 3703728),(23 3901835),(24 4112585),(25 4348584),(26 4592688.5),(27 4839485),(28 5113531.5),(29 5385297.5),(30 5683156.5),(31 5987853.5),(32 6337438),(33 6706270),(34 7086077),(35 7493347.5),(36 7909408),(37 8308248),(38 8675732),(39 9135283),(40 9504260),(41 9856468),(42 10181830),(43 10522114),(44 10848678),(45 11208609),(46 11580395),(47 11951431),(48 12347916),(49 12730852),(50 13095449),(51 13469795),(52 13786500),(53 14041488),(54 14268857),(55 14465370),(56 14648155),(57 14791265),(58 14916699),(59 15057040),(60 15257326),(61 15371844),(62 15497289),(63 15641404),(64 15795684),(65 15968343),(66 16154309),(67 16346446),(68 16574745),(69 16868322),(70 17076738),(71 17298830),(72 17531388),(73 17802488),(74 18097444),(75 18456372),(76 18829672),(77 19196094),(78 19584212),(79 19947826),
(1 42228.055),(2 136155.86),(3 270225.97),(4 432003),(5 633311),(6 833317.8),(7 1040223.6),(8 1258712.9),(9 1473836.5),(10 1689340.8),(11 1912108.1),(12 2139015.8),(13 2379993.8),(14 2629015.3),(15 2878342.5),(16 3113286.5),(17 3336630.5),(18 3556864),(19 3771628),(20 3994875),(21 4219978),(22 4439147),(23 4701603.5),(24 4961734.5),(25 5238485.5),(26 5508227.5),(27 5768280),(28 6046511.5),(29 6303209.5),(30 6561673.5),(31 6821096.5),(32 7066542.5),(33 7322582),(34 7578141),(35 7833664),(36 8092347.5),(37 8336123.5),(38 8564794),(39 8854911),(40 9093939),(41 9322586),(42 9510695),(43 9684993),(44 9835751),(45 9988543),(46 10117550),(47 10225991),(48 10356552),(49 10484443),(50 10598712),(51 10674882),(52 10746497),(53 10785068),(54 10818177),(55 10834787),(56 10847367),(57 10854826),(58 10847473),(59 10847957),(60 10878871),(61 10870044),(62 10854144),(63 10865632),(64 10867137),(65 10889549),(66 10919495),(67 10962016),(68 11029334),(69 11135645),(70 11198877),(71 11250319),(72 11307994),(73 11386819),(74 11489708),(75 11612147),(76 11728985),(77 11831856),(78 11920363),(79 11954877),
(1 50419.7),(2 161152.3),(3 324121.94),(4 532434.9),(5 801963.3),(6 1082014.9),(7 1388160.8),(8 1708160),(9 2043808),(10 2375927.5),(11 2705876.8),(12 3044030.5),(13 3380252.5),(14 3723589.3),(15 4045162.5),(16 4365458.5),(17 4656925.5),(18 4914287),(19 5165392),(20 5415669),(21 5682896),(22 5956104),(23 6296903),(24 6609227),(25 6922891),(26 7202462.5),(27 7489893.5),(28 7747756),(29 8014336),(30 8269684),(31 8550324),(32 8841527),(33 9117259),(34 9410290),(35 9693381),(36 9992812),(37 10270570),(38 10560124),(39 10991976),(40 11348042),(41 11692226),(42 12016854),(43 12336719),(44 12628218),(45 12913329),(46 13138669),(47 13302402),(48 13440160),(49 13518387),(50 13538432),(51 13479693),(52 13431046),(53 13343227),(54 13255432),(55 13157797),(56 13038408),(57 12895276),(58 12739463),(59 12535675),(60 12278417),(61 11987810),(62 11669930),(63 11357150),(64 11044989),(65 10753055),(66 10439722),(67 10148626),(68 9880243),(69 9629616),(70 9429110),(71 9285007),(72 9214070),(73 9183965),(74 9202174),(75 9276559),(76 9397018),(77 9552818),(78 9765974),(79 10114436),
(1 44586.37),(2 143022.44),(3 291768.03),(4 483046.78),(5 739556.4),(6 1005146),(7 1290204.4),(8 1586357.1),(9 1890650.9),(10 2199689.8),(11 2505524.5),(12 2813477.3),(13 3112425.3),(14 3393353.5),(15 3650099),(16 3890137.5),(17 4110289.3),(18 4308547.5),(19 4504377),(20 4707876.5),(21 4907279),(22 5087206),(23 5314709.5),(24 5479532.5),(25 5623213.5),(26 5715036.5),(27 5788967),(28 5819101.5),(29 5819691.5),(30 5803055),(31 5786277.5),(32 5770243),(33 5770911.5),(34 5798364.5),(35 5806251.5),(36 5835360.5),(37 5848301.5),(38 5874171.5),(39 5939881),(40 6014389),(41 6098071.5),(42 6186647.5),(43 6270859),(44 6357511),(45 6427458.5),(46 6502541),(47 6560812.5),(48 6614266),(49 6640692.5),(50 6667375.5),(51 6721872),(52 6763661.5),(53 6825244.5),(54 6872551.5),(55 6897806),(56 6903618.5),(57 6912922),(58 6930801),(59 6947445),(60 6918245),(61 6926426.5),(62 6909719.5),(63 6921451.5),(64 6920890.5),(65 6931179.5),(66 6911862),(67 6895140.5),(68 6861442.5),(69 6803522),(70 6769320.5),(71 6751799.5),(72 6737088.5),(73 6744372.5),(74 6791585),(75 6854811),(76 6941117.5),(77 7044997),(78 7178251.5),(79 7351747.5),
(1 41437.695),(2 132243.28),(3 265866.1),(4 431176.5),(5 650359.6),(6 874378.06),(7 1116191.1),(8 1372800.5),(9 1649085.5),(10 1938613.8),(11 2234262.5),(12 2533629.5),(13 2826008.3),(14 3103934.3),(15 3372457),(16 3642547),(17 3923277.3),(18 4168562.3),(19 4407179),(20 4633521.5),(21 4846197.5),(22 5034006.5),(23 5271149),(24 5444442.5),(25 5578330),(26 5665822),(27 5725088),(28 5734667),(29 5703355.5),(30 5647763),(31 5562775),(32 5426690.5),(33 5327221.5),(34 5213514.5),(35 5109347),(36 5026336),(37 4984857.5),(38 4962482),(39 4977497),(40 4970141.5),(41 4961464.5),(42 4951871.5),(43 4936032.5),(44 4920456),(45 4887862),(46 4876853),(47 4857737.5),(48 4841712),(49 4830659),(50 4814543),(51 4827610.5),(52 4857915.5),(53 4929513.5),(54 5038173),(55 5168167.5),(56 5318598.5),(57 5476371),(58 5646255),(59 5816889),(60 5988791.5),(61 6151662),(62 6275906),(63 6390967.5),(64 6478919.5),(65 6565991.5),(66 6627457),(67 6690805),(68 6734986.5),(69 6804275.5),(70 6857417),(71 6904231),(72 6936943),(73 6960123),(74 6958434),(75 6940519.5),(76 6891729),(77 6813554),(78 6730370.5),(79 6617537),
(1 54133.81),(2 179991.36),(3 363910.1),(4 594068.8),(5 881914.5),(6 1191888.3),(7 1527067.3),(8 1884178.4),(9 2259486.3),(10 2644711),(11 3036105),(12 3436814.5),(13 3849753.8),(14 4258651.5),(15 4654050),(16 5133004),(17 5556586.5),(18 5850893),(19 6068741.5),(20 6206420.5),(21 6279564),(22 6311894.5),(23 6329703.5),(24 6299932),(25 6216176.5),(26 6095220),(27 5941237.5),(28 5760101),(29 5544698),(30 5312063),(31 5076692),(32 4849256),(33 4676163),(34 4543518.5),(35 4464047.5),(36 4427404),(37 4440100.5),(38 4463157.5),(39 4540350.5),(40 4589641.5),(41 4633058.5),(42 4694276),(43 4739212.5),(44 4797090.5),(45 4842126.5),(46 4884445.5),(47 4920072.5),(48 4961854.5),(49 4986306),(50 5007995.5),(51 4992228),(52 4986572),(53 4979421.5),(54 4976244.5),(55 4961885),(56 4959349.5),(57 4976919.5),(58 5009881.5),(59 5083051.5),(60 5210529.5),(61 5311895),(62 5409452),(63 5523147.5),(64 5645470),(65 5763685),(66 5861856),(67 5971399.5),(68 6056956),(69 6159961.5),(70 6199129.5),(71 6231276),(72 6235322.5),(73 6214087.5),(74 6171263.5),(75 6144770),(76 6081909),(77 6012387),(78 5945815),(79 5819879.5),
(1 53488.598),(2 181691.81),(3 375678.5),(4 624529.25),(5 965053.56),(6 1316624.6),(7 1687902),(8 2089874.3),(9 2504703),(10 2935212),(11 3408555.8),(12 3910670.8),(13 4440093),(14 4992238),(15 5526618),(16 6128985.5),(17 6578378.5),(18 6883851.5),(19 7090866),(20 7222195.5),(21 7261342),(22 7242424.5),(23 7196270.5),(24 7120046),(25 7012511),(26 6863133.5),(27 6699861),(28 6516198),(29 6336273),(30 6155194),(31 5965296.5),(32 5787812.5),(33 5639102),(34 5500560.5),(35 5372610.5),(36 5243651.5),(37 5120929),(38 5011943),(39 4966436),(40 4920227.5),(41 4889674.5),(42 4878805.5),(43 4869373.5),(44 4880684.5),(45 4888956),(46 4896855.5),(47 4911568),(48 4942077.5),(49 4966527),(50 4989866),(51 5000662),(52 5028600),(53 5050719),(54 5091855),(55 5127843.5),(56 5175018),(57 5224535),(58 5277566.5),(59 5348111),(60 5450946.5),(61 5525856),(62 5607982),(63 5690466),(64 5765278),(65 5838053.5),(66 5908623),(67 5986871),(68 6056002),(69 6144185),(70 6193190),(71 6223070),(72 6235834.5),(73 6239190),(74 6238444.5),(75 6233562.5),(76 6222306),(77 6235020.5),(78 6267498),(79 6335622.5),
(1 66326.09),(2 233997.77),(3 490671.6),(4 819274.3),(5 1272394.1),(6 1739624.4),(7 2250536),(8 2791349),(9 3329326.8),(10 3887583.8),(11 4474121.5),(12 5055654),(13 5631016.5),(14 6185478.5),(15 6706603.5),(16 7154304),(17 7510404.5),(18 7814854),(19 8049321.5),(20 8217949),(21 8298353),(22 8335059),(23 8325458),(24 8273606.5),(25 8177500),(26 8029168),(27 7835556),(28 7603378.5),(29 7339783.5),(30 7052227),(31 6727458),(32 6386794),(33 6054222),(34 5734190.5),(35 5424251.5),(36 5141028.5),(37 4921282.5),(38 4764214.5),(39 4679120.5),(40 4643723),(41 4655468.5),(42 4718235.5),(43 4789837.5),(44 4860477),(45 4919962),(46 4973807.5),(47 5029338.5),(48 5090815.5),(49 5173019.5),(50 5268006),(51 5415638.5),(52 5534990.5),(53 5625332.5),(54 5696023.5),(55 5736501.5),(56 5766541),(57 5782082),(58 5790115.5),(59 5808505),(60 5813381),(61 5821887.5),(62 5817545),(63 5808056.5),(64 5791065.5),(65 5760278.5),(66 5734579),(67 5706011.5),(68 5687908),(69 5713339.5),(70 5738981),(71 5782705.5),(72 5818172),(73 5852578),(74 5889642.5),(75 5933910.5),(76 5952204.5),(77 5964501.5),(78 5975475),(79 5971527.5),
