1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 3772963.3),(2 13202952),(3 26443050),(4 40697052),(5 55698548),(6 67831500),(7 80432936),(8 92835000),(9 104606520),(10 115544600),(11 125068310),(12 133290024),(13 141131470),(14 149037000),(15 157167020),(16 164550450),(17 172589740),(18 180636110),(19 188957650),(20 197852240),(21 207595220),(22 215575760),(23 222174540),(24 226750380),(25 230159890),(26 231629440),(27 230791790),(28 226758780),(29 221209090),(30 212774580),(31 205502340),(32 196501780),(33 187275920),(34 178296640),(35 170187520),(36 164882690),(37 162202740),(38 160430420),(39 160852350),(40 165061490),(41 171908020),(42 181644050),(43 193700910),(44 209995090),(45 229703820),(46 251017810),(47 273821920),(48 298973730),(49 323111420),(50 346720800),(51 368837730),(52 389652320),(53 406168540),(54 420221700),(55 433079780),(56 442363140),(57 448064600),(58 450527100),(59 451036130),(60 448336600),(61 442165920),(62 433953060),(63 425759700),(64 416921120),(65 407209630),(66 397115800),(67 386387800),(68 376512670),(69 367507100),(70 360034850),(71 352289060),(72 344721920),(73 336092670),(74 326691740),(75 317915420),(76 309691500),(77 301821950),(78 296170880),(79 291119500),
(1 4705147),(2 16380614),(3 33042556),(4 51178068),(5 68878350),(6 82170070),(7 92788390),(8 99361200),(9 102413400),(10 103702800),(11 104571260),(12 105602060),(13 107679064),(14 110491430),(15 115044930),(16 120099660),(17 126088370),(18 132099160),(19 139135140),(20 147365460),(21 156238340),(22 164652030),(23 172937140),(24 179324800),(25 183616900),(26 184707100),(27 182991020),(28 178333570),(29 172127200),(30 164144350),(31 156162690),(32 146151040),(33 136052600),(34 126581890),(35 119262824),(36 113984810),(37 111239080),(38 110411460),(39 112183040),(40 115563624),(41 119320450),(42 124122940),(43 130101330),(44 136867980),(45 145343520),(46 156473540),(47 170222850),(48 185379580),(49 201961420),(50 218596130),(51 234913180),(52 249721040),(53 262354400),(54 273317800),(55 282403780),(56 289878370),(57 295088130),(58 297587360),(59 297637300),(60 294064860),(61 287922880),(62 280538080),(63 273220770),(64 265444450),(65 257991220),(66 251497010),(67 246020900),(68 242357660),(69 241574450),(70 240913760),(71 238853920),(72 234746320),(73 227678770),(74 218588420),(75 206831180),(76 193217040),(77 179492660),(78 166799140),(79 156958270),
(1 4695203.5),(2 15686536),(3 31128278),(4 47175536),(5 62021376),(6 73295576),(7 82943920),(8 89020984),(9 91575510),(10 91374550),(11 89162430),(12 86125350),(13 83016104),(14 79824970),(15 77084420),(16 75824900),(17 75145096),(18 74345790),(19 73639990),(20 75126616),(21 78460590),(22 83213496),(23 88650180),(24 95640310),(25 102744060),(26 109858584),(27 115071870),(28 118118696),(29 119261920),(30 118574140),(31 116486400),(32 112692930),(33 107911880),(34 102144710),(35 96346460),(36 91844060),(37 87929256),(38 84065250),(39 82133980),(40 82488250),(41 84243890),(42 88184890),(43 92996390),(44 99254780),(45 106727420),(46 115270536),(47 124501464),(48 134061250),(49 143556270),(50 152118300),(51 159603330),(52 165571900),(53 168748820),(54 170839180),(55 172023660),(56 173497010),(57 175176620),(58 176168510),(59 176836400),(60 176072180),(61 174706110),(62 172241100),(63 169237170),(64 165683520),(65 162602800),(66 160892420),(67 160083950),(68 159412910),(69 159651920),(70 160511410),(71 161251280),(72 161367310),(73 160112180),(74 156866270),(75 151416980),(76 144433220),(77 136267500),(78 127581590),(79 119787230),
(1 3706442.8),(2 11623693),(3 21892936),(4 30849656),(5 37733340),(6 42323470),(7 45662000),(8 48074612),(9 50043556),(10 51560690),(11 52498556),(12 53231252),(13 53584390),(14 54141456),(15 54485390),(16 54703440),(17 54783950),(18 54912760),(19 55079440),(20 55492530),(21 56747092),(22 59159810),(23 62342990),(24 66286300),(25 70573240),(26 74723300),(27 77911430),(28 79264650),(29 78513540),(30 76527310),(31 74441020),(32 71714450),(33 70278170),(34 69136744),(35 67737380),(36 65800020),(37 62630692),(38 59515652),(39 58188176),(40 59064270),(41 61087296),(42 64085690),(43 66557228),(44 68156230),(45 68800480),(46 69700664),(47 71763740),(48 75432264),(49 80285110),(50 85058580),(51 89058400),(52 91482320),(53 91890900),(54 90485880),(55 88592000),(56 86866320),(57 86126210),(58 86564510),(59 88264630),(60 90975620),(61 93911224),(62 96162150),(63 97167256),(64 97217976),(65 96831304),(66 96732560),(67 96598050),(68 96187570),(69 94368100),(70 91172136),(71 87459544),(72 84150616),(73 81239200),(74 79133080),(75 78480100),(76 79308616),(77 80250456),(78 79276120),(79 76681950),
(1 3736387),(2 11243821),(3 19860876),(4 26257602),(5 30018420),(6 31670804),(7 32067368),(8 31765836),(9 31425434),(10 31244072),(11 31193822),(12 31531686),(13 32570676),(14 34421100),(15 36475200),(16 37933800),(17 38376180),(18 37880850),(19 36781450),(20 35621748),(21 35277220),(22 36625204),(23 39352244),(24 43123068),(25 47113492),(26 51123900),(27 54659456),(28 57520892),(29 59186280),(30 59636924),(31 58958590),(32 56564840),(33 54198524),(34 52204132),(35 50503270),(36 48650930),(37 46114776),(38 43657530),(39 42514140),(40 43101980),(41 45244868),(42 48934084),(43 52083340),(44 53675520),(45 53638120),(46 52754740),(47 52032304),(48 52324636),(49 53516148),(50 55658290),(51 58458264),(52 61510170),(53 64097468),(54 64758524),(55 64608410),(56 63010628),(57 60828590),(58 59331416),(59 59382156),(60 61356732),(61 64276096),(62 67224880),(63 69205730),(64 69755040),(65 68754584),(66 66329256),(67 63232780),(68 60282316),(69 57534244),(70 55466076),(71 54726900),(72 55457780),(73 56501028),(74 56993140),(75 57419836),(76 58189104),(77 59588070),(78 61086940),(79 62810820),
(1 5438362),(2 15702091),(3 26128236),(4 32021126),(5 33744824),(6 32624742),(7 30016416),(8 27181116),(9 24996958),(10 23732390),(11 23336824),(12 24448092),(13 26507652),(14 29295360),(15 31805024),(16 33277708),(17 33324180),(18 31873548),(19 29630118),(20 27473180),(21 26214640),(22 26123708),(23 27028100),(24 28759642),(25 31079060),(26 33312372),(27 35163852),(28 36987880),(29 38317868),(30 38632156),(31 37790068),(32 36145290),(33 34999028),(34 34897470),(35 35365130),(36 35898504),(37 36436630),(38 36568000),(39 36343624),(40 35546068),(41 34631284),(42 34419080),(43 35387212),(44 37152812),(45 39132224),(46 40982612),(47 41809430),(48 41689350),(49 40889620),(50 40427424),(51 41581910),(52 44304820),(53 47066436),(54 48201990),(55 48321350),(56 47007130),(57 45602332),(58 44337690),(59 44415764),(60 45553790),(61 46280170),(62 45834464),(63 45270650),(64 45186470),(65 45979744),(66 47435160),(67 48754920),(68 49076184),(69 48428330),(70 46834924),(71 45593990),(72 45503104),(73 46389700),(74 47592040),(75 48060184),(76 47169176),(77 45872660),(78 44953828),(79 45019270),
(1 4969888),(2 13644990),(3 21709332),(4 25406560),(5 25676850),(6 24275172),(7 22728850),(8 21158678),(9 19759214),(10 18481326),(11 17379860),(12 16722516),(13 16855228),(14 18295800),(15 19995766),(16 21230688),(17 22043054),(18 22187884),(19 21807420),(20 21190154),(21 20668618),(22 20523050),(23 20671350),(24 20958664),(25 21611412),(26 23080726),(27 24854644),(28 26625354),(29 27969842),(30 28392254),(31 27878868),(32 25844312),(33 23715160),(34 22726564),(35 23126018),(36 24674638),(37 26469774),(38 27729994),(39 28194262),(40 27767146),(41 26609150),(42 25590392),(43 25361458),(44 26084630),(45 27723544),(46 30269316),(47 32523662),(48 33179204),(49 32467122),(50 32316276),(51 33750916),(52 35741204),(53 36956868),(54 36958096),(55 36258596),(56 35308924),(57 33848604),(58 31841472),(59 30170312),(60 29485728),(61 29613824),(62 29922060),(63 30110648),(64 30220266),(65 30563678),(66 32052950),(67 34101572),(68 35294950),(69 35659196),(70 34860760),(71 33516874),(72 32001998),(73 30848022),(74 30501110),(75 31415806),(76 33872924),(77 36167612),(78 37112840),(79 35807588),
(1 3702227.5),(2 9297501),(3 13047078),(4 14072714),(5 13765406),(6 13164145),(7 13227195),(8 13821931),(9 14148991),(10 13707337),(11 12948954),(12 12275526),(13 12076423),(14 12257236),(15 12274929),(16 12332862),(17 12741851),(18 13542559),(19 14472115),(20 14900677),(21 14796752),(22 14388269),(23 13381756),(24 12309699),(25 12617125),(26 13856911),(27 14837570),(28 15193729),(29 15387197),(30 15256998),(31 14488307),(32 13520204),(33 13503104),(34 13743591),(35 13932898),(36 14882788),(37 15955306),(38 16269060),(39 15447666),(40 14149891),(41 13593314),(42 14311838),(43 15202492),(44 15460070),(45 15820774),(46 16900360),(47 17833004),(48 18474476),(49 18684692),(50 18935350),(51 18848332),(52 18829858),(53 19728444),(54 20591030),(55 20317734),(56 20429462),(57 21291076),(58 22346534),(59 22422988),(60 21981758),(61 21990196),(62 22057758),(63 22172266),(64 22170764),(65 21927988),(66 21578998),(67 21660220),(68 22000662),(69 22171452),(70 21635294),(71 20981736),(72 20571090),(73 20623464),(74 20903960),(75 20819798),(76 20040310),(77 18719244),(78 18248884),(79 18530794),
(1 3016455.5),(2 7004430),(3 9021661),(4 9509060),(5 9821397),(6 9788225),(7 9377602),(8 8852332),(9 8704060),(10 8729448),(11 8798816),(12 9262314),(13 10077757),(14 10328374),(15 10060694),(16 9697396),(17 9413586),(18 9177127),(19 9220198),(20 9762348),(21 10684787),(22 11481208),(23 11632065),(24 11130286),(25 10527940),(26 9829883),(27 9493252),(28 9673732),(29 10250071),(30 10459466),(31 9958400),(32 9203196),(33 9247586),(34 9816386),(35 9920844),(36 10068969),(37 10204327),(38 10308099),(39 10658541),(40 10725586),(41 10528478),(42 10762018),(43 11502754),(44 11968181),(45 11834696),(46 11620041),(47 11385129),(48 11189375),(49 11538878),(50 12369260),(51 12757829),(52 12779821),(53 12981496),(54 13463872),(55 13814879),(56 14161653),(57 14681742),(58 15328159),(59 15468557),(60 14977391),(61 14535951),(62 14579714),(63 14537644),(64 14087061),(65 13907379),(66 14262219),(67 14129655),(68 13459325),(69 13343784),(70 13861651),(71 14476002),(72 14784678),(73 15157969),(74 15365619),(75 14994669),(76 14449181),(77 13980331),(78 13835234),(79 14108834),
(1 2876035.8),(2 6391706),(3 7889286),(4 7979904),(5 8068437.5),(6 7964823),(7 7509202),(8 6744830),(9 6613099.5),(10 7048114),(11 7452655),(12 7880741.5),(13 8363942),(14 8672422),(15 8548959),(16 8204106),(17 7714614),(18 7233648.5),(19 7117002),(20 7489272),(21 8104343),(22 8800414),(23 9039434),(24 8552530),(25 7871692.5),(26 7344950),(27 7183493.5),(28 7383318.5),(29 7618278),(30 7780709.5),(31 7794211.5),(32 7874866),(33 7908008),(34 8045844.5),(35 8315372.5),(36 8499369),(37 8351876.5),(38 8283754),(39 8261688),(40 8413916),(41 8569714),(42 8738768),(43 9289619),(44 9663674),(45 9542409),(46 9255429),(47 9316302),(48 9627402),(49 9728571),(50 9718844),(51 9693997),(52 10149733),(53 10482266),(54 10504164),(55 10787277),(56 11056222),(57 11557953),(58 11844567),(59 11574564),(60 10858853),(61 10466397),(62 10850776),(63 11782164),(64 12143762),(65 11651136),(66 11216940),(67 11150755),(68 10933677),(69 10560482),(70 10649918),(71 11262032),(72 11742684),(73 11771996),(74 11754555),(75 11694276),(76 11579402),(77 11379746),(78 10957408),(79 10404108),
(1 2664430),(2 5460610),(3 6398046),(4 6536062),(5 6357542.5),(6 6075622.5),(7 5954456.5),(8 5737781),(9 5928372.5),(10 6447703),(11 6829152.5),(12 6922597.5),(13 6856096),(14 6468040.5),(15 5943564.5),(16 5902648.5),(17 6114744.5),(18 6447060),(19 6846360.5),(20 7260355.5),(21 7609128),(22 7745847),(23 7202250),(24 6560745.5),(25 6480176),(26 6688825),(27 6636690),(28 6392912),(29 6260593),(30 6365734.5),(31 6403197.5),(32 6559999),(33 6751180.5),(34 7042524),(35 7427830),(36 7455332.5),(37 7457616),(38 7592755.5),(39 7603810),(40 7578099.5),(41 7493725),(42 7403500.5),(43 7461256.5),(44 7467996.5),(45 7408678),(46 7472943),(47 7451671.5),(48 7551074),(49 8009509.5),(50 8280387),(51 8376363.5),(52 8543654),(53 8737498),(54 8722097),(55 8725455),(56 9174616),(57 9821368),(58 10410790),(59 10523498),(60 10323776),(61 10216383),(62 10049506),(63 10058741),(64 10498921),(65 10612774),(66 10389830),(67 10197670),(68 10251578),(69 10201448),(70 9998293),(71 10085702),(72 10514133),(73 10611772),(74 10274884),(75 10167391),(76 10863478),(77 11106615),(78 10769630),(79 10381284),
