1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17201.373),(2 35802.574),(3 53418.445),(4 70220.75),(5 81546.016),(6 91275.2),(7 100819.625),(8 106572.87),(9 111427.195),(10 116614.12),(11 119383.805),(12 121495.74),(13 126588.914),(14 129448.85),(15 131520.5),(16 135092.97),(17 137814.47),(18 140308.36),(19 143917.08),(20 145461.67),(21 148453.8),(22 149369.47),(23 152058.02),(24 154856.06),(25 156164.44),(26 160194.97),(27 162703.53),(28 164007.88),(29 169548.56),(30 174026),(31 175069.5),(32 178139.64),(33 180672.34),(34 180666.16),(35 183656.64),(36 184521.19),(37 184595.44),(38 186914.7),(39 187394.27),(40 189700.78),(41 184410.05),(42 184632.98),(43 185227.44),(44 185271.66),(45 185566),(46 186014.7),(47 187265.55),(48 188142.19),(49 188896.81),(50 187520.75),(51 188519.03),(52 189116.47),(53 188103.25),(54 190628.73),(55 193611.81),(56 194833.14),(57 198866.69),(58 200670.13),(59 198699.95),(60 197632.02),(61 196147.89),(62 197598.7),(63 202349.56),(64 204796.5),(65 207838.44),(66 207226.28),(67 209212.34),(68 210249.42),(69 211014.97),(70 211237.94),(71 211487.7),(72 210949.36),(73 210936.5),(74 212312.95),(75 213221.05),(76 216578.8),(77 218098.39),(78 214357.6),(79 216219.1),
(1 16303.258),(2 34089.746),(3 51168.707),(4 67886.05),(5 78876.914),(6 88503.49),(7 97452.89),(8 102512.445),(9 107523.805),(10 112279.06),(11 115445.414),(12 117151.98),(13 120195.85),(14 123008.37),(15 125701.83),(16 129146.64),(17 131032.58),(18 132762.95),(19 134420.48),(20 135292.11),(21 136846.52),(22 139937.72),(23 142584.84),(24 146028.22),(25 147641.52),(26 151750),(27 154803.05),(28 154030.14),(29 155834.84),(30 157963.06),(31 157884.89),(32 160715.81),(33 163277.69),(34 163540.52),(35 166015.66),(36 166518.27),(37 166948.69),(38 169008.38),(39 169449.1),(40 170540.84),(41 168275.4),(42 168757.95),(43 169706.6),(44 169938.19),(45 169806.06),(46 170086.5),(47 173605.48),(48 175456.9),(49 177544.22),(50 176454.95),(51 176560.63),(52 177407.22),(53 177097.75),(54 178596.05),(55 179980.39),(56 178683.4),(57 180876.83),(58 182230.83),(59 180419.17),(60 179000.52),(61 175727.84),(62 174316.22),(63 173330.6),(64 173363.63),(65 173476.14),(66 174712.38),(67 176754.08),(68 177802.92),(69 177744.92),(70 177484.67),(71 177377.48),(72 176706.78),(73 176793.63),(74 177474.03),(75 177150.44),(76 179461.5),(77 180817.42),(78 179254.78),(79 181467.64),
(1 15460.253),(2 32370.578),(3 48439.484),(4 62595.77),(5 72053.53),(6 79894.65),(7 87610.914),(8 92452.16),(9 96946.234),(10 101779.8),(11 105084.39),(12 106577.414),(13 110548.94),(14 113479.3),(15 116275.91),(16 118900),(17 120573.34),(18 122459.86),(19 124483.6),(20 125485.02),(21 126978.14),(22 128371.04),(23 129678.54),(24 131191.95),(25 130875.67),(26 132992.66),(27 134836.33),(28 134539.38),(29 136585.11),(30 137971.98),(31 138173.89),(32 141816.67),(33 144673.92),(34 145152.2),(35 148730.13),(36 150428.97),(37 151812.11),(38 152740.64),(39 153217.9),(40 154426.38),(41 154354.8),(42 155502.31),(43 156210.8),(44 154764.77),(45 153931.89),(46 153618.69),(47 154062.9),(48 155193.61),(49 156731.63),(50 156202.2),(51 158779.39),(52 160229),(53 159883.66),(54 161774.02),(55 164363.27),(56 164168.34),(57 166791.6),(58 168081.52),(59 168823.75),(60 171078.08),(61 170678.02),(62 170987.56),(63 173292.77),(64 175183.95),(65 177114.2),(66 176406.61),(67 177938.98),(68 178671.1),(69 178904.56),(70 178628.67),(71 178664.69),(72 180456.25),(73 180782.23),(74 181790.17),(75 181014.14),(76 182779.81),(77 184139.89),(78 182748.47),(79 186248.36),
(1 14249.337),(2 29848.924),(3 45001.766),(4 58991.816),(5 67589.25),(6 73992.86),(7 79972.62),(8 84157.25),(9 88437.16),(10 93474.02),(11 95878.63),(12 97070.234),(13 100184.555),(14 101570.86),(15 103538.67),(16 105677.59),(17 108373.05),(18 111086.625),(19 113865.26),(20 114956.53),(21 116624.15),(22 117571.77),(23 118993.53),(24 120535.11),(25 119601.44),(26 121887.27),(27 124202.555),(28 125137.04),(29 129498.586),(30 132322.66),(31 133021.13),(32 136881.56),(33 139705.56),(34 140522.2),(35 143753.19),(36 144518.42),(37 145450),(38 144536.38),(39 144401.05),(40 144455.64),(41 143554.67),(42 144212.73),(43 144775.2),(44 144683.36),(45 144963.06),(46 146281.53),(47 148723.73),(48 150162.75),(49 151874.34),(50 151682.5),(51 152365.78),(52 153034.39),(53 151730.9),(54 152449.08),(55 153000.34),(56 150670.08),(57 152707.27),(58 154045.16),(59 153494.55),(60 154160.1),(61 154168.28),(62 154572.61),(63 155871.53),(64 156626.48),(65 157413.58),(66 155861),(67 157346.61),(68 157999.53),(69 157646.84),(70 157517.23),(71 157817.64),(72 158529.58),(73 158753.58),(74 159865.64),(75 159405.16),(76 161130.66),(77 162070.67),(78 160979.63),(79 163730.33),
(1 13383.166),(2 28351.51),(3 42600.29),(4 55805.25),(5 64134.25),(6 69943.43),(7 76354.41),(8 80604.49),(9 85833.26),(10 91679.98),(11 94924.695),(12 97151.52),(13 101676.36),(14 104056.63),(15 106395.555),(16 107144.31),(17 109051.74),(18 110876.195),(19 112339.26),(20 113367.54),(21 115292.37),(22 118503.234),(23 120255.06),(24 121919.96),(25 121803),(26 123652.23),(27 124942),(28 123120.51),(29 125317.29),(30 127888.83),(31 127999.74),(32 130895.836),(33 133436.97),(34 133903.22),(35 136462.39),(36 136990.28),(37 138646.84),(38 142663.06),(39 145238.16),(40 147153.66),(41 144728.63),(42 144983.66),(43 144832.36),(44 145557.84),(45 146152.31),(46 147105.38),(47 149069.9),(48 149695.66),(49 151081.83),(50 151380.02),(51 153653.63),(52 155900.86),(53 156844.63),(54 159881.38),(55 162409.45),(56 161699.9),(57 163128.39),(58 164044.78),(59 162778.5),(60 162600.23),(61 161688.36),(62 161674.52),(63 164656.84),(64 166311.44),(65 167574.58),(66 165552.95),(67 166950.27),(68 167984.25),(69 168662.78),(70 169080.02),(71 169844.98),(72 169423.31),(73 169345.58),(74 169422.44),(75 167878.63),(76 168555.13),(77 168691.88),(78 166447),(79 167488.72),
(1 13387.056),(2 28176.621),(3 41655.332),(4 52983.555),(5 60075.96),(6 65981.39),(7 72241.96),(8 76550.23),(9 80721.37),(10 85374.484),(11 88178.59),(12 90039.87),(13 93933.9),(14 95568.234),(15 97774.18),(16 98268.586),(17 99883.31),(18 101429.734),(19 104248.34),(20 106216.13),(21 108471.45),(22 111199.125),(23 112420.766),(24 113887.03),(25 114330.875),(26 117561.44),(27 119825.49),(28 119328.01),(29 120736.836),(30 122140.01),(31 121288.41),(32 122890.08),(33 123799.516),(34 123360.516),(35 125807.72),(36 126929.17),(37 129082.66),(38 130174.73),(39 131253.06),(40 132507.16),(41 130865.22),(42 131524.52),(43 131946.5),(44 131703.28),(45 132336.08),(46 132948.61),(47 134617.61),(48 135383.23),(49 136838.44),(50 136548.92),(51 138064.34),(52 139602.73),(53 139598.73),(54 142006.9),(55 143918.53),(56 143385.27),(57 145646.47),(58 146432.73),(59 146527.06),(60 148997.42),(61 149774.84),(62 151306.92),(63 153460.14),(64 155888.44),(65 158358.92),(66 157223.92),(67 158239.63),(68 158783.38),(69 157850.89),(70 156957.02),(71 156641.2),(72 156059.97),(73 155506.05),(74 155485.64),(75 154590.52),(76 156669.78),(77 157639.52),(78 155611.95),(79 156547.58),
(1 13836.403),(2 29228.768),(3 43029.15),(4 54870.82),(5 62322.016),(6 68066.62),(7 74476.12),(8 78656.04),(9 82537.875),(10 87097.914),(11 89673.125),(12 91142.805),(13 96731.07),(14 99574.62),(15 102864.79),(16 104516.99),(17 106234.11),(18 107249.01),(19 108290.734),(20 109436.98),(21 111378.37),(22 112807.17),(23 113498.58),(24 114206.484),(25 113273.99),(26 115657.63),(27 117403.85),(28 116933.03),(29 119041.664),(30 121245.86),(31 121584.49),(32 124717.97),(33 126821.1),(34 126282.3),(35 127983.04),(36 128117.73),(37 128455.37),(38 128288.86),(39 128387.21),(40 128970.34),(41 128095.11),(42 128461.66),(43 129015.48),(44 130816.805),(45 131266.55),(46 131932.06),(47 131759.86),(48 132307.98),(49 133532.23),(50 133297.92),(51 135689.55),(52 137732.06),(53 138135.28),(54 140658.72),(55 143137.36),(56 143719.97),(57 146611.5),(58 148432.8),(59 148218.42),(60 149451.77),(61 150291.34),(62 151420.72),(63 153059.86),(64 154271.08),(65 155499.94),(66 154297.5),(67 154115.17),(68 154691.28),(69 153475.14),(70 153968.56),(71 154548.58),(72 154011.02),(73 154504.53),(74 155312.52),(75 156237.88),(76 159595.69),(77 160719.58),(78 158646.14),(79 160032.94),
(1 12279.84),(2 26003.037),(3 38796.008),(4 51463.426),(5 59790.227),(6 66090.01),(7 73043.19),(8 78289.78),(9 83233.13),(10 88623.4),(11 91252.22),(12 93663.71),(13 98061.11),(14 100421.4),(15 103013.37),(16 105178.54),(17 107863.69),(18 110062.96),(19 110702.74),(20 111182.33),(21 112021.76),(22 112074.64),(23 112610.97),(24 113281.9),(25 112815.96),(26 114393.04),(27 115571.69),(28 114526.055),(29 117196.4),(30 119111.76),(31 119485.74),(32 123004.64),(33 125979.74),(34 126064.05),(35 128032.61),(36 128360.18),(37 128832.86),(38 129858.836),(39 130251.49),(40 131659.06),(41 131361.38),(42 132343.81),(43 132981.64),(44 134355.13),(45 135355.22),(46 136612.72),(47 139347.47),(48 140682.31),(49 142675.84),(50 142562.83),(51 144236.73),(52 145654.03),(53 145393.05),(54 147169.23),(55 149014.16),(56 149479.64),(57 152524.34),(58 154086.92),(59 152919.98),(60 152952.13),(61 153062.78),(62 154075.44),(63 155359.52),(64 156062.53),(65 156993.03),(66 156659.38),(67 157525.06),(68 158027.53),(69 157433.39),(70 157932.9),(71 158294.61),(72 157321.39),(73 157360.22),(74 158133.14),(75 156746.55),(76 157363.72),(77 156880.05),(78 153060.16),(79 153604.45),
(1 12216.928),(2 25842.623),(3 38545.125),(4 50455.24),(5 58459.957),(6 64369.836),(7 71176.39),(8 75891.77),(9 80403.21),(10 85093.61),(11 87786.016),(12 89819.695),(13 93812.24),(14 95499.03),(15 96899.734),(16 97942.47),(17 100013.36),(18 101888.55),(19 102704.15),(20 103766.84),(21 105329.625),(22 107159.9),(23 108231.33),(24 109444.586),(25 110342.914),(26 113215.74),(27 115227.63),(28 115123.75),(29 116412.914),(30 117811.77),(31 117636.95),(32 120248.04),(33 122353.56),(34 122037.77),(35 123450.125),(36 123704.8),(37 124164.68),(38 125335.695),(39 126362.47),(40 128234.32),(41 128165.33),(42 129543.76),(43 130958.72),(44 133220.02),(45 133647.55),(46 134106.19),(47 135164.5),(48 135065.34),(49 135644.95),(50 135198.73),(51 136584.8),(52 137634.25),(53 137208.56),(54 138930.02),(55 141204.02),(56 142020.84),(57 145141.08),(58 147574.39),(59 147613.61),(60 148727.34),(61 149581.66),(62 151282.66),(63 154302.97),(64 155502.63),(65 156526.08),(66 155919.97),(67 156791.89),(68 156922.53),(69 154575.5),(70 153707.64),(71 152685.4),(72 152633.77),(73 152319.23),(74 152464.06),(75 151111.19),(76 152736.14),(77 153605.72),(78 151148.36),(79 151514.25),
(1 11758.062),(2 24669.234),(3 36897.098),(4 47697.133),(5 54043.797),(6 58729.61),(7 64696.402),(8 69126.38),(9 73067.484),(10 77365.2),(11 79632.375),(12 81242.9),(13 85288.1),(14 87319.55),(15 89591.695),(16 91521.64),(17 93036.48),(18 94062.4),(19 94490.79),(20 95277.125),(21 96991.555),(22 98009.98),(23 99470.95),(24 101126.625),(25 100714.37),(26 102227.42),(27 102975.17),(28 101728.85),(29 102851.42),(30 104305.414),(31 104723.14),(32 108161.64),(33 110516.94),(34 111329.18),(35 114383.47),(36 115513.53),(37 116704.03),(38 117203.14),(39 118011.195),(40 119025.64),(41 118680.59),(42 119820),(43 121185.04),(44 121972.04),(45 121850.4),(46 122053.41),(47 123297.484),(48 124016.766),(49 125218.08),(50 124852.17),(51 125609.336),(52 126681.34),(53 125467.83),(54 126761.805),(55 128673.6),(56 128820.695),(57 131418.34),(58 132725.17),(59 132445.23),(60 133369.06),(61 133611.44),(62 134523.14),(63 138309.11),(64 139513.45),(65 140585.56),(66 138912.67),(67 139976.45),(68 140717.95),(69 140962.8),(70 140271.95),(71 139816.06),(72 138570.86),(73 138292.39),(74 138670.34),(75 138259.05),(76 140071.94),(77 140760.84),(78 138690.55),(79 138267.78),
(1 11622.879),(2 24387.318),(3 36372.168),(4 46501.47),(5 52829.32),(6 57591.06),(7 63263.55),(8 67529.68),(9 72149.055),(10 77836.09),(11 81100.44),(12 83390.01),(13 86744.8),(14 88264.38),(15 89933.76),(16 91494.57),(17 93051.58),(18 94878.9),(19 95217.99),(20 96358.73),(21 97841.56),(22 97817.74),(23 98373.516),(24 99008.86),(25 98068.46),(26 99632.27),(27 100722.266),(28 100490.79),(29 102563.97),(30 104032.99),(31 103138),(32 104919.195),(33 105512.59),(34 105018.67),(35 106962.984),(36 107215.62),(37 107812.1),(38 108175.86),(39 108424.734),(40 109457.72),(41 108661.484),(42 110039.3),(43 111519.45),(44 111559.625),(45 111549.18),(46 111932.54),(47 112590.33),(48 113160.266),(49 114053.91),(50 113855.195),(51 116159.68),(52 118725.516),(53 119579.54),(54 122069.58),(55 123534.72),(56 123336.53),(57 125342.88),(58 126166.21),(59 126684.195),(60 128904.11),(61 129833.97),(62 131514.56),(63 133403.45),(64 135055.78),(65 136999.33),(66 135518.81),(67 136502.19),(68 136909.42),(69 137360.44),(70 137200.4),(71 137343.67),(72 136076.89),(73 135606.94),(74 135803.17),(75 134569.88),(76 135244.81),(77 135042.06),(78 132519.98),(79 132675.25),
(1 11059.622),(2 23026.564),(3 34377.656),(4 44485.24),(5 51445.21),(6 57111.508),(7 63712.05),(8 68417.01),(9 73401.33),(10 79457.09),(11 82926.12),(12 85847.51),(13 89359.73),(14 91289.5),(15 92826.31),(16 93032.17),(17 93894.914),(18 95347.875),(19 95100.38),(20 95419.03),(21 96022.13),(22 97570.21),(23 97975.38),(24 98758.8),(25 98425.664),(26 100347.49),(27 101954.97),(28 101897.3),(29 103803.34),(30 105355.43),(31 104377.805),(32 106394.79),(33 107679.734),(34 107857.35),(35 110038.84),(36 110548.945),(37 111113.37),(38 111842.33),(39 112396.02),(40 113444.734),(41 113297.26),(42 114005.125),(43 114746.625),(44 114166.195),(45 114151.734),(46 114590.195),(47 114629.45),(48 114927.48),(49 115690.13),(50 115608.6),(51 117192.63),(52 118734.3),(53 119613.97),(54 122277.51),(55 124080.42),(56 124093.914),(57 127363.17),(58 128965.49),(59 129280.21),(60 130559.086),(61 131374.58),(62 132102.84),(63 133351.39),(64 133565.56),(65 134348.95),(66 131873.69),(67 132400.34),(68 132838.13),(69 133294.55),(70 133240.1),(71 133274.63),(72 133224.1),(73 133267.69),(74 133698.22),(75 132457.6),(76 132242.89),(77 131840.16),(78 129265.8),(79 128853.97),
(1 11428.535),(2 23874.45),(3 35513.06),(4 45957.805),(5 53322.98),(6 59213.055),(7 65382.887),(8 69688.78),(9 73353.27),(10 77411.12),(11 79281.47),(12 80806.484),(13 83518.96),(14 84261.7),(15 84793.805),(16 83807.04),(17 84005.664),(18 84462.84),(19 84733.87),(20 84463.664),(21 84754.73),(22 85790.81),(23 86536.89),(24 87443.17),(25 87283.8),(26 89025.13),(27 90650.39),(28 91226.74),(29 94341.9),(30 96349.234),(31 96603.86),(32 98556.91),(33 99914.61),(34 100144.4),(35 103048.77),(36 104092.055),(37 105730.01),(38 107756.96),(39 109438.16),(40 111349.42),(41 110958.086),(42 112440.52),(43 114061.61),(44 114355.14),(45 114345.65),(46 114181.71),(47 115290.46),(48 116035.57),(49 117015.14),(50 116190.984),(51 117416.04),(52 118904.34),(53 118835.72),(54 120302.7),(55 121628.87),(56 120765.195),(57 122866.29),(58 123631.914),(59 123927.695),(60 125522.37),(61 126004.58),(62 126905.8),(63 128201.3),(64 129212.67),(65 130255.39),(66 127661.1),(67 128175.48),(68 128199.195),(69 127399.2),(70 125704.43),(71 124375.09),(72 123270.24),(73 122917.4),(74 123194.34),(75 122554.46),(76 123558.22),(77 124163.01),(78 122475.63),(79 124505.63),
(1 10871.508),(2 22811.848),(3 33925.215),(4 43639.695),(5 49980.78),(6 54751.227),(7 59763.79),(8 62733.965),(9 66072.91),(10 70439.24),(11 73055.266),(12 75244.46),(13 77349.61),(14 78041.555),(15 78516.04),(16 78760.28),(17 79464.88),(18 80817.41),(19 81296.39),(20 81630.86),(21 82439.555),(22 84842.375),(23 85695.445),(24 86701.6),(25 85560.02),(26 85731.87),(27 85731.6),(28 84332.72),(29 86598.42),(30 88563.27),(31 88421.71),(32 90617.875),(33 92225.29),(34 92722.05),(35 96200.67),(36 97296.445),(37 98529.055),(38 98944.14),(39 99985.875),(40 101544.89),(41 102078.45),(42 102704.484),(43 103478.8),(44 103876.64),(45 103628.086),(46 103846.734),(47 104415.305),(48 106163.44),(49 108098.24),(50 107797.27),(51 109379.93),(52 110691.02),(53 110646.61),(54 111788.2),(55 113152.45),(56 112377.984),(57 114605.89),(58 115939.36),(59 115749.29),(60 116894.945),(61 117132.516),(62 117851.734),(63 118828.25),(64 119718.59),(65 120495.914),(66 118923.07),(67 118988.61),(68 118837),(69 117478.125),(70 116391.96),(71 115707.02),(72 114343.695),(73 114068.16),(74 114134.59),(75 113815.38),(76 115071.805),(77 115408.945),(78 113878.086),(79 115081.875),
(1 10831.507),(2 22638.508),(3 33947.863),(4 43549.08),(5 49612.496),(6 53995.676),(7 58680.043),(8 61855.258),(9 65040.176),(10 69121.73),(11 71373.85),(12 73680.37),(13 76404.055),(14 77261.34),(15 78054.516),(16 78269.234),(17 79472.81),(18 81046.15),(19 82255.81),(20 82926.93),(21 83753.35),(22 85470.87),(23 86322.664),(24 87535.89),(25 87568.04),(26 89162.984),(27 89832.28),(28 88772.4),(29 89996.68),(30 91469.91),(31 90761.01),(32 93344.43),(33 95238.484),(34 95375.47),(35 97965.49),(36 98891.34),(37 99810.45),(38 101243.78),(39 102667.49),(40 104582.43),(41 104271.836),(42 105231.06),(43 106193.586),(44 105878.516),(45 106239.93),(46 107196.484),(47 110197.54),(48 112303.36),(49 114575.41),(50 115277.26),(51 115923.82),(52 116407.65),(53 115634.87),(54 117225.81),(55 119010.09),(56 118759.99),(57 120769.79),(58 121594.664),(59 120387.47),(60 120832.38),(61 120546.32),(62 120627.984),(63 121537.164),(64 121834.96),(65 122262.2),(66 119668.2),(67 120015.04),(68 119974.305),(69 120791.72),(70 120666.88),(71 120788.74),(72 119503.99),(73 119932.016),(74 120732.3),(75 120426.61),(76 121059.3),(77 121433.2),(78 119372.69),(79 119562.24),
(1 10404.474),(2 21736.617),(3 32364.61),(4 41563.17),(5 47429.62),(6 51625.277),(7 56222.53),(8 59723.703),(9 63189.586),(10 67186.07),(11 68874.91),(12 70029.95),(13 72379.13),(14 72911.03),(15 73699.21),(16 73468.51),(17 74693.484),(18 76165.71),(19 77416.17),(20 77968.54),(21 78850.16),(22 78913.34),(23 79386.34),(24 80121.57),(25 79695.51),(26 81691.88),(27 83120.46),(28 82831.27),(29 84275.266),(30 85941.29),(31 86690.08),(32 89280.484),(33 90971.77),(34 90378.91),(35 91841.48),(36 91501.75),(37 91822.75),(38 92480.555),(39 93292.984),(40 94524.39),(41 94627.875),(42 95812.82),(43 97236.18),(44 97000.86),(45 96921.92),(46 96986.09),(47 99060.305),(48 100172.516),(49 101556.41),(50 101153.65),(51 102311.64),(52 103527.766),(53 104052.37),(54 105579.625),(55 106923.15),(56 106776.27),(57 108190.35),(58 109557.72),(59 109670.19),(60 110973.21),(61 111297.23),(62 111782.24),(63 114091.055),(64 115668.17),(65 117206.4),(66 116459.69),(67 118156.305),(68 119011.32),(69 119245.89),(70 119491.29),(71 120262.85),(72 120398.69),(73 120753.85),(74 121131.766),(75 119580.95),(76 118742.96),(77 118004.29),(78 116150.914),(79 116665.766),
(1 9565.47),(2 19885.557),(3 29642.533),(4 37818.08),(5 43133.19),(6 47465.96),(7 52406.52),(8 56329.766),(9 59615.89),(10 63139.78),(11 64778.754),(12 66048.8),(13 69692.25),(14 71304.625),(15 72561.02),(16 73758.56),(17 74673.375),(18 75927.48),(19 76853.87),(20 77604.01),(21 78609.01),(22 80024.17),(23 81648.766),(24 83425.55),(25 83718),(26 85431.51),(27 86732.45),(28 86578.78),(29 88181.586),(30 89661.45),(31 90286.83),(32 92784.555),(33 94232.05),(34 93246.266),(35 94309.68),(36 94462.83),(37 94728.25),(38 96889.93),(39 98335.47),(40 99930.71),(41 98121.586),(42 98544.84),(43 99105.586),(44 98599.66),(45 97892.11),(46 97617.6),(47 98123.36),(48 98190.97),(49 98745.484),(50 98253.266),(51 99811.414),(52 100712.47),(53 100867.15),(54 101922.29),(55 103095.51),(56 103246.086),(57 105501.98),(58 106651.87),(59 106096.414),(60 107052.49),(61 107780.29),(62 108924.09),(63 111318.266),(64 112997.42),(65 114770.266),(66 113941.9),(67 115222.27),(68 116315.99),(69 115568.43),(70 115286.49),(71 115188.78),(72 113944.04),(73 113162.7),(74 112703.83),(75 111112.375),(76 111391.375),(77 111222.266),(78 110207.47),(79 111902.875),
(1 9791.77),(2 20408.777),(3 30535.604),(4 39472.555),(5 45026.863),(6 49470.867),(7 54431.414),(8 57946.957),(9 60976.973),(10 63992.41),(11 65832.15),(12 67167.32),(13 70595.664),(14 72159.67),(15 73777.234),(16 74671.03),(17 75942.59),(18 77225.56),(19 77354.42),(20 77177.34),(21 77314.92),(22 77528.35),(23 78184.99),(24 78838.77),(25 78647.75),(26 80748.46),(27 81665.67),(28 80834.6),(29 82389.94),(30 83861.336),(31 84258.734),(32 87308.35),(33 89272.82),(34 89995.38),(35 92414.43),(36 93579.87),(37 94794.055),(38 95787.1),(39 95851.445),(40 96247.45),(41 95251.1),(42 95694.26),(43 96249.08),(44 96155.67),(45 96327.37),(46 96895.24),(47 97303.53),(48 98137.414),(49 99368.484),(50 99523.62),(51 100810.4),(52 102057.63),(53 102518.71),(54 104293.15),(55 106197.45),(56 106310.45),(57 107918.09),(58 109530.94),(59 109357.125),(60 110404.04),(61 110622.016),(62 110907.39),(63 113152.43),(64 114237.39),(65 115465.19),(66 113502.26),(67 114289.61),(68 115087.695),(69 114075.97),(70 113989.16),(71 114068.8),(72 113008.1),(73 112085.44),(74 111452.1),(75 110241.62),(76 110718.836),(77 110501.91),(78 109661.9),(79 111095.375),
(1 9123.9375),(2 19005.004),(3 28237.07),(4 36125.188),(5 40990.523),(6 44760.5),(7 49061.324),(8 52403.918),(9 55416.098),(10 58398.016),(11 59962.332),(12 60939.027),(13 63615.215),(14 64883.965),(15 66207.25),(16 66309.15),(17 66778.1),(18 67598.016),(19 67678.19),(20 67583.99),(21 67797.18),(22 68342.516),(23 69096.555),(24 69983.63),(25 70591.37),(26 73340.7),(27 75083.21),(28 75619.07),(29 77403.13),(30 79105.82),(31 80035),(32 82955.63),(33 85147.04),(34 85325.59),(35 87002.02),(36 87823.164),(37 88810.484),(38 89934.055),(39 90895.61),(40 91935.516),(41 92579.39),(42 93549.586),(43 94333.76),(44 93514.77),(45 93576.2),(46 93831.84),(47 94937.9),(48 96117.53),(49 97445.266),(50 97201.84),(51 97328.555),(52 97967.93),(53 97629.93),(54 98615.74),(55 99440.47),(56 99053.85),(57 100030.414),(58 100159.68),(59 99723.2),(60 100057.96),(61 99941.25),(62 99809.15),(63 100737.15),(64 101143.6),(65 101609.21),(66 100480.55),(67 100980.58),(68 101055.75),(69 99647.13),(70 99350.664),(71 99428.09),(72 99689.79),(73 100019.07),(74 100763.74),(75 100351.66),(76 100854.67),(77 100950.14),(78 99832.78),(79 99881.04),
