1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40173.285),(2 59327.168),(3 63209.395),(4 129802),(5 178342.8),(6 200947),(7 278958.1),(8 339069.1),(9 341649.78),(10 404024.34),(11 440746.4),(12 421515.84),(13 472070.4),(14 500362.84),(15 484845.5),(16 548007.44),(17 593204.9),(18 597602.4),(19 680620.7),(20 722281.3),(21 745746.7),(22 842088.56),(23 892628),(24 887842.8),(25 956123.75),(26 980622.5),(27 951084.2),(28 1000072),(29 1005537.2),(30 957209.3),(31 999473.8),(32 1016367.3),(33 982875.8),(34 1035682.56),(35 1061630),(36 1030776.25),(37 1087084.5),(38 1121037.4),(39 1093235.9),(40 1147317.6),(41 1176437.6),(42 1140313.9),(43 1179016.4),(44 1247983.8),(45 1237205.9),(46 1299208.9),(47 1368103.1),(48 1359788.5),(49 1418699.4),(50 1479724),(51 1481471),(52 1562784.5),(53 1661780.6),(54 1696170.6),(55 1810062.9),(56 1942017.5),(57 2020565.1),(58 2162971.3),(59 2310451),(60 2392991),(61 2552730),(62 2731805.8),(63 2824690),(64 2996769.3),(65 3146773.3),(66 3244013.3),(67 3400432),(68 3558014.8),(69 3615504.8),(70 3761264.8),(71 3901540),(72 3991144),(73 4139342.8),(74 4293979),(75 4390830.5),(76 4545927.5),(77 4696364),(78 4771223.5),(79 4893865),
(1 47785.293),(2 72132.016),(3 74306.984),(4 153147.03),(5 204028.4),(6 227665.34),(7 324281.9),(8 391457.9),(9 410358.6),(10 510043),(11 572173.75),(12 585884.2),(13 685243.2),(14 735189.8),(15 739691.7),(16 832401),(17 886951.8),(18 893960.6),(19 997501.9),(20 1068919.4),(21 1077431.5),(22 1177953.3),(23 1248967.1),(24 1237463.3),(25 1342163.4),(26 1409779.4),(27 1398073),(28 1516461.6),(29 1575128),(30 1548347.6),(31 1644921.8),(32 1704150.8),(33 1676775),(34 1777292.6),(35 1845222.4),(36 1828010.8),(37 1936669.3),(38 2022311.8),(39 2000090.6),(40 2102249.5),(41 2163094.5),(42 2132047.8),(43 2221860.3),(44 2315797.5),(45 2296983),(46 2400317.5),(47 2458400.8),(48 2432882.8),(49 2517537.8),(50 2578142.8),(51 2542652.3),(52 2630042.5),(53 2699207.5),(54 2664073.5),(55 2747545.5),(56 2806954),(57 2777959.5),(58 2855753.5),(59 2889074),(60 2847340.5),(61 2897861),(62 2922455.5),(63 2862748),(64 2901478.8),(65 2931940),(66 2887407.8),(67 2927901.3),(68 2961450.5),(69 2888441.5),(70 2918894),(71 2930568.8),(72 2862887.3),(73 2871672.8),(74 2852660.3),(75 2767041.8),(76 2765454.5),(77 2760646.5),(78 2681556),(79 2686341.3),
(1 35568.766),(2 69474.586),(3 93046),(4 169831.58),(5 239195.42),(6 288678.2),(7 387984.75),(8 478276),(9 538631.2),(10 646536.5),(11 740766),(12 809160.7),(13 931349.7),(14 1024623.2),(15 1096949.6),(16 1221837.1),(17 1332211.4),(18 1417736.1),(19 1552466.4),(20 1663830.1),(21 1743609.5),(22 1858657.1),(23 1971776),(24 2054281.4),(25 2185574.8),(26 2300655.5),(27 2404166),(28 2564143.5),(29 2690352.5),(30 2813473.8),(31 2987394.8),(32 3130682.8),(33 3263933),(34 3433133.8),(35 3576220),(36 3692757),(37 3850704.8),(38 3991952),(39 4121460.8),(40 4287282.5),(41 4427062.5),(42 4562755.5),(43 4744459.5),(44 4776529.5),(45 4882565.5),(46 5038748),(47 5154968),(48 5278907),(49 5442347),(50 5549395.5),(51 5647166.5),(52 5776983.5),(53 5864645.5),(54 5937404),(55 6051736.5),(56 6127842.5),(57 6200478.5),(58 6321579.5),(59 6378654.5),(60 6416294),(61 6496032.5),(62 6526665.5),(63 6546302.5),(64 6601890.5),(65 6702009.5),(66 6803041.5),(67 6950382.5),(68 7043052),(69 7129244),(70 7250256),(71 7334474.5),(72 7407152),(73 7532713.5),(74 7586902.5),(75 7630711.5),(76 7737381.5),(77 7809748),(78 7872803.5),(79 8007712.5),
(1 23408.96),(2 54006.637),(3 88757.516),(4 157492.94),(5 229157.36),(6 301095.63),(7 406009.44),(8 508924.78),(9 601453.5),(10 726935.25),(11 849049.94),(12 961391.56),(13 1109035.1),(14 1249760.6),(15 1380454.8),(16 1545991.4),(17 1710898.9),(18 1861247.8),(19 2047518),(20 2239296),(21 2416995.8),(22 2623191.5),(23 2829142.8),(24 3013345.3),(25 3232866.3),(26 3445491),(27 3640623.8),(28 3867892),(29 4084619.5),(30 4284172.5),(31 4529875.5),(32 4782365.5),(33 5020490.5),(34 5316419.5),(35 5622879),(36 5917798),(37 6269866.5),(38 6616031),(39 6902266),(40 7230594),(41 7551793),(42 7830301.5),(43 8135993),(44 8654524),(45 9014390),(46 9422850),(47 9847043),(48 10229107),(49 10673783),(50 11115473),(51 11541578),(52 11992028),(53 12477026),(54 12909301),(55 13342029),(56 13772266),(57 14165845),(58 14558013),(59 14937447),(60 15293988),(61 15672501),(62 16047442),(63 16397506),(64 16762475),(65 17074660),(66 17337818),(67 17634488),(68 17906708),(69 18127546),(70 18313494),(71 18461668),(72 18554304),(73 18657788),(74 18711150),(75 18739080),(76 18778464),(77 18805864),(78 18795428),(79 18807754),
(1 20993.947),(2 52328.84),(3 92740.62),(4 162415.4),(5 237681.4),(6 316180.25),(7 424578.8),(8 528448.06),(9 626970.44),(10 753326.56),(11 874420.56),(12 990583.4),(13 1138353.3),(14 1281642.9),(15 1429504.9),(16 1609429.3),(17 1792145.3),(18 1977944),(19 2192842.5),(20 2403746.3),(21 2621763.8),(22 2866085),(23 3101403.8),(24 3336832.8),(25 3610720.8),(26 3886473.8),(27 4161964.8),(28 4470608),(29 4767127.5),(30 5061320),(31 5395284.5),(32 5719676.5),(33 6058423.5),(34 6428163.5),(35 6790068.5),(36 7142541),(37 7539521.5),(38 7926757),(39 8309667),(40 8723392),(41 9138269),(42 9548236),(43 9984977),(44 10354098),(45 10753788),(46 11180247),(47 11594407),(48 11994948),(49 12443391),(50 12855961),(51 13272047),(52 13715773),(53 14165233),(54 14596611),(55 15037626),(56 15475297),(57 15916336),(58 16359273),(59 16756009),(60 17140638),(61 17525082),(62 17865458),(63 18179390),(64 18492084),(65 18793418),(66 19064248),(67 19346068),(68 19566676),(69 19754198),(70 19936288),(71 20051526),(72 20132902),(73 20220594),(74 20253088),(75 20256898),(76 20273464),(77 20267354),(78 20220474),(79 20214632),
(1 24585.523),(2 76445.336),(3 155928.4),(4 267387.38),(5 400992.94),(6 554640.2),(7 737722.06),(8 932635.2),(9 1137159.4),(10 1364570.9),(11 1594758.4),(12 1836416.4),(13 2099357.8),(14 2364976.5),(15 2643608.5),(16 2924064.8),(17 3212598.5),(18 3499073.5),(19 3798284.5),(20 4095728),(21 4395983),(22 4688886.5),(23 4984628),(24 5268681),(25 5556166),(26 5833757),(27 6106473.5),(28 6380469),(29 6646306.5),(30 6896817),(31 7143322.5),(32 7382556),(33 7616529.5),(34 7848757),(35 8069536),(36 8285381.5),(37 8507102),(38 8717526),(39 8923211),(40 9110782),(41 9293131),(42 9479949),(43 9662808),(44 9961672),(45 10163706),(46 10381096),(47 10578226),(48 10778011),(49 10985175),(50 11182512),(51 11395998),(52 11610893),(53 11847314),(54 12093188),(55 12344922),(56 12609118),(57 12876943),(58 13169906),(59 13463286),(60 13772301),(61 14079893),(62 14379120),(63 14705030),(64 15011874),(65 15311114),(66 15642661),(67 15975357),(68 16316669),(69 16671334),(70 17027584),(71 17385812),(72 17738592),(73 18088500),(74 18437272),(75 18773572),(76 19106214),(77 19435476),(78 19753510),(79 20055974),
(1 17748.682),(2 55844.5),(3 113121.16),(4 196313.02),(5 296701.22),(6 410781.63),(7 551736.06),(8 704788.6),(9 865452.4),(10 1053383.9),(11 1249814.3),(12 1452243.3),(13 1678178.6),(14 1911838.6),(15 2155467),(16 2421506.3),(17 2693606.8),(18 2976525.5),(19 3289679.8),(20 3618733.8),(21 3950857.3),(22 4294232),(23 4646555),(24 5008354),(25 5396899),(26 5780869),(27 6177102),(28 6585532.5),(29 6991508.5),(30 7398741.5),(31 7820625),(32 8229138.5),(33 8647183),(34 9069493),(35 9483744),(36 9898382),(37 10317899),(38 10724290),(39 11117339),(40 11501915),(41 11875660),(42 12229868),(43 12574912),(44 12981035),(45 13307686),(46 13618673),(47 13902315),(48 14145271),(49 14371996),(50 14582836),(51 14774911),(52 14932635),(53 15079324),(54 15197806),(55 15300162),(56 15381115),(57 15432441),(58 15459863),(59 15462053),(60 15438887),(61 15408311),(62 15365182),(63 15311409),(64 15264554),(65 15192592),(66 15120766),(67 15048590),(68 14991606),(69 14925536),(70 14871355),(71 14827838),(72 14780704),(73 14748404),(74 14724853),(75 14699214),(76 14692180),(77 14702062),(78 14713748),(79 14757006),
(1 18661.582),(2 61093.227),(3 125276.664),(4 214698.64),(5 323841.28),(6 449970.13),(7 596712.7),(8 768038.75),(9 951836.2),(10 1159560.8),(11 1394256.9),(12 1650979.1),(13 1932619.4),(14 2242518.3),(15 2573078.5),(16 2924686.5),(17 3300267.3),(18 3701657),(19 4115090.3),(20 4543450),(21 4988154.5),(22 5431457.5),(23 5893515.5),(24 6358224),(25 6833663),(26 7308549.5),(27 7797195.5),(28 8295582.5),(29 8785033),(30 9273637),(31 9771202),(32 10251071),(33 10719181),(34 11163072),(35 11582993),(36 11984527),(37 12380033),(38 12746691),(39 13079285),(40 13396039),(41 13695472),(42 13971238),(43 14241568),(44 14486207),(45 14687391),(46 14867154),(47 15021692),(48 15118125),(49 15190389),(50 15245011),(51 15276058),(52 15291317),(53 15302768),(54 15270127),(55 15237426),(56 15193988),(57 15139292),(58 15072756),(59 14985524),(60 14871428),(61 14750480),(62 14612011),(63 14436725),(64 14257662),(65 14074228),(66 13871470),(67 13685308),(68 13490082),(69 13288732),(70 13112130),(71 12928314),(72 12743235),(73 12567913),(74 12391241),(75 12219712),(76 12065434),(77 11914821),(78 11758055),(79 11619743),
(1 27189.35),(2 97267.914),(3 209945.7),(4 362765.38),(5 550023.8),(6 772596.94),(7 1025865.6),(8 1311467.1),(9 1626973.8),(10 1967575.5),(11 2333906.5),(12 2724432.8),(13 3130818),(14 3545826.3),(15 3976515.3),(16 4400854.5),(17 4829359.5),(18 5260774.5),(19 5679767.5),(20 6086608.5),(21 6477990),(22 6839331),(23 7178284.5),(24 7490548.5),(25 7779450.5),(26 8045226.5),(27 8295181),(28 8520642),(29 8725783),(30 8909340),(31 9060250),(32 9193875),(33 9311033),(34 9405247),(35 9484376),(36 9550836),(37 9596603),(38 9627870),(39 9654164),(40 9683110),(41 9708536),(42 9747401),(43 9794861),(44 9937131),(45 10052904),(46 10169001),(47 10311297),(48 10457350),(49 10616245),(50 10782795),(51 10967108),(52 11149104),(53 11344017),(54 11544545),(55 11754284),(56 11960514),(57 12163428),(58 12365193),(59 12561974),(60 12752375),(61 12935339),(62 13093869),(63 13240826),(64 13370102),(65 13476290),(66 13550285),(67 13623926),(68 13683172),(69 13726963),(70 13741713),(71 13726264),(72 13685484),(73 13622863),(74 13543360),(75 13425921),(76 13295938),(77 13155206),(78 12992651),(79 12803366),
(1 23542.986),(2 83495.78),(3 179321.17),(4 310155.34),(5 472591.66),(6 660705.5),(7 876308.56),(8 1122077.8),(9 1383337),(10 1667547.8),(11 1973521.4),(12 2287857.3),(13 2620648.3),(14 2964829.8),(15 3313365),(16 3676881.3),(17 4054035.5),(18 4422538),(19 4796911.5),(20 5163096),(21 5513987.5),(22 5850200.5),(23 6172493.5),(24 6466043.5),(25 6746798),(26 7012381),(27 7253851.5),(28 7483898),(29 7700230),(30 7893266),(31 8060074.5),(32 8203077.5),(33 8324354),(34 8426089),(35 8510580),(36 8569136),(37 8615367),(38 8650665),(39 8673627),(40 8694857),(41 8707559),(42 8718900),(43 8740921),(44 8762148),(45 8779708),(46 8800158),(47 8819492),(48 8827812),(49 8842976),(50 8857745),(51 8879246),(52 8906178),(53 8938116),(54 8967044),(55 9004479),(56 9037148),(57 9072017),(58 9115184),(59 9152468),(60 9179707),(61 9219753),(62 9247020),(63 9276703),(64 9311103),(65 9361483),(66 9401209),(67 9442338),(68 9487383),(69 9531125),(70 9575676),(71 9614346),(72 9651684),(73 9692734),(74 9731390),(75 9761044),(76 9802338),(77 9839522),(78 9870510),(79 9902756),
(1 26394.197),(2 95734.945),(3 207701.7),(4 360355.6),(5 550859.3),(6 773622.8),(7 1034412.5),(8 1326602.9),(9 1644663.3),(10 1988381.9),(11 2354577.5),(12 2741429.8),(13 3148826.8),(14 3568394.8),(15 4006951),(16 4449087),(17 4895460),(18 5345781),(19 5791849),(20 6226030),(21 6635977.5),(22 7019384.5),(23 7371890),(24 7698349.5),(25 7997779),(26 8269630),(27 8516446),(28 8736530),(29 8929286),(30 9101792),(31 9249352),(32 9364414),(33 9456429),(34 9511237),(35 9543748),(36 9543989),(37 9520391),(38 9486156),(39 9432885),(40 9368181),(41 9295904),(42 9222671),(43 9153613),(44 9094803),(45 9027669),(46 8964017),(47 8903926),(48 8836914),(49 8779418),(50 8722304),(51 8659599),(52 8597312),(53 8553882),(54 8499110),(55 8460507),(56 8424503),(57 8403215),(58 8398395),(59 8400147),(60 8407393),(61 8440247),(62 8479782),(63 8536662),(64 8618776),(65 8729384),(66 8847750),(67 8979620),(68 9117258),(69 9250939),(70 9394901),(71 9529272),(72 9676224),(73 9837058),(74 10001423),(75 10176344),(76 10357419),(77 10527104),(78 10689585),(79 10856075),
