1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 47693.88),(2 141478.5),(3 269680),(4 409453.47),(5 549559.44),(6 704620.8),(7 858526.44),(8 1016330.3),(9 1178977.3),(10 1298552.6),(11 1421897),(12 1547745.4),(13 1679927.9),(14 1832995.5),(15 2009994),(16 2191165.5),(17 2375563.8),(18 2594225.8),(19 2792058.3),(20 2970968.8),(21 3154965.8),(22 3354606),(23 3551340),(24 3799103.8),(25 4004179.8),(26 4242181),(27 4480794.5),(28 4713793.5),(29 5021627.5),(30 5347252),(31 5690096),(32 6048704.5),(33 6352188.5),(34 6612949.5),(35 6834186.5),(36 7044068),(37 7222724.5),(38 7375629.5),(39 7549180),(40 7742970.5),(41 7900038.5),(42 8003388),(43 8081390.5),(44 8082346.5),(45 7986646),(46 7856226.5),(47 7743100.5),(48 7649967.5),(49 7532644.5),(50 7425095.5),(51 7333355.5),(52 7310210.5),(53 7287327.5),(54 7353583.5),(55 7430749.5),(56 7526961.5),(57 7569826),(58 7612549.5),(59 7692142),(60 7723306.5),(61 7876788.5),(62 8042872),(63 8178599.5),(64 8432006),(65 8634553),(66 8863755),(67 9127219),(68 9467304),(69 9669472),(70 10035317),(71 10527551),(72 10958767),(73 11314825),(74 11657471),(75 12126867),(76 12565509),(77 12982941),(78 13465099),(79 13792127),
(1 52012.125),(2 171240.05),(3 331836.34),(4 512682.75),(5 699719.1),(6 887892.4),(7 1070693.1),(8 1256946),(9 1441637.9),(10 1597647.3),(11 1756123),(12 1924725),(13 2091228.8),(14 2235048),(15 2370382.5),(16 2516735.5),(17 2625388.8),(18 2716909.5),(19 2832395.5),(20 2955157.8),(21 3105249.5),(22 3268886),(23 3472455.5),(24 3652123.5),(25 3839720),(26 4042775.3),(27 4260753),(28 4495197.5),(29 4762727),(30 5078872),(31 5397094.5),(32 5740803),(33 6071329),(34 6403746),(35 6655478.5),(36 6894771),(37 7098013),(38 7307335),(39 7468279),(40 7607609.5),(41 7714671),(42 7766849.5),(43 7765545.5),(44 7699253),(45 7595316),(46 7488449),(47 7360211),(48 7246402.5),(49 7140691),(50 7014346.5),(51 6883683),(52 6742877),(53 6595231.5),(54 6475020),(55 6355485.5),(56 6249567),(57 6154045),(58 6085219),(59 6033258),(60 6018263),(61 6034241),(62 6053666.5),(63 6097200),(64 6182413),(65 6265693.5),(66 6389302.5),(67 6570256.5),(68 6762780),(69 6915654.5),(70 7132494.5),(71 7400241.5),(72 7695534.5),(73 7983261),(74 8311459),(75 8624549),(76 8999427),(77 9430410),(78 9886861),(79 10359556),
(1 39911.184),(2 133885.08),(3 272486.38),(4 445571.28),(5 641637.5),(6 855276.3),(7 1051340.9),(8 1222278),(9 1391857.4),(10 1553907.5),(11 1694591.6),(12 1832300),(13 1965465.4),(14 2107251.8),(15 2267226.8),(16 2427207.5),(17 2560418.8),(18 2685075.8),(19 2808713.3),(20 2938374),(21 3072378.8),(22 3206728.8),(23 3359834.3),(24 3509860.3),(25 3645650),(26 3806606.8),(27 4009994.8),(28 4209479.5),(29 4422609.5),(30 4651680),(31 4894021.5),(32 5138762.5),(33 5380362.5),(34 5606292),(35 5763894),(36 5936580.5),(37 6099464.5),(38 6257134.5),(39 6394405.5),(40 6496519.5),(41 6628960.5),(42 6708396.5),(43 6757928.5),(44 6782772),(45 6836068),(46 6919238.5),(47 6953796.5),(48 6981208.5),(49 7020824),(50 7060166.5),(51 7086526.5),(52 7065489.5),(53 6991125.5),(54 6930361.5),(55 6895612),(56 6882736.5),(57 6840186.5),(58 6789574.5),(59 6773186),(60 6779756.5),(61 6817905.5),(62 6873210.5),(63 6922938.5),(64 7000460),(65 7104470),(66 7195570.5),(67 7254488),(68 7301981.5),(69 7313936.5),(70 7366601.5),(71 7418226.5),(72 7466320),(73 7521256.5),(74 7652718),(75 7824870.5),(76 7993509.5),(77 8206036),(78 8425739),(79 8672127),
(1 43048.484),(2 147819.19),(3 290687.5),(4 462004.72),(5 662821.44),(6 898870.25),(7 1164354.1),(8 1449286.3),(9 1732373.9),(10 1989422.6),(11 2237001.3),(12 2499791),(13 2712357),(14 2923146.5),(15 3155539),(16 3388981),(17 3589669),(18 3784008.5),(19 3979551),(20 4170937.3),(21 4361687),(22 4551282.5),(23 4701699.5),(24 4839833.5),(25 4958013.5),(26 5071193),(27 5175378),(28 5250773.5),(29 5274763),(30 5250707.5),(31 5234790.5),(32 5183142),(33 5105882),(34 5035529),(35 4967058.5),(36 4915623),(37 4872999),(38 4847096),(39 4825743),(40 4824342.5),(41 4809186),(42 4787246),(43 4740538.5),(44 4695981.5),(45 4647468),(46 4601752.5),(47 4589618.5),(48 4613479.5),(49 4644859.5),(50 4718780.5),(51 4857807),(52 4958278),(53 5075122.5),(54 5205209),(55 5331504),(56 5442360),(57 5534462),(58 5566302),(59 5600189),(60 5649167),(61 5715520),(62 5839323.5),(63 5910074),(64 5962649.5),(65 6023532.5),(66 6073744),(67 6129188.5),(68 6144966),(69 6117523.5),(70 6066807),(71 6038307.5),(72 5994153.5),(73 5960890),(74 5933114),(75 5934260.5),(76 5924860.5),(77 5937674),(78 5971722),(79 6051203.5),
(1 56219.12),(2 194104),(3 401086.53),(4 664436),(5 961015.44),(6 1291000),(7 1656375.3),(8 2028695.1),(9 2409507.8),(10 2785402.5),(11 3130610.3),(12 3485021.8),(13 3814890.3),(14 4188135.3),(15 4561220.5),(16 4913637.5),(17 5241288.5),(18 5553614.5),(19 5832160),(20 6089684.5),(21 6308889.5),(22 6491964.5),(23 6635739.5),(24 6751598.5),(25 6839558.5),(26 6915385.5),(27 6963524.5),(28 7001438),(29 7018588.5),(30 7010976),(31 6995099.5),(32 6996049.5),(33 7000745.5),(34 7041923),(35 7115046),(36 7223524.5),(37 7321966.5),(38 7422781),(39 7567191.5),(40 7708759.5),(41 7870810),(42 7999331),(43 8153230.5),(44 8334959.5),(45 8496185),(46 8685999),(47 8946099),(48 9212883),(49 9420984),(50 9636596),(51 9887218),(52 10088716),(53 10304719),(54 10480346),(55 10654764),(56 10830228),(57 10957535),(58 11052783),(59 11146737),(60 11228290),(61 11372000),(62 11461180),(63 11478729),(64 11448887),(65 11391988),(66 11311437),(67 11224387),(68 11154066),(69 11048858),(70 10976570),(71 10967474),(72 10929129),(73 10934106),(74 10887497),(75 10929164),(76 10951075),(77 10962928),(78 10973510),(79 10973057),
(1 63244.164),(2 211504.25),(3 433752.2),(4 721934.1),(5 1049316.3),(6 1421285.4),(7 1824706.6),(8 2268735.8),(9 2748999.5),(10 3249077.5),(11 3714087.3),(12 4178570.5),(13 4647130.5),(14 5136752.5),(15 5604515),(16 6066953),(17 6512633.5),(18 6913245.5),(19 7303384),(20 7671702.5),(21 8038358.5),(22 8320419),(23 8594878),(24 8846370),(25 9088042),(26 9329678),(27 9554910),(28 9811800),(29 10111234),(30 10466918),(31 10797818),(32 11179722),(33 11587839),(34 12023571),(35 12477748),(36 12936589),(37 13341537),(38 13724754),(39 14125456),(40 14455045),(41 14780464),(42 15032130),(43 15296130),(44 15557552),(45 15859811),(46 16243597),(47 16606013),(48 16890322),(49 17110000),(50 17266532),(51 17431022),(52 17563540),(53 17676880),(54 17622370),(55 17520214),(56 17482084),(57 17464586),(58 17421296),(59 17418182),(60 17374138),(61 17326316),(62 17263652),(63 17139294),(64 17012364),(65 16863004),(66 16676829),(67 16466038),(68 16299344),(69 16167635),(70 16120318),(71 16169085),(72 16214136),(73 16357082),(74 16446776),(75 16610414),(76 16762610),(77 16894752),(78 16957814),(79 17009400),
(1 62026.973),(2 210064.89),(3 434358.8),(4 705925.6),(5 1011969.25),(6 1351896.8),(7 1705633.5),(8 2075285.3),(9 2443247.5),(10 2807887),(11 3190774.3),(12 3580837.8),(13 3970162.5),(14 4347378),(15 4717313),(16 5098308),(17 5430503.5),(18 5732680),(19 6016074),(20 6268979.5),(21 6462413.5),(22 6635797),(23 6795304),(24 6957129),(25 7104654),(26 7235595.5),(27 7352487.5),(28 7487498),(29 7603578),(30 7727202),(31 7821947),(32 7885381.5),(33 7921281),(34 7946887),(35 7991718),(36 8031086),(37 8039048.5),(38 8020819),(39 8002307),(40 7894313),(41 7780259.5),(42 7640096.5),(43 7527227),(44 7455684.5),(45 7414279),(46 7364530.5),(47 7327048.5),(48 7299540.5),(49 7222099.5),(50 7138045),(51 7100699.5),(52 7100439),(53 7121711.5),(54 7094487.5),(55 7031807.5),(56 6957467.5),(57 6878791.5),(58 6837546),(59 6833073),(60 6869501.5),(61 6944646),(62 7003598),(63 7065117),(64 7148112),(65 7239487.5),(66 7336005),(67 7436412.5),(68 7562295),(69 7701243),(70 7880528.5),(71 8109854),(72 8309445.5),(73 8492242),(74 8627754),(75 8781181),(76 8889973),(77 8974673),(78 9096246),(79 9181520),
(1 47810.816),(2 158517.64),(3 321939.53),(4 518202.88),(5 731675.75),(6 960569.4),(7 1214143.9),(8 1477401.8),(9 1743515.5),(10 2001253.8),(11 2253932.3),(12 2489810.3),(13 2721408.5),(14 2943938.5),(15 3140664.5),(16 3322220.8),(17 3486107.5),(18 3626134.5),(19 3698816.5),(20 3754986.8),(21 3777221.3),(22 3804378.3),(23 3824620.8),(24 3851629),(25 3875737),(26 3907408),(27 3953045.3),(28 4017017.5),(29 4085388.5),(30 4151147.5),(31 4235101.5),(32 4309345.5),(33 4372096),(34 4410412.5),(35 4407121.5),(36 4383054.5),(37 4338052.5),(38 4274058),(39 4191981.5),(40 4087335.3),(41 4004351),(42 3903385),(43 3825966.8),(44 3777343),(45 3756252.8),(46 3764796.3),(47 3763076.3),(48 3766991),(49 3759046.8),(50 3744598.3),(51 3740735.5),(52 3732706.8),(53 3719613),(54 3704765),(55 3686854.5),(56 3691535.3),(57 3713365),(58 3750590.3),(59 3815144.5),(60 3887129.8),(61 3968682.8),(62 4050433.3),(63 4120293),(64 4191387.8),(65 4283502),(66 4384487.5),(67 4484091),(68 4590205.5),(69 4721770),(70 4846849),(71 4999640.5),(72 5154973.5),(73 5299934),(74 5417787),(75 5497788.5),(76 5547427),(77 5567283),(78 5609507.5),(79 5634166.5),
(1 54526.72),(2 178022.63),(3 357730.78),(4 557736.7),(5 763811.7),(6 969552.75),(7 1162771),(8 1356036.3),(9 1529175.4),(10 1692502.6),(11 1843841.4),(12 2009255.3),(13 2169130),(14 2345462),(15 2480579.3),(16 2599232.5),(17 2689208),(18 2747926),(19 2750262),(20 2736314.3),(21 2723938),(22 2688929.3),(23 2680149.8),(24 2665022),(25 2652531.3),(26 2629465),(27 2618724),(28 2621533.5),(29 2630081.8),(30 2640923.8),(31 2658465),(32 2679677.3),(33 2702363.8),(34 2737929),(35 2785762),(36 2835726),(37 2914081.3),(38 3000013),(39 3053964.8),(40 3109142.5),(41 3157330.3),(42 3208198.5),(43 3243674.8),(44 3277930),(45 3349540.3),(46 3440641),(47 3487245),(48 3540553.3),(49 3605099.8),(50 3632146.3),(51 3643916.3),(52 3648627),(53 3664654),(54 3650398.5),(55 3627702.3),(56 3594398.8),(57 3578093.3),(58 3557958.8),(59 3547992),(60 3535184),(61 3496542.8),(62 3500269.5),(63 3475899.8),(64 3451558.8),(65 3430426.8),(66 3415137),(67 3393232.8),(68 3378228.8),(69 3376450.5),(70 3368272.5),(71 3363245.8),(72 3385039.8),(73 3434248.5),(74 3462338),(75 3506611.8),(76 3549138.8),(77 3619523.5),(78 3664649.5),(79 3716618.8),
(1 48217.34),(2 164853.38),(3 333026.28),(4 531349.1),(5 737784.75),(6 943408.9),(7 1143166.6),(8 1339440.3),(9 1507125.3),(10 1666621.9),(11 1819220.9),(12 1975273.4),(13 2112459.5),(14 2234119.8),(15 2315820.5),(16 2389809),(17 2437219.3),(18 2467483),(19 2508665.3),(20 2554037.8),(21 2596811.5),(22 2647367.8),(23 2693135),(24 2744264),(25 2792205.8),(26 2842919),(27 2870739.8),(28 2912947),(29 2942152.5),(30 2975051.8),(31 3001502),(32 3015796.8),(33 3027556.5),(34 3038132),(35 3065450.3),(36 3094002.5),(37 3133574.3),(38 3178241.8),(39 3234645.8),(40 3239930.3),(41 3230728.8),(42 3224260.8),(43 3214190.8),(44 3211988.5),(45 3225855),(46 3217462.8),(47 3189440),(48 3184000.3),(49 3177977.3),(50 3159938.8),(51 3147025.3),(52 3139671),(53 3147713),(54 3164765.8),(55 3174406.3),(56 3206027.5),(57 3252991),(58 3318097.8),(59 3383411),(60 3421921),(61 3459231.5),(62 3512295),(63 3551485),(64 3593717.5),(65 3612203.5),(66 3631223.5),(67 3649988.8),(68 3699093.3),(69 3724169.3),(70 3745734.3),(71 3757910.3),(72 3746516.5),(73 3747949.8),(74 3738441.8),(75 3735507),(76 3731330.8),(77 3713141.5),(78 3696039.5),(79 3673739.8),
(1 41477.773),(2 130846.53),(3 259419.06),(4 420244.4),(5 592438.6),(6 771623.9),(7 948082.4),(8 1119821.5),(9 1281201.6),(10 1442173.1),(11 1595165.4),(12 1754635.3),(13 1907810.9),(14 2079124.8),(15 2253311.5),(16 2420703.5),(17 2592615),(18 2771057.5),(19 2945999),(20 3133625.3),(21 3314886.3),(22 3475596.3),(23 3619724.8),(24 3750282.5),(25 3852418.8),(26 3906986.3),(27 3970558),(28 3999336),(29 4036830),(30 4089133.8),(31 4136616.5),(32 4194517.5),(33 4246068),(34 4333130),(35 4409242.5),(36 4472401),(37 4547338.5),(38 4620089.5),(39 4690151.5),(40 4720026.5),(41 4738296.5),(42 4724880.5),(43 4733919.5),(44 4762551),(45 4811566),(46 4864759.5),(47 4912710.5),(48 4971860.5),(49 5064767.5),(50 5156290.5),(51 5235996),(52 5290052),(53 5307171),(54 5331634),(55 5331416.5),(56 5348034),(57 5366937),(58 5399074),(59 5427383.5),(60 5430963),(61 5421269.5),(62 5419318.5),(63 5428702.5),(64 5410210),(65 5382802),(66 5368752),(67 5405516.5),(68 5447392),(69 5499799.5),(70 5553480),(71 5620618.5),(72 5690028),(73 5785578.5),(74 5832058),(75 5865701),(76 5931866),(77 5965736.5),(78 5986184.5),(79 5979087),
