1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 6329.0835),(2 6303.1943),(3 6447.128),(4 6454.324),(5 6499.555),(6 6807.674),(7 6903.7026),(8 6939.065),(9 6988.158),(10 7137.481),(11 7351.3906),(12 7233.2007),(13 7436.7627),(14 7331.642),(15 7570.9546),(16 7646.025),(17 7848.9307),(18 7815.6113),(19 7871.2397),(20 7898.531),(21 7951.3555),(22 7990.057),(23 7916.1533),(24 7973.766),(25 8140.7734),(26 8309.382),(27 8411.916),(28 8227.932),(29 8549.056),(30 8537.765),(31 8713.787),(32 8733.1045),(33 8983.591),(34 8837.133),(35 9043.96),(36 9118.905),(37 9092.541),(38 9375.576),(39 9197.614),(40 9534.997),(41 9596.732),(42 9680.558),(43 9637.191),(44 9832.141),(45 9913.806),(46 10119.597),(47 10180.089),(48 10060.542),(49 10295.777),(50 10259.841),(51 10329.418),(52 10480.417),(53 10500.991),(54 10604.368),(55 10604.053),(56 10600.522),(57 10624.054),(58 10745.002),(59 10941.667),(60 10831.502),(61 10822.996),(62 10688.836),(63 10837.53),(64 10667.042),(65 10629.21),(66 10586.12),(67 10589.254),(68 10616.366),(69 10538.285),(70 10655.001),(71 10506.7),(72 10436.731),(73 10413.3545),(74 10353.242),(75 10382.236),(76 10257.697),(77 10238.212),(78 10191.2295),(79 10156.709),
(1 6362.8887),(2 6225.928),(3 6469.833),(4 6571.2524),(5 6435.473),(6 6655.9995),(7 6840.115),(8 6772.358),(9 6838.213),(10 7055.3623),(11 7119.082),(12 6969.043),(13 7310.572),(14 7210.7637),(15 7338.735),(16 7460.209),(17 7615.5566),(18 7531.296),(19 7687.0806),(20 7687.8193),(21 7851.033),(22 7733.159),(23 7707.32),(24 7762.069),(25 7878.482),(26 7932.8936),(27 8083.6523),(28 8014.9717),(29 8200.476),(30 8133.024),(31 8479.0625),(32 8349.584),(33 8655.23),(34 8537.018),(35 8816.849),(36 8778.976),(37 8812.201),(38 8883.259),(39 8833.99),(40 9276.018),(41 9084.424),(42 9223.235),(43 9176.513),(44 9266.592),(45 9472.559),(46 9492.584),(47 9557.473),(48 9656.961),(49 9805.866),(50 9585.832),(51 9706.366),(52 9748.78),(53 9911.621),(54 9952.828),(55 9937.517),(56 9851.548),(57 10099.844),(58 10129.293),(59 10027.851),(60 10113.037),(61 10036.4),(62 9956.99),(63 10064.721),(64 10042.843),(65 9885.753),(66 9730.619),(67 9951.434),(68 9845.173),(69 9843.878),(70 9905.049),(71 9774.781),(72 9755.823),(73 9759.977),(74 9753.916),(75 9782.167),(76 9611.456),(77 9663.706),(78 9660.529),(79 9486.242),
(1 6180.715),(2 5995.338),(3 6236.8047),(4 6177.1577),(5 6184.8564),(6 6479.579),(7 6511.416),(8 6507.4697),(9 6651.8984),(10 6913.3325),(11 6966.3325),(12 6927.239),(13 7126.869),(14 7118.756),(15 7145.6875),(16 7362.1533),(17 7471.615),(18 7387.9067),(19 7612.8857),(20 7472.053),(21 7582.989),(22 7583.244),(23 7473.3813),(24 7643.643),(25 7786.033),(26 7837.192),(27 7902.572),(28 7941.1416),(29 8014.2847),(30 8133.227),(31 8165.4385),(32 8408.764),(33 8391.818),(34 8508.424),(35 8593.152),(36 8460.505),(37 8686.562),(38 8744.837),(39 8737.019),(40 9112.993),(41 8895.582),(42 9033.978),(43 9069.6455),(44 9122.244),(45 9217.32),(46 9319.347),(47 9241.297),(48 9381.511),(49 9471.324),(50 9437.091),(51 9631.142),(52 9447.399),(53 9546),(54 9572.258),(55 9518.194),(56 9738.365),(57 9761.831),(58 9844.289),(59 9678.517),(60 9820.917),(61 9748.678),(62 9824.732),(63 9738.662),(64 9684.474),(65 9626.026),(66 9563.73),(67 9718.179),(68 9700.04),(69 9643.079),(70 9562.664),(71 9647.942),(72 9575.736),(73 9448.068),(74 9485.16),(75 9545.776),(76 9454.223),(77 9463.797),(78 9441.61),(79 9325.062),
(1 6038.6255),(2 5981.001),(3 6194.64),(4 6305.6157),(5 6006.425),(6 6539.3164),(7 6482.233),(8 6392.1206),(9 6498.9116),(10 6808.7695),(11 6829.9204),(12 6783.2207),(13 6983.4614),(14 7005.2764),(15 7031.4595),(16 7128.362),(17 7226.9004),(18 7072.7715),(19 7279.965),(20 7319.271),(21 7336.2866),(22 7376.5796),(23 7384.765),(24 7365.681),(25 7524.546),(26 7699.8555),(27 7655.934),(28 7719.046),(29 7762.448),(30 7886.5396),(31 7840.4136),(32 8177.7495),(33 8214.834),(34 8163.647),(35 8441.089),(36 8169.147),(37 8494.936),(38 8494.635),(39 8760.922),(40 8812.829),(41 8773.238),(42 8778.175),(43 8882.95),(44 8973.602),(45 8941.022),(46 9028.334),(47 8994.707),(48 9186.962),(49 9065.046),(50 9223.186),(51 9280.321),(52 9168.789),(53 9273.04),(54 9390.941),(55 9141.113),(56 9566.728),(57 9510.132),(58 9373.723),(59 9476.154),(60 9505.964),(61 9514.195),(62 9559.733),(63 9353.075),(64 9464.144),(65 9274.55),(66 9406.376),(67 9390.528),(68 9377.161),(69 9403.18),(70 9413.576),(71 9448.439),(72 9394.416),(73 9456.253),(74 9309.211),(75 9387.902),(76 9252.325),(77 9309.36),(78 9266.16),(79 9089.185),
(1 5927.9),(2 5834.587),(3 6191.2476),(4 6155.9697),(5 6107.353),(6 6355.0977),(7 6422.3623),(8 6316.643),(9 6461.2983),(10 6755.9053),(11 6757.3994),(12 6745.561),(13 6904.0747),(14 6909.2183),(15 6926.575),(16 7227.972),(17 7182.4883),(18 7119.9673),(19 7158.4595),(20 7128.624),(21 7234.4897),(22 7228.4253),(23 7278.897),(24 7309.04),(25 7568.9575),(26 7605.277),(27 7520.9224),(28 7604.306),(29 7625.188),(30 7811.4536),(31 7984.681),(32 8002.232),(33 8163.9023),(34 8117.415),(35 8222.953),(36 8233.253),(37 8474.354),(38 8422.541),(39 8709.389),(40 8728.834),(41 8608.039),(42 8784.767),(43 8739.818),(44 9122.393),(45 9019.009),(46 8970.092),(47 8964.214),(48 9085.155),(49 9108.151),(50 9150.295),(51 9098.251),(52 9173.829),(53 9036.919),(54 9129.08),(55 9092.842),(56 9375.342),(57 9250.671),(58 9196.371),(59 9298.779),(60 9401.104),(61 9378.557),(62 9323.977),(63 9356.231),(64 9377.655),(65 9247.122),(66 9368.818),(67 9399.395),(68 9390.389),(69 9302.326),(70 9302.313),(71 9293.604),(72 9342.482),(73 9351.907),(74 9223.737),(75 9257.026),(76 9094.141),(77 9200.999),(78 9169.339),(79 9173.338),
(1 5823.0903),(2 5710.8105),(3 6056.199),(4 5880.271),(5 5908.212),(6 6170.2573),(7 6261.5527),(8 6123.856),(9 6317.931),(10 6522.5684),(11 6548.0107),(12 6456.0215),(13 6506.3823),(14 6614.248),(15 6666.5635),(16 6859.0845),(17 6760.1323),(18 6901.406),(19 6843.7935),(20 6850.6973),(21 6939.9976),(22 6981.3066),(23 7021.7456),(24 7079.4165),(25 7230.431),(26 7254.019),(27 7202.2607),(28 7363.534),(29 7446.596),(30 7522.5986),(31 7696.7305),(32 7663.7627),(33 7752.206),(34 7834.3657),(35 7922.5527),(36 7992.1543),(37 8186.1885),(38 8134.1216),(39 8294.687),(40 8284.397),(41 8494.638),(42 8461.131),(43 8513.065),(44 8635.944),(45 8689.717),(46 8637.914),(47 8630.827),(48 8846.69),(49 8844.035),(50 8857.716),(51 8780.034),(52 8941.008),(53 8938.121),(54 8943.058),(55 8950.104),(56 9141.958),(57 8948.864),(58 9028.819),(59 9115.632),(60 9177.729),(61 9110.579),(62 9216.335),(63 8999.226),(64 8980.403),(65 8921.388),(66 9042.691),(67 9026.727),(68 9148.649),(69 9012.045),(70 8976.544),(71 9054.873),(72 9005.014),(73 8978.873),(74 8907.893),(75 8818.234),(76 8804.662),(77 8900.693),(78 8797.886),(79 8780.869),
(1 5749.844),(2 5565.688),(3 5906.5513),(4 5730.9556),(5 5732.7744),(6 5962.0986),(7 6166.679),(8 5991.0313),(9 6223.2954),(10 6561.3853),(11 6546.2637),(12 6479.609),(13 6514.576),(14 6593.5244),(15 6670.3916),(16 6790.9575),(17 6806.1104),(18 6725.5195),(19 6791.997),(20 6717.635),(21 6833.919),(22 6878.937),(23 6870.0767),(24 6998.429),(25 6866.4644),(26 7119.836),(27 7059.536),(28 7194.084),(29 7261.4883),(30 7286.255),(31 7435.1733),(32 7496.4756),(33 7574.138),(34 7590.94),(35 7730.013),(36 7991.064),(37 7927.2188),(38 7911.188),(39 8225.434),(40 8194.095),(41 8217.723),(42 8337.934),(43 8507.234),(44 8599.201),(45 8514.829),(46 8589.727),(47 8685.519),(48 8669.81),(49 8711.053),(50 8640.676),(51 8701.188),(52 8793.114),(53 8740.229),(54 8793.748),(55 8745.937),(56 8817.252),(57 8753.561),(58 8814.591),(59 8879.331),(60 8882.454),(61 8867.662),(62 8848.607),(63 8781.6),(64 8629.264),(65 8576.969),(66 8717.589),(67 8584.366),(68 8666.391),(69 8607.86),(70 8705.219),(71 8752.574),(72 8682.425),(73 8600.54),(74 8455.296),(75 8622.1),(76 8511.681),(77 8764.156),(78 8590.707),(79 8485),
(1 5636.195),(2 5406.128),(3 5626.511),(4 5534.9136),(5 5711.8755),(6 5928.339),(7 5951.1187),(8 5750.866),(9 5977.207),(10 6266.7036),(11 6149.157),(12 6183.211),(13 6334.3755),(14 6323.3965),(15 6330.2417),(16 6460.9907),(17 6551.798),(18 6583.3237),(19 6559.4253),(20 6543.184),(21 6589.3296),(22 6790.8853),(23 6698.4697),(24 6731.1396),(25 6724.7813),(26 6885.0376),(27 6890.451),(28 6885.0537),(29 7158.6255),(30 7171.777),(31 7249.462),(32 7368.1733),(33 7320.7896),(34 7498.4053),(35 7459.4463),(36 7821.8228),(37 7654.12),(38 7868.608),(39 7961.2754),(40 8036.8525),(41 7981.5376),(42 8263.664),(43 8210.585),(44 8262.413),(45 8300.212),(46 8381.293),(47 8417.275),(48 8456.232),(49 8456.037),(50 8485.906),(51 8387.52),(52 8471.031),(53 8581.512),(54 8478.511),(55 8600.977),(56 8529.814),(57 8605.526),(58 8550.19),(59 8646.633),(60 8525.942),(61 8681.883),(62 8576.638),(63 8610.139),(64 8397.327),(65 8429.845),(66 8454.904),(67 8423.863),(68 8473.0625),(69 8406.164),(70 8551.139),(71 8585.945),(72 8504.647),(73 8430.484),(74 8352.45),(75 8567.804),(76 8397.51),(77 8488.213),(78 8283.959),(79 8245.61),
(1 5411.72),(2 5320.745),(3 5557.1875),(4 5426.5693),(5 5484.059),(6 5815.3213),(7 5863.626),(8 5721.3857),(9 5938.0205),(10 6079.2075),(11 6087.443),(12 6126.508),(13 6152.521),(14 6172.352),(15 6252.5103),(16 6338.26),(17 6424.4644),(18 6453.6245),(19 6475.267),(20 6469.907),(21 6598.051),(22 6594.098),(23 6658.691),(24 6579.278),(25 6615.4375),(26 6563.6465),(27 6740.413),(28 6755.534),(29 6892.747),(30 6865.572),(31 7004.237),(32 7145.394),(33 7153.8955),(34 7323.4307),(35 7368.8677),(36 7617.855),(37 7449.331),(38 7738.244),(39 7741.9316),(40 7931.179),(41 7828.658),(42 8018.64),(43 8009.1963),(44 8123.163),(45 8230.464),(46 8251.502),(47 8377.423),(48 8306.751),(49 8322.103),(50 8376.786),(51 8376.453),(52 8288.07),(53 8353.915),(54 8387.896),(55 8434.693),(56 8363.71),(57 8421.089),(58 8300.882),(59 8443.473),(60 8441.76),(61 8451.545),(62 8477.474),(63 8366.225),(64 8268.128),(65 8293.808),(66 8320.87),(67 8284.907),(68 8348.72),(69 8197.383),(70 8394.912),(71 8360.787),(72 8275.647),(73 8339.839),(74 8285.211),(75 8404.037),(76 8292.111),(77 8324.831),(78 8195.147),(79 8100.54),
(1 5263.1543),(2 5256.5967),(3 5424.4),(4 5355.935),(5 5440.074),(6 5664.3374),(7 5666.406),(8 5648.0005),(9 5880.001),(10 6023.45),(11 6017.8926),(12 6142.6895),(13 6126.6797),(14 6065.767),(15 6293.561),(16 6389.3086),(17 6413.1035),(18 6479.679),(19 6383.0645),(20 6522.048),(21 6508.9873),(22 6595.1606),(23 6676.42),(24 6614.9976),(25 6598.0405),(26 6681.026),(27 6809.9863),(28 6775.8716),(29 6853.625),(30 6975.8237),(31 7061.833),(32 7272.973),(33 7119.6646),(34 7374.223),(35 7378.6064),(36 7565.0005),(37 7552.072),(38 7718.837),(39 7783.24),(40 7858.509),(41 7925.8247),(42 7987.5093),(43 8059.3325),(44 8187.1836),(45 8167.756),(46 8306.6045),(47 8360.615),(48 8295.046),(49 8378.93),(50 8301.094),(51 8466.637),(52 8420.37),(53 8392.366),(54 8229.232),(55 8420.076),(56 8396.028),(57 8512.342),(58 8465.076),(59 8523.133),(60 8581.501),(61 8581.932),(62 8664.538),(63 8442.508),(64 8454.46),(65 8487.088),(66 8516.544),(67 8429.038),(68 8350.456),(69 8393.678),(70 8507.975),(71 8564.632),(72 8444.232),(73 8396.751),(74 8426.159),(75 8383.6),(76 8339.235),(77 8361.037),(78 8230.647),(79 8204.955),
(1 5170.2954),(2 5127.862),(3 5215.6396),(4 5154.748),(5 5335.78),(6 5614.2866),(7 5516.789),(8 5505.0405),(9 5723.6074),(10 5918.411),(11 5849.1914),(12 5954.783),(13 6010.461),(14 5996.395),(15 6110.5356),(16 6222.226),(17 6170.87),(18 6323.574),(19 6340.984),(20 6445.436),(21 6260.1304),(22 6525.6484),(23 6462.013),(24 6486.7095),(25 6392.503),(26 6494.8345),(27 6643.109),(28 6643.6367),(29 6738.5273),(30 6897.3247),(31 6952.6934),(32 7075.6895),(33 7182.908),(34 7127.3643),(35 7219.9487),(36 7433.6973),(37 7632.9014),(38 7622.0903),(39 7724.9917),(40 7772.49),(41 7986.1353),(42 8066.4106),(43 8120.0635),(44 8260.19),(45 8204.208),(46 8299.851),(47 8302.198),(48 8304.154),(49 8313.399),(50 8458.168),(51 8472.299),(52 8545.114),(53 8432.804),(54 8291.928),(55 8469.461),(56 8417.468),(57 8368.225),(58 8458.927),(59 8443.885),(60 8386.806),(61 8457.589),(62 8462.396),(63 8320.585),(64 8274.567),(65 8170.0156),(66 8240.422),(67 8194.184),(68 8194.254),(69 8204.686),(70 8180.2896),(71 8204.289),(72 8223.854),(73 8112.438),(74 8083.5674),(75 8099.3784),(76 7977.8667),(77 7984.341),(78 8043.6533),(79 7949.276),
(1 5038.091),(2 5031.8105),(3 5124.5215),(4 5047.4063),(5 5225.1885),(6 5378.525),(7 5411.301),(8 5362.503),(9 5550.1904),(10 5711.8916),(11 5622.627),(12 5899.1416),(13 5792.563),(14 5860.7764),(15 5863.06),(16 6017.235),(17 5913.005),(18 6058.525),(19 6100.0073),(20 6169.8687),(21 6207.2153),(22 6260.6416),(23 6217.1816),(24 6300.638),(25 6192.3477),(26 6304.834),(27 6468.2534),(28 6444.5825),(29 6549.242),(30 6726.9805),(31 6866.82),(32 6850.9688),(33 6988.235),(34 6899.3716),(35 7028.7134),(36 7285.7593),(37 7167.335),(38 7218.4814),(39 7450.6445),(40 7382.7495),(41 7530.1914),(42 7746.9556),(43 7756.532),(44 7751.4067),(45 7801.1533),(46 7891.224),(47 7819.3984),(48 7969.6504),(49 7897.8027),(50 8024.717),(51 8118.5166),(52 8027.9927),(53 7970.861),(54 8029.193),(55 8055.334),(56 8052.213),(57 8105.6733),(58 8151.334),(59 8080.33),(60 8087.418),(61 8109.7925),(62 8035.0635),(63 8074.8857),(64 7931.1763),(65 7892.2446),(66 7828.133),(67 7811.395),(68 7822.7666),(69 7864.12),(70 7809.905),(71 7810.7427),(72 7755.3477),(73 7670.5396),(74 7662.0938),(75 7580.162),(76 7640.8877),(77 7539.871),(78 7517.572),(79 7476.8877),
(1 4930.999),(2 5026.075),(3 5095.2827),(4 5079.7397),(5 5220.741),(6 5361.5137),(7 5373.1694),(8 5408.6616),(9 5577.6934),(10 5615.269),(11 5659.875),(12 5756.676),(13 5845.392),(14 5721.2085),(15 5820.117),(16 5948.9116),(17 5831.4585),(18 6018.6616),(19 5982.1826),(20 6133.0786),(21 6244.59),(22 6162.667),(23 6159.475),(24 6206.5503),(25 6240.2417),(26 6286.3877),(27 6494.364),(28 6553.9575),(29 6625.976),(30 6774.5137),(31 6779.1406),(32 6939.94),(33 6928.3135),(34 6983.1563),(35 7233.8755),(36 7338.4624),(37 7284.4336),(38 7426.484),(39 7610.0654),(40 7475.423),(41 7586.8867),(42 7774.0625),(43 7916.8994),(44 7795.793),(45 7715.4126),(46 7914.312),(47 7863.6357),(48 7845.7354),(49 7899.678),(50 7945.161),(51 7949.4697),(52 7877.884),(53 7803.9155),(54 7982.9063),(55 7871.6567),(56 7967.1587),(57 7898.492),(58 7980.9253),(59 7902.6006),(60 7878.8276),(61 8044.595),(62 7969.6333),(63 7964.057),(64 7766.319),(65 7869.03),(66 7744.038),(67 7731.5747),(68 7759.7715),(69 7871.185),(70 7840.5166),(71 7841.553),(72 7743.384),(73 7695.745),(74 7667.0425),(75 7642.115),(76 7646.7256),(77 7668.1206),(78 7689.3286),(79 7526.6123),
(1 4866.1797),(2 4835.655),(3 4972.148),(4 4900.0405),(5 5070.601),(6 5207.5537),(7 5080.1514),(8 5187.1377),(9 5317.2886),(10 5396.499),(11 5486.248),(12 5574.101),(13 5677.0947),(14 5584.7046),(15 5602.363),(16 5782.0073),(17 5700.488),(18 5800.2837),(19 5861.056),(20 6011.0146),(21 5895.886),(22 5911.6123),(23 6052.4043),(24 6065.4683),(25 6046.2817),(26 6238.9194),(27 6256.546),(28 6270.8403),(29 6431.9473),(30 6567.1924),(31 6519.074),(32 6591.9785),(33 6639.9272),(34 6638.7524),(35 6910.5273),(36 6824.889),(37 6936.314),(38 7038.106),(39 7129.659),(40 7231.8696),(41 7264.9414),(42 7373.225),(43 7458.6733),(44 7501.0337),(45 7413.7446),(46 7506.6235),(47 7426.712),(48 7457.8984),(49 7507.638),(50 7498.8975),(51 7505.9204),(52 7487.0625),(53 7487.3906),(54 7503.474),(55 7450.21),(56 7436.277),(57 7588.4214),(58 7561.1865),(59 7579.4346),(60 7607.0376),(61 7581.079),(62 7533.898),(63 7569.622),(64 7447.098),(65 7322.631),(66 7340.9893),(67 7335.84),(68 7373.7617),(69 7324.7334),(70 7287.348),(71 7302.239),(72 7272.791),(73 7287.7383),(74 7217.0522),(75 7212.9023),(76 7217.17),(77 7211.909),(78 7283.7554),(79 7041.483),
(1 4799.6406),(2 4749.4795),(3 4837.507),(4 4892.581),(5 5048.493),(6 5088.661),(7 5070.913),(8 5175.001),(9 5304.368),(10 5481.9844),(11 5480.1206),(12 5645.5654),(13 5637.987),(14 5640.0913),(15 5644.886),(16 5804.7725),(17 5784.1177),(18 5785.1846),(19 5877.086),(20 5967.9478),(21 6014.5454),(22 6020.039),(23 6101.116),(24 5999.974),(25 6094.7583),(26 6178.071),(27 6350.1836),(28 6383.393),(29 6430.764),(30 6562.1885),(31 6619.6235),(32 6643.7397),(33 6719.8296),(34 6805.6875),(35 7083.6055),(36 7016.3643),(37 7062.104),(38 7146.3403),(39 7247.9116),(40 7236.634),(41 7314.2197),(42 7578.622),(43 7529.5576),(44 7568.3364),(45 7477.308),(46 7710.991),(47 7547.643),(48 7666.6094),(49 7668.728),(50 7662.788),(51 7708.9336),(52 7752.655),(53 7677.189),(54 7590.3667),(55 7537.9214),(56 7643.3154),(57 7704.81),(58 7669.757),(59 7677.3223),(60 7789.817),(61 7791.728),(62 7794.451),(63 7781.763),(64 7673.585),(65 7632.07),(66 7544.157),(67 7634.105),(68 7594.4697),(69 7579.893),(70 7697.715),(71 7591.706),(72 7487.6265),(73 7412.4097),(74 7442.88),(75 7440.251),(76 7405.0825),(77 7346.083),(78 7326.181),(79 7222.543),
(1 4705.8516),(2 4577.0415),(3 4751.0386),(4 4744.931),(5 4878.585),(6 4962.7314),(7 4907.0313),(8 5011.9946),(9 5260.119),(10 5331.3525),(11 5433.0493),(12 5486.7188),(13 5535.2275),(14 5549.0317),(15 5493.68),(16 5741.199),(17 5662.508),(18 5699.6074),(19 5768.775),(20 5849.411),(21 5876.071),(22 5914.618),(23 6003.585),(24 5843.301),(25 5968.8047),(26 6074.7603),(27 6206.003),(28 6177.074),(29 6263.088),(30 6510.1187),(31 6316.2305),(32 6468.964),(33 6406.6797),(34 6535.193),(35 6709.586),(36 6822.779),(37 6853.9736),(38 6769.4766),(39 6980.507),(40 6906.152),(41 6987.47),(42 7225.2437),(43 7246.318),(44 7171.3657),(45 7177.188),(46 7274.815),(47 7365.9663),(48 7460.7017),(49 7436.5103),(50 7401.9106),(51 7478.335),(52 7488.7573),(53 7425.507),(54 7386.5313),(55 7416.8564),(56 7535.7515),(57 7472.8813),(58 7450.0083),(59 7583.559),(60 7649.258),(61 7629.5176),(62 7664.479),(63 7550.437),(64 7414.359),(65 7424.3677),(66 7342.0107),(67 7343.6167),(68 7379.5303),(69 7380.9277),(70 7343.901),(71 7349.9805),(72 7177.813),(73 7166.7773),(74 7143.3174),(75 7125.281),(76 7125.3257),(77 7056.759),(78 6942.5107),(79 6816.5635),
(1 4601.476),(2 4389.5234),(3 4560.615),(4 4515.1475),(5 4624.362),(6 4660.446),(7 4757.225),(8 4761.6763),(9 4975.863),(10 5114.1504),(11 5031.7505),(12 5214.443),(13 5165.225),(14 5272.2944),(15 5240.288),(16 5332.2383),(17 5388.939),(18 5299.1025),(19 5457.759),(20 5456.29),(21 5523.7),(22 5554.1787),(23 5552.5225),(24 5473.4834),(25 5591.608),(26 5763.712),(27 5808.0166),(28 5866.465),(29 5891.583),(30 5908.089),(31 5955.9307),(32 6126.8203),(33 6105.265),(34 6104.181),(35 6295.0425),(36 6364.6846),(37 6358.1216),(38 6506.0894),(39 6610.2803),(40 6461.3647),(41 6785.284),(42 6699.407),(43 6923.9336),(44 6814.755),(45 6826.811),(46 6910.008),(47 6962.3228),(48 7062.8516),(49 7038.9355),(50 7142.375),(51 7064.754),(52 7070.9395),(53 7026.293),(54 6993.5884),(55 7048.3887),(56 7128.1987),(57 7016.7983),(58 7040.6416),(59 7053.731),(60 7183.3374),(61 7130.6123),(62 7193.729),(63 7102.8794),(64 6978.8086),(65 6880.5044),(66 6919.1426),(67 6892.615),(68 6911.0474),(69 6827.1514),(70 6968.8213),(71 6800.777),(72 6816.1167),(73 6799.3438),(74 6765.6245),(75 6795.936),(76 6632.4033),(77 6704.42),(78 6639.8457),(79 6501.286),
(1 4460.745),(2 4329.13),(3 4443.002),(4 4383.814),(5 4599.1323),(6 4637.119),(7 4540.479),(8 4726.382),(9 4835.7124),(10 4918.3647),(11 4955.8027),(12 5047.6934),(13 5092.107),(14 5029.3433),(15 5176.149),(16 5116.2695),(17 5149.387),(18 5100.5156),(19 5336.29),(20 5352.41),(21 5314.652),(22 5454.1333),(23 5448.2935),(24 5413.163),(25 5580.0786),(26 5655.8374),(27 5727.9863),(28 5808.0313),(29 5844.41),(30 5946.897),(31 5875.785),(32 6092.043),(33 6143.237),(34 6139.256),(35 6283.2817),(36 6281.656),(37 6238.0317),(38 6491.786),(39 6379.6973),(40 6431.655),(41 6654.495),(42 6669.6514),(43 6648.8984),(44 6668.2114),(45 6653.1484),(46 6773.7188),(47 6841.598),(48 6811.407),(49 6904.88),(50 6823.254),(51 6810.6685),(52 6850.4478),(53 6783.476),(54 6894.8857),(55 6971.9277),(56 7004.674),(57 6915.4497),(58 6937.3755),(59 6912.945),(60 7090.947),(61 7042.9053),(62 7138.8135),(63 6975.6587),(64 6859.169),(65 6755.8906),(66 6898.263),(67 6867.353),(68 6790.8506),(69 6817.6685),(70 6921.6533),(71 6886.03),(72 6838.2085),(73 6800.608),(74 6709.051),(75 6725.7314),(76 6615.5264),(77 6599.826),(78 6519.4785),(79 6444.6406),
