1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 202794.64),(2 615353.94),(3 1084302.8),(4 1493040),(5 1774044.9),(6 1898153.6),(7 1901683.1),(8 1899159.4),(9 1971989.6),(10 2111795.3),(11 2300114.8),(12 2552826.5),(13 2819157.8),(14 3114861.3),(15 3395581.3),(16 3663605),(17 3830092.3),(18 3977736),(19 4143232.8),(20 4318346),(21 4410747.5),(22 4604037.5),(23 4838906),(24 5088288.5),(25 5420184.5),(26 5803781.5),(27 6208864),(28 6638680),(29 7113268.5),(30 7561028),(31 8051055.5),(32 8436359),(33 8876638),(34 9331243),(35 9770938),(36 10166361),(37 10537532),(38 10963340),(39 11261172),(40 11332944),(41 11442747),(42 11644883),(43 11849552),(44 12003661),(45 12163717),(46 12281099),(47 12411841),(48 12448557),(49 12593163),(50 12685096),(51 12854776),(52 12902248),(53 12886212),(54 12878319),(55 12833548),(56 12824132),(57 12717656),(58 12551557),(59 12557081),(60 12630984),(61 12798585),(62 13060625),(63 13137861),(64 13107589),(65 13042007),(66 12932221),(67 12807569),(68 12706611),(69 12729700),(70 12672852),(71 12596413),(72 12531333),(73 12621067),(74 12736768),(75 13060172),(76 13333689),(77 13580424),(78 13793016),(79 14119125),
(1 239388.84),(2 767155.1),(3 1418723.5),(4 2012259.3),(5 2510539),(6 2910220.5),(7 3280837.5),(8 3732180.8),(9 4352610),(10 5100596),(11 5946155),(12 6848382.5),(13 7690468),(14 8513901),(15 9254761),(16 9789939),(17 10251966),(18 10674982),(19 11121626),(20 11565733),(21 11930229),(22 12207362),(23 12388198),(24 12419906),(25 12481045),(26 12553450),(27 12669078),(28 12827618),(29 13062872),(30 13307644),(31 13670627),(32 13878032),(33 14079398),(34 14294618),(35 14445770),(36 14552998),(37 14543650),(38 14584854),(39 14551085),(40 14432254),(41 14373411),(42 14390053),(43 14403662),(44 14392312),(45 14340245),(46 14217048),(47 14070147),(48 13761232),(49 13662005),(50 13574362),(51 13590902),(52 13600690),(53 13627763),(54 13705280),(55 13837947),(56 13903786),(57 13835014),(58 13544914),(59 13342538),(60 13256734),(61 13200403),(62 13195533),(63 13155305),(64 13053494),(65 12924907),(66 12768638),(67 12620656),(68 12504557),(69 12481683),(70 12425267),(71 12383051),(72 12298296),(73 12268945),(74 12317008),(75 12501890),(76 12734968),(77 12994784),(78 13203632),(79 13438773),
(1 237648.02),(2 784381.44),(3 1620398.1),(4 2493941.3),(5 3433491),(6 4427734),(7 5485500.5),(8 6632868.5),(9 7923890.5),(10 9324638),(11 10801113),(12 12378763),(13 13947905),(14 15521432),(15 17016724),(16 18254224),(17 19325758),(18 20283920),(19 21164616),(20 21965426),(21 22663824),(22 23195018),(23 23551158),(24 23623536),(25 23584654),(26 23455446),(27 23279226),(28 23105912),(29 22958698),(30 22782592),(31 22687096),(32 22466498),(33 22196638),(34 21854264),(35 21404522),(36 20862852),(37 20187070),(38 19625582),(39 18892010),(40 18135948),(41 17468192),(42 16876322),(43 16283120),(44 15630012),(45 14992848),(46 14367757),(47 13772203),(48 13108424),(49 12676157),(50 12460527),(51 12338493),(52 12250568),(53 12142160),(54 12120981),(55 12250164),(56 12430745),(57 12585597),(58 12477080),(59 12390104),(60 12542848),(61 12786199),(62 13083981),(63 13453508),(64 13808563),(65 14194076),(66 14549629),(67 14888880),(68 15190504),(69 15469936),(70 15727177),(71 15916717),(72 16155432),(73 16473269),(74 16892490),(75 17386396),(76 17859942),(77 18203146),(78 18444654),(79 18651434),
(1 147578.4),(2 462975.38),(3 900346.94),(4 1305059.5),(5 1726060.5),(6 2177645.8),(7 2667449.3),(8 3176616.8),(9 3693426.5),(10 4230107.5),(11 4792730),(12 5495780),(13 6181833),(14 6911686),(15 7675045.5),(16 8513401),(17 9210348),(18 9903420),(19 10619993),(20 11466725),(21 12165703),(22 12830433),(23 13441448),(24 13998156),(25 14507932),(26 14916510),(27 15258748),(28 15470987),(29 15591211),(30 15646482),(31 15654418),(32 15607925),(33 15528306),(34 15356169),(35 15109374),(36 14819861),(37 14415270),(38 14029173),(39 13565337),(40 13000359),(41 12493287),(42 11979952),(43 11442738),(44 10894064),(45 10357812),(46 9847430),(47 9430252),(48 9059822),(49 8802203),(50 8694939),(51 8703547),(52 8813398),(53 8927208),(54 9024455),(55 9188540),(56 9436383),(57 9686489),(58 9982212),(59 10279264),(60 10662267),(61 11146853),(62 11650461),(63 12129995),(64 12507940),(65 12906172),(66 13327016),(67 13714236),(68 14074389),(69 14399079),(70 14718067),(71 14951438),(72 15173456),(73 15334096),(74 15476487),(75 15561141),(76 15755726),(77 15931275),(78 16092078),(79 16232489),
(1 156580.16),(2 498475.78),(3 953063.25),(4 1365827.9),(5 1758590.9),(6 2151505),(7 2559596.3),(8 2992254.3),(9 3426729.5),(10 3865116.8),(11 4299090),(12 4715884.5),(13 5067717),(14 5394902.5),(15 5748992),(16 6212497.5),(17 6555549),(18 6841660.5),(19 7137705.5),(20 7486771.5),(21 7826370),(22 8165630),(23 8470653),(24 8739468),(25 8986970),(26 9207339),(27 9405802),(28 9561470),(29 9731646),(30 9843840),(31 9989479),(32 10041633),(33 10007927),(34 9954239),(35 9897675),(36 9851869),(37 9791948),(38 9748047),(39 9600235),(40 9442169),(41 9375029),(42 9290987),(43 9144054),(44 8984114),(45 8825383),(46 8685121),(47 8570537),(48 8482286),(49 8410172),(50 8399870),(51 8435302),(52 8442690),(53 8407231),(54 8367752.5),(55 8376000),(56 8404171),(57 8441340),(58 8555609),(59 8547424),(60 8532294),(61 8497745),(62 8446476),(63 8382475.5),(64 8345462),(65 8319886.5),(66 8407740),(67 8465024),(68 8518131),(69 8552180),(70 8603449),(71 8652020),(72 8772476),(73 8960810),(74 9164051),(75 9473905),(76 9825548),(77 10179575),(78 10482594),(79 10768244),
(1 155136.63),(2 490060.75),(3 939197.8),(4 1363110.3),(5 1770125.8),(6 2167320.8),(7 2588182.5),(8 3024022.8),(9 3450141.5),(10 3860192.8),(11 4241767),(12 4616832.5),(13 4897718),(14 5146526.5),(15 5369133),(16 5652044),(17 5811141.5),(18 5885814.5),(19 5975165),(20 6091913),(21 6274449.5),(22 6440924.5),(23 6598228),(24 6662585.5),(25 6703733),(26 6732331),(27 6745064),(28 6703901),(29 6642233.5),(30 6526323),(31 6378775.5),(32 6273263),(33 6128236),(34 6017030),(35 5941409.5),(36 5837829.5),(37 5758204),(38 5616583),(39 5483783),(40 5341079),(41 5253854.5),(42 5165502.5),(43 5110598),(44 5089789),(45 5115991),(46 5237412),(47 5402573),(48 5716981.5),(49 5967869),(50 6282665),(51 6619074.5),(52 6934331),(53 7200286.5),(54 7480525),(55 7749728),(56 7988080),(57 8188374.5),(58 8302030.5),(59 8348421),(60 8366204),(61 8343501),(62 8250536),(63 8154689),(64 8054901.5),(65 7888412),(66 7822888),(67 7806132),(68 7767662.5),(69 7736971),(70 7704455),(71 7678145.5),(72 7663398.5),(73 7685189),(74 7715855),(75 7765757),(76 7875129.5),(77 7932179),(78 7973136),(79 8045380),
(1 231164.34),(2 764478.4),(3 1582273.4),(4 2450905.8),(5 3398092.3),(6 4350744.5),(7 5342122.5),(8 6269438),(9 7064211.5),(10 7689862),(11 8123281),(12 8399513),(13 8505521),(14 8460436),(15 8219511),(16 7732827),(17 7249568.5),(18 6779854),(19 6374725),(20 6043710),(21 5759944.5),(22 5548795.5),(23 5425926),(24 5407003),(25 5455470),(26 5551494),(27 5700827),(28 5873019.5),(29 6053464),(30 6215864),(31 6378919),(32 6541699),(33 6728005.5),(34 6935502),(35 7140505),(36 7247160),(37 7357469.5),(38 7405731.5),(39 7318552),(40 7163370),(41 7037979),(42 6863851),(43 6653746),(44 6488858),(45 6353246),(46 6285921),(47 6284990),(48 6505539),(49 6696815),(50 6955103),(51 7241464),(52 7507044.5),(53 7788915.5),(54 8076307.5),(55 8345101.5),(56 8585882),(57 8853579),(58 9094040),(59 9340018),(60 9582982),(61 9831998),(62 9943572),(63 9944924),(64 9814072),(65 9604735),(66 9255785),(67 8937111),(68 8609505),(69 8267458.5),(70 7949694),(71 7659780.5),(72 7442128),(73 7320664.5),(74 7259687),(75 7238948.5),(76 7314512.5),(77 7423736),(78 7510868.5),(79 7557887.5),
(1 224728.14),(2 750404.4),(3 1588094),(4 2465757.3),(5 3424349.3),(6 4367473.5),(7 5289800.5),(8 6064712),(9 6640803),(10 7028782.5),(11 7248363.5),(12 7338292.5),(13 7324868.5),(14 7234545.5),(15 7101263),(16 6910253.5),(17 6693771.5),(18 6433642.5),(19 6185760),(20 5938553.5),(21 5757517),(22 5638469.5),(23 5601674.5),(24 5594909),(25 5643786),(26 5721821.5),(27 5846425),(28 5983185),(29 6137841),(30 6292021),(31 6369361),(32 6384406),(33 6415061),(34 6449017.5),(35 6480381.5),(36 6470880),(37 6463752),(38 6434467),(39 6357710),(40 6219827.5),(41 6138051),(42 6095439),(43 6044838.5),(44 6071613),(45 6130425),(46 6253158.5),(47 6375219),(48 6599855),(49 6776181.5),(50 6935201.5),(51 7042397),(52 7059831.5),(53 7049499.5),(54 7016131),(55 6998762.5),(56 6994909.5),(57 7031584.5),(58 7061965),(59 7101449.5),(60 7176903),(61 7272275),(62 7391736.5),(63 7467784),(64 7536363),(65 7563503),(66 7571682),(67 7484024.5),(68 7360992),(69 7162373.5),(70 6912730.5),(71 6608654),(72 6288234.5),(73 5989826.5),(74 5738056),(75 5505256.5),(76 5437721),(77 5476573),(78 5563860.5),(79 5638045),
(1 317458.03),(2 1039260.7),(3 2074604.3),(4 3125761.5),(5 4189893.8),(6 5183715),(7 6049809),(8 6675090.5),(9 6974164.5),(10 7008052),(11 6888889.5),(12 6719500),(13 6579888),(14 6454091.5),(15 6426106),(16 6412316),(17 6458302),(18 6514956),(19 6574439.5),(20 6629022.5),(21 6672988.5),(22 6731082.5),(23 6790857),(24 6838087.5),(25 6848381.5),(26 6823001),(27 6803023),(28 6763501),(29 6770380),(30 6846876),(31 7037734.5),(32 7138061.5),(33 7200377.5),(34 7249930.5),(35 7256476),(36 7238094.5),(37 7194747.5),(38 7081269.5),(39 7001209.5),(40 6818285.5),(41 6645008.5),(42 6458010),(43 6293750.5),(44 6188280),(45 6160437.5),(46 6252561),(47 6431049.5),(48 6741986),(49 7076327),(50 7437236.5),(51 7753546.5),(52 7909727),(53 7964591),(54 7909395),(55 7798942),(56 7684995),(57 7545442),(58 7360863),(59 7332873),(60 7338105),(61 7362431.5),(62 7411058),(63 7487692),(64 7600571.5),(65 7733211.5),(66 7855841),(67 7982767),(68 8101492.5),(69 8216671),(70 8230430),(71 8133890),(72 7935821),(73 7677600),(74 7427865.5),(75 7112475.5),(76 6940287.5),(77 6846249),(78 6829492),(79 6843115.5),
(1 401407.56),(2 1313392),(3 2625092),(4 3963544),(5 5335562),(6 6624247),(7 7786461.5),(8 8728561),(9 9410286),(10 9803435),(11 9899865),(12 9747909),(13 9471217),(14 9141173),(15 8822299),(16 8406442),(17 8218194.5),(18 8141335),(19 8109162.5),(20 8058328),(21 8022681),(22 7934864),(23 7773643.5),(24 7616330.5),(25 7397560),(26 7153675.5),(27 6935023),(28 6698560.5),(29 6537759),(30 6416783),(31 6421070),(32 6507046),(33 6619864),(34 6814109.5),(35 7033964.5),(36 7332404.5),(37 7641240),(38 8033486),(39 8193189.5),(40 8177113),(41 8076983),(42 7837125.5),(43 7500423),(44 7107097.5),(45 6700134),(46 6328269.5),(47 6115607),(48 6075493.5),(49 6149734.5),(50 6319181.5),(51 6540418),(52 6750611),(53 6947681),(54 7116539),(55 7253746),(56 7325276.5),(57 7354019.5),(58 7287051.5),(59 7170633),(60 7057777),(61 6934969),(62 6772460.5),(63 6603688.5),(64 6495776.5),(65 6419274),(66 6413980),(67 6433058.5),(68 6516183),(69 6656973.5),(70 6754561.5),(71 6853811.5),(72 6930917),(73 6961826),(74 6976956.5),(75 6970733),(76 7000012),(77 7108072),(78 7263066),(79 7491932.5),
(1 247188.6),(2 816010.25),(3 1710707.8),(4 2608014.5),(5 3545329),(6 4442646.5),(7 5229601),(8 5825216),(9 6194855.5),(10 6374449.5),(11 6400556.5),(12 6293930.5),(13 6191924),(14 6114729.5),(15 6101893.5),(16 6112085.5),(17 6213825),(18 6392060),(19 6603371.5),(20 6786748),(21 6863383.5),(22 6820717),(23 6692487.5),(24 6501368),(25 6224812),(26 5889696),(27 5543404),(28 5182670.5),(29 4852680.5),(30 4582692),(31 4391327.5),(32 4438756.5),(33 4641759),(34 4947519),(35 5322719.5),(36 5724744.5),(37 6071651),(38 6444074.5),(39 6677853.5),(40 6921032.5),(41 7052634.5),(42 7137607),(43 7178012),(44 7208729.5),(45 7196183.5),(46 7159234),(47 7135712),(48 7144769),(49 7153283),(50 7156166.5),(51 7196772.5),(52 7167583),(53 7141081),(54 7085334),(55 7019192.5),(56 6893617),(57 6732453),(58 6511159.5),(59 6296115.5),(60 6121279.5),(61 5960587.5),(62 5739246),(63 5476083),(64 5203524.5),(65 4903354),(66 4562904.5),(67 4285844),(68 4093987.3),(69 3969056),(70 3907971),(71 3969855),(72 4155786.3),(73 4417464),(74 4763321),(75 5128484.5),(76 5415253.5),(77 5670933),(78 5900446),(79 6069107),
